rung,system,runs,runs_collapsed,alive_at_end,alive_worst,runs_whole,alive_complete_runs,unemployed,tickets,bread_price,public_debt,public_debt_pct_gdp,shortfall_per_month,public_debt_peak,public_debt_peak_month,runs_debt_repaid,public_debt_repaid_month,gini_cash,gini_wealth,wealth_gap_meals,wealth_bottom10_meals,cash_gap_meals,cash_bottom10_meals,under_water,without_cash,land_held_by_households,gini_wealth_firms_attributed,liquidations,refoundings,bank_bailouts,worst_identity_gap
0 bare bones,debt,10,0,2.5,1,0,2.5,0.4,0.0,NaN,0.0,NaN,0.0,0.0,1.0,0,,0.18611586609306843,,6.387843511474119,6.894078758673125,2.3660473939719227,2.7486600447331053,0.3,0.1,0.04036458333333333,0.004665944825100276,0.0,0.0,0.0,1.8189894035458565e-12
0 bare bones,sumsy,10,0,318.4,285,0,318.4,152.1,0.0,6.011025221034273,0.0,0.0,0.0,0.0,1.0,0,,0.5343486507003379,0.6073421716827407,2855.8169990077363,-2.071041921669428,48.8426768941946,0.539797120949445,34.2,5.6,0.9750000000000002,0.5860009699973316,0.0,0.0,0.0,1.4551915228366852e-10
1 + planning margin,debt,10,0,8.2,2,0,8.2,3.4,0.0,2.6993129550099115,0.0,0.0,0.0,0.0,1.0,0,,0.4046367330061583,,20.65018353272307,1.230907181731259,2.322521907741452,1.5298328810199173,2.4,0.8,0.06783854166666667,0.012123811587494825,0.0,0.0,0.0,3.637978807091713e-12
1 + planning margin,sumsy,10,0,340.3,316,0,340.3,160.8,0.0,5.683050986889441,0.0,0.0,0.0,0.0,1.0,0,,0.5169242609791553,0.6279855491274585,2427.0006266046807,-0.6600584978934834,52.322191811461344,1.0532243022407588,28.4,5.6,0.9802083333333333,0.6088660836517132,0.0,0.0,0.0,1.1641532182693481e-10
10 + government reserve,debt,10,0,510.2,508,10,510.2,177.8,154.075,9.205519016179803,254061.28215999994,190.61888493642215,2109.8769267351427,254061.28215999994,120.0,0,,0.4793269460396809,0.7724494037352516,669.750268889202,-1.0920626656141383,11.838762349043293,0.6351208797279104,63.2,0.0,0.93046875,0.7724494037352516,0.0,0.0,0.0,1.4551915228366852e-10
10 + government reserve,sumsy,10,0,497.7,491,10,497.7,172.2,237.875,12.44321357026829,5416.383,2.8139761801726992,146.9206941666668,7275.796569999999,61.7,2,80.5,0.6746700130770569,0.788307857904881,827.4039402763225,-3.53293239271587,34.983481923986226,0.1079641675557476,210.4,15.1,0.9201822916666667,0.788307857904881,0.0,0.0,0.0,2.6193447411060333e-10
11 + fiscal policy and VAT,debt,10,0,469.5,446,1,469.5,162.2,149.94166666666666,5.149736291466602,122624.99290000007,161.97985819665075,621.4099543568313,122624.99290000007,120.0,0,,0.4363552333373589,0.7610973782445445,760.4586118949036,-3.941119707354632,14.027568542453078,0.7110708111824315,107.6,0.0,0.919921875,0.7610973782445445,0.0,0.0,0.0,4.3655745685100555e-11
11 + fiscal policy and VAT,sumsy,10,0,490.4,478,9,490.4,167.0,240.18333333333334,11.588201087476921,881.5534000000001,0.516575929753154,-289.1416633333333,2974.1905400000005,102.4,0,,0.7046247000782279,0.7834283720963571,910.4495183936566,-4.000875403719734,39.74384773849587,0.0947334252885698,227.2,15.9,0.9231770833333333,0.7834283720963571,0.0,0.0,0.0,1.7462298274040222e-10
2 + government,debt,10,0,510.5,509,10,510.5,193.3,0.0,12.853515868003452,338274.51119999995,207.68310692190494,3588.641371709702,338274.51119999995,120.0,0,,0.7185191958654371,0.7500770532669359,6380.983744684249,-2.7769032558732643,86.7057686602612,0.7754707077603312,242.7,0.8,0.9975260416666666,0.743976471037848,0.0,0.0,0.0,5.820766091346741e-10
2 + government,sumsy,10,0,480.8,467,6,480.8,180.4,0.0,4.594859027458624,0.0,0.0,-459.5003433333333,5981.906940000001,22.0,10,56.0,0.42204318924498774,0.7301279820973702,2286.0679640279977,4.1791312252851816,49.873334656460905,4.675120917317126,8.3,1.8,0.971875,0.7017602602322363,0.0,0.0,0.0,2.764863893389702e-10
