round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,8241.51280000001,0.0,8272.044399999999,0.0,949.074,,0.0,0.0,949.074,0.0,949.074,0.0,0.00375,25.8968,2925.0009,0.0,1.0,975.0003,1889.5452333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,22.25149230769231,-11.254046153846154,10.997446153846152,1.3894923076923078,3.3864769230769225,4.77596923076923,301.69920000000064,0.0,301.69920000000064,0.0,0,0,0.0,0.0,11.5832,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,1.176,132.3032,1.176,51.82310000000001,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,5.0,5.199999999999997,NaN,0.75,3.73124324324325,3.9200000000000013,80.0,21.0,40.0,512.0,185.0,51.0,81,0,0,0,15,6.0,512.0,5210.998000000003,885.9704,1149.5824,192,0,0,32,0.0415949083793552,0.673775453490896,0.07472770321438493,0,1415.5739999999994,105.0,15,0,0.0,0,0,0,0.0,0,0.0,5104.678000000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,52.0,969.0652,4,86.3201,60.42399999999999,NaN,1280.0,100.0,-0.19530796874999998,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,2266.32,2266.32,38.583900000000085,0.0,38.583900000000085,0.0,86.3201,224.05199999999996,3004.6180000000004,0.7345909362251379,96,3863.778,32,1240.8999999999996,4,0.0,4,949.074,2,29.355600000000255,25.8968,11.25,0,0,40,40,11 + government reserve,debt,5,-1.8189894035458565e-11
2,128,4,4,8001.193599999996,0.0,8059.222,0.0,1382.2168000000004,,0.0,0.0,1382.2168000000004,0.0,433.1428,3.559,0.00375,0.0,2325.0009,0.0,1.0,575.0003,1464.3292000000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,2,22.657340000000005,-11.158079230769234,11.49926076923077,2.263327692307693,2.2025784615384616,4.465906153846154,890.9794000000068,301.699200000001,890.9794000000068,0.0,0,0,0.0,0.0,82.1473,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,58.02839999999999,71.88859999999998,0.0,0,13.860200000000003,254.17940000000002,0.0,119.5196999999994,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,410.0,0.0,0.00311688823005869,4.878867432950194,5.4982904347826125,1.8499999999999996,1.1135539130434777,3.518418443804022,3.802399999999999,230.0,261.0,115.0,512.0,347.0,51.0,41,0,0,1,9,3.0,512.0,4959.430600000001,559.6475,1792.5238,192,0,0,32,0.08159347056645982,0.6583632960735879,0.08939855346822179,4,1563.2650000000028,1273.3844000000008,9,0,43.0,0,0,0,0.0,0,0.0,5303.6774,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,79.54999999999998,64.0,689.5917,4,0.0,0.0,NaN,1280.0,100.0,-0.1862639192708333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,12,0.0,0,0.0,2266.32,2155.328,2301.943540540545,0.0,2301.943540540545,0.0,0.0,18.6768,3041.763,0.699161281160037,96,3948.0504000000024,32,1355.6269999999997,4,0.0,4,949.074,2,56.91120000000015,0.0,11.25,0,0,115,115,11 + government reserve,debt,5,-1.8189894035458565e-11
3,128,4,4,7974.0976,0.0,7967.182500000001,0.0,1570.4496000000004,,0.0,0.0,1570.4496000000004,0.0,188.23280000000003,5.183049125000002,0.00375,0.0,2019.5501091954025,0.0,1.0,469.5495091954022,1193.7525394636018,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,26.683733424293678,-10.866648462901802,15.817084961391878,2.7066850808697716,2.007202912901301,4.713887993771072,993.4093000000076,890.9794000000068,993.4093000000076,0.0,0,0,0.0,0.0,76.62089999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,68.40089999999996,106.44069999999995,0.0,0,153.73529999999997,180.83129999999989,129.1809,286.4997999999999,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,308.5462,0.0,0.008608461760798216,4.850789130434788,5.445346212121211,1.7903563218390834,1.3392426356589147,3.4982095151899277,3.688327999999999,264.0,276.0,132.0,510.66666666666663,381.0,51.0,31,0,0,1,14,10.0,512.0,4902.217499999995,592.735,1947.3370999999997,183,3,6,32,0.09469547661976496,0.6696792329941272,0.11834979102739562,4,1588.3003000000003,1338.8178000000014,16,2,87.0,0,0,0,0.0,0,0.0,6405.371591304344,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,155.76100000000025,64.0,531.808,4,0.0,0.0,NaN,1280.0,100.0,-0.1828252652287138,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,2266.32,2035.938,3008.5340104422894,0.0,3008.5340104422894,0.0,0.0,0.3972,3071.8801,0.6838319917661575,96,3919.135899999999,32,2486.2356913043463,4,0.0,4,949.074,2,92.24635217391281,0.0,16.703308695652165,0,0,132,132,11 + government reserve,debt,5,-1.8189894035458565e-11
4,128,4,4,7909.492600000003,0.0,7737.352000000001,0.0,1731.7836,,0.0,0.0,1731.7836,0.0,161.334,5.8888697500000005,0.00375,0.0,1858.6006503748126,0.0,1.0,458.5840913043478,1048.8216002498752,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,29.86884847267157,-11.016004602085383,18.852843870586188,2.602721641091459,2.0748741395350643,4.677595780626524,1008.6784999999982,993.4093000000094,1008.6784999999982,0.0,0,0,0.0,0.0,81.02799999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,92.11439999999999,145.34269999999987,0.0,0,145.1616,209.76660000000018,129.5962,303.1393999999998,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,298.508,0.0,0.010116112495809,5.472892307692311,5.428842537313433,1.7156702127659582,1.4352826771653542,3.4032403670242717,3.5776781599999983,268.0,260.0,134.0,510.66666666666663,385.0,51.0,30,0,0,1,12,3.0,512.0,4779.831200000001,671.8042,2103.52,169,7,16,28,0.09375689289508782,0.6953111243200545,0.12076735657463367,4,1562.3352000000004,1422.9520000000007,12,0,47.0,0,0,0,0.0,0,0.0,7033.731081395349,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,80.63650000000004,64.0,354.3372,4,0.0,0.0,NaN,1280.0,100.0,-0.17456183094113373,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,2266.32,1784.8008,3081.959993936779,0.0,3081.959993936779,0.0,0.0,0.3972,3129.6614000000004,0.7011770383157785,100,2146.5211000000004,28,4887.209981395348,4,0.0,4,949.0739999999998,2,148.27803255813978,0.0,20.08863953488372,0,0,134,134,11 + government reserve,debt,5,-1.8189894035458565e-11
5,128,4,4,7755.897900000004,0.0,7581.1291,0.0,1934.3689,,0.0,0.0,1934.3689,0.0,202.58530000000002,6.4938245000000006,0.00375,0.0,1789.9173470049589,0.0,1.0,505.06137784184847,979.287711336639,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,27.82272467687556,-9.647879900376115,18.17484477649944,2.4051050211110416,1.7388330737790163,4.143938094890058,1052.4528000000064,1008.6784999999996,1052.4528000000064,0.0,0,0,0.0,0.0,83.9696,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,89.48619999999997,180.08839999999987,0.0,0,38.5698,192.16450000000003,1.1959,308.9706000000024,0.0,0.0,0.0,0.0,0.0,26,0.7086,0.0,0.0,0.0,0.0,324.45649999999995,0.0,0.013402349433211606,5.621998859315589,5.65112537313433,1.7083624999999998,1.5178440944881886,3.4752832367632354,3.4703478152,268.0,263.0,134.0,510.66666666666663,385.0,51.0,31,4,4,2,12,8.0,508.0,4651.3936,685.49,2307.2521,169,7,16,28,0.10413095839438324,0.7051901980170001,0.11163428609217596,4,1610.5408999999984,1478.5856999999999,14,2,8.0,0,0,4,0.0,0,0.0,7393.9897866141755,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,13.666899999999998,64.0,111.05359999999999,4,0.0,0.0,NaN,1280.0,100.0,-0.16819899862614832,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,2266.32,1742.1513,3045.210041776647,0.0,3045.210041776647,0.0,0.0,0.3972,3103.7957,0.7071300475104276,100,2146.4788000000003,28,5247.510986614172,4,0.0,4,949.0739999999998,2,169.46684251968514,0.0,21.529240157480313,0,0,134,134,11 + government reserve,debt,5,-1.8189894035458565e-11
6,128,4,4,7727.486799999999,0.0,7544.468999999999,0.0,2168.8501000000006,,0.0,0.0,2168.8501000000006,0.0,234.4812,7.253395125000002,0.00375,0.0,1760.810733264544,0.0,1.0,538.4258881874898,943.6819388430288,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,27.947405664743744,-9.217914329577557,18.729491335166188,2.379798255340066,1.5646111868409638,3.94440944218103,1017.2839999999966,1052.452800000007,1017.2839999999966,0.0,0,0,0.0,0.0,87.9382,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,81.23719999999994,207.5443999999997,0.0,0,127.70609999999996,156.11720000000003,92.00109999999998,311.1987000000015,0.0,0.0,0.0,0.0,0.0,28,11.2258,0.0,0.0,0.0,0.0,356.5372000000002,0.0,0.01410767851061509,5.61078970588235,5.60765038759689,1.6997,1.597586065573771,3.4717212969419338,3.3662373807439985,258.0,272.0,129.0,505.33333333333337,374.0,50.0,32,4,4,1,20,13.0,504.0,4442.694799999999,728.8275,2544.2174,169,7,16,28,0.11743230320761677,0.7119339857230595,0.11624325785722989,4,1610.1983999999968,1526.1347999999994,21,1,6.0,0,0,4,0.0,0,0.0,7674.422679527558,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,10.1982,64.0,0.5213,4,0.0,0.0,NaN,1280.0,100.0,-0.15715189909366797,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,2266.32,1696.794,2857.9485906831997,0.0,2857.9485906831997,0.0,0.0,0.3972,3273.5661999999998,0.7111567975711657,100,2112.1037,28,5562.318979527558,4,0.0,4,949.0739999999998,2,191.60858267716517,0.0,22.767661417322827,0,0,129,129,11 + government reserve,debt,5,-1.8189894035458565e-11
7,124,4,4,7617.159,0.0,5764.3711,0.0,2451.3039999999996,,0.0,0.0,2451.3039999999996,0.0,282.4539,8.132428750000003,0.00375,0.0,1745.519058901592,0.0,1.0,551.2563375746263,926.8097297439181,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.858723755662893,2.291787462024981,20.15051121768788,1.4941746954463007,2.1793701316554746,3.673544827101775,1029.6211,985.316599999997,1061.5884999999998,0.0,0,0,0.0,0.0,77.36659999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,80.89949999999996,231.15539999999987,1689.5846,8,23.9487,134.27650000000003,160.4391,276.9361999999987,0.0,0.0,0.0,0.0,0.0,45,12.1613,0.0,0.0,0.0,0.0,369.73180000000013,128.4717,0.013702384702844125,5.62331333333333,5.6105278195488735,1.6949499999999997,1.6758428571428572,3.4974273823105113,3.26525025932168,266.0,255.0,133.0,494.66666666666663,359.0,50.0,33,0,0,1,14,7.0,496.0,4186.772599999999,716.3266,2701.3772,169,7,16,28,0.08385697158898497,0.43299290085524,0.1683418864751165,0,1467.3876,1433.9448999999993,14,0,6.0,0,0,0,0.0,0,0.0,9493.988976229508,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,10.169699999999999,49.0,0.5213,4,0.0,0.0,NaN,1280.0,100.0,-0.14176928796320012,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,12,0.0,0,0.0,2266.32,0.0,2737.440870425221,0.0,2737.440870425221,0.0,0.0,0.0,3418.2251,0.7064258560203305,96,3576.3199999999997,28,5917.668976229507,4,0.0,4,949.0739999999998,2,-1458.0291442622952,0.0,23.963790983606565,4,0,133,133,11 + government reserve,debt,5,-1.8189894035458565e-11
8,124,4,4,7534.927300000002,0.3972,5681.0671999999995,0.0,2802.678699999999,,0.0,0.0,2802.678699999999,0.0,351.3747000000001,9.191364875,0.00375,0.0,1758.2735753620998,0.0,1.0,615.851730195218,930.712796074733,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,19.547002157175946,1.945576718115181,21.49257887529113,1.6949215587014543,1.8030473137426701,3.4979688724441247,982.4783999999995,1005.063200000001,1039.003699999999,0.0,0,0,0.0,0.0,83.1726,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,79.43009999999995,251.76769999999985,1689.5846,22,22.081699999999998,103.91620000000002,348.67460000000005,273.6692000000003,0.0,0.0,0.0,0.0,0.0,11,11.8772,0.0,0.0,0.0,0.0,437.55880000000013,218.89910000000012,0.015,5.555529104477611,5.611544444444447,NaN,1.777214285714287,3.5069733263513108,3.167292751542029,252.0,268.0,126.0,494.6666666666667,337.0,49.0,39,0,0,2,15,14.0,496.0,3861.4273999999996,744.0103,2917.0911,169,7,16,28,0.08104334264344026,0.457793056371657,0.12757813061939594,0,1510.1961999999999,1488.8817999999999,15,0,0.0,0,0,0,0.0,0,0.0,9718.39944285714,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,34.0,0.5213,4,0.0,0.0,NaN,1280.0,100.0,-0.11996852864583335,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,39,0.0,0,12,0.0,0,0.0,2266.32,0.0,2093.418109811893,0.0,2093.418109811893,0.0,0.0,0.0,3661.6227,0.7207104660635462,96,3466.4294,28,6251.970042857143,4,0.0,4,949.0739999999998,2,-1440.9422142857145,0.0,25.137642857142858,0,0,126,126,11 + government reserve,debt,5,-1.8189894035458565e-11
9,124,4,4,17728.205599999994,1.3156999999999999,14047.7903,0.0,13443.085299999999,,0.0,10275.9221,3167.1632,0.0,364.48450000000014,10.508538125,0.00375,0.0,1774.2802407470203,0.0,1.0,634.1111879421278,937.9989604980134,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.359692519069092,2.224310340373113,23.584002859442204,1.5320585444279953,1.8442595308774679,3.376318075305463,994.3096999999983,965.5045999999994,988.3074999999984,0.0,4,0,79.50130000000007,10267.7187,72.5182,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,77.85149999999996,271.9084999999999,3543.92,34,10297.6415,103.44469999999998,10615.4144,271.9340999999996,0.0,0.0,0.0,0.0,0.0,0,10280.5958,0.0,0.0,0.0,0.0,457.96920000000017,29.9652,0.015,5.519592217898828,5.586484732824416,1.7627,1.8411137096774188,3.524665493933049,3.072273968995767,262.0,257.0,131.0,493.3333333333333,325.00000000000006,49.0,41,0,0,2,16,9.0,496.0,3665.824899999999,709.3738,3072.4111000000003,169,7,16,28,0.06861880351906313,0.473739886349136,0.14317098412129803,0,1579.5052999999998,1418.535199999999,16,0,2.0,0,0,0,0.0,0,0.0,10138.85331428571,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.5254,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.01926072265625001,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,8,0.0,0,0.0,1654.7999999999997,0.0,1878.478315464513,0.0,1878.478315464513,0.0,0.0,0.0,3781.7849000000006,0.6719581088169528,96,3462.8371000000006,28,6676.016214285715,4,0.0,4,954.4786999999999,2,7024.6906285714285,-10275.9221,26.658214285714305,0,4,131,131,11 + government reserve,debt,5,-1.8189894035458565e-11
10,124,4,4,17821.34380000001,1.7128999999999999,14212.3739,0.0,13912.456899999997,,0.0,10523.8096,3388.647299999998,0.0,221.4841,11.874441875000004,0.00375,0.0,1796.0964391014677,0.0,1.0,664.1474080971656,951.2252660676451,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.031367865388866,2.3236031142077658,25.354970979596633,1.6362629357617176,1.9185663992217714,3.5548293349834887,1002.4216999999995,976.9140999999993,1013.8150999999993,0.0,4,0,79.50130000000007,10267.7187,71.6201,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,148.89969999999994,342.95669999999996,3543.92,35,761.6836,668.1482,773.077,258.0327999999999,0.0,0.0,0.0,0.0,0.0,0,10260.9539,0.0,0.0,0.0,0.0,489.1443999999999,0.0,0.0032911287063176406,5.493260311284045,5.69666335877862,NaN,1.8726830645161288,3.517780963248917,2.9801057499258943,262.0,257.0,131.0,493.3333333333333,313.0,49.0,44,0,0,1,12,7.0,496.0,3646.303599999999,701.9962,3212.0901,169,7,16,28,0.07343614211247784,0.48378490303103105,0.1299374926909349,0,1606.3514999999995,1411.7678999999996,12,0,0.0,0,0,0,0.0,0,0.0,10502.801154032248,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.04096540424962199,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,8,0.0,0,0.0,1654.7999999999997,0.0,1775.3469661345966,0.0,1775.3469661345966,0.0,0.0,0.0,3914.0863,0.6741999924503852,96,3476.0628,28,7026.738354032255,4,0.0,4,954.4786999999999,2,7091.49159032258,-10523.8096,27.616705645161282,0,4,131,131,11 + government reserve,debt,5,-1.8189894035458565e-11
