round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6455.996000000004,0.0,6483.469999999999,0.0,1079.074,,0.0,1079.074,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,1105.0003000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.8433846153846165,3.246153846153846,11.089538461538464,1.2188615384615382,3.207692307692308,4.426553846153846,270.72319999999974,0.0,270.72319999999974,0.0,0,0,0.0,0.0,11.183200000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,27.473999999999997,27.474,0.0,0,1080.25,119.05400000000002,1080.25,25.926299999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,940.0,6.664,0.005,5.0,5.199999999999997,NaN,0.75,3.6574436090225553,3.920000000000001,80.0,22.0,40.0,512.0,133.0,51.0,94,0,0,0,14,8.0,512.0,5102.310000000002,347.878,1005.808,192,0,0,32,0.03541869393470809,0.24333972678803306,0.06137249874299533,0,1372.3099999999997,110.0,14,0,0.0,0,0,0,0.0,0,0.0,7262.310000000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,94,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8410852581028863,96,3789.924,32,3472.386,4,-2091.182,4,-1958.3519999999999,2,26.29800000000016,-1079.074,11.25,0,0,40,40,3 + interest on deposits,debt,1,3.637978807091713e-11
2,128,4,4,7140.691299999994,0.0,7186.719499999999,0.0,1730.926,,0.0,1730.926,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,735.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.17803769230769,3.4483953846153854,11.626433076923075,1.4614292307692303,3.4291930769230774,4.890622307692308,842.4412000000075,270.72319999999985,842.4412000000075,0.0,0,0,0.0,0.0,74.30499999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.0282,59.8884,0.0,0,862.7022000000001,178.0069,848.842,88.54369999999975,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,570.0,0.0,0.0029894013542148767,4.806955984555994,5.499864035087726,NaN,1.119857017543859,3.506960854092521,3.8023999999999996,228.0,259.0,114.0,512.0,281.0,51.0,57,0,0,3,8,6.0,512.0,5380.120199999997,154.4649,1606.1062,192,0,0,32,0.04996938079561897,0.24737899507391137,0.09879889519998497,0,1522.8118000000024,1245.0016000000026,8,0,0.0,0,0,0,0.0,0,0.0,7540.120199999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,57,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4781948653823296,96,3921.978999999999,32,3618.1412,4,-2386.2913999999996,4,-1307.8138000000001,2,44.9110000000002,-1730.926,11.25,0,0,114,114,3 + interest on deposits,debt,1,3.637978807091713e-11
3,128,4,4,7893.115999999989,0.0,7960.8039,0.0,2135.334,,0.0,2135.334,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,637.084747876448,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.856383506356531,3.4787551894897706,16.3351386958463,2.440101714296216,3.411569699681812,5.8516714139780275,934.1686999999988,842.4412000000034,934.1686999999988,0.0,0,0,0.0,0.0,65.84009999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,67.6879,95.48000000000003,0.0,0,976.0507,223.626,962.1188,241.33129999999994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,478.4556,0.0,0.00477460124386712,4.735894545454539,5.415764122137397,NaN,1.3355427480916033,3.354483219546084,3.6883279999999994,262.0,275.0,131.0,508.0,315.0,51.0,48,0,0,1,15,11.0,512.0,5603.084599999996,566.1283000000001,1723.9031,192,0,0,32,0.07591161426957616,0.3192284432646253,0.11882318636281575,0,1525.3354,1302.3709999999983,15,0,0.0,0,0,0,0.0,0,0.0,8828.272810526309,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2245923358812618,96,3973.5329999999994,32,4854.739810526315,4,-2394.6032,4,-1139.7768999999998,2,66.62950000000035,-2135.334,16.797855263157885,0,0,131,131,3 + interest on deposits,debt,1,3.637978807091713e-11
4,128,4,4,8216.8842,0.0,8293.768499999998,0.0,2590.5122,,0.0,2590.5122,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,612.4850813618813,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.707762824006661,3.4534755782397637,19.161238402246425,3.0517059773172317,3.4534755782397637,6.505181555556995,943.3353000000047,849.5640999999946,1027.9399000000067,0.0,0,0,0.0,0.0,58.028499999999994,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,76.8843,134.35360000000003,0.0,4,598.782,275.01380000000006,653.7094,167.98360000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,456.2006999999999,0.0,0.008540034087872978,4.588743984962396,5.397160740740739,NaN,1.4305844444444447,3.2115918059855537,3.5776781599999987,270.0,266.0,135.0,510.6666666666667,323.0,51.0,46,0,0,0,14,7.0,512.0,5884.5776000000005,623.6744,1708.6322,192,0,0,32,0.09630120451423774,0.354389553113849,0.12189917377860415,0,1502.0989000000015,1220.6058999999973,14,0,0.0,0,0,0,0.0,0,0.0,9730.940714503815,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0953457485504874,96,4044.0486000000014,32,5686.8921145038175,4,-2265.1423,4,-1104.8078000000003,2,75.88469999999971,-2590.5122,20.03314122137405,0,0,135,135,3 + interest on deposits,debt,1,3.637978807091713e-11
5,128,4,4,8481.040399999994,0.0,8564.0166,0.0,2982.9739,,0.0,2982.9739,0.0,0.0,0.0,0.0,0.00375,0.0002,0.0,0.0,1.0,585.8260729186595,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.68644943529216,3.736660179619377,21.42310961491154,3.6572727780270773,3.736660179619377,7.393932957646454,927.969200000001,907.0554000000035,1048.8537000000026,0.0,0,0,0.0,0.0,56.531200000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,82.97619999999999,174.9391,0.0,8,569.3371000000001,305.18089999999995,655.728,206.31759999999935,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,434.3986000000002,0.0,0.010160835687618927,4.4711037593984875,5.297411851851855,NaN,1.5850207407407413,3.1387407167298975,3.4703478152,270.0,266.0,135.0,512.0,323.0,51.0,47,0,0,2,12,7.0,512.0,6173.286799999997,643.1385,1664.6149,192,0,0,32,0.11490233234627967,0.36888730971368,0.1359482062370756,0,1478.0227999999986,1189.3135999999977,12,0,0.0,0,0,0,0.0,0,0.0,10293.369999999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0300922443565175,96,4130.9057,32,6162.464300000001,4,-2173.7634,4,-1098.5850999999998,2,82.03539999999961,-2982.9737,21.45876666666667,0,0,135,135,3 + interest on deposits,debt,1,3.637978807091713e-11
6,128,4,4,8696.908599999999,0.0,8784.1129,0.0,3325.2838,,0.0,3325.2838,0.0,0.0,0.0,0.0,0.00375,0.0002,0.0,0.0,1.0,564.9427270067057,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.500953670100614,3.8727298347033696,24.37368350480398,4.548308155354364,3.8727298347033696,8.421037990057734,899.6074000000009,924.9126999999994,1023.5484000000009,0.0,0,0,0.0,0.0,54.5374,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,87.20429999999999,216.92329999999998,0.0,12,549.19,333.32179999999994,635.3749,237.54780000000062,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,417.3961000000001,0.0,0.010868897919747919,4.356517490494286,5.219224060150373,NaN,1.6343052631578934,3.053278758809249,3.3662373807439994,266.0,263.0,133.0,509.33333333333337,319.0,51.0,46,0,0,1,9,6.0,512.0,6457.578799999999,629.9848000000001,1609.3447999999999,192,0,0,32,0.13384670002013777,0.3889354367772604,0.1421473468549581,0,1430.0561000000002,1145.7640999999974,9,0,0.0,0,0,0,0.0,0,0.0,11022.438533333334,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9845760032144797,96,4214.834400000002,32,6807.604133333336,4,-2115.0023,4,-1103.6152000000002,2,86.32229999999987,-3325.2836,23.77531111111112,0,0,133,133,3 + interest on deposits,debt,1,3.637978807091713e-11
7,128,4,4,8918.234699999997,0.0,9008.6231,0.0,3672.0076,,0.0,3672.0076,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,570.1041289802452,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.232610401361015,3.9165316101147045,26.14914201147572,5.351297058174822,3.9165316101147045,9.267828668289527,876.1773000000003,906.6143000000008,993.1113999999993,0.0,0,0,0.0,0.0,55.206900000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,90.38839999999999,260.0557,0.0,16,581.3677999999999,360.0417,658.3537,240.00590000000048,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,426.3382000000001,0.0,0.011382208188145247,4.259474358974352,5.114530303030295,NaN,1.579279545454545,2.989073114152402,3.2652502593216792,264.0,273.0,132.0,510.6666666666667,317.0,51.0,48,0,0,2,16,9.0,512.0,6703.680899999999,609.303,1605.2507,192,0,0,32,0.1508605293576475,0.3979860921362206,0.14225094359150914,0,1408.9385999999986,1162.836499999998,16,0,0.0,0,0,0,0.0,0,0.0,11410.480057894732,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9476058323063956,96,4277.869000000001,32,7132.611057894734,4,-2063.7693,4,-1057.4692999999997,2,89.56519999999982,-3672.0074999999997,24.5145789473684,0,0,132,132,3 + interest on deposits,debt,1,3.637978807091713e-11
8,128,4,4,9139.175400000002,0.0,9232.2122,0.0,4017.8103,,0.0,4017.8103,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,543.683146904071,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.11875518691504,3.9504097953581674,27.069164982273204,6.434166067198625,3.9504097953581674,10.384575862556792,888.9925000000051,864.0335999999996,1018.0703000000054,0.0,0,0,0.0,0.0,53.118700000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,93.03679999999999,304.3581,0.0,20,609.2233,388.2826,696.6471,216.23929999999956,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,403.11949999999985,0.0,0.011643193657083451,4.202980656934309,5.106939259259263,NaN,1.5762059259259271,2.927427720885936,3.167292751542029,270.0,274.0,135.0,509.33333333333337,323.00000000000006,51.0,46,0,0,2,16,13.0,512.0,6939.769799999997,590.5765000000001,1608.8291,192,0,0,32,0.17031762057691013,0.39980131341262504,0.1476502303964904,0,1387.7056000000023,1151.6167000000007,16,0,0.0,0,0,0,0.0,0,0.0,11488.094890909093,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.921405672952919,96,4330.9482,32,7157.14669090909,4,-2010.581,4,-1003.6509,2,92.27240000000032,-4017.8103,23.689193181818176,0,0,135,135,3 + interest on deposits,debt,1,3.637978807091713e-11
9,128,4,4,9363.080999999996,0.0,9458.5121,0.0,4366.3238,,0.0,4366.3238,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,534.0017686787729,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.154751928422193,4.166193518007535,28.32094544642973,7.278807817272476,4.166193518007535,11.445001335280011,879.9889999999994,867.7580000000003,1030.3012999999983,0.0,0,0,0.0,0.0,49.986000000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,95.43109999999999,349.82570000000004,0.0,24,641.7321000000001,417.8265,748.9712000000001,205.57730000000012,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,395.30339999999995,0.0,0.011774958867099783,4.16469618320611,5.08916444444445,NaN,1.543067407407407,2.8685945150015297,3.072273968995767,270.0,262.0,135.0,509.33333333333337,323.00000000000006,51.0,46,0,0,1,11,9.0,512.0,7208.570999999995,605.2077999999999,1549.3021,192,0,0,32,0.18181074047130852,0.40136046515425394,0.14485556760806784,0,1359.9515999999987,1091.150400000001,11,0,0.0,0,0,0,0.0,0,0.0,11748.04406666667,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8928623830894291,96,4382.830199999999,32,7365.21386666667,4,-1924.0349,4,-1012.9378999999997,2,94.72550000000024,-4366.3237,23.643088888888908,0,0,135,135,3 + interest on deposits,debt,1,3.637978807091713e-11
10,128,4,4,9572.921599999998,0.0,9670.587899999999,0.0,4700.6132,,0.0,4700.6132,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,541.0488000946307,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.769707530224206,4.052871129265178,28.822578659489384,8.096694595129907,4.052871129265178,12.149565724395085,869.2760000000014,888.3600000000001,1011.2172999999999,0.0,0,0,0.0,0.0,55.9611,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,97.66629999999999,396.4723000000001,0.0,28,658.7789,448.93829999999997,756.3088,228.59079999999923,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,403.6138,0.0,0.011855575879040747,4.164629347826085,5.072403759398506,NaN,1.5443714285714287,2.8244760941874625,2.9801057499258943,266.0,276.0,133.0,510.6666666666667,319.0,51.0,47,0,0,1,16,14.0,512.0,7403.203000000002,603.1205,1566.5981000000002,192,0,0,32,0.2020486208807184,0.40759144954257875,0.14358889077236858,0,1344.069699999998,1149.4376999999995,16,0,0.0,0,0,0,0.0,0,0.0,11847.23713333334,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8678372672462626,96,4386.805199999999,32,7460.4319333333315,4,-1854.2074,4,-945.4019,2,97.01949999999941,-4700.6132,23.146011111111108,0,0,133,133,3 + interest on deposits,debt,1,3.637978807091713e-11
