round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6417.2627999999995,0.0,6447.794399999999,0.0,949.0739999999995,,0.0,442.07,507.0039999999995,0.0,507.0039999999995,0.0,0.00375,0.0,0.0,0.0,1.0,975.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.68743076923077,3.4634615384615386,11.150892307692308,1.1538461538461537,2.923076923076923,4.076923076923077,301.69920000000064,0.0,301.69920000000064,0.0,0,0,0.0,0.0,11.5832,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,443.246,132.3032,443.246,25.926299999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,5.0,5.199999999999997,NaN,0.75,3.73124324324325,3.9200000000000013,80.0,26.0,40.0,512.0,185.0,51.0,81,0,0,0,16,10.0,512.0,4685.25,361.7448,972.9947999999999,192,0,0,32,0.0652317278960568,0.2373614475160093,0.07478719763149067,0,1415.5739999999994,130.0,16,0,0.0,0,0,0,0.0,0,0.0,7285.574000000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,52.0,397.2732,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.966929597179912,96,3846.8099999999995,32,3438.764,4,-1447.982,4,-1295.1519999999998,2,29.355600000000255,-442.07,11.25,0,0,40,40,7 + two more theatres,debt,3,0.0
2,128,4,4,6409.681699999998,0.0,6458.5893,0.0,1398.6661999999994,,0.0,419.9665,978.6996999999994,0.0,471.6957000000003,1.900622499999999,0.00375,0.0,0.0,0.0,1.0,565.0002999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.222901538461535,3.3622061538461536,11.58510769230769,1.6375676923076938,2.6386015384615384,4.2761692307692325,883.8388000000059,301.699200000001,883.8388000000059,0.0,0,0,0.0,0.0,74.0814,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,48.9076,62.767800000000015,0.0,0,148.589,156.17010000000002,134.7288,119.5196999999994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0033056230524769223,4.822312592592595,5.503466086956519,1.85,1.1327086956521737,3.518418443804022,3.802399999999999,230.0,270.0,115.0,512.0,347.0,51.0,40,0,0,1,14,11.0,512.0,4464.618799999999,168.278,1641.2673,192,0,0,32,0.09390307577883172,0.24476695671833615,0.10237077147171636,0,1555.137700000003,1302.0244000000005,14,0,2.0,0,0,0,0.0,0,0.0,7536.638499999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.7,64.0,135.5176,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7195256921155957,96,3944.2778999999987,32,3592.3606000000004,4,-1745.5043999999998,4,-587.3063,2,47.79040000000046,-419.9665,11.25,0,0,115,115,7 + two more theatres,debt,3,0.0
3,128,4,4,6801.260299999996,0.0,6857.739600000001,0.0,1613.6554999999992,,0.0,397.863,1215.792499999999,0.0,237.0928,3.669379749999997,0.00375,0.0,0.0,0.0,1.0,487.0043511111112,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.850344845142146,3.5003880525174114,16.350732897659558,1.613107309604241,2.7792937142877117,4.392401023891952,988.8923000000017,883.8388000000053,988.8923000000017,0.0,0,0,0.0,0.0,63.423500000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,56.47930000000001,90.22910000000003,0.0,0,533.9473999999999,142.36879999999996,514.0577999999999,277.78490000000005,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,327.86760000000004,0.0,0.008413603123876859,4.730045283018859,5.420815555555558,1.7048764705882342,1.3246325925925921,3.4524826619132587,3.688327999999999,270.0,265.0,135.0,510.66666666666663,373.99999999999994,51.0,33,0,0,2,12,10.0,512.0,4467.9539,586.1781,1706.2422000000001,192,0,0,32,0.08165092341681324,0.3224047627894502,0.11456053863863924,0,1577.418399999999,1253.4619999999975,12,0,51.0,0,0,0,0.0,0,0.0,8879.267443478255,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,86.94869999999995,51.0,40.8861,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.477882058372998,96,3974.577600000001,32,4904.689843478261,4,-1784.2360999999999,4,-482.75820000000016,2,55.42089999999997,-397.863,16.990630434782606,0,0,135,135,7 + two more theatres,debt,3,0.0
4,128,4,4,6723.314500000004,0.0,6786.8045,0.0,1884.3212999999992,,0.0,375.7595,1508.561799999999,0.0,292.7693,4.5582942499999985,0.00375,0.0,0.0,0.0,1.0,463.0369780153737,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.61854646857247,3.3391069171745076,18.957653385746976,1.922232369843869,2.6428223162360345,4.565054686079904,976.7458999999935,903.7179999999962,1061.9201999999952,0.0,0,0,0.0,0.0,65.7561,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,63.49000000000002,121.28639999999999,0.0,6,85.4676,163.4134,189.3528,198.91980000000004,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,306.9451,42.75749999999999,0.008566200141948109,4.60620967741935,5.400150375939849,1.6715052631578944,1.424893984962406,3.330963170599535,3.5776781599999983,266.0,279.0,133.0,509.3333333333333,382.99999999999994,51.0,31,0,0,1,18,16.0,512.0,4340.5202999999965,656.5624,1724.671,192,0,0,32,0.0874117447034517,0.35824391332619854,0.13982892329934238,0,1509.676100000001,1285.1324999999986,18,0,38.0,0,0,0,0.0,0,0.0,9597.343966666665,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,63.51719999999999,64.0,1.5608,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3518327955885188,96,3997.9194999999986,32,5599.424466666666,4,-1651.7404000000001,4,-424.75619999999986,2,62.49039999999978,-375.7595,19.86948888888888,0,0,133,133,7 + two more theatres,debt,3,0.0
5,128,4,4,6593.237800000003,0.0,6657.0858,0.0,2062.3786999999993,,0.0,353.656,1708.7226999999991,0.0,200.16090000000005,5.656010499999999,0.00375,0.0,0.0,0.0,1.0,423.9234091652573,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.394065739443477,3.621771397711315,21.01583713715479,1.5844964923551002,2.79597813395177,4.38047462630687,965.2670000000031,944.6882999999947,1082.498900000002,0.0,0,0,0.0,0.0,54.4626,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,63.84800000000004,149.2552,0.0,17,27.610799999999998,157.6875,284.781,253.40160000000108,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,271.9175000000001,167.5490999999999,0.010699568266311068,4.488653281853272,5.2899632352941195,1.6422833333333342,1.5468051470588247,3.2005013351024143,3.4703478152,272.0,259.0,136.0,510.66666666666663,389.0,51.0,29,0,0,1,11,9.0,512.0,4308.2675,643.3469,1641.6234,192,0,0,32,0.07255438254037117,0.37219570074076036,0.1610949715791099,0,1384.184299999999,1162.5611999999974,11,0,36.0,0,0,0,0.0,0,0.0,10054.004876691723,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,59.122200000000035,64.0,0.0,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2995511570442086,96,4054.738700000001,32,5999.266176691731,4,-1602.8445000000002,4,-468.23060000000004,2,62.90719999999996,-353.656,21.37340977443609,0,0,136,136,7 + two more theatres,debt,3,0.0
6,128,4,4,6686.2373,0.0,6284.492800000001,0.0,2700.353799999998,,0.0,550.1129,2150.240899999998,0.0,441.5181999999999,6.406376624999999,0.00375,0.0,0.0,0.0,1.0,428.52012438391,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.252320116508432,3.4143511425793935,23.666671259087828,1.6335223338052116,2.681181948826575,4.314704282631787,938.1753000000023,935.5351000000019,1077.9999000000023,0.0,1,0,7.139199999999998,443.784,53.3713,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,65.56200000000004,176.59740000000008,472.0275,30,244.18859999999998,151.18910000000002,611.3906,242.5049000000002,0.0,0.0,0.0,0.0,0.0,8,441.4485,0.0,0.0,0.0,0.0,280.3942000000001,193.5074000000004,0.01067564228662593,4.366202985074618,5.225116417910459,1.6049510638297877,1.647561940298506,3.0808531384445668,3.366237380743999,268.0,268.0,134.0,510.6666666666667,384.99999999999994,51.0,31,0,0,2,14,9.0,512.0,3993.2718999999997,644.9357,1606.5812,192,0,0,32,0.06562146737835439,0.3999147706953874,0.18937619379794768,0,1365.9399000000012,1170.1423999999975,14,0,47.0,0,0,0,0.0,0,0.0,10531.631623529413,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,75.43270000000003,48.0,0.0,3,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1154727504774993,96,3981.0054999999993,32,6550.626123529414,4,-1539.1443,4,-463.69959999999986,2,38.821999999999804,-550.1129,23.202077205882368,0,1,134,134,7 + two more theatres,debt,3,0.0
7,128,4,4,7927.998100000005,0.0,6581.4723,0.0,4329.942299999998,,0.0,1908.729,2421.2132999999976,0.0,270.97240000000016,8.060995749999998,0.00375,0.0,0.0,0.0,1.0,456.019571931163,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.637309271076784,3.346015020183744,25.983324291260526,1.8549156988861464,2.549733460448264,4.404649159334411,915.2499999999998,914.3783000000033,1028.1503999999995,0.0,3,0,57.86039999999999,1846.8545,52.23610000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,80.67390000000003,202.04900000000015,1446.3815,42,1401.9873,160.22650000000002,1774.2449,240.31540000000106,0.0,0.0,0.0,0.0,0.0,3,1824.8627,0.0,0.0,0.0,0.0,311.93420000000003,107.07990000000004,0.010698312631861339,4.2641388888888825,5.143725373134324,1.5816,1.6186022388059709,3.023005958014817,3.2652502593216792,268.0,270.0,134.0,509.3333333333333,369.0,51.0,35,0,0,2,14,11.0,512.0,3899.718900000001,626.0402,1577.3763,192,0,0,32,0.06887210691807844,0.4133494320030251,0.168195639125845,0,1366.7899000000016,1151.3174999999983,14,0,29.0,0,0,0,0.0,0,0.0,10999.2305880597,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,45.8664,16.0,0.0,1,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8373069267843989,96,4010.1863000000008,32,6989.044288059698,4,-1495.9284,4,-453.3313,2,477.5136999999995,-1908.729,24.71342910447759,0,3,134,134,7 + two more theatres,debt,3,0.0
8,128,4,4,7793.2103000000025,0.0,6025.7926,0.0,4633.181999999996,,0.0,1907.3566,2725.825399999996,0.0,304.61209999999977,9.076780374999997,0.00375,0.0,0.0,0.0,1.0,511.16133577611504,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.4849203776345,3.5923313942505053,27.077251771885006,1.625834616562199,2.7377779403562945,4.363612556918493,894.6840000000012,900.825599999999,992.080000000002,0.0,4,0,87.7892000000001,1858.6311999999998,51.2322,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,112.34590000000001,233.72100000000012,1903.6041,48,101.2415,236.0293,285.197,238.32180000000025,0.0,0.0,0.0,0.0,0.0,0,1798.9269,0.0,0.0,0.0,0.0,370.44490000000013,0.0,0.010218834825975322,4.199285384615389,5.1446813432835805,1.5563239999999996,1.5732873134328353,2.95136078140455,3.167292751542029,268.0,260.0,134.0,509.3333333333333,337.0,51.0,42,0,0,2,12,5.0,512.0,3868.2682999999997,615.5082,1510.5068999999999,192,0,0,32,0.05783349429413964,0.4125417597267935,0.15140344680450069,0,1395.0540999999994,1091.8142000000012,12,0,25.0,0,0,0,0.0,0,0.0,11188.9881477612,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,38.90809999999999,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7434133802197969,96,4112.162100000001,32,7076.826047761195,4,-1444.349,4,-480.6275000000002,2,30.744800000000055,-1907.3566,24.279033582089564,0,4,134,134,7 + two more theatres,debt,3,0.0
9,128,4,4,7733.200900000002,0.0,5996.8768,0.0,4961.872299999996,,0.0,1980.1842,2981.6880999999967,0.0,255.86270000000005,10.218211000000002,0.00375,0.0,0.0,0.0,1.0,550.2626124180293,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.14251670949521,3.663382469288269,27.80589917878348,1.6972283379351518,2.8248579291238354,4.522086267058987,870.1668000000013,902.0432000000011,960.2035999999991,0.0,4,0,87.7892000000001,1858.6311999999998,56.9272,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,143.43950000000004,264.8146000000001,1903.6041,52,180.5036,240.51300000000006,270.5405,241.33180000000024,0.0,0.0,0.0,0.0,0.0,0,1746.269,0.0,0.0,0.0,0.0,411.6874999999998,0.0,0.014658570992535338,4.245723076923077,5.09886893939394,NaN,1.5529340909090925,2.9045710337296846,3.072273968995767,264.0,260.0,132.0,509.33333333333337,317.0,51.0,48,0,0,2,7,4.0,512.0,3887.0481,616.0101999999999,1483.8736,192,0,0,32,0.057016084591607896,0.4128408064622495,0.14439571221137282,0,1368.5586000000003,1103.888,7,0,0.0,0,0,0,0.0,0,0.0,11333.12366268657,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7295369485085883,96,4196.069699999999,32,7137.053962686566,4,-1381.7356,4,-467.6875999999999,2,9.23929999999973,-1980.1842,23.59930970149253,0,4,132,132,7 + two more theatres,debt,3,0.0
10,128,4,4,7639.0561,0.0,5933.6173,0.0,5282.065299999997,,0.0,2018.6681,3263.3971999999967,0.0,281.7091000000001,11.177166624999998,0.00375,0.0,0.0,0.0,1.0,551.5617312182673,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.63727104890748,3.6070217268418543,28.244292775749333,1.804991086052208,2.731522582001073,4.536513668053281,858.7308000000002,894.2379000000011,924.6964999999996,0.0,4,0,87.7892000000001,1858.6311999999998,56.7372,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,174.32480000000007,295.6999000000002,1903.6041,56,155.1851,249.32990000000004,221.1508,252.45029999999957,0.0,0.0,0.0,0.0,0.0,0,1677.8939,0.0,0.0,0.0,0.0,411.4525,0.0,0.015,4.1820724528301865,5.066147328244283,NaN,1.5622847328244278,2.939642735042733,2.9801057499258943,262.0,265.0,131.0,509.33333333333337,315.0,51.0,48,0,0,2,8,7.0,512.0,3880.528699999999,600.0478999999999,1480.5856,192,0,0,32,0.058367955723082066,0.41590538684340816,0.1657759970118562,0,1372.5074999999986,1108.2491999999995,8,0,0.0,0,0,0,0.0,0,0.0,11549.696081818187,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7186440774612308,96,4236.166100000001,32,7313.529981818186,4,-1335.5865,4,-431.4023999999999,2,-28.19169999999997,-2018.6681,23.294011363636386,0,4,131,131,7 + two more theatres,debt,3,0.0
