round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6686.11459999999,0.0,499.4,199.4,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,29.7533,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.570631538461537,4.216211256009616,25.786842794471152,2.815673846153845,2.313026153846154,5.128699999999999,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,60.20539999999998,199.4,29.982300000000002,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,60.20539999999998,29.982300000000002,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,19.0,40.0,512.0,185.0,51.0,81,0,0,0,11,8.0,512.0,4718.204999999998,0.0,1056.0614999999998,159,33,0,32,0.12803087058531792,0.39797973476547543,0.6580573641879603,3,1290.7654999999997,95.0,11,0,128.0,0,0,0,0.0,0,0.0,12590.595099999977,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,256.0,52.0,827.6196,4,34.93600000000001,34.94080000000005,NaN,1280.0,100.0,0.150018359375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1109.5901,768,720.0,120.0,0.0,661.0720000000001,288.4080000000001,372.6640000000001,32.328,2.608,199.8975,774.091,0.44538728113820847,96,4776.214575000003,32,7814.380525000001,4,0.0,4,175.8,2,54.4752,-110.4967,37.5,0,0,40,40,9 co-ops (side rung),sumsy,9,0.0
2,128,4,4,7254.527,0.0,4001.6324,520.1899000000001,250.74670000000003,,250.74670000000003,0.0,0.0,0.0,0.0,0.0,0.0025,35.2158,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.20778923076923,3.8574410336538465,26.065230264423075,2.2458338461538467,2.430986153846154,4.676820000000001,640.3424000000005,225.99999999999983,640.3424000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.5915,0.0,48,640.0,71.58759999999995,520.1899000000001,35.602299999999985,0.0,0.0,0.0,0.0,0.0,1,17.7468,640.0,71.58759999999995,35.602299999999985,82.0,0.0,0.0,0.015,4.753520000000009,5.507454867256641,1.9993064516129044,NaN,3.4904882352941033,3.802399999999999,226.0,270.0,113.0,512.0,340.0,51.0,42,0,0,0,12,10.0,512.0,4872.335700000003,184.9149,1672.0038,79,113,0,17,0.08935430293857838,0.3954855888099804,0.364101087008728,0,1803.9561000000024,1283.4504000000024,12,0,93.0,0,0,0,0.0,0,0.0,12703.864999999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,185.9355000000001,61.0,472.31,4,0.0,0.0,NaN,1280.0,100.0,0.17609976562499996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,6,6,1161.2918,768,720.0,120.0,0.0,2785.2338945945958,1421.0530648648655,1364.1808297297302,0.0,0.0,152.1752,1167.9369,0.43294403870736864,111,8395.973578124996,17,4307.891421875,4,0.0,4,173.9475,2,113.4924,-215.53090000000003,37.5,0,0,113,113,9 co-ops (side rung),sumsy,9,0.0
3,128,4,4,7812.3646,0.0,4984.685100000001,383.99479999999994,348.8666000000001,,348.8666000000001,0.0,0.0,0.0,0.0,0.0,0.0025,40.3748,0.0,0.0,1.0,133.3357,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.755370109534983,4.259544560328646,28.01491466986363,2.4224267166549898,2.9144248731628126,5.336851589817803,733.7228999999988,640.3423999999998,733.7228999999988,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.250299999999998,0.0,48,640.0,82.16240000000002,383.99480000000005,40.845600000000005,0.0,0.0,0.0,0.0,0.0,7,22.97,640.0,82.16240000000002,40.845600000000005,82.0,0.0,0.0,0.015,4.674182795698926,5.341215671641782,1.94029625,NaN,3.336616457142868,3.688327999999999,268.0,279.0,134.0,512.0,385.0,51.0,31,0,0,1,22,12.0,512.0,5037.515399999998,425.42560000000003,1835.2226999999998,58,134,0,13,0.09988187486483913,0.39175147088013507,0.2773632454167718,0,1899.2860000000003,1304.0970000000004,22,0,160.0,0,0,0,0.0,0,0.0,13082.366999999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,310.4474,64.0,450.8561,4,0.0,0.0,NaN,1280.0,100.0,0.19097625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1385.9352999999999,768,720.0,120.0,0.0,3280.518738990096,1649.7915635085828,1630.7271754815135,0.0,0.0,172.5917,1325.5691,0.42575406392372495,115,9665.485113281253,13,3416.8818867187497,4,0.0,4,172.09499999999997,2,184.4251,-308.4918000000001,37.5,0,0,134,134,9 co-ops (side rung),sumsy,9,0.0
4,128,4,4,8359.5155,0.0,5016.5819,124.00769999999999,439.60260000000017,,439.60260000000017,0.0,0.0,0.0,0.0,0.0,0.0025,45.7273,0.0,0.0,1.0,131.11079999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.293465000627304,4.876083779185977,29.169548779813283,3.1298387549156463,3.254954825505251,6.384793580420897,741.8166999999997,733.7229000000007,741.8166999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.533300000000004,0.0,48,640.0,92.84909999999994,124.0077,46.19159999999998,0.0,0.0,0.0,0.0,0.0,12,9.2462,640.0,92.84909999999994,46.19159999999998,82.0,0.0,0.0,0.015,4.524593076923084,5.245048550724635,1.9130512499999999,NaN,3.194668263153566,3.5776781599999983,276.0,260.0,138.0,510.66666666666663,392.99999999999994,51.0,29,0,0,1,13,4.0,512.0,5520.980700000003,466.4919,1776.1797000000001,54,138,0,12,0.10798957995248015,0.3809148746033235,0.2683631781894713,0,1860.7035000000008,1176.394200000002,13,0,160.0,0,0,0,0.0,0,0.0,13586.474499999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,306.0882,64.0,540.8897,4,0.0,0.0,NaN,1280.0,100.0,0.20032377604166665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,6,6,1489.2396999999999,768,720.0,120.0,0.0,3141.5507743454227,1511.6096829304938,1629.941091414929,0.0,0.0,200.8686,1294.3216,0.4161095324645372,116,10350.976518749998,12,3235.4979812499996,4,0.0,4,170.24250000000006,2,253.53730000000002,-393.87530000000015,37.5,0,0,138,138,9 co-ops (side rung),sumsy,9,0.0
5,128,4,4,8895.809400000002,0.0,4846.4949,81.1875,520.7901000000002,,520.7901000000002,0.0,0.0,0.0,0.0,0.0,0.0025,51.1425,0.0,0.0,1.0,126.91479999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.384361976623104,5.58452697286759,29.968888949490694,3.7359942781084716,3.6801924048928436,7.416186683001316,714.1811000000004,741.8166999999995,714.1811000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-19.77170000000001,0.0,48,640.0,103.70609999999998,81.1875,51.61630000000001,0.0,0.0,0.0,0.0,0.0,15,54.8078,640.0,103.70609999999998,51.61630000000001,82.0,0.0,0.0,0.015,4.395251515151515,5.15689703703704,1.8933524999999993,NaN,3.0045354930431283,3.4703478152,270.0,264.0,135.0,510.66666666666663,387.0,51.0,30,0,0,3,11,4.0,512.0,5910.2767,507.6671,1735.479,54,138,0,12,0.11009047081183998,0.36135168083562297,0.2700394287636818,0,1760.0257999999997,1160.3464000000001,11,0,160.0,0,0,0,0.0,0,0.0,13995.462099999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,302.9363999999999,64.0,636.4363,4,4.7488,4.744399999999999,NaN,1280.0,100.0,0.22019778645833332,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1559.2914000000003,768,720.0,120.0,0.0,2775.331032829237,1299.2941557144804,1476.0368771147564,3.9724000000000004,0.7764,204.3256,1320.291,0.3987800993369437,116,10769.406656249997,12,3226.0554437499995,4,0.0,4,168.38999999999993,2,327.94139999999993,-469.6476000000002,37.5,0,0,135,135,9 co-ops (side rung),sumsy,9,0.0
6,128,4,4,9421.230999999994,0.0,4667.365300000001,72.14500000000001,592.9350000000002,,592.9350000000002,0.0,0.0,0.0,0.0,0.0,0.0025,56.5626,0.0,0.0,1.0,123.28740000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.25093615280614,5.906751437006226,31.15768758981237,4.724800058380445,3.9461380471582252,8.670938105538669,688.3873000000004,714.1810999999991,688.3873000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-26.615725000000012,0.0,48,640.0,114.57840000000003,72.145,57.047199999999975,0.0,0.0,0.0,0.0,0.0,17,52.8787,640.0,114.57840000000003,57.047199999999975,82.0,0.0,0.0,0.015,4.288405839416059,5.07869166666667,1.9285487499999998,NaN,2.9759036876640432,3.3662373807439985,264.0,274.0,132.0,508.0,381.00000000000006,51.0,31,0,0,0,13,9.0,512.0,6295.019299999996,537.7139999999999,1759.6019000000001,54,138,0,12,0.12378905243686034,0.3511689741746207,0.29354357708728696,0,1723.0178999999998,1175.0232000000003,13,0,160.0,0,0,0,0.0,0,0.0,14262.185400000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,308.5678,64.0,719.4545,4,18.3144,18.309199999999972,NaN,1280.0,100.0,0.25774583333333334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1534.7734,768,720.0,120.0,0.0,2421.4074371568254,1200.9659685784125,1220.4414685784125,11.0642,7.2501999999999995,251.8645,1481.997,0.3900158480112532,116,11011.857903124997,12,3250.3274968749997,4,0.0,4,166.5374,2,382.76030000000003,-536.3724000000002,37.5,0,0,132,132,9 co-ops (side rung),sumsy,9,0.0
7,128,4,4,9936.2224,0.0,4479.8181,63.7273,656.6623000000002,,656.6623000000002,0.0,0.0,0.0,0.0,0.0,0.0025,61.759,0.0,0.0,1.0,120.2899,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.971783961371987,6.297429486545701,32.269213447917686,5.903765468041562,4.063858163036204,9.967623631077766,684.9347999999992,688.3872999999996,684.9347999999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-33.06612500000003,0.0,48,640.0,125.00859999999994,63.7273,62.255499999999984,0.0,0.0,0.0,0.0,0.0,19,115.74199999999999,640.0,125.00859999999994,62.255499999999984,82.0,0.0,0.0,0.015,4.1809936090225595,4.977125373134323,1.973155625000001,NaN,2.909054503365254,3.26525025932168,268.0,266.0,134.0,512.0,385.0,51.0,31,0,0,2,15,6.0,512.0,6713.432999999999,544.3089,1747.7944,54,138,0,12,0.14050571327478822,0.34317809062216065,0.28632998003836874,0,1700.6502,1112.1443000000008,15,0,160.0,0,0,0,0.0,0,0.0,14578.87769999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,315.7049000000002,64.0,753.1851,4,22.7884,22.778799999999887,NaN,1280.0,100.0,0.27902201822916667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1526.5533,768,720.0,120.0,0.0,2443.6573148818925,1248.2989045669306,1195.358410314962,10.8253,11.9631,277.557,1518.7350999999999,0.383517201000541,116,11293.509621874999,12,3285.3680781249996,4,0.0,4,164.68489999999997,2,436.41979999999995,-594.9033000000002,37.5,0,0,134,134,9 co-ops (side rung),sumsy,9,0.0
8,128,4,4,10440.996799999999,0.0,4284.0616,55.518,712.1803000000002,,712.1803000000002,0.0,0.0,0.0,0.0,0.0,0.0025,66.8609,0.0,0.0,1.0,117.277,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.68287890062742,6.782331066317368,33.465209966944784,7.139625102190838,4.386865756677298,11.526490858868135,675.5578999999997,684.9347999999994,675.5578999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.12192500000006,0.0,48,640.0,135.22559999999996,55.518,67.36190000000002,0.0,0.0,0.0,0.0,0.0,20,149.2004,640.0,135.22559999999996,67.36190000000002,82.0,0.0,0.0,0.015,4.085890530303033,4.907148507462684,2.0102649999999995,NaN,2.884791872033988,3.167292751542029,268.0,264.0,134.0,509.33333333333337,385.00000000000006,51.0,30,0,0,2,10,6.0,512.0,7143.796200000002,568.7081000000001,1712.0575999999996,54,138,0,12,0.15731863460249662,0.3341723715313565,0.3025251106901843,0,1682.5253999999993,1078.6751000000006,10,0,160.0,0,0,0,0.0,0,0.0,15009.069099999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,321.6423999999999,64.0,800.3735999999999,4,29.6208,29.620399999999787,NaN,1280.0,100.0,0.28803040364583327,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1619.8827999999999,768,720.0,120.0,0.0,2360.418520705662,1116.0843134924257,1244.3342072132364,12.582699999999999,17.0381,310.28499999999997,1461.2565,0.3757403333353466,116,11677.771065625004,12,3331.2980343749996,4,0.0,4,162.83239999999995,2,460.6744,-645.3194000000002,37.5,0,0,134,134,9 co-ops (side rung),sumsy,9,0.0
9,128,4,4,10935.558400000007,0.0,4080.5359000000008,47.7489,759.9291000000003,,759.9291000000003,0.0,0.0,0.0,0.0,0.0,0.0025,71.9342,0.0,0.0,1.0,114.60970000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.180115595226297,7.070262148043747,34.25037774327004,8.353996547744966,4.426002460012142,12.779999007757109,655.4636000000003,675.5579000000005,655.4636000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-44.78425000000007,0.0,48,640.0,145.43840000000003,47.7489,72.45730000000006,0.0,0.0,0.0,0.0,0.0,21,165.2861,640.0,145.43840000000003,72.45730000000006,82.0,0.0,0.0,0.015,4.00271684210526,4.829269696969699,2.076575624999998,NaN,2.825037697397191,3.0722739689957668,264.0,285.0,132.0,509.33333333333337,381.0,51.0,31,0,0,1,19,17.0,512.0,7464.715799999998,599.3395,1772.5098,54,138,0,12,0.18101590728008676,0.3282341358797176,0.3190369401721984,0,1641.5053000000007,1140.7742999999991,19,0,160.0,0,0,0,0.0,0,0.0,15301.9681,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,332.2520999999997,64.0,861.7729999999999,4,37.1715,37.169999999999995,NaN,1280.0,100.0,0.31585140625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1685.3635,768,720.0,120.0,0.0,2153.1366716061407,1019.0910858030705,1134.0455858030705,19.854300000000002,17.3172,364.7843,1548.2588,0.3669602097888516,116,11958.088334374994,12,3343.879765625,4,0.0,4,160.97979999999995,2,467.5563,-687.9949000000003,37.5,0,0,132,132,9 co-ops (side rung),sumsy,9,0.0
10,128,4,4,11420.322400000005,0.0,3869.6036999999997,40.3423,800.2714000000003,,800.2714000000003,0.0,0.0,0.0,0.0,0.0,0.0025,76.8315,0.0,0.0,1.0,112.27649999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.965645823596798,7.523657610967702,35.4893034345645,9.82257647958261,4.630525090923571,14.453101570506181,670.3852000000009,655.4635999999996,670.3852000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-50.05235000000008,0.0,48,640.0,155.23599999999996,40.3423,77.356,0.0,0.0,0.0,0.0,0.0,22,173.0243,640.0,155.23599999999996,77.356,82.0,0.0,0.0,0.015,4.018475757575758,4.761935766423364,2.121153124999999,NaN,2.7875882542737984,2.9801057499258943,274.0,264.0,137.0,510.6666666666667,391.0,51.0,30,0,0,1,14,12.0,512.0,7868.903,602.4055999999999,1768.6187,54,138,0,12,0.202700879374482,0.3243860993662466,0.30486636759295593,0,1646.8768999999998,1060.8776000000003,14,0,160.0,0,0,0,0.0,0,0.0,15663.157800000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,339.38449999999983,64.0,930.5392999999999,4,46.323899999999995,46.32720000000021,NaN,1280.0,100.0,0.3346144921875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1735.8673,768,720.0,120.0,0.0,2244.2365327150374,1055.238633995165,1188.9978987198729,23.3181,23.0058,397.8189,1565.6963,0.36316361350058446,116,12267.133587500006,12,3396.0242125000004,4,0.0,4,159.1273,2,466.0907,-723.4399000000003,37.5,0,0,137,137,9 co-ops (side rung),sumsy,9,0.0
