round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6685.931899999996,0.0,499.4,199.4,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,29.8449,420.75,0.0,1.0,140.25,240.4777,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.05609846153846,3.970338155048077,26.02643661658654,3.096396923076922,2.240563076923077,5.3369599999999995,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,60.38810000000001,199.4,30.07400000000002,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,60.38810000000001,30.07400000000002,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,17.0,40.0,512.0,185.0,51.0,81,0,0,0,9,8.0,512.0,4726.662299999997,0.0,1056.7991,159,33,0,32,0.1361077497605978,0.40680133331322677,0.6614116681326219,2,1290.4028999999998,85.0,9,0,128.0,0,0,0,0.0,0,0.0,12590.320799999963,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,256.0,52.0,818.1504,4,33.93600000000001,33.94240000000006,NaN,1280.0,100.0,0.150018359375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1100.8584999999998,768,720.0,120.0,0.0,660.3344000000002,287.6704000000001,372.6640000000001,31.328000000000003,2.608,245.4959,774.091,0.452113742548895,96,4665.139075000003,32,7925.1817249999995,4,0.0,4,164.95,2,54.4752,-110.4051,37.5,0,0,40,40,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
2,128,4,4,7254.654799999998,0.0,3959.8740000000003,515.9315000000001,250.65509999999995,,250.65509999999995,0.0,0.0,0.0,0.0,0.0,0.0025,35.0505,420.75,0.0,1.0,140.25,236.05915,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.289313846153842,3.8405209795673074,26.12983482572115,2.194576153846154,2.55108,4.745656153846154,634.9541,225.99999999999983,634.9541,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.5915,0.0,48,640.0,71.27710000000002,515.9315000000001,35.440700000000014,0.0,0.0,0.0,0.0,0.0,1,17.7468,640.0,71.27710000000002,35.440700000000014,82.0,0.0,0.0,0.015,4.861550561797756,5.50851875,2.145302325581395,NaN,3.4898053412462766,3.802399999999999,224.0,267.0,112.0,512.0,337.0,51.0,43,0,0,2,12,9.0,512.0,4861.398600000002,184.9149,1689.9062,80,112,0,17,0.08790526641088436,0.3932968323226911,0.36977519311442486,0,1793.8002000000022,1298.0340000000008,12,0,86.0,0,0,0,0.0,0,0.0,12782.114399999979,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,184.49599999999998,60.0,465.63779999999997,4,0.0,0.0,NaN,1280.0,100.0,0.16594126302083334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,6,6,1250.5393,768,720.0,120.0,0.0,2723.7765594594607,1281.57842972973,1442.1981297297302,0.0,0.0,171.25979999999998,1089.9196,0.430843648517651,111,8458.426725781255,17,4323.68767421875,4,0.0,4,163.71499999999997,2,113.4924,-215.60459999999995,37.5,0,0,112,112,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
3,128,4,4,7812.053300000005,0.0,4947.782936842105,382.62309999999997,351.9708999999999,,351.9708999999999,0.0,0.0,0.0,0.0,0.0,0.0025,40.578,416.8663,0.0,1.0,136.36630000000002,228.85993333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.834951991769234,4.177078885295167,27.012030877064397,2.415493987890087,2.6793232362883446,5.094817224178431,732.5145999999995,634.9540999999997,732.5145999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.208624999999999,0.0,48,640.0,82.60149999999999,382.62309999999997,41.0601,0.0,0.0,0.0,0.0,0.0,9,22.9498,640.0,82.60149999999999,41.0601,82.0,0.0,0.0,0.015,4.823152142857133,5.372290225563906,1.9966037313432834,NaN,3.375357684747868,3.688327999999999,266.0,280.0,133.0,509.33333333333337,383.0,51.0,31,0,0,1,20,14.0,512.0,4984.939199999999,422.156,1892.9174000000003,59,133,0,11,0.10513179347052048,0.3836647911847999,0.2772402947704673,0,1908.0965999999994,1350.482599999997,20,0,134.0,0,0,0,0.0,0,0.0,13147.789905263158,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,267.5449,64.0,448.5129,4,0.0,0.0,NaN,1280.0,100.0,0.1938116317160088,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1427.9496,768,720.0,120.0,0.0,3190.0449690838136,1568.7291497432775,1621.3158193405366,0.0,0.0,171.7575,1335.6367,0.41851373729252295,117,10317.402535567435,11,2830.3873696957235,4,0.0,4,162.4799,2,184.219,-311.39289999999994,37.69736842105263,0,0,133,133,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
4,128,4,4,8358.776000000002,0.0,5033.307269635627,136.4709,446.6818999999999,,446.6818999999999,0.0,0.0,0.0,0.0,0.0,0.0025,45.8617,414.11647500000004,0.0,1.0,135.28900000000002,222.5518416666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.886700379605372,4.748956756965042,27.635657136570416,3.0673261657607616,2.9150566107028997,5.982382776463662,752.7809999999995,732.5145999999986,752.7809999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.406650000000008,0.0,48,640.0,93.2773,136.4709,46.379499999999986,0.0,0.0,0.0,0.0,0.0,15,32.0213,640.0,93.2773,46.379499999999986,82.0,0.0,0.0,0.015,5.4452584980237155,5.324499999999996,1.9394687499999976,NaN,3.272345591875674,3.5776781599999983,276.0,253.0,138.0,510.6666666666667,393.0,51.0,29,0,0,1,5,7.0,512.0,5283.8734,467.2544,2011.9666,54,138,0,10,0.11350557392470817,0.3752587116443469,0.2654912467047854,0,1895.7262999999994,1377.6504,5,0,144.0,0,0,0,0.0,0,0.0,13446.924634817822,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,279.28349999999966,64.0,517.7986,4,0.0,0.0,NaN,1280.0,100.0,0.2344138801029015,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,6,6,1459.7724,768,720.0,120.0,0.0,2983.056701542882,1568.9034871922474,1414.1532143506342,0.0,0.0,216.6826,1537.2472,0.4112690138382564,118,10819.80968811362,10,2627.1149467042005,4,0.0,4,161.2448,2,252.5029,-400.82019999999994,37.811993927125506,0,0,138,138,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
5,128,4,4,8894.223300000001,0.0,4888.637299999999,106.8783,553.5600999999999,,553.5600999999999,0.0,0.0,0.0,0.0,0.0,0.0025,51.3814,422.93712,0.0,1.0,152.73990000000003,223.84444666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.6424693376245,4.295038894546011,24.93750823217051,3.409391012631138,2.5416530174519214,5.951044030083059,725.2023000000002,752.781,725.2023000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-19.64927500000001,0.0,48,640.0,104.55270000000004,106.8783,51.97820000000003,0.0,0.0,0.0,0.0,0.0,19,10.5546,640.0,104.55270000000004,51.97820000000003,82.0,0.0,0.0,0.015,5.554658245614035,5.482188372093025,1.9246606382978722,NaN,3.205177602318842,3.4703478152,258.0,285.0,129.0,510.6666666666667,375.0,51.0,33,0,0,1,19,18.0,512.0,5456.436600000002,530.5036,2353.3581999999997,54,138,0,10,0.1334182499023262,0.36679504435189125,0.28750171987292195,0,1807.8088999999989,1583.0775999999998,19,0,94.0,0,0,0,0.0,0,0.0,13858.500666194332,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,180.91809999999998,64.0,491.98889999999994,4,0.0,0.0,NaN,1280.0,100.0,0.26432600943087886,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,6,6,1753.5522,768,720.0,120.0,0.0,2140.517876190159,1023.5781277173664,1116.9397484727924,0.0,0.0,251.5892,1622.2985,0.40349368505915484,118,11192.016001409096,10,2666.484664785235,4,0.0,4,160.00969999999995,2,319.6087,-502.17869999999994,38.07509488866396,0,0,129,129,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
6,128,4,4,9419.432100000005,0.0,4741.515299999999,104.4263,657.9862999999999,,657.9862999999999,0.0,0.0,0.0,0.0,0.0,0.0025,56.4359,430.3514,0.0,1.0,155.80760000000004,224.4209166666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,19.910199432721143,4.823908688148979,24.734108120870122,3.511139642952922,2.8624110938183853,6.373550736771308,766.5127000000007,725.2023000000002,766.5127000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-26.497500000000006,0.0,48,640.0,114.79120000000003,104.4263,57.07579999999998,0.0,0.0,0.0,0.0,0.0,22,33.7191,640.0,114.79120000000003,57.07579999999998,82.0,0.0,0.0,0.015,5.563094377510044,5.463596350364968,1.7796535714285702,NaN,3.094933922735218,3.3662373807439985,274.0,249.0,137.0,510.6666666666667,391.0,51.0,30,0,0,2,9,4.0,512.0,5773.6437000000005,546.3934999999999,2523.2504,54,138,0,10,0.12593970270346766,0.34856709524366125,0.23952283349541093,0,1809.974699999999,1385.210500000001,9,0,112.0,0,0,0,0.0,0,0.0,14269.618036546894,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,199.32119999999986,64.0,485.98949999999996,4,1.5335,1.5336,NaN,1280.0,100.0,0.29081276008609386,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1871.7578,768,720.0,120.0,0.0,2271.165828757456,1056.243438345415,1214.9223904120408,0.0,1.5335,253.723,1683.8756,0.3877566540421329,118,11529.343321212036,10,2740.274715334864,4,0.0,4,158.77459999999996,2,393.25649999999996,-601.5504,38.296538197958824,0,0,137,137,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
7,128,4,4,9933.346499999998,0.0,4589.5759,99.6088,757.5951,,757.5951,0.0,0.0,0.0,0.0,0.0,0.0025,61.974,435.7489285714286,0.0,1.0,156.0447,223.45635714285714,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.444458563263552,4.56291446810103,25.00737303136458,4.6313896446674425,2.367161405876856,6.9985510505442985,728.8744000000007,766.5127000000011,728.8744000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.952500000000015,0.0,48,640.0,126.0856,99.6088,62.686200000000014,0.0,0.0,0.0,0.0,0.0,25,51.5187,640.0,126.0856,62.686200000000014,82.0,0.0,0.0,0.015,5.48710695970696,5.385412121212127,1.7287183486238535,NaN,3.071597105745843,3.26525025932168,264.0,273.0,132.0,509.33333333333337,381.00000000000006,51.0,32,0,0,1,14,8.0,512.0,5942.590700000001,623.1984,2779.2892,54,138,0,10,0.15920622841208787,0.35008679226672346,0.2634049820431612,0,1765.9107999999997,1497.9802,14,0,109.0,0,0,0,0.0,0,0.0,14480.391736593641,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,188.43030000000005,64.0,474.7755,4,0.0,0.0,NaN,1280.0,100.0,0.34151760887975396,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,6,6,1943.4312,768,720.0,120.0,0.0,1636.520758343576,813.460729171788,823.0600291717878,0.0,0.0,294.10790000000003,1933.8319,0.38918169088566423,118,11712.19268366075,10,2768.1990529328855,4,0.0,4,157.53959999999995,2,457.9256,-695.6211,38.48291964994868,0,0,132,132,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
8,128,4,4,10435.852400000003,0.0,4429.966600000002,91.939,849.5340000000001,,849.5340000000001,0.0,0.0,0.0,0.0,0.0,0.0025,67.5822,438.99765,0.0,1.0,153.9129,221.006,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.918464421568885,4.5668089901668285,25.48527341173571,5.740415360630267,2.0291188762041044,7.769534236834371,736.3337000000006,728.8744000000008,736.3337000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.01272500000003,0.0,48,640.0,137.49409999999995,91.939,68.35910000000001,0.0,0.0,0.0,0.0,0.0,27,51.298,640.0,137.49409999999995,68.35910000000001,82.0,0.0,0.0,0.015,5.392790579710143,5.360699253731347,1.6821496774193567,NaN,3.0432910395318817,3.167292751542029,268.0,276.0,134.0,510.6666666666667,385.0,51.0,31,0,0,2,14,16.0,512.0,6063.651999999998,662.1205,3054.34,54,138,0,10,0.1924170223653996,0.34346223800811004,0.2620387088997844,0,1763.7041999999997,1488.4101999999993,14,0,155.0,0,0,0,0.0,0,0.0,14824.842547466313,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,260.7332000000003,64.0,536.8597,4,2.0818000000000003,2.0863999999999994,NaN,1280.0,100.0,0.37276353749549423,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2216.9698,768,720.0,120.0,0.0,1282.274646245537,588.0740990253022,694.2005472202344,2.0818000000000003,0.0,315.31690000000003,2036.3504000000003,0.3838321186958631,118,12054.231284581136,10,2770.6112628851783,4,0.0,4,156.30450000000008,2,513.5477,-781.9518,38.63979070537347,0,0,134,134,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
9,128,4,4,10927.392099999997,0.0,4262.103500000001,83.6852,933.2191000000001,,933.2191000000001,0.0,0.0,0.0,0.0,0.0,0.0025,73.0068,440.64256666666665,0.0,1.0,151.26730000000003,217.5510111111111,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.517281150618473,4.575293145741736,26.092574296360212,6.902995238192352,1.7484154673117773,8.65141070550413,716.4006999999996,736.3337000000005,716.4006999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-44.67985000000005,0.0,48,640.0,148.4603,83.6852,73.82230000000001,0.0,0.0,0.0,0.0,0.0,29,98.8523,640.0,148.4603,73.82230000000001,82.0,0.0,0.0,0.015,5.337593774319068,5.211945522388056,1.6503540540540542,NaN,2.9887887682100325,3.0722739689957668,268.0,257.0,134.0,509.3333333333333,385.0,51.0,31,0,0,0,11,6.0,512.0,6316.662999999998,714.7936,3141.661,54,138,0,10,0.21216150738926554,0.3404082034317317,0.2627489708396715,3,1736.5995,1371.7616000000003,11,0,148.0,0,0,0,0.0,0,0.0,14982.061956617481,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,244.25240000000002,64.0,582.4154,4,4.9463,4.943199999999987,NaN,1280.0,100.0,0.41675681267849934,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2200.4125,768,720.0,120.0,0.0,1080.9710992819575,607.1745331724551,473.7965661095024,3.5233,1.423,348.7341,2238.4575000000004,0.37750020444198795,118,12178.576605850572,10,2803.485350766901,4,0.0,4,221.98799999999994,2,567.7776999999999,-860.2123000000001,38.77182384368934,0,0,134,134,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
10,128,4,4,11410.03060000001,0.0,4087.4448000000007,76.8895,1009.9317000000001,,1009.9317000000001,0.0,0.0,0.0,0.0,0.0,0.0025,77.3832,441.4941299999999,0.0,1.0,149.71939999999998,214.02263999999994,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.699080740699785,5.097667368162997,26.796748108862783,7.377756887426861,2.1080306996380527,9.485787587064912,714.9211999999997,716.4006999999995,714.9211999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-49.95245000000008,0.0,48,640.0,157.36150000000012,76.8895,78.24790000000004,0.0,0.0,0.0,0.0,0.0,31,141.10649999999998,640.0,157.36150000000012,78.24790000000004,82.0,0.0,0.0,0.015,5.213579347826087,5.200904477611938,1.6231668750000001,NaN,2.9862049490120937,2.9801057499258943,268.0,276.0,134.0,512.0,385.0,51.0,31,0,0,1,16,11.0,512.0,6498.4788,753.6037,3299.1148000000003,54,138,0,10,0.2265296399058807,0.3296212471706754,0.2772651023585686,0,1732.8656,1438.9479000000001,17,1,160.0,0,0,0,0.0,0,0.0,15334.028015153046,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,259.7067,64.0,640.3436,4,21.194699999999997,21.191999999999958,NaN,1280.0,100.0,0.43451437734207726,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2452.5661999999998,768,720.0,120.0,0.0,796.0432039501057,375.00844943508105,421.0347545150247,17.8461,3.3486,396.4759,2240.4959000000003,0.36323056724567104,118,12487.155238531008,10,2846.872776622037,4,0.0,4,297.64250000000004,2,599.941,-932.5485000000001,38.882951735105195,0,0,134,134,B best SuMSy village: co-ops + prices + reserve,sumsy,10,7.275957614183426e-12
