round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,8241.512800000006,0.0,8272.044399999999,0.0,949.0740000000001,,0.0,0.0,949.0740000000001,0.0,949.0740000000001,0.0,0.00375,22.7712,2925.0009,0.0,0.9588,975.0003,1893.7127,0.02,0.0,1.02,0.0,0.0,1.02,0.0,4,0,21.829375384615382,-10.778806153846155,11.05056923076923,0.9083553846153855,3.9742769230769226,4.882632307692308,299.15600000000063,0.0,299.15600000000063,0.0,0,0,0.0,0.0,9.04,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,1.176,132.3032,1.176,48.69750000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,NaN,5.199999999999997,NaN,0.75,3.73124324324325,3.9200000000000013,80.0,0.0,40.0,512.0,185.0,51.0,81,0,0,0,0,0.0,512.0,5308.705200000002,885.9704,1055.0008,192,0,0,32,0.029749648864472622,0.6540482340917393,0.07526653057346344,0,1415.5739999999994,0.0,0,0,0.0,128,0,0,5308.705200000002,192,5202.385200000002,5202.385200000002,0.0,0,0,0,1.5,0,0.0,128,128,5202.385200000002,192,15360.0,0,0,0.0,52.0,969.0652,4,75.9016,53.13119999999999,NaN,1280.0,100.0,-0.20146562499999995,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,2266.32,2266.32,39.39920000000012,0.0,39.39920000000012,0.0,75.9016,238.4152,2910.0364,0.7172463538097336,96,3911.22,32,1291.1651999999995,4,0.0,4,949.0740000000001,2,29.355600000000255,22.7712,11.25,0,0,40,40,S4 rung 12 + everyone greedy,debt,10,0.0
2,128,4,4,8000.032000000022,0.0,8058.060399999999,0.0,1366.4094000000002,,0.0,0.0,1366.4094000000002,0.0,417.33540000000005,3.5590775000000003,0.00375,0.0,2408.6274000000008,0.0,0.91929744,630.7513000000005,1484.3009500000007,0.02,79.46190000000004,1.0404,0.0,0.0,1.0404,0.0,4,1,23.255587687166628,-11.244286196259877,12.011301490906753,2.1295072617441035,2.564383715699505,4.693890977443608,788.3697000000035,299.15600000000103,788.3697000000035,0.0,0,0,0.0,0.0,78.2295,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,58.028399999999976,71.8886,0.0,0,13.860200000000003,255.34100000000007,0.0,194.2037999999994,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,473.88800000000026,0.0,0.0031537894111526967,4.894000000000005,5.432574757281557,1.8500000000000008,1.12682427184466,3.4873793312406822,3.802399999999999,206.0,257.0,103.0,512.0,314.0,51.0,49,0,0,0,1,0.0,512.0,5102.999100000005,603.2348999999999,1718.9679,192,0,0,32,0.056911120689056904,0.6465662712581006,0.0946018790294163,4,1517.480899999999,1257.7580000000012,0,0,22.0,128,0,0,5102.999100000005,192,5330.615000000007,5330.615000000007,0.0,1,22,0,1.5,0,0.0,128,128,5330.615000000007,192,15360.0,0,0,40.70000000000002,55.0,574.8301,4,0.0,0.0,NaN,1280.0,100.0,-0.19568645182291666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,0,12,0.0,0,0.0,2266.32,2154.1664,1863.0805594594635,0.0,1863.0805594594635,0.0,0.0,25.2432,2897.0329,0.6655613835682899,96,3955.7183999999975,32,1374.8966000000003,4,0.0,4,949.0740000000001,2,56.91120000000015,0.0,11.25,0,0,103,103,S4 rung 12 + everyone greedy,debt,10,0.0
3,128,4,4,7879.647800000004,0.0,7913.0261,0.0,1559.7167000000002,,0.0,0.0,1559.7167000000002,0.0,193.30730000000003,5.123957624999999,0.00375,0.1272,2130.3223000000007,0.0,0.8814223854719999,524.5707000000002,1227.0338000000015,0.02,82.25179999999988,1.061208,0.0,0.0,1.061208,0.0,4,0,26.041918744599826,-10.14782237810514,15.894096366494686,2.6499874257332343,2.127822922888307,4.777810348621541,939.8376000000038,788.3697000000035,939.8376000000038,0.0,0,0,0.0,0.0,67.6733,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,71.03629999999997,109.16089999999994,0.0,0,95.55180000000001,215.93599999999992,71.1,336.5146999999981,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,365.3360000000001,0.0,0.008665380208300804,4.830499999999994,5.471899999999999,1.783600000000001,1.331970161290323,3.4728874864814863,3.688327999999999,256.0,258.0,128.0,512.0,364.0,51.0,37,0,0,0,2,0.0,512.0,5078.004099999999,519.9868,1866.7109,185,4,3,32,0.0767365418666659,0.6417972489508326,0.10580123407365516,4,1597.5495000000017,1246.2689999999984,0,0,40.0,128,0,0,5078.004099999999,185,6580.1685543689355,6580.1685543689355,0.0,2,40,0,1.5,0,0.0,128,128,6580.1685543689355,185,15360.0,0,0,71.34400000000004,55.0,414.8188,4,0.4241,0.2968,NaN,1280.0,100.0,-0.19550646117769013,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37,0.0,0,12,0.0,0,0.0,2266.32,2039.8625000000002,2974.8347113199147,0.0,2974.8347113199147,0.0,0.4241,0.7116,2801.5165,0.6492978197194941,96,4005.3428999999987,32,2574.825654368931,4,0.0,4,949.0740000000001,2,83.02699223300954,0.1272,16.902364077669898,0,0,128,128,S4 rung 12 + everyone greedy,debt,10,0.0
4,128,4,4,7860.242100000002,0.0,7681.398,0.0,1734.4379,,0.0,0.0,1734.4379,0.0,174.7212,5.8487301249999994,0.00375,0.0,1987.8625500000007,0.0,0.8451077831905535,520.1611000000001,1092.5972750000014,0.02,86.93719999999998,1.08243216,0.0,0.0,1.08243216,0.0,4,0,29.098351767601642,-10.252867596124,18.84548417147764,2.4273391032939764,2.1727946621228917,4.600133765416868,937.2318000000047,939.8376000000025,937.2318000000047,0.0,0,0,0.0,0.0,78.874,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,93.3911,146.13259999999983,0.0,0,186.48729999999998,205.8930000000002,170.614,351.1616999999986,0.0,0.0,0.0,0.0,0.0,22,14.6625,0.0,0.0,0.0,0.0,364.02200000000005,0.0,0.010829619181111465,5.164829343629343,5.42415891472868,1.7322999999999995,1.4444504132231406,3.3467850413550586,3.5776781599999983,258.0,259.0,129.0,512.0,360.0,51.0,37,0,0,1,4,0.0,512.0,4975.5434000000005,656.817,1976.1336,170,8,14,28,0.07248157840659131,0.6594062115309343,0.127405307756012,4,1560.2115999999999,1337.6907999999999,0,0,16.0,128,0,0,4975.5434000000005,170,7218.872311290328,7218.872311290328,0.0,4,16,0,1.5,0,0.0,128,128,7218.872311290328,170,15360.0,0,0,27.716799999999992,49.0,237.08560000000003,4,0.0,0.0,NaN,1280.0,100.0,-0.189291665406586,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37,0.0,0,12,0.0,0,0.0,2266.32,1743.0058000000001,2961.5909274688033,0.0,2961.5909274688033,0.0,0.0,3.3617,2870.0362,0.6591188817147267,100,2354.1589000000004,28,4864.713411290323,4,0.0,4,949.0740000000001,2,114.5325338709676,0.0,19.979552419354846,0,0,129,129,S4 rung 12 + everyone greedy,debt,10,0.0
5,128,4,4,7717.792299999996,0.0,7544.341400000001,0.0,1924.9720999999997,,0.0,0.0,1924.9720999999997,0.0,190.5342,6.503866249999999,0.00375,0.0,1910.7179386100397,0.0,0.8102893425231027,534.046497683398,1017.6929790733607,0.02,87.24050000000007,1.1040808032,0.0,0.0,1.1040808032,0.0,4,0,28.730122669653856,-9.379728337704167,19.350394331949687,2.3055255772456182,1.9638648730161885,4.269390450261807,948.4541000000063,937.2318000000023,948.4541000000063,0.0,0,0,0.0,0.0,85.4015,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,98.78429999999997,178.44809999999976,0.0,0,34.5753,177.02510000000015,7.653,350.01719999999926,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,368.14290000000017,0.0,0.013556847311579977,5.402511290322582,5.479712499999997,1.7293,1.5082700000000007,3.320720499905648,3.4703478152,256.0,248.0,128.0,510.6666666666667,360.00000000000006,51.0,37,4,4,0,0,0.0,508.0,4866.578700000001,687.4066,2105.1686,170,8,14,28,0.07756492978450136,0.6655378011207542,0.12083444603938709,4,1556.5000999999993,1339.8228000000001,0,0,2.0,128,4,0,4866.578700000001,170,7630.2664537190085,7630.2664537190085,0.0,0,2,0,1.5,0,0.0,128,128,7630.2664537190085,170,15360.0,0,0,3.4586,51.0,58.6384,4,0.0,0.0,NaN,1280.0,100.0,-0.18351869468836088,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37,0.0,0,12,0.0,0,0.0,2266.32,1700.0058000000001,2868.721405021508,0.0,2868.721405021508,0.0,0.0,0.41479999999999995,2851.2136,0.6622613439637268,100,2353.7951000000016,28,5276.471353719008,4,0.0,4,949.074,2,128.94288677685967,0.0,21.66675619834711,0,0,128,128,S4 rung 12 + everyone greedy,debt,10,0.0
6,128,4,4,7600.8597999999965,0.0,7418.247200000002,0.0,2204.9588999999996,,0.0,0.0,2204.9588999999996,0.0,279.9868000000001,7.218088124999999,0.00375,0.0,1896.8711726678303,0.0,0.7769054216111508,609.2124476522612,995.0743651118878,0.02,88.92899999999993,1.126162419264,0.0,0.0,1.126162419264,0.0,4,0,28.157949199298244,-8.728301269506565,19.42964792979168,2.238878316882364,1.8368580129804073,4.075736329862772,926.0439999999963,938.2691000000036,936.2289999999965,0.0,0,0,0.0,0.0,88.5191,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,89.62259999999995,210.30329999999955,0.0,4,60.739999999999995,177.67250000000004,88.79090000000001,336.443599999999,0.0,0.0,0.0,0.0,0.0,25,9.8463,0.0,0.0,0.0,0.0,440.0868000000002,58.8828,0.013728125632377453,5.3993064516129055,5.536312903225803,1.7028,1.6159017241379312,3.359492421140467,3.3662373807439985,248.0,248.0,124.0,508.0,343.0,50.0,41,4,4,0,0,0.0,504.0,4636.867499999999,713.0354,2240.3774,170,8,14,28,0.09980607075385417,0.6687910643646098,0.13662908268019502,4,1543.7010000000032,1339.0280000000005,0,0,2.0,128,4,0,4636.867499999999,170,7900.185399999999,7900.185399999999,0.0,0,2,0,1.5,0,0.0,128,128,7900.185399999999,170,15360.0,0,0,3.4056,43.0,0.7332000000000001,4,0.0,0.0,NaN,1280.0,100.0,-0.17181799479166662,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,12,0.0,0,0.0,2266.32,1643.1024,2544.3724864176297,0.0,2544.3724864176297,0.0,0.0,1.7180999999999997,2954.146,0.6635663820835205,100,2339.5637,28,5560.6217000000015,4,0.0,4,949.074,2,143.08840000000023,0.0,22.62405000000001,0,0,124,124,S4 rung 12 + everyone greedy,debt,10,0.0
7,124,4,4,7471.977400000003,0.0,5692.753900000001,0.0,2532.5872999999983,,0.0,0.0,2532.5872999999983,0.0,327.62840000000006,8.267862624999996,0.00375,0.0,1900.3760588189252,0.0,0.7448969182407714,640.4684585751658,990.0392582602369,0.02,90.02480000000003,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,18.16410924630558,2.998160531370514,21.16226977767609,1.366289676790428,2.5743676756572667,3.9406573524476944,908.6338999999925,909.2534999999978,935.6093999999921,0.0,0,0,0.0,0.0,88.9239,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,88.2841,238.30789999999976,1606.5173000000007,15,29.3431,158.22550000000015,179.42000000000002,321.1082999999993,0.0,0.0,0.0,0.0,0.0,32,11.1924,0.0,0.0,0.0,0.0,472.40180000000026,124.4442,0.013949797163924714,5.358637903225807,5.494033064516121,1.6974,1.7215301724137924,3.3064742129933697,3.26525025932168,248.0,248.0,124.0,496.0,317.0,50.0,44,0,0,0,0,0.0,496.0,4354.083899999999,721.3431,2384.6248,170,8,14,28,0.07932752902062479,0.4096619460588482,0.1402365513117123,0,1465.3629000000017,1328.9422000000002,0,0,2.0,124,0,0,4354.083899999999,170,9751.986796551724,9751.986796551724,0.0,0,2,0,1.5,0,0.0,124,124,9751.986796551724,170,0.0,0,0,3.3948,25.0,0.7332000000000001,4,0.0,0.0,NaN,1280.0,100.0,-0.15568498653017243,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,12,0.0,0,0.0,2266.32,0.0,2305.347034293352,0.0,2305.347034293352,0.0,0.0,0.0,3106.7011,0.6590828307601964,96,3779.1247999999987,28,5972.861996551724,4,0.0,4,949.074,2,-1429.5149379310342,0.0,24.23852586206897,4,0,124,124,S4 rung 12 + everyone greedy,debt,10,0.0
8,124,4,4,11296.217400000007,0.7318,8623.8413,0.0,7076.941299999999,,0.0,3900.2848,3176.656499999999,0.0,644.0692,9.496259374999994,0.00375,0.0,1912.8563314010162,0.0,0.7142071652092515,666.7394131585506,993.5054167673447,0.02,91.11420000000003,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,19.924000414956243,2.9595907180914263,22.88359113304767,1.1357410427631842,2.5241924492025807,3.659933491965765,872.3905000000009,899.4416999999975,883.6822000000009,0.0,2,0,24.876,4183.8272,86.7757,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,81.20619999999997,258.9629999999998,2504.5076000000004,28,3928.0178,103.046,4126.907499999999,315.7103000000016,0.0,0.0,0.0,0.0,0.0,4,4195.517400000001,0.0,0.0,0.0,0.0,504.1590000000004,65.92269999999999,0.015,5.3024076305220875,5.50164,1.7055,1.7910249999999992,3.2658925576374607,3.167292751542029,240.0,249.0,120.0,496.0,305.0,49.0,47,0,0,0,1,0.0,496.0,3817.9028999999996,740.5518999999999,2541.8289999999997,170,8,14,28,0.044000827758932104,0.42794735651260596,0.1193025066396678,0,1516.2169999999985,1320.2994999999999,0,0,1.0,124,0,0,3817.9028999999996,170,10129.227539655169,10129.227539655169,0.0,1,1,0,1.5,0,0.0,124,124,10129.227539655169,170,0.0,0,0,1.7055,8.0,0.4162,2,0.0,0.0,NaN,1280.0,100.0,-0.0963602640086207,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,10,0.0,0,0.0,1960.56,0.0,1774.822479761836,0.0,1774.822479761836,0.0,0.0,0.0,3282.7971,0.5095584626654619,96,3768.981199999999,28,6360.246339655168,4,0.0,4,949.074,2,1883.1664362068968,-3900.2848,25.822952586206885,0,2,120,120,S4 rung 12 + everyone greedy,debt,10,0.0
9,124,4,4,11291.986700000003,1.5627999999999997,7779.9785,0.0,7468.586500000001,,0.0,4018.96,3449.6265000000008,0.0,272.97,11.910633124999997,0.00375,0.0,1921.4208227731797,0.0,0.6847818300026304,663.3122512501624,996.8430374043426,0.02,90.901,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,21.781505081801512,2.9304973795718325,24.712002461373345,0.8600802033932452,2.5088375118675734,3.3689177152608183,878.4420000000002,867.5367000000002,877.1408000000002,0.0,4,0,42.322699999999976,4183.8272,82.27000000000001,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,120.89019999999996,298.6469999999998,3395.9179000000004,34,313.6894,317.0890999999999,443.7314,303.080500000001,0.0,0.0,0.0,0.0,0.0,0,4171.783,0.0,0.0,0.0,0.0,503.2656000000004,10.4286,0.007802441069502981,5.23500566801619,5.4323879032258064,NaN,1.817651724137931,3.2785153792628496,3.072273968995767,248.0,247.0,124.0,496.0,303.0,49.0,47,0,0,1,0,0.0,496.0,3721.5639999999994,723.1511,2675.4886,170,8,14,28,0.033211723142691385,0.4433443309387195,0.1325626594502427,0,1553.3728999999996,1293.046399999999,0,0,0.0,124,0,0,3721.5639999999994,170,10483.070450000012,10483.070450000012,0.0,0,0,0,1.5,0,0.0,124,124,10483.070450000012,170,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,-0.014331074218750009,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,8,0.0,0,0.0,1654.7999999999997,0.0,1744.0557428822704,0.0,1744.0557428822704,0.0,0.0,0.0,3398.6397,0.4876437922039416,96,3770.7876999999985,28,6712.28275,4,0.0,4,949.074,2,1033.6216500000003,-4018.96,26.86537499999999,0,4,124,124,S4 rung 12 + everyone greedy,debt,10,0.0
10,124,4,4,11343.70559999999,2.2946,7872.2330999999995,0.0,7866.943500000001,,0.0,4193.6055,3673.338000000002,0.0,223.7115,12.933695124999993,0.00375,0.0,1929.0621022186178,0.0,0.656568818606522,665.9445390758539,1000.285821479079,0.02,91.59540000000001,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,23.662192732955322,2.9628127742876584,26.62500550724298,0.9969943041744939,2.4802766841932375,3.4772709883677315,874.2664000000002,877.1407999999998,874.2664000000002,0.0,4,0,42.322699999999976,4183.8272,82.7878,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,160.69409999999993,338.4509,3395.9179000000004,34,385.3442,332.8935,385.3442,300.61819999999955,0.0,0.0,0.0,0.0,0.0,0,4128.59,0.0,0.0,0.0,0.0,508.71050000000054,0.0,0.014302210564883226,5.150750000000001,5.448407258064518,NaN,1.801899137931035,3.310342998310455,2.9801057499258943,248.0,248.0,124.0,494.6666666666667,299.0,49.0,48,0,0,0,0,0.0,496.0,3706.856,720.2994999999999,2787.9601,170,8,14,28,0.038241657985861544,0.4557153028984615,0.14434407455201237,0,1569.7556000000013,1277.3860000000004,0,0,0.0,124,0,0,3706.856,170,10759.972096551728,10759.972096551728,0.0,0,0,0,1.5,0,0.0,124,124,10759.972096551728,170,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.004726270204741392,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,0,8,0.0,0,0.0,1654.7999999999997,0.0,1627.9705835508703,0.0,1627.9705835508703,0.0,0.0,0.0,3508.2596,0.49665234780747713,96,3754.929800000001,28,7005.042296551724,4,0.0,4,949.0740000000001,2,1035.8829620689646,-4193.6055,27.264775862068966,0,4,124,124,S4 rung 12 + everyone greedy,debt,10,0.0
