round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6088.453999999988,0.0,300.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.48132307692308,3.0996923076923073,26.581015384615387,2.109255384615385,2.8910000000000005,5.000255384615385,219.99999999999986,0.0,219.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,46.34600000000026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55.0368,640.0,46.34600000000026,0.0,76.0,0.0,0.0,0.0,5.0,5.199999999999997,NaN,0.75,3.9199999999999986,3.920000000000001,80.0,21.0,40.0,512.0,82.0,0.0,107,0,0,0,15,6.0,512.0,4639.661199999995,372.008,1021.7479999999999,184,8,0,31,0.07010162926874952,0.47246207122252737,0.8286279817044926,0,968.6612,105.0,15,0,0.0,0,0,0,0.0,0,0.0,11839.661199999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,107,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4746271052353017,97,3757.245599999996,31,8082.415599999998,4,372.00800000000004,4,1021.7479999999999,2,55.0368,0.0,37.5,0,0,40,40,0 bare bones,sumsy,5,1.0913936421275139e-11
2,128,4,4,6669.002799999995,0.0,3812.4903999999997,2.4904,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.24036076923077,2.759755384615385,27.000116153846154,2.1495330769230763,2.5780461538461545,4.727579230769231,572.8430999999997,219.99999999999983,572.8430999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,59.451199999999886,2.4904,0.0,0.0,0.0,0.0,0.0,0.0,0,103.42519999999999,640.0,59.451199999999886,0.0,76.0,0.0,0.0,0.0,4.846325384615389,5.49846176470588,NaN,NaN,3.644267961165042,3.8023999999999996,204.0,260.0,102.0,512.0,206.0,0.0,76,0,0,2,10,2.0,512.0,4702.026900000001,193.69119999999998,1669.8595,90,102,0,16,0.11502478407902106,0.4789675532612572,0.6057973473970022,0,1371.410300000001,1260.044600000001,10,0,0.0,0,0,0,0.0,0,0.0,11887.026899999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,76,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49772547370210374,112,7699.038599999991,16,4187.9883,4,206.20080000000007,4,1669.8595,2,105.9156,0.0,37.5,0,0,102,102,0 bare bones,sumsy,5,1.0913936421275139e-11
3,128,4,4,7239.109600000001,0.0,4961.777,215.6612,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.46777439465236,3.0341576798154577,27.501932074467817,2.2575232654463173,2.9680060531190695,5.225529318565387,728.6297,572.8430999999997,728.6297,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.025,0.0,0,640.0,69.89319999999992,215.6612,0.0,0.0,0.0,0.0,0.0,0.0,0,25.6004,640.0,69.89319999999992,0.0,76.0,0.0,0.0,0.015,4.747143820224707,5.429012878787878,NaN,NaN,3.2768932330827085,3.6883279999999994,264.0,267.0,132.0,509.3333333333333,266.0,0.0,61,6,6,1,15,11.0,506.0,4941.877199999997,362.10360000000003,1909.5284000000001,60,132,0,11,0.07783556576689166,0.46600157839068523,0.5111235540557626,0,1488.6427000000006,1267.4873999999968,15,0,0.0,0,0,6,0.0,0,0.0,12044.18219999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4937221259409097,117,9141.675899999995,11,2902.5062999999996,4,350.32659999999987,4,1909.5284000000001,2,135.07240000000002,0.0,37.5,0,0,132,132,0 bare bones,sumsy,5,1.0913936421275139e-11
4,128,4,4,7797.472799999995,0.0,4730.8708,27.5016,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.624096864030793,2.8591888687687343,28.483285732799526,3.6698431176029644,2.8341608639386813,6.504003981541646,695.1123000000007,728.6296999999998,695.1123000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.2052000000000005,0.0,0,640.0,81.63679999999992,27.5016,0.0,0.0,0.0,0.0,0.0,0.0,0,66.9861,640.0,81.63679999999992,0.0,76.0,0.0,0.0,0.015,4.632481395348829,5.295444186046517,NaN,NaN,2.9728615384615296,3.5776781599999987,258.0,258.0,129.0,504.6666666666667,260.0,0.0,61,0,0,2,12,3.0,512.0,5311.5371,451.194,1967.7556,60,132,0,11,0.12894310042920498,0.4714673314830098,0.5002489204424903,0,1382.0406999999993,1195.1801999999977,12,0,0.0,0,0,0,0.0,0,0.0,12165.414299999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49770048571793035,117,9242.564499999993,11,2922.8498,4,670.3232000000005,4,1967.7556,2,193.9797,0.0,37.5,0,0,129,129,0 bare bones,sumsy,5,1.0913936421275139e-11
5,128,4,4,8345.090500000002,0.0,4508.588,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.716504127288847,3.189078356294988,28.905582483583835,4.671211420671134,3.111615302863958,7.782826723535092,692.4633999999994,695.1123000000008,692.4633999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.551299999999999,0.0,0,640.0,92.38229999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,110.8138,640.0,92.38229999999999,0.0,76.0,0.0,0.0,0.015,4.605216165413533,5.1162661654135295,NaN,NaN,2.9747317164179106,3.4703478152,266.0,266.0,133.0,509.33333333333337,268.0,0.0,60,5,5,2,15,10.0,507.0,5673.4566,476.33959999999996,2084.4804999999997,59,133,0,11,0.14756961886779907,0.4610734349862122,0.49829222633240033,0,1399.3688000000004,1224.9874999999997,15,0,0.0,0,0,5,0.0,0,0.0,12274.180999999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4915428503602641,117,9365.4363,11,2908.7447,4,955.2516000000003,4,2084.4804999999997,2,231.17739999999998,0.0,37.5,0,0,133,133,0 bare bones,sumsy,5,1.0913936421275139e-11
6,128,4,4,8881.881,0.0,4246.9302,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.9306503127583,3.361852546376062,29.292502859134363,6.119921525101906,3.25157959696606,9.371501122067965,676.7840999999995,692.4633999999998,676.7840999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-6.774599999999997,0.0,0,640.0,103.2094999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,138.16660000000002,640.0,103.2094999999999,0.0,76.0,0.0,0.0,0.015,4.54973769230769,5.113723846153842,NaN,NaN,3.0085030534351036,3.3662373807439994,260.0,260.0,130.0,504.3333333333333,262.0,0.0,62,8,8,1,18,13.0,502.0,6062.578099999999,512.4386000000001,2168.6977,59,133,0,11,0.176884236628432,0.4558538635285654,0.5175207915782727,0,1382.5550999999991,1182.9317999999994,18,0,0.0,0,0,8,0.0,0,0.0,12408.27470000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4940726591712079,117,9521.090300000007,11,2887.1844000000006,4,1253.0084000000002,4,2168.6977,2,251.9002,0.0,37.5,0,0,130,130,0 bare bones,sumsy,5,1.0913936421275139e-11
7,128,4,4,9408.028699999999,0.0,3985.2724,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.881678893068916,3.5289194186850024,29.41059831175392,6.925267373824934,3.4329198014627744,10.358187175287709,660.7016000000003,676.7840999999996,660.7016000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.875000000000002,0.0,0,640.0,113.85230000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,151.6374,640.0,113.85230000000007,0.0,76.0,0.0,0.0,0.015,4.700057812499998,5.0679812500000025,NaN,NaN,2.9822255813953404,3.2652502593216792,256.0,256.0,128.0,500.6666666666667,258.0,0.0,61,4,4,1,15,7.0,507.0,6405.778800000001,550.41,2300.2025000000003,59,133,0,11,0.19806808146224153,0.4524142960236157,0.5370182662179865,0,1356.8323000000007,1203.2147999999995,15,0,0.0,0,0,4,0.0,0,0.0,12496.447600000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5021748810535545,117,9579.367200000002,11,2917.0804000000003,4,1552.6376,4,2300.2025000000003,2,258.741,0.0,37.5,0,0,128,128,0 bare bones,sumsy,5,1.0913936421275139e-11
8,128,4,4,9923.130300000006,0.0,3723.6146000000003,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.501854071404253,3.1016746137098723,28.603528685114124,8.759060016676862,2.9174608403574016,11.676520857034264,679.2656000000006,660.7016000000001,679.2656000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.852500000000006,0.0,0,640.0,124.89839999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,158.2682,640.0,124.89839999999997,0.0,76.0,0.0,0.0,0.015,4.683430152671756,5.09363053435115,NaN,NaN,3.0074575757575595,3.167292751542029,262.0,262.0,131.0,505.6666666666667,264.0,0.0,61,5,5,3,14,12.0,507.0,6771.771499999999,532.144,2460.9466,58,134,0,11,0.23756329319163383,0.45403293784115495,0.5268281500009824,0,1373.3836000000006,1227.0587,15,1,0.0,0,0,5,0.0,0,0.0,12569.9125,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5137486394603643,117,9683.3509,11,2886.5616,4,1833.5294,4,2460.9466,2,258.7418,0.0,37.5,0,0,131,131,0 bare bones,sumsy,5,1.0913936421275139e-11
9,128,4,4,10428.0235,0.0,3461.9568,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.788416228423042,3.1707431011183966,28.95915932954144,9.952647792268179,3.0290906777571194,12.981738470025297,658.8475999999994,679.2656000000007,658.8475999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.70700000000001,0.0,0,640.0,135.10680000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,161.5117,640.0,135.10680000000002,0.0,76.0,0.0,0.0,0.015,4.69498333333333,5.01432248062015,NaN,NaN,2.969850384615379,3.072273968995767,258.0,258.0,129.0,503.00000000000006,260.0,0.0,61,2,2,3,12,9.0,510.0,7095.287399999999,574.4363000000001,2596.7880999999998,58,134,0,11,0.26434972484342234,0.4581614245901888,0.537569931771686,0,1345.0691999999992,1211.3056999999992,12,0,0.0,0,0,2,0.0,0,0.0,12638.400600000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5264172473999145,117,9709.089899999997,11,2929.3107,4,2137.4795000000004,4,2596.7880999999998,2,255.3553,0.0,37.5,0,0,129,129,0 bare bones,sumsy,5,1.0913936421275139e-11
10,128,4,4,10922.6848,0.0,3200.299,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.869492996752957,3.0216966445636078,28.891189641316565,10.87494480606278,2.9292108570877775,13.804155663150556,665.8412999999996,658.8475999999997,665.8412999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-14.439000000000014,0.0,0,640.0,145.33869999999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,163.1816,640.0,145.33869999999993,0.0,76.0,0.0,0.0,0.015,4.650208015267177,4.991154961832058,NaN,NaN,2.932287121212122,2.9801057499258943,262.0,262.0,131.0,506.0,264.0,0.0,61,3,3,3,14,10.0,509.0,7407.297900000002,594.2722,2757.9331,58,134,0,11,0.28177495726461244,0.4568857223500489,0.5265876017666675,0,1340.5277000000003,1218.3545000000004,14,0,0.0,0,0,3,0.0,0,0.0,12695.383300000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5350424596428807,117,9753.426300000001,11,2941.957,4,2418.9732,4,2757.9331,2,250.3952,0.0,37.5,0,0,131,131,0 bare bones,sumsy,5,1.0913936421275139e-11
