round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,5975.1928,0.0,6005.724399999999,0.0,949.0739999999995,,0.0,0.0,949.0739999999995,0.0,949.0739999999995,0.0,0.00375,0.0,0.0,0.0,1.0,975.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,6.682015384615383,1.0409846153846154,7.722999999999999,3.13316923076923,1.0409846153846154,4.174153846153845,297.95600000000076,0.0,297.95600000000076,0.0,0,0,0.0,0.0,11.44,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,1.176,132.3032,1.176,25.926299999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,5.0,5.199999999999997,NaN,0.75,3.73124324324325,3.9200000000000013,80.0,14.0,40.0,512.0,185.0,51.0,81,0,0,0,9,5.0,512.0,3841.176,520.5248,1042.9548,160,32,0,32,0.2047901333634543,0.22887155617352928,0.06565471963532854,0,1395.1739999999995,70.0,9,0,0.0,0,0,0,0.0,0,0.0,5813.174000000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.228550234375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1440.0,0.0,132.30320000000017,0.0,132.30320000000017,0.0,0.0,797.3799999999998,2134.0167999999994,0.2613331080682213,96,3391.1059999999993,32,2422.0679999999998,4,53.620000000000005,4,416.72,2,29.355600000000255,0.0,11.25,0,0,40,40,8 + shareholders & share market,debt,2,1.8189894035458565e-12
2,128,4,4,5864.1566,0.0,5910.8538,0.0,1461.856799999999,,0.0,6.9598,1454.896999999999,0.0,505.8230000000004,3.5584450000000003,0.00375,0.0,0.0,0.0,1.0,625.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,6.9849707692307685,1.239926153846154,8.224896923076923,2.849796923076923,1.239926153846154,4.089723076923077,845.5132000000059,297.956000000001,845.5132000000059,0.0,0,0,0.0,0.0,77.4448,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.697199999999995,60.557400000000015,0.0,0,20.82,131.85620000000003,6.9598,115.77649999999949,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.003580126744060711,4.768334848484853,5.48296756756757,1.85,1.1288189873417729,3.5152760736196207,3.802399999999999,222.0,264.0,111.0,512.0,326.0,51.0,46,0,0,2,10,5.0,512.0,3573.3489,240.7809,1684.0275,160,32,0,32,0.16265933447087955,0.22868245266402942,0.08407400520773733,0,1516.5415000000023,1258.8404000000012,10,0,11.0,0,0,0,0.0,0,0.0,6051.169900000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,20.35,51.0,365.9993,4,0.0,0.0,NaN,1280.0,100.0,-0.21171673828124996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,12,0.0,0,0.0,1440.0,0.0,2746.43051621622,0.0,2746.43051621622,0.0,0.0,929.0091000000003,2290.8077000000003,0.25681554535489437,96,3525.4208000000012,32,2525.749100000001,4,53.61999999999989,4,416.72,2,45.580000000000524,-6.9598,11.25,0,0,111,111,8 + shareholders & share market,debt,2,1.8189894035458565e-12
3,128,4,4,6116.445199999995,0.0,6173.941400000001,0.0,1776.7596999999996,,0.0,6.6118,1770.1478999999997,0.0,315.2508999999999,5.453887999999997,0.00375,0.0,0.0,0.0,1.0,572.722096969697,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,10.673348685448683,1.4385420105678193,12.111890696016502,2.5602882193436454,1.3974471939535644,3.9577354132972102,946.6540000000023,845.5132000000067,946.6540000000023,0.0,0,0,0.0,0.0,64.11349999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.4962,90.10900000000004,0.0,0,384.01859999999994,131.73,365.26599999999996,263.31019999999995,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,415.36699999999996,0.0,0.008588027417687369,4.674886363636372,5.428574242424244,1.710242857142857,1.335498,3.4094876854599367,3.688327999999999,264.0,264.0,132.0,509.3333333333333,336.99999999999994,51.0,42,0,0,2,9,6.0,512.0,3605.434399999999,569.2422,1770.3694,160,32,0,32,0.12251544111785817,0.3003130957232767,0.10519572233546315,0,1505.5394000000008,1234.1700000000023,10,1,21.0,0,0,0,0.0,0,0.0,7198.331469620257,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,35.915099999999995,20.0,171.3992,4,0.0,0.0,NaN,1280.0,100.0,-0.20269708893723626,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,12,0.0,0,0.0,1440.0,0.0,3102.2718904680164,0.0,3102.2718904680164,0.0,0.0,1080.9363000000003,2511.0107999999996,0.3179155441143644,96,3630.345999999999,32,3567.985469620255,4,53.620000000000005,4,416.72,2,56.437800000000045,-6.6118,16.932284810126593,0,0,132,132,8 + shareholders & share market,debt,2,1.8189894035458565e-12
4,128,4,4,6124.275699999999,0.0,6189.4148000000005,0.0,2079.8819000000003,,0.0,107.8192,1972.0627000000002,0.0,201.91479999999996,6.635554999999997,0.00375,0.0,0.0,0.0,1.0,553.3445393939394,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.96627445040919,1.6541627914369077,14.620437241846098,2.2467489767336577,1.6397856422971249,3.886534619030783,938.2832999999962,946.654000000003,938.2832999999962,0.0,0,0,0.0,0.0,64.6902,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,65.13910000000001,122.28070000000002,0.0,0,160.44389999999999,152.61339999999998,135.9151,256.8934999999988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,399.0734,0.0,0.00952087844439629,4.557065185185178,5.3687106060606125,1.6665625000000002,1.4416250000000002,3.2682191642651413,3.5776781599999983,264.0,270.0,132.0,509.3333333333333,347.0,51.0,40,0,0,0,14,6.0,512.0,3648.6665000000003,655.9637,1763.5265,160,32,0,32,0.10369629497687716,0.3334638643540633,0.10284406016434877,0,1485.5733000000002,1230.407599999998,14,0,8.0,0,0,0,0.0,0,0.0,7939.507999999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,13.332500000000001,30.0,56.119,4,0.0,0.0,NaN,1280.0,100.0,-0.19296534895833337,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,0,12,0.0,0,0.0,1440.0,0.0,3210.1315465756643,0.0,3210.1315465756643,0.0,0.0,1203.3755999999996,2475.6092,0.3456118348574386,96,3718.777300000001,32,4220.730699999999,4,53.620000000000005,4,416.72,2,64.13949999999987,-107.8192,20.03247,0,0,132,132,8 + shareholders & share market,debt,2,1.8189894035458565e-12
5,128,4,4,6108.792100000001,0.0,6169.977,0.0,2313.079300000001,,0.0,109.7715,2203.307800000001,0.0,231.24510000000004,7.3918886249999955,0.00375,0.0,0.0,0.0,1.0,481.6988558249152,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,14.754779362108597,1.7339508218502326,16.48873018395883,2.3831042781145206,1.691825194287714,4.074929472402235,943.3120999999974,938.283299999996,943.3120999999974,0.0,0,0,0.0,0.0,61.4086,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.18490000000001,146.81890000000004,0.0,0,104.76689999999999,120.2505,76.2745,256.4353999999982,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,331.3147000000001,0.0,0.011750274906872974,4.438519708029206,5.273605185185186,1.602225,1.5741932038834956,3.1160088105992214,3.4703478152,270.0,274.0,135.0,512.0,369.0,51.0,35,0,0,0,15,9.0,512.0,3645.4048000000007,686.6501000000001,1775.1767000000002,160,32,0,32,0.09722539421410792,0.3533129456705728,0.11342674830710942,0,1446.475699999999,1216.1544000000026,15,0,4.0,0,0,0,0.0,0,0.0,8422.196199999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,6.4089,46.0,1.5604999999999998,4,0.0,0.0,NaN,1280.0,100.0,-0.1890558203125,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35,0.0,0,12,0.0,0,0.0,1440.0,0.0,3393.0703881779023,0.0,3393.0703881779023,0.0,0.0,1281.366,2463.3873000000003,0.36359993524467304,96,3774.205699999999,32,4647.9905,4,53.620000000000005,4,416.72,2,60.2441000000002,-109.7715,21.624375,0,0,135,135,8 + shareholders & share market,debt,2,1.8189894035458565e-12
6,128,4,4,6033.394899999998,0.0,6089.9119,0.0,2538.518600000001,,0.0,119.9929,2418.5257000000006,0.0,215.21790000000004,8.258150374999998,0.00375,0.0,0.0,0.0,1.0,453.5536459008578,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.825209074461224,1.761468249046714,18.58667732350794,2.3461936880079306,1.7529986893364564,4.099192377344386,938.0639000000004,922.7529999999975,958.6230000000007,0.0,0,0,0.0,0.0,55.7179,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,56.51700000000001,169.80110000000008,0.0,8,43.6662,119.0634,135.03199999999998,236.92540000000153,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,307.08250000000004,98.45679999999994,0.011714300103681883,4.317684328358216,5.23516617647059,1.6002666666666667,1.733030769230768,3.036545834314424,3.3662373807439985,272.0,268.0,136.0,512.0,372.0,51.0,34,0,0,1,13,9.0,512.0,3585.5663999999983,710.6729,1735.5951,160,32,0,32,0.10152028560954807,0.37468228750023824,0.16848488066432177,0,1321.9830999999988,1157.1394000000018,13,0,9.0,0,0,0,0.0,0,0.0,8895.739389320392,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,14.4024,47.0,1.5604999999999998,4,0.0,0.0,NaN,1280.0,100.0,-0.1800518074307241,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,12,0.0,0,0.0,1440.0,0.0,3328.093674483477,0.0,3328.093674483477,0.0,0.0,1256.0647,2447.8285,0.3834534975794417,96,3789.5283,32,5106.211089320391,4,53.620000000000005,4,416.72,2,55.63500000000028,-119.9929,23.612898058252433,0,0,136,136,8 + shareholders & share market,debt,2,1.8189894035458565e-12
7,128,4,4,5940.832600000001,0.0,5993.0299,0.0,2743.3600000000015,,0.0,113.3974,2629.9626000000017,0.0,211.43690000000007,9.064487625000003,0.00375,0.0,0.0,0.0,1.0,426.45061499170816,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,19.231851860784346,1.8251815308842287,21.057033391668572,2.470037523967755,1.7112903530099217,4.181327876977677,915.2677999999992,917.8735000000008,956.0172999999982,0.0,0,0,0.0,0.0,55.092999999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,52.1973,192.31090000000017,0.0,22,26.8295,119.39179999999998,293.1107,231.27900000000002,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,283.9671000000001,211.5388,0.011315045986762376,4.223803831417631,5.148544029850745,1.57421875,1.8692490196078422,2.9308246039539068,3.26525025932168,268.0,261.0,134.0,510.66666666666663,380.0,51.0,32,0,0,2,7,9.0,512.0,3531.8785,747.5853,1659.8083,160,32,0,32,0.11234557903287135,0.4007680781372771,0.19383737566465875,0,1279.6040000000007,1102.4128000000017,8,1,16.0,0,0,0,0.0,0,0.0,9434.698546153846,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,25.1875,59.0,1.5604999999999998,4,0.0,0.0,NaN,1280.0,100.0,-0.17174481971153852,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1440.0,0.0,3371.1125356343955,0.0,3371.1125356343955,0.0,0.0,1292.6257,2408.9541,0.40806890240385574,96,3780.0505000000003,32,5654.648046153843,4,53.620000000000005,4,416.72,2,51.374099999999814,-113.3974,25.99546153846152,0,0,134,134,8 + shareholders & share market,debt,2,1.8189894035458565e-12
8,128,4,4,10413.375299999998,1.5604999999999998,8632.7752,0.0,7473.078500000002,,0.0,4677.7448,2795.333700000002,0.0,165.37109999999998,9.856744000000006,0.00375,0.0,0.0,0.0,1.0,425.2732915979511,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.342596787027393,1.9306913540358552,23.273288141063247,2.647903056892045,1.6696506761560406,4.3175537330480855,893.112300000003,890.1664000000003,868.3341000000029,0.0,4,0,90.62909999999991,4519.0669,56.2123,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,52.154999999999994,214.26400000000027,1861.3331,34,4592.9383,118.83510000000004,4973.8638,225.0506000000007,0.0,0.0,0.0,0.0,0.0,0,4515.1245,0.0,0.0,0.0,0.0,285.8874,113.77740000000007,0.010627589591947347,4.119693916349808,5.20423230769231,1.5658500000000004,1.8291520408163262,2.820844990472667,3.167292751542029,260.0,263.0,130.0,509.3333333333333,374.00000000000006,51.0,33,0,0,2,10,8.0,512.0,3485.736300000001,795.1864999999999,1617.328,160,32,0,32,0.1215895590965248,0.4168194207288116,0.18442946124134552,1,1221.2239999999993,1083.4794999999997,11,1,16.0,0,0,0,0.0,0,0.0,9880.851247058818,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,25.053600000000007,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,-0.06294062212775742,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,8,0.0,0,0.0,960.0,0.0,2610.467980372896,0.0,2610.467980372896,0.0,0.0,1010.0828,2412.5145,0.5257537058454196,96,3798.2478000000006,32,6082.603447058821,4,53.620000000000005,4,416.72,2,2732.1994999999997,-4677.7448,28.038735294117632,0,4,130,130,8 + shareholders & share market,debt,2,1.8189894035458565e-12
9,128,4,4,10453.956399999995,1.5604999999999998,8717.6082,0.0,7830.5606000000025,,0.0,4852.8643,2977.696300000002,0.0,182.36259999999996,10.476272250000006,0.00375,0.0,0.0,0.0,1.0,539.6224876774827,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.267942979657622,2.0347301413214067,24.30267312097903,2.835239575545553,1.843411782985352,4.678651358530905,872.4160999999958,868.3341000000011,872.4160999999958,0.0,4,0,90.62909999999991,4519.0669,54.7746,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,96.40690000000001,258.5159000000003,1861.3331,34,410.2621,369.681,410.2621,216.0118000000008,0.0,0.0,0.0,0.0,0.0,0,4489.4936,0.0,0.0,0.0,0.0,403.6732,0.0,0.0039478750314152836,4.03288659003832,5.135286466165407,NaN,1.8064673267326739,2.748305013290114,3.072273968995767,266.0,261.0,133.0,509.33333333333337,319.0,51.0,47,0,0,2,10,5.0,512.0,3563.4678999999996,832.7246,1568.2703,160,32,0,32,0.12531817956217584,0.41745236955073195,0.13094529072047556,0,1305.5194999999994,1052.5834000000016,10,0,0.0,0,0,0,0.0,0,0.0,10044.712697959178,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,-0.05713383011798471,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,8,0.0,0,0.0,960.0,0.0,2656.3597574521345,0.0,2656.3597574521345,0.0,0.0,1066.9062,2400.9949,0.5254053606821583,96,3855.3473000000013,32,6189.36539795918,4,53.620000000000005,4,416.72,2,2750.8793000000005,-4852.8643,27.437280612244894,0,4,133,133,8 + shareholders & share market,debt,2,1.8189894035458565e-12
10,128,4,4,10401.977700000007,3.1209999999999996,8711.793599999999,0.0,8181.800500000001,,0.0,4937.3362,3244.464300000002,0.0,266.768,11.159860500000002,0.00375,0.0,0.0,0.0,1.0,531.934202129396,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.745522144347834,1.9147127146701788,25.660234859018015,2.851541210233496,1.7848009953415542,4.63634220557505,863.1594000000003,872.4160999999988,863.1594000000003,0.0,4,0,90.62909999999991,4519.0669,58.7547,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,141.0105,303.11950000000047,1861.3331,34,340.1276,390.5458,340.1276,216.12580000000065,0.0,0.0,0.0,0.0,0.0,0,4444.499,0.0,0.0,0.0,0.0,398.84920000000017,0.0,0.013063856108406737,4.112320000000002,5.0965007575757575,NaN,1.782934999999999,2.7682391928641366,2.9801057499258943,264.0,270.0,132.0,509.3333333333333,317.0,51.0,48,0,0,2,12,9.0,512.0,3490.5212999999985,890.2813000000001,1576.6761000000001,160,32,0,32,0.12405841226889258,0.4256801377448203,0.14298141290911692,0,1296.3056000000004,1110.3264000000006,12,0,0.0,0,0,0,0.0,0,0.0,10184.090784158418,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,-0.0429442268719059,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,0,8,0.0,0,0.0,960.0,0.0,2458.6346725134104,0.0,2458.6346725134104,0.0,0.0,1047.9870999999998,2466.9574000000002,0.5302608818000092,96,3846.6317999999997,32,6337.4589841584175,4,53.62,4,416.72,2,2750.5470999999993,-4937.3362,27.09700990099011,0,4,132,132,8 + shareholders & share market,debt,2,1.8189894035458565e-12
