round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6681.685099999995,0.0,489.65,189.65,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,31.9062,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.16423230769231,1.0386399999999998,24.20287230769231,3.850298461538462,1.0257376923076922,4.876036153846154,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,64.63489999999993,189.65,32.180599999999956,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,64.63489999999993,32.180599999999956,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,20.0,40.0,512.0,185.0,51.0,81,0,0,0,12,8.0,512.0,4272.096699999999,0.0,1276.2386999999999,156,36,0,32,0.1702230903021813,0.49889249379937595,0.6628050769972926,10,1293.1937999999998,100.0,14,2,128.0,0,0,0,0.0,0,0.0,10422.096700000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,256.0,52.0,1046.9683,4,76.571,76.57120000000002,NaN,1280.0,100.0,0.21639368489583335,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1440.0,0.0,565.5525000000001,0.0,565.5525000000001,0.0,76.571,1369.8901000000003,2323.207,0.5361181975652649,96,3107.7477999999983,32,7314.348900000002,4,0.0,4,177.3,2,54.4752,-108.3438,37.5,0,0,40,40,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
2,128,4,4,7247.172300000003,0.0,3877.1174000000005,517.4374,248.59380000000002,,248.59380000000002,0.0,0.0,0.0,0.0,0.0,0.0025,36.6268,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.400480769230768,1.7247315384615383,24.125212307692305,2.9447884615384616,1.7247315384615383,4.66952,638.6228000000007,225.99999999999983,638.6228000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.494,0.0,48,640.0,74.51279999999998,517.4374,37.0459,0.0,0.0,0.0,0.0,0.0,1,0.2394,640.0,74.51279999999998,37.0459,82.0,0.0,0.0,0.015,4.765597701149425,5.492237168141599,2.0044168831168836,NaN,3.488163636363623,3.802399999999999,226.0,261.0,113.0,512.0,330.0,51.0,45,0,0,0,8,5.0,512.0,4593.753900000001,185.2932,1847.135,79,113,0,17,0.12283672615630303,0.4717009411240902,0.38336539250921264,0,1770.954800000002,1243.821,9,1,77.0,0,0,0,0.0,0,0.0,10728.753899999983,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,154.34010000000004,51.0,584.1239999999999,4,7.932,7.9319999999999995,NaN,1280.0,100.0,0.20999535156250002,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,12,0.0,0,0.0,1440.0,0.0,2448.400272972974,0.0,2448.400272972974,0.0,7.932,1522.5205999999996,2616.5522000000005,0.49391501059241083,111,6726.469300000003,17,4002.284599999999,4,0.0,4,175.4475,2,113.985,-211.967,37.5,0,0,113,113,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
3,128,4,4,7802.388800000001,0.0,4781.2745,373.95680000000004,345.6418,,345.6418,0.0,0.0,0.0,0.0,0.0,0.0025,41.6338,0.0,0.0,1.0,133.6748,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.552519883982814,2.0804275541008157,25.63294743808363,3.376675483789932,2.0151996394732286,5.391875123263161,725.8945,638.6228,725.8945,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.054099999999998,0.0,48,640.0,84.78349999999999,373.95680000000004,42.138699999999986,0.0,0.0,0.0,0.0,0.0,3,19.875500000000002,640.0,84.78349999999999,42.138699999999986,82.0,0.0,0.0,0.015,4.700017454545452,5.362837121212121,1.9291972222222225,NaN,3.326619725767053,3.688327999999999,264.0,275.0,132.0,512.0,381.0,51.0,32,0,0,2,15,11.0,512.0,4841.497,429.59680000000003,1999.0779,60,132,0,13,0.13712190994335072,0.4667584834470593,0.28506924373121123,0,1883.3541999999998,1292.5047999999992,15,0,144.0,0,0,0,0.0,0,0.0,10965.755499999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,277.80440000000004,64.0,470.7078,4,0.0,0.0,NaN,1280.0,100.0,0.2222493359375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1440.0,0.0,3004.896436765878,0.0,3004.896436765878,0.0,0.0,1756.4041999999997,2899.3824999999997,0.48904417596121985,115,7845.655999999997,13,3120.0995000000007,4,0.0,4,173.59500000000003,2,191.6895,-304.008,37.5,0,0,132,132,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
4,128,4,4,8347.748899999997,0.0,4729.8664,105.36210000000001,435.8431,,435.8431,0.0,0.0,0.0,0.0,0.0,0.0025,46.5577,0.0,0.0,1.0,131.83510000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.734709727963885,2.5543636725312817,26.28907340049517,4.09752406275843,2.3428603663450773,6.440384429103508,729.1077000000005,725.8945000000004,729.1077000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.154225000000007,0.0,48,640.0,94.63990000000001,105.36210000000001,47.0658,0.0,0.0,0.0,0.0,0.0,9,5.633100000000001,640.0,94.63990000000001,47.0658,82.0,0.0,0.0,0.015,4.53733181818182,5.306773880597018,1.8836765100671122,NaN,3.154974778181813,3.5776781599999983,268.0,264.0,134.0,509.33333333333337,385.0,51.0,30,0,0,2,14,7.0,512.0,5289.404700000001,468.7278,1990.1422000000002,58,134,0,12,0.14446714240474945,0.4544305550805363,0.27940250550275314,0,1822.6318000000006,1197.8556000000005,14,0,149.0,0,0,0,0.0,0,0.0,11229.073700000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,280.6677999999997,64.0,547.2834,4,0.0,0.0,NaN,1280.0,100.0,0.24330274088541667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1440.0,0.0,2764.5203695912573,0.0,2764.5203695912573,0.0,0.0,2091.3008999999997,3006.1534,0.4778029636575829,116,8304.829099999997,12,2924.2445999999995,4,0.0,4,171.74239999999998,2,263.81640000000004,-389.2854,37.5,0,0,134,134,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
5,128,4,4,8883.397900000002,0.0,4611.8025,80.71430000000001,516.5573,,516.5573,0.0,0.0,0.0,0.0,0.0,0.0025,51.4046,0.0,0.0,1.0,127.27190000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.973140309425244,3.06978193108007,27.042922240505312,4.793401654911171,2.932209550774926,7.725611205686096,712.0411999999995,729.1077000000004,712.0411999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-19.038050000000016,0.0,48,640.0,104.35100000000007,80.7143,51.91860000000002,0.0,0.0,0.0,0.0,0.0,12,7.3843,640.0,104.35100000000007,51.91860000000002,82.0,0.0,0.0,0.015,4.410244194756554,5.141045925925923,1.8601024999999987,NaN,3.000540200258396,3.4703478152,270.0,267.0,135.0,509.3333333333333,387.0,51.0,30,0,0,2,12,8.0,512.0,5699.1861999999965,510.4748,1975.0314,57,135,0,12,0.14101959416591736,0.43571625041904816,0.2696636954955909,0,1761.9657999999993,1177.5351999999998,12,0,160.0,0,0,0,0.0,0,0.0,11437.525900000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,297.61639999999977,64.0,639.9166,4,5.9948,5.9948000000000015,NaN,1280.0,100.0,0.2664503645833333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1440.0,0.0,2523.016791969061,0.0,2523.016791969061,0.0,5.9948,2332.4192,3125.4228000000003,0.4612806092287143,116,8527.488800000006,12,2910.0371000000005,4,0.0,4,169.88979999999992,2,342.4447,-465.15270000000004,37.5,0,0,135,135,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
6,128,4,4,9408.7455,0.0,4445.9517000000005,72.3023,588.8596000000001,,588.8596000000001,0.0,0.0,0.0,0.0,0.0,0.0025,56.5315,0.0,0.0,1.0,123.7069,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.58207331982681,3.5644808031085744,28.146554122935385,5.5066626360397,3.3937096905729613,8.900372326612663,693.4531000000002,712.0412000000003,693.4531000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-25.54635000000001,0.0,48,640.0,114.65239999999994,72.3023,57.06119999999996,0.0,0.0,0.0,0.0,0.0,14,86.72829999999999,640.0,114.65239999999994,57.06119999999996,82.0,0.0,0.0,0.015,4.3055164750957795,5.078594736842106,1.8693387500000003,NaN,2.9470331148727307,3.3662373807439985,266.0,261.0,133.0,509.3333333333333,383.0,51.0,31,0,0,2,9,6.0,512.0,6060.660900000001,544.8244,1937.2882,57,135,0,12,0.14452414636310573,0.42411179586385206,0.27633035178909937,0,1722.4576999999997,1123.7397999999985,9,0,160.0,0,0,0,0.0,0,0.0,11668.098600000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,299.09420000000006,64.0,722.7121999999999,4,18.7733,18.7728,NaN,1280.0,100.0,0.28712452473958333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,0.0,2262.8458042506436,0.0,2262.8458042506436,0.0,18.7733,2574.3866000000007,3204.8248,0.4511800857896682,116,8733.3268,12,2934.7718000000004,4,0.0,4,168.03729999999996,2,417.9515,-532.3281000000001,37.5,0,0,133,133,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
7,128,4,4,9923.736099999998,0.0,4272.036400000001,64.2378,653.0974000000001,,653.0974000000001,0.0,0.0,0.0,0.0,0.0,0.0025,61.6785,0.0,0.0,1.0,120.76929999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.295182054668672,3.6109667708868924,28.90614882555557,6.69561859084626,3.485833922928262,10.181452513774524,671.2289000000002,693.4530999999997,671.2289000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.67965000000001,0.0,48,640.0,125.00940000000003,64.2378,62.22879999999998,0.0,0.0,0.0,0.0,0.0,16,130.9049,640.0,125.00940000000003,62.22879999999998,82.0,0.0,0.0,0.015,4.213383999999995,4.986480152671757,1.908558750000002,NaN,2.9720473275104013,3.26525025932168,262.0,275.0,131.0,509.33333333333337,379.0,51.0,31,0,0,1,16,10.0,512.0,6443.575500000001,575.7986999999999,1962.3575999999998,57,135,0,12,0.1705749993491581,0.4214262546443295,0.30450018263294165,0,1712.4306999999994,1158.6805999999985,16,0,160.0,0,0,0,0.0,0,0.0,11847.808900000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,305.3694000000003,64.0,749.4209,4,22.9744,22.973999999999997,NaN,1280.0,100.0,0.3080168098958333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,0.0,2068.849459868914,0.0,2068.849459868914,0.0,22.9744,2843.3957999999993,3287.5772,0.44869266583724765,116,8901.876900000001,12,2945.9320000000002,4,0.0,4,166.18479999999994,2,458.2909000000001,-591.4189000000001,37.5,0,0,131,131,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
8,128,4,4,10428.579200000002,0.0,4127.889700000001,56.5065,709.6038,,709.6038,0.0,0.0,0.0,0.0,0.0,0.0025,66.7375,0.0,0.0,1.0,118.18490000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.63255112024703,4.040205796941005,29.672756917188032,7.763262900392591,3.872895552327102,11.636158452719693,679.4730000000002,671.2289000000003,679.4730000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-37.43707500000003,0.0,48,640.0,135.15689999999995,56.5065,67.29809999999996,0.0,0.0,0.0,0.0,0.0,17,152.3205,640.0,135.15689999999995,67.29809999999996,82.0,0.0,0.0,0.015,4.114608363636367,4.863772058823531,1.971772499999999,NaN,2.9229833449871467,3.167292751542029,272.0,275.0,136.0,510.66666666666663,388.99999999999994,51.0,30,0,0,1,16,14.0,512.0,6846.813400000001,591.2650000000001,1975.2695,56,136,0,12,0.18843572521452123,0.4155826310940114,0.301101551231707,0,1714.9183,1131.517300000001,16,0,160.0,0,0,0,0.0,0,0.0,12047.842500000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,315.48359999999985,64.0,796.1732999999999,4,27.795899999999996,27.795999999999996,NaN,1280.0,100.0,0.32841288411458336,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1440.0,0.0,2199.1400215385647,0.0,2199.1400215385647,0.0,27.795899999999996,3162.6951,3362.7078000000006,0.4434283909154966,116,9084.513399999996,12,2963.3291,4,0.0,4,164.33219999999994,2,475.86930000000007,-642.8663,37.5,0,0,136,136,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
9,128,4,4,10923.373399999999,0.0,3936.5384000000004,48.6768,758.2805999999999,,758.2805999999999,0.0,0.0,0.0,0.0,0.0,0.0025,71.7595,0.0,0.0,1.0,115.41429999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.186135540848877,4.177332796346174,30.36346833719505,8.92339716699936,4.143199255208366,13.066596422207725,670.2896999999996,679.4729999999992,670.2896999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.81987500000004,0.0,48,640.0,145.20579999999998,48.6768,72.32139999999998,0.0,0.0,0.0,0.0,0.0,18,162.67680000000001,640.0,145.20579999999998,72.32139999999998,82.0,0.0,0.0,0.015,4.027672727272729,4.831775555555552,2.038054374999999,NaN,2.849831691472857,3.0722739689957668,270.0,264.0,135.0,510.66666666666663,387.0,51.0,30,0,0,0,11,11.0,512.0,7270.2892,625.4022,1937.3004999999998,56,136,0,12,0.1921391674573958,0.4041153929700865,0.3081302338894274,0,1672.0821000000005,1063.3056000000004,11,0,160.0,0,0,0,0.0,0,0.0,12266.23899999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,326.08869999999985,64.0,855.9452,4,35.6895,35.6896,NaN,1280.0,100.0,0.34768164713541666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1440.0,0.0,2078.491493263118,0.0,2078.491493263118,0.0,35.6895,3421.103700000001,3418.6479000000004,0.43298027618679646,116,9295.9457,12,2970.2932999999994,4,0.0,4,162.47969999999998,2,482.38840000000005,-686.5210999999999,37.5,0,0,135,135,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
10,128,4,4,11408.111700000009,0.0,3737.7272,41.217,799.4975,,799.4975,0.0,0.0,0.0,0.0,0.0,0.0025,76.7734,0.0,0.0,1.0,112.97640000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.34036496114641,4.210658361419909,31.551023322566316,10.436649285745535,4.130737231863754,14.567386517609288,657.1361999999992,670.2896999999997,657.1361999999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.827100000000065,0.0,48,640.0,155.26169999999996,41.217,77.34549999999997,0.0,0.0,0.0,0.0,0.0,19,167.52030000000002,640.0,155.26169999999996,77.34549999999997,82.0,0.0,0.0,0.015,4.002229779411765,4.769673134328353,2.0765712499999993,NaN,2.7972049870129916,2.9801057499258943,268.0,272.0,134.0,512.0,385.0,51.0,31,0,0,2,15,14.0,512.0,7634.068400000003,658.7202,1948.6316,56,136,0,12,0.20950955767569535,0.4032763207013643,0.3138115253723539,0,1638.4668000000001,1088.6065,15,0,160.0,0,0,0,0.0,0,0.0,12424.938900000012,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,332.2513999999999,64.0,922.3978000000001,4,44.8621,44.862,NaN,1280.0,100.0,0.37054166015624995,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,0.0,1927.7866532775097,0.0,1927.7866532775097,0.0,44.8621,3747.6966999999995,3529.7496,0.43180266126991995,116,9387.906500000006,12,3037.0324,4,0.0,4,160.62709999999993,2,483.39470000000006,-722.7240999999999,37.5,0,0,134,134,8 + shareholders & share market,sumsy,1,3.637978807091713e-12
