round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,5975.192799999998,0.0,6005.724399999999,0.0,949.0739999999994,,0.0,0.0,949.0739999999994,0.0,949.0739999999994,0.0,0.00375,0.0,2925.0009,0.0,1.0,975.0003,1924.0743000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16,0,6.861307692307695,-0.38930140624999965,6.472006286057694,3.1409538461538453,0.982,4.1229538461538455,297.95600000000076,0.0,297.95600000000076,0.0,0,0,0.0,0.0,11.44,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,1.176,132.3032,1.176,25.926299999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,5.0,5.199999999999997,NaN,0.75,3.73124324324325,3.9200000000000013,80.0,10.0,40.0,512.0,185.0,51.0,81,0,0,0,6,4.0,512.0,3841.176,520.5248,1042.9548,160,32,0,32,0.20244442432799215,0.33229018426346624,0.0660778859393163,2,1395.1739999999995,50.0,7,1,0.0,0,0,0,0.0,0,0.0,4077.908200000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.22855023437500002,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1067.0084,768,720.0,720.0,0.0,132.30320000000017,66.15160000000009,66.15160000000009,0.0,0.0,486.39599999999996,1067.0084,0.36504779948160127,96,2069.0946500000023,32,2008.813550000001,4,53.620000000000005,4,396.72,2,29.355600000000255,0.0,11.25,0,0,40,40,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
2,128,4,4,5863.6359,0.0,5910.3331,0.0,1461.8568000000014,,0.0,3.3151,1458.5417000000014,0.0,509.4676999999995,3.558405000000001,0.00375,0.0,2400.0009,0.0,1.0,625.0003,1529.1492000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,7.18772692307692,-0.07700318509615367,7.110723737980767,2.875083076923077,1.1736246153846155,4.048707692307692,848.3424000000068,297.956000000001,848.3424000000068,0.0,0,0,0.0,0.0,83.91459999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.697199999999995,60.557400000000015,0.0,0,20.2993,131.8562,6.4391,115.77649999999949,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0035801267440607114,4.894000000000005,5.510103636363641,1.8500000000000003,1.1371205128205133,3.5149555555555447,3.802399999999999,220.0,274.0,110.0,512.0,324.0,51.0,46,0,0,1,16,7.0,512.0,3499.114500000002,244.2219,1769.1001999999999,160,32,0,32,0.1569835192857365,0.3248269749630257,0.07933864432068094,0,1510.0684000000028,1340.9560000000013,16,0,3.0,0,0,0,0.0,0,0.0,4427.412000000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,5.550000000000001,51.0,351.19930000000005,4,0.0,0.0,NaN,1280.0,100.0,-0.20940249999999996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,6,6,1201.3442,768,720.0,720.0,0.0,2632.479356756761,1342.9905027027046,1289.4888540540562,0.0,0.0,588.5219000000001,1163.1771999999999,0.35002176771983207,96,2272.002350000001,32,2155.4096499999996,4,53.61999999999989,4,396.72,2,45.580000000000524,-3.3151,11.25,0,0,110,110,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
3,128,4,4,6199.997299999999,0.0,6257.350300000001,0.0,1788.2926000000014,,0.0,72.1023,1716.1903000000013,0.0,257.64860000000004,5.467919875000009,0.00375,0.0,2190.2303,0.0,1.0,590.2297000000001,1323.159266666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,10.902409543868465,0.06258487016087215,10.964994414029338,2.52963676086888,1.227752192637766,3.757388953506646,992.9221000000064,848.3424000000065,992.9221000000064,0.0,0,0,0.0,0.0,85.7172,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.352999999999994,90.10200000000003,0.0,0,468.05839999999995,131.697,449.16960000000006,269.2799999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,428.72800000000007,0.0,0.008551111426920506,5.553868656716422,5.456628148148144,NaN,1.347333009708738,3.476930973451354,4.659183042792791,270.0,268.0,135.0,510.66666666666663,339.0,51.0,43,0,0,1,13,7.0,512.0,3416.546700000001,566.7442,2087.5056,160,32,0,32,0.13233322265322744,0.40459307781222376,0.09662671958660685,0,1548.5735000000006,1488.436800000001,13,0,0.0,0,0,0,0.0,0,0.0,5591.084853846154,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,16.0,129.2008,4,0.0,0.0,NaN,1280.0,100.0,-0.18886075220352563,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,6,6,1424.8069999999998,768,720.0,720.0,0.0,2924.507047086239,1449.6875264335624,1474.819520652677,0.0,0.0,676.6857,1358.6435999999997,0.4106994621771447,96,2343.627617307692,32,3247.4572365384624,4,53.620000000000005,4,396.72,2,56.29460000000007,-72.1023,17.0568076923077,0,0,135,135,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
4,128,4,4,6358.331199999995,0.0,6423.338200000001,0.0,2143.5474000000013,,0.0,281.2714,1862.2760000000014,0.0,146.08569999999997,6.433455875000011,0.00375,0.0,2119.646183955224,0.0,1.0,635.9646119402986,1238.4752559701496,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,11.645441627518029,0.15317355323712575,11.798615180755155,2.0782485046366443,1.0430449428038029,3.1212934474404475,1010.714699999996,992.9221000000053,1010.714699999996,0.0,0,0,0.0,0.0,91.12119999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,65.007,122.73090000000003,0.0,0,315.57370000000003,157.2398,290.5988,287.5059999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,452.6871,0.0,0.009091786241637475,5.708113703703705,5.637923134328359,NaN,1.439367647058824,3.5122308986979895,4.519407551509007,268.0,270.0,134.0,510.6666666666667,329.0,51.0,45,0,0,2,12,11.0,512.0,3309.2696,675.3624,2329.2030000000004,160,32,0,32,0.13815129043127783,0.4337889501232519,0.10602756196953322,2,1559.6857999999986,1541.1907000000003,14,2,0.0,0,0,0,0.0,0,0.0,6327.889045631071,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,8.0,44.4962,4,0.0,0.0,NaN,1280.0,100.0,-0.1625743069882686,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,6,6,1559.0919,768,720.0,720.0,0.0,2565.029631476188,1289.2271850523725,1275.8024464238151,0.0,0.0,691.2075,1489.9697,0.4344739591294615,96,2444.6360667475724,32,3883.252978883495,4,53.620000000000005,4,396.72,2,64.0073999999996,-281.2714,20.20999514563107,0,0,134,134,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
5,128,4,4,6505.111699999997,0.0,6574.814599999999,0.0,2565.466800000002,,0.0,539.7282,2025.738600000002,0.0,163.4626,6.98093687500001,0.00375,0.0,2116.5298639402986,0.0,1.0,701.3548612935324,1213.7572692935328,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,12.56633541366713,0.17956877687556477,12.745904190542694,1.7763095567802016,1.0201254932805672,2.796435050060769,1002.7839000000046,1010.7146999999981,1002.7839000000046,0.0,0,0,0.0,0.0,86.4144,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,69.70289999999997,156.39530000000002,0.0,0,304.94329999999997,158.16280000000003,275.97479999999996,287.82439999999906,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,512.9866000000001,0.0,0.010640503873699234,5.744830152671756,5.657084962406011,NaN,1.5769603960396052,3.553248617969815,4.383825324963738,266.0,262.0,133.0,509.3333333333333,324.0,51.0,46,0,0,1,14,4.0,512.0,3274.0060000000003,713.4184,2516.074,160,32,0,32,0.1279572071836459,0.4492541285841931,0.09029742437196608,5,1626.9429999999966,1505.1454999999999,16,2,0.0,0,0,0,0.0,0,0.0,6736.421888235294,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,5.0,1.6133,4,0.0,0.0,NaN,1280.0,100.0,-0.12693737821691176,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,6,6,1545.6985000000002,768,720.0,720.0,0.0,2448.1770424149513,1320.3638464236974,1127.8131959912541,0.0,0.0,691.0871000000001,1685.4072,0.448188771083323,96,2491.0949764705874,32,4245.326911764708,4,53.620000000000005,4,396.72,2,68.76210000000023,-539.7282,21.59051470588236,0,0,133,133,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
6,128,4,4,6715.654700000001,0.0,6779.680300000003,0.0,2989.154700000003,,0.0,836.4984,2152.656300000003,0.0,126.91769999999997,7.593514500000008,0.00375,0.0,2110.933382395824,0.0,1.0,694.3169915578173,1196.0825049305495,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,13.970183965304793,0.40272014199075595,14.372904107295549,1.9945558547202045,1.0596262927098052,3.0541821474300095,1028.8865999999982,1000.1964000000028,1031.4740999999983,0.0,0,0,0.0,0.0,93.9469,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,64.02559999999998,182.01100000000005,0.0,8,357.5731,147.03009999999998,338.98940000000005,280.92530000000227,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,504.7382999999995,10.121799999999999,0.011237799587797031,5.699646289752651,5.661906666666657,NaN,1.7282427184466023,3.608627405825183,4.252310565214825,270.0,283.0,135.0,510.66666666666663,326.99999999999994,51.0,44,0,0,1,18,14.0,512.0,3188.2096000000006,723.1514,2802.6804,160,32,0,32,0.16019852539259016,0.46653774326252373,0.10947203703841257,1,1648.9435,1612.9999000000003,18,0,0.0,0,0,0,0.0,0,0.0,7379.709645544554,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,4.0,1.6133,4,0.0,0.0,NaN,1280.0,100.0,-0.10320225324876231,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,6,6,1738.9655,768,720.0,720.0,0.0,2323.1136341416627,1207.824680962409,1115.2889531792528,0.0,0.0,736.0914,1788.4796000000001,0.46456528005052977,96,2598.6898462871286,32,4781.0197992574285,4,53.620000000000005,4,396.72,2,63.143599999999935,-836.4984,23.654405940594078,0,0,135,135,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
7,128,4,4,6866.223099999998,0.0,6926.3846,0.0,3419.0354000000034,,0.0,1076.6743,2342.3611000000033,0.0,189.70480000000003,8.069174875000007,0.00375,0.0,2114.8798261725597,0.0,1.0,712.8528296109918,1186.710498400754,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.910173197430233,0.5808418795461062,16.49101507697634,2.084221777838157,1.0781566479852944,3.1623784258234515,1020.8199000000003,1026.815699999997,1025.4783000000002,0.0,0,0,0.0,0.0,76.5393,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,60.16149999999999,208.5793000000002,0.0,21,314.86510000000004,164.29669999999996,311.8149,295.2272000000002,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,524.7647999999997,20.2082,0.010488063830268905,5.688430468749997,5.7138948148148145,NaN,1.9242728155339806,3.5870447326050097,4.12474124825838,270.0,256.0,135.0,510.6666666666667,327.0,51.0,46,0,0,2,10,6.0,512.0,3226.5085000000013,727.1692999999999,2910.932,160,32,0,32,0.1582891854596855,0.4733422363752826,0.1005329043601344,1,1680.1680999999996,1456.2381999999993,11,1,0.0,0,0,0,0.0,0,0.0,8187.726276699029,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,4.0,1.6133,4,0.0,0.0,NaN,1280.0,100.0,-0.095212349944377,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,6,6,1872.3714000000002,768,720.0,720.0,0.0,2319.5876285591703,1129.1908205747307,1190.3968079844399,0.0,0.0,764.3525000000003,1767.3432,0.47248364444737656,96,2780.1909143203893,32,5407.535362378642,4,53.620000000000005,4,396.72,2,59.33829999999925,-1076.6743,25.923640776699035,0,0,135,135,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
8,128,4,4,11242.686499999998,1.6133,9557.8771,0.0,8117.576900000004,,0.0,5550.3176,2567.2593000000033,0.0,224.8982,8.780234000000009,0.00375,0.0,2117.963894721057,0.0,1.0,713.1841248535125,1181.6682798140378,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.944550987006266,1.3709453885764877,19.315496375582754,1.907535773706844,1.1172292259076007,3.024764999614445,1018.3095999999999,1018.7552000000007,1015.2112,0.0,4,0,9.821500000000002,4251.1848,81.48819999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.1138,235.79920000000018,1766.0219000000002,33,4557.2466,179.1699,4734.908100000001,279.99550000000016,0.0,0.0,0.0,0.0,0.0,0,4246.6651,0.0,0.0,0.0,0.0,525.4667999999997,15.944700000000003,0.0102284138639004,5.655794360902255,5.74657218045113,NaN,2.0407960396039604,3.573891606570513,3.167292751542029,266.0,266.0,133.0,509.33333333333337,325.0,51.0,46,0,0,3,11,8.0,512.0,3173.8298999999997,738.6071000000001,3083.5843999999997,160,32,0,32,0.1567649872812178,0.4440865536705756,0.1014725196251356,0,1672.0138999999988,1504.4412999999997,14,3,0.0,0,0,0,0.0,0,0.0,9881.939933009706,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.06560755385315534,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,4,4,1953.6799999999998,512,480.0,480.0,0.0,2087.8990811279664,1023.5836762073214,1064.315404920645,0.0,0.0,518.5893,1868.5115,0.5399465761673148,96,3562.101706796115,32,6319.838226213593,4,53.620000000000005,4,396.72,2,2559.477999999999,-5550.3176,28.864092233009707,0,4,133,133,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
9,128,4,4,11411.604900000004,1.6133,9775.8341,0.0,8604.642400000002,,0.0,5861.8889,2742.753500000003,0.0,175.49419999999998,9.623130125000007,0.00375,0.0,2127.0418909226532,0.0,1.0,733.2219535118073,1181.8060272817688,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,19.676681279808182,1.5171152808641089,21.19379656067229,2.144737835183783,1.138712383435325,3.2834502186191084,1024.2979999999989,1015.2112,1024.2979999999989,0.0,4,0,9.821500000000002,4251.1848,80.64009999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,111.15239999999997,284.83780000000013,1766.0219000000002,33,596.506,427.5876,596.506,283.53589999999997,0.0,0.0,0.0,0.0,0.0,0,4215.7883,0.0,0.0,0.0,0.0,546.5816999999998,0.0,0.004375721054661434,5.615771804511274,5.920457251908393,NaN,2.1403393939393935,3.5748570811950526,3.072273968995767,262.0,266.0,131.0,508.00000000000006,314.99999999999994,51.0,48,0,0,2,14,6.0,512.0,3195.5081000000005,745.6758,3254.6327,160,32,0,32,0.16836291156835115,0.4528442246321831,0.11565008886386363,0,1685.4714000000008,1493.7952999999989,14,0,0.0,0,0,0,0.0,0,0.0,10513.427244554447,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.09938577138768565,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,4,4,2033.0092,512,480.0,480.0,0.0,1869.2060132460738,924.150783772831,945.0552294732427,0.0,0.0,530.3356,1967.2993000000001,0.5423319754841154,96,3699.8820121287126,32,6813.545232425743,4,53.620000000000005,4,396.72,2,2577.6986000000006,-5861.8889,30.611940594059405,0,4,131,131,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
10,128,4,4,11501.4989,3.2266,9917.387400000001,0.0,9067.516200000004,,0.0,6097.0565,2970.459700000004,0.0,227.70620000000002,10.281165125000006,0.00375,0.0,2126.6051633429147,0.0,1.0,707.558205041757,1176.709165561943,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.443856407958936,1.6775437759097607,23.121400183868698,2.208265545023267,1.1915678396240366,3.399833384647304,1080.4668999999997,1024.297999999998,1080.4668999999997,0.0,4,0,9.821500000000002,4251.1848,77.22919999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,161.19839999999994,334.88380000000024,1766.0219000000002,33,549.9276,458.42029999999994,549.9276,284.279,0.0,0.0,0.0,0.0,0.0,0,4163.972299999999,0.0,0.0,0.0,0.0,522.2379999999997,0.0,0.01277367690024155,5.620464772727273,6.197394029850746,NaN,2.253073529411765,3.6111576413775826,2.9801057499258943,268.0,264.0,134.0,509.33333333333337,321.00000000000006,51.0,46,0,0,1,10,5.0,512.0,3193.0444,742.6745,3401.8077,160,32,0,32,0.1712253001986126,0.46132798353875537,0.12160829412829322,0,1702.8848000000007,1483.8027000000002,14,4,0.0,0,0,0,0.0,0,0.0,11138.008800000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.12381448330965908,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,4,4,2122.1894,512,480.0,480.0,0.0,1970.1431449116324,980.75480488053,989.3883400311023,0.0,0.0,555.9922999999999,2022.2927999999997,0.5444464451195286,96,3833.6480909090897,32,7304.360709090909,4,53.62,4,396.72,2,2575.9874,-6097.0565,32.105090909090904,0,4,134,134,B best SuMSy village: co-ops + prices + reserve,debt,8,-3.637978807091713e-12
