round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,28371.554999999986,0.0,594.3375000000001,189.3375,189.3375,,189.3375,0.0,0.0,0.0,0.0,0.0,0.0025,249.6724,568.0124999999998,0.0,1.0,189.33749999999995,106.1133666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.489102564102566,11.393405128205128,33.88250769230769,9.762234188034187,8.427658689458688,18.189892877492873,298.80000000000007,0.0,298.80000000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,501.3146,189.3375,250.3301000000001,0.0,0.0,0.0,0.0,0.0,0,51.8134,640.0,501.3146,250.3301000000001,82.0,0.0,0.0,0.0,6.75,7.020000000000001,2.6999999999999935,1.0124999999999997,4.8565702702702715,5.292000000000001,80.0,19.0,40.0,512.0,185.0,51.0,81,0,0,0,11,8.0,512.0,23348.8665,653.4412,2484.7959,172,20,0,29,0.10971666905516564,0.20613654703488082,0.6519786278709241,0,1156.4714000000004,128.25,11,0,128.0,0,0,0,0.0,0,0.0,32461.366499999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,345.59999999999917,52.0,1582.9656,4,210.06400000000002,210.06399999999982,NaN,1280.0,100.0,0.34692074869791667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,3059.5328,0.0,103.09879999999998,0.0,103.09879999999998,0.0,210.06400000000002,7413.910499999999,4721.2027,0.27653937551109253,99,19786.8038,29,12674.5627,4,0.0,4,189.33749999999998,2,51.8134,60.334900000000005,50.62500000000001,0,0,40,40,"E11 + government reserve, full money stock",sumsy,9,0.0
2,128,4,4,28507.34439999998,0.0,5272.746,0.0,179.8706,,179.8706,0.0,0.0,0.0,0.0,0.0,0.0025,302.1154,568.0124999999998,0.0,1.0,189.33749999999995,88.6323666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.73299772079772,11.283537321937322,34.01653504273504,9.366237606837606,8.259406267806266,17.625643874643874,858.1627000000002,298.8,858.1627000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.8934,0.0,0,640.0,504.21060000000017,0.0,251.1884,0.0,0.0,0.0,0.0,0.0,0,121.3748,640.0,504.21060000000017,251.1884,82.0,0.0,0.0,0.015,6.467699999999989,7.4350681415929225,2.868700625000001,NaN,4.651667346938793,5.13324,226.0,270.0,113.0,512.0,343.0,51.0,42,0,0,0,12,10.0,512.0,22827.649499999996,352.9021,3304.5257,79,113,0,14,0.1050722943258462,0.21036823912960467,0.35017553219968356,0,1844.023799999998,1746.278999999997,12,0,160.0,0,0,0,0.0,0,0.0,31919.89989999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,458.99210000000016,64.0,1598.7769,4,79.5292,79.52919999999999,NaN,1280.0,100.0,0.38306994140624995,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,12,0.0,0,0.0,3059.5328,0.0,2358.344343243244,0.0,2358.344343243244,0.0,79.5292,7343.231500000002,5256.2047,0.2780702378485578,114,26067.584799999986,14,5852.315099999999,4,0.0,4,179.87059999999997,2,121.3748,122.24480000000003,50.624999999999986,0,0,113,113,"E11 + government reserve, full money stock",sumsy,9,0.0
3,128,4,4,28640.322099999987,0.0,6353.7949,283.0513,170.4037,,170.4037,0.0,0.0,0.0,0.0,0.0,0.0025,361.8361,560.0935,0.0,1.0,181.4185,66.08579999999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.678143817621578,11.5998892722535,35.27803308987508,8.530615448839871,8.930771966256003,17.461387415095874,986.5945000000006,858.1626999999997,986.5945000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.6921,0.0,0,640.0,507.0222999999999,283.0513,251.94380000000012,0.0,0.0,0.0,0.0,0.0,0,145.4272,640.0,507.0222999999999,251.94380000000012,82.0,0.0,0.0,0.015,6.503204659498214,7.228317164179109,3.0828912500000007,NaN,4.669684896103928,4.979242800000001,268.0,279.0,134.0,512.0,385.0,51.0,31,0,0,1,22,12.0,512.0,22497.278299999984,566.9755,3535.2039,58,134,0,10,0.09325034660831633,0.21570468014675082,0.2891380938123007,0,2053.142299999999,1814.3941000000016,22,0,160.0,0,0,0,0.0,0,0.0,31485.468100000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,493.26260000000013,64.0,1533.6010999999999,4,76.4347,76.43480000000001,NaN,1280.0,100.0,0.40599865234375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,3059.5328,0.0,3033.683539859144,0.0,3033.683539859144,0.0,76.4347,7416.1858999999995,5635.7805,0.2774093104871578,118,27277.260799999993,10,4208.207299999999,4,0.0,4,170.40369999999996,2,145.4272,191.4324,50.624999999999986,0,0,134,134,"E11 + government reserve, full money stock",sumsy,9,0.0
4,128,4,4,28770.587800000005,0.0,6277.568499999999,53.710899999999995,160.9368,,160.9368,0.0,0.0,0.0,0.0,0.0,0.0025,419.9835,556.8817499999999,0.0,1.0,182.41549999999998,45.632749999999966,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.358940865417004,11.3669904693295,34.725931334746505,7.936937191064743,9.089743385536117,17.02668057660086,1006.3563000000004,986.5945000000011,1006.3563000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.226700000000003,0.0,0,640.0,509.73430000000013,53.710899999999995,252.68670000000006,0.0,0.0,0.0,0.0,0.0,0,158.14159999999998,640.0,509.73430000000013,252.68670000000006,82.0,0.0,0.0,0.015,7.319947692307696,7.162002173913046,3.1994737499999997,NaN,4.5224371264603604,4.829865515999999,276.0,260.0,138.0,510.6666666666667,393.0,51.0,28,0,0,1,13,4.0,512.0,22257.0,629.0113,3712.2624,54,138,0,9,0.08617070528373083,0.2204750512485263,0.2863856310509698,0,2037.586399999998,1903.186400000001,13,0,160.0,0,0,0,0.0,0,0.0,30934.792,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,511.91579999999993,64.0,1594.1889999999999,4,82.9905,82.9904,NaN,1280.0,100.0,0.44303912760416647,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,0.0,0,12,0.0,0,0.0,3059.5328,0.0,2936.9236999442037,0.0,2936.9236999442037,0.0,82.9905,7595.5254,5935.462699999999,0.27966680305379943,119,27161.826900000004,9,3772.965099999999,4,0.0,4,160.93680000000006,2,158.14159999999998,259.0467,50.62499999999998,0,0,138,138,"E11 + government reserve, full money stock",sumsy,9,0.0
5,128,4,4,28898.179700000008,0.0,5932.3204000000005,0.0,151.4699,,151.4699,0.0,0.0,0.0,0.0,0.0,0.0025,455.3068,568.70022,0.0,1.0,205.32470000000004,37.797806666666645,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.208197683632033,9.992231449320986,30.200429132953015,7.155940689782139,7.835631864540433,14.991572554322572,1017.6879999999996,1006.356299999999,1017.6879999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.062000000000005,0.0,0,640.0,512.4081,0.0,253.63769999999985,0.0,0.0,0.0,0.0,0.0,0,164.093,640.0,512.4081,253.63769999999985,82.0,0.0,0.0,0.015,7.545317803030304,7.405096296296294,3.3966643749999994,NaN,4.477790437818846,4.684969550520001,270.0,264.0,135.0,510.6666666666667,387.0,51.0,30,0,0,3,11,4.0,512.0,21896.54380000001,685.5901,3981.7608,54,138,0,9,0.08631785404758707,0.22135818356030224,0.28755097203106916,0,2000.605000000002,1991.9639000000004,11,0,160.0,0,0,0,0.0,0,0.0,30247.512800000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,543.4662999999999,64.0,1714.8852000000002,4,99.9573,99.95719999999999,NaN,1280.0,100.0,0.4939866927083332,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,3059.5328,0.0,2306.4965528676757,0.0,2306.4965528676757,0.0,99.9573,7646.9949,6382.236099999999,0.28046557431608377,119,26545.460500000005,9,3702.0522999999994,4,0.0,4,151.46990000000005,2,164.093,303.8369,50.62499999999998,0,0,135,135,"E11 + government reserve, full money stock",sumsy,9,0.0
6,128,4,4,29023.12539999999,0.0,5587.072300000001,0.0,142.003,,142.003,0.0,0.0,0.0,0.0,0.0,0.0025,484.528,579.7399499999999,0.0,1.0,211.64619999999994,31.73731666666663,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.9828039322631,9.569450623384983,28.55225455564808,7.26784955212368,7.485286995875313,14.753136547998993,995.5133999999994,1017.6879999999987,995.5133999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-17.6342,0.0,0,640.0,515.0543,0.0,254.62499999999994,0.0,0.0,0.0,0.0,0.0,0,166.4568,640.0,515.0543,254.62499999999994,82.0,0.0,0.0,0.015,7.518777737226273,7.405404545454541,3.5539949999999996,NaN,4.52161556703849,6.861588532016881,264.0,274.0,132.0,508.0,381.0,51.0,30,0,0,0,13,9.0,512.0,21457.5037,771.2668,4354.628699999999,54,138,0,9,0.08785243071081261,0.22390236047726164,0.3041589138865186,0,1999.4885999999992,2060.145099999999,13,0,160.0,0,0,0,0.0,0,0.0,29481.649699999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,568.6392,64.0,1788.7414,4,111.1997,111.19960000000002,NaN,1280.0,100.0,0.550508958333333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,3059.5328,0.0,1753.8826600858583,0.0,1753.8826600858583,0.0,111.1997,7783.255600000001,6914.6368999999995,0.28284483200737665,119,25828.83229999998,9,3652.8173999999995,4,0.0,4,142.00299999999993,2,166.4568,342.52500000000003,50.62499999999998,0,0,132,132,"E11 + government reserve, full money stock",sumsy,9,0.0
7,128,4,4,29145.496400000007,0.0,5241.833500000003,0.0,132.5361,,132.5361,0.0,0.0,0.0,0.0,0.0,0.0025,514.6773,587.3063571428571,0.0,1.0,210.90160000000006,24.209685714285722,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.987513814514266,9.191277557622973,28.178791372137233,7.256468402675584,7.597622972508852,14.854091375184437,1002.1950999999993,995.5134000000008,1002.1950999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.943400000000004,0.0,0,640.0,517.6289999999999,0.0,255.5751000000001,0.0,0.0,0.0,0.0,0.0,0,167.3889,640.0,517.6289999999999,255.5751000000001,82.0,0.0,0.0,0.015,7.424544943820226,7.344739552238801,3.7028031250000004,NaN,4.677654845530402,9.269893066510281,268.0,267.0,134.0,512.0,385.0,51.0,31,0,0,1,14,7.0,512.0,21171.456600000005,833.8625000000001,4652.6567,54,138,0,9,0.08825074896181206,0.2293254111936871,0.31626581867952464,0,2083.5465999999983,1982.3535000000002,14,0,160.0,0,0,0,0.0,0,0.0,28868.788900000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,592.4485000000001,64.0,1805.4544,4,123.0844,123.08439999999999,NaN,1280.0,100.0,0.5969352994791662,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,3059.5328,0.0,1572.1158005605716,0.0,1572.1158005605716,0.0,123.0844,7993.8046,7291.973599999998,0.28795927444583036,119,25142.656100000004,9,3726.1327999999994,4,0.0,4,132.53610000000003,2,167.3889,382.1411999999999,50.62499999999998,0,0,134,134,"E11 + government reserve, full money stock",sumsy,9,0.0
8,128,4,4,29265.352400000007,0.0,4896.596800000001,0.0,123.0692,,123.0692,0.0,0.0,0.0,0.0,0.0,0.0025,547.5507,591.99,0.0,1.0,208.2585,14.8131,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,19.175901470728526,9.09833538770961,28.274236858438133,7.687419080013108,7.4647351397060255,15.152154219719133,990.5067999999992,1002.1951000000001,990.5067999999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-25.9896,0.0,0,640.0,520.1439999999999,0.0,256.47270000000003,0.0,0.0,0.0,0.0,0.0,0,167.81130000000002,640.0,520.1439999999999,256.47270000000003,82.0,0.0,0.0,0.015,7.410146212121212,7.257513432835815,3.8343031250000026,NaN,4.66259554720562,9.2395614316955,268.0,264.0,134.0,510.6666666666667,385.0,51.0,31,0,0,1,10,6.0,512.0,20907.342299999997,911.8428,4903.879000000001,54,138,0,9,0.0962603677557694,0.23235052329184147,0.3245536163549556,0,2083.1949999999974,1956.2786,10,0,160.0,0,0,0,0.0,0,0.0,28277.863,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,613.4885000000004,64.0,1826.9262999999999,4,137.49390000000002,137.49399999999997,NaN,1280.0,100.0,0.6416256835937497,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,3059.5328,0.0,1444.7153218548312,0.0,1444.7153218548312,0.0,137.49390000000002,8137.995499999999,7642.6481,0.29098665792121614,119,24605.1693,9,3672.693699999999,4,0.0,4,123.06919999999991,2,167.81130000000002,424.4815,50.62499999999998,0,0,134,134,"E11 + government reserve, full money stock",sumsy,9,0.0
9,128,4,4,29382.720599999986,0.0,4551.351200000001,0.0,113.6023,,113.6023,0.0,0.0,0.0,0.0,0.0,0.0025,580.8449,595.4980999999999,0.0,1.0,207.8543,4.884399999999952,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,19.780341039830972,8.547836630694155,28.328177670525125,8.341900696242663,7.2105480587164115,15.552448754959075,977.3265000000008,990.5067999999995,977.3265000000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-29.77249999999999,0.0,0,640.0,522.6317999999999,0.0,257.3391999999999,0.0,0.0,0.0,0.0,0.0,0,168.2375,640.0,522.6317999999999,257.3391999999999,82.0,0.0,0.0,0.015,7.348484965034969,7.212981203007525,4.009891249999999,NaN,4.6517316829851945,9.16185115424259,266.0,286.0,133.0,510.6666666666667,382.99999999999994,51.0,31,0,0,0,19,17.0,512.0,20519.066999999995,990.0111,5269.393,54,138,0,9,0.10863574306887336,0.2433842546681051,0.3357464669899668,0,2077.715000000003,2101.666700000001,19,0,160.0,0,0,0,0.0,0,0.0,27562.767199999987,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,641.5825999999998,64.0,1855.1671000000001,4,188.1741,188.17399999999995,NaN,1280.0,100.0,0.6942104361979164,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,3059.5328,0.0,1274.3520233350423,0.0,1274.3520233350423,0.0,188.1741,8397.0897,8114.571199999999,0.30108049997508757,119,23849.9041,9,3712.8630999999987,4,0.0,4,113.60230000000001,2,168.2375,467.24260000000004,50.62499999999998,0,0,133,133,"E11 + government reserve, full money stock",sumsy,9,0.0
10,128,4,4,29497.691600000002,0.0,4206.103500000002,0.0,104.1354,,104.1354,0.0,0.0,0.0,0.0,0.0,0.0025,615.8501,597.7859099999998,0.0,0.93002815655338,206.12539999999993,0.0,0.0,0.0,0.93002815655338,0.0,0.0,0.93002815655338,0.0,0,0,20.158628815882164,8.60762251217093,28.766251328053094,8.418013569896686,7.63747748394167,16.055491053838356,997.1512000000001,977.3264999999989,997.1512000000001,0.0,0,0,0.0,0.0,0.0,0.93002815655338,0.93002815655338,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-33.2925,0.0,0,640.0,525.0290000000001,0.0,258.1637,0.0,0.0,0.0,0.0,0.0,0,168.2944,640.0,525.0290000000001,258.1637,82.0,0.0,0.0,0.015,7.276320833333335,7.147089051094891,4.245441249999997,NaN,4.627203588923872,9.236026789296226,274.0,264.0,137.0,512.0,391.0,51.0,30,0,0,1,14,12.0,512.0,20319.923600000006,1047.9047,5449.667100000001,54,138,0,9,0.11758010866733715,0.25178929919277926,0.3260665450753548,0,2109.4447000000023,1920.9487000000004,14,0,160.0,0,0,0,0.0,0,0.0,27036.801199999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,679.2705999999995,64.0,1896.0517,4,200.37509999999997,200.3752000000001,NaN,1280.0,100.0,0.7342386328124996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,3059.5328,0.0,1280.094521706915,0.0,1280.094521706915,0.0,200.37509999999997,8731.018800000003,8393.6235,0.30898370355277294,119,23273.794199999997,9,3763.006999999999,4,0.0,4,104.13540000000012,2,168.2944,511.7147,50.62499999999998,0,0,137,137,"E11 + government reserve, full money stock",sumsy,9,0.0
