round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6684.570999999998,0.0,474.28999999999996,174.29,124.89,,124.89,0.0,0.0,0.0,0.0,0.0,0.0025,30.4426,420.75,0.0,0.9588,140.25,224.26156666666674,0.02,15.359999999999959,1.02,0.0,0.0,1.02,0.0,0,0,23.879377980769235,3.0284897115384615,26.907867692307697,3.029782307692308,1.761823846153846,4.791606153846154,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,48,640.0,61.74900000000003,174.29,46.090899999999955,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,61.74900000000003,30.73090000000001,82.0,0.0,0.0,0.0,NaN,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,0.0,40.0,512.0,185.0,51.0,81,0,0,0,0,0.0,512.0,4350.336199999996,0.0,1343.7216,156,36,0,32,0.13692538686722666,0.45427256116952264,0.6595096003545091,0,1294.5700999999997,0.0,0,0,128.0,128,0,0,4350.336199999996,156,12215.456200000004,12215.456200000004,0.0,0,128,0,1.5,0,0.0,128,128,12215.456200000004,156,15360.0,0,391,256.0,52.0,905.5953999999999,4,68.107,68.10660000000006,0.2679875,1280.0,97.5,0.21158313802083337,391,0,0.0,0,95.26175000000035,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1440.0,0.0,564.9864000000001,0.0,564.9864000000001,0.0,68.107,3492.4561999999987,2249.317,0.49290895079481567,96,4524.266249999998,32,7691.18995,4,0.0,4,0.0,2,54.4752,-94.4474,37.5,0,0,40,40,S4 rung 12 + everyone greedy,sumsy,9,0.0
2,128,4,4,7250.1946,0.0,3317.1667000000007,385.34670000000006,140.3823,,140.3823,0.0,0.0,0.0,0.0,0.0,0.0025,37.2034,402.23699999999997,0.0,0.91929744,127.90799999999997,172.8818166666668,0.02,81.97309999999985,1.0404,0.0,0.0,1.0404,0.0,0,0,26.51942307692307,2.8613250674763826,29.38074814439945,2.7295740553306347,2.2919576585695003,5.021531713900135,564.7618000000003,225.99999999999983,564.7618000000003,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-0.494,0.0,48,640.0,74.37639999999999,385.34670000000006,119.65919999999977,0.0,0.0,0.0,0.0,0.0,2,110.5498,640.0,74.37639999999999,37.68610000000001,82.0,0.0,0.0,0.015,4.779999999999983,5.360409803921572,2.0,NaN,3.4717198555956603,15.014856666666665,204.0,271.0,102.0,512.0,277.0,51.0,58,0,0,0,12,0.0,512.0,4481.2185,185.2552,1998.9975,90,102,0,18,0.12517911998293552,0.45232353928278446,0.49795255142531736,1,1584.1094000000014,1295.3799999999956,0,0,22.0,128,0,0,4481.2185,90,12331.338500000003,12331.338500000003,0.0,15,22,0,1.5,0,0.0,128,128,12331.338500000003,90,15360.0,0,0,44.0,20.0,436.9702,4,26.080999999999996,26.0802,0.2679875,1280.0,97.5,0.21285406901041662,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58,0.0,0,12,0.0,0,0.0,1440.0,0.0,1838.0924891891896,0.0,1838.0924891891896,0.0,26.080999999999996,3653.3762000000006,2621.2228999999998,0.47859390562903403,110,7885.496712500002,18,4445.841787500001,4,0.0,4,0.0,2,110.5498,-103.17889999999998,37.5,0,0,102,102,S4 rung 12 + everyone greedy,sumsy,9,0.0
3,128,4,4,7805.9578999999985,0.0,4778.42135,292.06129999999996,151.3093,,151.3093,0.0,0.0,0.0,0.0,0.0,0.0025,42.9733,402.23699999999997,0.0,0.8814223854719999,134.079,155.42396666666684,0.02,85.94859999999973,1.061208,0.0,0.0,1.061208,0.0,0,0,25.36256889684592,3.070717734148707,28.43328663099463,3.5023817186997217,2.1048076923076997,5.607189411007421,751.5601000000008,564.7618,751.5601000000008,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-4.6618249999999986,0.0,48,640.0,84.2367,292.06129999999996,129.4786999999997,0.0,0.0,0.0,0.0,0.0,3,19.4734,640.0,84.2367,43.53009999999999,82.0,0.0,0.0,0.015,4.7764000000000015,5.354453284671539,1.8499999999999996,NaN,3.445779063360901,14.564410966666665,274.0,272.0,137.0,512.0,363.0,51.0,37,0,0,0,16,0.0,512.0,4917.775699999998,379.3224,2195.6686,55,137,0,11,0.1400801571671424,0.443371944493262,0.3435751906172906,0,1865.8262999999995,1299.1808000000003,0,0,42.0,128,0,0,4917.775699999998,55,12699.522499999997,12699.522499999997,0.0,16,42,0,1.5,0,0.0,128,128,12699.522499999997,55,15360.0,0,0,77.69999999999999,36.0,250.7445,4,0.0,0.0,0.2679875,1280.0,97.5,0.2213764453125,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37,0.0,0,12,0.0,0,0.0,1440.0,0.0,2918.1955201157302,0.0,2918.1955201157302,0.0,0.0,4034.8898999999997,2825.7355,0.46987840978370454,117,9859.204587499999,11,2840.3179125,4,0.0,4,0.0,2,143.5532,-108.33600000000001,37.96875,0,0,137,137,S4 rung 12 + everyone greedy,sumsy,9,0.0
4,128,4,4,8351.968100000006,0.0,4795.800741346153,67.3814,154.1673,,154.1673,0.0,0.0,0.0,0.0,0.0,0.0025,48.9452,402.161475,0.0,0.8451077831905535,133.9783,143.5610833333335,0.02,88.14700000000002,1.08243216,0.0,0.0,1.08243216,0.0,0,0,25.438346765271948,3.433682553000972,28.872029318272922,3.8350286343754227,2.631021593346774,6.466050227722197,771.1450000000008,751.5600999999999,771.1450000000008,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-11.431350000000005,0.0,48,640.0,93.9898,67.3814,137.6971999999999,0.0,0.0,0.0,0.0,0.0,4,63.738,640.0,93.9898,49.55020000000001,82.0,0.0,0.0,0.015,4.693682142857159,5.30383802816902,1.7990000000000004,NaN,3.184500833333328,14.127478637666664,284.0,280.0,142.0,512.0,384.0,51.0,31,0,0,1,22,0.0,512.0,5363.7105,484.80639999999994,2214.6685,50,142,0,10,0.13339386497812478,0.4349314449471451,0.2856181677457872,0,1830.1064000000008,1314.2310000000045,0,0,39.0,128,0,0,5363.7105,50,12979.521854807692,12979.521854807692,0.0,25,39,0,1.5,0,0.0,128,128,12979.521854807692,50,15360.0,0,0,70.16100000000002,47.0,176.09949999999998,4,0.0,0.0,0.2679875,1280.0,97.5,0.23671874042217558,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,0.0,3151.2048428412972,0.0,3151.2048428412972,0.0,0.0,4440.613100000001,2875.5744,0.46108832936682087,118,10451.045653846151,10,2528.476200961539,4,0.0,4,0.0,2,212.9373,-105.22210000000001,38.042668269230774,0,0,142,142,S4 rung 12 + everyone greedy,sumsy,9,0.0
5,128,4,4,8887.9803,0.0,4823.238442728366,21.3215,146.4589,,146.4589,0.0,0.0,0.0,0.0,0.0,0.0025,65.9679,400.72385999999995,0.0,0.8102893425231027,131.65779999999998,127.42750000000005,0.02,99.9370000000002,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,25.60769757949405,3.685861029699543,29.293558609193592,4.363149833804521,3.1312131464068114,7.494362980211332,794.3379,771.145,794.3379,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-20.037450000000018,0.0,48,640.0,103.98780000000002,21.3215,155.7362000000002,0.0,0.0,0.0,0.0,0.0,0,96.9117,640.0,103.98780000000002,55.7992,82.0,0.0,0.0,0.015,5.199822535211267,5.210321476510067,1.723599999999999,NaN,3.1233541785714323,13.703654278536666,298.0,284.0,149.0,510.66666666666663,415.0,51.0,23,0,0,0,24,0.0,512.0,5752.848099999999,514.9735,2378.1639,43,149,0,9,0.1358668507006553,0.4245075508059506,0.23199249706062064,0,1896.428799999999,1476.7495999999996,0,0,36.0,128,0,0,5752.848099999999,43,13154.145533774035,13154.145533774035,0.0,29,36,0,1.5,0,0.0,128,128,13154.145533774035,43,15360.0,0,0,62.04959999999996,64.0,79.1152,4,0.0,0.0,0.2679875,1280.0,97.5,0.2587221695259291,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,12,0.0,0,0.0,1440.0,0.0,3197.640871590345,0.0,3197.640871590345,0.0,0.0,4759.6512999999995,2972.2526000000003,0.4512342873464654,119,10934.909523377402,9,2219.2360103966353,4,0.0,4,0.0,2,259.6623,-80.491,38.110734675480785,0,0,149,149,S4 rung 12 + everyone greedy,sumsy,9,0.0
6,128,4,4,9413.4995,0.0,4628.981300000001,80.8063,138.75050000000002,,138.75050000000002,0.0,0.0,0.0,0.0,0.0,0.0025,74.2011,406.864,0.0,0.7769054216111508,145.85490000000001,121.5175333333334,0.02,98.61510000000003,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,23.013009466071583,3.4232692881197173,26.4362787541913,4.488177580108266,3.06740424010637,7.555581820214635,810.6132999999986,794.3378999999996,810.6132999999986,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-28.39725000000001,0.0,48,640.0,114.4808,80.8063,161.28640000000001,0.0,0.0,0.0,0.0,0.0,0,61.82809999999999,640.0,114.4808,62.671299999999924,82.0,0.0,0.0,0.015,5.26643185185185,5.3195523489932794,1.6687000000000007,NaN,3.1319646315968175,13.292544650180561,298.0,270.0,149.0,512.0,415.0,51.0,24,0,0,1,13,0.0,512.0,6193.253399999999,554.7438,2476.642,43,149,0,9,0.14712665574728434,0.4156490959495851,0.22539023418422022,0,1891.175599999999,1421.9365999999995,0,0,40.0,128,0,0,6193.253399999999,43,13368.969272633034,13368.969272633034,0.0,15,40,0,1.5,0,0.0,128,128,13368.969272633034,43,15360.0,0,0,66.74800000000003,64.0,52.8311,4,0.0,0.0,0.2679875,1280.0,97.5,0.2787598678571974,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0.0,0,12,0.0,0,0.0,1440.0,0.0,2978.0253661457687,0.0,2978.0253661457687,0.0,0.0,5158.3757,3084.2169,0.4429061698781296,119,11133.92535,9,2235.0439226330323,4,0.0,4,0.0,2,293.5487,-64.54940000000002,38.17292261937284,0,0,149,149,S4 rung 12 + everyone greedy,sumsy,9,0.0
7,128,4,4,9928.285500000002,0.0,4449.9039999999995,100.02619999999999,131.04209999999998,,131.04209999999998,0.0,0.0,0.0,0.0,0.0,0.0025,91.3014,412.0508571428571,0.0,0.7448969182407714,147.72400000000002,112.50630000000005,0.02,102.56120000000023,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,22.863704607363623,3.390233219340008,26.253937826703634,5.360327598290953,2.9702536559051835,8.330581254196137,721.8648999999995,810.6133000000001,721.8648999999995,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-37.09445000000004,0.0,48,640.0,125.214,100.02619999999999,172.3747000000002,0.0,0.0,0.0,0.0,0.0,0,120.00800000000001,640.0,125.214,69.8135,82.0,0.0,0.0,0.015,5.203775539568347,5.332309848484845,1.655900000000001,NaN,3.056269064158668,12.893768310675148,264.0,278.0,132.0,510.6666666666667,381.0,51.0,32,0,0,1,20,0.0,512.0,6454.6362,668.7699,2544.6079999999997,43,149,0,9,0.17259317951567854,0.41551185299317983,0.2798395402075988,0,1750.2844999999993,1446.6496000000004,0,0,43.0,128,0,0,6454.6362,43,13405.646712484451,13405.646712484451,0.0,23,43,0,1.5,0,0.0,128,128,13405.646712484451,43,15360.0,0,0,71.20370000000004,64.0,48.962,4,0.0,0.0,0.2679875,1280.0,97.5,0.30200956147072283,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1440.0,0.0,2228.7907914804405,0.0,2228.7907914804405,0.0,0.0,5411.201100000001,3262.3399,0.4339103009200891,119,11153.305449999996,9,2252.3412624844495,4,0.0,4,95.52620000000002,2,339.002,-39.740699999999975,38.22408633684766,0,0,132,132,S4 rung 12 + everyone greedy,sumsy,9,0.0
8,128,4,4,10432.833299999993,0.0,4273.204300000002,107.4051,123.33370000000001,,123.33370000000001,0.0,0.0,0.0,0.0,0.0,0.0025,121.7802,415.28171249999997,0.0,0.7142071652092515,145.96590000000003,97.89331250000005,0.02,107.8422,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,23.126499598246944,3.4344180006845306,26.560917598931475,5.8856652321655165,3.1015025444894286,8.987167776654946,784.2449999999995,721.8648999999999,784.2449999999995,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-46.28125000000004,0.0,48,640.0,135.45220000000006,107.4051,184.61879999999994,0.0,0.0,0.0,0.0,0.0,0,108.89189999999999,640.0,135.45220000000006,76.77660000000004,82.0,0.0,0.0,0.015,5.122121527777781,5.248253424657531,1.6577000000000008,NaN,3.04673057184571,12.506955261354891,292.0,288.0,146.0,510.6666666666667,409.0,51.0,25,0,0,1,25,0.0,512.0,6700.1796,661.319,2773.7754,43,149,0,9,0.18155094585076514,0.4127195066015097,0.23782630146925743,0,1827.0023000000006,1475.171000000001,0,0,54.0,128,0,0,6700.1796,43,13463.063045271296,13463.063045271296,0.0,33,54,0,1.5,0,0.0,128,128,13463.063045271296,43,15360.0,0,0,89.51580000000004,64.0,66.88719999999999,4,0.0,0.0,0.2679875,1280.0,97.5,0.3290216040537536,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,0,12,0.0,0,0.0,1440.0,0.0,2432.877212031693,0.0,2432.877212031693,0.0,0.0,5665.9737000000005,3501.9816,0.4298378735019721,119,11183.816150000002,9,2279.246895271297,4,0.0,4,109.22289999999998,2,362.39809999999994,-1.5535000000000139,38.2661801225883,0,0,146,146,S4 rung 12 + everyone greedy,sumsy,9,0.0
9,128,4,4,10926.839999999997,0.0,4134.953949291508,74.9709,115.62530000000001,,115.62530000000001,0.0,0.0,0.0,0.0,0.0,0.0025,159.6411,417.0312666666666,0.0,0.6847818300026304,143.67589999999998,85.79672222222221,0.02,106.37839999999973,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,23.479094534212205,3.6737668535220114,27.152861387734216,7.102078210176725,2.9729545722026574,10.075032782379381,807.3530999999998,784.2449999999998,807.3530999999998,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-55.98185000000006,0.0,48,640.0,145.99329999999992,74.9709,190.46709999999968,0.0,0.0,0.0,0.0,0.0,0,148.1828,640.0,145.99329999999992,84.08870000000005,82.0,0.0,0.0,0.015,5.0154216783216805,5.227503973509933,1.641800000000002,NaN,2.980142185013937,12.131746603514244,302.0,286.0,151.0,510.6666666666667,419.00000000000006,51.0,22,0,0,0,27,0.0,512.0,7029.3013,707.4262,2842.7345,41,151,0,9,0.197657297634795,0.4061298088543175,0.2165709601839536,0,1822.3487000000007,1434.4106000000006,0,0,48.0,128,0,0,7029.3013,41,13555.479509767421,13555.479509767421,0.0,31,48,0,1.5,0,0.0,128,128,13555.479509767421,41,15360.0,0,0,78.8064000000001,64.0,39.554100000000005,4,0.0,0.0,0.2679875,1280.0,97.5,0.3468453269672757,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,12,0.0,0,0.0,1440.0,0.0,2478.483653546984,0.0,2478.483653546984,0.0,0.0,5951.881400000001,3589.7147999999993,0.4190840354274463,119,11272.961249999995,9,2282.5182597674248,4,0.0,4,175.4939000000001,2,386.6005,44.015799999999984,38.126874645754064,0,0,151,151,S4 rung 12 + everyone greedy,sumsy,9,0.0
10,128,4,4,11410.380799999999,0.0,3928.758899999999,90.554,107.9169,,107.9169,0.0,0.0,0.0,0.0,0.0,0.0025,208.1956,417.53279999999995,0.0,0.656568818606522,140.6822,69.77906666666665,0.02,107.64349999999979,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,24.42773622801562,3.673472374297845,28.101208602313463,8.891347637838143,2.7713606550314114,11.662708292869555,789.1541000000009,807.3531,789.1541000000009,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-65.76040000000008,0.0,48,640.0,156.45920000000007,90.554,199.1353999999999,0.0,0.0,0.0,0.0,0.0,1,170.4017,640.0,156.45920000000007,91.49189999999999,82.0,0.0,0.0,0.015,4.939253496503498,5.106980794701992,1.639799999999999,NaN,2.965053646961629,11.767794205408814,302.0,286.0,151.0,512.0,419.0,51.0,23,0,0,1,27,0.0,512.0,7333.720200000003,777.969,2881.4292,41,151,0,9,0.22871110554333662,0.4049414315563584,0.2272902962290395,0,1809.1676000000002,1412.6265000000003,0,0,54.0,128,0,0,7333.720200000003,41,13649.100457937011,13649.100457937011,0.0,31,54,0,1.5,0,0.0,128,128,13649.100457937011,41,15360.0,0,0,88.54919999999994,64.0,38.665099999999995,4,0.0,0.0,0.2679875,1280.0,97.5,0.3674047990480305,0,0,0.0,0,0.0,1248.0,82,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,12,0.0,0,0.0,1440.0,0.0,2288.159103947967,0.0,2288.159103947967,0.0,0.0,6235.497000000003,3698.0633,0.4154055705726518,119,11381.424450000008,9,2267.676007937004,4,0.0,4,232.58920000000006,2,393.73089999999996,100.27870000000001,38.18620141309766,0,0,151,151,S4 rung 12 + everyone greedy,sumsy,9,0.0
