round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6681.8114000000005,0.0,489.65,189.65,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,31.8381,420.75,0.0,1.0,140.25,237.7749,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.583032403846154,2.3271981189903843,27.910230522836535,3.8571030769230767,1.0680353846153847,4.925138461538461,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,64.50859999999996,189.65,32.11240000000001,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,64.50859999999996,32.11240000000001,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,15.0,40.0,512.0,185.0,51.0,81,0,0,0,8,7.0,512.0,4294.115700000004,0.0,1275.9799,156,36,0,32,0.1677436366220293,0.44763656823010156,0.6595096003545091,8,1292.8700999999996,75.0,9,1,128.0,32,0,0,1214.9402999999998,156,8104.752375,12392.724000000002,0.0,0,14,0,1.5,0,0.0,32,32,8104.752375,156,7680.0,0,21,256.0,52.0,1025.4025,4,74.07100000000001,74.07079999999974,0.2631875,1280.0,99.85677083333333,0.22008516927083333,21,0,0.0,0,5.526937499999999,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1111.4283,768,720.0,720.0,0.0,565.8144000000001,285.61440000000005,280.20000000000005,32.538000000000004,41.533,938.1174,1189.9541,0.48821871445033604,96,4287.971625000001,32,8104.752375,4,0.0,4,152.60000000000002,2,54.4752,-108.4119,37.5,0,0,40,40,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
2,128,4,4,7245.865899999996,0.0,3756.6584000000007,509.4784000000001,248.6619,,248.6619,0.0,0.0,0.0,0.0,0.0,0.0025,37.3021,420.75,0.0,1.0,140.25,233.13456666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.68529942307692,2.419915378605769,28.10521480168269,3.6552461538461545,1.284243846153846,4.93949,623.6136000000005,225.99999999999983,623.6136000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.494,0.0,48,640.0,75.94550000000004,509.4784000000001,37.7504,0.0,0.0,0.0,0.0,0.0,1,110.5726,640.0,75.94550000000004,37.7504,82.0,0.0,0.0,0.015,4.797272727272716,5.505578181818186,2.169596774193549,NaN,3.5545341935483727,9.181202222222222,220.0,264.0,110.0,512.0,310.0,51.0,50,0,0,2,12,5.0,512.0,4566.388299999998,185.2932,1878.4051999999997,82,110,0,17,0.15512041010206068,0.4451195482890218,0.43064524424778283,2,1720.8860000000016,1266.479999999997,9,1,62.0,32,0,0,1369.0083,82,8210.886575000002,12515.586899999997,0.0,4,3,0,1.5,0,0.0,32,32,8210.886575000002,82,7680.0,0,0,134.51500000000004,37.0,467.9045,4,9.2275,9.218200000000031,0.2631875,1280.0,99.85677083333333,0.21761559895833335,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,6,6,1173.7213,768,720.0,720.0,0.0,2276.656748648649,1287.1082837837841,989.5484648648652,5.846299999999999,3.3811999999999998,1046.7944,1357.8816000000002,0.46863078237887756,111,8044.747278906254,17,4470.83962109375,4,0.0,4,151.98250000000002,2,110.5726,-211.3598,37.5,0,0,110,110,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
3,128,4,4,7799.425399999998,0.0,4916.537115789473,391.2356,345.9233,,345.9233,0.0,0.0,0.0,0.0,0.0,0.0025,42.4513,415.0635,0.0,1.0,134.5635,224.94966666666664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.361134229476537,2.6424588111511973,30.003593040627734,4.510319893296027,1.3357076427457357,5.846027536041763,742.1568999999998,623.6135999999998,742.1568999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.9709249999999985,0.0,48,640.0,86.4405,391.23560000000003,42.96389999999999,0.0,0.0,0.0,0.0,0.0,3,19.6313,640.0,86.4405,42.96389999999999,82.0,0.0,0.0,0.015,4.8194450549450485,5.364125185185184,1.8982457446808494,NaN,3.5386370466321377,8.905766155555554,270.0,273.0,135.0,509.33333333333337,386.0,51.0,30,0,0,1,19,3.0,512.0,4901.385999999999,420.9092,2045.7927000000002,57,135,0,12,0.16567840198670347,0.4323087829013459,0.298497288953389,3,1978.8641999999988,1315.7084999999981,8,0,94.0,32,0,0,1448.5937,57,8394.390702631577,13105.957463157896,0.0,12,13,0,1.5,0,0.0,32,32,8394.390702631577,57,7680.0,0,0,178.43509999999984,63.0,369.25489999999996,4,0.0,0.0,0.2631875,1280.0,99.85677083333333,0.22677934141995612,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1369.3131,768,720.0,720.0,0.0,3250.9300493069786,1699.5179773761317,1551.4120719308473,0.0,0.0,1192.3718999999999,1466.6436999999999,0.45619146488261775,116,9921.30257006578,12,3184.6548930921053,4,0.0,4,151.36489999999998,2,143.55,-303.472,37.796052631578945,0,0,135,135,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
4,128,4,4,8343.080100000003,0.0,5129.1923624060155,147.76389999999998,438.6577,,438.6577,0.0,0.0,0.0,0.0,0.0,0.0025,47.2918,412.6869,0.0,1.0,135.1857,219.18421666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.01313646741824,3.267046592859828,30.280183060278066,4.466974561614528,1.8070385651533019,6.27401312676783,777.9141000000005,742.1569000000001,777.9141000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.165525000000008,0.0,48,640.0,96.34530000000002,147.76389999999998,47.87909999999999,0.0,0.0,0.0,0.0,0.0,7,30.9137,640.0,96.34530000000002,47.87909999999999,82.0,0.0,0.0,0.015,5.441648287671238,5.314084615384619,1.8335619469026518,NaN,3.317570141748235,8.638593170888887,286.0,292.0,143.0,510.66666666666663,403.0,51.0,26,0,0,0,22,13.0,512.0,5098.8105,478.8397,2338.6812,49,143,0,10,0.1610784231868887,0.4188314362899135,0.2423079439240019,0,1947.1402999999998,1588.9613000000013,15,1,113.0,32,0,0,1561.1373,49,8459.06412725564,13467.758662593984,0.0,12,13,0,1.5,0,0.0,32,32,8459.06412725564,49,7680.0,0,0,207.19249999999965,64.0,348.54319999999996,4,0.0,0.0,0.2631875,1280.0,99.85677083333333,0.25816932749353844,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0,6,6,1553.0510000000002,768,720.0,720.0,0.0,3175.7999380886404,1637.6797803210168,1538.1201577676231,0.0,0.0,1284.0026000000003,1613.0131,0.44352075691772086,118,10828.97658190789,10,2638.78208068609,4,0.0,4,150.74739999999997,2,214.10750000000002,-391.36589999999995,37.88874530075187,0,0,143,143,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
5,128,4,4,8877.0496,0.0,4978.414100000001,105.3461,544.0038,,544.0038,0.0,0.0,0.0,0.0,0.0,0.0025,52.0579,421.73226,0.0,1.0,152.63789999999997,221.12186666666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.680211292573556,3.3559436757430756,27.03615496831663,4.259873734931306,1.9541371218660006,6.214010856797306,792.4095999999996,777.9141,792.4095999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-19.538325000000015,0.0,48,640.0,106.03049999999999,105.3461,52.69590000000002,0.0,0.0,0.0,0.0,0.0,10,39.8768,640.0,106.03049999999999,52.69590000000002,82.0,0.0,0.0,0.015,5.579737037037032,5.453588732394364,1.7561012345678986,NaN,3.2657694126413443,8.37943537576222,284.0,270.0,142.0,512.0,401.0,51.0,27,0,0,1,20,5.0,512.0,5460.400999999999,523.5031,2530.9062,49,143,0,10,0.1619744859969996,0.40508494745512214,0.24029250641544864,0,1913.5539000000003,1506.5289999999986,9,0,81.0,32,0,0,1738.0408999999997,49,8490.475970688442,13776.070626914938,0.0,14,12,0,1.5,0,0.0,32,32,8490.475970688442,49,7680.0,0,0,142.24419999999978,64.0,270.3046,4,0.0,0.0,0.2631875,1280.0,99.85677083333333,0.2977793121674425,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,0.0,6,6,1540.7410999999997,768,720.0,720.0,0.0,2726.2345162325196,1522.859692264266,1203.3748239682538,0.0,0.0,1457.1565999999998,1783.9727999999998,0.4308657439603123,118,11117.692783695078,10,2658.377843219866,4,0.0,4,150.12990000000002,2,278.0997,-491.94589999999994,37.981824189379694,0,0,142,142,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
6,128,4,4,9401.650899999995,0.0,4826.743600000002,104.4536,648.4573,,648.4573,0.0,0.0,0.0,0.0,0.0,0.0025,56.6571,429.69925,0.0,1.0,156.5114,222.45488333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.674999132569244,3.8302678759057245,26.50526700847497,4.4703361169947655,2.292836891444354,6.76317300843912,784.4380000000008,792.4096000000006,784.4380000000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-26.511050000000015,0.0,48,640.0,115.39869999999996,104.4536,57.35180000000001,0.0,0.0,0.0,0.0,0.0,13,49.635600000000004,640.0,115.39869999999996,57.35180000000001,82.0,0.0,0.0,0.015,5.580163670411984,5.513942446043171,1.707051,NaN,3.1874486680731273,8.128052314489354,278.0,267.0,139.0,510.6666666666667,395.0,51.0,29,0,0,1,12,3.0,512.0,5748.1167000000005,594.8507999999999,2724.8643,49,143,0,10,0.15912205168977311,0.3891956710331623,0.24805993862794096,0,1858.5003999999992,1489.9036999999998,7,0,100.0,32,0,0,1897.702,49,8537.462419079438,14106.225778486742,0.0,7,19,0,1.5,0,0.0,32,32,8537.462419079438,49,7680.0,0,0,170.70510000000002,64.0,227.52640000000002,4,0.0,0.0,0.2631875,1280.0,99.85677083333333,0.33745147272356957,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,6,6,1601.9937,768,720.0,720.0,0.0,2396.3228336758198,1388.9126992352071,1007.4101344406126,0.0,0.0,1601.6494,1945.2477999999999,0.4165974982365279,118,11405.14492510481,10,2701.0808533819286,4,0.0,4,149.51229999999998,2,337.1588,-591.8002,38.21803535939457,0,0,139,139,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
7,128,4,4,9913.9845,0.0,4670.486500000002,99.86689999999999,748.3242,,748.3242,0.0,0.0,0.0,0.0,0.0,0.0025,62.7012,435.39535714285716,0.0,1.0,156.524,221.61897142857146,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.42711928111393,3.628344584598725,27.055463865712657,6.064775928909933,1.7664294394948534,7.831205368404786,759.9852000000004,784.4380000000015,759.9852000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-33.083750000000045,0.0,48,640.0,127.66640000000002,99.8669,63.455900000000014,0.0,0.0,0.0,0.0,0.0,15,49.414899999999996,640.0,127.66640000000002,63.455900000000014,82.0,0.0,0.0,0.015,5.4687330909090885,5.37670434782609,1.6547474999999996,NaN,3.1401266945421495,7.8842107450546735,276.0,275.0,138.0,510.66666666666663,393.0,51.0,29,0,0,1,15,7.0,512.0,6034.7476000000015,665.9121,2945.0033000000003,49,143,0,10,0.19436090857594435,0.3819793058596872,0.251663139787347,1,1825.850199999999,1503.9015999999992,9,0,80.0,32,0,0,2148.3849000000005,49,8704.542932566197,14636.79779873895,0.0,8,6,0,1.5,0,0.0,32,32,8704.542932566197,49,7680.0,0,0,132.37979999999996,64.0,156.2054,4,0.0,0.0,0.2631875,1280.0,99.85677083333333,0.34021666129741907,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,6,6,1918.7758000000001,768,720.0,720.0,0.0,2082.3034580762856,1043.8887501526806,1038.414707923605,0.0,0.0,1846.4271000000003,1848.3450000000003,0.4096579518847312,118,11901.73544175401,10,2735.062356984941,4,0.0,4,148.89480000000003,2,392.61760000000004,-685.623,38.098362799495476,0,0,138,138,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
8,128,4,4,10414.128899999994,0.0,4505.0591,90.69669999999999,839.0208,,839.0208,0.0,0.0,0.0,0.0,0.0,0.0025,68.6873,438.49511249999995,0.0,1.0,153.39780000000002,218.96879583333327,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.55873101428115,3.4132512293385955,27.971982243619745,7.442449385293256,1.290419110787977,8.732868496081233,763.687899999999,759.9852000000006,763.687899999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.25667500000005,0.0,48,640.0,139.85560000000004,90.6967,69.51470000000003,0.0,0.0,0.0,0.0,0.0,17,111.3263,640.0,139.85560000000004,69.51470000000003,82.0,0.0,0.0,0.015,5.402412142857143,5.326342142857135,1.5974952755905507,NaN,3.0740767335012493,7.6476844227030325,280.0,280.0,140.0,510.6666666666667,397.00000000000006,51.0,27,0,0,0,24,6.0,512.0,6168.589200000003,711.6646,3190.0648,49,143,0,10,0.23248642265519948,0.3829222306306055,0.24121744171090054,3,1807.5009000000002,1512.6754,13,0,127.0,32,0,0,2315.9577000000004,49,8820.014907586688,14951.033140193867,0.0,12,18,0,1.5,0,0.0,32,32,8820.014907586688,49,7680.0,0,0,202.88189999999994,64.0,163.7967,4,1.4971999999999999,1.4967999999999955,0.2631875,1280.0,99.85677083333333,0.3730352861933594,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,0.0,6,6,2095.9604000000004,768,720.0,720.0,0.0,1753.8224571489066,813.7138785744532,940.1085785744531,0.5637,0.9335,1992.4601000000005,1969.5657,0.4102005337298815,118,12174.724569246324,10,2776.308570947544,4,0.0,4,148.2772,2,446.6095,-770.3335,38.15737884457746,0,0,140,140,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
9,128,4,4,10903.109200000008,0.0,4370.007504782336,82.8503,921.8711,,921.8711,0.0,0.0,0.0,0.0,0.0,0.0025,74.1855,440.28596666666664,0.0,1.0,151.5376,215.59631111111108,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.0406227401071,3.159221530749122,28.19984427085622,8.627176926188069,0.9551395850333481,9.582316511221418,775.0485000000007,762.1878999999996,776.5485000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-45.02807500000005,0.0,50,640.0,151.01970000000003,84.73530000000001,75.06840000000001,0.0,0.0,0.0,0.0,0.0,19,143.6794,640.0,151.01970000000003,75.06840000000001,82.0,0.0,0.385,0.015,5.318640860215059,5.257281250000005,1.5692870967741912,NaN,3.0921816311287196,7.418253890021941,288.0,279.0,144.0,512.0,405.0,51.0,26,0,0,0,20,4.0,512.0,6378.997800000001,755.2013,3383.3149000000003,48,144,0,10,0.25936201162547823,0.3858017178426023,0.24294316706617702,7,1833.5628000000006,1483.9008000000015,8,0,124.0,32,0,0,2475.857400000001,48,8846.691045416352,15042.278178662371,0.0,17,15,0,1.5,0,0.0,32,32,8846.691045416352,48,7680.0,0,0,194.59159999999972,64.0,167.7303,4,9.7046,9.7044,0.2631875,1280.0,99.85677083333333,0.43608430202417797,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0,6,6,1982.6098000000002,768,720.0,720.0,0.0,1601.3514523175536,956.0460148054824,645.3054375120712,0.0,9.7046,2140.5739000000003,2323.6367,0.4126041706989574,118,12257.111815864891,10,2785.1663627974744,4,0.0,4,147.65969999999993,2,471.0431,-847.6855999999999,38.20680478233362,0,0,144,144,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
10,128,4,4,11380.945799999998,0.0,4274.073598010409,85.55810000000001,996.8734,,996.8734,0.0,0.0,0.0,0.0,0.0,0.0025,79.7104,441.01371,0.0,1.0,149.18779999999995,211.49728666666664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.801391405957546,2.972902099230567,28.774293505188112,10.097469785249581,0.6110077470241835,10.708477532273763,772.2330999999996,776.5485000000015,772.2330999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-50.395675000000075,0.0,51,640.0,162.16340000000005,85.94310000000002,80.62470000000008,0.0,0.0,0.0,0.0,0.0,22,158.87619999999998,640.0,162.16340000000005,80.62470000000008,82.0,0.0,0.0,0.015,5.211570070422538,5.165980136986298,1.5380083333333332,NaN,3.0793684012934746,7.195706273321282,292.0,284.0,146.0,512.0,409.0,51.0,25,0,0,1,22,10.0,512.0,6687.965299999995,808.8602,3466.5571,46,146,0,9,0.2916876745897219,0.384502272119178,0.24570080843572573,8,1833.7163000000016,1480.0859000000007,14,2,132.0,32,0,0,2705.755999999999,46,8915.458284343493,15365.45118062453,0.0,11,17,0,1.5,0,0.0,32,32,8915.458284343493,46,7680.0,0,0,203.01709999999997,64.0,178.97660000000002,4,21.1352,21.13759999999996,0.2631875,1280.0,99.85677083333333,0.45734674848629125,0,0,0.0,0,0.0,1278.1666666666667,4,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,6,6,2098.9885000000004,768,720.0,720.0,0.0,1588.3990307019724,953.3158420873287,635.0831886146435,8.4071,12.7281,2357.9766999999997,2355.4053999999996,0.4053496173485558,119,12831.536004858777,9,2533.91517576575,4,0.0,4,228.6879,2,482.2328,-917.1629999999999,38.248199005204405,0,0,146,146,SB1 best SuMSy + greedy quarter,sumsy,9,2.1827872842550278e-11
