round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,5975.192799999998,0.0,6005.724399999999,0.0,949.0739999999994,,0.0,0.0,949.0739999999994,0.0,949.0739999999994,0.0,0.00375,0.0,2925.0009,0.0,1.0,975.0003,1924.0743000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,16,0,6.725553846153846,-0.3303475600961535,6.395206286057693,3.0479846153846153,1.0409538461538461,4.088938461538461,297.95600000000076,0.0,297.95600000000076,0.0,0,0,0.0,0.0,11.44,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,1.176,132.3032,1.176,25.926299999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,NaN,5.199999999999997,NaN,0.75,3.73124324324325,3.9200000000000013,80.0,0.0,40.0,512.0,185.0,51.0,81,0,0,0,0,0.0,512.0,3841.176,520.5248,1042.9548,160,32,0,32,0.1990268348970472,0.31757860698973417,0.06609737275601457,1,1395.1739999999995,0.0,0,0,0.0,128,0,0,3841.176,160,4127.908200000004,4127.908200000004,0.0,0,0,0,1.5,0,0.0,128,128,4127.908200000004,160,7680.0,0,0,0.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.22855023437500002,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1067.0084,768,720.0,720.0,0.0,132.30320000000017,66.15160000000009,66.15160000000009,0.0,0.0,479.74,1067.0084,0.3462636697378747,96,2127.328650000002,32,2000.579550000001,4,53.620000000000005,4,346.72,2,29.355600000000255,0.0,11.25,0,0,40,40,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
2,128,4,4,5857.196800000003,0.0,5903.894,0.0,1549.3743000000006,,0.0,0.0,1549.3743000000006,0.0,600.3003000000002,3.5584750000000014,0.00375,0.0,2529.703050000001,0.0,1.0,711.4684000000008,1616.141950000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11,0,7.41089823918771,-0.06940099773672936,7.341497241450981,3.106567701304543,1.2249084249084248,4.3314761262129675,757.9422000000056,297.956000000001,757.9422000000056,0.0,0,0,0.0,0.0,79.35690000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.697199999999995,60.557400000000015,0.0,0,13.860200000000003,131.8562,0.0,114.72719999999951,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,553.4640000000003,0.0,0.003580126744060711,4.894000000000005,5.393786138613861,1.8500000000000003,1.1345608695652172,3.496147142857133,6.834895833333333,202.0,256.0,101.0,512.0,280.0,51.0,57,0,0,0,0,0.0,512.0,3628.5594000000024,280.35940000000005,1708.1095,160,32,0,32,0.16874214038979218,0.30541809156924415,0.09002184069966179,0,1458.750200000002,1252.8640000000012,0,0,3.0,128,0,0,3628.5594000000024,160,4497.946399999999,4497.946399999999,0.0,0,3,0,1.5,0,0.0,128,128,4497.946399999999,160,7680.0,0,0,5.550000000000001,25.0,240.16849999999997,4,0.0,0.0,NaN,1280.0,100.0,-0.22495678385416665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,57,0.0,6,6,1184.9171000000001,768,720.0,720.0,0.0,2115.1892486486518,1012.7118189189206,1102.4774297297313,0.0,0.0,572.7348000000001,1043.7203,0.349510223568521,96,2353.045524999999,32,2144.900875,4,53.61999999999989,4,346.72,2,45.580000000000524,0.0,11.25,0,0,101,101,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
3,128,4,4,6045.650299999998,0.0,6103.037700000002,0.0,1939.6927000000017,,0.0,7.6948,1931.9979000000017,0.0,382.62359999999984,5.8088740000000065,0.00375,0.0,2311.1864000000014,0.0,1.0,624.7177000000004,1413.8365666666677,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,10.784081354139179,0.13826294198077813,10.922344296119958,2.547610103423341,1.319924711577755,3.867534815001096,923.9110000000068,757.9422000000035,923.9110000000068,0.0,0,0,0.0,0.0,64.2349,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.38739999999999,90.07420000000003,0.0,0,319.80069999999995,131.3472,300.97409999999996,240.2096,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,463.2160000000002,0.0,0.008647603074984703,4.820299999999986,5.476587499999994,1.7836,1.3375177083333334,3.446383540372694,6.629848958333331,256.0,256.0,128.0,512.0,322.0,51.0,47,0,0,0,0,0.0,512.0,3582.7151,505.4053,1859.9981000000002,160,32,0,32,0.11581068847582943,0.3727184644314758,0.09937571574539894,0,1515.6402000000005,1233.9967999999965,0,0,2.0,128,0,0,3582.7151,160,5807.437895652178,5807.437895652178,0.0,0,2,0,1.5,0,0.0,128,128,5807.437895652178,160,7680.0,0,0,3.5672,13.0,97.53179999999999,4,0.0,0.0,NaN,1280.0,100.0,-0.20915346240942032,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,6,6,1296.8555000000001,768,720.0,720.0,0.0,2865.340795426472,1372.5267184275224,1492.814076998951,0.0,0.0,688.6882,1166.0797000000002,0.3912088700873675,96,2563.644781521739,32,3243.793114130435,4,53.620000000000005,4,346.72,2,56.329000000000526,-7.6948,17.018413043478258,0,0,128,128,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
4,128,4,4,6230.705500000001,0.0,6295.0185,0.0,2335.6920000000027,,0.0,233.3804,2102.3116000000027,0.0,170.31370000000004,7.2432370000000095,0.00375,0.0,2212.767975000001,0.0,1.0,639.1709000000003,1317.349075000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,13.178526756433964,0.26924386301862097,13.447770619452585,2.5087482585667416,1.3236783858010792,3.8324266443678208,927.5460000000006,923.9110000000024,927.5460000000006,0.0,0,0,0.0,0.0,83.96350000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,64.313,121.64140000000002,0.0,0,333.5015000000001,148.4463,308.8599,250.45519999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,480.10060000000016,0.0,0.009782535181170952,5.4567953125,5.434987500000006,NaN,1.4359416666666664,3.2967878594249247,8.235797452440478,256.0,256.0,128.0,512.0,313.0,51.0,49,0,0,0,0,0.0,512.0,3532.522600000001,644.6043,2050.6711,160,32,0,32,0.1146606606281868,0.40170609866232976,0.10050792407917264,0,1474.3945000000015,1396.9396,0,0,0.0,128,0,0,3532.522600000001,160,6559.939349999996,6559.939349999996,0.0,0,0,0,1.5,0,0.0,128,128,6559.939349999996,160,7680.0,0,0,0.0,4.0,2.9075,4,0.0,0.0,NaN,1280.0,100.0,-0.18538376953125,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,6,6,1411.8872000000001,768,720.0,720.0,0.0,2606.612661490699,1240.5105807453494,1366.1020807453492,0.0,0.0,747.2308999999999,1286.2957000000001,0.41347964409791493,96,2669.1824875000007,32,3890.7568624999985,4,53.620000000000005,4,346.72,2,63.313399999999646,-233.3804,20.062765625,0,0,128,128,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
5,128,4,4,6425.208200000002,0.0,6484.990199999999,0.0,2787.7069000000033,,0.0,501.4204,2286.2865000000033,0.0,183.97490000000008,7.881139875000009,0.00375,0.0,2193.8824237500003,0.0,1.0,706.1134062499996,1283.6947225000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,13.039019164024428,0.2379988644187182,13.277018028443145,2.052877215967732,1.1433147585897496,3.1961919745574816,950.7814999999972,927.5460000000013,950.7814999999972,0.0,0,0,0.0,0.0,85.8905,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.782000000000004,145.64530000000008,0.0,0,319.3035,124.80079999999998,290.7686,263.1494999999998,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,526.0391999999996,0.0,0.010773798835438518,5.63756328125,5.559862500000003,NaN,1.5919593749999998,3.4417595696885037,7.988723528867262,256.0,256.0,128.0,512.0,313.0,51.0,49,0,0,0,0,0.0,512.0,3481.4801,669.3239,2272.1991000000003,160,32,0,32,0.1111417918829265,0.42250191194686804,0.10064443520234634,2,1571.6278999999972,1443.2162,0,0,0.0,128,0,0,3481.4801,160,6968.6658000000025,6968.6658000000025,0.0,0,0,0,1.5,0,0.0,128,128,6968.6658000000025,160,7680.0,0,0,0.0,4.0,2.2051000000000003,4,0.0,0.0,NaN,1280.0,100.0,-0.14225595052083337,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,6,6,1389.0661,768,720.0,720.0,0.0,2266.2032303514434,1215.8995651757218,1050.303665175722,0.0,0.0,724.6861,1554.6620000000003,0.4297839178678453,96,2694.8320749999984,32,4273.833725,4,53.620000000000005,4,346.72,2,58.8411999999997,-501.4204,21.539125,0,0,128,128,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
6,128,4,4,6672.0161999999955,0.0,6728.569,0.0,3263.4304000000043,,0.0,831.8547,2431.5757000000044,0.0,145.2892,8.570813875000008,0.00375,0.0,2195.1455203125,0.0,1.0,733.8203343749994,1269.4895968750002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,14.438729213053671,0.32385903895650675,14.762588252010177,2.1457422451541,1.0786295433554798,3.2243717885095795,961.6813000000002,948.7330999999974,963.7297000000002,0.0,0,0,0.0,0.0,84.38309999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,56.552800000000005,170.4776000000001,0.0,8,386.4423,139.63430000000002,369.74670000000003,269.176700000001,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,547.7803999999999,9.3173,0.010364981504283072,5.6642062499999986,5.614212499999996,NaN,1.7624291666666663,3.5230220072883367,7.749061823001244,256.0,256.0,128.0,512.0,313.0,51.0,49,0,0,0,0,0.0,512.0,3512.8178000000007,687.5997,2469.3936,160,32,0,32,0.11649951642809353,0.43582917410130406,0.0948949466433111,4,1619.5766999999998,1450.0367999999996,0,0,0.0,128,0,0,3512.8178000000007,160,7714.818149999996,7714.818149999996,0.0,0,0,0,1.5,0,0.0,128,128,7714.818149999996,160,7680.0,0,0,0.0,4.0,2.2051000000000003,4,0.0,0.0,NaN,1280.0,100.0,-0.11854858723958334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,6,6,1504.4633,768,720.0,720.0,0.0,2271.673664357034,1210.972732178517,1060.7009321785167,0.0,0.0,761.7374000000001,1654.7351000000003,0.44093137366999713,96,2860.8836125000003,32,4853.9345375,4,53.620000000000005,4,346.72,2,55.67079999999993,-831.8547,23.879390625,0,0,128,128,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
7,128,4,4,6834.323499999999,0.0,6889.0679,0.0,3737.771800000005,,0.0,1077.1222,2660.6496000000047,0.0,229.0739,9.115151625000006,0.00375,0.0,2196.2494821428572,0.0,1.0,734.291084375,1258.8989785714284,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.296509992022273,0.5913625406981715,16.887872532720444,1.7898047192266489,1.1521296562956196,2.9419343755222687,971.1633,959.6480999999986,975.2449,0.0,0,0,0.0,0.0,81.9778,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,54.74439999999999,196.46800000000016,0.0,23,321.01860000000005,158.7113,323.20759999999996,273.22690000000006,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,547.3717999999997,18.9202,0.009781212463212362,5.631890624999997,5.683843749999996,NaN,1.9400479166666662,3.533861361821083,7.516589968311206,256.0,256.0,128.0,512.0,313.0,51.0,49,0,0,0,0,0.0,512.0,3487.9377000000018,696.0976999999999,2648.0830000000005,160,32,0,32,0.10327984539581991,0.4410542117703664,0.10470400180295303,2,1636.2606000000021,1441.7639999999992,0,0,0.0,128,0,0,3487.9377000000018,160,8642.4729,8642.4729,0.0,0,0,0,1.5,0,0.0,128,128,8642.4729,160,7680.0,0,0,0.0,4.0,2.2051000000000003,4,0.0,0.0,NaN,1280.0,100.0,-0.11341977864583334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,6,6,1737.7293999999997,768,720.0,720.0,0.0,2234.201765684901,1052.5643828424506,1181.6373828424507,0.0,0.0,722.9576999999999,1608.6564000000003,0.44565416990057916,96,3128.7866,32,5513.686299999998,4,53.620000000000005,4,346.72,2,53.92120000000004,-1077.1222,26.436437499999993,0,0,128,128,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
8,128,4,4,11361.542500000003,2.2051000000000003,9646.040399999996,0.0,8539.851300000006,,0.0,5698.6669,2841.1844000000056,0.0,180.5348,9.973360750000003,0.00375,0.0,2196.8157984375,0.0,1.0,733.5933374999994,1250.7471031249997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.445756213595615,1.3278008424722454,19.77355705606786,1.989299176884386,1.1740639938297812,3.163363170714167,968.8653999999988,969.0796999999999,966.7561999999988,0.0,4,0,8.274400000000002,4326.6259,76.18530000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,58.379000000000005,223.20650000000012,1802.7880000000005,35,4703.5446,174.12050000000002,4904.264,273.50269999999995,0.0,0.0,0.0,0.0,0.0,0,4322.488,0.0,0.0,0.0,0.0,547.7403999999998,9.7477,0.009842174407105568,5.547188281249998,5.6952062499999965,NaN,2.048582291666667,3.5388446984824267,3.167292751542029,256.0,256.0,128.0,512.0,313.0,51.0,49,0,0,0,0,0.0,512.0,3540.7900999999983,701.5348,2796.7296,160,32,0,32,0.10728452576693237,0.41495042066363474,0.10634451156876445,0,1646.6668000000009,1420.0801999999994,0,0,0.0,128,0,0,3540.7900999999983,160,10342.214999999998,10342.214999999998,0.0,0,0,0,1.5,0,0.0,128,128,10342.214999999998,160,5120.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.03720999999999994,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,4,4,1803.2438,512,480.0,480.0,0.0,2143.31552587859,1017.5461629392951,1125.7693629392952,0.0,0.0,544.9629,1695.0205999999998,0.5160815679306603,96,3947.619775000001,32,6394.595225000001,4,53.620000000000005,4,346.72,2,2604.0163999999995,-5698.6669,29.10071874999999,0,4,128,128,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
9,128,4,4,11509.67520000001,2.2051000000000003,9843.509600000001,0.0,9051.115100000006,,0.0,5985.6497,3065.4654000000055,0.0,224.28099999999998,10.649924499999996,0.00375,0.0,2199.9549447916665,0.0,1.0,741.6893718749993,1246.6424631944442,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.45274168859782,1.5025067679546988,21.955248456552518,2.02848365671395,1.2347114566541333,3.2631951133680834,989.2267999999987,966.7561999999996,989.2267999999987,0.0,4,0,8.274400000000002,4326.6259,75.2213,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,107.71549999999998,272.5430000000001,1802.7880000000005,35,578.8733,430.74060000000003,578.8733,269.5734,0.0,0.0,0.0,0.0,0.0,0,4293.4587,0.0,0.0,0.0,0.0,558.6324999999999,0.0,0.00417057222480675,5.532956249999997,5.874187499999998,NaN,2.1477291666666667,3.516415576961977,3.072273968995767,256.0,256.0,128.0,512.0,309.0,51.0,50,0,0,0,0,0.0,512.0,3566.195599999999,702.8308,2947.1901,160,32,0,32,0.10611304961090728,0.4237144900816645,0.11714607820001954,0,1659.6786000000002,1416.4367999999993,0,0,0.0,128,0,0,3566.195599999999,160,11007.216950000007,11007.216950000007,0.0,0,0,0,1.5,0,0.0,128,128,11007.216950000007,160,5120.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.064255869140625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,4,4,1887.1289,512,480.0,480.0,0.0,2041.4266284345026,958.5948642172513,1082.8317642172515,0.0,0.0,542.9277,1762.8919999999998,0.5183542026934913,96,4098.903737499999,32,6908.313212500002,4,53.620000000000005,4,346.72,2,2624.3823999999995,-5985.6497,30.728734375000005,0,4,128,128,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
10,128,4,4,11617.678299999998,4.410200000000001,10003.9695,0.0,9559.593500000006,,0.0,6235.6232,3323.970300000006,0.0,258.5049,11.490368874999996,0.00375,0.0,2201.7435876562495,0.0,1.0,739.2804578124991,1242.6117484374995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.3066364838869,1.5794193353566996,23.8860558192436,2.087087781439694,1.2050075122415524,3.2920952936812466,1017.6122999999999,989.2267999999998,1017.6122999999999,0.0,4,0,8.274400000000002,4326.6259,74.5431,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,157.9672,322.79470000000015,1802.7880000000005,35,570.8077,460.5995,570.8077,272.22560000000016,0.0,0.0,0.0,0.0,0.0,0,4243.355,0.0,0.0,0.0,0.0,556.6925999999999,0.0,0.012357405987985674,5.529403906249998,6.097418750000003,NaN,2.246817708333333,3.56288270631068,2.9801057499258943,256.0,256.0,128.0,512.0,309.0,51.0,50,0,0,0,0,0.0,512.0,3575.2764000000006,719.1418,3079.9051000000004,160,32,0,32,0.10630082290630738,0.43269471262824477,0.12883382828278211,2,1675.8234999999995,1415.5273999999995,0,0,0.0,128,0,0,3575.2764000000006,160,11658.989399999995,11658.989399999995,0.0,0,0,0,1.5,0,0.0,128,128,11658.989399999995,160,5120.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.09156779296875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,4,4,1964.6683,512,480.0,480.0,0.0,1981.976263106798,925.8432815533988,1056.1329815533988,0.0,0.0,537.9224,1834.3786,0.5207823531440756,96,4239.890375000002,32,7419.099025000001,4,53.62,4,346.72,2,2624.5892000000013,-6235.6232,32.2159375,0,4,128,128,SB2 best SuMSy + everyone greedy,debt,5,1.0913936421275139e-11
