round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6680.579500000004,0.0,489.65,189.65,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,32.4425,420.75,0.0,1.0,140.25,236.95503333333326,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.69366603365384,1.7715741346153842,27.465240168269226,4.496221538461538,0.514096923076923,5.010318461538461,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,65.74049999999991,189.65,32.73080000000007,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,65.74049999999991,32.73080000000007,82.0,0.0,0.0,0.0,NaN,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,0.0,40.0,512.0,185.0,51.0,81,0,0,0,0,0.0,512.0,4410.1275,0.0,1343.7278,156,36,0,32,0.186526489844965,0.44487699489727706,0.6628050769972926,12,1289.2223999999999,0.0,0,0,98.0,128,0,0,4410.1275,156,12407.269099999996,12407.269099999996,0.0,0,98,0,1.5,0,0.0,128,128,12407.269099999996,156,7680.0,0,25,196.0,52.0,839.8065,4,60.571,60.56359999999977,0.226640625,1280.0,99.67447916666667,0.21186102864583334,25,0,0.0,0,5.666015624999999,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1056.7415999999998,768,720.0,720.0,0.0,564.9864000000001,284.78640000000007,280.20000000000005,26.273,34.298,1058.0453999999997,1126.7927,0.48395488173681556,96,4395.312915624998,32,8011.956184375,4,0.0,4,0.0,2,54.4752,-107.8075,37.5,0,0,40,40,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
2,128,4,4,7244.548699999995,0.0,3457.8247000000015,473.14470000000006,235.7155,,235.7155,0.0,0.0,0.0,0.0,0.0,0.0025,37.3278,402.23699999999997,0.0,1.0,127.90799999999997,220.4574499999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.392048619897093,2.616863725381662,30.008912345278755,3.905080128205127,1.2696533400809717,5.174733468286099,568.4567000000002,225.99999999999983,568.4567000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.494,0.0,48,640.0,76.03079999999997,473.1447000000001,37.785100000000014,0.0,0.0,0.0,0.0,0.0,2,17.971100000000003,640.0,76.03079999999997,37.785100000000014,82.0,0.0,0.0,0.015,4.779999999999983,5.344239805825245,1.9689655172413796,NaN,3.4691410526315707,10.026739087301587,206.0,275.0,103.0,512.0,285.0,51.0,56,0,0,0,14,0.0,512.0,4604.193799999997,185.2932,2014.502,89,103,0,18,0.147715464322983,0.42897054832595316,0.4806892799036555,2,1606.8023000000017,1314.4999999999955,0,0,29.0,128,0,0,4604.193799999997,89,12639.636699999992,12639.636699999992,0.0,19,29,0,1.5,0,0.0,128,128,12639.636699999992,89,7680.0,0,0,57.10000000000001,26.0,385.2608,4,14.5601,14.556000000000008,0.226640625,1280.0,99.67447916666667,0.21029998697916666,0,0,0.0,0,0.0,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0.0,6,6,1294.0599,768,720.0,720.0,0.0,1878.288294594595,938.6025000000002,939.6857945945949,3.8057,10.7544,1142.3075999999999,1290.9961,0.45796191961722066,110,8259.623120312504,18,4380.013579687499,4,0.0,4,0.0,2,113.4366,-198.3877,37.5,0,0,103,103,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
3,128,4,4,7799.121600000002,0.0,5092.401199999997,402.1177,332.4667,,332.4667,0.0,0.0,0.0,0.0,0.0,0.0025,41.89,402.23699999999997,0.0,1.0,134.079,216.54306666666662,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.26899005773263,3.011417948634142,29.280408006366773,3.935197135500496,1.7261932732539487,5.661390408754444,769.1762000000009,568.4567,769.1762000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.739524999999998,0.0,48,640.0,85.42710000000001,402.1177,42.438900000000025,0.0,0.0,0.0,0.0,0.0,4,19.5198,640.0,85.42710000000001,42.438900000000025,82.0,0.0,0.0,0.015,4.77220000000001,5.365544285714292,1.849999999999999,NaN,3.353094195250676,9.72593691468254,280.0,286.0,140.0,512.0,379.0,51.0,33,0,0,0,27,0.0,512.0,4843.335199999997,381.1073,2261.5224,52,140,0,11,0.15452147391120086,0.4236476019191586,0.2939112278654217,3,1886.0247999999995,1364.849200000003,0,0,48.0,128,0,0,4843.335199999997,52,13102.390699999996,13102.390699999996,0.0,30,48,0,1.5,0,0.0,128,128,13102.390699999996,52,7680.0,0,0,88.79999999999995,46.0,251.74689999999998,4,0.0,0.0,0.226640625,1280.0,99.67447916666667,0.2239738020833333,0,0,0.0,0,0.0,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,6,6,1440.1160999999997,768,720.0,720.0,0.0,3059.5990679202796,1547.2791571180342,1512.319910802245,0.0,0.0,1302.6409,1454.2604999999999,0.45303610957562657,117,10314.37121953125,11,2788.0194804687494,4,0.0,4,0.0,2,183.9061,-290.5767,37.68749999999999,0,0,140,140,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
4,128,4,4,8343.3751,0.0,5411.566257692307,188.0988,424.43639999999994,,424.43639999999994,0.0,0.0,0.0,0.0,0.0,0.0025,47.016,402.0725249999999,0.0,1.0,133.8597,212.24082499999992,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.46909110858457,3.3821913173058724,29.851282425890442,4.291443552884808,1.945328392323485,6.236771945208293,815.8541000000001,769.1762000000009,815.8541000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.825925000000009,0.0,48,640.0,95.74650000000001,188.0988,47.587299999999985,0.0,0.0,0.0,0.0,0.0,9,48.2307,640.0,95.74650000000001,47.587299999999985,82.0,0.0,0.0,0.015,4.6914716845878175,5.319027333333334,1.7989999999999997,NaN,3.2113017705735594,9.434158807242062,300.0,279.0,150.0,512.0,401.0,51.0,27,0,0,1,19,0.0,512.0,5356.5886,496.5097,2226.1954,42,150,0,9,0.14438438720121227,0.4050560641691874,0.2536069831181813,0,1893.1701,1308.920600000001,0,0,35.0,128,0,0,5356.5886,42,13703.554103846163,13703.554103846163,0.0,24,35,0,1.5,0,0.0,128,128,13703.554103846163,42,7680.0,0,0,62.96499999999999,48.0,168.8347,4,0.0,0.0,0.226640625,1280.0,99.67447916666667,0.22475575570913478,0,0,0.0,0,0.0,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,0.0,6,6,1514.919,768,720.0,720.0,0.0,3363.8179203362142,1651.2432745429078,1712.5746457933064,0.0,0.0,1452.3148999999996,1376.6207999999997,0.43576215884996117,119,11355.291088191107,9,2348.263015655048,4,0.0,4,0.0,2,254.7743,-377.4203999999999,37.80360576923077,0,0,150,150,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
5,128,4,4,8878.091899999998,0.0,5225.4671999999955,84.57939999999999,509.0156999999999,,509.0156999999999,0.0,0.0,0.0,0.0,0.0,0.0025,51.7274,400.61519999999996,0.0,1.0,131.5953,207.2586733333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.431665408713922,3.943856246809671,30.375521655523595,4.9308498191915895,2.464987536589013,7.395837355780603,774.0752,813.5994,776.3299,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-19.50725000000001,0.0,51,640.0,105.28320000000006,92.3609,52.336200000000005,0.0,0.0,0.0,0.0,0.0,12,30.1805,640.0,105.28320000000006,52.336200000000005,82.0,0.0,5.5268,0.015,5.294095000000002,5.214311724137931,1.7093571428571408,NaN,3.1001751369844914,9.151134043024802,290.0,280.0,145.0,510.6666666666667,407.0,51.0,25,0,0,0,20,0.0,512.0,5784.369600000004,564.9884,2357.3175,42,150,0,9,0.15281230311164729,0.39052401505623746,0.24672917218908075,0,1854.2910999999997,1482.3466000000005,0,0,56.0,128,0,0,5784.369600000004,42,13932.157036451046,13932.157036451046,0.0,24,56,0,1.5,0,0.0,128,128,13932.157036451046,42,7680.0,0,0,95.72399999999989,64.0,89.5085,4,0.0,0.0,0.226640625,1280.0,99.67447916666667,0.2732219020318877,0,0,0.0,0,0.0,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,6,6,1404.5850999999998,768,720.0,720.0,0.0,3042.271052189156,1641.2076795850571,1401.0633726040983,0.0,0.0,1659.8387,1607.2293000000002,0.42261796221628867,119,11579.462644972406,9,2352.694391478639,4,0.0,4,0.0,2,315.57730000000004,-457.28829999999994,37.92023929195805,0,0,145,145,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
6,128,4,4,9403.2658,0.0,5240.779960739826,96.7719,605.7875999999999,,605.7875999999999,0.0,0.0,0.0,0.0,0.0,0.0025,56.4299,408.09565,0.0,1.0,148.4993,208.25984999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.046936101902574,4.068810065912768,27.115746167815345,4.557354794496361,2.6338190874055822,7.1911738819019435,844.8398000000012,771.8299000000003,849.3398000000012,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-26.773750000000007,0.0,57,640.0,114.8261,167.54440000000002,57.0854,0.0,0.0,0.0,0.0,0.0,14,60.7985,640.0,114.8261,57.0854,82.0,0.0,60.7457,0.015,5.398043262411348,5.334450322580653,1.6750260869565203,NaN,3.0725490977751853,8.876600021734058,310.0,282.0,155.0,512.0,427.0,51.0,21,0,0,0,19,0.0,512.0,6126.600899999996,560.4561,2558.0009,37,155,0,9,0.15429766245362142,0.37753136164837975,0.21234632165601286,0,1848.9855999999995,1522.2482000000002,0,0,46.0,128,0,0,6126.600899999996,37,14219.27439345995,14219.27439345995,0.0,26,46,0,1.5,0,0.0,128,128,14219.27439345995,37,7680.0,0,0,77.05119999999994,64.0,40.9795,4,0.0,0.0,0.226640625,1280.0,99.67447916666667,0.30899038788404426,0,0,0.0,0,0.0,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21,0.0,6,6,1404.8316999999997,768,720.0,720.0,0.0,3095.5625943968184,1740.9251551600087,1354.6374392368098,0.0,0.0,1832.6594999999995,1754.6048,0.41095649992324224,119,11857.155783173446,9,2362.1186102865004,4,0.0,4,0.0,2,380.9786,-549.3576999999999,37.843832147965685,0,0,155,155,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
7,128,4,4,9917.686200000006,0.0,5055.6258000000025,94.9853,700.7728999999998,,700.7728999999998,0.0,0.0,0.0,0.0,0.0,0.0025,61.6946,414.6884999999999,0.0,1.0,151.41519999999997,208.40997619047613,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.65138519148612,4.4173557510818755,27.068740942567995,5.183998125525531,2.545178678180379,7.7291768037059105,727.1930999999997,843.339799999999,733.1930999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-33.62555000000003,0.0,65,640.0,125.57960000000001,212.70569999999998,62.42540000000001,0.0,0.0,0.0,0.0,0.0,16,56.0163,640.0,125.57960000000001,62.42540000000001,82.0,0.0,111.72040000000005,0.015,5.3506102739726,5.372674999999998,1.6509999999999996,NaN,3.0775517414977633,8.610302021082035,264.0,292.0,132.0,512.0,381.0,51.0,32,0,0,0,28,0.0,512.0,6293.236100000001,690.0242,2798.5575,37,155,0,9,0.16883884978211006,0.36278622793838755,0.3095709096317083,0,1710.1824999999994,1562.3781999999992,0,0,63.0,128,0,0,6293.236100000001,37,14746.559779376768,14746.559779376768,0.0,36,63,0,1.5,0,0.0,128,128,14746.559779376768,37,7680.0,0,0,104.01299999999998,64.0,18.1575,4,0.0,0.0,0.226640625,1280.0,99.67447916666667,0.3140421907971142,0,0,0.0,0,0.0,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,6,6,1847.1802000000002,768,720.0,720.0,0.0,1928.3194722715389,870.3491361357694,1057.9703361357695,0.0,0.0,1981.3332,1659.559,0.39748974393769276,119,12333.507333293148,9,2413.052446083619,4,0.0,4,0.0,2,431.68100000000004,-639.0782999999998,37.78131721197192,0,0,132,132,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
8,128,4,4,10421.078299999997,0.0,4863.875999999998,88.3895,789.1623999999998,,789.1623999999998,0.0,0.0,0.0,0.0,0.0,0.0025,67.1244,419.13397499999996,0.0,1.0,150.08409999999998,207.01037499999995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.999319549847623,4.4970576530844175,27.49637720293204,5.936236585206602,2.332451406944383,8.268687992150985,799.9625000000002,725.6930999999996,807.4625000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-40.06385000000002,0.0,77,640.0,136.6079,376.3637,67.9107,0.0,0.0,0.0,0.0,0.0,18,112.9264,640.0,136.6079,67.9107,82.0,0.0,216.45530000000002,0.015,5.295764642857144,5.319472789115648,1.645200000000001,NaN,3.0126744968003196,8.351992960449573,294.0,280.0,147.0,512.0,411.0,51.0,25,0,0,0,21,0.0,512.0,6522.017199999999,668.269,3032.2248,37,155,0,9,0.1856050980956474,0.35563949972530695,0.28426796786127717,0,1716.6611000000005,1482.8141000000003,0,0,43.0,128,0,0,6522.017199999999,37,15090.718992217362,15090.718992217362,0.0,24,43,0,1.5,0,0.0,128,128,15090.718992217362,37,7680.0,0,0,70.74360000000004,64.0,18.5165,4,0.0,0.0,0.226640625,1280.0,99.67447916666667,0.3408437089002904,0,0,0.0,0,0.0,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,6,6,1988.3344000000002,768,720.0,720.0,0.0,2288.4100326673547,1033.7993391170098,1254.6106935503449,0.0,0.0,2116.4952000000003,1730.6759,0.3912117313415746,119,12644.20918597564,9,2446.509806241711,4,0.0,4,0.0,2,482.86490000000003,-722.0379999999998,37.730168627977015,0,0,147,147,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
9,128,4,4,10915.201200000012,0.0,4665.158699999994,81.4221,870.5843999999998,,870.5843999999998,0.0,0.0,0.0,0.0,0.0,0.0025,71.6885,422.07899999999995,0.0,1.0,148.5464,204.95407777777774,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.778988423506412,4.8144727554685325,27.593461178974945,6.382926584297744,2.6339008946673648,9.016827478965109,781.7074999999999,802.9624999999984,786.2074999999999,1.5,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-46.087775000000015,0.0,90,640.0,145.87710000000013,536.1084,72.52200000000003,0.0,0.0,0.0,0.0,0.0,20,68.80810000000001,640.0,145.87710000000013,72.52200000000003,82.0,0.0,318.3875000000003,0.015,5.219629010238909,5.230873287671232,1.646299999999998,NaN,3.025179702279062,8.101433171636085,292.0,293.0,146.0,512.0,409.0,51.0,25,0,0,0,27,0.0,512.0,6782.2378,727.2191,3246.3715999999995,37,155,0,9,0.18961152652300073,0.3475456965418431,0.3098326516426637,0,1714.060400000001,1529.3513000000003,0,0,43.0,128,0,0,6782.2378,37,15129.277275450557,15129.277275450557,0.0,37,43,0,1.5,0,0.0,128,128,15129.277275450557,37,7680.0,0,0,70.79089999999992,64.0,18.8761,4,0.3239,0.324,0.226640625,1280.0,99.67447916666667,0.4082209926513742,0,0,0.0,0,0.0,1275.8333333333333,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,6,6,1879.7682,768,720.0,606.0,0.0,1885.1483255453684,1095.335127308025,789.8131982373434,0.0,0.3239,2014.8731000000002,2112.6985999999997,0.3846877665816373,119,12674.078480926093,9,2455.1987945244678,4,0.0,4,0.0,2,514.4425000000001,-798.8958999999999,37.68831978652665,0,0,146,146,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
10,128,4,4,11398.6413,0.0,4459.741700000002,74.7223,945.3066999999999,,945.3066999999999,0.0,0.0,0.0,0.0,0.0,0.0025,76.9496,423.7943399999999,0.0,1.0,146.4108,201.81386333333325,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.46219694915784,5.155820870713194,28.618017819871035,7.323682893424259,2.4283570828615124,9.75203997628577,799.2927999999996,786.2075000000002,799.2927999999996,0.0,2,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-51.697475000000026,0.0,101,640.0,156.55989999999986,604.3203000000001,77.83649999999994,0.0,0.0,0.0,0.0,0.0,22,124.7072,640.0,156.55989999999986,77.83649999999994,82.0,0.0,389.4254000000002,0.015,5.13266689655172,5.140084210526314,1.6327,NaN,2.9173337143401574,7.858390176487002,304.0,290.0,152.0,512.0,421.0,51.0,22,0,0,1,26,0.0,512.0,7000.882799999995,757.2295999999999,3419.6387,37,155,0,9,0.20830427873860424,0.33754300538540827,0.26021069405236874,0,1730.5755,1488.473399999999,0,0,60.0,128,0,0,7000.882799999995,37,15690.7445799141,15690.7445799141,0.0,35,60,0,1.5,0,0.0,128,128,15690.7445799141,37,7679.999999,0,0,97.962,64.0,19.2334,4,7.235799999999999,7.22919999999997,0.226640625,1280.0,99.67447915364583,0.40292600866551803,0,0,0.0,0,0.0,1275.8333331666665,5,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,6,6,2260.0893000000005,768,720.0,493.5,0.0,1872.615477646933,774.1516092506331,1098.4638683962999,3.9745,3.2613,1853.4552999999996,1936.0124,0.37662791383616967,119,13173.867550303172,9,2516.8770296109287,4,0.0,4,0.0,2,564.6154,-868.3570999999998,37.65407982533999,0,0,152,152,SB2 best SuMSy + everyone greedy,sumsy,4,0.0
