round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,5375.746,0.0,5403.22,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.8767741870439087,0.0,128.0,0.0,0.0,1.0,0,0,0,0.510204081632653,0,8.28446153846154,2.1923076923076925,10.476769230769232,2.6064615384615375,1.9615384615384617,4.568,207.99999999999986,0.0,207.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,27.473999999999997,27.474,0.0,0,0.0,119.05400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,0.005,5.0,5.199999999999997,NaN,0.75,3.9199999999999986,3.920000000000001,80.0,35.0,40.0,512.0,82.0,0.0,107,0,0,0,20,15.0,512.0,4008.5999999999985,319.858,1047.288,192,0,0,32,0.10046602928703297,0.3031066611548805,0.8341430806169963,0,343.6000000000001,175.0,20,0,0.0,0,0,0,0.0,0,0.0,6168.600000000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,107,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7629839640364997,96,2999.12,32,3169.48,4,-2119.2019999999998,4,-1916.8719999999998,2,27.47400000000016,0.0,11.925,11.25,0,0,40,40,0 bare bones,debt,7,-3.410605131648481e-13
2,128,4,4,5272.1244000000015,0.0,5311.639999999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7759776590336773,0.0,128.0,1.0,0.0,1.0,0,0,0,0.2542560553633218,0,49.77537230769231,1.6640315384615385,51.439403846153844,2.834859230769231,1.5871084615384614,4.4219676923076925,581.0014999999999,207.99999999999986,581.0014999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,39.5156,54.489999999999995,0.0,4,14.974400000000001,118.596,251.5246,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,251.52460000000045,0.001759321293599002,4.909271764705885,5.533347619047618,NaN,1.1236740384615387,3.567199999999993,3.8023999999999996,210.0,255.0,105.0,512.0,212.0,0.0,74,2,2,2,12,8.0,510.0,3466.1240999999977,154.4648,1651.5355,191,1,0,32,0.17624727993185507,0.6341238417897412,0.6267097467521481,1,629.4239000000003,1251.8643000000006,12,0,0.0,0,0,2,0.0,0,0.0,18739.343600000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0162052023621415,96,2502.9032000000007,32,16236.440400000003,4,-2163.2906999999996,4,-1262.3845000000001,2,39.51560000000063,0.0,12.640500000000001,79.9645,0,0,105,105,0 bare bones,debt,7,-3.410605131648481e-13
3,128,4,4,5720.687899999996,0.0,5780.5735,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7873640214138664,0.0,256.0,0.0,0.0,1.0,0,0,0,0.25005917159763313,0,51.707992677554806,1.468345619839515,53.176338297394324,3.465970743363747,1.4714527703263776,4.937423513690124,719.1154000000008,581.0015000000002,719.1154000000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.88559999999999,81.0484,0.0,4,566.7019,118.13839999999999,560.5135,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015857803715459116,5.595682307692309,5.489430534351151,NaN,1.346751538461538,3.221674747474758,3.6883279999999994,262.0,260.0,131.0,507.33333333333337,264.0,0.0,61,0,0,1,10,3.0,512.0,3288.767800000001,402.49940000000004,2029.4207000000001,191,1,0,32,0.1911404715544225,0.6487263469776996,0.4418663488514625,2,1277.1245,1454.8774000000003,12,2,0.0,0,0,0,0.0,0,0.0,18561.590700000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0167743013294577,96,2109.8548999999994,32,16451.735800000002,4,-2434.033,4,-834.2592999999998,2,59.88559999999961,0.0,13.398930000000002,79.9645,0,0,131,131,0 bare bones,debt,7,-3.410605131648481e-13
4,128,4,4,5668.456800000004,0.0,5729.7255,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.8027367169365467,0.0,163.0,0.0,0.0,1.0,0,0,0,0.25004239923116056,0,46.53902315067923,0.442884053322981,46.981907204002205,4.217474269653237,0.442884053322981,4.660358322976217,749.9317,719.115400000001,749.9317,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.26869999999998,108.03769999999999,0.0,5,94.3639,146.595,208.2956,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,139.53789999999998,0.008267760388252679,5.77850864661654,5.681300757575757,NaN,1.4504229007633591,3.2600954887218165,3.5776781599999987,264.0,266.0,132.0,510.6666666666667,266.0,0.0,61,1,1,1,14,2.0,511.0,2669.3170000000005,637.0992,2362.0406,191,1,0,32,0.33236278699757293,0.6841641189713494,0.4946481406872354,24,917.6529000000006,1537.0832999999998,16,2,0.0,0,0,1,0.0,0,0.0,17942.159700000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9916268745146359,96,1531.6933,32,16410.4664,4,-2198.845,4,-451.3994,2,61.26870000000008,0.0,14.202865800000003,79.9645,0,0,132,132,0 bare bones,debt,7,-3.410605131648481e-13
5,128,4,4,5545.3416000000025,0.0,5606.7017000000005,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.8203046967083005,0.0,162.0,0.0,0.0,1.0,0,0,0,0.2735979222465709,0,46.40049765782927,0.04543559870828082,46.44593325653755,6.984861187819415,0.04543559870828082,7.030296786527695,743.9056999999999,749.9317000000007,743.9056999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.360099999999974,135.07729999999995,0.0,8,26.9482,150.0634,465.7691,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,465.76910000000026,0.009852577128749398,5.791800900900901,5.678669465648854,NaN,1.5752559055118105,3.2746002525252345,3.4703478152,262.0,222.0,131.0,509.6666666666667,264.0,0.0,61,7,7,24,5,1.0,505.0,2605.874699999998,525.6094,2413.8575,188,4,0,32,0.5248052125381355,0.7111559726159662,0.5526797599363316,57,738.3207999999998,1285.7798,14,9,0.0,0,0,7,0.0,0,0.0,17638.823900000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988640578973103,96,1092.2845000000007,32,16546.5394,4,-1997.6575000000003,4,-349.3424999999997,2,61.360099999999875,0.0,15.055037748000004,79.9645,0,0,131,131,0 bare bones,debt,7,-3.410605131648481e-13
6,128,4,4,5422.243300000001,0.0,5483.6779,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9635416666666666,0.837918997811411,0.0,32.0,0.0,0.0,1.0,0,0,0,0.3861475780896333,0,47.15797729547828,0.03882278586594209,47.19680008134423,9.375911968273739,0.03882278586594209,9.414734754139682,613.6421999999997,743.9057000000014,613.6421999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.43459999999997,161.58689999999996,0.0,15,26.4351,149.5334,958.4023000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,492.6331000000001,0.009241862567146979,5.619537765957448,5.578565454545451,NaN,1.732068932038835,3.2549081081081175,3.3662373807439994,220.0,188.0,110.0,473.0000000000002,221.99999999999997,0.0,67,27,27,25,8,4.0,481.0,2919.215199999999,192.6592,2310.3689,185,7,0,32,0.6307085944280502,0.7234107588107888,0.6225360026718605,59,874.1286999999996,1056.4731000000002,23,15,0.0,0,0,27,0.0,0,0.0,17712.27090000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,67,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0104317878279203,96,885.3263000000001,32,16826.944600000006,4,-2017.9304000000002,4,-402.5911000000001,2,61.434600000000046,0.0,15.958340012880004,79.9645,0,0,110,110,0 bare bones,debt,7,-3.410605131648481e-13
7,126,4,4,5302.046100000002,0.0,5362.8542,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9583333333333334,0.851726306029025,0.0,32.0,0.0,0.0,1.0,0,0,0,0.5099319850457187,0,50.29600576018159,0.04092589550297843,50.33693165568458,11.790371596559561,0.04092589550297843,11.83129749206254,524.7100000000003,613.6421999999999,524.7100000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,60.808099999999975,187.40370000000001,0.0,23,26.4433,146.6405,892.3066,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,399.6729999999997,0.008164745362697729,5.417798657718119,5.642043010752691,NaN,1.9213188235294112,3.1069500000000003,3.2652502593216792,186.0,149.0,93.0,443.66666666666697,183.99999999999997,0.0,72,48,45,11,2,0.0,437.0,3113.847099999998,38.1734,2150.0256,184,8,0,32,0.705327157205591,0.7306312848861038,0.7721581075505308,72,797.0106999999999,807.2519999999998,14,12,0.0,0,0,48,0.0,0,0.0,17826.938300000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0329020929316486,94,691.6426000000006,32,17135.2957,4,-2021.868,4,-512.6943999999999,2,60.80809999999974,0.0,16.915840413652806,79.9645,2,0,93,93,0 bare bones,debt,7,-3.410605131648481e-13
8,110,4,4,5173.452499999997,5.5406,5239.323399999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9583333333333334,0.8104706326117517,0.0,32.0,0.0,0.0,1.0,0,0,0,0.5375582990397806,0,52.02948560503584,0.05353566510491487,52.083021270140755,12.24679139847285,0.05353566510491487,12.300327063577763,404.76509999999985,524.7099999999996,404.76509999999985,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,60.33029999999997,213.03279999999995,0.0,28,26.1069,149.15990000000005,389.50609999999995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,291.9339999999999,0.008358240824110508,5.183343703703705,5.469798648648647,NaN,1.971184848484847,2.962828000000001,3.167292751542029,148.0,135.0,74.0,391.3333333333333,118.0,0.0,73,45,36,15,1,1.0,379.0,3090.4391,39.808099999999996,2043.2053,184,8,0,32,0.6774787278610346,0.6959100746538331,0.7838500750086972,59,521.8304,699.7514000000002,11,10,0.0,0,0,45,0.0,0,0.0,17803.907099999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,73,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9944465529476658,78,609.0312999999999,32,17194.8758,4,-1947.3192999999999,4,-569.2746999999999,2,60.33030000000008,0.0,17.930790838471975,79.9645,16,0,74,74,0 bare bones,debt,7,-3.410605131648481e-13
9,102,4,4,4993.508299999996,70.9142,5123.2508,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9583333333333334,0.780729981070156,0.0,32.0,0.0,0.0,1.0,0,0,0,0.4770723104056437,0,54.74226218054011,0.08673841167020173,54.82900059221031,11.994030022662333,0.0722496946772811,12.066279717339613,276.46709999999996,404.76509999999973,276.46709999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,58.828299999999984,237.6152999999999,0.0,34,26.0845,140.6551,306.827,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,176.18820000000008,0.009949544377364849,5.024411111111114,5.4209235294117635,NaN,1.9361279069767443,2.821968910256413,3.072273968995767,102.0,126.0,51.0,346.6666666666667,88.0,0.0,68,43,39,9,6,4.0,342.0,2884.4738000000016,35.4784,2073.5561000000002,184,8,0,32,0.6590157119478641,0.6753856405024383,0.7626742020860982,51,320.27049999999997,633.0758000000003,15,9,0.0,0,0,43,0.0,0,0.0,17597.9418,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9605620431836259,70,566.4626,32,17031.479200000005,4,-1885.8164,4,-488.6838999999997,2,58.82830000000058,0.0,19.006638288780294,79.9645,8,0,51,51,0 bare bones,debt,7,-3.410605131648481e-13
10,91,4,4,4877.637499999999,70.9142,5006.2768,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9583333333333334,0.7318848577368704,0.0,32.0,0.0,0.0,1.0,0,0,0,0.36190946967022103,0,56.60352346433079,0.07730590870793036,56.68082937303872,11.26244756157161,0.07730590870793036,11.33975347027954,310.18230000000005,276.4671,310.18230000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.725099999999976,262.0414999999999,0.0,40,25.529400000000003,141.40020000000004,289.7675,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,208.00280000000006,0.010238032115359574,4.94665882352941,5.257327118644069,NaN,1.8698490196078439,2.7433088888888917,2.9801057499258943,118.0,119.0,59.0,309.99999999999994,98.0,0.0,54,31,26,12,4,1.0,310.0,2688.5661000000014,21.929899999999996,2167.1415,184,8,0,32,0.6306220763044423,0.6403052463773835,0.7255602869907283,44,273.91550000000007,588.6523999999998,13,9,0.0,0,0,31,0.0,0,0.0,17402.034100000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9112208453446224,59,513.6666,32,16888.367500000004,4,-1832.6309,4,-344.85849999999994,2,57.72510000000011,0.0,20.147036586107113,79.9645,11,0,59,59,0 bare bones,debt,7,-3.410605131648481e-13
