round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6087.343999999987,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2282637309120925,0.0,168.0,0.0,0.0,1.0,0,0,0,0.510204081632653,0,8.290476923076922,2.6423076923076922,10.932784615384614,2.5661015384615387,2.411538461538462,4.97764,219.99999999999986,0.0,219.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,47.456000000000245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55.0368,640.0,47.456000000000245,0.0,76.0,0.0,0.0,0.0,5.0,5.199999999999997,NaN,0.75,3.9199999999999986,3.920000000000001,80.0,35.0,40.0,512.0,82.0,0.0,107,0,0,0,20,15.0,512.0,4575.831199999996,366.128,1090.348,192,0,0,32,0.0877847859641332,0.27762076434605487,0.8312203007625765,0,974.8312000000001,175.0,20,0,0.0,0,0,0,0.0,0,0.0,6735.831199999987,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,107,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3403525536590142,96,3423.0091999999972,32,3312.821999999999,4,366.128,4,1090.348,2,55.0368,0.0,11.925,11.25,0,0,40,40,0 bare bones,sumsy,7,3.637978807091713e-12
2,128,4,4,6667.851899999999,0.0,222.8221,222.8221,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5652155851456349,0.0,233.0,1.0,0.0,1.0,0,0,0,0.2542560553633218,0,57.148170000000015,2.594851538461539,59.74302153846155,2.183126923076923,2.5570823076923084,4.740209230769231,593.0014999999999,219.99999999999983,593.0014999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,59.49209999999997,222.8221,0.0,0.0,0.0,0.0,0.0,0.0,0,46.9007,640.0,59.49209999999997,0.0,76.0,0.0,0.0,0.0,4.909271764705885,5.533347619047618,NaN,1.1236740384615387,3.6420867924528224,3.8023999999999996,210.0,255.0,105.0,512.0,212.0,0.0,74,2,2,2,12,8.0,510.0,4698.528199999999,203.84,1718.5829999999999,191,1,0,32,0.11375936198754766,0.6105246422918345,0.5478258751628964,0,1509.6829000000014,1251.8643000000006,12,0,0.0,0,0,2,0.0,0,0.0,22343.793799999978,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,74,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6114756262854713,96,3452.503499999997,32,18891.290299999997,4,72.54990000000001,4,1718.5829999999999,2,107.0692,0.0,12.640500000000001,91.532,0,0,105,105,0 bare bones,sumsy,7,3.637978807091713e-12
3,128,4,4,7237.558200000006,0.0,649.8248,438.14379999999994,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5546213299235387,0.0,258.0,0.0,0.0,1.0,0,0,0,0.25004370374686785,0,58.782909310046286,2.7914166772032583,61.574325987249544,2.133328314971764,2.68969862972184,4.823026944693604,731.4245000000005,593.0015000000002,731.4245000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.2283000000000004,0.0,0,640.0,70.2937,438.1438,0.0,0.0,0.0,0.0,0.0,0.0,0,23.6803,640.0,70.2937,0.0,76.0,0.0,0.0,0.015,5.605578244274808,5.491790076335882,NaN,1.3478379844961237,3.2724308080808187,3.6883279999999994,262.0,262.0,131.0,507.33333333333337,264.0,0.0,61,1,1,1,11,6.0,511.0,4527.550300000001,560.6469999999999,2125.6805999999997,190,2,0,32,0.07718139421471437,0.6095017697672653,0.5038995805726267,0,1662.8055000000002,1468.6614999999997,11,0,0.0,0,0,1,0.0,0,0.0,22430.926099999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6087963033129127,96,3402.8017999999984,32,19028.1243,4,93.88620000000003,4,2125.6805999999997,2,161.20929999999998,0.0,13.398930000000002,91.532,0,0,131,131,0 bare bones,sumsy,7,3.637978807091713e-12
4,128,4,4,7793.776099999997,0.0,671.6376999999999,54.8613,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5543585511580857,0.0,256.0,0.0,0.0,1.0,0,0,0,0.25,0,52.761929311930544,2.133124475794928,54.89505378772547,2.7755518519099516,1.9882029002912887,4.7637547522012404,765.0045000000009,731.4245000000003,765.0045000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.726500000000003,0.0,0,640.0,83.78209999999993,54.8613,0.0,0.0,0.0,0.0,0.0,0.0,0,73.27369999999999,640.0,83.78209999999993,0.0,76.0,0.0,0.0,0.015,5.773208712121214,5.7045795454545525,NaN,1.4492453846153839,3.2202593984962444,3.5776781599999987,264.0,264.0,132.0,509.6666666666667,265.99999999999994,0.0,60,5,5,1,17,8.0,507.0,4623.664999999996,679.0168,2417.8206,190,2,0,32,0.13713513420900925,0.6186184530282306,0.48487238097599716,0,1665.904900000001,1524.1271000000004,17,0,0.0,0,0,5,0.0,0,0.0,22501.019200000017,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6122567024886005,96,3333.4456999999984,32,19167.573500000002,4,190.44310000000007,4,2454.2002,2,222.2576,0.0,14.202865800000003,91.532,0,0,132,132,0 bare bones,sumsy,7,3.637978807091713e-12
5,128,4,4,8331.371200000007,0.0,792.5695000000001,156.7233,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.5677995002383025,0.0,256.0,0.0,0.0,1.0,0,0,0,0.25004370374686785,0,53.803605204074344,1.1339694499433604,54.9375746540177,4.9309307401139755,1.0420608218707863,5.972991561984761,753.0143,765.0045000000005,753.0143,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-15.442400000000015,0.0,0,640.0,102.40489999999997,156.7233,0.0,0.0,0.0,0.0,0.0,0.0,0,123.57,640.0,102.40489999999997,0.0,76.0,0.0,0.0,0.015,5.7552774809160265,5.656597709923664,NaN,1.572765625,3.2691742424242345,3.4703478152,262.0,262.0,131.0,505.6666666666667,264.0,0.0,61,4,3,2,14,8.0,508.0,4762.591600000001,748.6527000000001,2696.5569,189,3,0,32,0.25682711508110456,0.6410864498399969,0.535007017902978,3,1674.803300000002,1507.882699999999,14,0,0.0,0,0,4,0.0,0,0.0,22679.115499999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6365595196903657,96,3113.7807000000003,32,19565.334799999997,4,230.67920000000007,4,2731.1175000000003,2,264.60299999999995,0.0,15.055037748000004,91.532,0,0,131,131,0 bare bones,sumsy,7,3.637978807091713e-12
6,128,4,4,8851.806700000006,0.0,908.9307,159.9889,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.5785735336616071,0.0,254.0,0.0,0.0,1.0,0,0,0,0.25005917159763313,0,56.334742850916854,0.6422139059368075,56.97695675685366,6.954339556845047,0.6337166881543449,7.588056244999391,745.9588,753.0143000000012,745.9588,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-23.367900000000017,0.0,0,640.0,119.56450000000007,159.9889,0.0,0.0,0.0,0.0,0.0,0.0,0,148.34480000000002,640.0,119.56450000000007,0.0,76.0,0.0,0.0,0.015,5.762214999999998,5.645836923076923,NaN,1.7238182539682532,3.3182236641221285,3.3662373807439994,260.0,260.0,130.0,505.66666666666663,262.0,0.0,61,9,9,0,20,10.0,503.0,4948.378099999997,773.3486,2981.7352,188,4,0,32,0.3585823196607083,0.6597342899167458,0.5579901245318204,16,1686.6731999999984,1498.1758999999993,21,1,0.0,0,0,9,0.0,0,0.0,22899.501099999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6559650208052736,96,2973.096599999999,32,19926.404499999997,4,230.54589999999996,4,3014.4768000000004,2,281.4269,0.0,15.958340012880004,91.532,0,0,130,130,0 bare bones,sumsy,7,3.637978807091713e-12
7,128,4,4,9355.122600000008,0.0,1030.0329,172.7293,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,6,0.9739583333333334,0.5911939120586127,0.0,248.0,0.0,0.0,1.0,0,0,0,0.25,0,59.108405094488596,0.006644747122150329,59.11504984161075,9.301706161472765,0.08758851347161577,9.38929467494438,739.6728000000005,745.9588000000006,739.6728000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.45700000000001,0.0,0,640.0,136.68410000000006,172.7293,0.0,0.0,0.0,0.0,0.0,0.0,0,161.6453,640.0,136.68410000000006,0.0,76.0,0.0,0.0,0.015,5.870225390625,5.684943750000004,NaN,1.922392682926829,3.3105031007752084,3.2652502593216792,256.0,256.0,128.0,503.0,258.0,0.0,61,3,3,2,11,7.0,509.0,5136.168499999997,773.6553,3283.6535000000003,187,5,0,32,0.4634961953825594,0.6806743822061352,0.582588672601867,42,1679.9808999999989,1502.7777,12,1,0.0,0,0,3,0.0,0,0.0,23111.946500000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676694530401434,96,2785.5417000000007,32,20326.404799999997,4,214.46749999999994,4,3316.0761,2,286.7765,0.0,16.915840413652806,91.532,0,0,128,128,0 bare bones,sumsy,7,3.637978807091713e-12
8,128,4,4,9843.399700000002,0.0,1391.8292999999999,421.40070000000003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21,19,0.9635416666666666,0.6123322237177902,0.0,250.0,0.0,0.0,1.0,0,0,0,0.2500450694068866,0,60.18356450601698,-0.5910420416805491,59.592522464336426,12.16170574304861,0.0,12.16170574304861,740.538199999999,739.6728000000003,740.538199999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.624800000000036,0.0,0,640.0,151.7229,421.40070000000003,0.0,0.0,0.0,0.0,0.0,0.0,1,168.57580000000002,640.0,151.7229,0.0,76.0,0.0,0.0,0.015,5.845362790697675,5.647582945736427,NaN,2.035975409836066,3.3202257692307633,3.167292751542029,258.0,258.0,129.0,506.3333333333333,260.0,0.0,62,1,1,2,9,4.0,511.0,5780.582200000001,702.5824,3191.6593000000003,185,7,0,32,0.5372267698442215,0.6973707031467371,0.5661487834398891,49,1682.8394999999991,1508.1036000000001,15,6,0.0,0,0,1,0.0,0,0.0,23437.21820000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.697169303523429,96,2659.2309,32,20777.9873,4,63.21660000000003,4,3631.3527999999997,2,285.7561,0.0,17.930790838471975,91.532,0,0,129,129,0 bare bones,sumsy,7,3.637978807091713e-12
9,128,4,4,10321.912700000004,0.0,1547.4214,231.33869999999993,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,36,34,0.9635416666666666,0.6494328155080542,0.0,250.0,1.0,0.0,1.0,0,0,0,0.25005917159763313,0,89.24311646453505,-1.1443587929798826,88.09875767155516,12.841296793586938,0.0,12.841296793586938,756.8045999999989,740.5382,756.8045999999989,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-55.42530000000008,0.0,0,640.0,161.48700000000002,231.33869999999993,0.0,0.0,0.0,0.0,0.0,0.0,16,173.08429999999998,640.0,161.48700000000002,0.0,76.0,0.0,0.0,0.015,5.809078461538461,5.729266153846146,NaN,2.058195934959348,3.2881343511450285,3.072273968995767,260.0,260.0,130.0,508.3333333333333,262.0,0.0,61,8,8,1,14,11.0,504.0,6127.198399999996,704.1885000000001,3317.4415,185,7,0,32,0.5473413943352969,0.7230582056164412,0.5647700112100282,47,1678.7687000000012,1510.3603999999998,18,4,0.0,0,0,8,0.0,0,0.0,33995.45254999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7045488663690012,96,2532.1105000000002,32,31463.34204999999,4,536.5806500000001,4,3943.7354,2,282.31370000000004,0.0,19.006638288780294,148.10505,0,0,130,130,0 bare bones,sumsy,7,3.637978807091713e-12
10,128,4,4,10791.609699999994,0.0,1825.8757000000005,355.01919999999996,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,39,27,0.9583333333333334,0.6540351023799187,0.0,230.0,0.0,0.0,1.0,0,0,0,0.25851909765260006,0,91.03003197117721,-1.2971970133750859,89.73283495780214,14.529576516969064,0.0,14.529576516969064,748.2520000000003,756.8046000000004,748.2520000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-67.63190000000007,0.0,0,640.0,170.30299999999994,355.01919999999996,0.0,0.0,0.0,0.0,0.0,0.0,48,175.7113,640.0,170.30299999999994,0.0,76.0,0.0,0.0,0.015,5.918268558951964,5.797259842519687,NaN,2.064300840336135,3.237711718749988,2.9801057499258943,254.0,229.0,127.0,502.6666666666667,256.0,0.0,60,15,13,3,7,6.0,497.0,6713.646600000003,717.0619999999999,3185.1898,184,8,0,32,0.5488761265189319,0.7266656496411779,0.5708278836390863,50,1627.4265000000014,1355.2834999999998,10,3,0.0,0,0,15,0.0,0,0.0,34232.078,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7077734907767188,96,2538.3422000000005,32,31693.7358,4,616.2798,4,4102.4317,2,276.9898,0.0,20.147036586107113,148.10505,0,0,127,127,0 bare bones,sumsy,7,3.637978807091713e-12
