round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6015.067999999999,0.0,6036.397599999999,0.0,949.0739999999996,,0.0,0.0,949.0739999999996,0.0,949.0739999999996,0.0,0.00375,0.0,2925.0009,0.0,1.0,975.0003,1924.0743000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.3101113321931579,0.0,128.0,0.0,0.0,1.0,0,0,0,0.909297052154195,48,10.153046153846152,1.371723076923077,11.524769230769229,2.6898153846153843,1.371723076923077,4.061538461538461,302.4692000000007,0.0,302.4692000000007,0.0,0,0,0.0,0.0,12.8032,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,21.3296,21.3296,0.0,4,1.176,92.428,157.40599999999998,25.926299999999998,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,810.0,162.89399999999986,0.005,5.0,5.199999999999997,2.0,0.75,3.73124324324325,3.9200000000000013,80.0,21.0,40.0,512.0,185.0,51.0,81,0,0,0,15,6.0,512.0,4401.576000000001,0.0,1042.9548,188,4,0,32,0.11945773087866707,0.3101113321931579,0.08581367302437792,1,1256.7939999999996,105.0,15,0,10.0,0,0,0,0.0,0,0.0,6847.194000000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,20.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.2849433333333334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,652.828,0.0,652.828,0.0,0.0,1416.644,1613.4919999999997,0.3378114594719823,96,3363.8180000000016,32,3483.376,4,0.0,4,371.72,2,20.15360000000003,0.0,11.925,11.25,0,0,40,40,10 + government reserve,debt,5,1.4551915228366852e-11
2,128,4,4,5916.861200000001,0.0,5963.7116,0.0,1445.173600000001,,0.0,27.9896,1417.1840000000009,0.0,468.1100000000001,3.5584950000000006,0.00375,0.0,2325.0009,0.0,1.0,575.0003,1495.8076,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.32157027913212555,0.0,91.0,0.0,0.0,1.0,0,0,0,0.2768742266811765,48,10.327409230769232,1.413353846153846,11.740763076923079,2.8412530769230773,1.4149846153846153,4.2562376923076926,886.1457000000069,264.63919999999973,923.9757000000068,0.0,0,0,0.0,0.0,78.0161,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.85039999999999,60.71060000000001,0.0,14,43.51780000000001,141.7246,599.3572999999999,82.45969999999987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,410.0,453.75450000000114,0.0036624401436853847,4.905459459459464,5.4979921739130475,1.85,1.1135504504504499,3.518418443804022,3.802399999999999,230.0,259.0,115.0,512.0,347.0,51.0,41,0,0,1,10,0.0,512.0,3924.1139000000007,2.1796,1680.8607000000002,188,4,0,32,0.12756257195254972,0.32157027913212555,0.26647074255216574,1,1261.9541000000013,1270.514000000001,10,0,2.0,0,0,0,0.0,0,0.0,6836.173900000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.7,64.0,309.707,4,0.0,0.0,NaN,1280.0,100.0,-0.25359306640625007,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,12,0.0,0,0.0,1200.0,1.668,3350.959240540545,0.0,3350.959240540545,0.0,0.0,1316.2207,1992.7473,0.34354894145339787,96,3348.2266999999997,32,3487.947199999999,4,0.0,4,371.72,2,45.73320000000027,-27.9896,12.640500000000001,11.25,0,0,115,115,10 + government reserve,debt,5,1.4551915228366852e-11
3,128,4,4,6487.406500000007,0.0,6545.105100000002,0.0,1692.1710000000007,,0.0,26.5901,1665.5809000000008,0.0,248.39690000000002,5.31332425000001,0.00375,0.0,2110.3682513513513,0.0,1.0,560.3676513513512,1264.5086675675677,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.31599743446639206,0.0,247.0,0.0,0.0,1.0,0,0,0,0.26030612743899456,48,11.35992154780239,1.6376627975279765,12.997584345330367,3.105801758488778,1.6526860903418725,4.75848784883065,973.9440000000059,923.9757000000066,973.9440000000059,0.0,0,0,0.0,0.0,74.00430000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.6986,90.52420000000002,0.0,16,704.1922000000002,133.64689999999996,910.3745,318.8244999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,398.48720000000003,0.0,0.007284016151422764,4.849797902097904,5.459066666666659,1.7836,1.3376101562500005,3.4833796594282322,3.688327999999999,264.0,286.0,132.0,510.6666666666667,346.00000000000006,51.0,40,0,0,1,18,13.0,512.0,4295.735099999998,138.27540000000002,1881.0918,188,4,0,32,0.13600900944316785,0.31599743446639206,0.20281163802460567,1,2022.2445,1387.0422000000003,18,0,12.0,0,0,0,0.0,0,0.0,7452.962200000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,21.403200000000002,29.0,172.3042,4,0.0,0.0,NaN,1280.0,100.0,-0.2783780859375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,0,12,0.0,0,0.0,1200.0,4.8978,3519.189291351681,0.0,3519.189291351681,0.0,0.0,1546.4738999999993,2191.6714,0.3364369874224997,96,3623.1534,32,3829.8088000000016,4,0.0,4,371.72,2,56.640199999999716,-26.5901,13.398930000000002,11.25,0,0,132,132,10 + government reserve,debt,5,1.4551915228366852e-11
4,128,4,4,6371.040200000002,0.0,6433.736099999999,0.0,2012.2112000000006,,0.0,25.1906,1987.0206000000007,0.0,321.4397,6.2445072500000105,0.00375,0.0,1934.4324747873748,0.0,1.0,468.87504836514836,1144.01559985825,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.5063705836852792,0.0,125.0,1.0,0.0,1.0,0,0,0,0.2594848135332565,48,26.853178439704276,1.0516322430564835,27.904810682760758,3.0440515075893133,1.0723024144470872,4.1163539220364,1008.7740999999967,848.098900000004,1134.6191999999965,0.0,0,0,0.0,0.0,76.3292,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.69590000000001,120.28089999999997,0.0,24,35.722699999999996,152.089,577.4571000000001,155.21369999999976,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,308.8319,440.6486999999998,0.008180359501798597,5.493645882352938,5.418942647058826,1.7351500000000004,1.436343511450382,3.375952547452544,3.5776781599999983,272.0,255.0,136.0,510.66666666666663,385.0,51.0,31,0,0,2,12,2.0,512.0,3690.0391999999997,641.4872,2000.7117,187,5,0,32,0.1469947701537968,0.5063705836852792,0.2881702973059359,7,1132.9053999999994,1400.8796999999993,12,0,32.0,0,0,0,0.0,0,0.0,11710.238800000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,55.52480000000001,60.0,38.80210000000001,4,0.0,0.0,NaN,1280.0,100.0,-0.23072400390625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,4.6487,3561.4892845405166,0.0,3561.4892845405166,0.0,0.0,1246.7109000000007,2681.001,0.5153945082060234,96,3346.2709999999993,32,8363.967799999997,4,0.0,4,371.72,2,61.69629999999971,-25.1906,14.202865800000003,35.5951,0,0,136,136,10 + government reserve,debt,5,1.4551915228366852e-11
5,128,4,4,6372.824999999998,0.0,6433.348299999999,0.0,2339.413499999999,,0.0,70.4157,2268.997799999999,0.0,281.97720000000004,7.44980187500001,0.00375,0.0,1888.874094966636,0.0,1.0,568.8801918945603,1092.913476644424,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.49546208503659495,0.0,101.0,0.0,0.0,1.0,0,0,0,0.2638444465625468,48,24.268285959062844,1.494614831611221,25.762900790674067,2.239508969860977,1.601267417345523,3.8407763872065,1025.3366000000046,954.8964999999974,1205.0593000000008,0.0,0,0,0.0,0.0,84.91420000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,60.523300000000006,145.78220000000005,0.0,34,133.8558,132.07099999999997,540.9713,249.2554000000007,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,387.59060000000005,50.84599999999998,0.009623190967411724,5.630240590405902,5.649982089552242,1.7015,1.5713356589147294,3.4410187136815473,3.4703478152,268.0,271.0,134.0,509.3333333333333,357.00000000000006,51.0,37,2,2,1,13,9.0,510.0,3909.3580999999986,217.6203,2244.9211999999998,187,5,0,32,0.12333065005767807,0.49546208503659495,0.2364582925313714,1,1993.8788000000002,1525.7951999999993,14,1,1.0,0,0,2,0.0,0,0.0,12181.724800000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.7015,36.0,0.9254,4,0.0,0.0,NaN,1280.0,100.0,-0.23997985677083333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,37,0.0,0,12,0.0,0,0.0,1200.0,34.458800000000004,3371.226858997422,0.0,3371.226858997422,0.0,0.0,1453.1934999999999,2463.4668999999994,0.5058577801503685,96,3536.8539000000014,32,8644.8709,4,0.0,4,371.72,2,59.58250000000029,-70.4157,15.055037748000004,35.5951,0,0,134,134,10 + government reserve,debt,5,1.4551915228366852e-11
6,128,4,4,6606.790499999998,0.0,6664.077500000001,0.0,2853.420399999998,,0.0,407.8181,2445.602299999998,0.0,176.60450000000006,8.506514750000012,0.00375,0.0,1903.0211164784187,0.0,1.0,657.9187413457773,1104.6052443189456,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.5159705493697833,0.0,106.0,0.0,0.0,1.0,0,0,0,0.2571938668346986,48,23.873035017059664,1.3632598191825085,25.236294836242173,1.6840959515607141,1.3467842286687377,3.0308801802294516,1005.2292999999988,877.8427000000022,1332.4459000000006,38.33990000000001,0,0,0.0,0.0,86.284,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.287000000000006,170.32780000000002,0.0,52,368.91499999999996,134.94949999999997,1114.6127000000001,152.77340000000007,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,472.1213999999997,446.2628999999993,0.009839167382582056,5.63154782608696,5.615058333333336,1.694,1.730934645669291,3.4873166848621113,3.3662373807439985,264.0,276.0,132.0,508.6666666666667,338.0,51.0,42,0,0,1,20,10.0,512.0,3441.2754000000004,678.7931,2485.7965999999997,187,5,0,32,0.10806743881933989,0.5159705493697833,0.21024363080179032,2,1265.4605000000006,1554.3072000000009,20,0,4.0,0,0,0,0.0,0,0.0,11891.998700000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,6.776,21.0,0.9254,4,0.0,0.0,NaN,1280.0,100.0,-0.18744662109375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,12,0.0,0,0.0,1200.0,32.706700000000005,2636.197728590644,0.0,2636.197728590644,0.0,0.0,1266.002,3165.515099999999,0.5252250066672035,96,3273.5737999999983,32,8618.4249,4,0.0,4,371.72,2,56.4049999999998,-407.8181,15.958340012880004,35.5951,0,0,132,132,10 + government reserve,debt,5,1.4551915228366852e-11
7,128,1,4,13513.016499999998,0.4252,11128.008099999995,0.0,10541.596499999998,,0.0,7970.6353,2570.9611999999975,0.0,125.35889999999995,9.168332375000007,0.00375,0.0,1917.8837814831847,0.0,1.0,669.0199238372609,1105.8314447983137,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.5146728097521274,0.0,98.0,0.0,0.0,1.0,1,0,0,0.25757575757575757,26,24.676715556318875,1.339987527265177,26.01670308358405,1.8639014218038734,1.4897024811489588,3.353603902952832,994.213599999999,934.0311000000004,134.1186,0.0,6,0,492.8294999999976,7232.796899999999,47.4684,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.8809,183.3321,2361.3773,72,7723.0147,816.3634999999997,8232.65,224.85119999999986,0.0,0.0,0.0,0.0,0.0,4,7228.6047,0.0,0.0,0.0,0.0,483.17890000000006,34.214200000000005,0.008086882139643599,5.636817045454543,5.588907299270072,NaN,1.9301977272727275,3.5217356845746344,3.2652502593216792,274.0,264.0,137.0,510.66666666666663,331.0,51.0,43,0,0,1,13,6.0,512.0,3550.641399999998,78.1221,2655.1480999999994,187,0,5,32,0.11126873927271252,0.5146728097521274,0.1464426381206676,1,1758.570999999999,1488.1196999999993,14,1,0.0,0,0,0,0.0,0,0.0,12012.475999999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,2.0,0.5002,2,0.0,0.0,NaN,1280.0,100.0,-0.03078402901785715,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,0,7,0.0,0,0.0,756.5476,134.0587,1184.7771725034438,0.0,1184.7771725034438,0.0,0.0,709.5441000000001,2733.7704,0.6338965483146641,96,3326.5138999999995,32,8685.962099999999,1,0.0,4,371.72,2,5020.3234,-7970.6353,16.915840413652806,35.5951,0,6,10,137,10 + government reserve,debt,5,1.4551915228366852e-11
8,128,1,4,14743.859300000002,0.6378,11583.012002068264,0.0,11121.500699999997,,0.0,8296.885,2824.6156999999976,0.0,253.6545000000001,9.638156000000011,0.00375,0.0088,1933.4093870061724,0.0,1.0,680.6962085556953,1118.9868080041151,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.4210979053454633,5.0,238.0,6.0,0.0,1.0,2,0,0,0.25771218498588094,21,15.218732717865228,1.3803705337785563,16.599103251643786,2.018303521396317,1.2901204737143748,3.3084239951106924,1024.9533000000008,118.59010000000004,1021.4584000000008,0.0,8,0,511.8528999999972,7232.796899999999,80.7753,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,98.4579,234.90910000000005,3286.5019,78,1725.9172999999998,494.86190000000005,881.2353,150.29459999999997,0.0,0.0,0.0,0.0,0.0,0,7203.2528,0.0,0.0,0.0,0.0,494.6807999999998,17.603,0.002672485130200385,5.596936131386864,5.705064179104476,1.7023,1.9996171875000002,3.5162965320121953,3.167292751542029,268.0,274.0,134.0,510.6666666666667,327.99999999999994,51.0,44,0,0,1,14,11.0,512.0,3457.7549,0.0,3533.1931999999997,186,6,0,32,0.12203021419874194,0.4210979053454633,0.13246105738015057,0,1687.8510999999996,1533.560500000001,15,1,1.0,0,0,0,0.0,0,0.0,8189.965016939422,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.7023,0.0,549.6496,1,0.0288,0.02,NaN,1280.0,100.0,0.18568044797052766,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,6,0.0,0,0.0,1105.9384,497.84810000000004,2320.9625110682114,0.0,2320.9625110682114,0.0,0.0288,614.8688,4082.8427999999994,0.588544287717502,96,3264.3046,32,4925.660416939422,1,0.0,4,464.9653,2,4041.003302068265,-8296.8762,17.930790838471975,16.915840413652806,0,8,134,134,10 + government reserve,debt,5,1.4551915228366852e-11
9,128,1,4,14937.982699999993,1.0630000000000002,11828.6793,0.0,11695.445099999997,,0.0,8022.4657,3672.9793999999983,0.0,848.3637,10.588912875000016,0.00375,0.0,1944.9176336980895,0.0,1.0,678.9945357444763,1128.0876002431708,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.43418655472002965,0.0,103.0,0.0,0.0,1.0,2,0,0,0.25648708236757306,21,16.631734241159872,1.264946197477649,17.89668043863752,1.7973521849216987,1.3648263933205407,3.1621785782422394,1061.2928999999986,886.810299999999,1195.941,0.0,8,0,511.8528999999972,7232.796899999999,75.82329999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,153.80579999999998,290.4525000000001,3286.5019,79,766.6846999999999,572.1361000000002,296.50739999999996,157.1186,0.0,0.0,0.0,0.0,0.0,0,7160.401,0.0,0.0,0.0,0.0,494.2959999999998,0.0,0.011217412589226348,5.58699135338346,6.011024626865664,NaN,2.0050812500000004,3.5829780254139214,14.473211650733498,268.0,266.0,134.0,510.66666666666663,328.0,51.0,44,0,0,1,13,9.0,512.0,3410.0221,728.5991,3565.4791999999998,186,6,0,32,0.11552513494890526,0.43418655472002965,0.15248403144117995,0,1720.9070999999994,1486.1397000000002,15,2,0.0,0,0,0,0.0,0,0.0,8430.391116939427,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,7.0,73.4813,1,0.0,0.0,NaN,1280.0,100.0,0.15371296126066628,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,6,0.0,0,0.0,1105.9384,489.5185,1630.666948285061,0.0,1630.666948285061,0.0,0.0,626.7990000000001,4367.5596000000005,0.6018462477332329,96,3269.265299999999,32,5161.125816939424,1,0.0,4,589.0967,2,4049.329000000002,-8022.4657,19.006638288780294,16.915840413652806,0,8,134,134,10 + government reserve,debt,5,1.4551915228366852e-11
10,128,1,4,14979.0292,1.7008,11924.648600000002,0.0,12168.852299999999,,0.0,8233.415,3935.4372999999982,0.0,262.45789999999994,13.770078000000014,0.00375,0.0392,1957.144876619618,0.0,1.0,689.0633543044572,1126.1202844130785,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.44463198236088264,0.0,101.0,0.0,0.0,1.0,2,0,0,0.25109259367169745,21,17.463948162333615,1.3817041664283747,18.84565232876199,1.9244374484496256,1.3826541754711625,3.307091623920788,1064.0731000000007,1036.3892999999991,1223.624800000001,0.0,8,0,511.8528999999972,7232.796899999999,72.7948,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,212.3198,349.15200000000027,3286.5019,80,655.3208,613.6365,814.8725,269.5816000000001,0.0,0.0,0.0,0.0,0.0,0,7091.5923,0.0,0.0,0.0,0.0,504.6934999999997,0.0,0.014454137692048473,5.618959923664123,6.003734074074073,NaN,2.053702325581394,3.6629044281192287,14.039015301211494,270.0,262.0,135.0,510.66666666666663,327.0,51.0,45,0,0,2,11,6.0,512.0,3435.1655999999994,734.58,3673.4744,186,6,0,32,0.11664391039474209,0.44463198236088264,0.1557116928623441,0,1747.9855999999995,1472.1675000000002,11,0,0.0,0,0,0,0.0,0,0.0,8713.051816939418,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,4.0,44.1777,1,0.1313,0.092,NaN,1280.0,100.0,0.17838900292733295,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,6,0.0,0,0.0,1105.9384,481.1889,1740.68068071587,0.0,1740.68068071587,0.0,0.1313,687.7015,4452.2321,0.6040646635088951,96,3274.2226,32,5438.8292169394235,1,0.0,4,589.0966999999999,2,4034.8641000000002,-8233.375800000002,20.147036586107113,16.915840413652806,0,8,135,135,10 + government reserve,debt,5,1.4551915228366852e-11
