round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6015.0679999999975,0.0,6036.397599999999,0.0,941.5739999999996,,0.0,0.0,941.5739999999996,0.0,941.5739999999996,0.0,0.00375,0.0,2925.0009,0.0,0.9588,975.0003,1916.5743000000002,0.02,7.499999999999999,1.02,0.0,0.0,1.02,0.0,0,0,0.9791666666666666,0.3104268740860334,0.0,128.0,0.0,0.0,1.02,0,0,0,0.909297052154195,48,10.143815384615385,1.371723076923077,11.515538461538462,2.6898153846153843,1.371723076923077,4.061538461538461,302.4692000000007,0.0,302.4692000000007,0.0,0,0,0.0,0.0,12.8032,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,21.3296,21.3296,0.0,4,1.176,92.428,157.40599999999998,33.42630000000001,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,810.0,162.89399999999986,0.005,5.0,5.199999999999997,2.0,0.75,3.73124324324325,3.9200000000000013,80.0,21.0,40.0,512.0,185.0,51.0,81,0,0,0,15,6.0,512.0,4401.576,0.0,1042.9548,188,4,0,32,0.1196889761758062,0.3104268740860334,0.08581367302437792,1,1256.7939999999996,105.0,15,0,10.0,0,0,0,0.0,0,0.0,6839.694000000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,20.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.2849433333333334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,652.828,0.0,652.828,0.0,0.0,1413.9440000000002,1613.4919999999997,0.3380927551009876,96,3360.2180000000008,32,3479.476,4,0.0,4,371.72,2,20.15360000000003,0.0,11.925,11.25,0,0,40,40,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
2,128,4,4,5889.483599999997,0.0,5936.334,0.0,1359.325199999998,,0.0,0.0,1359.325199999998,0.0,417.7512000000003,3.5304550000000012,0.00375,0.0,2323.2145500000006,0.0,0.91929744,573.8094000000001,1452.3020000000006,0.02,78.36449999999981,1.0404,0.0,0.0,1.0404,0.0,0,0,0.9791666666666666,0.3261996010577328,0.0,91.0,0.0,0.0,1.0404,0,0,0,0.27435005358112774,48,10.242270769230768,1.429542307692308,11.671813076923076,2.8170692307692327,1.431273076923077,4.24834230769231,880.4403000000048,264.63919999999973,918.270300000005,0.0,0,0,0.0,0.0,79.5865,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,46.85039999999999,60.71060000000001,0.0,15,16.140199999999997,141.72460000000004,614.2588,159.58909999999935,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,410.0,456.97599999999903,0.003662440143685384,4.906183908045981,5.4979921739130475,NaN,1.1126639639639633,3.514986202085346,3.802399999999999,230.0,261.0,115.0,512.0,347.0,51.0,41,0,0,0,9,2.0,512.0,3894.3921999999984,2.1796,1688.3192,188,4,0,32,0.12967509048973058,0.3261996010577328,0.265803742396447,0,1265.9541999999992,1280.514000000001,10,1,0.0,0,0,0,0.0,0,0.0,6747.98140000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,64.0,304.5926,4,0.0,0.0,NaN,1280.0,100.0,-0.2534404557291666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,12,0.0,0,0.0,1200.0,2.28,3348.6151405405462,0.0,3348.6151405405462,0.0,0.0,1309.3669,1995.0914,0.3479350396806826,96,3277.5476999999973,32,3470.433699999999,4,0.0,4,371.72,2,45.73319999999981,0.0,12.640500000000001,11.25,0,0,115,115,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
3,128,4,4,6462.905600000005,0.0,6520.507700000001,0.0,1536.174399999998,,0.0,0.0,1536.174399999998,0.0,176.8492,5.095582875000001,0.00375,0.0,2116.939842528736,0.0,0.8814223854719999,568.1301425287357,1214.8284950191587,0.02,85.76499999999967,1.061208,0.0,0.0,1.061208,0.0,0,0,0.9791666666666666,0.3163958231503341,0.0,247.0,0.0,0.0,1.061208,0,0,0,0.2615202785164631,48,11.159922995465392,1.6566627872148925,12.816585782680283,3.184721000256986,1.668769956679654,4.85349095693664,957.6159000000048,918.2703000000027,957.6159000000048,0.0,0,0,0.0,0.0,73.4193,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,57.60209999999999,90.38650000000003,0.0,18,705.5623,132.14029999999997,1028.3379,396.37879999999643,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,408.4992000000001,0.0,0.0072683741223791565,4.848237634408602,5.453567424242425,1.7761000000000002,1.3373242187499998,3.4755706328469156,3.688327999999999,264.0,279.0,132.0,512.0,345.0,51.0,41,0,0,3,16,12.0,512.0,4307.249399999999,135.0539,1850.1078000000002,188,4,0,32,0.14131089234117677,0.3163958231503341,0.19769237277790697,0,2046.7867999999999,1352.6583,17,1,12.0,0,0,0,0.0,0,0.0,7337.801799999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,21.313200000000002,28.0,170.4945,4,0.0,0.0,NaN,1280.0,100.0,-0.28103041015625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,12,0.0,0,0.0,1200.0,2.166,3541.2915436260587,0.0,3541.2915436260587,0.0,0.0,1534.7206000000003,2155.6562,0.3369922384050428,96,3566.8477,32,3770.9541,4,0.0,4,371.72,2,56.543700000000065,0.0,13.398930000000002,11.25,0,0,132,132,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
4,128,4,4,6356.239900000001,0.0,6418.8259,0.0,1763.1680999999983,,0.0,0.0,1763.1680999999983,0.0,226.99369999999996,5.758594625000001,0.00375,0.0,1929.1343788375975,0.0,0.8451077831905535,455.2393292547276,1080.2393858917326,0.02,91.63459999999988,1.08243216,0.0,0.0,1.08243216,0.0,0,0,0.9739583333333334,0.51137163085585,0.0,125.0,1.0,0.0,1.08243216,0,0,0,0.2597605879459161,48,26.303678621343106,1.0611913194587623,27.364869940801867,3.223216436393889,1.0532907483559764,4.276507184749865,982.9150000000052,838.2707000000033,1102.260200000005,0.0,0,0,0.0,0.0,79.61540000000001,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,62.586,120.02969999999998,0.0,26,43.6555,150.32120000000003,587.5955000000001,234.00660000000062,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,298.5267,449.25409999999977,0.007966726001443826,5.375677606177608,5.415514074074078,1.7347666666666672,1.4422515384615386,3.3582386683757983,3.5776781599999983,270.0,259.0,135.0,508.00000000000006,386.00000000000006,51.0,30,0,0,0,11,4.0,512.0,3724.850400000002,640.4839999999999,1963.9237,187,5,0,32,0.16335782237053054,0.51137163085585,0.2881386957651553,7,1136.8682999999999,1392.3005000000005,12,1,27.0,0,0,0,0.0,0,0.0,11365.104400000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,46.83870000000002,63.0,26.981799999999996,4,0.0,0.0,NaN,1280.0,100.0,-0.23503965494791665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,2.4837,3591.0166776260003,0.0,3591.0166776260003,0.0,0.0,1268.8664000000003,2631.3894999999993,0.5200234606136311,96,3193.3416000000007,32,8171.7628,4,0.0,4,371.72,2,61.586399999999784,0.0,14.202865800000003,34.7488,0,0,135,135,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
5,128,4,4,6339.122699999998,0.0,6398.778300000001,0.0,2029.7135999999985,,0.0,51.4385,1978.2750999999985,0.0,215.10700000000003,6.609556375000001,0.00375,0.0,1891.8893971063521,0.0,0.8102893425231027,580.9698233937899,1032.371958070902,0.02,96.59450000000005,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,0.9739583333333334,0.4998620373982603,0.0,104.0,0.0,0.0,1.1040808032,0,0,0,0.26264620579785136,48,24.41250165574059,1.387362130848576,25.799863786589167,2.5695050524156016,1.4458606595564452,4.015365711972047,985.6248000000043,930.172200000001,1157.7127999999966,0.0,0,0,0.0,0.0,88.7814,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,59.65559999999999,144.58030000000005,0.0,38,112.726,129.8432,540.1036,321.03739999999976,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,408.2938999999999,76.55789999999999,0.009552631117052162,5.475767527675273,5.605129323308271,1.6853500000000001,1.5807039062500003,3.3568834095123425,3.4703478152,266.0,271.0,133.0,512.0,355.0,51.0,39,1,1,1,13,9.0,511.0,3957.2560999999996,202.8582,2178.083,187,5,0,32,0.13926954671476843,0.4998620373982603,0.21923209333348082,1,1998.2872000000018,1483.9329999999989,14,1,2.0,0,0,1,0.0,0,0.0,11783.775399999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.3707000000000003,36.0,0.9254,4,0.0,0.0,NaN,1280.0,100.0,-0.24475670572916672,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,39,0.0,0,12,0.0,0,0.0,1200.0,31.325400000000002,3396.946112950184,0.0,3396.946112950184,0.0,0.0,1440.5070999999998,2381.8666,0.5100125357265473,96,3364.916100000001,32,8418.8593,4,0.0,4,371.72,2,58.7147999999996,-51.4385,15.055037748000004,34.7488,0,0,133,133,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
6,128,4,4,6405.221799999999,0.0,6462.2201,0.0,2400.0907999999977,,0.0,220.4253,2179.665499999998,0.0,201.39040000000003,7.4159781250000005,0.00375,0.0,1875.4860142709435,0.0,0.7769054216111508,597.8230333646341,1020.3975261806298,0.02,100.00320000000004,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,0.9739583333333334,0.5263968156224768,0.0,111.0,0.0,0.0,1.126162419264,0,0,0,0.2552198347107438,48,24.122509434258635,1.231575153014633,25.354084587273263,1.9587665009134523,1.3051426409517048,3.2639091418651573,972.0028000000018,856.0571000000033,1273.658499999992,35.803399999999996,0,0,0.0,0.0,90.0004,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,56.9983,169.06020000000004,0.0,59,199.89239999999998,133.79330000000002,1056.6352000000002,235.12069999999923,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,422.9750000000002,531.1850000000018,0.009663465893082698,5.446378909090913,5.5356909774436165,1.692342857142857,1.7579335937500002,3.341212351054064,3.3662373807439985,266.0,275.0,133.0,509.6666666666667,352.0,51.0,39,0,0,0,19,9.0,512.0,3349.860899999999,666.9045000000001,2387.531,187,5,0,32,0.12747889327471706,0.5263968156224768,0.24421279521610084,1,1199.1724000000006,1497.754200000001,20,1,7.0,0,0,0,0.0,0,0.0,11378.158599999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,11.8464,33.0,0.9254,4,0.0,0.0,NaN,1280.0,100.0,-0.19406708984374998,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,39,0.0,0,12,0.0,0,0.0,1200.0,30.937399999999997,2822.910976926322,0.0,2822.910976926322,0.0,0.0,1217.2458999999994,3055.360899999999,0.5350881059322041,96,3009.4020999999993,32,8368.756500000001,4,0.0,4,371.72,2,56.116300000000194,-220.4253,15.958340012880004,34.7488,0,0,133,133,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
7,128,1,4,15932.615700000002,0.6378,13088.203399999999,0.0,12722.524099999999,,0.0,10430.3366,2292.1874999999977,0.0,112.52200000000002,8.170785124999998,0.00375,0.0,1881.6617072997494,0.0,0.7448969182407714,639.5719551575282,1017.4986524855478,0.02,95.18809999999998,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,0.9739583333333334,0.5310648669425544,0.0,102.0,0.0,0.0,1.14868566764928,1,0,0,0.2601183431952663,23,25.053347435883552,1.241975511376658,26.29532294726021,2.27436716970597,1.3777806336775615,3.6521478033835315,941.2408000000038,896.8413000000048,107.45009999999989,0.0,7,0,452.55720000000207,9952.6229,47.3803,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,45.53359999999999,181.13130000000004,2824.1709,80,10328.775800000001,800.7441,10989.7232,279.0385000000004,0.0,0.0,0.0,0.0,0.0,2,9949.4573,0.0,0.0,0.0,0.0,466.64990000000023,29.435900000000004,0.008077801440908791,5.418229999999998,5.533216788321169,NaN,1.933820454545455,3.332180194520604,3.2652502593216792,274.0,260.0,137.0,512.0,333.0,51.0,43,0,0,2,11,4.0,512.0,3414.8440000000005,63.1967,2504.8301,187,0,5,32,0.14105538798038753,0.5310648669425544,0.16693446826181457,1,1746.3002000000015,1408.7397999999994,13,2,0.0,0,0,0,0.0,0,0.0,11473.129099999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,2.0,0.2876,1,0.0,0.0,NaN,1280.0,100.0,0.00322171875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,0,6,0.0,0,0.0,652.9744000000001,94.0649,1253.1145204629927,0.0,1253.1145204629927,0.0,0.0,632.5163000000001,2568.3143999999998,0.6899818171184307,96,2988.4934,32,8484.6357,1,0.0,4,371.72,2,7277.327999999998,-10430.3366,16.915840413652806,34.7488,0,7,10,137,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
8,128,1,4,16690.119699999996,0.6378,13547.675702068262,0.0,13219.735699999997,,0.0,10836.6504,2383.085299999998,0.0,90.8978,8.592504124999996,0.00375,0.0088,1893.5279890446416,0.0,0.7142071652092515,658.863987086295,1027.223146863095,0.02,101.03500000000011,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,1,1,0.96875,0.4652273951261212,5.0,233.0,6.0,0.0,1.1716593810022657,2,0,0,0.26080238691459323,22,14.86335781410885,0.9318236057503313,15.795181419859182,2.147681921104238,0.8147877982860998,2.9624697193903384,961.3250999999989,99.42660000000032,958.1912999999989,0.0,8,0,463.7145000000022,9952.6229,89.1755,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,109.10669999999999,244.7044000000001,3277.0669,84,1385.8816000000002,628.3776,1630.9995,222.40989999999928,0.0,0.0,0.0,0.0,0.0,0,9924.1397,0.0,0.0,0.0,0.0,487.7667,619.2273000000009,0.0021798729292934727,5.34409598540146,5.603324060150372,1.6717,1.9461913385826763,3.3079601267797685,3.167292751542029,266.0,274.0,133.0,509.3333333333333,328.0,51.0,45,0,0,0,17,6.0,512.0,2881.271100000001,0.0,3364.6213,186,6,0,32,0.18266392559997224,0.4652273951261212,0.30379366527222307,9,1071.3355000000004,1464.2823,18,1,1.0,0,0,0,0.0,0,0.0,7174.536916939422,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.6717,0.0,520.0788,1,0.0287,0.02,NaN,1280.0,100.0,0.23762669797052763,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,6,0.0,0,0.0,1072.7944000000002,519.0549000000001,2273.8063551312252,0.0,2273.8063551312252,0.0,0.0287,592.6874000000001,3884.7001,0.6993098574255892,96,2629.3087000000005,32,4545.228216939421,1,0.0,4,440.39099999999996,2,6780.293502068264,-10836.6416,17.930790838471975,16.915840413652806,0,8,133,133,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
9,128,1,4,16997.726700000003,1.2756,13918.004799999999,0.0,13612.821299999998,,0.0,10512.5124,3100.3088999999977,0.0,717.2236,8.933323499999993,0.00375,0.0,1904.758777135114,0.0,0.6847818300026304,664.8683606196321,1023.6279403122988,0.02,98.50289999999993,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,0.96875,0.4628530602219898,0.0,242.0,0.0,0.0,1.195092568622311,2,0,0,0.26044536271809,22,17.598989750305233,1.2333049439988453,18.83229469430408,3.5765004204028563,1.2297920810236365,4.806292501426493,983.5842999999999,958.1912999999983,983.5842999999999,0.0,8,0,463.7145000000022,9952.6229,83.4503,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,175.4202,311.2514,3277.0669,84,994.1925000000001,685.9476999999999,276.722,334.8939000000001,0.0,0.0,0.0,0.0,0.0,0,9877.6182,0.0,0.0,0.0,0.0,496.9802000000001,0.0,0.009470776299246085,5.307542803030306,5.778468888888884,NaN,1.9642046511627895,3.3516277900848293,88.1293015759896,270.0,264.0,135.0,512.0,324.0,51.0,46,0,0,1,11,4.0,512.0,3542.585899999999,144.5077,3423.77,186,6,0,32,0.2003878766655307,0.4628530602219898,0.2867098824402581,1,2312.0351000000014,1401.1913000000009,15,4,0.0,0,0,0,0.0,0,0.0,7991.423816939421,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0,9.2449,1,0.0,0.0,NaN,1280.0,100.0,0.11003500553149957,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,6,0.0,0,0.0,1072.7944000000002,510.3809,2169.402719558836,0.0,2169.402719558836,0.0,0.0,790.3323000000003,3577.5226000000002,0.6897553045727987,96,2867.8833999999993,32,5123.540416939421,1,0.0,4,495.886,2,6795.915100000002,-10512.5124,19.006638288780294,16.915840413652806,0,8,135,135,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
10,128,1,4,16899.4884,1.9134000000000002,13889.676900000002,0.0,13972.261299999998,,0.0,10467.2006,3505.060699999998,0.0,404.7518000000002,11.622308249999994,0.00375,0.0,1902.9782783864468,0.0,0.656568818606522,628.98459654948,1013.688645590965,0.02,104.56469999999995,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,0.9635416666666666,0.5056156327947172,0.0,117.0,0.0,0.0,1.2189944199947573,2,0,0,0.26552483552862294,22,18.16402447248142,0.7858474977136071,18.949871970195026,2.7606864574122354,0.8204267325953274,3.581113190007563,965.1568000000016,983.5842999999988,965.1568000000016,0.0,8,0,463.7145000000022,9952.6229,90.32639999999999,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,248.92179999999996,384.975,3277.0669,85,645.2447999999999,742.8453000000002,1132.3393999999998,333.7342000000001,0.0,0.0,0.0,0.0,0.0,0,9797.9365,0.0,0.0,0.0,0.0,463.0659999999999,596.7980000000002,0.014401946006684554,5.27927191011236,5.653068656716425,1.6783965517241384,1.9609102362204678,3.392019466110335,85.48542252870992,268.0,267.0,134.0,510.66666666666663,337.0,51.0,43,0,0,1,12,4.0,512.0,2873.0032,730.933,3485.326,185,7,0,32,0.21821797287764966,0.5056156327947172,0.3184969325586513,9,1115.4165999999993,1409.5656000000001,13,1,29.0,0,0,0,0.0,0,0.0,7676.667176525768,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,48.67350000000001,16.0,12.2897,1,0.0,0.0,NaN,1280.0,100.0,0.19321933371036068,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,0,6,0.0,0,0.0,1072.7944000000002,501.70689999999996,1739.5929402530476,0.0,1739.5929402530476,0.0,0.0,644.9913999999999,4228.5487,0.7151183428510064,96,2511.6121000000003,32,5165.0550765257685,1,0.0,4,540.9395,2,6785.5648,-10467.2006,20.147036586107113,16.915840413652806,0,8,134,134,11 + fiscal policy and VAT,debt,5,-7.275957614183426e-12
