round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6674.777599999999,0.0,121.53,121.53,121.53,,121.53,0.0,0.0,0.0,0.0,0.0,0.0025,35.1433,420.75,0.0,0.9588,140.25,214.50356666666664,0.02,18.71999999999997,1.02,0.0,0.0,1.02,0.0,0,0,1.0,0.28508788734215407,0.0,168.0,0.0,0.0,1.02,0,0,0,1.0,48,7.833930769230771,1.4469384615384615,9.280869230769232,3.639966923076922,1.0011238461538459,4.641090769230767,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,48,640.0,71.54240000000014,121.53,54.282000000000004,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,71.54240000000014,35.562000000000076,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,18.0,40.0,512.0,185.0,51.0,81,0,0,0,14,4.0,512.0,3650.863799999996,729.7116,1246.3556999999998,192,0,0,32,0.22426542290142448,0.28508788734215407,0.6574623174054322,2,1326.0303999999996,90.0,14,0,111.0,0,0,0,0.0,0,0.0,5810.863800000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,222.0,52.0,958.2280000000001,4,84.303,84.30319999999999,NaN,1280.0,100.0,0.19103485026041664,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,84.303,813.5926000000001,2934.2952999999998,0.3448564526188571,96,3112.647199999997,32,2698.2165999999997,4,0.0,4,121.53000000000003,2,54.4752,-86.38669999999999,11.925,11.25,0,0,40,40,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
2,128,4,4,7235.975800000001,0.0,142.7231,21.193199999999997,142.6495,,142.6495,0.0,0.0,0.0,0.0,0.0,0.0025,39.449,420.75,0.0,0.91929744,140.25,178.24608333333336,0.02,83.98719999999976,1.0404,0.0,0.0,1.0404,0.0,0,0,1.0,0.2635531987992179,0.0,241.0,0.0,0.0,1.0404,0,0,0,0.26822709595338945,48,7.652229999999998,2.1986553846153845,9.850885384615383,3.2468561538461542,1.1240246153846154,4.370880769230769,638.4872000000006,225.99999999999983,638.4872000000006,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-2.4999999999999998e-5,0.0,48,640.0,78.80180000000004,21.193199999999997,123.92649999999992,0.0,0.0,0.0,0.0,0.0,1,110.3104,640.0,78.80180000000004,39.93929999999995,82.0,0.0,0.0,0.015,4.789315589353603,5.491037168141598,2.08738148148148,1.1319699115044242,3.5375300970873647,10.594024107142857,226.0,263.0,113.0,512.0,309.0,51.0,50,0,0,1,9,3.0,512.0,4031.5644999999977,388.604,1831.8087,192,0,0,32,0.1702720504425146,0.2635531987992179,0.40471209338150826,4,1847.9684000000013,1259.5899999999974,9,0,54.0,0,0,0,0.0,0,0.0,6191.4909000000025,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,112.71859999999994,30.0,834.2392,4,59.605199999999996,59.60560000000001,NaN,1280.0,100.0,0.19887056640625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,0,12,0.0,0,0.0,1200.0,0.0736,2235.7148135135144,0.0,2235.7148135135144,0.0,59.605199999999996,1061.8272,3054.6519,0.3197161340192243,96,3337.4969,32,2853.9939999999992,4,0.0,4,121.5299,2,110.3104,-103.20049999999999,12.640500000000001,11.25,0,0,113,113,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
3,128,4,4,7790.8849999999975,0.0,497.07900000000006,354.3597,145.928,,145.928,0.0,0.0,0.0,0.0,0.0,0.0025,43.3737,414.84040000000005,0.0,0.8814223854719999,134.34040000000002,157.50883333333326,0.02,91.61290000000032,1.061208,0.0,0.0,1.061208,0.0,0,0,0.9947916666666666,0.27954641295240035,0.0,261.0,0.0,0.0,1.061208,0,0,0,0.26262479338842976,48,9.285384859664369,2.6253558483926747,11.910740708057043,3.013561308411106,1.8444838766216394,4.858045185032745,740.263399999999,638.4872000000003,740.263399999999,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-0.00075,0.0,48,640.0,85.09080000000012,354.3597,135.57210000000032,0.0,0.0,0.0,0.0,0.0,2,127.26650000000001,640.0,85.09080000000012,43.95919999999997,82.0,0.0,0.0,0.015,4.812336363636362,5.430551879699241,1.8731272727272712,1.3347583333333328,3.527621185740951,10.27620338392857,266.0,275.0,133.0,510.66666666666663,373.0,51.0,34,0,0,0,11,11.0,512.0,4545.7597,601.6218,1999.1689000000001,191,1,0,32,0.13480138269709885,0.27954641295240035,0.3277676078863816,1,2113.5285999999987,1323.3924999999995,12,1,77.0,0,0,0,0.0,0,0.0,6760.389800000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,144.23079999999987,54.0,473.6944,4,0.9249,0.9248,NaN,1280.0,100.0,0.17811483072916667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,12,0.0,0,0.0,1200.0,1.2597,2967.9998441962257,0.0,2967.9998441962257,0.0,0.9249,1484.4004,3074.4851000000003,0.31981624551590526,96,3533.2978000000016,32,3227.0920000000006,4,0.0,4,121.52980000000002,2,137.73489999999998,-102.5543,13.398930000000002,11.25,0,0,133,133,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
4,128,4,4,8335.866500000002,0.0,651.7693,179.54450000000003,138.6316,,138.6316,0.0,0.0,0.0,0.0,0.0,0.0025,54.0896,412.3695,0.0,0.8451077831905535,134.98559999999998,140.3671583333332,0.02,102.26070000000021,1.08243216,0.0,0.0,1.08243216,0.0,0,0,0.9895833333333334,0.3154493484323788,0.0,261.0,0.0,0.0,1.08243216,0,0,0,0.2582961162304257,48,11.560424250553035,2.5243215971306854,14.08474584768372,3.537170421996731,2.222024005611453,5.759194427608184,746.5605999999997,740.2633999999994,746.5605999999997,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-4.9716499999999995,0.0,48,640.0,95.01850000000007,179.5445,152.28330000000022,0.0,0.0,0.0,0.0,0.0,0,102.02629999999999,640.0,95.01850000000007,50.02259999999997,82.0,0.0,0.0,0.015,5.37501992481203,5.437019402985072,1.8174762886597915,1.43365909090909,3.4130780129870066,9.967917282410712,268.0,266.0,134.0,512.0,385.0,51.0,31,0,0,1,14,8.0,512.0,4902.9881,686.5862,2173.3397,190,2,0,32,0.13910083140804508,0.3154493484323788,0.3452798581995109,1,2118.7134999999985,1429.7552999999998,14,0,97.0,0,0,0,0.0,0,0.0,7234.713400000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,176.29519999999977,64.0,416.8366,4,0.0,0.0,NaN,1280.0,100.0,0.18146622395833334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,1.1964000000000001,2956.4029066370817,0.0,2956.4029066370817,0.0,0.0,1836.262,3276.7625,0.3500166766520927,96,3536.7617999999984,32,3697.9516000000003,4,0.0,4,115.45329999999996,2,159.8768,-84.542,14.202865800000003,11.25,0,0,134,134,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
5,128,4,4,8871.122300000003,0.0,617.9378,0.0,131.3352,,131.3352,0.0,0.0,0.0,0.0,0.0,0.0025,56.8273,420.35688000000005,0.0,0.8102893425231027,150.7688,136.04822666666655,0.02,103.89260000000009,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,0.9895833333333334,0.3161319206033997,0.0,259.0,0.0,0.0,1.1040808032,0,0,0,0.259200633161852,48,10.580889578689552,2.5290768502618812,13.109966428951433,3.4445110238847816,2.3291233875421256,5.773634411426908,761.4965999999998,746.5605999999998,761.4965999999998,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-11.489050000000004,0.0,48,640.0,104.74419999999999,0.0,160.17240000000018,0.0,0.0,0.0,0.0,0.0,0,134.8738,640.0,104.74419999999999,56.27979999999997,82.0,0.0,0.0,0.015,5.490937218045116,5.5484820895522375,1.7605088607594956,1.5727166666666679,3.3092156940891155,9.66887976393839,268.0,266.0,134.0,510.66666666666663,384.99999999999994,51.0,31,0,0,0,11,7.0,512.0,5218.1350999999995,738.1142,2393.2937,190,2,0,32,0.13860255826238532,0.3161319206033997,0.3137936672470236,0,2091.8684,1460.5893000000008,11,0,79.0,0,0,0,0.0,0,0.0,7539.984700000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,139.08020000000016,64.0,329.8782,4,0.0,0.0,NaN,1280.0,100.0,0.1952029036458333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,1.1331,2700.1523554805117,0.0,2700.1523554805117,0.0,0.0,2088.0756,3461.2861,0.35025606255524844,96,3628.701899999999,32,3911.2828,4,0.0,4,109.3768,2,189.8055,-74.50789999999998,15.055037748000004,11.25,0,0,134,134,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
6,128,4,4,9394.928299999998,0.0,584.1063,0.0,124.0388,,124.0388,0.0,0.0,0.0,0.0,0.0,0.0025,66.8511,427.308,0.0,0.7769054216111508,154.0212,129.72908333333322,0.02,107.26659999999993,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,0.9895833333333334,0.3245932706797201,0.0,260.0,0.0,0.0,1.126162419264,0,0,0,0.26119402985074625,48,11.098670668802596,2.337344432983842,13.436015101786438,4.4685071661459865,2.049943587311483,6.518450753457469,765.0536000000005,761.4965999999995,765.0536000000005,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-17.668450000000004,0.0,48,640.0,116.19400000000002,0.0,170.91899999999995,0.0,0.0,0.0,0.0,0.0,0,153.568,640.0,116.19400000000002,63.652399999999986,82.0,0.0,0.0,0.015,5.458580223880598,5.575026865671646,1.6813172043010745,1.7454689393939393,3.2670893219900483,9.378813371020238,268.0,268.0,134.0,512.0,385.0,51.0,31,0,0,1,12,8.0,512.0,5506.415300000001,785.1262999999999,2612.1585,190,2,0,32,0.16673346692198288,0.3245932706797201,0.2887482228699667,0,2091.8104999999982,1462.8995000000002,12,0,93.0,0,0,0,0.0,0,0.0,7818.389200000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,156.36249999999993,64.0,270.8091,4,0.0,0.0,NaN,1280.0,100.0,0.21039037760416668,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,1.0698,2490.6068313127594,0.0,2490.6068313127594,0.0,0.0,2259.3064000000004,3668.0939,0.3572372759967384,96,3765.889999999999,32,4052.4991999999997,4,0.0,4,103.3003,2,205.58089999999999,-57.18769999999999,15.958340012880004,11.25,0,0,134,134,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
7,128,4,4,9906.3749,0.0,579.6469000000001,29.3721,116.7424,,116.7424,0.0,0.0,0.0,0.0,0.0,0.0025,90.4854,431.8840714285715,0.0,0.7448969182407714,153.1135,117.58335714285708,0.02,112.42469999999983,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,0.9895833333333334,0.356578533991335,0.0,259.0,0.0,0.0,1.14868566764928,0,0,0,0.25848998376470905,48,12.549685554665183,1.868250668778524,14.417936223443705,5.882008520118381,1.6580389204400625,7.5400474405584434,751.5317999999988,765.0536000000011,751.5317999999988,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-23.509250000000005,0.0,48,640.0,128.55339999999995,29.3721,184.08759999999992,0.0,0.0,0.0,0.0,0.0,0,162.4731,640.0,128.55339999999995,71.66289999999996,82.0,0.0,0.0,0.015,5.377426739926743,5.515276691729315,1.6452184873949554,1.9280999999999997,3.2343372722711803,9.097448969889632,266.0,273.0,133.0,510.66666666666663,382.99999999999994,51.0,31,0,0,3,17,11.0,512.0,5735.9861,822.1338000000001,2807.7138999999997,190,2,0,32,0.21958241040825577,0.356578533991335,0.3521991338484789,2,2088.2944000000007,1468.0375000000008,17,0,119.0,0,0,0,0.0,0,0.0,8039.5843,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,195.7809999999997,64.0,287.5826,4,0.0,0.0,NaN,1280.0,100.0,0.22643439453125,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,1.0065,2237.865954991316,0.0,2237.865954991316,0.0,0.0,2518.7228000000005,3917.4302999999995,0.3816104983543136,96,3736.5347999999994,32,4303.049500000001,4,0.0,4,125.09590000000003,2,211.5672,-26.257000000000005,16.915840413652806,11.25,0,0,133,133,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
8,128,4,4,10406.023399999996,0.0,711.1851999999999,166.8384,109.44600000000001,,109.44600000000001,0.0,0.0,0.0,0.0,0.0,0.0025,126.3365,434.4622125,0.0,0.7142071652092515,150.83639999999997,102.70857083333334,0.02,115.17330000000007,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,0.984375,0.39049502692137783,0.0,260.0,0.0,0.0,1.1716593810022657,0,0,0,0.2521791640411678,48,14.690642507429128,1.4494658004308467,16.140108307859975,7.945417402484605,1.3969320947182882,9.342349497202893,762.4710000000001,751.5317999999993,762.4710000000001,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-29.30555000000001,0.0,48,640.0,140.35150000000004,166.8384,194.7007000000001,0.0,0.0,0.0,0.0,0.0,0,166.7025,640.0,140.35150000000004,79.52740000000004,82.0,0.0,0.0,0.015,5.30975688405797,5.514600000000001,1.618841732283464,1.933221212121212,3.1935563825709092,8.824525500792943,270.0,276.0,135.0,508.0,387.0,51.0,30,0,0,0,17,14.0,512.0,6155.26,795.4636999999999,2875.4872,189,3,0,32,0.27345652564838874,0.39049502692137783,0.37625240241441293,1,2077.7942000000007,1465.4928999999997,17,0,127.0,0,0,0,0.0,0,0.0,8439.1575,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,205.59289999999993,64.0,286.7735,4,0.0,0.0,NaN,1280.0,100.0,0.22074729166666665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.9432,2297.649106966095,0.0,2297.649106966095,0.0,0.0,2924.5689,3957.7244000000005,0.40970334322944923,96,3722.3842,32,4716.7733,4,0.0,4,282.9642,2,212.8778,16.89049999999999,17.930790838471975,11.25,0,0,135,135,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
9,128,4,4,10896.619200000001,0.0,671.2316,3.6884,102.14959999999999,,102.14959999999999,0.0,0.0,0.0,0.0,0.0,0.0025,165.121,435.83500000000004,0.0,0.6847818300026304,148.9391,90.23800000000001,0.02,110.52470000000004,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,0.984375,0.3976911865270858,0.0,261.0,0.0,0.0,1.195092568622311,0,0,0,0.256625202812331,48,15.486260241021455,1.5655424874456918,17.05180272846715,8.454666391922315,1.5506939153897799,10.005360307312095,765.8167000000004,762.4709999999993,765.8167000000004,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-36.41715000000002,0.0,48,640.0,149.40419999999995,3.6884,196.5263999999999,0.0,0.0,0.0,0.0,0.0,0,169.3661,640.0,149.40419999999995,86.00170000000006,82.0,0.0,0.0,0.015,5.275802713178297,5.498652205882356,1.5867112781954842,1.9199917293233084,3.149295322873599,8.559789735769153,272.0,258.0,136.0,512.0,389.0,51.0,30,0,0,2,11,7.0,512.0,6444.2623,826.1911,2998.2369000000003,189,3,0,32,0.28271738394420276,0.3976911865270858,0.3190371486708774,1,2062.1850999999997,1361.1571000000008,11,0,133.0,0,0,0,0.0,0,0.0,8718.134100000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,211.0325999999994,64.0,293.4418,4,0.0,0.0,NaN,1280.0,100.0,0.23353555338541673,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,4.5683,2139.946088176932,0.0,2139.946088176932,0.0,0.0,3145.5964000000013,4117.8698,0.41624553889067295,96,3768.1198,32,4950.014300000001,4,0.0,4,267.2271999999999,2,212.62259999999998,62.97140000000002,19.006638288780294,11.25,0,0,136,136,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
10,128,4,4,11376.901300000009,0.0,627.4051999999999,0.0,94.85319999999999,,94.85319999999999,0.0,0.0,0.0,0.0,0.0,0.0025,218.3394,436.64751,0.0,0.656568818606522,147.98669999999996,72.76937,0.02,117.83089999999997,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,0.984375,0.4094461598986121,0.0,258.0,0.0,0.0,1.2189944199947573,0,0,0,0.2557062263857978,48,16.294705947100216,1.4164887868055556,17.71119473390577,9.336751271851996,1.4409400422851764,10.777691314137174,744.9286999999999,765.8166999999996,744.9286999999999,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-43.129050000000035,0.0,48,640.0,159.71790000000007,0.0,211.1041000000001,0.0,0.0,0.0,0.0,0.0,0,170.4174,640.0,159.71790000000007,93.27319999999996,82.0,0.0,0.0,0.015,5.175975539568343,5.46562932330827,1.5479416666666668,1.9215299999999997,3.094734985477768,8.302996043696078,266.0,278.0,133.0,509.33333333333337,383.0,51.0,31,0,0,1,16,14.0,512.0,6607.565500000001,881.6152000000001,3201.8438,189,3,0,32,0.30014743551823275,0.4094461598986121,0.3591833233420396,2,2013.0129999999992,1438.9211999999993,16,0,132.0,0,0,0,0.0,0,0.0,8871.411599999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,204.3283,64.0,297.12,4,4.671200000000001,4.6716,NaN,1280.0,100.0,0.2530011458333334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,4.3206,1699.684994445084,0.0,1699.684994445084,0.0,4.671200000000001,3339.3535000000006,4380.579000000001,0.42729825829187096,96,3754.9668,32,5116.4448,4,0.0,4,251.49019999999996,2,210.7551,123.48620000000003,20.147036586107113,11.25,0,0,133,133,11 + fiscal policy and VAT,sumsy,1,1.0913936421275139e-11
