round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6088.433999999987,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.22361722215481006,0.0,168.0,0.0,0.0,1.0,0,0,0,1.0,0,7.892732307692308,3.17453846153846,11.067270769230769,1.95487076923077,3.02276923076923,4.97764,219.99999999999986,0.0,219.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,46.366000000000255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55.0368,640.0,46.366000000000255,0.0,76.0,0.0,0.0,0.0,5.0,5.199999999999997,NaN,0.75,3.9199999999999986,3.920000000000001,80.0,15.0,40.0,512.0,82.0,0.0,107,0,0,0,9,6.0,512.0,4674.921199999994,366.128,992.348,192,0,0,32,0.0687500832901744,0.2680623036114891,0.8209500554860001,0,973.9212000000001,75.0,9,0,0.0,0,0,0,0.0,0,0.0,6834.921199999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,107,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32399548600482175,96,3479.6159999999973,32,3355.3051999999993,4,366.128,4,992.348,2,55.0368,0.0,11.925,11.25,0,0,40,40,1 + planning margin,sumsy,2,3.637978807091713e-12
2,128,4,4,6668.944499999991,0.0,165.7627,165.7627,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.236808559939373,0.0,240.0,0.0,0.0,1.0,0,0,0,0.25695036793939474,0,9.173862307692309,2.6114615384615396,11.785323846153847,2.291472307692307,2.536941538461539,4.828413846153846,628.0931,219.99999999999983,628.0931,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,59.48949999999999,165.7627,0.0,0.0,0.0,0.0,0.0,0.0,0,27.2546,640.0,59.48949999999999,0.0,76.0,0.0,0.0,0.0,4.88488212927757,5.50083125,NaN,1.1282526785714289,3.6374477876106095,3.8023999999999996,224.0,263.0,112.0,512.0,226.0,0.0,71,0,0,2,9,6.0,512.0,4807.5751999999975,203.84,1630.2747,192,0,0,32,0.1133883680592247,0.29282347330504277,0.5448521541248539,0,1566.9251000000015,1284.7240000000008,9,0,0.0,0,0,0,0.0,0,0.0,7053.122299999991,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,71,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3979365165977895,96,3558.5719,32,3494.550399999999,4,38.07730000000001,4,1630.2747,2,107.4702,0.0,12.640500000000001,11.25,0,0,112,112,1 + planning margin,sumsy,2,3.637978807091713e-12
3,128,4,4,7238.725199999998,0.0,597.2641,439.78950000000003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4644537117489409,0.0,259.0,1.0,0.0,1.0,0,0,0,0.25009468501451837,0,34.31631499181024,2.9155321238707224,37.231847115680964,2.2543422466316003,2.7398236089259975,4.994165855557598,729.6195999999999,628.0930999999998,729.6195999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.6575999999999997,0.0,0,640.0,70.21930000000008,439.7895,0.0,0.0,0.0,0.0,0.0,0.0,0,15.323599999999999,640.0,70.21930000000008,0.0,76.0,0.0,0.0,0.015,5.610840823970038,5.478012213740457,NaN,1.3443599999999998,3.270385606060619,3.6883279999999994,262.0,267.0,131.0,509.33333333333337,264.0,0.0,62,0,0,1,11,7.0,512.0,4596.622399999997,597.2733,2029.5059,191,1,0,32,0.07584670179510433,0.5298496222623819,0.48688020945411803,0,1661.8498000000002,1498.0945000000002,11,0,0.0,0,0,0,0.0,0,0.0,14775.914500000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5507622663818375,96,3494.454400000001,32,11281.460100000002,4,50.96919999999997,4,2029.5059,2,166.6556,0.0,13.398930000000002,50.96,0,0,131,131,1 + planning margin,sumsy,2,3.637978807091713e-12
4,128,4,4,7795.683799999999,0.0,738.0039,171.0173,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5665353558908519,0.0,260.0,1.0,0.0,1.0,0,0,0,0.26182159940523786,0,57.70068442971029,2.236499430545834,59.93718386025613,2.5385191578111646,2.0287758677645296,4.567295025575694,761.3728999999997,729.6195999999994,761.3728999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.6301,0.0,0,640.0,83.0413999999999,171.0173,0.0,0.0,0.0,0.0,0.0,0.0,0,81.673,640.0,83.0413999999999,0.0,76.0,0.0,0.0,0.015,5.733164419475659,5.634382706766916,NaN,1.429058015267175,3.207006218905481,3.5776781599999987,266.0,267.0,133.0,510.66666666666663,268.0,0.0,60,0,0,1,14,5.0,512.0,4692.934900000001,679.4482,2341.6277,190,2,0,32,0.12468243203602714,0.6242059832991498,0.4680417597920876,1,1666.964499999999,1530.754900000001,14,0,0.0,0,0,0,0.0,0,0.0,24408.26729999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.620735760196641,96,3417.4319000000005,32,20990.835399999993,4,143.01879999999994,4,2364.3117999999995,2,231.23790000000002,0.0,14.202865800000003,100.78725,0,0,133,133,1 + planning margin,sumsy,2,3.637978807091713e-12
5,128,4,4,8334.793100000004,0.0,699.1754,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5740883843147908,0.0,261.0,0.0,0.0,1.0,0,0,0,0.25983996539792387,0,58.41425508546341,1.4492801759244602,59.86353526138787,4.645962235817311,1.26019544595033,5.906157681767641,778.7610000000006,761.3729000000006,778.7610000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-15.010200000000005,0.0,0,640.0,100.89069999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,127.4238,640.0,100.89069999999994,0.0,76.0,0.0,0.0,0.015,5.706540073529409,5.679711111111116,NaN,1.5367736842105253,3.281828308823524,3.4703478152,270.0,272.0,135.0,510.66666666666663,272.0,0.0,59,0,0,2,15,8.0,512.0,4806.069100000002,744.0497,2657.2505,190,2,0,32,0.23845675229809982,0.6421512375509062,0.5318556408346504,3,1708.172299999999,1552.1788999999992,15,0,0.0,0,0,0,0.0,0,0.0,24491.774299999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,59,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6337157494075019,96,3237.947099999999,32,21253.827200000003,4,246.4488,4,2678.8004,2,268.9216,0.0,15.055037748000004,100.78725,0,0,135,135,1 + planning margin,sumsy,2,3.637978807091713e-12
6,128,4,4,8856.146799999997,0.0,662.7723,2.4254,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5799444263391573,0.0,260.0,0.0,0.0,1.0,0,0,0,0.2585508768535537,0,60.39113175777516,0.7624106493632427,61.15354240713841,6.560174732435808,0.6442210217669352,7.204395754202743,767.3392999999994,778.761,767.3392999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-22.001599999999993,0.0,0,640.0,118.64629999999993,2.4254,0.0,0.0,0.0,0.0,0.0,0.0,0,147.2687,640.0,118.64629999999993,0.0,76.0,0.0,0.0,0.015,5.628314869888474,5.636860447761189,NaN,1.711523484848484,3.316147037037036,3.3662373807439994,268.0,269.0,134.0,509.33333333333337,270.0,0.0,59,0,0,1,13,9.0,512.0,4973.9269,812.866,2922.0852,190,2,0,32,0.3363403789858175,0.6570937716392307,0.560330883162808,13,1721.8633999999997,1514.0166999999994,13,0,0.0,0,0,0,0.0,0,0.0,24627.579499999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,59,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6466463342757436,96,3160.0066,32,21467.5729,4,354.09360000000004,4,2942.5009,2,283.12479999999994,0.0,15.958340012880004,100.78725,0,0,134,134,1 + planning margin,sumsy,2,3.637978807091713e-12
7,128,4,4,9360.727100000004,0.0,800.8637,176.9198,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,3,0.984375,0.6296943066726004,0.0,258.0,1.0,0.0,1.0,0,0,0,0.2629108692031673,0,89.55188257221288,0.28659281733052333,89.8384753895434,9.281939289248063,0.2566166364459013,9.538555925693965,742.7185999999997,767.3392999999983,742.7185999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-28.605099999999993,0.0,0,640.0,135.41970000000006,176.9198,0.0,0.0,0.0,0.0,0.0,0.0,0,159.458,640.0,135.41970000000006,0.0,76.0,0.0,0.0,0.015,5.600887159533073,5.535746969696968,NaN,1.8952038759689924,3.3052736842105506,3.2652502593216792,264.0,257.0,132.0,510.66666666666663,266.0,0.0,61,0,0,3,6,7.0,512.0,5415.890400000001,817.5616,2967.8171,189,3,0,32,0.435494584717778,0.6929678567066693,0.560846545834145,44,1708.7712,1439.4279999999999,7,1,0.0,0,0,0,0.0,0,0.0,34352.43029999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6811005095599276,96,3100.5695999999994,32,31251.86069999999,4,484.01689999999996,4,3155.0169,2,287.24699999999996,0.0,16.915840413652806,150.6145,0,0,132,132,1 + planning margin,sumsy,2,3.637978807091713e-12
8,128,4,4,9849.881900000004,0.0,963.2362,209.39440000000002,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10,10,0.9791666666666666,0.6404746775683221,0.0,254.0,0.0,0.0,1.0,0,0,0,0.2627410468319559,0,92.39149164967452,-0.30539255336681825,92.0860990963077,11.748890785356833,0.02279721261073576,11.771687997967568,738.3657000000001,742.7186,738.3657000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-36.4586,0.0,0,640.0,150.84520000000006,209.39440000000002,0.0,0.0,0.0,0.0,0.0,0.0,2,166.2681,640.0,150.84520000000006,0.0,76.0,0.0,0.0,0.015,5.529112121212122,5.6307418604651165,NaN,1.9876992,3.2822616666666544,3.167292751542029,258.0,264.0,129.0,508.00000000000006,260.00000000000006,0.0,61,0,0,1,9,7.0,512.0,5847.298699999997,793.3166,3042.9984999999997,188,4,0,32,0.515745740715922,0.706030786585162,0.6011071565953963,48,1672.6905999999997,1459.6856,12,3,0.0,0,0,0,0.0,0,0.0,34563.166900000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6916136276600962,96,2858.7497999999996,32,31704.417100000006,4,494.7319,4,3423.9771,2,285.99,0.0,17.930790838471975,150.6145,0,0,129,129,1 + planning margin,sumsy,2,3.637978807091713e-12
9,128,4,4,10328.289699999994,0.0,1398.0389,490.64689999999996,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35,33,0.96875,0.6543887647183289,0.0,254.0,0.0,0.0,1.0,0,0,0,0.26766628219915417,0,95.40326171819251,-0.8188941719841799,94.58436754620833,14.248189715542958,0.0,14.248189715542958,766.5705999999996,738.3657000000006,766.5705999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-45.606600000000014,0.0,0,640.0,161.59220000000002,490.64689999999996,0.0,0.0,0.0,0.0,0.0,0.0,8,170.433,640.0,161.59220000000002,0.0,76.0,0.0,0.0,0.015,5.4814549019607846,5.673463157894734,NaN,1.985329133858267,3.2359100746268457,3.072273968995767,266.0,255.0,133.0,510.66666666666663,268.0,0.0,61,2,2,1,7,4.0,510.0,6653.5932,693.7083,2810.5552,186,6,0,32,0.5390489807541137,0.7151069908635523,0.5726757141654613,49,1672.7623,1397.771,10,3,0.0,0,0,2,0.0,0,0.0,34904.244399999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6996526294935614,96,2728.9164000000005,32,32175.327999999998,4,428.07589999999993,4,3631.9869,2,281.9665,0.0,19.006638288780294,150.6145,0,0,133,133,1 + planning margin,sumsy,2,3.637978807091713e-12
10,128,4,4,10797.9723,0.0,1532.4966000000002,207.00919999999994,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42,33,0.96875,0.6570717807595745,0.0,243.0,0.0,0.0,1.0,0,0,0,0.282912,0,97.54990269397597,-1.105550812961934,96.44435188101403,14.526466176395243,0.0,14.526466176395243,739.9048000000009,766.5706000000005,739.9048000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-57.53750000000003,0.0,0,640.0,170.31739999999996,207.00919999999994,0.0,0.0,0.0,0.0,0.0,0.0,41,174.5235,640.0,170.31739999999996,0.0,76.0,0.0,0.0,0.015,5.400725999999998,5.642672868217062,NaN,1.9784593495934952,3.1915353846153933,2.9801057499258943,258.0,250.0,129.0,508.6666666666667,260.0,0.0,62,7,6,1,7,4.0,505.0,7027.506799999998,752.0809999999999,2843.8610000000003,186,6,0,32,0.5280579310947799,0.720743750101503,0.5565726837492941,47,1619.7805,1350.1814999999995,13,6,0.0,0,0,7,0.0,0,0.0,35103.66709999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7032374741176688,96,2672.623500000001,32,32431.043599999997,4,557.7759,4,3776.6447,2,277.8686,0.0,20.147036586107113,150.6145,0,0,129,129,1 + planning margin,sumsy,2,3.637978807091713e-12
