round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6088.342499999982,0.0,186.2,186.2,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,22.8365,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6191333590889809,0.0,168.0,1.0,0.0,1.0,0,0,0,1.0,0,85.39436923076923,3.060192307692308,88.45456153846155,2.0056907692307684,2.9853461538461543,4.991036923076923,219.99999999999986,0.0,219.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,46.45750000000019,186.2,23.09800000000009,0.0,0.0,0.0,0.0,0.0,0,48.849199999999996,640.0,46.45750000000019,23.09800000000009,76.0,0.0,0.0,0.0,5.0,5.199999999999997,NaN,0.75,3.471353383458646,3.920000000000001,80.0,15.0,40.0,512.0,133.0,51.0,94,0,0,0,12,3.0,512.0,4797.366799999989,271.794,947.4959999999999,191,1,0,32,0.08330282093501817,0.644785319771952,0.7450318521611601,0,1110.8912,75.0,12,0,0.0,0,0,0,0.0,0,0.0,31701.066800000095,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,94,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6480039393059678,96,3582.868799999994,32,28118.197999999997,4,365.944,4,983.2959999999998,2,54.6492,-117.4135,11.925,140.1,0,0,40,40,2 + government,sumsy,6,7.275957614183426e-12
2,128,4,4,6668.815899999998,0.0,569.321,385.4185,257.6635,,257.6635,0.0,0.0,0.0,0.0,0.0,0.0025,29.2018,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6114504967935501,0.0,241.0,0.0,0.0,1.0,0,0,0,0.2544647050141556,0,86.71291846153845,2.6278292307692306,89.34074769230767,2.1141453846153846,2.5525369230769233,4.666682307692308,638.9672999999998,219.99999999999983,638.9672999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.4595,0.0,0,640.0,59.52659999999995,385.4185,29.578100000000067,0.0,0.0,0.0,0.0,0.0,3,11.8628,640.0,59.52659999999995,29.578100000000067,76.0,0.0,0.0,0.015,4.894000000000005,5.499713157894735,NaN,1.125116814159292,3.4466320284697427,3.8023999999999996,228.0,273.0,114.0,512.0,281.0,51.0,57,0,0,3,13,10.0,512.0,4814.763800000003,199.97719999999998,1613.0103,191,1,0,32,0.09917195243565202,0.6428110646352141,0.4529912256679147,0,1714.117200000002,1336.0620000000013,13,0,0.0,0,0,0,0.0,0,0.0,32003.667600000033,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,57,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6491641648631967,96,3749.695300000002,32,28253.97229999999,4,28.41969999999999,4,1648.8102999999999,2,115.58,-228.4617,12.640500000000001,140.1,0,0,114,114,2 + government,sumsy,6,7.275957614183426e-12
3,128,4,4,7238.565100000003,0.0,1063.5970000000002,509.97389999999996,365.7384000000001,,365.7384000000001,0.0,0.0,0.0,0.0,0.0,0.0025,34.4014,0.0,0.0,1.0,137.2767,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6051805388882909,0.0,259.0,0.0,0.0,1.0,0,0,0,0.26147842056932963,0,88.97352488133026,3.10173210524661,92.07525698657686,2.0955133444406,2.9110386344346266,5.006551978875226,734.9588999999997,638.9673,734.9588999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.576225000000001,0.0,0,640.0,70.25079999999998,509.97389999999996,34.88509999999998,0.0,0.0,0.0,0.0,0.0,10,16.4756,640.0,70.25079999999998,34.88509999999998,76.0,0.0,0.0,0.013481043982061057,4.811376515151509,5.476961363636362,NaN,1.3358702290076345,3.2452819137749906,3.6883279999999994,264.0,264.0,132.0,508.0,317.0,51.0,48,0,0,1,12,7.0,512.0,4858.4405000000015,595.9547,1733.2929,191,1,0,32,0.09293737411083836,0.6381897673201002,0.39994089788240617,0,1822.3518000000001,1270.2033999999985,12,0,0.0,0,0,0,0.0,0,0.0,32477.90749999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6434864317285882,96,3981.4028000000003,32,28496.50469999999,4,38.19609999999997,4,1769.0928999999999,2,183.9056,-331.3370000000001,13.398930000000002,140.1,0,0,132,132,2 + government,sumsy,6,7.275957614183426e-12
4,128,4,4,7795.3403,0.0,1138.7989000000002,110.9949,466.2958000000001,,466.2958000000001,0.0,0.0,0.0,0.0,0.0,0.0025,40.7853,0.0,0.0,1.0,134.95880000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5991825906305557,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2542628640410442,0,91.41343729794661,3.1311221736371007,94.54455947158371,3.13017729770984,2.357283977571566,5.487461275281406,733.5008999999994,734.9589000000001,733.5008999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.555050000000003,0.0,0,640.0,83.22479999999999,110.9949,41.33619999999998,0.0,0.0,0.0,0.0,0.0,15,9.109,640.0,83.22479999999999,41.33619999999998,76.0,0.0,0.0,0.01188463389989174,5.227968794326238,5.384335074626861,NaN,1.421758646616541,3.059911561526467,3.5776781599999987,268.0,282.0,134.0,510.6666666666667,321.0,51.0,47,0,0,1,20,14.0,512.0,5082.828000000002,673.3204000000001,1989.2976,191,1,0,32,0.11170099505875397,0.6382140354408821,0.3954385650116632,1,1783.738400000001,1474.287199999999,20,0,0.0,0,0,0,0.0,0,0.0,32701.522800000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6378046666365755,96,3961.360800000001,32,28740.162,4,140.91729999999987,4,2025.0976,2,252.5131,-425.5105000000001,14.202865800000003,140.1,0,0,134,134,2 + government,sumsy,6,7.275957614183426e-12
5,128,4,4,8340.350999999997,0.0,1208.3431,105.8589,572.1547000000002,,572.1547000000002,0.0,0.0,0.0,0.0,0.0,0.0025,46.5562,0.0,0.0,1.0,146.64419999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5964474067675138,0.0,264.0,0.0,0.0,1.0,0,0,0,0.2515857989801136,0,85.48594004771104,2.6799443408730266,88.16588438858406,3.886571959864873,1.976144748250076,5.862716708114949,765.103500000001,733.5008999999997,765.103500000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-17.279849999999996,0.0,0,640.0,94.98929999999997,105.8589,47.182000000000016,0.0,0.0,0.0,0.0,0.0,18,85.76750000000001,640.0,94.98929999999997,47.182000000000016,76.0,0.0,0.0,0.015,5.48372416356877,5.497105839416065,NaN,1.5590705882352935,3.0475063955581563,3.4703478152,274.0,269.0,137.0,510.66666666666663,327.0,51.0,45,0,0,1,17,11.0,512.0,5258.5770999999995,708.1822,2241.268,191,1,0,32,0.14685374160554732,0.6408495246866761,0.3827116885271151,2,1816.7859999999996,1475.121799999999,17,0,0.0,0,0,0,0.0,0,0.0,32955.6641,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6373808761896076,96,3985.6766,32,28969.987500000003,4,212.09380000000002,4,2277.068,2,320.32359999999994,-525.5985000000002,15.055037748000004,140.1,0,0,137,137,2 + government,sumsy,6,7.275957614183426e-12
6,128,4,4,8872.637100000002,0.0,1279.2907,107.26230000000001,679.4170000000001,,679.4170000000001,0.0,0.0,0.0,0.0,0.0,0.0025,52.8378,0.0,0.0,1.0,153.81849999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5951401129872227,0.0,263.0,0.0,0.0,1.0,0,0,0,0.255667363898468,0,82.9205372631707,2.1413963526996174,85.06193361587032,4.95225632841354,1.547042410067688,6.499298738481229,761.5282000000007,765.1035000000004,761.5282000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-23.641349999999996,0.0,0,640.0,107.71390000000001,107.2623,53.5174,0.0,0.0,0.0,0.0,0.0,21,95.0956,640.0,107.71390000000001,53.5174,76.0,0.0,0.0,0.015,5.485220300751877,5.511236764705887,NaN,1.7463925925925934,3.1508069624249178,3.3662373807439994,272.0,266.0,136.0,510.66666666666663,325.0,51.0,46,0,0,1,15,7.0,512.0,5523.592700000001,750.9986,2450.1124,191,1,0,32,0.19344088695999417,0.644182772496972,0.41835004164532363,3,1860.7040999999988,1459.0685999999992,15,0,0.0,0,0,0,0.0,0,0.0,33266.543999999965,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6389931131605904,96,4001.8699999999994,32,29264.67399999999,4,291.22490000000005,4,2485.9124,2,354.735,-626.5792000000001,15.958340012880004,140.1,0,0,136,136,2 + government,sumsy,6,7.275957614183426e-12
7,128,4,4,9392.013199999998,0.0,1348.8181,105.84209999999999,780.4398000000001,,780.4398000000001,0.0,0.0,0.0,0.0,0.0,0.0025,59.2085,0.0,0.0,1.0,153.86059999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0.9947916666666666,0.595429933994174,0.0,262.0,0.0,0.0,1.0,0,0,0,0.2556454534476512,0,84.4635573100433,1.663625068759619,86.12718237880291,6.690505420322994,1.0412252720674005,7.7317306923903955,761.8712999999998,761.5282000000002,761.8712999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-29.63985,0.0,0,640.0,120.62390000000005,105.8421,59.94399999999999,0.0,0.0,0.0,0.0,0.0,23,100.65090000000001,640.0,120.62390000000005,59.94399999999999,76.0,0.0,0.0,0.015,5.446550183150184,5.554602222222221,NaN,1.912847761194031,3.1336109270467296,3.2652502593216792,270.0,273.0,135.0,510.6666666666667,323.00000000000006,51.0,45,0,0,2,16,10.0,512.0,5765.849800000001,778.2917,2688.0123000000003,191,1,0,32,0.24907583982676673,0.6494364981609757,0.4290132619110647,5,1862.1350999999977,1486.9082000000003,16,0,0.0,0,0,0,0.0,0,0.0,33547.7923,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6423737557602638,96,3980.8637000000003,32,29566.9286,4,354.8327,4,2728.6315999999997,2,381.1879,-721.2313000000001,16.915840413652806,140.1,0,0,135,135,2 + government,sumsy,6,7.275957614183426e-12
8,128,4,4,9898.129600000004,0.0,1419.3074000000001,106.804,874.0069000000001,,874.0069000000001,0.0,0.0,0.0,0.0,0.0,0.0025,65.7614,0.0,0.0,1.0,152.7756,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2,0.9947916666666666,0.5964484563579451,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2567717319642582,0,86.5241136271896,1.0925885673372437,87.61670219452685,8.161144077354605,0.5610304993946498,8.722174576749255,757.4543999999999,761.8712999999997,757.4543999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-35.27545000000001,0.0,0,640.0,133.88360000000003,106.804,66.54829999999998,0.0,0.0,0.0,0.0,0.0,26,132.251,640.0,133.88360000000003,66.54829999999998,76.0,0.0,0.0,0.015,5.420165917602997,5.521884444444443,NaN,1.9505485074626872,3.097656138196183,3.167292751542029,270.0,267.0,135.0,509.3333333333333,323.0,51.0,46,0,0,2,13,10.0,512.0,6015.718699999996,806.2499,2878.1486,191,1,0,32,0.2997267746713703,0.6545462907412849,0.4472240644793559,10,1847.5134000000003,1447.1843000000001,13,0,0.0,0,0,0,0.0,0,0.0,33850.524700000016,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6455055399523708,96,4028.0330000000013,32,29822.491700000002,4,419.1055999999999,4,2932.0048,2,403.94000000000005,-808.2455000000001,17.930790838471975,140.1,0,0,135,135,2 + government,sumsy,6,7.275957614183426e-12
9,128,4,4,10392.339099999997,0.0,1647.9611000000004,264.9685,960.2816000000001,,960.2816000000001,0.0,0.0,0.0,0.0,0.0,0.0025,71.697,0.0,0.0,1.0,152.0361,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.9895833333333334,0.6208965531394441,0.0,259.0,1.0,0.0,1.0,0,0,0,0.2566714113956413,0,107.52370889882775,0.7777607497219574,108.30146964854971,9.940954556747513,0.36095261780995097,10.301907174557464,745.0685,757.4543999999997,745.0685,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-40.54757500000001,0.0,0,640.0,145.7905,264.9685,72.49599999999998,0.0,0.0,0.0,0.0,0.0,30,150.57209999999998,640.0,145.7905,72.49599999999998,76.0,0.0,0.0,0.015,5.362490706319702,5.511793233082707,NaN,1.943287786259542,3.095027128491439,3.072273968995767,266.0,269.0,133.0,509.33333333333337,319.0,51.0,47,1,1,1,12,14.0,511.0,6445.327900000001,799.2207000000001,2925.5213999999996,190,2,0,32,0.34302497009597466,0.6730135340072863,0.4245394782189138,14,1816.7967,1442.5099999999998,13,1,0.0,0,0,1,0.0,0,0.0,40792.5075,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6651924584906757,96,4058.5062000000003,32,36734.001299999996,4,498.531,4,3145.8961,2,413.4131,-888.5846000000001,19.006638288780294,174.84075,0,0,133,133,2 + government,sumsy,6,7.275957614183426e-12
10,128,4,4,10875.396600000004,0.0,1702.7335000000003,99.7641,1039.0027,,1039.0027,0.0,0.0,0.0,0.0,0.0,0.0025,77.2282,0.0,0.0,1.0,150.4181,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,3,0.9895833333333334,0.6185655578529963,0.0,257.0,0.0,0.0,1.0,0,0,0,0.2678182609957904,0,110.15065817701307,0.44767658723069786,110.59833476424377,10.940726151478486,0.2629841387581369,11.203710290236623,730.4749000000011,745.0684999999996,730.4749000000011,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.19229999999999,0.0,0,640.0,156.94249999999997,99.7641,78.05679999999997,0.0,0.0,0.0,0.0,0.0,32,160.4742,640.0,156.94249999999997,78.05679999999997,76.0,0.0,0.0,0.015,5.299498795180724,5.402066917293241,NaN,1.9379625954198483,3.0731600762140077,2.9801057499258943,266.0,249.0,133.0,509.6666666666667,319.0,51.0,46,2,1,2,6,5.0,510.0,6779.565100000001,830.8245999999999,3027.3044999999997,190,2,0,32,0.3520115267745936,0.6726831793669086,0.46741708030123497,15,1800.9553999999998,1319.5752000000002,7,1,0.0,0,0,2,0.0,0,0.0,41167.806599999974,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6640360688676601,96,4187.934499999999,32,36979.87209999999,4,574.4217,4,3249.8995999999997,2,414.4672,-961.7745,20.147036586107113,174.84075,0,0,133,133,2 + government,sumsy,6,7.275957614183426e-12
