round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6460.590400000001,0.0,6491.122,0.0,949.0739999999996,,0.0,485.398,463.6759999999996,0.0,463.6759999999996,0.0,0.00375,0.0,0.0,0.0,1.0,975.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5568276168065782,0.0,128.0,0.0,0.0,1.0,0,0,0,1.0,0,7.296715384615385,3.789,11.085715384615385,1.0974769230769232,2.9871384615384615,4.084615384615384,299.0280000000007,0.0,299.0280000000007,0.0,0,0,0.0,0.0,8.912,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.5316,30.531599999999997,0.0,0,486.57400000000007,132.30360000000002,486.57400000000007,25.926299999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,5.0,5.199999999999997,NaN,0.75,3.73124324324325,3.920000000000001,80.0,11.0,40.0,512.0,185.0,51.0,81,0,0,0,7,4.0,512.0,4758.5779999999995,356.198,937.4480000000001,192,0,0,32,0.05778313986342143,0.23134068543771202,0.07108856548650921,0,1415.5739999999994,55.0,7,0,0.0,0,0,0,0.0,0,0.0,7360.574000000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,52.0,408.3664,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9774578953641604,96,3895.1139999999996,32,3465.46,4,-1705.2620000000002,4,-1627.4319999999998,2,29.355600000000255,-485.398,11.925,11.25,0,0,40,40,5 + government bonds,debt,8,1.2732925824820995e-11
2,128,4,4,6439.303700000002,0.0,6488.427699999999,0.0,1431.3916000000008,,0.0,461.1281,970.2635000000007,0.0,506.58749999999975,1.7382099999999994,0.00375,0.0,0.0,0.0,1.0,595.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5084811203777644,0.0,205.0,0.0,0.0,1.0,0,0,0,0.25342319782620276,0,8.139674615384616,3.5821784615384606,11.721853076923077,1.4361153846153845,2.868924615384615,4.30504,863.6957000000057,299.02800000000104,863.6957000000057,0.0,0,0,0.0,0.0,79.6923,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,49.123999999999995,62.984199999999994,0.0,0,137.2666,158.55330000000004,123.40640000000002,116.84849999999942,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0032791036424060513,4.894000000000005,5.5156756756756735,NaN,1.1246306306306306,3.5172672566371563,3.8023999999999996,222.0,274.0,111.0,512.0,339.0,51.0,43,0,0,1,15,8.0,512.0,4468.960000000002,162.75289999999998,1653.6293999999998,192,0,0,32,0.08735033080962928,0.23631938270545727,0.09493234174640852,0,1556.268000000003,1340.9560000000013,15,0,0.0,0,0,0,0.0,0,0.0,7577.543500000012,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,64.0,153.9614,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.685409845428321,96,4002.505000000002,32,3575.0385,4,-1987.1734999999999,4,-867.4105999999997,2,48.006800000000254,-461.1281,12.640500000000001,11.25,0,0,111,111,5 + government bonds,debt,8,1.2732925824820995e-11
3,128,4,4,6817.2727,0.0,6875.1624,0.0,1659.3027000000006,,0.0,436.8582,1222.4445000000007,0.0,252.18100000000004,3.637120374999995,0.00375,0.0,0.0,0.0,1.0,500.6537000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5281840538893048,0.0,258.0,0.0,0.0,1.0,0,0,0,0.25009328229294786,0,9.14913551916003,3.427790701329726,12.576926220489755,1.9245198201879834,2.4779942472729535,4.402514067460936,1009.9695000000077,863.6957000000064,1009.9695000000077,0.0,0,0,0.0,0.0,82.0076,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.88970000000001,91.85219999999997,0.0,0,527.6118000000001,149.6428,507.5095,278.6868,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,339.15200000000004,0.0,0.008441680741805449,5.561948327137548,5.435234074074076,1.7836,1.3399659259259258,3.4823013440860415,3.6883279999999994,270.0,269.0,135.0,510.6666666666667,372.0,51.0,34,0,0,0,13,8.0,512.0,4287.877799999999,560.6177,1967.1053000000002,192,0,0,32,0.09284519306671957,0.2583238029586308,0.11160805138282481,0,1594.0268000000008,1496.1641000000004,13,0,17.0,0,0,0,0.0,0,0.0,7648.642299999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,30.3212,49.0,1.6719,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5994149610832662,96,3923.517999999998,32,3725.1242999999995,4,-2044.7911999999997,4,-510.09470000000005,2,56.83129999999972,-436.8582,13.398930000000002,11.25,0,0,135,135,5 + government bonds,debt,8,1.2732925824820995e-11
4,128,4,4,6764.643200000001,0.0,6826.360400000001,0.0,2021.0645000000004,,0.0,412.5883,1608.4762000000005,0.0,386.03170000000006,4.582492374999994,0.00375,0.0,0.0,0.0,1.0,529.6512799256506,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5272344136684413,0.0,123.0,0.0,0.0,1.0,0,0,0,0.2560072459907294,0,8.942937064600988,2.7801526506761776,11.723089715277167,1.9538241982125635,1.7496988542489826,3.703523052461546,1036.7849999999971,877.1062000000047,1169.6482999999967,0.0,0,0,0.0,0.0,88.8074,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.71720000000001,120.92309999999999,0.0,7,110.5499,163.1794,294.4225,174.6579999999998,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,346.1074,76.25260000000002,0.00878599046427706,5.720522262773725,5.62839776119403,1.7086,1.4266985074626866,3.5104184847065287,3.5776781599999987,268.0,274.0,134.0,512.0,373.0,51.0,34,0,0,1,15,12.0,512.0,3882.5546999999997,653.4272,2228.6612999999998,192,0,0,32,0.09508005068318814,0.28324273823134183,0.1433349260006267,0,1545.3373999999992,1567.4231000000007,15,0,1.0,0,0,0,0.0,0,0.0,7629.350899999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.7086,52.0,0.0,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4204529736728184,96,3780.409600000001,32,3848.9412999999995,4,-1886.0419000000002,4,-204.69870000000003,2,60.71760000000005,-412.5883,14.202865800000003,11.25,0,0,134,134,5 + government bonds,debt,8,1.2732925824820995e-11
5,128,4,4,6786.199199999998,0.0,6848.6613,0.0,2458.5756000000006,,0.0,544.7278,1913.8478000000007,0.0,305.3715999999999,6.029657374999993,0.00375,0.0,0.0,0.0,1.0,670.126155048436,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5136654926625899,0.0,99.0,0.0,0.0,1.0,0,0,0,0.25434971877116125,0,9.312790096737068,2.681020675567137,11.993810772304204,1.323444924445637,1.697484871825609,3.020929796271246,1033.029100000007,962.4680999999962,1240.2093000000075,0.0,0,0,0.0,0.0,85.1743,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.462100000000014,149.2554,0.0,17,183.9968,162.44080000000002,555.6318,240.7082000000004,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,481.3468999999996,116.35600000000004,0.009831790616885161,5.7695747211895885,5.702950370370368,NaN,1.5517911111111107,3.5405876399748926,3.4703478151999994,270.0,269.0,135.0,510.66666666666663,337.0,51.0,43,0,0,1,18,8.0,512.0,3664.6299000000026,673.7071,2447.8622,192,0,0,32,0.07027207342445374,0.30189534114892624,0.12490073773337707,0,1633.511900000002,1552.0155999999993,18,0,0.0,0,0,0,0.0,0,0.0,7716.797699999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,14.0,0.0,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2533136892434351,96,3700.863400000001,32,4015.934299999999,4,-1799.8222,4,58.3422000000001,2,61.52129999999974,-544.7278,15.055037748000004,11.25,0,0,135,135,5 + government bonds,debt,8,1.2732925824820995e-11
6,128,4,4,7570.2886,0.0,6957.685799999999,0.0,3590.6196000000004,,0.0,1441.2758,2149.3438000000006,0.0,235.49599999999995,7.174372124999991,0.00375,0.0,0.0,0.0,1.0,696.5030305538224,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.43831430445897834,0.0,101.0,0.0,0.0,1.0,0,0,0,0.2522704081632653,0,10.146920390788305,2.5571048829862084,12.704025273774514,1.3733834544922405,1.509260687050589,2.8826441415428294,1048.1229999999996,967.2549000000022,1291.1294999999982,0.0,1,0,29.947899999999997,655.7846,87.63,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,65.08210000000001,177.6320000000001,687.8653,27,954.3950000000001,170.30559999999997,1319.5154,230.1421999999996,0.0,0.0,0.0,0.0,0.0,3,653.3092,0.0,0.0,0.0,0.0,506.10520000000014,29.066300000000005,0.009217053159607767,5.7549060714285725,5.697219708029197,NaN,1.673626277372263,3.603366866058354,3.3662373807439994,274.0,280.0,137.0,510.6666666666667,330.0,51.0,44,0,0,1,18,15.0,512.0,3527.868000000001,690.3639000000001,2698.7475,192,0,0,32,0.08563090636469406,0.3190596156073475,0.12517209902310733,0,1703.012099999999,1611.3737000000003,18,0,0.0,0,0,0,0.0,0,0.0,7815.5318000000025,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,2.0,0.0,1,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9092791625620171,96,3637.2229000000016,32,4178.3089,4,-1717.2256,4,353.0674999999998,2,39.82439999999988,-1441.2758,15.958340012880004,11.25,0,1,137,137,5 + government bonds,debt,8,1.2732925824820995e-11
7,128,4,4,9024.420300000003,0.0,7693.650199999999,0.0,4805.5401,,0.0,2528.2999,2277.2402,0.0,127.89639999999999,8.057060249999992,0.00375,0.0,0.0,0.0,1.0,707.2700375957768,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1.0,0.38628324648280943,0.0,102.0,0.0,0.0,1.0,1,0,0,0.2560635649438738,4,11.044589804625415,2.1767200151121884,13.221309819737604,1.6392027211603077,1.5945832667254891,3.233785987885797,1022.6804000000001,981.1765999999997,1313.1148000000012,23.8129,2,0,49.466400000000014,1381.7666000000002,72.5859,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,87.49330000000003,209.87480000000005,1439.5894,34,1674.7354,220.60369999999995,1573.3355999999999,233.59679999999986,0.0,0.0,0.0,0.0,0.0,0,1359.3818999999999,0.0,0.0,0.0,0.0,517.3562999999998,8.7645,0.008098220815645206,5.731753667953668,5.639371323529409,NaN,1.8869786764705883,3.6094617897067405,3.2652502593216792,272.0,259.0,136.0,510.6666666666667,327.99999999999994,51.0,45,0,0,0,10,8.0,512.0,3619.857599999998,701.3817999999999,2807.8271999999997,192,0,0,32,0.09444281471873373,0.32703103401347455,0.13623807072562144,0,1759.1991000000012,1484.5242,10,0,0.0,0,0,0,0.0,0,0.0,7536.060400000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,535.9718,1,0.0,0.0,NaN,1280.0,100.0,0.41872796875,0,0,0.0,0,0.0,1280.0,0,0.41872796875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,1,0.0,0,0.0,562.1252,499.3574,26.15343110510321,0.0,26.15343110510321,0.0,0.0,123.50489999999999,535.9718,0.7056786246609923,96,3667.6377000000007,32,3868.422700000001,4,-1640.2679,4,505.9872,2,27.788599999999747,-2528.2999,16.915840413652806,11.25,0,2,136,136,5 + government bonds,debt,8,1.2732925824820995e-11
8,128,3,4,8421.443100000002,0.0,6736.113700000001,0.0,5433.3009999999995,,0.0,2823.1645,2610.1364999999996,0.0,332.8963,8.53630187499999,0.00375,0.0,0.0,0.0,1.0,717.160168301193,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6698082687590929,0.0,105.0,1.0,0.0,1.0,1,0,0,0.25032439446366783,8,97.36049209727106,2.464518924390309,99.82501102166137,1.762913943429459,1.3796274357700706,3.142541379199529,1013.0254000000001,1065.7572999999995,939.9835000000006,33.25360000000001,4,1,182.45639999999992,1604.3517000000002,72.4716,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.81140000000002,245.1929000000001,1811.536,41,431.66429999999997,1034.6415,1011.3392999999999,333.16419999999954,0.0,0.0,0.0,0.0,0.0,0,1541.9810000000002,0.0,0.0,0.0,0.0,528.0113000000001,151.1148,0.00974722424734726,5.66117830882353,5.702881203007521,1.7566999999999997,2.0072196969696963,3.6355613303779966,15.269834441084688,266.0,272.0,133.0,512.0,324.0,51.0,46,0,0,1,12,13.0,512.0,3473.023799999999,346.0931,3006.2032,191,0,1,32,0.10859724699770279,0.668625669032928,0.1527826246306454,1,1612.1035000000002,1539.8405,12,0,3.0,0,0,0,0.0,0,0.0,38997.7349,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,5.270099999999999,5.0,54.142,1,0.0,0.0,NaN,1280.0,100.0,0.042298359375,0,0,0.0,0,0.0,1280.0,0,0.042298359375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,1,0.0,0,0.0,562.1252,491.0348,0.0,0.0,0.0,0.0,0.0,123.9581,54.142,0.7147286282560741,96,3564.6539999999995,32,35433.08089999999,3,-795.3768,4,748.2032000000003,2,31.482999999999606,-2823.1645,17.930790838471975,175.5958,0,3,100,133,5 + government bonds,debt,8,1.2732925824820995e-11
9,128,1,4,10024.450499999999,0.0,7621.085390838472,0.0,7498.9035,,0.0,4669.0564,2829.8470999999995,0.0,219.71060000000003,9.784230124999995,0.00375,0.0,0.0,0.0,1.0,712.1837868695078,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5919912612879492,1.0,159.0,1.0,0.0,1.0,1,0,0,0.2505325443786982,8,57.833621569509475,2.6001810327358323,60.43380260224531,1.771829424990645,1.5045114687577656,3.2763408937484106,1042.827600000001,704.6767999999993,441.64359999999994,0.0,6,1,489.96480000000037,3104.1262,52.4959,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,152.88350000000003,275.2650000000001,2577.5746000000004,47,2219.115,616.1075999999999,2403.5622,170.2599,0.0,0.0,0.0,0.0,0.0,0,2984.1364000000003,0.0,0.0,0.0,0.0,525.3648000000002,63.0504,0.013228375706483275,5.6427626923076915,6.0780533834586405,NaN,2.030470454545454,3.6708667207546597,18.724894554137606,266.0,260.0,133.0,510.6666666666667,324.0,51.0,46,0,0,2,12,7.0,512.0,3483.6954999999984,195.6425,3324.1508,191,1,0,32,0.11081197866066383,0.6186366555422236,0.16661147780723717,0,1701.0906000000002,1467.1182999999999,13,1,0.0,0,0,0,0.0,0,0.0,24179.43142507407,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,5.0,36.8253,1,0.0,0.0,NaN,1280.0,100.0,0.028769687499999995,0,0,0.0,0,0.0,1280.0,0,0.028769687499999995,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,1,0.0,0,0.0,562.1252,482.71220000000005,17.708119955669957,0.0,17.708119955669957,0.0,0.0,144.4552,36.8253,0.6155932498602645,96,3582.2945999999993,32,20597.136825074067,1,59.63470458076404,4,1109.9907999999998,2,580.065690838472,-4669.0564,19.006638288780294,96.76329541923599,0,5,45,133,5 + government bonds,debt,8,1.2732925824820995e-11
10,128,1,4,10465.777200000004,0.0,8103.743300000001,0.0,8031.511699999999,,0.0,4735.1439,3296.3677999999995,0.0,466.5206999999999,10.607637249999994,0.00375,0.0,0.0,0.0,1.0,699.7033950653291,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5823519071351744,0.0,255.0,0.0,0.0,1.0,1,0,0,0.25009468501451837,8,59.17025602298334,2.6260554448813025,61.79631146786464,1.6076658576203435,1.5365413954689273,3.144207253089271,1103.2873999999988,441.6436000000002,1103.2873999999988,0.0,6,1,489.96480000000037,3104.1262,75.8833,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,195.1112,317.6496000000003,2577.5746000000004,47,805.1143,363.78759999999994,324.684,201.0512999999998,0.0,0.0,0.0,0.0,0.0,0,2912.6285,0.0,0.0,0.0,0.0,513.4911000000002,0.0,0.012645236528344166,5.684776029962543,6.288498507462678,NaN,2.097790977443609,3.7044155010585778,18.16314771751348,268.0,267.0,134.0,509.33333333333337,327.0,51.0,45,0,0,0,13,5.0,512.0,3452.5834999999997,264.3808,3819.8194,191,1,0,32,0.10532349475581126,0.6211273640417312,0.14663889066567593,0,1780.2894999999992,1517.835199999999,13,0,0.0,0,0,0,0.0,0,0.0,24447.51932507407,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,6.0,16.365,1,0.0,0.0,NaN,1280.0,100.0,0.012785078124999998,0,0,0.0,0,0.0,1280.0,0,0.012785078124999998,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,1,0.0,0,0.0,562.1252,474.3896,49.71060097358388,0.0,49.71060097358388,0.0,0.0,119.2621,16.365,0.6378240345190589,96,3580.2487000000006,32,20867.270625074078,1,-340.418804580764,4,1825.1428,2,549.9477999999991,-4735.1439,20.147036586107113,96.76329541923599,0,5,134,134,5 + government bonds,debt,8,1.2732925824820995e-11
