round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6457.2627999999995,0.0,6487.794399999999,0.0,949.0739999999996,,0.0,482.07,467.0039999999996,0.0,467.0039999999996,0.0,0.00375,0.0,0.0,0.0,1.0,975.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5600296643593492,0.0,128.0,0.0,0.0,1.0,0,0,0,1.0,0,7.395523076923077,3.7768,11.172323076923076,1.123076923076923,2.9615384615384617,4.084615384615384,299.15600000000063,0.0,299.15600000000063,0.0,0,0,0.0,0.0,9.04,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,483.246,132.3032,483.246,25.926299999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,5.0,5.199999999999997,NaN,0.75,3.73124324324325,3.9200000000000013,80.0,11.0,40.0,512.0,185.0,51.0,81,0,0,0,7,4.0,512.0,4755.25,361.7448,942.9947999999999,192,0,0,32,0.05846621825876652,0.2326710143461641,0.07465968751898511,0,1415.5739999999996,55.0,7,0,0.0,0,0,0,0.0,0,0.0,7360.574000000009,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,52.0,397.2732,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.984811290263529,96,3885.5439999999994,32,3475.0299999999997,4,-1447.982,4,-1370.1519999999998,2,29.355600000000255,-482.07,11.925,11.25,0,0,40,40,7 + two more theatres,debt,8,1.0913936421275139e-11
2,128,4,4,6430.740399999998,0.0,6479.848,0.0,1431.2594000000008,,0.0,457.9665,973.2929000000009,0.0,506.28889999999967,1.7505799999999996,0.00375,0.0,0.0,0.0,1.0,595.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5087488539885692,0.0,206.0,0.0,0.0,1.0,0,0,0,0.25342319782620276,0,8.10355076923077,3.5855561538461536,11.689106923076924,1.68038923076923,2.6869084615384615,4.367297692307692,863.9473000000056,299.15600000000103,863.9473000000056,0.0,0,0,0.0,0.0,79.9439,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,49.107600000000005,62.96780000000002,0.0,0,131.8477,158.3701,117.98750000000001,116.9764999999994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0032816215867465474,4.894000000000005,5.5156756756756735,NaN,1.1246306306306306,3.5172672566371563,3.802399999999999,222.0,274.0,111.0,512.0,339.0,51.0,43,0,0,1,15,8.0,512.0,4465.943000000003,168.278,1664.7018,192,0,0,32,0.09481712344962778,0.23643565176058323,0.08694319820718555,0,1556.268000000003,1340.9560000000013,15,0,0.0,0,0,0,0.0,0,0.0,7577.555900000009,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,64.0,131.8176,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,43,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6933738793616049,96,3999.816900000002,32,3577.739,4,-1728.7631000000001,4,-608.8717999999999,2,47.99040000000028,-457.9665,12.640500000000001,11.25,0,0,111,111,7 + two more theatres,debt,8,1.0913936421275139e-11
3,128,4,4,6848.722999999998,0.0,6903.050300000003,0.0,1648.491800000001,,0.0,433.863,1214.6288000000009,0.0,241.33589999999995,3.648528624999994,0.00375,0.0,0.0,0.0,1.0,490.2297000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5354140891467325,0.0,257.0,0.0,0.0,1.0,0,0,0,0.25009328229294786,0,9.234583948948465,3.3232278142780762,12.557811763226542,1.7698178303102678,2.539795982521767,4.309613812832035,1012.3261000000076,863.9473000000063,1012.3261000000076,0.0,0,0,0.0,0.0,83.07679999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,54.32730000000001,88.28150000000002,0.0,0,551.4855,133.5029,531.3915,278.9371,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,328.72800000000007,0.0,0.008463611715424665,5.561948327137548,5.435234074074076,1.7836000000000003,1.3399659259259258,3.4866080213903934,3.688327999999999,270.0,269.0,135.0,510.6666666666667,374.0,51.0,33,0,0,0,13,8.0,512.0,4289.0153,566.4085,1983.5557999999999,192,0,0,32,0.08966123642500201,0.2615808508042776,0.1173496260274105,0,1590.8920000000005,1496.1641000000004,13,0,19.0,0,0,0,0.0,0,0.0,7641.964100000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,33.888400000000004,51.0,9.7434,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6183888131106554,96,3902.200299999998,32,3739.7637999999997,4,-1786.6672,4,-250.4446000000002,2,53.26890000000038,-433.863,13.398930000000002,11.25,0,0,135,135,7 + two more theatres,debt,8,1.0913936421275139e-11
4,128,4,4,6773.792399999999,0.0,6831.231100000002,0.0,2006.8447000000003,,0.0,428.8135,1578.0312000000004,0.0,363.40240000000006,4.553436499999994,0.00375,0.0,0.0,0.0,1.0,525.5796933085502,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5339913439348924,0.0,126.0,0.0,0.0,1.0,0,0,0,0.2560072459907294,0,8.979361766122185,2.6679133427841335,11.64727510890632,1.7889539142644324,1.8169124347338015,3.605866348998234,1036.1019999999967,876.6665000000041,1171.7615999999973,0.0,0,0,0.0,0.0,89.02340000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.43870000000001,114.85510000000002,0.0,10,76.5813,151.5119,296.4857999999999,173.9510999999998,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,342.0358,107.70700000000004,0.008011162212884143,5.7203321167883185,5.6287514925373126,1.7086,1.4266985074626866,3.507539878155079,3.5776781599999983,268.0,274.0,134.0,512.0,371.0,51.0,34,0,0,1,15,12.0,512.0,3863.943200000002,659.4305,2250.4186999999997,192,0,0,32,0.08512223099578708,0.28802892907760946,0.16791424263385246,1,1502.9362,1567.3709999999992,15,0,1.0,0,0,0,0.0,0,0.0,7580.294399999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.7086,50.0,0.0,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4307204649647047,96,3742.281400000001,32,3838.0130000000004,4,-1632.4424,4,55.991500000000144,2,56.4390999999997,-428.8135,14.202865800000003,11.25,0,0,134,134,7 + two more theatres,debt,8,1.0913936421275139e-11
5,128,4,4,6780.4411,0.0,6838.684300000001,0.0,2447.3608000000004,,0.0,537.1015,1910.2593000000006,0.0,332.2280999999999,5.915231249999993,0.00375,0.0,0.0,0.0,1.0,655.8893197080287,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5454746989631538,0.0,100.0,0.0,0.0,1.0,0,0,0,0.2547337937179773,0,10.038726568247087,2.3986282124653333,12.43735478071242,1.4402666974482454,1.6385600522737174,3.078826749721963,1033.811600000007,945.606899999996,1259.9663000000091,0.0,0,0,0.0,0.0,84.951,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,58.243200000000016,140.8318,0.0,27,158.51639999999998,151.86769999999999,691.1621,223.43610000000035,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,467.1190999999998,293.81970000000007,0.008905749774721305,5.7695436567164196,5.703643703703704,1.7322,1.5520835820895515,3.5351105993727225,3.4703478152,270.0,268.0,135.0,510.66666666666663,339.0,51.0,42,0,0,1,18,7.0,512.0,3630.9967999999994,680.3000999999999,2469.1442,191,1,0,32,0.07773598406228333,0.3221193011772483,0.13917703389776848,0,1476.4379000000024,1546.2377000000004,18,0,2.0,0,0,0,0.0,0,0.0,7668.326100000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.4644,16.0,0.0,4,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3383123688682852,96,3582.912500000001,32,4085.413599999999,4,-1539.12,4,314.29019999999986,2,57.30239999999989,-537.1015,15.055037748000004,11.25,0,0,135,135,7 + two more theatres,debt,8,1.0913936421275139e-11
6,128,4,4,9695.428899999999,0.0,8347.807700000001,0.0,5634.428900000001,,0.0,3557.1964,2077.2325000000005,0.0,166.9732,7.160625499999992,0.00375,0.0,0.0,0.0,1.0,691.876849052184,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4142985249335056,0.0,100.0,0.0,0.0,1.0,0,0,0,0.2520333267208887,0,10.93906006620009,2.3304556104646275,13.269515676664719,1.7661855463251708,1.5984479767094817,3.3646335230346525,1047.749099999999,975.8401000000055,1285.4182999999994,11.1081,3,0,46.45699999999997,2723.5735,90.1814,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.51550000000001,166.77940000000007,1431.3425000000002,45,3073.4936,158.50580000000005,3683.8413,238.23199999999954,0.0,0.0,0.0,0.0,0.0,3,2719.6873,0.0,0.0,0.0,0.0,501.48310000000015,19.810100000000002,0.008014599005462704,5.746211971830986,5.6751598540145975,NaN,1.6685889705882357,3.593513013106675,3.3662373807439994,274.0,284.0,137.0,510.6666666666667,331.0,51.0,44,0,0,1,19,17.0,512.0,3676.0331999999985,553.3151,2746.3932999999997,191,1,0,32,0.10058671608637804,0.33655404476058703,0.14284135776809603,0,1836.8516,1631.9242000000002,19,0,0.0,0,0,0,0.0,0,0.0,7880.335700000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,1.0,0.0,1,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8158715467389703,96,3588.5872,32,4291.748500000001,4,-1604.9022,4,631.1125000000002,2,1371.1841,-3557.1964,15.958340012880004,11.25,0,3,137,137,7 + two more theatres,debt,8,1.0913936421275139e-11
7,128,3,4,10547.590800000002,0.0,8410.459100000002,0.0,6486.6831,,0.0,4241.456,2245.2271,0.0,167.99460000000005,7.786532124999992,0.00375,0.0,0.0,0.0,1.0,695.3953692482372,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.3656643859267279,0.0,102.0,0.0,0.0,1.0,1,0,0,0.2548562430922497,4,11.80493547244601,1.867912162549254,13.672847634995264,1.8052749112885365,1.4895271012446059,3.2948020125331423,1023.4890999999991,966.2093999999977,999.0138999999994,4.906499999999999,5,0,197.9678999999997,3076.1507,65.0261,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,99.98079999999999,204.24470000000008,2248.6811000000002,54,1359.8374,507.6755,1436.8004,221.29369999999986,0.0,0.0,0.0,0.0,0.0,0,3044.6220999999996,0.0,0.0,0.0,0.0,505.7706999999998,135.41910000000001,0.004747369985025902,5.724251750972762,5.6935875,1.7424,1.8814318518518527,3.5975246578159776,3.2652502593216792,272.0,257.0,136.0,510.6666666666667,331.0,51.0,44,0,0,1,11,8.0,512.0,3571.956000000001,522.2407000000001,2848.184,191,0,1,32,0.1024274786349555,0.35064935600238223,0.15081088092903405,1,1609.4801000000007,1471.1326999999999,11,0,1.0,0,0,0,0.0,0,0.0,7464.060999999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.7424,0.0,560.588,1,0.0,0.0,NaN,1280.0,100.0,0.4293098437499999,0,0,0.0,0,0.0,1280.0,0,0.4293098437499999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,1,0.0,0,0.0,560.588,480.1921,3.0044641334825428e-5,0.0,3.0044641334825428e-5,0.0,0.0,120.4948,560.588,0.6307736723149662,96,3546.8511000000008,32,3917.2099000000007,3,-1057.2880999999998,4,772.4764,2,917.9171999999996,-4241.456,16.915840413652806,11.25,0,5,102,136,7 + two more theatres,debt,8,1.0913936421275139e-11
8,128,1,4,10475.401700000004,0.0,7727.917440413652,0.0,7683.1343,,0.0,5169.716,2513.4182999999994,0.0,268.19120000000004,8.416243874999994,0.00375,0.0,0.0,0.0,1.0,704.7134568590204,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.35202481933923657,1.0,104.0,1.0,0.0,1.0,1,0,0,0.25683307581650594,8,15.09884683900046,2.1636794978036056,17.262526336804065,1.8203588453148538,1.2880487625937171,3.108407607908571,1013.6544000000004,830.0634999999991,392.41239999999993,0.0,8,1,476.64429999999953,3821.4331,62.84739999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,133.6524,237.91630000000012,2909.6211,63,1156.003,1228.1921000000004,1652.7762999999998,283.1719999999998,0.0,0.0,0.0,0.0,0.0,0,3743.6602000000003,0.0,0.0,0.0,0.0,515.8137000000002,99.53770000000003,0.011482899289329428,5.677249635036503,5.72233656716418,NaN,2.0096955223880606,3.6469215324631032,17.013461844138355,268.0,274.0,134.0,510.6666666666667,327.00000000000006,51.0,45,0,0,1,12,15.0,512.0,3415.407099999999,0.0,3252.1689,192,0,0,32,0.11882430249859466,0.4008687728072975,0.18621101487535707,0,1674.6187,1555.5664000000017,12,0,0.0,0,0,0,0.0,0,0.0,8607.870519007687,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,6.0,64.1655,1,0.0,0.0,NaN,1280.0,100.0,0.04191226562499999,0,0,0.0,0,0.0,1280.0,0,0.04191226562499999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,1,0.0,0,0.0,560.588,472.189,0.5899438406876101,0.0,0.5899438406876101,0.0,0.0,101.238,64.1655,0.4687704978023137,96,3477.1613999999986,32,5130.709119007685,1,0.0,4,1216.0344999999998,2,995.4115404136523,-5169.716,17.930790838471975,16.915840413652806,0,7,45,134,7 + two more theatres,debt,8,1.0913936421275139e-11
9,128,1,4,11070.884300000007,0.0,8360.6353,0.0,8268.095000000001,,0.0,5227.7014,3040.3936000000003,0.0,526.9752999999998,9.421634624999992,0.00375,0.0,0.0,0.0,1.0,724.3742175365079,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.3510907582578633,0.0,248.0,0.0,0.0,1.0,1,0,0,0.258429347908371,8,16.469591982386266,2.177374071691084,18.64696605407735,2.0475529487077924,1.4189251531195903,3.4664781018273825,1033.5694000000005,392.4123999999996,1033.5694000000005,0.0,8,1,476.64429999999953,3821.4331,71.91000000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,171.73349999999996,276.08590000000004,2909.6211,63,967.2955999999999,371.81299999999993,343.5286,174.6872999999999,0.0,0.0,0.0,0.0,0.0,0,3681.5353999999998,0.0,0.0,0.0,0.0,537.0243999999994,0.0,0.013346429324056252,5.674528793774318,5.918075000000005,NaN,2.0383181818181826,3.689873015439896,16.503057988814202,264.0,257.0,132.0,510.6666666666667,321.0,51.0,47,0,0,2,11,7.0,512.0,3501.2380999999973,219.9794,3624.7389,192,0,0,32,0.12071884768598018,0.4140088803697357,0.15596729387757802,0,1807.8042999999998,1458.3538999999996,12,1,0.0,0,0,0,0.0,0,0.0,8964.45215942134,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,4.0,43.3925,1,0.0,0.0,NaN,1280.0,100.0,0.026115859375,0,0,0.0,0,0.0,1280.0,0,0.026115859375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,1,0.0,0,0.0,560.588,464.1859,0.37055838955723885,0.0,0.37055838955723885,0.0,0.0,152.611,43.3925,0.553356898464062,96,3499.2802999999994,32,5465.171859421338,1,-403.78760000000005,4,1888.2139,2,970.5808000000002,-5227.7014,19.006638288780294,16.915840413652806,0,7,132,132,7 + two more theatres,debt,8,1.0913936421275139e-11
10,128,1,4,11565.156000000004,0.0,8901.556699999997,0.0,8715.0279,,0.0,5310.2392,3404.788699999999,0.0,364.39509999999996,11.397240999999994,0.00375,0.0,0.0,0.0,1.0,702.1522706230868,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.3580121665653373,0.0,125.0,0.0,0.0,1.0,1,0,0,0.25004239923116056,8,17.769752053635887,2.2205876328203913,19.990339686456277,1.7649923657076658,1.4567634519566626,3.2217558176643286,1085.1959999999992,1033.5694000000024,1085.1959999999992,0.0,8,1,476.64429999999953,3821.4331,75.3382,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,219.22899999999998,323.6655,2909.6211,63,923.8638000000001,429.59209999999996,385.2574,292.7598999999996,0.0,0.0,0.0,0.0,0.0,0,3600.4922,0.0,0.0,0.0,0.0,514.8934000000003,0.0,0.015,5.67432142857143,6.207302255639093,NaN,2.0538962406015053,3.744923191216774,16.007966249149778,266.0,266.0,133.0,509.33333333333337,327.0,51.0,45,0,0,0,12,5.0,512.0,3441.880300000001,740.6411,3765.6166000000003,192,0,0,32,0.11128426049745288,0.4271651309646989,0.15878695076262495,1,1787.9882999999988,1509.3695000000002,13,1,0.0,0,0,0,0.0,0,0.0,9251.22075942134,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,8.0,16.5258,1,0.0,0.0,NaN,1280.0,100.0,0.0055587499999999995,0,0,0.0,0,0.0,1280.0,0,0.0055587499999999995,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,45,0.0,0,1,0.0,0,0.0,560.588,456.1828,72.03115237055749,0.0,72.03115237055749,0.0,0.0,121.50319999999999,16.5258,0.5624256237551954,96,3493.3742999999995,32,5757.84645942134,1,-390.54399999999987,4,2095.7824000000005,2,936.2461000000003,-5310.2392,20.147036586107113,16.915840413652806,0,7,133,133,7 + two more theatres,debt,8,1.0913936421275139e-11
