round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6674.751500000005,0.0,186.2,186.2,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,35.1882,420.75,0.0,1.0,140.25,233.18489999999994,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.675380284434328,0.0,168.0,1.0,0.0,1.0,0,0,6,1.0,128,145.6314730769231,2.2264956850961535,147.85796876201925,3.9060330769230758,0.9014600000000002,4.807493076923076,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,71.56850000000013,186.2,35.58570000000006,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,71.56850000000013,35.58570000000006,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,12.0,40.0,512.0,185.0,51.0,81,0,0,0,12,0.0,512.0,3728.865900000001,547.2887,1326.2585,191,1,0,32,0.23389419341447737,0.675380284434328,0.648836232332537,18,1323.6233999999997,60.0,12,0,125.0,0,0,0,0.0,0,0.0,51334.024500000014,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,250.0,52.0,982.6750000000001,4,90.92599999999999,90.92080000000027,NaN,1280.0,100.0,0.19407729166666665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1365.7086000000002,768,600.0,600.0,0.0,140.10000000000002,140.10000000000002,0.0,46.098000000000006,44.828,448.8404,1490.5135999999998,0.705806088252104,96,4282.731449999996,32,47051.29305000002,4,0.0,4,0.0,2,54.4752,-105.0618,11.925,240.1,0,0,40,40,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
2,128,4,4,7235.1605000000045,0.0,421.09610000000004,237.1936,245.3118,,245.3118,0.0,0.0,0.0,0.0,0.0,0.0025,39.049,420.75,0.0,1.0,140.25,229.91696666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.67335402832235,0.0,239.0,0.0,0.0,1.0,0,0,6,0.25899088923224467,128,145.74655538461542,2.443330300480769,148.18988568509616,3.5193823076923074,1.0789123076923077,4.598294615384615,635.1073999999995,225.99999999999983,635.1073999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.4595,0.0,48,640.0,79.59100000000008,237.1936,39.547699999999985,0.0,0.0,0.0,0.0,0.0,1,110.5561,640.0,79.59100000000008,39.547699999999985,82.0,0.0,0.0,0.015,4.791751824817508,5.509887499999996,2.102812727272727,1.1368837837837835,3.540920388349501,10.157797916666665,224.0,274.0,112.0,512.0,309.0,51.0,50,0,0,2,11,9.0,512.0,4112.897500000002,343.0523,1964.9018,191,1,0,32,0.18806004028334056,0.67335402832235,0.40461650279307704,5,1844.8177000000017,1312.9399999999973,12,1,55.0,0,0,0,0.0,0,0.0,51556.14750000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,115.65469999999999,32.0,664.7038,4,37.7668,37.76239999999978,NaN,1280.0,100.0,0.21311537760416666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,6,6,1335.9317999999998,768,600.0,600.0,0.0,2108.7386567567573,1121.4152783783788,987.3233783783787,9.3355,28.4313,590.2697000000001,1636.7261,0.6996013342651868,96,4353.27405,32,47202.87344999999,4,0.0,4,0.0,2,110.5561,-206.2628,12.640500000000001,240.1,0,0,112,112,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
3,128,4,4,7790.017799999998,0.0,806.1279000000001,393.9359,340.67199999999997,,340.67199999999997,0.0,0.0,0.0,0.0,0.0,0.0025,41.7405,414.9092,0.0,1.0,134.4092,223.55003333333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6685357173537261,0.0,260.0,0.0,0.0,1.0,0,0,6,0.2628634694947847,128,152.75318759073915,3.3515301957655144,156.10471778650466,3.0070341839981034,1.8424544797289972,4.849488663727101,743.0704,635.1074000000002,743.0704,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.2173000000000003,0.0,48,640.0,85.14269999999988,393.9359,42.29439999999998,0.0,0.0,0.0,0.0,0.0,2,21.3848,640.0,85.14269999999988,42.29439999999998,82.0,0.0,0.0,0.015,4.819135114503813,5.451657142857142,1.897211304347824,1.3416189393939395,3.531202503163033,9.853063979166667,266.0,262.0,133.0,509.33333333333337,375.0,51.0,33,0,0,3,12,6.0,512.0,4581.6437000000005,591.67,2073.4248000000002,191,1,0,32,0.13805171039789754,0.6685357173537261,0.34143022700498893,2,2121.997899999999,1262.613399999999,12,0,115.0,0,0,0,0.0,0,0.0,52227.291300000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,218.17929999999976,56.0,480.154,4,0.0,0.0,NaN,1280.0,100.0,0.18441542968750002,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,6,6,1606.1727999999998,768,600.0,600.0,0.0,2927.342037375346,1450.7155367783969,1476.6265005969487,0.0,0.0,900.4749999999999,1539.0760000000002,0.6918250915417754,96,4654.469325000001,32,47572.821975,4,0.0,4,0.0,2,142.0655,-298.93149999999997,13.398930000000002,240.1,0,0,133,133,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
4,128,4,4,8334.5195,0.0,907.3518,125.0568,434.10830000000004,,434.10830000000004,0.0,0.0,0.0,0.0,0.0,0.0025,46.8063,412.5645,0.0,1.0,135.17680000000004,218.22525,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6666039949111227,0.0,260.0,0.0,0.0,1.0,0,0,6,0.255008926800238,128,152.83476459345243,3.674215890984146,156.5089804844366,3.5352872493244227,2.066829531144263,5.602116780468686,737.1447000000003,743.0703999999996,737.1447000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-6.871924999999999,0.0,48,640.0,95.4983,125.05680000000001,47.4348,0.0,0.0,0.0,0.0,0.0,5,6.3545,640.0,95.4983,47.4348,82.0,0.0,0.0,0.015,5.448314436619719,5.407103007518799,1.8838581818181803,1.4266734848484848,3.3103576326244446,9.557472059791666,266.0,284.0,133.0,508.0,383.0,51.0,31,0,0,1,21,14.0,512.0,4805.3728,684.7588,2357.2817,191,1,0,32,0.14144185519799857,0.6666039949111227,0.29455460652176124,1,2073.1187999999993,1547.3213,21,0,110.0,0,0,0,0.0,0,0.0,52625.630099999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,207.22439999999983,64.0,433.94539999999995,4,0.0,0.0,NaN,1280.0,100.0,0.20620322916666667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1765.0494999999999,768,600.0,600.0,0.0,2730.421734949584,1358.9378391076575,1371.4838958419261,0.0,0.0,1085.6928,1710.9364000000003,0.68968979812422,96,4792.5654749999985,32,47833.06462499999,4,0.0,4,0.0,2,211.28419999999997,-387.302,14.202865800000003,240.1,0,0,133,133,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
5,128,4,4,8868.963399999997,0.0,987.9570000000002,106.01899999999999,540.1273000000001,,540.1273000000001,0.0,0.0,0.0,0.0,0.0,0.0025,51.7513,421.74677999999994,0.0,1.0,152.8253,220.45442666666662,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6643099022933208,0.0,264.0,0.0,0.0,1.0,0,0,6,0.25136468539682977,128,135.71716906948998,3.2820630299956495,138.99923209948562,3.280524120073733,2.0694960828308697,5.350020202904602,784.4173000000002,737.1447000000007,784.4173000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.604325000000006,0.0,48,640.0,105.55610000000003,106.019,52.43569999999999,0.0,0.0,0.0,0.0,0.0,8,7.004099999999999,640.0,105.55610000000003,52.43569999999999,82.0,0.0,0.0,0.015,5.582452416356876,5.553748550724639,1.7617287671232846,1.5581503649635031,3.229525496048806,9.270747897997916,276.0,269.0,138.0,510.6666666666667,393.0,51.0,29,0,0,1,17,11.0,512.0,5167.4034999999985,709.3577,2603.0056999999997,191,1,0,32,0.13625480696567416,0.6643099022933208,0.2711465140730558,0,2093.0523999999996,1501.6796999999997,17,0,73.0,0,0,0,0.0,0,0.0,53000.93920000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,128.60619999999977,64.0,330.4411,4,0.0,0.0,NaN,1280.0,100.0,0.2322581640625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,6,6,1738.4378000000002,768,600.0,600.0,0.0,2562.9437531169892,1404.799801831343,1158.143951285646,0.0,0.0,1260.5481,1904.3667,0.6873080993124607,96,4946.836925000003,32,48054.10227499998,4,0.0,4,0.0,2,287.2518,-488.3760000000001,15.055037748000004,240.1,0,0,138,138,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
6,128,4,4,9392.489399999999,0.0,1067.3797000000002,104.8366,644.9638,,644.9638,0.0,0.0,0.0,0.0,0.0,0.0025,57.1189,429.74955,0.0,1.0,156.58780000000002,221.59966666666668,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6624201591115166,0.0,263.0,0.0,0.0,1.0,0,0,6,0.25476163956337716,128,133.42980657951534,3.202477804477143,136.6322843839925,4.022243110114014,1.923684453021302,5.945927563135316,778.7829999999994,784.4173,778.7829999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-16.082450000000005,0.0,48,640.0,116.47400000000007,104.8366,57.86410000000003,0.0,0.0,0.0,0.0,0.0,11,31.9763,640.0,116.47400000000007,57.86410000000003,82.0,0.0,0.0,0.015,5.557019402985075,5.593992647058819,1.7192903846153873,1.7265103703703704,3.1406516459609444,8.992625461057978,272.0,268.0,136.0,510.6666666666667,389.00000000000006,51.0,30,0,0,1,15,9.0,512.0,5431.254700000001,771.2185,2810.8343999999997,191,1,0,32,0.16100684499177564,0.6624201591115166,0.3135636579916834,1,2059.5607999999993,1489.2812000000001,15,0,104.0,0,0,0,0.0,0,0.0,53476.69149999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,178.80620000000027,64.0,290.0866,4,0.0,0.0,NaN,1280.0,100.0,0.24373158854166665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1886.3285,768,600.0,600.0,0.0,2284.8769576179575,1192.1797288089788,1092.6972288089787,0.0,0.0,1446.6698999999999,1985.8110000000001,0.685286502780516,96,5126.846075000001,32,48349.845425,4,0.0,4,0.0,2,362.2392,-587.8449,15.958340012880004,240.1,0,0,136,136,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
7,128,4,4,9902.8255,0.0,1140.7208999999998,98.7551,743.7188,,743.7188,0.0,0.0,0.0,0.0,0.0,0.0025,63.6224,435.15985714285716,0.0,1.0,155.87390000000005,220.38603333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6613158900658667,0.0,263.0,0.0,0.0,1.0,0,0,6,0.25484958677685954,128,135.35343584129453,2.920580332291278,138.2740161735858,5.563036181481375,1.3704586636002143,6.933494845081589,775.9982999999994,778.7829999999992,775.9982999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-20.306475000000002,0.0,48,640.0,129.6639,98.7551,64.42909999999999,0.0,0.0,0.0,0.0,0.0,14,56.2487,640.0,129.6639,64.42909999999999,82.0,0.0,0.0,0.015,5.5034312727272745,5.573516911764702,1.6537813953488387,1.9144185185185183,3.115418751294966,8.722846697226238,272.0,275.0,136.0,510.6666666666667,389.0,51.0,30,0,0,0,17,11.0,512.0,5635.224699999999,807.7666,3048.5856000000003,191,1,0,32,0.20538897735191486,0.6613158900658667,0.32883353056468656,2,2068.1666999999998,1513.4436000000005,17,0,129.0,0,0,0,0.0,0,0.0,53929.814999999966,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,213.3378000000002,64.0,291.3775,4,0.0,0.0,NaN,1280.0,100.0,0.257205390625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,2065.1115,768,600.0,600.0,0.0,2004.8123902397415,1011.1595451198707,993.6528451198706,0.0,0.0,1609.5207999999998,2082.6182000000003,0.6840387148722393,96,5313.68925,32,48616.12574999998,4,0.0,4,0.0,2,424.0852,-680.0964,16.915840413652806,240.1,0,0,136,136,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
8,128,4,4,10401.184999999998,0.0,1211.9531999999997,96.6461,834.4671,,834.4671,0.0,0.0,0.0,0.0,0.0,0.0025,69.5251,438.6538875,0.0,1.0,154.3707,218.01334166666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6615195572057164,0.0,262.0,0.0,0.0,1.0,0,0,6,0.2544712367967008,128,138.10893968257852,2.6282249166980907,140.73716459927664,6.793315715437094,0.9855760399660745,7.778891755403168,757.1506000000003,775.9983000000003,757.1506000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-24.276174999999995,0.0,48,640.0,141.64049999999997,96.6461,70.3889,0.0,0.0,0.0,0.0,0.0,16,112.459,640.0,141.64049999999997,70.3889,82.0,0.0,0.0,0.015,5.461681273408238,5.475189629629631,1.634597350993381,1.967664925373133,3.0994781581395188,8.46116129630945,270.0,267.0,135.0,512.0,387.0,51.0,31,0,0,0,11,11.0,512.0,5815.200000000001,844.7188,3232.0389000000005,191,1,0,32,0.24530614864923006,0.6615195572057164,0.36140363475681325,6,2055.5107000000003,1458.2688999999996,12,1,151.0,0,0,0,0.0,0,0.0,54342.27109999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,246.82420000000053,64.0,327.24319999999994,4,0.1456,0.1456,NaN,1280.0,100.0,0.27430268229166666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2196.7471000000005,768,600.0,600.0,0.0,1750.2625380622599,900.9627784304397,849.29975963182,0.0,0.1456,1765.6,2207.2538,0.6839471710232179,96,5449.302575000001,32,48892.968525000004,4,0.0,4,5.897799999999961,2,473.4899,-764.942,17.930790838471975,240.1,0,0,135,135,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
9,128,4,4,10888.137200000003,0.0,1439.48,252.9307,918.1420999999999,,918.1420999999999,0.0,0.0,0.0,0.0,0.0,0.0025,75.2088,440.98126666666667,0.0,1.0,153.2001,214.91053333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6589450754958512,0.0,261.0,1.0,0.0,1.0,0,0,6,0.2533699184826043,128,134.94802974160774,2.401249424472374,137.3492791660801,8.792797544983754,0.777368405258296,9.57016595024205,755.3218000000003,757.1506000000003,755.3218000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-27.990274999999993,0.0,48,640.0,153.04779999999994,252.9307,76.086,0.0,0.0,0.0,0.0,0.0,19,144.36399999999998,640.0,153.04779999999994,76.086,82.0,0.0,0.0,0.015,5.380593065693433,5.502401492537316,1.5972737500000034,1.9502787878787884,3.11706327199764,8.207326457420168,268.0,274.0,134.0,512.0,385.0,51.0,31,0,0,1,14,16.0,512.0,6186.545300000004,821.2573,3288.7006999999994,190,2,0,32,0.293663333370201,0.6589450754958512,0.3334515959530122,8,2040.7248000000004,1474.2825000000007,15,1,160.0,0,0,0,0.0,0,0.0,52731.556499999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,255.56380000000055,64.0,372.0611,4,8.5394,8.536800000000007,NaN,1280.0,100.0,0.28290156250000004,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2283.5652,768,600.0,600.0,0.0,1615.4723996857756,799.9801065704277,815.4922931153477,3.3564,5.183,1983.3694999999998,2198.4539,0.679217264259558,96,5544.460300000001,32,47187.0962,4,0.0,4,173.6535,2,498.58919999999995,-842.9332999999999,19.006638288780294,230.0343,0,0,134,134,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
10,128,4,4,11364.156400000002,0.0,1488.3088000000002,82.4082,993.8589,,993.8589,0.0,0.0,0.0,0.0,0.0,0.0025,80.6385,442.16082000000006,0.0,1.0,150.92560000000003,211.13373,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6591862813110765,0.0,259.0,0.0,0.0,1.0,0,0,6,0.26288,128,138.59703155733249,2.2154549885592965,140.81248654589177,10.033319910897985,0.5386895450707506,10.572009455968734,752.5969999999995,755.3217999999993,752.5969999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-33.08509999999998,0.0,48,640.0,163.9807999999999,82.4082,81.54009999999998,0.0,0.0,0.0,0.0,0.0,21,160.5959,640.0,163.9807999999999,81.54009999999998,82.0,0.0,0.0,0.015,5.309434,5.441459259259256,1.5823850000000026,1.9500406015037597,3.1153357506271337,7.961106663697563,270.0,250.0,135.0,510.66666666666663,387.0,51.0,31,1,1,2,6,8.0,511.0,6497.567800000003,848.9676000000001,3363.1371,190,2,0,32,0.31366365946193,0.6591862813110765,0.3429567540268015,10,2040.5904000000014,1327.3585,6,0,160.0,0,0,1,0.0,0,0.0,53140.740000000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,253.1816000000004,64.0,413.2495,4,17.5288,17.526799999999987,NaN,1280.0,100.0,0.3022310546875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2293.2148000000007,768,600.0,600.0,0.0,1612.8437573827448,838.26276030913,774.5809970736142,7.6179,9.9109,2273.4100000000008,2332.1394,0.6794317724848487,96,5649.334624999999,32,47491.405375,4,0.0,4,168.76029999999992,2,508.0154,-913.2203999999999,20.147036586107113,230.0343,0,0,135,135,B best SuMSy village: co-ops + reserve,sumsy,6,1.0913936421275139e-11
