round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,27594.30140000002,0.0,140.25,140.25,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,241.8331,420.75,0.0,1.0,140.25,59.63896666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.050212634418383306,0.0,168.0,0.0,0.0,1.0,0,0,0,1.0,48,7.284585384615383,16.370417692307694,23.655003076923077,7.5811092307692345,13.468405384615384,21.049514615384616,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,485.3561999999996,140.25,242.39960000000016,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,485.3561999999996,242.39960000000016,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,15.0,40.0,512.0,185.0,51.0,81,0,0,0,9,6.0,512.0,23432.556099999998,869.7408,1823.1293999999998,192,0,0,32,0.06924474796867108,0.050212634418383306,0.6492064729414979,0,931.5633999999999,75.0,9,0,128.0,0,0,0,0.0,0,0.0,25592.55610000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,256.0,52.0,1172.5668,4,190.96299999999997,190.96319999999994,NaN,1280.0,100.0,0.25165605468749996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,2266.32,0.0,0.0,0.0,0.0,0.0,190.96299999999997,7531.061999999997,3865.437000000001,0.13660732588126123,96,18564.222899999993,32,7028.3332,4,0.0,4,140.25,2,54.4752,101.5831,11.925,11.25,0,0,40,40,"E10 + government reserve, full money stock",sumsy,2,0.0
2,128,4,4,27745.788699999986,0.0,133.2375,0.0,133.2375,,133.2375,0.0,0.0,0.0,0.0,0.0,0.0025,336.409,420.75,0.0,1.0,140.25,28.11366666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.05201048030415567,0.0,240.0,0.0,0.0,1.0,0,0,0,0.2672176308539945,48,7.597084615384617,16.51178,24.10886461538462,7.039560769230772,13.376051538461539,20.41561230769231,631.0250000000002,225.99999999999983,631.0250000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.4025,0.0,0,640.0,488.51269999999965,0.0,242.9831999999999,0.0,0.0,0.0,0.0,0.0,0,111.0134,640.0,488.51269999999965,242.9831999999999,82.0,0.0,0.0,0.015,4.789545454545445,5.473437500000002,2.1397056250000004,1.1282526785714289,3.490713196480924,3.802399999999999,224.0,264.0,112.0,512.0,341.0,51.0,42,0,0,1,9,6.0,512.0,23179.328999999994,529.4746,2404.5834,192,0,0,32,0.06224858620260276,0.05201048030415567,0.37614145368905905,0,1557.9494000000027,1264.4399999999976,9,0,160.0,0,0,0,0.0,0,0.0,25339.328999999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,342.3529000000001,64.0,1184.9793,4,58.990700000000004,58.99079999999999,NaN,1280.0,100.0,0.26816649088541666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,12,0.0,0,0.0,2266.32,0.0,1482.6347567567575,0.0,1482.6347567567575,0.0,58.990700000000004,7589.3607,4119.0373,0.1362620143040143,96,18253.163899999996,32,7086.165099999999,4,0.0,4,133.23750000000007,2,111.0134,203.17149999999998,12.640500000000001,11.25,0,0,112,112,"E10 + government reserve, full money stock",sumsy,2,0.0
3,128,4,4,27893.973100000007,0.0,239.0392,112.8142,126.225,,126.225,0.0,0.0,0.0,0.0,0.0,0.0025,435.3901,414.84670000000006,0.0,0.9156702571344129,134.34670000000003,0.0,0.0,0.0,0.9156702571344129,0.0,0.0,0.9156702571344129,0.0,0,0,1.0,0.4512326375821438,0.0,260.0,1.0,0.0,0.9156702571344129,0,0,0,0.26629543784272713,48,117.4604453902368,17.361541527657156,134.82198691789395,7.948695512516351,13.203847321891383,21.152542834407733,735.6357000000002,631.025,735.6357000000002,0.0,0,0,0.0,0.0,0.0,0.9156702571344129,0.9156702571344129,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.7349,0.0,0,640.0,491.8156,112.8142,243.608,0.0,0.0,0.0,0.0,0.0,0,138.5819,640.0,491.8156,243.608,82.0,0.0,0.0,0.015,4.809201503759405,5.436634090909092,2.303101875000001,1.346230303030304,3.480714041994765,3.688327999999999,264.0,266.0,132.0,510.6666666666667,381.0,51.0,31,0,0,2,11,7.0,512.0,22995.6748,594.6342,2528.2794,192,0,0,33,0.06303485044391888,0.4512326375821438,0.29582845067148833,0,1748.6576,1279.2476000000017,11,0,160.0,0,0,0,0.0,0,0.0,58632.72519999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,368.4963000000002,64.0,1201.4127,4,63.1502,63.14999999999999,NaN,1280.0,100.0,0.27418698567708333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,2266.32,0.0,2256.000562327178,0.0,2256.000562327178,0.0,63.1502,7828.028699999999,4324.326300000001,0.49876139249112295,95,17855.009499999996,33,40777.71570000001,4,0.0,4,126.22500000000002,2,138.5819,309.16510000000005,13.398930000000002,185.1611,0,0,132,132,"E10 + government reserve, full money stock",sumsy,2,0.0
4,128,4,4,28039.382800000014,0.0,263.3219,36.936,119.2125,,119.2125,0.0,0.0,0.0,0.0,0.0,0.0025,511.6107,412.30822500000005,0.0,0.5087134052145972,134.8976,0.0,0.0,0.0,0.5087134052145972,0.0,0.0,0.5087134052145972,0.0,0,0,1.0,0.46008890581419837,0.0,260.0,1.0,0.0,0.5087134052145972,0,0,0,0.26299990180813304,48,120.32177665635987,16.867687417317665,137.18946407367753,9.675729064971753,11.93742628930413,21.613155354275882,734.5813000000003,735.6356999999989,734.5813000000003,0.0,0,0,0.0,0.0,0.0,0.5087134052145972,0.5087134052145972,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.125299999999999,0.0,0,640.0,494.5903,36.936,223.43479999999985,0.0,0.0,0.0,0.0,0.0,0,152.4836,640.0,494.5903,223.43479999999985,82.0,0.0,0.0,0.015,5.403135205992508,5.4286462121212145,2.3818706250000004,1.4380196969696954,3.3944577485051086,3.5776781599999983,264.0,267.0,132.0,509.3333333333333,381.0,51.0,31,0,0,1,14,5.0,512.0,22701.338700000004,692.3309,2714.8335,192,0,0,33,0.0727245639744476,0.46008890581419837,0.35568122183487816,0,1734.5099,1442.6370999999997,14,0,160.0,0,0,0,0.0,0,0.0,59081.0063,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,381.0993000000001,64.0,1266.7854,4,70.72579999999999,70.7256,NaN,1280.0,100.0,0.294911484375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,2266.32,0.0,2035.5754212598545,0.0,2035.5754212598545,0.0,70.72579999999999,7832.1308,4673.9498,0.5066278133652244,95,17546.9019,33,41534.104400000004,4,0.0,4,119.21249999999998,2,152.4836,392.3982,14.202865800000003,188.85895,0,0,132,132,"E10 + government reserve, full money stock",sumsy,2,0.0
5,128,4,4,28182.188799999996,0.0,248.82170000000002,0.0,112.2,,112.2,0.0,0.0,0.0,0.0,0.0,0.0025,471.3009,420.78138000000007,0.0,0.30238665334896725,151.558,0.0,0.0,0.0,0.30238665334896725,0.0,0.0,0.30238665334896725,0.0,0,0,1.0,0.4652086147648884,0.0,263.0,0.0,0.0,0.30238665334896725,0,0,0,0.25983996539792387,48,107.67016615453211,14.709438425164373,122.37960457969648,8.690971882725687,10.801853155958947,19.492825038684636,768.6154999999993,734.5813000000002,768.6154999999993,0.0,0,0,0.0,0.0,0.0,0.30238665334896725,0.30238665334896725,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.758299999999997,0.0,0,640.0,497.1940000000001,0.0,124.55949999999996,0.0,0.0,0.0,0.0,0.0,0,159.7088,640.0,497.1940000000001,124.55949999999996,82.0,0.0,0.0,0.015,5.574319117647055,5.56011481481481,2.512305625000001,1.5496274074074068,3.347152306274136,3.4703478152,270.0,272.0,135.0,510.66666666666663,387.0,51.0,30,0,0,2,15,8.0,512.0,22469.9075,745.0913,2988.0526,192,0,0,33,0.07215585941859115,0.4652086147648884,0.3123181528865788,0,1762.3615,1516.2147999999988,15,0,160.0,0,0,0,0.0,0,0.0,58843.422199999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,401.9689000000002,64.0,1348.1277,4,81.23140000000001,81.2312,NaN,1280.0,100.0,0.3219173111979167,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,2266.32,0.0,1797.3665694709566,0.0,1797.3665694709566,0.0,81.23140000000001,7945.744599999998,5081.2716,0.5112161421283332,95,17212.933800000003,33,41630.4884,4,0.0,4,112.20000000000005,2,159.7088,359.1009,15.055037748000004,188.85895,0,0,135,135,"E10 + government reserve, full money stock",sumsy,2,0.0
6,128,4,4,28322.239199999975,0.0,234.3216,0.0,105.1875,,105.1875,0.0,0.0,0.0,0.0,0.0,0.0025,377.2234,428.83095000000003,0.0,0.5115324473241747,156.35959999999997,17.202516666666668,0.0,0.0,0.5115324473241747,0.0,0.0,0.5115324473241747,0.0,0,0,1.0,0.46789774848091814,0.0,262.0,0.0,0.0,0.5115324473241747,0,0,0,0.2585508768535537,48,104.54260442619247,14.515782490814534,119.05838691700701,8.485717296682607,10.602204830689615,19.087922127372224,768.8361999999996,768.6154999999999,768.8361999999996,0.0,0,0,0.0,0.0,0.0,0.5115324473241747,0.5115324473241747,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.246300000000002,0.0,0,640.0,499.94960000000015,0.0,74.61509999999998,0.0,0.0,0.0,0.0,0.0,0,163.25310000000002,640.0,499.94960000000015,74.61509999999998,82.0,0.0,0.0,0.015,5.554615985130109,5.603255223880594,2.6196887500000003,1.7073805970149252,3.455274159090917,6.153754369638778,268.0,269.0,134.0,509.33333333333337,385.0,51.0,31,0,0,1,13,9.0,512.0,22345.080299999994,820.9441,3239.326,192,0,0,33,0.07000839642736678,0.46789774848091814,0.33870508829545454,0,1820.200499999999,1494.1916999999994,13,0,160.0,0,0,0,0.0,0,0.0,58712.44210000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,419.15020000000004,64.0,1376.4123,4,85.1329,85.13280000000002,NaN,1280.0,100.0,0.3455435091145833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,2266.32,0.0,1488.9567275777372,0.0,1488.9567275777372,0.0,85.1329,8098.686600000001,5436.6824,0.513720496694575,95,16987.806700000005,33,41724.6354,4,0.0,4,105.1875,2,163.25310000000002,272.0359,15.958340012880004,188.85895,0,0,134,134,"E10 + government reserve, full money stock",sumsy,2,0.0
7,128,4,4,28459.1392,0.0,219.8215,0.0,98.175,,98.175,0.0,0.0,0.0,0.0,0.0,0.0025,338.1263,434.3440285714286,0.0,0.8977027799658747,155.80750000000003,32.072576190476205,0.0,0.0,0.8977027799658747,0.0,0.0,0.8977027799658747,0.0,0,0,1.0,0.47606933113187755,0.0,262.0,1.0,0.0,0.8977027799658747,0,0,0,0.2615645087235996,48,107.85421559362167,14.21841280987728,122.07262840349895,11.305288903795846,9.380789735037657,20.686078638833504,766.8621000000009,768.8361999999995,766.8621000000009,0.0,0,0,0.0,0.0,0.0,0.8977027799658747,0.8977027799658747,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.589300000000009,0.0,0,640.0,503.09999999999997,0.0,127.45279999999995,0.0,0.0,0.0,0.0,0.0,0,164.4681,640.0,503.09999999999997,127.45279999999995,82.0,0.0,0.0,0.015,5.609874621212116,5.588523134328365,2.707340000000001,1.9059276119403004,3.513886177617954,7.114212697865028,268.0,264.0,134.0,510.66666666666663,385.0,51.0,30,0,0,0,8,9.0,512.0,22234.535700000004,874.3533,3465.9229,192,0,0,33,0.08880692191747652,0.47606933113187755,0.34885945751445213,0,1870.6852999999992,1481.0068999999987,8,0,160.0,0,0,0,0.0,0,0.0,59305.731799999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,433.17440000000016,64.0,1381.7329,4,88.9613,88.96079999999998,NaN,1280.0,100.0,0.36460694010416667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,2266.32,0.0,1382.8119149949166,0.0,1382.8119149949166,0.0,88.9613,8189.186000000001,5722.0091,0.5212763425208233,95,16783.9512,33,42521.7806,4,0.0,4,98.17499999999995,2,164.4681,239.9513,16.915840413652806,192.5568,0,0,134,134,"E10 + government reserve, full money stock",sumsy,2,0.0
8,128,4,4,28592.53329999999,0.0,205.32139999999998,0.0,91.1625,,91.1625,0.0,0.0,0.0,0.0,0.0,0.0025,395.7868,439.05978749999997,0.0,1.0,157.35670000000002,14.424329166666647,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.482870848451846,0.0,260.0,0.0,0.0,1.0,0,0,0,0.25009468501451837,48,107.87764270375794,13.621685894913803,121.49932859867174,11.331681335282003,9.53361427490779,20.865295610189794,769.2150000000009,766.8621000000012,769.2150000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-14.787400000000014,0.0,0,640.0,506.6058999999999,0.0,225.4253,0.0,0.0,0.0,0.0,0.0,0,164.5291,640.0,506.6058999999999,225.4253,82.0,0.0,0.0,0.015,5.592978277153557,5.691022727272735,2.819843750000001,1.9886757575757577,3.5226870948162694,7.004537915800742,264.0,267.0,132.0,512.0,381.0,51.0,32,0,0,2,12,10.0,512.0,22036.947999999997,926.6216,3682.468,192,0,0,33,0.09578547405645743,0.482870848451846,0.36021757782170627,1,1869.2926000000007,1493.3251999999998,12,0,160.0,0,0,0,0.0,0,0.0,59101.991200000026,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,451.1750000000001,64.0,1386.1798,4,105.45030000000001,105.45,NaN,1280.0,100.0,0.3828847981770833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,2266.32,0.0,1253.8612825477544,0.0,1253.8612825477544,0.0,105.45030000000001,8423.191099999998,5995.2694,0.5275433759921593,95,16385.3186,33,42716.67259999999,4,0.0,4,91.16250000000002,2,164.5291,304.62430000000006,17.930790838471975,192.5568,0,0,132,132,"E10 + government reserve, full money stock",sumsy,2,0.0
9,128,4,4,28723.657299999984,0.0,190.8213,0.0,84.15,,84.15,0.0,0.0,0.0,0.0,0.0,0.0025,478.7185,442.56989999999996,0.0,0.8563237487162036,156.88359999999997,0.0,0.0,0.0,0.8563237487162036,0.0,0.0,0.8563237487162036,0.0,0,0,1.0,0.4890637308899606,0.0,262.0,0.0,0.0,0.8563237487162036,0,0,0,0.25100591715976334,48,109.43106359604009,13.240628933336158,122.67169252937624,11.54096616834596,10.030885897098328,21.57185206544429,811.1180999999996,769.2150000000005,811.1180999999996,0.0,0,0,0.0,0.0,0.0,0.8563237487162036,0.8563237487162036,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-16.840400000000013,0.0,0,640.0,508.8760000000001,0.0,251.59759999999986,0.0,0.0,0.0,0.0,0.0,0,164.4287,640.0,508.8760000000001,251.59759999999986,82.0,0.0,0.0,0.015,5.558615769230772,5.9187917910447725,2.943136874999998,1.9980492537313426,3.513780625127652,6.925278319251874,268.0,260.0,134.0,509.3333333333333,385.0,51.0,31,0,0,3,10,7.0,512.0,21877.88700000001,973.8598,3834.6426,192,0,0,32,0.09932852011999627,0.4890637308899606,0.3726664062591116,0,1888.6296000000016,1445.2401000000007,10,0,160.0,0,0,0,0.0,0,0.0,58936.77729999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,470.9018999999997,64.0,1394.1207000000002,4,113.6683,113.66839999999996,NaN,1280.0,100.0,0.3968718619791667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,2266.32,0.0,1281.4942390484064,0.0,1281.4942390484064,0.0,113.6683,8294.120300000002,6202.623100000001,0.533274687510974,96,16367.6945,32,42569.0828,4,0.0,4,84.15000000000009,2,164.4287,394.5685,19.006638288780294,192.5568,0,0,134,134,"E10 + government reserve, full money stock",sumsy,2,0.0
10,128,4,4,28852.261100000007,0.0,176.3211,0.0,77.1375,,77.1375,0.0,0.0,0.0,0.0,0.0,0.0025,525.2251,445.08881999999994,0.0,0.5384109064515592,155.91969999999998,0.0,0.0,0.0,0.5384109064515592,0.0,0.0,0.5384109064515592,0.0,0,0,1.0,0.5157049454827429,0.0,259.0,1.0,0.0,0.5384109064515592,0,0,0,0.25050040168298365,48,126.04531662247672,12.77035282926345,138.81566945174018,12.820170849120489,9.896655925890789,22.716826775011278,806.5405000000005,811.1181000000001,806.5405000000005,0.0,0,0,0.0,0.0,0.0,0.5384109064515592,0.5384109064515592,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-18.748400000000007,0.0,0,640.0,511.39619999999985,0.0,215.8534999999999,0.0,0.0,0.0,0.0,0.0,0,164.57850000000002,640.0,511.39619999999985,215.8534999999999,82.0,0.0,0.0,0.015,5.524881918819186,6.019393129770997,3.0713306249999994,2.0338305343511456,3.5249585021818572,6.899324415906417,262.0,271.0,131.0,508.00000000000006,379.0,51.0,32,0,0,1,13,10.0,512.0,21679.328100000017,1077.7861,3996.8217,192,0,0,33,0.11183715371781955,0.5157049454827429,0.3434954420239722,0,1875.1151000000013,1497.2429999999993,13,0,160.0,0,0,0,0.0,0,0.0,63827.80310000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,491.4128999999999,64.0,1408.5216,4,131.4034,131.40279999999996,NaN,1280.0,100.0,0.41562147135416666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,2266.32,0.0,1088.363042391585,0.0,1088.363042391585,0.0,131.4034,8724.700600000004,6483.1294,0.5578374722003241,95,15659.498100000004,33,48168.305,4,0.0,4,77.13750000000005,2,164.57850000000002,448.0876,20.147036586107113,219.0971,0,0,131,131,"E10 + government reserve, full money stock",sumsy,2,0.0
