round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,21712.707899999976,0.0,110.5361,110.5361,110.5361,,110.5361,0.0,0.0,0.0,0.0,0.0,0.0025,183.5861,0.0,0.0,1.0,110.53609999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.05580092849142737,0.0,168.0,0.0,0.0,1.0,0,0,0,1.0,48,8.347562861869319,16.0583994210091,24.405962282878416,7.3159765756823845,13.602206484698097,20.918183060380482,181.9319999999999,0.0,181.9319999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,553.4596999999995,110.5361,184.26199999999994,0.0,0.0,0.0,0.0,0.0,0,55.5082,640.0,553.4596999999995,184.26199999999994,82.0,0.0,0.0,0.0,3.9407,4.098299999999997,1.5763000000000027,0.5911000000000005,2.8352919835089256,3.0894915254237283,80.0,17.0,40.0,512.0,185.0,51.0,81,0,0,0,9,8.0,512.0,18451.720999999994,678.406,1428.8694,192,0,0,32,0.06532576436230486,0.05580092849142737,0.6658867298828597,0,731.5578000000003,66.9919,9,0,128.0,0,0,0,0.0,0,0.0,20154.093881355915,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,201.76640000000035,52.0,914.6172,4,151.2932,151.29360000000003,NaN,1280.0,100.0,0.19673779947916667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1786.1664,0.0,0.0,0.0,0.0,0.0,151.2932,6008.459200000003,3021.8926000000006,0.14099892008944703,96,14508.267700000002,32,5645.826181355931,4,0.0,4,110.53609999999998,2,55.5082,73.04999999999998,9.398516949152542,8.866525423728813,0,0,40,40,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
2,128,4,4,21796.58039999999,0.0,105.0093,0.0,105.0093,,105.0093,0.0,0.0,0.0,0.0,0.0,0.0025,250.2643,0.0,0.0,1.0,110.5362,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.05278988246981475,0.0,240.0,0.0,0.0,1.0,0,0,0,0.26530612244897955,48,7.963055988206381,16.370597960924556,24.333653949130937,6.769370338342856,13.427735408195733,20.19710574653859,501.82249999999993,181.93199999999987,501.82249999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.1054,0.0,0,640.0,556.1275000000002,0.0,184.44109999999998,0.0,0.0,0.0,0.0,0.0,0,109.3052,640.0,556.1275000000002,184.44109999999998,82.0,0.0,0.0,0.015,3.7751857142857066,4.3198437499999995,1.6928500000000022,0.8880651785714281,2.7695631524926814,2.9968067796610165,224.0,266.0,112.0,512.0,341.0,51.0,42,0,0,3,12,9.0,512.0,18241.9836,405.118,1874.0434,192,0,0,32,0.06027963993592267,0.05278988246981475,0.34810916008595405,0,1233.822099999999,1004.1993999999979,12,0,160.0,0,0,0,0.0,0,0.0,19944.356481355924,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,270.85600000000034,64.0,915.8659,4,45.516799999999996,45.51680000000001,NaN,1280.0,100.0,0.20800958984374998,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1201.7932129179972,0.0,1201.7932129179972,0.0,45.516799999999996,5991.7063,3195.0273,0.13589844445440935,96,14331.890099999997,32,5612.466381355932,4,0.0,4,105.0093,2,109.3052,145.255,9.962427966101695,8.866525423728813,0,0,112,112,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
3,128,4,4,21877.73820000001,0.0,201.8476,102.3651,99.4825,,99.4825,0.0,0.0,0.0,0.0,0.0,0.0025,319.4928,0.0,0.0,1.0,105.89390000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.45528383862822763,0.0,260.0,1.0,0.0,1.0,0,0,0,0.25487265865427233,48,118.24674719444727,16.91961795635412,135.1663651508014,7.501431266462709,13.837886732302549,21.339317998765257,584.8272000000005,501.8224999999997,584.8272000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.1555,0.0,0,640.0,558.8422,102.3651,184.61030000000005,0.0,0.0,0.0,0.0,0.0,0,135.2428,640.0,558.8422,184.61030000000005,82.0,0.0,0.0,0.015,3.7974921708184946,4.2941454545454585,1.8181450000000001,1.061730303030303,2.773567872140964,2.906902576271186,264.0,281.0,132.0,508.00000000000006,381.0,51.0,31,0,0,0,20,14.0,512.0,18034.167200000004,464.46950000000004,2006.4864,192,0,0,33,0.0623638416125476,0.45528383862822763,0.315082523547519,0,1393.174000000001,1067.095299999997,20,0,160.0,0,0,0,0.0,0,0.0,46324.429199999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,290.9032,64.0,917.8795,4,47.1521,47.151999999999994,NaN,1280.0,100.0,0.21396291015625002,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1784.870052488489,0.0,1784.870052488489,0.0,47.1521,6151.5392999999995,3388.8354,0.5015767557445807,95,13942.179500000002,33,32382.249700000004,4,0.0,4,99.48250000000002,2,135.2428,220.01029999999997,10.560173644067797,146.9376,0,0,132,132,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
4,128,4,4,21956.5473,0.0,252.8539,61.651399999999995,93.9557,,93.9557,0.0,0.0,0.0,0.0,0.0,0.0025,386.0219,0.0,0.0,1.0,106.5199,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.46003391337622856,0.0,267.0,0.0,0.0,1.0,0,0,0,0.26035401271696174,48,118.3131765197617,16.787384587213293,135.100561106975,7.300103165034177,13.954263842731295,21.254367007765474,614.2251999999999,584.8272000000003,614.2251999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.173899999999999,0.0,0,640.0,561.1909000000003,61.651399999999995,184.69310000000002,0.0,0.0,0.0,0.0,0.0,0,148.0999,640.0,561.1909000000003,184.69310000000002,82.0,0.0,0.0,0.015,4.295130039525691,4.289389928057553,1.8821893750000005,1.1382525179856113,2.7056495073201376,2.819695498983051,278.0,253.0,139.0,512.0,395.0,51.0,29,0,0,1,5,7.0,512.0,17906.709000000006,540.2232999999999,2060.0434999999998,192,0,0,33,0.05852909262598138,0.46003391337622856,0.32563432539346104,0,1427.3644999999995,1086.6678999999997,5,0,160.0,0,0,0,0.0,0,0.0,46199.0588,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,301.1503000000001,64.0,915.4497000000001,4,46.7853,46.78519999999998,NaN,1280.0,100.0,0.21854285807291665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1946.2889962746565,0.0,1946.2889962746565,0.0,46.7853,6306.1100000000015,3515.7165,0.5039833432344492,95,13717.425400000002,33,32481.6334,4,0.0,4,93.95570000000004,2,148.0999,292.06620000000004,11.193784062711865,146.9376,0,0,139,139,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
5,128,4,4,22032.89590000001,0.0,239.1262,0.0,88.4289,,88.4289,0.0,0.0,0.0,0.0,0.0,0.0025,437.1278,0.0,0.0,1.0,120.47859999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.4687469137058953,0.0,257.0,0.0,0.0,1.0,0,0,0,0.25786395814096646,48,106.36298185560582,14.191278041517847,120.55425989712367,7.436311073936704,11.735411679487925,19.17172275342463,587.6598999999997,614.2252,587.6598999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-6.702299999999996,0.0,0,640.0,563.6514000000002,0.0,184.95569999999998,0.0,0.0,0.0,0.0,0.0,0,154.2853,640.0,563.6514000000002,184.95569999999998,82.0,0.0,0.0,0.015,4.404074736842106,4.415968217054261,1.965359374999998,1.2498643410852717,2.6789946602898707,2.735104634013559,258.0,285.0,129.0,510.6666666666667,375.0,51.0,34,0,0,1,19,18.0,512.0,17565.044699999995,617.8707999999999,2284.9401000000003,192,0,0,33,0.06480978779013569,0.4687469137058953,0.3757871062806062,0,1376.9484000000014,1255.1613000000002,19,0,160.0,0,0,0,0.0,0,0.0,45853.18229999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,314.4574999999997,64.0,973.6272,4,54.967800000000004,54.96799999999999,NaN,1280.0,100.0,0.24256124999999995,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1291.8594452844914,0.0,1291.8594452844914,0.0,54.967800000000004,6307.1075,3876.4381,0.5118108317224082,95,13269.470200000002,33,32583.712100000008,4,0.0,4,88.4289,2,154.2853,348.6989,11.865411106474577,146.9376,0,0,129,129,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
6,128,4,4,22106.883799999985,0.0,225.3985,0.0,82.9021,,82.9021,0.0,0.0,0.0,0.0,0.0,0.0025,483.9441,0.0,0.0,1.0,123.53469999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.47201625216216314,0.0,265.0,0.0,0.0,1.0,0,0,0,0.2580119675489105,48,103.66677198258228,14.003088885866697,117.66986086844898,7.185592968440356,11.697446115552575,18.88303908399293,628.0726999999996,587.6599000000004,628.0726999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-9.093400000000003,0.0,0,640.0,566.0121,0.0,185.25119999999998,0.0,0.0,0.0,0.0,0.0,0,157.0057,640.0,566.0121,185.25119999999998,82.0,0.0,0.0,0.015,4.437145783132529,4.453085401459851,2.0484962500000012,1.3912562043795622,2.613989504778577,2.6530514949931514,274.0,249.0,137.0,510.6666666666667,390.99999999999994,51.0,29,0,0,2,9,4.0,512.0,17421.057499999995,624.0930000000001,2384.346,192,0,0,33,0.0634764703488151,0.47201625216216314,0.28201476239584555,0,1428.226700000002,1104.8492999999996,9,0,160.0,0,0,0,0.0,0,0.0,45704.982900000025,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,327.7594000000002,64.0,1036.4375,4,62.8062,62.806000000000004,NaN,1280.0,100.0,0.2540612044270833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1522.3517921536218,0.0,1522.3517921536218,0.0,62.8062,6423.129399999999,4044.8765000000003,0.5149070219344072,95,13073.671800000002,33,32631.3111,4,0.0,4,82.90210000000002,2,157.0057,401.042,12.577335772863051,146.9376,0,0,137,137,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
7,128,4,4,22178.4477,0.0,211.67079999999999,0.0,77.3753,,77.3753,0.0,0.0,0.0,0.0,0.0,0.0025,528.6608,0.0,0.0,1.0,124.46170000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.47843964739684797,0.0,260.0,0.0,0.0,1.0,0,0,0,0.26385702209878037,48,104.27621708575657,13.490913511915158,117.76713059767172,8.279651160082686,11.216459367598128,19.496110527680816,605.4567999999999,628.0727000000002,605.4567999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.347200000000008,0.0,0,640.0,568.4361000000001,0.0,185.57820000000012,0.0,0.0,0.0,0.0,0.0,0,158.1784,640.0,568.4361000000001,185.57820000000012,82.0,0.0,0.0,0.015,4.419539194139192,4.450430303030302,2.1127587500000016,1.537467424242424,2.76142923678966,4.671392424129249,264.0,273.0,132.0,509.33333333333337,381.0,51.0,31,0,0,1,14,8.0,512.0,17218.164900000007,673.5302,2555.4121,192,0,0,33,0.07389423858730981,0.47843964739684797,0.3693482406079438,0,1476.804200000002,1206.5341999999994,14,0,160.0,0,0,0,0.0,0,0.0,45497.87810000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,338.04140000000024,64.0,1044.5013,4,65.1599,65.16040000000002,NaN,1280.0,100.0,0.26947578776041664,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1155.6966636970405,0.0,1155.6966636970405,0.0,65.1599,6508.0938,4273.4436,0.520864475911839,95,12776.2772,33,32721.600899999998,4,0.0,4,77.37530000000004,2,158.1784,451.2855,13.331975919234836,146.9376,0,0,132,132,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
8,128,4,4,22247.66099999999,0.0,197.94310000000002,0.0,71.8485,,71.8485,0.0,0.0,0.0,0.0,0.0,0.0025,572.7053,0.0,0.0,1.0,123.9682,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.4839778056633339,0.0,262.0,0.0,0.0,1.0,0,0,0,0.2561436672967864,48,105.57154148634996,13.411218927735334,118.9827604140853,9.11023624527179,11.01527126209933,20.12550750737112,619.7494999999996,605.4567999999994,619.7494999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.463700000000012,0.0,0,640.0,570.7867000000003,0.0,185.8879,0.0,0.0,0.0,0.0,0.0,0,158.551,640.0,570.7867000000003,185.8879,82.0,0.0,0.0,0.015,4.397842028985509,4.490667910447758,2.2182831250000006,1.5763843283582089,2.811858807953943,5.3616220354069855,268.0,276.0,134.0,510.6666666666667,385.0,51.0,31,0,0,2,14,16.0,512.0,17036.5023,692.1617,2746.2251,192,0,0,33,0.08256263857818058,0.4839778056633339,0.36620342066339684,0,1521.0884999999998,1213.8044000000004,14,0,160.0,0,0,0,0.0,0,0.0,45312.0033,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,354.9253000000001,64.0,1041.5156,4,64.3524,64.3524,NaN,1280.0,100.0,0.2834510286458333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1188.937192742523,0.0,1188.937192742523,0.0,64.3524,6589.489500000001,4479.9024,0.5260631969352265,95,12515.9124,33,32796.0909,4,0.0,4,71.84849999999994,2,158.551,500.85679999999996,14.131894474388927,146.9376,0,0,134,134,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
9,128,4,4,22314.9107,0.0,184.2154,0.0,66.3217,,66.3217,0.0,0.0,0.0,0.0,0.0,0.0025,616.1237,0.0,0.0,1.0,123.35999999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.48828283291001884,0.0,262.0,0.0,0.0,1.0,0,0,0,0.2524106113033449,48,106.78644749579848,12.981210139471713,119.7676576352702,9.329659628596094,10.830580192581019,20.16023982117711,641.3937000000009,619.7494999999998,641.3937000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-15.442900000000016,0.0,0,640.0,572.7503000000002,0.0,186.0843,0.0,0.0,0.0,0.0,0.0,0,158.9556,640.0,572.7503000000002,186.0843,82.0,0.0,0.0,0.015,4.403920784313728,4.652191791044783,2.3086675000000003,1.577664179104478,2.80846476773953,5.211684658985702,268.0,255.0,134.0,509.3333333333333,384.99999999999994,51.0,31,0,0,2,11,6.0,512.0,16938.6602,728.5817,2829.2380000000003,192,0,0,33,0.08851400912083385,0.48828283291001884,0.355778628783024,0,1523.1677999999997,1122.9998000000007,11,0,160.0,0,0,0,0.0,0,0.0,45209.94899999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,369.38680000000005,64.0,1043.3515,4,68.6162,68.61639999999998,NaN,1280.0,100.0,0.29188004557291664,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1151.3085364732,0.0,1151.3085364732,0.0,68.6162,6687.528299999998,4601.1712,0.530175943156967,95,12331.458200000005,33,32878.49080000001,4,0.0,4,66.32169999999996,2,158.9556,549.802,14.979808142852264,146.9376,0,0,134,134,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
10,128,4,4,22379.9437,0.0,170.48770000000002,0.0,60.7949,,60.7949,0.0,0.0,0.0,0.0,0.0,0.0025,658.2408,0.0,0.0,1.0,123.52959999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.49372205075550935,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2510784709822883,48,107.33463343859488,12.53352296987188,119.86815640846675,9.051596824039434,11.064990651344312,20.116587475383746,647.9554999999997,641.3937000000011,647.9554999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-17.28490000000001,0.0,0,640.0,574.9670000000001,0.0,186.36980000000003,0.0,0.0,0.0,0.0,0.0,0,159.1884,640.0,574.9670000000001,186.36980000000003,82.0,0.0,0.0,0.015,4.390064620938628,4.73650751879699,2.4195725,1.5992142857142873,2.8131315352480177,5.055334119216131,266.0,277.0,133.0,509.3333333333333,383.0,51.0,31,0,0,1,17,11.0,512.0,16742.615,790.4463000000001,2978.7805000000003,192,0,0,33,0.09249360520295102,0.49372205075550935,0.3599270984844869,0,1526.613299999999,1216.0479,17,0,160.0,0,0,0,0.0,0,0.0,45009.691599999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,387.1316,64.0,1050.6726999999998,4,75.7022,75.70240000000001,NaN,1280.0,100.0,0.30665408203125,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,995.1843181064062,0.0,995.1843181064062,0.0,75.7022,6769.253699999999,4819.8995,0.5352946304802513,95,12096.160600000005,33,32913.531,4,0.0,4,60.794899999999984,2,159.1884,597.4459,15.8785966314234,146.9376,0,0,133,133,"F8-3 step 8, full money stock, fee 3 %, matching prices",sumsy,10,-2.1827872842550278e-11
