round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6640.561899999987,0.0,186.2,186.2,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,34.438,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6961311102119525,0.0,168.0,1.0,0.0,1.0,0,0,0,0.7731568998109641,48,145.42733461538458,1.3752769230769228,146.8026115384615,3.7986330769230783,0.9225730769230767,4.721206153846155,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,105.75810000000007,186.2,35.049099999999925,0.0,0.0,0.0,0.0,0.0,0,53.9136,640.0,105.75810000000007,35.049099999999925,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,23.0,40.0,512.0,185.0,51.0,81,0,0,0,16,7.0,512.0,3693.4707000000026,541.6416,1360.1088000000002,191,1,0,32,0.2131154692539592,0.6961311102119525,0.6586509398658573,6,1320.6534999999997,115.0,16,0,116.0,0,0,0,0.0,0,0.0,49738.770700000154,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,232.0,52.0,956.9892,4,94.62599999999999,94.62599999999998,NaN,1280.0,100.0,0.19875583333333335,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,140.10000000000002,0.0,140.10000000000002,0.0,94.62599999999999,892.6587,2858.739600000001,0.7245178212729173,96,3075.0280000000016,32,46663.74270000001,4,0.0,4,0.0,2,53.9136,-105.812,11.925,240.1,0,0,40,40,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
2,128,4,4,7165.3387,0.0,426.6989,242.7964,246.062,,246.062,0.0,0.0,0.0,0.0,0.0,0.0025,37.4191,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.691353182316186,0.0,241.0,0.0,0.0,1.0,0,0,0,0.26609848484848486,48,145.16456692307693,1.9360061538461537,147.10057307692307,3.2005376923076923,1.4150923076923076,4.61563,643.7239999999995,225.99999999999983,643.7239999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.4595,0.0,48,640.0,115.22319999999995,242.7964,38.1605,0.0,0.0,0.0,0.0,0.0,1,109.1467,640.0,115.22319999999995,38.1605,82.0,0.0,0.0,0.015,4.830719696969697,5.488807017543855,2.0662642857142846,1.142971681415928,3.540359105431296,9.8902375,228.0,264.0,114.0,512.0,313.0,51.0,49,0,0,2,12,5.0,512.0,4124.490500000002,329.25260000000003,1934.1674,191,1,0,32,0.1645494025640859,0.691353182316186,0.4281414639289376,2,1856.663800000002,1275.3100000000002,13,1,56.0,0,0,0,0.0,0,0.0,50167.493,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,115.71079999999994,32.0,630.8624,4,34.6434,34.6432,NaN,1280.0,100.0,0.19230113932291668,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,0,12,0.0,0,0.0,1200.0,0.0,2232.142270270271,0.0,2232.142270270271,0.0,34.6434,1161.4508000000003,2894.2824,0.7167479803333263,96,3298.6005999999998,32,46868.892399999975,4,0.0,4,0.0,2,109.1467,-208.6429,12.640500000000001,240.1,0,0,114,114,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
3,128,4,4,7680.813700000001,0.0,925.5986,508.04650000000004,344.14480000000003,,344.14480000000003,0.0,0.0,0.0,0.0,0.0,0.0025,40.4119,0.0,0.0,1.0,135.5019,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6867797740633566,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2649951947538018,48,151.10202787497218,2.3918358311674437,153.49386370613962,3.0584931446532146,1.9508265320709355,5.00931967672415,751.2939999999999,643.7239999999995,751.2939999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.265825,0.0,48,640.0,124.52499999999999,508.04650000000004,41.23420000000001,0.0,0.0,0.0,0.0,0.0,2,9.5072,640.0,124.52499999999999,41.23420000000001,82.0,0.0,0.0,0.015,4.814047368421051,5.472343283582089,1.873140740740739,1.338818181818182,3.526759265498669,9.593530374999999,268.0,266.0,134.0,509.33333333333337,371.0,51.0,34,0,0,3,11,7.0,512.0,4680.466199999999,593.6482,2028.1087000000002,190,2,0,32,0.12980452907394135,0.6867797740633566,0.32029701126447074,0,2093.947199999999,1280.5365999999997,11,0,81.0,0,0,0,0.0,0,0.0,50609.43230000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,151.72439999999986,50.0,328.6715,4,0.0,0.0,NaN,1280.0,100.0,0.18549313802083334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,12,0.0,0,0.0,1200.0,0.0,3093.0492235632887,0.0,3093.0492235632887,0.0,0.0,1519.4660000000001,2950.4284,0.7092139787239371,96,3615.5709999999985,32,46993.8613,4,0.0,4,0.0,2,141.65050000000002,-303.73290000000003,13.398930000000002,240.1,0,0,134,134,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
4,128,4,4,8181.5857000000005,0.0,1015.7761,119.82249999999999,438.7669000000001,,438.7669000000001,0.0,0.0,0.0,0.0,0.0,0.0025,45.1912,0.0,0.0,1.0,135.03400000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6873435564396175,0.0,258.0,0.0,0.0,1.0,0,0,0,0.25806028145347615,48,152.42824032939365,2.3579439455904065,154.78618427498407,3.2252766595599907,2.1699947866807143,5.395271446240705,733.7851999999991,751.2940000000006,733.7851999999991,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.080450000000003,0.0,48,640.0,139.228,119.8225,46.1044,0.0,0.0,0.0,0.0,0.0,5,5.948,640.0,139.228,46.1044,82.0,0.0,0.0,0.015,5.419165942028983,5.422615151515145,1.818322499999998,1.4316915384615396,3.2910410201685267,9.305724463749998,264.0,276.0,132.0,508.00000000000006,380.99999999999994,51.0,32,0,0,1,16,12.0,512.0,4899.847000000001,681.0851,2235.3321,190,2,0,32,0.1298787967894719,0.6873435564396175,0.2915833284650109,0,2042.8336999999995,1495.6897999999994,16,0,120.0,0,0,0,0.0,0,0.0,50860.33989999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,218.19869999999977,64.0,314.1823,4,0.0,0.0,NaN,1280.0,100.0,0.20402280598958336,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1200.0,0.0,2936.951557549198,0.0,2936.951557549198,0.0,0.0,1796.8719999999998,3230.5995,0.7094890208120141,96,3628.6553999999987,32,47231.6845,4,0.0,4,0.0,2,215.96839999999997,-393.5757000000001,14.202865800000003,240.1,0,0,132,132,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
5,128,4,4,8668.429199999999,0.0,1091.688,106.8168,545.5837,,545.5837,0.0,0.0,0.0,0.0,0.0,0.0025,49.7445,0.0,0.0,1.0,152.008,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6846757073799223,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2572395148115485,48,135.88684200324266,2.420783394236714,138.3076253974794,3.152162618828502,2.135215748201677,5.287378367030179,776.7491000000003,733.7852000000003,776.7491000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.850550000000007,0.0,48,640.0,153.15650000000002,106.8168,50.725299999999976,0.0,0.0,0.0,0.0,0.0,8,6.6668,640.0,153.15650000000002,50.725299999999976,82.0,0.0,0.0,0.015,5.570751711026616,5.579037500000003,1.772237894736839,1.5930805970149255,3.214366421612454,9.0265527298375,272.0,263.0,136.0,510.6666666666667,389.0,51.0,30,0,0,2,13,8.0,512.0,5223.8062,697.1904,2434.6091,190,2,0,32,0.13558729127671287,0.6846757073799223,0.310844252632438,1,2057.776099999999,1465.1077,13,0,95.0,0,0,0,0.0,0,0.0,51203.64440000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,168.3625999999997,64.0,256.4122,4,0.0,0.0,NaN,1280.0,100.0,0.2162960546875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2725.7147778403614,0.0,2725.7147778403614,0.0,0.0,1985.3615999999997,3388.2117000000003,0.7067341734220278,96,3773.5157,32,47430.1287,4,0.0,4,0.0,2,292.48019999999997,-495.8392,15.055037748000004,240.1,0,0,136,136,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
6,128,4,4,9139.266400000006,0.0,1328.7302,267.9471,652.0993000000001,,652.0993000000001,0.0,0.0,0.0,0.0,0.0,0.0025,54.9732,0.0,0.0,1.0,156.2601,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.6844286668021315,0.0,258.0,0.0,0.0,1.0,0,0,0,0.25963332351414664,48,133.3428779305125,1.9538234603188875,135.29670139083137,3.979009337832822,1.803877531691671,5.782886869524493,756.743299999999,776.7491000000002,756.743299999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-19.311350000000008,0.0,48,640.0,169.16279999999998,267.9471,56.0339,0.0,0.0,0.0,0.0,0.0,11,45.0811,640.0,169.16279999999998,56.0339,82.0,0.0,0.0,0.015,5.518161423220973,5.554460902255631,1.725917699115047,1.7720669230769224,3.145238865520354,8.755756147942373,266.0,267.0,133.0,509.33333333333337,383.0,51.0,31,0,0,1,14,6.0,512.0,5458.067999999998,730.2814999999999,2618.8195,189,3,0,32,0.15196458424024795,0.6844286668021315,0.3145769677872552,0,2020.2132000000004,1473.3491,14,0,113.0,0,0,0,0.0,0,0.0,51414.9498,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,195.02870000000033,64.0,232.0431,4,0.0,0.0,NaN,1280.0,100.0,0.23599044270833336,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2462.753778105285,0.0,2462.753778105285,0.0,0.0,2060.3480999999997,3581.1441000000004,0.7061519157337666,96,3860.7001,32,47554.249699999986,4,0.0,4,2.9248000000000047,2,367.0947,-597.1261000000001,15.958340012880004,240.1,0,0,133,133,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
7,128,4,4,9592.804600000001,0.0,1389.5655000000002,99.8118,751.9111000000001,,751.9111000000001,0.0,0.0,0.0,0.0,0.0,0.0025,60.6439,0.0,0.0,1.0,154.785,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.6859078526158953,0.0,260.0,0.0,0.0,1.0,0,0,0,0.2586445734988545,48,136.02848222565746,1.5217213129753682,137.55020353863281,5.499314964692451,1.1963795326527216,6.695694497345173,769.6228999999996,756.7433000000002,769.6228999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-26.07745,0.0,48,640.0,186.46179999999998,99.8118,61.776299999999985,0.0,0.0,0.0,0.0,0.0,14,47.5028,640.0,186.46179999999998,61.776299999999985,82.0,0.0,0.0,0.015,5.464713868613144,5.567577037037034,1.6663712230215861,1.9318840909090902,3.134386377057774,8.493083463504101,270.0,274.0,135.0,510.6666666666667,387.00000000000006,51.0,30,0,0,1,15,10.0,512.0,5657.605000000002,734.5378000000001,2841.538,189,3,0,32,0.1908945691242141,0.6859078526158953,0.3225699801255679,4,2043.7672999999995,1497.3316000000013,15,0,139.0,0,0,0,0.0,0,0.0,51640.506699999954,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,231.62560000000047,64.0,250.9771,4,0.0,0.0,NaN,1280.0,100.0,0.2545376627604166,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2291.7202125110794,0.0,2291.7202125110794,0.0,0.0,2192.1719000000003,3827.0529,0.7073634471211727,96,3888.7044,32,47751.8023,4,0.0,4,2.778599999999983,2,423.70439999999996,-691.2672000000001,16.915840413652806,240.1,0,0,135,135,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
8,128,4,4,10030.357499999998,0.0,1451.5130000000001,100.9242,844.5528,,844.5528,0.0,0.0,0.0,0.0,0.0,0.0025,65.8887,0.0,0.0,1.0,153.28560000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.984375,0.6878635615701683,0.0,259.0,0.0,0.0,1.0,0,0,0,0.26196687586648976,48,138.88036095986703,1.2696991049328623,140.15006006479987,6.576727616391302,1.0170255899535896,7.593753206344892,761.3518000000001,769.6229000000003,761.3518000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.453675,0.0,48,640.0,202.44710000000003,100.9242,67.08379999999997,0.0,0.0,0.0,0.0,0.0,16,107.7995,640.0,202.44710000000003,67.08379999999997,82.0,0.0,0.0,0.015,5.432256756756753,5.547401492537315,1.6422043750000033,1.9588022900763362,3.087295387050888,8.238290959598977,268.0,259.0,134.0,510.6666666666667,385.0,51.0,31,0,0,1,10,4.0,512.0,5838.6027,758.8967,2957.5025,189,3,0,32,0.22559631125975588,0.6878635615701683,0.33736154152656606,7,2012.8936999999999,1406.9544999999991,11,1,160.0,0,0,0,0.0,0,0.0,51891.95839999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,262.7527000000005,64.0,301.66740000000004,4,0.0,0.0,NaN,1280.0,100.0,0.2695109895833333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,8.282399999999999,2118.5656049838854,0.0,2118.5656049838854,0.0,0.0,2332.698,4018.0666,0.7087861209823039,96,3903.7567000000004,32,47988.2017,4,0.0,4,10.914800000000014,2,478.3024,-778.6641000000001,17.930790838471975,240.1,0,0,134,134,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
9,128,4,4,10453.498000000001,0.0,1666.1211000000003,253.99880000000002,931.0393,,931.0393,0.0,0.0,0.0,0.0,0.0,0.0025,70.7016,0.0,0.0,1.0,152.37519999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.9791666666666666,0.6890362114648396,0.0,258.0,0.0,0.0,1.0,0,0,0,0.2718343195266272,48,141.01877410501805,0.8507372320306577,141.86951133704872,8.218779271660338,0.7391077514753162,8.957887023135655,749.3155999999996,761.3518000000008,749.3155999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-38.523075000000006,0.0,48,640.0,216.85949999999988,253.99880000000002,71.89030000000001,0.0,0.0,0.0,0.0,0.0,18,139.2774,640.0,216.85949999999988,71.89030000000001,82.0,0.0,0.0,0.015,5.378430384615384,5.498613533834583,1.677670624999998,1.9373767441860463,3.1358329034647996,7.991142230811008,266.0,260.0,133.0,510.66666666666663,382.99999999999994,51.0,31,0,0,2,7,3.0,512.0,6228.884600000002,737.2958000000001,2927.2292999999995,188,4,0,32,0.261478249603067,0.6890362114648396,0.3465864328772401,8,2005.0849000000007,1398.3918999999999,8,1,160.0,0,0,0,0.0,0,0.0,52109.90710000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,268.42729999999966,64.0,350.10929999999996,4,0.0,0.0,NaN,1280.0,100.0,0.27704832682291664,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,15.5097,2036.7633424432258,0.0,2036.7633424432258,0.0,0.0,2637.0618,4014.6344000000004,0.707865220807735,96,3956.2737999999986,32,48153.63330000001,4,0.0,4,175.4539000000001,2,504.08160000000004,-860.3377,19.006638288780294,240.1,0,0,133,133,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
10,128,4,4,10864.0809,0.0,2018.0318000000004,399.6312,1011.2022000000001,,1011.2022000000001,0.0,0.0,0.0,0.0,0.0,0.0025,74.9391,0.0,0.0,1.0,150.8645,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,1,0.96875,0.6916302532985061,0.0,254.0,0.0,0.0,1.0,0,0,0,0.26781893004115226,48,143.59658905346922,0.6416498836985541,144.23823893716775,9.561433386449108,0.7794781992086769,10.340911585657786,725.7124000000002,749.3156000000004,725.7124000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-45.86477500000003,0.0,48,640.0,229.41709999999992,399.6312,76.08879999999996,0.0,0.0,0.0,0.0,0.0,19,156.72480000000002,640.0,229.41709999999992,76.08879999999996,82.0,0.0,0.0,0.015,5.295040370370373,5.44394153846154,1.7676999999999983,1.9378564516129029,3.150463056468074,7.751407963886677,260.0,270.0,130.0,509.3333333333333,377.0,51.0,33,0,0,2,10,9.0,512.0,6705.644300000001,700.2044,2822.1546000000003,186,6,0,32,0.2893763251756061,0.6916302532985061,0.3492311540449098,9,1967.3604000000003,1429.6609000000008,10,0,160.0,0,0,0,0.0,0,0.0,52173.39990000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,282.8319999999997,64.0,404.4137,4,1.4858,1.4856,NaN,1280.0,100.0,0.2856312890625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,12,0.0,0,0.0,1200.0,26.753500000000003,2021.293090595831,0.0,2021.293090595831,0.0,1.4858,3133.5862,3926.7727,0.7071681584934557,96,3939.614899999999,32,48233.784999999996,4,0.0,4,474.1127,2,515.8304,-936.2631000000001,20.147036586107113,240.1,0,0,130,130,"FF8-3 step 8, filling up, fee 3 %",sumsy,3,1.4551915228366852e-11
