round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6678.950899999998,0.0,749.95,749.95,704.0,,704.0,0.0,0.0,0.0,0.0,0.0,0.0025,33.1168,2112.0,0.0,1.02,704.0,1363.4657666666667,0.02,0.0,1.02,0.0,0.0,1.02,0.0,0,0,0.9947916666666666,0.6885352801550049,0.0,168.0,1.0,0.0,1.02,0,0,0,0.7731568998109641,48,144.9501853846154,1.8215815384615386,146.7717669230769,3.5274407692307674,1.1166346153846152,4.644075384615383,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,67.36909999999993,749.95,33.495299999999965,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,67.36909999999993,33.495299999999965,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.1520000000000015,3.9200000000000013,80.0,23.0,40.0,512.0,390.0,256.0,30,0,0,0,16,7.0,512.0,4171.0739,547.2837,1233.8981999999999,191,1,0,32,0.18686473325700415,0.6885352801550049,0.29788467249489425,5,1882.5653999999997,115.0,16,0,116.0,0,0,0,0.0,0,0.0,50243.77390000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,232.0,52.0,639.1031,4,40.991,40.99079999999999,NaN,1280.0,100.0,0.17021061197916668,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,162.06720000000004,0.0,162.06720000000004,0.0,40.991,1010.4148999999999,2420.285,0.7107806124864828,96,3474.3198,32,46769.45410000001,4,0.0,4,160.8,2,54.4752,-670.8832,11.925,240.1,0,0,40,40,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
2,128,4,4,7246.778199999999,0.0,1622.9773999999995,875.3248999999997,1300.6331999999995,,1300.6331999999995,0.0,0.0,0.0,0.0,0.0,0.0025,36.1319,2000.625,0.0,1.0404,629.75,1286.6685333333332,0.02,0.0,1.0404,0.0,0.0,1.0404,0.0,0,0,0.9895833333333334,0.679548307464469,0.0,242.0,0.0,0.0,1.0404,0,0,0,0.26290809327846365,48,145.4080123076923,2.5051915384615384,147.91320384615383,2.5033515384615392,2.2401561538461534,4.743507692307693,644.4086999999996,225.99999999999983,644.4086999999996,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.4595,0.0,48,640.0,72.17269999999998,875.3249,36.57970000000003,0.0,0.0,0.0,0.0,0.0,6,0.2228,640.0,72.17269999999998,36.57970000000003,82.0,0.0,0.0,0.015,4.832851851851851,5.4470321739130405,2.087490476190476,1.142753982300884,3.2780154296875015,3.802399999999999,230.0,270.0,115.0,512.0,512.0,229.0,0,0,0,2,14,9.0,512.0,4655.340899999999,286.87710000000004,1841.6878,190,2,0,32,0.12115262617636668,0.679548307464469,0.11779344887309917,0,2428.4478000000013,1304.87,15,1,105.0,0,0,0,0.0,0,0.0,51016.23919999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,219.18649999999994,51.0,426.5177,4,0.1393,0.1392,NaN,1280.0,100.0,0.17666005859375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.5601,2154.8034000000002,0.0,2154.8034000000002,0.0,0.1393,1465.1683,2555.0825999999997,0.7002126552911745,96,3953.4429999999998,32,47062.79620000001,4,0.0,4,160.8,2,113.9684,-1264.5012999999994,12.640500000000001,240.1,0,0,115,115,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
3,128,4,4,7804.643100000001,0.0,2420.8621999999996,814.1169,1735.8665999999998,,1735.8665999999998,0.0,0.0,0.0,0.0,0.0,0.0025,41.8959,1805.1152999999995,0.0,1.061208,471.3652999999996,1151.939033333333,0.02,0.0,1.061208,0.0,0.0,1.061208,0.0,0,0,0.9895833333333334,0.6712996902598938,0.0,261.0,0.0,0.0,1.061208,0,0,0,0.2584955984577328,48,150.98658245354235,3.3859630284419726,154.3725454819843,2.072266644894187,2.8437373955908374,4.916004040485024,749.9716000000002,644.4087000000001,749.9716000000002,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.6829,0.0,48,640.0,82.1351,814.1169,42.44259999999999,0.0,0.0,0.0,0.0,0.0,29,10.34,640.0,82.1351,42.44259999999999,82.0,0.0,0.0,0.015,4.749164312267653,5.422011851851853,2.017790076335877,1.3332609022556388,3.249005007756448,3.688327999999999,270.0,269.0,135.0,509.3333333333333,509.3333333333333,177.33333333333331,0,0,0,1,13,10.0,512.0,4858.322200000002,594.7719000000001,1942.1282,190,2,0,32,0.09896964403678288,0.6712996902598938,0.12307613587576038,0,2450.4729999999995,1277.5251999999987,13,0,131.0,0,0,0,0.0,0,0.0,51846.8579,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,264.33049999999986,60.0,357.1849,4,0.0,0.0,NaN,1280.0,100.0,0.17511858723958332,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.5321,3020.0136686572655,0.0,3020.0136686572655,0.0,0.0,1764.3352000000004,2894.0850000000005,0.6915025281446379,96,4430.666100000003,32,47416.19180000001,4,0.0,4,160.80000000000007,2,190.9487,-1693.9706999999999,13.398930000000002,240.1,0,0,135,135,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
4,128,4,4,8351.640499999996,0.0,2874.9395999999997,489.25360000000006,2160.6568999999995,,2160.6568999999995,0.0,0.0,0.0,0.0,0.0,0.0025,48.4561,1703.8511249999992,0.0,1.08243216,466.68619999999953,1079.359691666666,0.02,0.0,1.08243216,0.0,0.0,1.08243216,0.0,0,0,0.9895833333333334,0.6659969689561134,0.0,259.0,0.0,0.0,1.08243216,0,0,0,0.2535553243149497,48,154.66957362021284,3.759991875758637,158.42956549597147,2.363985946602676,3.0258821539067546,5.389868100509431,735.7091000000001,749.9716000000005,735.7091000000001,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.532700000000002,0.0,48,640.0,93.00260000000006,489.2536,49.03849999999999,0.0,0.0,0.0,0.0,0.0,53,5.085100000000001,640.0,93.00260000000006,49.03849999999999,82.0,0.0,0.0,0.015,4.662053405017914,5.396309022556392,1.9847903703703693,1.4304847328244277,3.1994652997757758,3.5776781599999983,266.0,279.0,133.0,510.66666666666663,510.66666666666663,178.66666666666669,0,0,0,0,17,16.0,512.0,5249.7239,682.1270999999999,1972.9273000000003,190,2,0,32,0.09535158765087615,0.6659969689561134,0.13193627061448976,0,2431.8330000000005,1300.712899999998,17,0,135.0,0,0,0,0.0,0,0.0,52624.565900000045,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,267.94669999999985,64.0,393.32099999999997,4,0.0,0.0,NaN,1280.0,100.0,0.18325499999999997,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.5041,2863.4933865677735,0.0,2863.4933865677735,0.0,0.0,1851.2892000000004,3048.3754000000004,0.6859693909250886,96,4842.0722000000005,32,47782.493700000006,4,0.0,4,160.79999999999995,2,265.9633,-2112.2007999999996,14.202865800000003,240.1,0,0,133,133,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
5,128,4,4,8887.9622,0.0,3241.394499999999,404.85440000000006,2558.358599999999,,2558.358599999999,0.0,0.0,0.0,0.0,0.0,0.0025,55.1772,1630.7755799999995,0.0,1.1040808032,446.1578000000002,1025.3233999999998,0.02,0.0,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,0.9895833333333334,0.6612034704546239,0.0,262.0,0.0,0.0,1.1040808032,0,0,0,0.25327778101509235,48,158.64812239917433,4.2088469449212225,162.85696934409555,2.661903968792219,3.2947268023913354,5.956630771183555,741.7337999999996,735.7091000000008,741.7337999999996,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-17.675325000000004,0.0,48,640.0,103.67830000000004,404.8544,55.78350000000003,0.0,0.0,0.0,0.0,0.0,71,6.3698,640.0,103.67830000000004,55.78350000000003,82.0,0.0,0.0,0.015,5.063368702290078,5.321572058823527,2.017889374999998,1.5606455223880598,3.151050411836359,3.4703478152,272.0,262.0,136.0,512.0,512.0,174.0,0,0,0,1,13,10.0,512.0,5636.9539,670.1066999999999,2037.7963,190,2,0,32,0.08339127302757476,0.6612034704546239,0.13785596750053042,0,2425.341299999999,1326.6026000000004,13,0,160.0,0,0,0,0.0,0,0.0,53310.32100000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,322.86229999999966,64.0,481.55830000000003,4,0.0,0.0,NaN,1280.0,100.0,0.19447275390625005,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.4761,2820.931574369356,0.0,2820.931574369356,0.0,0.0,2036.2114000000006,3189.4613000000004,0.6810418899677693,96,5174.716399999999,32,48135.60459999999,4,0.0,4,160.8,2,343.93850000000003,-2503.181399999999,15.055037748000004,240.1,0,0,136,136,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
6,128,4,4,9413.557,0.0,3655.417899999999,452.78060000000005,2989.601999999999,,2989.601999999999,0.0,0.0,0.0,0.0,0.0,0.0025,62.1542,1602.18995,0.0,1.126162419264,486.4206000000004,1000.7185999999999,0.02,0.0,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,0.9895833333333334,0.6569341737168055,0.0,260.0,0.0,0.0,1.126162419264,0,0,0,0.2585227272727273,48,147.06257023073007,4.289156497611613,151.35172672834167,2.3613551059502838,3.185843447012691,5.547198552962975,747.2126999999999,741.7337999999995,747.2126999999999,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-24.505450000000003,0.0,48,640.0,114.4052,452.7806,62.8002,0.0,0.0,0.0,0.0,0.0,84,6.2786,640.0,114.4052,62.8002,82.0,0.0,0.0,0.015,5.304438257575755,5.401575555555555,2.140260625,1.7315563909774438,3.190195600522193,3.3662373807439985,270.0,264.0,135.0,510.66666666666663,510.66666666666663,174.66666666666669,0,0,0,2,13,7.0,512.0,5927.784299999997,670.3549,2158.0427,190,2,0,32,0.07635458393893435,0.6569341737168055,0.14109190638392577,0,2456.329900000001,1400.3716999999992,13,0,160.0,0,0,0,0.0,0,0.0,53934.02019999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,342.44169999999997,64.0,588.9423,4,3.7294,3.7292,NaN,1280.0,100.0,0.21042787109375002,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.4481,2545.748873746289,0.0,2545.748873746289,0.0,3.7294,2181.9023,3417.3399000000004,0.6762798639182324,96,5464.6354,32,48469.38479999999,4,0.0,4,176.77109999999993,2,421.7161,-2927.447799999999,15.958340012880004,240.1,0,0,135,135,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
7,128,4,4,9928.511099999998,0.0,4090.4324999999994,474.8486,3444.8088999999995,,3444.8088999999995,0.0,0.0,0.0,0.0,0.0,0.0025,69.3068,1595.0318571428572,0.0,1.14868566764928,517.3611000000002,990.2304047619048,0.02,0.0,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,0.9895833333333334,0.6549467246203968,0.0,258.0,0.0,0.0,1.14868566764928,0,0,0,0.2573884297520661,48,141.67434928444086,4.183213203048439,145.85756248748933,2.7168888638088595,2.960755040415892,5.677643904224752,747.6737000000004,747.2127000000002,747.6737000000004,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.163275000000013,0.0,48,640.0,125.0459,474.8486,70.01349999999998,0.0,0.0,0.0,0.0,0.0,96,6.2546,640.0,125.0459,70.01349999999998,82.0,0.0,0.0,0.015,5.356662909090903,5.4862684210526345,2.224370625,1.8853030534351147,3.203596946444159,3.26525025932168,266.0,275.0,133.0,509.33333333333337,509.33333333333337,177.33333333333331,0,0,0,1,15,12.0,512.0,6175.611599999998,676.7307000000001,2356.6157000000003,190,2,0,32,0.08563317184244545,0.6549467246203968,0.13690787180109676,0,2470.3851999999974,1473.0822999999984,15,0,160.0,0,0,0,0.0,0,0.0,54484.938500000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,355.89930000000004,64.0,643.9917,4,6.218500000000001,6.218399999999999,NaN,1280.0,100.0,0.22866761718750003,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.4201,2367.1127135335064,0.0,2367.1127135335064,0.0,6.218500000000001,2228.1808,3677.3381000000004,0.6734916783936771,96,5689.733099999997,32,48795.2054,4,0.0,4,192.61440000000005,2,499.41140000000007,-3375.5020999999997,16.915840413652806,240.1,0,0,133,133,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
8,128,4,4,10433.122500000007,0.0,4510.2704,460.65379999999993,3884.2083000000002,,3884.2083000000002,0.0,0.0,0.0,0.0,0.0,0.0025,76.5804,1586.4177,0.0,1.1716593810022657,508.7061999999996,978.6496625,0.02,0.0,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,0.9895833333333334,0.6512488537296106,0.0,262.0,0.0,0.0,1.1716593810022657,0,0,0,0.25943541639142115,48,140.9884204260791,4.387198281192702,145.3756187072718,3.113274406376975,3.0948896823609013,6.208164088737876,767.6428000000008,747.6737,767.6428000000008,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-37.61897500000003,0.0,48,640.0,135.3886,460.6538,77.32940000000002,0.0,0.0,0.0,0.0,0.0,108,6.2174,640.0,135.3886,77.32940000000002,82.0,0.0,0.0,0.015,5.390952107279696,5.512079411764711,2.3063881250000007,1.925829104477612,3.192488618015658,3.167292751542029,272.0,261.0,136.0,510.6666666666667,510.6666666666667,172.66666666666669,0,0,0,0,12,5.0,512.0,6544.055700000005,673.5865000000001,2477.7789,190,2,0,32,0.0965696439451531,0.6512488537296106,0.13208810835315132,0,2472.4494999999984,1407.0385000000006,12,0,160.0,0,0,0,0.0,0,0.0,55086.77909999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,369.0221000000001,64.0,654.9036000000001,4,6.7893,6.789199999999999,NaN,1280.0,100.0,0.23833326822916667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.3921,2478.049376748075,0.0,2478.049376748075,0.0,6.7893,2381.8056999999994,3806.269,0.6690707044518236,96,5938.820700000003,32,49147.95839999999,4,0.0,4,207.73820000000012,2,577.04,-3807.6279000000004,17.930790838471975,240.1,0,0,136,136,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
9,128,4,4,10927.645999999997,0.0,4939.551299999999,471.1595,4341.332399999999,,4341.332399999999,0.0,0.0,0.0,0.0,0.0,0.0025,83.9325,1588.0505666666666,0.0,1.195092568622311,533.7044999999996,973.8084999999999,0.02,0.0,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,0.9895833333333334,0.6490789584672729,0.0,259.0,0.0,0.0,1.195092568622311,0,0,0,0.25039268360711087,48,141.15173411279184,4.504711622756151,145.656445735548,3.368400285148833,3.2179487680630667,6.586349053211899,745.5426000000008,767.6428000000014,745.5426000000008,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-43.87897500000005,0.0,48,640.0,145.47649999999993,471.1595,84.74669999999998,0.0,0.0,0.0,0.0,0.0,118,85.445,640.0,145.47649999999993,84.74669999999998,82.0,0.0,0.0,0.015,5.363750957854405,5.470245112781961,2.3584606250000024,1.9364458015267172,3.190429411368528,3.0722739689957668,266.0,261.0,133.0,512.0,512.0,180.0,0,0,0,2,7,5.0,512.0,6819.816200000003,694.2667,2584.7592,190,2,0,32,0.09879141061015706,0.6490789584672729,0.12882587293530623,0,2465.6262000000033,1399.9389999999999,7,0,160.0,0,0,0,0.0,0,0.0,55677.7279,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,377.3537000000004,64.0,659.4264,4,7.563199999999999,7.563199999999998,NaN,1280.0,100.0,0.2487498372395833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.3641,2239.435722486685,0.0,2239.435722486685,0.0,7.563199999999999,2481.4988000000003,3938.4523,0.666165890795188,96,6146.462200000001,32,49531.265699999996,4,0.0,4,219.3053,2,652.0382,-4257.399899999999,19.006638288780294,240.1,0,0,133,133,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
10,128,4,4,11412.240899999999,0.0,5348.905000000002,451.93409999999994,4792.346700000001,,4792.346700000001,0.0,0.0,0.0,0.0,0.0,0.0025,91.5003,1589.7295499999996,0.0,1.2189944199947573,534.9467999999997,968.8613699999997,0.02,0.0,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,0.9895833333333334,0.6470423283920883,0.0,257.0,0.0,0.0,1.2189944199947573,0,0,0,0.2660948986411227,48,143.00380215192894,4.615636197774991,147.61943834970393,3.2280932872514727,3.638269791095843,6.866363078347316,741.0230999999994,745.5425999999995,741.0230999999994,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-49.86047500000005,0.0,48,640.0,155.4051,451.9341,92.35290000000005,0.0,0.0,0.0,0.0,0.0,127,6.1083,640.0,155.4051,92.35290000000005,82.0,0.0,0.0,0.015,5.307051492537315,5.519260305343507,2.4338056249999998,1.919234108527131,3.242901823684578,2.9801057499258943,262.0,268.0,131.0,509.33333333333337,509.33333333333337,181.33333333333334,0,0,0,1,9,9.0,512.0,7201.429099999999,695.3908,2751.6813999999995,190,2,0,32,0.09383178248693036,0.6470423283920883,0.14444903905254525,0,2469.8543000000027,1422.2898000000005,9,0,160.0,0,0,0,0.0,0,0.0,56234.22249999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,389.40889999999996,64.0,666.1310000000001,4,8.3949,8.3948,NaN,1280.0,100.0,0.2628373046875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.3361,1978.9975701503517,0.0,1978.9975701503517,0.0,8.3949,2655.011899999999,4113.203199999999,0.6638171053882251,96,6367.390199999997,32,49866.83230000001,4,0.0,4,217.05500000000006,2,696.2475,-4700.846400000001,20.147036586107113,240.1,0,0,131,131,"GP10-50 step 10, public employment 50 %, parking tax policy",sumsy,3,3.637978807091713e-12
