round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6087.0419999999995,0.0,6108.3715999999995,0.0,949.0739999999996,,0.0,71.974,877.0999999999996,0.0,877.0999999999996,0.0,0.00375,0.0,2925.0009,0.0,1.0,975.0003,1924.0743000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0,0.9791666666666666,0.44238008645179416,0.0,128.0,0.0,0.0,1.0,0,0,6,NaN,128,10.19415384615385,-0.2610753846153845,9.933078461538464,2.6437230769230764,1.4485846153846154,4.092307692307692,299.92600000000067,0.0,299.92600000000067,0.0,0,0,0.0,0.0,10.26,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,21.3296,21.3296,0.0,4,73.15,92.428,229.38,25.926299999999998,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,810.0,162.89399999999986,0.005,NaN,5.199999999999997,2.0,0.75,3.73124324324325,3.9200000000000013,80.0,0.0,40.0,512.0,185.0,51.0,81,0,0,0,0,0.0,512.0,4473.55,0.0,1042.9548,188,4,0,32,0.11246811466844009,0.44238008645179416,0.09011009610564669,1,1256.794,0.0,0,0,4.0,128,0,0,4473.55,188,4775.829200000008,4775.829200000008,0.0,0,4,0,1.5,0,0.0,128,128,4775.829200000008,188,7680.0,0,0,8.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.2849433333333333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,806.7459999999999,768,600.0,600.0,0.0,652.828,326.4140000000001,326.4140000000001,0.0,0.0,922.0,806.7459999999999,0.455062001170915,96,1788.6223999999984,32,2987.206800000001,4,0.0,4,266.72,2,20.15360000000003,-71.974,11.925,11.25,0,0,40,40,SB2 best SuMSy + everyone greedy,debt,9,0.0
2,128,4,4,6140.167300000001,0.0,6187.3776,0.0,1556.5963,,0.0,251.8676,1304.7287,0.0,427.62869999999975,3.2886300000000017,0.00375,0.0,2486.6110500000013,0.0,1.0,682.7404000000007,1605.3439500000009,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.9791666666666666,0.4260585798825294,0.0,100.0,0.0,0.0,1.0,0,0,6,0.2581787109375,128,10.702348017479594,0.17722267281786208,10.879570690297456,2.5465346057451312,1.6864260008996848,4.2329606066448155,766.8112000000053,262.09599999999966,804.6412000000051,0.0,0,0,0.0,0.0,75.3261,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,47.2103,61.07050000000001,0.0,14,198.8085,145.68320000000003,699.9872999999999,78.86719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,524.7360000000002,399.09370000000087,0.003576674332629421,4.894000000000005,5.428520792079208,1.8499999999999999,1.1261587628865979,3.4847062068965413,3.802399999999999,202.0,256.0,101.0,512.0,290.0,51.0,54,0,0,0,0,0.0,512.0,4078.3424000000005,2.1796,1707.8095,188,4,0,32,0.1181133184618095,0.4260585798825294,0.2716220123569455,1,1240.3632000000005,1252.8640000000012,0,0,6.0,128,0,0,4078.3424000000005,188,5101.557899999996,5101.557899999996,0.0,0,6,0,1.5,0,0.0,128,128,5101.557899999996,188,7680.0,0,0,11.1,35.0,351.8358,4,0.0,0.0,NaN,1280.0,100.0,-0.25855049479166664,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,54,0.0,6,6,1103.5243,768,600.0,600.0,0.0,2393.93904594595,1150.0732675675697,1243.8657783783801,0.0,0.0,822.6528999999999,958.3006,0.4344239927195088,96,2033.642225000001,32,3067.9156749999997,4,0.0,4,266.72,2,46.09310000000019,-251.8676,12.640500000000001,11.25,0,0,101,101,SB2 best SuMSy + everyone greedy,debt,9,0.0
3,128,4,4,6657.232799999995,0.0,6716.292200000001,0.0,1892.9674000000002,,0.0,239.0943,1653.8731000000002,0.0,349.1443999999999,4.891533875000012,0.00375,0.0,2271.398400000001,0.0,1.0,613.6577000000003,1384.8548333333342,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.4560404927169468,0.0,244.0,1.0,0.0,1.0,0,0,6,0.25,128,13.82928861085787,0.21494361964021844,14.044232230498086,3.1571649743799286,1.8946810851592197,5.051846059539148,926.1629000000066,804.6412000000045,926.1629000000066,0.0,0,0,0.0,0.0,60.9832,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.05939999999999,92.00270000000003,0.0,14,663.1942000000001,146.12869999999998,644.1111000000001,283.43879999999973,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,452.1560000000002,0.0,0.007004760681833186,4.829400000000001,5.463606249999996,1.7836,1.3160766129032249,3.4447082822086132,5.61110475225225,256.0,256.0,128.0,512.0,326.0,51.0,46,0,0,0,0,0.0,512.0,4551.582299999996,108.9478,1858.5705,188,4,0,32,0.1351669820336432,0.4560404927169468,0.2221215907553944,0,1944.5015000000014,1236.3264000000001,0,0,1.0,128,0,0,4551.582299999996,188,6264.322799999999,6264.322799999999,0.0,0,1,0,1.5,0,0.0,128,128,6264.322799999999,188,7680.0,0,0,1.7836,17.0,138.1322,4,0.0,0.0,NaN,1280.0,100.0,-0.2882574479166667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,6,6,1114.9876000000002,768,600.0,600.0,0.0,3265.3208325551373,1575.7251255879132,1689.5957069672236,0.0,0.0,1044.4767,990.6629,0.46387163651091967,96,2186.90845,32,4077.41435,4,0.0,4,266.72,2,58.00099999999964,-239.0943,13.398930000000002,14.9946,0,0,128,128,SB2 best SuMSy + everyone greedy,debt,9,0.0
4,128,4,4,6507.7652,0.0,6576.0748,0.0,2318.9608000000003,,0.0,226.321,2092.6398000000004,0.0,438.7667,6.200573750000012,0.00375,0.0,2117.794425000001,0.0,1.0,552.3275000000003,1281.3719500000007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.4695304411025205,0.0,126.0,0.0,0.0,1.0,0,0,6,0.26912405866032507,128,14.377651627372087,0.5542378739017589,14.931889501273846,2.3315119572108016,1.906453580792008,4.237965538002809,962.7104999999989,805.3524000000024,1083.5209999999968,0.0,0,0,0.0,0.0,77.3933,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,68.30959999999999,126.75340000000001,0.0,22,25.5005,174.9681,524.0599,133.73169999999988,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,392.9576000000001,403.24940000000026,0.008908526740058233,5.240834099616859,5.441184732824432,1.7318000000000002,1.414729921259842,3.3199951149425257,5.442771609684681,262.0,261.0,131.0,512.0,348.0,51.0,40,0,0,0,4,0.0,512.0,3838.199999999999,622.9109,2005.4451000000001,188,4,0,32,0.12140691315264962,0.4695304411025205,0.288049466582303,0,1124.494,1367.8577000000002,0,0,20.0,128,0,0,3838.199999999999,188,6391.608800000001,6391.608800000001,0.0,5,20,0,1.5,0,0.0,128,128,6391.608800000001,188,7680.0,0,0,34.636,33.0,41.209199999999996,4,0.0,0.0,NaN,1280.0,100.0,-0.2505753645833333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,6,6,1451.9108,768,600.0,600.0,0.0,3043.416994875588,1430.251009002088,1613.1659858735009,0.0,0.0,807.3816,1217.6544000000001,0.47500614511607564,96,2217.2477249999993,32,4174.361075000001,4,0.0,4,266.72,2,67.31000000000004,-226.321,14.202865800000003,14.9946,0,0,131,131,SB2 best SuMSy + everyone greedy,debt,9,0.0
5,128,4,4,6461.489300000002,0.0,6526.724,0.0,2741.582300000001,,0.0,287.9551,2453.627200000001,0.0,360.98739999999987,7.845219125000007,0.00375,0.0,2093.9633731034482,0.0,1.0,666.2130551724133,1241.0684220689654,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.4624238551979065,0.0,112.0,0.0,0.0,1.0,0,0,6,0.2732641291810842,128,14.146935563770771,0.29899212973618405,14.445927693506954,2.2440599969966506,1.7445013778170728,3.9885613748137234,947.8059999999969,934.8723999999976,1096.4545999999973,0.0,0,0,0.0,0.0,81.5653,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,65.23469999999999,154.0879000000001,0.0,36,104.81680000000001,151.0927,644.9680000000001,252.57180000000008,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,493.2667999999998,18.6622,0.010530832643425463,5.553682352941175,5.523293750000002,NaN,1.5303709677419362,3.3706514899290227,5.279488461394142,256.0,255.0,128.0,512.0,319.0,51.0,48,0,0,1,0,0.0,512.0,4019.1588999999976,233.4894,2191.8765,188,4,0,32,0.11166245252053897,0.4624238551979065,0.19643538007320616,0,1953.104000000002,1416.1889999999996,0,0,0.0,128,0,0,4019.1588999999976,188,6718.295500000002,6718.295500000002,0.0,0,0,0,1.5,0,0.0,128,128,6718.295500000002,188,7680.0,0,0,0.0,10.0,16.964499999999997,4,0.0,0.0,NaN,1280.0,100.0,-0.23769113281249998,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,6,6,1177.0657,768,600.0,600.0,0.0,2839.696928892497,1473.907949791076,1365.7889791014209,0.0,0.0,844.8526000000002,1265.2647000000002,0.46935932878988695,96,2322.7993000000006,32,4395.4962,4,0.0,4,266.72,2,64.29389999999998,-287.9551,15.055037748000004,14.9946,0,0,128,128,SB2 best SuMSy + everyone greedy,debt,9,0.0
6,128,4,4,6633.491599999995,0.0,6695.9806,0.0,3309.5086,,0.0,565.7328,2743.7758000000003,0.0,290.14860000000004,9.198249875000005,0.00375,0.0,2097.829374374577,0.0,1.0,705.7197935767404,1244.7242829163847,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.4682331978237595,0.0,108.0,0.0,0.0,1.0,0,0,6,0.2723388671875,128,13.758564371867577,0.5413044700586129,14.299868841926191,1.4503246307248108,1.6579429424266874,3.108267573151498,949.9808999999934,823.4700999999973,1222.9653999999941,15.6933,0,0,0.0,0.0,79.5101,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.48899999999999,181.11770000000013,0.0,55,324.0469,152.0446,913.8506,148.43600000000023,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,522.4502999999996,333.2595999999995,0.01008725843002169,5.568166406249997,5.581664566929132,1.6972,1.6651154471544722,3.435097524199548,5.121103807552316,254.0,256.0,127.0,510.6666666666667,316.0,51.0,48,0,0,0,0,0.0,512.0,3612.8548000000005,631.2993,2387.8498,188,4,0,32,0.07758180464725561,0.4682331978237595,0.2224633301052823,0,1304.6056000000005,1425.4505999999992,0,0,1.0,128,0,0,3612.8548000000005,188,6956.8916,6956.8916,0.0,0,1,0,1.5,0,0.0,128,128,6956.8916,188,7680.0,0,0,1.6972,9.0,1.4876999999999998,4,0.0,0.0,NaN,1280.0,100.0,-0.19445973958333332,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,6,6,1474.6956,768,600.0,600.0,0.0,2326.2534830136774,1224.4979702881321,1101.755512725545,0.0,0.0,739.4537,1545.9412000000002,0.47425410849952443,96,2413.3437749999994,32,4543.547825,4,0.0,4,266.72,2,61.60700000000003,-565.7328,15.958340012880004,14.9946,0,0,127,127,SB2 best SuMSy + everyone greedy,debt,9,0.0
7,128,2,4,12358.861599999995,1.145,10325.437500000002,0.0,9646.147,,0.0,6711.697,2934.4500000000007,0.0,190.6742,10.285891500000005,0.00375,0.0,2109.2002783782473,0.0,1.0,725.8085674667558,1243.4270332045458,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.40896212104025276,0.0,103.0,0.0,0.0,1.0,0,0,4,0.2706298828125,128,14.631840561638771,1.268060548173869,15.89990110981264,1.8555922003783338,1.6610294640542769,3.516621664432611,943.7330999999979,892.9426999999976,691.7366000000003,31.769299999999998,5,0,225.6335999999998,5813.6861,63.95,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.51299999999999,200.73170000000016,2071.5629,73,6201.7615000000005,475.2465000000001,6772.6992,215.97360000000026,0.0,0.0,0.0,0.0,0.0,1,5809.285699999999,0.0,0.0,0.0,0.0,542.0589,9.9319,0.00888974871189602,5.594277343749999,5.569706249999989,NaN,1.8491282258064512,3.5009354358027185,3.2652502593216792,256.0,256.0,128.0,512.0,313.0,51.0,49,0,0,0,0,0.0,512.0,3807.025299999999,167.25,2574.9579,188,2,2,32,0.08757855653566304,0.40896212104025276,0.15203043089573232,0,1809.5032999999994,1432.1349999999998,0,0,0.0,128,0,0,3807.025299999999,188,8367.257399999997,8367.257399999997,0.0,0,0,0,1.5,0,0.0,128,128,8367.257399999997,188,3840.0,0,0,0.0,1.0,0.3427,1,0.0,0.0,NaN,1280.0,100.0,-0.08088510416666668,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,4,3,1478.694,512,400.0,300.0,0.0,1709.4322260659837,752.4500593192911,956.9821667466924,0.0,0.0,410.6169000000001,1263.8566,0.5745711485502596,96,3305.8873750000007,32,5061.370025000002,2,0.0,4,266.72,2,3803.8825999999985,-6711.697,16.915840413652806,14.9946,0,5,64,128,SB2 best SuMSy + everyone greedy,debt,9,0.0
8,128,1,4,12621.641799999987,1.145,9939.837580827307,0.0,10357.315000000002,,0.0,7329.898,3027.4170000000017,0.0,92.96700000000003,11.00050975,0.00375,0.0,2121.559128015788,0.0,1.0,736.0236918261909,1253.3954020105252,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.4001970859439228,2.0,112.0,4.0,0.0,1.0,1,0,3,0.25001135520598344,128,15.306507639831686,1.6368587834569746,16.943366423288662,1.3560148363752769,1.466611371779251,2.822626208154528,940.286399999999,473.49230000000034,115.90509999999998,0.0,7,0,542.6495999999979,5893.1401,47.13629999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,101.58849999999998,244.80720000000017,2744.0578,82,1043.3854999999999,780.6052999999998,1766.6192999999998,148.87339999999995,0.0,0.0,0.0,0.0,0.0,1,5860.5037999999995,0.0,0.0,0.0,0.0,551.4136,497.69409999999976,0.003218453366838376,5.551496108949417,5.668824999999997,NaN,1.9461175999999998,3.4934455059284564,3.167292751542029,256.0,257.0,128.0,512.0,311.0,51.0,50,0,0,0,1,0.0,512.0,3493.9224000000013,160.502,3106.3709,189,0,3,34,0.0885111297119825,0.4001970859439228,0.22723808172922522,2,1187.601499999999,1426.7345,0,0,0.0,128,0,0,3493.9224000000013,189,9124.262657353074,9124.262657353074,0.0,1,0,0,1.5,0,0.0,128,128,9124.262657353074,189,3840.0,0,0,0.0,2.0,0.3427,1,0.0,0.0,NaN,1280.0,100.0,0.15332994791666663,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,3,3,1649.5213999999999,384,300.0,360.502,85.11860000000001,397.41841996305624,113.04741628893628,284.37100367411995,0.0,0.0,316.74640000000005,1617.6942,0.5457031036359803,94,3640.2996281250003,34,5483.963029228075,1,0.0,4,266.72,2,3227.5377020682636,-7329.898,17.930790838471975,16.915840413652806,0,7,10,128,SB2 best SuMSy + everyone greedy,debt,9,0.0
9,128,1,4,12943.1151,2.29,10366.070372515414,0.0,10991.387700000003,,0.0,7740.2116,3251.176100000003,0.0,223.7591,11.348984375000002,0.00375,0.0,2131.5144613088314,0.0,1.0,737.052375884394,1261.142829761443,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.3912436755818087,3.0,237.0,3.0,0.0,1.0,1,0,2,0.2501220703125,131,16.867533446725712,2.0773724747361824,18.944905921461892,2.003987853165609,1.5409706032039756,3.544958456369584,965.3329000000012,116.4153,964.8227000000013,0.0,8,1,542.6495999999979,5893.1401,71.5489,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,153.1023,296.40960000000007,2744.0578,89,1227.2324,904.6141000000001,1441.0742,150.98249999999993,0.0,0.0,0.0,0.0,0.0,1,5814.9755000000005,0.0,0.0,0.0,0.0,553.8533,294.5475999999999,0.009710766766719479,5.5321070312500025,5.61328759689923,NaN,2.009111111111115,3.5526742679337486,3.0722739689957677,258.0,256.0,129.0,512.0,312.0,51.0,50,0,0,0,0,0.0,512.0,3651.990200000001,0.0,3475.8066999999996,189,3,0,34,0.10420144336641379,0.3912436755818087,0.13165903369785914,0,1708.6500999999992,1416.2194000000006,0,0,0.0,128,0,0,3651.990200000001,189,10153.6156684712,10153.6156684712,0.0,0,0,0,1.5,0,0.0,128,128,10153.6156684712,189,3910.948144,0,0,0.0,1.0,0.3427,1,0.0,0.0,NaN,1280.0,100.0,0.05456898437500001,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,2,4,1762.2121,256,200.0,792.0545999999999,83.7,2185.240544306409,24.43064865604856,2160.809895650361,0.0,0.0,397.0711,1713.9372999999998,0.5277427365911722,94,4095.0066703125003,34,6058.608998158699,1,0.0,4,367.16150000000005,2,3234.935172515417,-7740.2116,19.006638288780294,17.930790838471975,0,7,129,129,SB2 best SuMSy + everyone greedy,debt,9,0.0
10,128,1,4,13576.609299999998,3.4350000000000005,11048.9696,0.0,11486.508600000003,,0.0,7789.42,3697.0886000000023,0.0,445.9125000000001,12.187512749999998,0.00375,0.0,2135.930726005788,0.0,1.0,725.2257027594658,1251.973907337192,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.39985215661702544,0.0,233.0,0.0,0.0,1.0,1,0,2,0.25,131,18.58795586355202,2.143924511001179,20.7318803745532,2.5768433250471685,1.691527565464894,4.268370890512062,1040.471100000001,966.8031000000002,1038.490700000001,0.0,9,2,542.6495999999979,5893.1401,72.5174,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,205.7434,349.42410000000024,2744.0578,93,1182.2259000000001,547.5867,800.5505,280.9977999999999,0.0,0.0,0.0,0.0,0.0,0,5746.839599999999,0.0,0.0,0.0,0.0,542.6660000000002,21.2086,0.013902210303242919,5.55788515625,6.235100000000005,NaN,1.9915552000000019,3.6385304537739596,2.9801057499258943,256.0,256.0,128.0,512.0,313.0,51.0,49,0,0,0,0,0.0,512.0,3945.6008000000006,412.3847,3471.4415,189,3,0,34,0.12135998955469551,0.39985215661702544,0.2219868645007983,0,1995.6397999999997,1422.8186,0,0,0.0,128,0,0,3945.6008000000006,189,10726.679968471206,10726.679968471206,0.0,0,0,0,1.5,0,0.0,128,128,10726.679968471206,189,4250.291008,0,0,0.0,4.0,0.3427,1,0.0,0.0,NaN,1280.0,100.0,0.011179252444417195,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,2,4,1735.7829000000002,256,200.0,366.76300000000003,82.28139999999999,1813.9181328642965,24.081778047932062,1789.8363548163645,0.0,0.0,506.82189999999997,2148.3860000000004,0.529389720924891,94,4205.9830109375,34,6520.6969575337025,1,0.0,4,530.0456,2,3215.1181000000006,-7789.42,20.147036586107113,17.930790838471975,0,7,128,128,SB2 best SuMSy + everyone greedy,debt,9,0.0
