round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6679.298000000002,0.0,988.1314999999998,988.1314999999998,949.0739999999998,,949.0739999999998,0.0,0.0,0.0,0.0,0.0,0.0025,6.2869,2925.0009,0.0,1.0,975.0003,1915.5634666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6832001666537275,0.0,168.0,1.0,0.0,1.0,0,0,0,1.0,48,144.54346307692305,1.885876923076923,146.42933999999997,2.6501323076923073,1.7954692307692308,4.445601538461538,308.0035000000007,0.0,308.0035000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,67.02200000000005,988.1315,32.3415,0.0,0.0,0.0,0.0,0.0,0,55.0368,640.0,67.02200000000005,0.0,82.0,810.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.73124324324325,3.9200000000000013,80.0,12.0,40.0,512.0,185.0,51.0,81,0,0,0,12,0.0,512.0,4345.6718999999985,571.4612999999999,1101.5514999999998,191,1,0,32,0.1615926068374487,0.6832001666537275,0.07387490752060732,0,2042.2034999999996,60.0,12,0,125.0,0,0,0,0.0,0,0.0,50422.37189999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,250.0,52.0,599.2896,4,21.3839,14.968399999999995,NaN,1280.0,100.0,0.16102505859375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,168.74640000000016,0.0,168.74640000000016,0.0,21.3839,1005.0588999999998,2272.3023999999996,0.7017055232389171,96,3651.932999999998,32,46770.43889999999,4,0.0,4,293.7955,2,55.0368,-942.7870999999999,11.925,240.1,0,0,40,40,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
2,128,4,4,7245.894200000002,0.0,1567.8761,581.6974999999999,1407.5819999999999,,1407.5819999999999,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,2325.0009,0.0,1.0,575.0003,1478.7271500000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6799418769839598,0.0,241.0,0.0,0.0,1.0,0,0,0,0.2536850473745259,48,145.26473846153846,2.183692307692307,147.44843076923075,2.549030000000001,2.0015692307692303,4.550599230769231,822.6441000000061,308.003500000001,822.6441000000061,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.3906,0.0,48,640.0,73.4038,581.6975,110.20539999999956,0.0,0.0,0.0,0.0,0.0,9,0.1914,640.0,73.4038,0.0,82.0,410.0,0.0,0.015,4.868586642599282,5.518681578947366,2.123853571428569,1.1366132743362831,3.564153043478248,3.802399999999999,228.0,277.0,114.0,512.0,345.0,51.0,41,0,0,1,13,9.0,512.0,4471.791400000003,404.10249999999996,1829.6311999999998,191,1,0,32,0.13363183397541722,0.6799418769839598,0.09682240570964717,0,2187.5646000000033,1348.598500000001,13,0,140.0,0,0,0,0.0,0,0.0,50899.412599999945,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,297.33949999999965,64.0,540.1777,4,0.0,0.0,NaN,1280.0,100.0,0.18578888671875002,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,12,0.0,0,0.0,1200.0,0.0,2529.5576810810862,0.0,2529.5576810810862,0.0,0.0,1302.8646000000006,2773.9114,0.6971044978669665,96,3868.0971,32,47031.31549999999,4,0.0,4,293.7955,2,114.2178,-1407.5819999999999,12.640500000000001,240.1,0,0,114,114,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
3,128,4,4,7803.751499999999,0.0,2085.0530000000003,525.2892,1705.2894000000003,,1705.2894000000003,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,2048.297959566787,0.0,1.0,498.2973595667869,1251.1529397111915,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6770379465668723,0.0,260.0,0.0,0.0,1.0,0,0,0,0.25004239923116056,48,149.72617541897682,2.816679871733505,152.54285529071035,1.990066573671738,2.6396698840713846,4.629736457743123,937.1249000000072,822.6441000000073,937.1249000000072,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.9934999999999998,0.0,48,640.0,82.14270000000003,525.2892,200.59019999999998,0.0,0.0,0.0,0.0,0.0,33,1.0734,640.0,82.14270000000003,0.0,82.0,337.6348,0.0,0.015,5.566501879699253,5.449117293233079,2.004183838383838,1.3369401515151518,3.4496073973345363,3.688327999999999,266.0,266.0,133.0,510.6666666666667,373.0,51.0,34,0,0,0,12,7.0,512.0,4625.854300000002,610.1677999999999,2173.0103,191,1,0,32,0.10347770333065887,0.6770379465668723,0.11203511848104353,0,2204.0583,1480.6895000000013,12,0,99.0,0,0,0,0.0,0,0.0,51359.81060000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,198.4142,54.0,393.64570000000003,4,0.0,0.0,NaN,1280.0,100.0,0.19773178385416665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,12,0.0,0,0.0,1200.0,0.0,2900.2257681992937,0.0,2900.2257681992937,0.0,0.0,1607.1164000000006,3176.8237999999997,0.6933623825408906,96,4062.191400000001,32,47297.6192,4,0.0,4,293.79550000000006,2,190.36620000000002,-1705.2894000000003,13.398930000000002,240.1,0,0,133,133,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
4,128,4,4,8350.728500000005,0.0,2384.5037,318.94219999999996,1977.7693000000004,,1977.7693000000004,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,1907.7995352419857,0.0,1.0,495.4347540891941,1130.3433568279906,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6735854649992841,0.0,261.0,0.0,0.0,1.0,0,0,0,0.25451530612244894,48,131.61420563761772,2.6751754607462344,134.28938109836395,1.9282182960137033,2.3673429948578772,4.29556129087158,978.2930999999976,937.1249000000058,978.2930999999976,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.7913,0.0,48,640.0,93.02299999999997,318.94219999999996,222.95489999999953,0.0,0.0,0.0,0.0,0.0,51,3.6533,640.0,93.02299999999997,0.0,82.0,311.74039999999997,0.0,0.015,5.7588471428571415,5.676476119402991,1.7899272727272733,1.4393375939849624,3.463497296953308,3.5776781599999983,268.0,280.0,134.0,512.0,384.0,51.0,31,0,0,2,20,13.0,512.0,4873.5203,694.8580999999999,2539.4013999999997,191,1,0,32,0.10146208137908985,0.6735854649992841,0.11125659032583801,0,2222.887900000001,1612.4771999999996,20,0,33.0,0,0,0,0.0,0,0.0,51845.98790000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,59.06760000000002,63.0,239.29540000000003,4,0.0,0.0,NaN,1280.0,100.0,0.21529430338541666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2679.9003383419836,0.0,2679.9003383419836,0.0,0.0,1704.9120000000005,3473.5548999999996,0.6895553013546694,96,4321.326700000001,32,47524.6612,4,0.0,4,293.79549999999995,2,266.6912,-1977.7693000000004,14.202865800000003,240.1,0,0,134,134,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
5,128,4,4,8887.515599999995,0.0,2680.9393,318.25019999999995,2280.7434000000003,,2280.7434000000003,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,1845.5315778777995,0.0,1.0,532.1532494736845,1071.3001252518661,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.669256316355602,0.0,263.0,0.0,0.0,1.0,0,0,0,0.2523731138545953,48,127.62832710965563,2.995914131852054,130.6242412415077,1.8269782476494991,2.5490031019448742,4.375981349594373,1001.7372000000018,978.2930999999992,1001.7372000000018,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-9.8585,0.0,48,640.0,103.21290000000006,318.2502,229.1793000000014,0.0,0.0,0.0,0.0,0.0,64,4.6565,640.0,103.21290000000006,0.0,82.0,342.1108999999999,0.0,0.015,5.738784814814812,5.702349635036492,1.7268183673469377,1.5808397058823531,3.468468634672608,3.4703478152,274.0,270.0,137.0,509.3333333333333,384.0,51.0,30,0,0,1,17,11.0,512.0,5208.5563,740.9859,2796.4168,191,1,0,32,0.0884974944076633,0.669256316355602,0.11062920281293609,0,2268.8161000000027,1549.4718999999993,17,0,49.0,0,0,0,0.0,0,0.0,52415.280399999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,84.61409999999995,57.0,136.9001,4,0.0,0.0,NaN,1280.0,100.0,0.22878951171875003,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2689.549452077084,0.0,2689.549452077084,0.0,0.0,1854.4864999999993,3674.302800000001,0.6849854731531575,96,4608.345600000001,32,47806.934799999995,4,0.0,4,293.79549999999995,2,342.67920000000004,-2280.7434000000003,15.055037748000004,240.1,0,0,137,137,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
6,128,4,4,9413.539000000002,0.0,2970.8746000000006,312.5137,2579.1799,,2579.1799,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,1803.1361789770153,0.0,1.0,530.3863948243651,1030.8871193180103,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.66455683291614,0.0,262.0,0.0,0.0,1.0,0,0,0,0.25520066209373116,48,128.55702516351644,3.3632991343695893,131.92032429788603,2.177649440034774,2.5866404745831355,4.764289914617909,1006.0583999999989,1001.7372000000037,1006.0583999999989,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.860599999999996,0.0,48,640.0,113.97659999999999,312.51370000000003,231.9506999999986,0.0,0.0,0.0,0.0,0.0,75,5.1408000000000005,640.0,113.97659999999999,0.0,82.0,341.0075999999999,0.0,0.015,5.706202247191012,5.728725735294114,1.6506388888888899,1.7533629629629626,3.476977375035703,3.3662373807439985,272.0,267.0,136.0,510.6666666666667,389.0,51.0,30,0,0,2,15,9.0,512.0,5545.826200000001,783.2681,2994.8321,191,1,0,32,0.08951566669858835,0.66455683291614,0.11029921029171064,0,2296.8247,1523.5560000000003,15,0,90.0,0,0,0,0.0,0,0.0,52974.604300000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,148.5575000000001,64.0,84.4718,4,0.0,0.0,NaN,1280.0,100.0,0.2416000846354166,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2605.1856348448773,0.0,2605.1856348448773,0.0,0.0,1941.7844999999995,3862.572,0.6799922971802401,96,4910.191199999998,32,48064.41309999999,4,0.0,4,299.1712000000001,2,418.4748,-2579.1799,15.958340012880004,240.1,0,0,136,136,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
7,128,4,4,9929.085599999997,0.0,3257.891700000001,310.2994,2861.1120000000005,,2861.1120000000005,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,1768.4696518200399,0.0,1.0,520.1568296260629,998.2016535943125,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6630422177208148,0.0,262.0,0.0,0.0,1.0,0,0,0,0.2560072459907294,48,130.17585389050353,3.4989740954208948,133.67482798592442,2.136982412804699,2.7992570594461497,4.936239472250849,992.0977999999993,1006.0583999999977,992.0977999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-17.777699999999992,0.0,48,640.0,124.4534,310.2994,238.22480000000007,0.0,0.0,0.0,0.0,0.0,85,5.4636,640.0,124.4534,0.0,82.0,331.85219999999987,0.0,0.015,5.678867518248175,5.659860740740744,1.63462834645669,1.9568052238805962,3.444583051224725,3.26525025932168,270.0,274.0,135.0,509.3333333333333,386.99999999999994,51.0,29,0,0,0,16,11.0,512.0,5798.5196,804.2119,3217.24,191,1,0,32,0.0777070140023326,0.6630422177208148,0.125940036729157,0,2287.6719000000003,1556.0097,16,0,127.0,0,0,0,0.0,0,0.0,53433.360600000015,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,207.59779999999964,64.0,103.6505,4,0.0,0.0,NaN,1280.0,100.0,0.2583608528645833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,12,0.0,0,0.0,1200.0,0.0,2389.074852579891,0.0,2389.074852579891,0.0,0.0,2092.3778,4125.1024,0.6779234359871467,96,5061.372300000001,32,48371.988300000005,4,0.0,4,317.5673999999998,2,494.1613,-2861.1120000000005,16.915840413652806,240.1,0,0,135,135,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
8,128,4,4,10434.257599999999,0.0,3523.2564000000007,290.0655,3151.1774000000005,,3151.1774000000005,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,1745.8660982862846,0.0,1.0,529.2137411833318,975.8364321908564,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6604099565625245,0.0,263.0,0.0,0.0,1.0,0,0,0,0.2503815930804455,48,131.52726881112332,3.7368101882655362,135.26407899938886,2.452336862780384,2.7840572538254054,5.236394116605789,1004.9396999999997,992.0977999999993,1004.9396999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.74552499964992,0.0,48,640.0,134.82799999999992,290.0655,239.1476000000002,0.0,0.0,0.0,0.0,0.0,93,5.5613,640.0,134.82799999999992,0.0,82.0,341.8109,0.0,0.015,5.606886090225565,5.701381617647055,1.6252712499999968,2.0220962962962976,3.423062025969638,3.167292751542029,272.0,266.0,136.0,512.0,389.0,51.0,30,0,0,3,13,11.0,512.0,6077.791599999998,798.4006999999999,3406.7527,191,1,0,32,0.08041761470153008,0.6604099565625245,0.12289121017200944,0,2299.761200000001,1491.4317000000003,13,0,160.0,0,0,0,0.0,0,0.0,53916.272299999975,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,260.0433999999995,64.0,145.7513,4,0.0,0.0,NaN,1280.0,100.0,0.2746696419270833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,2228.8347292000294,0.0,2228.8347292000294,0.0,0.0,2217.0404,4350.9047,0.6751828425588764,96,5249.551899999998,32,48666.72039999999,4,0.0,4,316.36530000000005,2,569.9918,-3151.1774000000005,17.930790838471975,240.1,0,0,136,136,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
9,128,4,4,10929.565400000009,0.0,3972.1262000000006,473.5705,3443.7656000000006,,3443.7656000000006,0.0,0.0,0.0,0.0,0.0,0.0025,0.4328,1729.520121268863,0.0,1.0,532.9174350431639,958.9395808459087,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6546466385506973,0.0,260.0,1.0,0.0,1.0,0,0,0,0.2543627572365077,48,125.87575421141156,3.772725532014743,129.6484797434263,3.0356860974076643,3.057311291508069,6.092997388915733,989.1493999999992,1004.9397000000002,989.1493999999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-25.466324999649917,0.0,48,640.0,144.6922,473.5705,240.77170000000012,0.0,0.0,0.0,0.0,0.0,100,84.632,640.0,144.6922,0.0,82.0,347.89159999999987,0.0,0.015,5.54483032490975,5.750057142857143,1.6645062499999999,2.009177099236642,3.4062558946321446,3.0722739689957668,266.0,277.0,133.0,508.00000000000006,383.0,51.0,31,0,0,1,15,18.0,512.0,6402.4213,791.5618,3456.4893,190,2,0,32,0.09188482539898613,0.6546466385506973,0.12177596410165759,0,2268.2176,1535.9180000000008,15,0,160.0,0,0,0,0.0,0,0.0,51402.300600000024,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,266.32099999999997,64.0,194.0282,4,1.4722,1.0304,NaN,1280.0,100.0,0.28408508463541665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2028.4197933733392,0.0,2028.4197933733392,0.0,1.4722,2466.3676000000005,4442.0793,0.6680556277183729,96,5356.272200000001,32,46046.028399999996,4,0.0,4,496.14549999999997,2,644.1382000000001,-3443.3328000000006,19.006638288780294,224.9141,0,0,133,133,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
10,128,4,4,11414.973799999992,0.0,4229.7262,291.3496,3732.4907000000007,,3732.4907000000007,0.0,0.0,0.0,0.0,0.0,0.0025,0.3485,1715.2113577461193,0.0,1.0,528.8108286804741,944.8205118307462,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6524197014903264,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2591017888636936,48,128.39396973516313,3.9741855609879804,132.3681552961511,3.2325668352487162,3.6171808100332257,6.8497476452819415,1019.3141000000006,989.1493999999993,1019.3141000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-30.750224999649916,0.0,48,640.0,154.59160000000008,291.3496,240.00950000000006,0.0,0.0,0.0,0.0,0.0,103,6.3503,640.0,154.59160000000008,0.0,82.0,345.8326999999999,0.0,0.015,5.5216210317460295,5.876452592592595,1.7593525000000025,2.004545864661654,3.46709586749876,2.9801057499258943,270.0,252.0,135.0,510.6666666666667,387.0,51.0,31,0,0,2,7,9.0,512.0,6860.612599999999,795.2312000000001,3494.2231,190,2,0,32,0.0937335701625246,0.6524197014903264,0.13161252468697282,0,2291.3025000000002,1391.4484999999995,7,0,160.0,0,0,0,0.0,0,0.0,51956.2869,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,281.4964000000004,64.0,258.2081,4,1.1856,0.83,NaN,1280.0,100.0,0.29298535807291665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2007.8958744693925,0.0,2007.8958744693925,0.0,1.1856,2745.5339,4547.662399999999,0.665463764613158,96,5564.421899999999,32,46391.865000000005,4,0.0,4,547.8164999999999,2,688.7962,-3732.1422000000007,20.147036586107113,224.9141,0,0,135,135,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,6,1.0913936421275139e-11
