round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6013.892000000002,0.0,6035.2216,0.0,140.25,,0.0,0.0,140.25,0.0,140.25,0.0,0.00375,0.0,420.75,0.0,1.0,140.25,280.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.3754036029270367,0.0,128.0,0.0,0.0,1.0,0,0,0,0.510204081632653,48,10.76825,0.5948261538461538,11.363076153846155,4.817410000000001,0.5948261538461538,5.4122361538461545,220.84639999999987,0.0,220.84639999999987,0.0,0,0,0.0,0.0,12.846400000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,21.3296,21.3296,0.0,4,0.0,92.428,183.8,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,191.63999999999984,0.005,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,35.0,40.0,512.0,185.0,51.0,81,0,0,0,20,15.0,512.0,3950.0576,0.0,1298.254,188,4,0,32,0.21656648991017224,0.3754036029270367,0.6936261267443946,13,500.8899999999998,175.0,20,0,8.0,0,0,0,0.0,0,0.0,6065.057600000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,16.0,52.0,765.5804,4,39.76819999999999,39.767599999999995,NaN,1280.0,100.0,-0.2556241666666667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,560.4000000000001,0.0,560.4000000000001,0.0,39.76819999999999,1323.0176000000004,2063.8343999999997,0.4317212892115543,96,2765.4368,32,3299.6207999999997,4,0.0,4,140.25,2,21.329600000000028,0.0,11.925,11.25,0,0,40,40,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
2,128,4,4,5961.210399999999,0.0,6006.943600000001,0.0,278.4395,,0.0,0.0,278.4395,0.0,138.1895,0.5259,0.00375,0.0,420.75,0.0,1.0,140.25,279.2068,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0.9791666666666666,0.40420081222045456,0.0,128.0,0.0,0.0,1.0,0,0,0,0.26527852893455917,48,10.624303846153847,0.3238961538461539,10.9482,4.422886153846154,0.61117,5.034056153846153,712.9140000000002,210.58639999999986,723.1740000000002,0.0,0,0,0.0,0.0,71.8364,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,45.7332,60.70760000000001,0.0,14,63.5908,116.2724,690.5163000000002,2.5864000000000003,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,539.7397000000005,0.0034125470558167654,4.830790697674425,5.52653103448276,1.8384615384615388,1.1245044642857145,3.437364485981296,3.802399999999999,232.0,258.0,116.0,512.0,321.0,51.0,47,0,0,1,12,6.0,512.0,3598.5316000000016,0.0,1869.4950999999999,188,4,0,32,0.2341013940415304,0.40420081222045456,0.4971900600325354,9,881.238800000001,1246.3440000000016,14,2,26.0,0,0,0,0.0,0,0.0,5664.9152,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,47.80000000000001,36.0,493.1837,4,12.7628,12.762800000000002,NaN,1280.0,100.0,-0.23116200520833333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,12,0.0,0,0.0,1200.0,48.61639999999999,2715.14298918919,0.0,2715.14298918919,0.0,12.7628,1202.5052000000005,2362.6788,0.4440451997871979,96,2481.9330000000014,32,3182.9822,4,0.0,4,140.25,2,45.733200000000124,0.0,12.640500000000001,11.25,0,0,116,116,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
3,128,4,4,5896.426399999996,0.0,5953.8267000000005,0.0,372.1337,,0.0,0.0,372.1337,0.0,93.6942,1.04418975,0.00375,0.0,416.0032000000001,0.0,1.0,135.50320000000005,262.18893333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,0.9791666666666666,0.4300366848401831,0.0,127.0,0.0,0.0,1.0,0,0,0,0.26250777319237945,48,11.48899193900781,0.24287153219582755,11.731863471203638,4.328515796848771,0.7327523170538411,5.061268113902612,794.9222999999996,683.9308000000002,834.1654999999998,0.0,0,0,0.0,0.0,66.1675,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.40029999999999,90.60880000000006,0.0,24,69.47600000000001,134.26,1000.7486,42.8532,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,639.7774000000012,0.006825825543817555,4.827048872180456,5.438468656716415,1.7025090909090905,1.3494546153846152,3.38230954539484,3.688327999999999,268.0,266.0,134.0,510.6666666666667,353.99999999999994,51.0,38,0,0,2,11,7.0,512.0,3574.2263999999996,60.5243,1950.8771,188,4,0,32,0.23038377575564328,0.4300366848401831,0.45944779574453576,9,1272.7285000000002,1283.9950000000015,11,0,22.0,0,0,0,0.0,0,0.0,5618.876699999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,37.45519999999999,33.0,310.7986,4,2.7924,2.7924,NaN,1280.0,100.0,-0.22710861979166666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0.0,0,12,0.0,0,0.0,1200.0,98.2383,3480.5875536824856,0.0,3480.5875536824856,0.0,2.7924,1337.4150000000006,2322.2000000000003,0.46055840265901415,96,2322.5543,32,3296.3224,4,0.0,4,140.25,2,57.40029999999933,0.0,13.398930000000002,11.25,0,0,134,134,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
4,128,4,4,6362.7764,0.0,6425.7092999999995,0.0,473.95829999999995,,0.0,0.0,473.95829999999995,0.0,101.82459999999999,1.395543,0.00375,0.0,413.55135000000007,0.0,1.0,135.39860000000002,255.59860000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9791666666666666,0.4216407169350658,0.0,250.0,0.0,0.0,1.0,0,0,0,0.260540899103108,48,12.51736222912441,0.6804882417766417,13.197850470901052,4.437503476978548,1.2497204188729454,5.687223895851493,803.8064000000003,763.7243999999992,874.2475000000005,10.26,0,0,0.0,0.0,81.7385,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.93289999999999,120.3822,0.0,30,606.1802,139.83020000000002,971.2969999999999,34.9696,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008264010787892219,5.402146096654275,5.429081954887221,1.6600294117647059,1.4519356589147283,3.2407193861755217,3.5776781599999983,266.0,269.0,133.0,509.33333333333337,357.0,51.0,38,3,3,0,18,8.0,509.0,4000.1901000000003,48.3318,2133.4618,188,4,0,32,0.20890567507810442,0.4216407169350658,0.33854467928852117,5,1984.013799999999,1453.1773,18,0,17.0,0,0,3,0.0,0,0.0,6121.848000000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,28.2205,38.0,180.7927,4,0.7461,0.746,NaN,1280.0,100.0,-0.25358513671875005,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0.0,0,12,0.0,0,0.0,1200.0,120.6144,3437.1759332427446,0.0,3437.1759332427446,0.0,0.7461,1650.2671,2362.5863,0.45176254661507786,96,2495.3914999999984,32,3626.4564999999993,4,0.0,4,140.25,2,62.932900000000245,0.0,14.202865800000003,11.25,0,0,133,133,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
5,128,4,4,6298.1614,0.0,6363.1268,0.0,522.6048,,0.0,0.0,522.6048,0.0,48.6465,1.7772188749999998,0.00375,0.0,419.9763600000001,0.0,1.0,148.5588,243.56448000000006,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,0.9791666666666666,0.48933492258708755,0.0,162.0,0.0,0.0,1.0,0,0,0,0.26331360946745563,48,11.580767880147867,0.044764972799734994,11.625532852947602,4.177284285957398,0.4499529436952764,4.627237229652675,827.8135999999998,823.757500000001,878.3036000000001,19.634900000000002,0,0,0.0,0.0,81.3416,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,64.96539999999999,149.81760000000003,0.0,38,78.7784,143.39339999999999,707.0585,101.6896,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,605.192999999999,0.008926324417369114,5.508170384615385,5.570686567164178,1.6460538461538465,1.5941953846153851,3.1730647059123047,3.4703478152,268.0,260.0,134.0,509.0,365.0,50.0,35,0,0,6,12,6.0,512.0,3231.3346000000006,649.6023,2320.5537,188,4,0,32,0.27467551981076155,0.48933492258708755,0.5739860749995267,15,760.2207999999997,1432.1243,13,1,26.0,0,0,0,0.0,0,0.0,5407.037200000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,42.79740000000001,45.0,96.67079999999999,4,0.0,0.0,NaN,1280.0,100.0,-0.20401320963541666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35,0.0,0,12,0.0,0,0.0,1200.0,115.24990000000001,2742.377784367199,0.0,2742.377784367199,0.0,0.0,1388.3941999999997,3066.8268,0.5138178773203037,96,1914.4118999999996,32,3492.6253,4,0.0,4,140.25,2,64.96540000000005,0.0,15.055037748000004,11.25,0,0,134,134,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
6,128,4,4,6240.5679,0.0,6304.581100000001,0.0,547.2374,,0.0,0.0,547.2374,0.0,24.6326,1.9597073749999998,0.00375,0.0,427.2325000000001,0.0,1.0,154.50439999999998,232.4999333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0.9739583333333334,0.711650056564803,0.0,158.0,1.0,0.0,1.0,0,0,0,0.2796304820558404,48,96.27510824304846,0.2733170577442196,96.54842530079267,5.924236464670002,0.5997181948522206,6.523954659522222,800.5770000000012,878.3035999999996,800.5770000000012,0.0,0,0,0.0,0.0,80.2134,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,64.0132,178.90679999999995,0.0,45,96.55009999999999,154.14360000000002,441.6127,131.8316,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,206.28420000000008,0.010046015348376344,5.493530677290837,5.5412584615384715,1.6355400000000002,1.7751063999999988,3.1598987327965524,3.3662373807439985,260.0,251.0,130.0,503.99999999999994,332.0,51.0,42,5,5,9,14,6.0,507.0,3628.3914999999974,92.88040000000001,2452.5179,187,5,0,32,0.33378502589405024,0.711650056564803,0.4419317200241244,10,1669.8836999999999,1378.8762000000002,20,6,15.0,0,0,5,0.0,0,0.0,34917.517400000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,24.533100000000005,19.0,66.77809999999998,4,2.0464,2.0464,NaN,1280.0,100.0,-0.17933775390624998,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,12,0.0,0,0.0,1200.0,101.5356,2856.3998494539446,0.0,2856.3998494539446,0.0,2.0464,1885.0027000000002,2612.1764,0.7331575320589969,96,1889.2903,32,33028.2271,4,0.0,4,140.25,2,64.01319999999987,0.0,15.958340012880004,166.7912,0,0,130,130,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
7,128,4,4,6124.590299999993,0.0,6184.492500000001,0.0,649.4845,,0.0,0.0,649.4845,0.0,102.2471,2.052079625,0.00375,0.0,430.944642857143,0.0,1.0,151.07250000000005,235.18100000000007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0.9739583333333334,0.7236763409073264,0.0,32.0,0.0,0.0,1.0,0,0,0,0.3066923778860557,48,96.97212197707982,0.028866821457156983,97.00098879853698,5.739830441965376,0.24868972171797468,5.988520163683351,771.6109999999998,771.2412000000013,800.9468,0.0,0,0,0.0,0.0,80.24820000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.90220000000001,205.7865,0.0,58,30.9907,146.96830000000003,755.5132999999998,50.8776,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,568.7374000000002,0.011323132703205016,5.3369522821576725,5.530902399999998,1.6037999999999992,1.936838333333333,3.1309978130820277,3.26525025932168,250.0,241.0,125.0,494.99999999999994,323.00000000000006,50.0,44,5,5,7,6,2.0,507.0,3047.832500000001,484.2759,2532.9376,187,5,0,32,0.3934256447512292,0.7236763409073264,0.5561411826174791,29,881.2800999999992,1286.2054999999991,14,8,42.0,0,0,5,0.0,0,0.0,34446.825000000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,67.35959999999997,21.0,59.5443,4,1.2646,1.2648,NaN,1280.0,100.0,-0.14176936197916665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,44,0.0,0,12,0.0,0,0.0,1200.0,94.03810000000001,2247.257511848575,0.0,2247.257511848575,0.0,1.2646,1666.3445000000002,3076.7578000000003,0.7447943335580389,96,1472.0791000000006,32,32974.7459,4,0.0,4,140.25,2,59.90219999999999,0.0,16.915840413652806,166.7912,0,0,125,125,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
8,128,4,4,7966.222200000002,0.765,6707.091600000003,0.0,3264.2878,,0.0,1962.268,1302.0197999999998,0.0,652.5353000000001,2.435479625,0.00375,0.0,432.11392500000005,0.0,1.0,146.7663,232.68088750000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.96875,0.7261288591808575,0.0,32.0,1.0,0.0,1.0,0,0,0,0.3440844233055886,36,99.99321613967487,0.1262129155518665,100.11942905522672,4.327789807963157,0.28417832381911234,4.61196813178227,751.2857000000008,769.7153000000015,780.1368000000009,0.0,3,0,2.3804,2543.9539,82.1689,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,58.90740000000002,234.28189999999995,1332.0438000000001,73,1991.7582,149.36129999999997,2835.5900999999994,78.35249999999999,0.0,0.0,0.0,0.0,0.0,3,2543.9539,0.0,0.0,0.0,0.0,0.0,312.80869999999976,0.010075165149425962,5.345709482758623,5.484563934426236,1.574151612903226,1.9539750000000011,3.0738227124634965,3.167292751542029,244.0,232.0,122.0,497.66666666666674,315.0,50.0,46,14,13,12,10,6.0,496.0,2681.238099999999,92.34119999999999,2611.6938999999998,186,6,0,32,0.35938194496089304,0.7261288591808575,0.49118123767971134,27,1402.9703999999986,1240.2046000000005,16,6,31.0,0,0,14,0.0,0,0.0,34274.36220000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,48.798700000000004,5.0,36.9951,1,0.0,0.0,NaN,1280.0,100.0,-0.08013891493055555,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,46,0.0,0,9,0.0,0,0.0,900.0,33.778,2331.0182747722743,0.0,2331.0182747722743,0.0,0.0,1320.1232000000002,2741.0302,0.7367648088568615,96,1346.2739000000006,32,32928.088299999996,4,0.0,4,140.25,2,1284.0583000000001,-1962.268,17.930790838471975,165.2644,0,3,122,122,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
9,128,4,4,7716.307700000003,0.9119,6492.6204000000025,0.0,3365.4781000000003,,0.0,1864.1546,1501.3235,0.0,199.30370000000002,4.8821707499999984,0.00375,0.0,432.12366666666674,0.0,1.0,144.06719999999996,232.44563333333338,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,0.9635416666666666,0.7377923858417708,0.0,32.0,0.0,0.0,1.0,0,0,0,0.37390617283950617,36,100.86057760767235,-0.04259778526121355,100.81797982241113,4.591135564368851,0.19794954676150883,4.78908511113036,701.1372000000002,726.6876000000005,754.5864000000003,14.186499999999999,3,0,2.3804,2543.9539,83.36989999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,94.2038,269.57829999999984,1332.0438000000001,82,0.0,249.76759999999996,673.7472,57.5708,0.0,0.0,0.0,0.0,0.0,7,2515.5298000000003,0.0,0.0,0.0,0.0,0.0,472.2706999999992,0.006352931081809176,5.30852311111111,5.46696725663717,1.58863125,1.927249056603772,3.004239603732676,3.072273968995767,226.0,225.0,113.0,480.3333333333335,293.00000000000006,49.0,49,16,14,9,9,3.0,493.0,2320.5227000000004,294.07939999999996,2580.6242,185,7,0,32,0.45047977801779315,0.7377923858417708,0.5730011286057011,53,910.5925999999988,1194.4176999999997,18,9,16.0,0,0,16,0.0,0,0.0,33834.08740000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,25.4181,16.0,5.5516,1,0.0,0.0,NaN,1280.0,100.0,-0.04397976562499999,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,0,9,0.0,0,0.0,900.0,32.7602,1873.0047880189925,0.0,1873.0047880189925,0.0,0.0,1299.3701,2880.2551999999996,0.7457888595567537,96,963.8619000000001,32,32870.2255,4,0.0,4,258.1425,2,1290.9306000000004,-1864.1546,19.006638288780294,165.2644,0,3,113,113,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
10,127,4,4,7467.592700000001,1.6769,6278.577799999999,0.0,3463.7411,,0.0,1766.0412,1697.6999,0.0,196.3764,5.6295213749999995,0.00375,0.0,431.83089000000007,0.0,1.0,143.0653,231.83882000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,0.953125,0.7366443664272917,0.0,32.0,0.0,0.0,1.0,0,0,0,0.4513031550068587,36,101.8905990760184,-0.22409535754406662,101.66650371847433,5.554619675924352,0.14358911845946742,5.698208794383819,687.1396,677.5203999999999,764.2056000000001,28.8511,3,0,2.3804,2543.9539,74.54090000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,128.11120000000003,303.4857000000001,1332.0438000000001,90,0.0,247.95000000000007,597.2541,59.753099999999996,0.0,0.0,0.0,0.0,0.0,12,2472.4741000000004,0.0,0.0,0.0,0.0,0.0,520.1881000000002,0.012576860079191857,5.213280423280423,5.42122743362832,1.566327586206896,1.9085355769230772,3.0111028367842163,2.9801057499258943,226.0,189.0,113.0,480.66666666666674,291.6666666666667,49.0,47,24,20,28,4,2.0,480.0,2548.1458,68.0835,2378.8337,183,9,0,32,0.47893271484966493,0.7366443664272917,0.5107636476061614,42,1027.2939000000006,985.3100000000001,11,7,29.0,0,0,24,0.0,0,0.0,33801.55800000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,45.42349999999998,16.0,0.0556,1,0.2295,0.2296,NaN,1280.0,100.0,-0.043508394097222215,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,9,0.0,0,0.0,900.0,31.091300000000004,2242.810306227535,0.0,2242.810306227535,0.0,0.2295,1464.9250999999995,2446.9728,0.7432172394066219,95,1034.6308999999999,32,32766.927099999997,4,0.0,4,391.88800000000003,2,1281.7823,-1766.0412,20.147036586107113,165.2644,1,3,113,113,"X2 debt money, SuMSy fiscal package (comparison)",debt,7,4.547473508864641e-13
