round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26748.863800000046,0.0,1911.0,561.0,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,116.5659,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.162804313725484,2.8571666666666666,27.019970980392152,2.174516274509804,2.737250980392157,4.911767254901961,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,236.4162,561.0,117.6606,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,236.4162,117.6606,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,87.0,160.0,2048.0,734.0,204.0,328,0,0,0,54,33.0,2048.0,18754.340000000004,1485.2155,3823.934,729,39,0,122,0.10748635282553276,0.4821162419752292,0.6555170458969175,0,5216.460699999996,435.0,55,1,520.0,0,0,0,0.0,0,0.0,47511.48000000016,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2568.8084,4,22.464,22.464,NaN,5120.0,100.0,0.1300530257161458,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,120.0,0.0,1310.0505000000007,0.0,1310.0505000000007,0.0,22.464,125.3243,7877.957900000001,0.4927143437897916,390,15468.312299999996,122,32043.16770000001,4,0.0,4,243.20000000000005,2,248.16,-444.4341,37.5,0,0,160,160,10 + responsive prices,sumsy,5,-5.820766091346741e-11
2,512,4,4,29025.479900000002,0.0,18031.794599999997,588.2946000000001,1005.4341000000001,,1005.4341000000001,0.0,0.0,0.0,0.0,0.0,0.0025,139.4827,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.00738745098039,2.8881384313725493,26.89552588235294,1.84201862745098,2.71714705882353,4.559165686274509,2505.1009000000035,850.0000000000022,2505.1009000000035,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,283.3839000000002,588.2946,140.96179999999995,0.0,0.0,0.0,0.0,0.0,4,0.0,2560.0,283.3839000000002,140.96179999999995,274.0,0.0,0.0,0.008472370766488413,4.909608574091319,5.466155824175832,2.2275639393939413,NaN,3.4448272727272458,3.802399999999999,910.0,1073.0,455.0,2048.0,1364.0,204.0,171,0,0,2,52,32.0,2048.0,19558.547500000004,741.5652,6431.942,313,455,0,53,0.07524350288257842,0.46414268515115986,0.35410060059076587,1,7169.157999999978,5268.009999999985,52,0,330.0,0,0,0,0.0,0,0.0,48376.72929999981,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,735.0961000000007,248.0,2153.9425,4,0.0,0.0,NaN,5120.0,100.0,0.15240216796875003,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,120.0,0.0,11282.715013896548,0.0,11282.715013896548,0.0,0.0,139.87310000000002,9327.4497,0.4732854059089804,459,34426.65969999997,53,13950.069600000003,4,0.0,4,243.20000000000005,2,515.2331999999999,-865.9514,37.5,0,0,455,455,10 + responsive prices,sumsy,5,-5.820766091346741e-11
3,512,4,4,31257.42530000004,0.0,21846.28008181821,1545.3604999999998,1416.8076000000003,,1416.8076000000003,0.0,0.0,0.0,0.0,0.0,0.0025,161.3592,0.0,0.0,1.0,550.8562000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.808953170040517,2.9586023391799885,27.767555509220507,2.5544940084344163,2.8812430312357864,5.435737039670203,2938.1760999999856,2505.1008999999976,2938.1760999999856,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.4385249999999994,0.0,48,2560.0,328.05460000000005,1545.3604999999998,163.13809999999998,0.0,0.0,0.0,0.0,0.0,16,18.3616,2560.0,328.05460000000005,163.13809999999998,274.0,0.0,0.0,0.00783690688304805,4.8157810760667665,5.427836617100345,2.122662882882884,NaN,3.3775313927263197,3.688327999999999,1076.0,1078.0,538.0,2045.3333333333335,1538.0000000000002,204.0,126,0,0,1,52,35.0,2048.0,20751.226500000004,1584.8309,7024.5127,230,538,0,39,0.10197004947025312,0.4621589444049474,0.27316107098425135,0,7641.661300000009,5191.411999999974,52,0,555.0,0,0,0,0.0,0,0.0,49379.09231818182,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1178.0779000000007,256.0,1717.1344,4,0.0,0.0,NaN,5120.0,100.0,0.1651264510830961,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,120.0,0.0,13476.32910021969,0.0,13476.32910021969,0.0,0.0,191.31949999999998,10326.478000000001,0.4735455703182263,473,39064.63312727278,39,10314.459190909094,4,0.0,4,243.19990000000007,2,783.2249999999999,-1255.4484000000002,37.63636363636363,0,0,538,538,10 + responsive prices,sumsy,5,-5.820766091346741e-11
4,512,4,4,33443.92009999998,0.0,21351.6817,572.9885,1795.7781000000002,,1795.7781000000002,0.0,0.0,0.0,0.0,0.0,0.0025,183.8317,0.0,0.0,1.0,540.3296999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.334024349025242,3.045358005135586,28.379382354160825,3.3967826830837216,2.9047968471398526,6.301579530223574,2857.4153000000106,2938.1760999999915,2857.4153000000106,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-14.145325000000005,0.0,48,2560.0,373.50519999999983,572.9885,185.7799000000002,0.0,0.0,0.0,0.0,0.0,38,14.855599999999999,2560.0,373.50519999999983,185.7799000000002,274.0,0.0,0.0,0.002893886377968118,5.227124022346372,5.297416604477632,2.105331803797464,NaN,3.244256477662786,3.5776781599999983,1072.0,1074.0,536.0,2046.6666666666665,1534.0,204.0,128,0,0,0,49,36.0,2048.0,21712.126700000015,1809.3422,7624.6801,230,538,0,39,0.12026351417830261,0.4608005438986753,0.282653939689576,0,7403.233599999982,5613.931200000004,49,0,632.0,0,0,0,0.0,0,0.0,49542.18402594236,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1330.5696999999973,256.0,2099.0838,4,0.0,0.0,NaN,5120.0,100.0,0.2001312955981789,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,120.0,0.0,11865.540018320346,0.0,11865.540018320346,0.0,0.0,223.3316,11533.1061,0.47497004459638337,473,39104.965599999945,39,10437.218425942356,4,0.0,4,243.19989999999984,2,1053.2516,-1611.9464000000003,37.76740576496675,0,0,536,536,10 + responsive prices,sumsy,5,-5.820766091346741e-11
5,512,4,4,35586.78899999994,0.0,20677.0522,402.65310000000005,2198.4311000000002,,2198.4311000000002,0.0,0.0,0.0,0.0,0.0,0.0025,205.2845,0.0,0.0,1.0,586.4847000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.09160333431327,2.8839183756043916,25.97552170991766,3.83870390041788,2.7672218418519465,6.605925742269827,2910.367800000004,2857.415300000011,2910.367800000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-28.15295,0.0,48,2560.0,417.1311000000001,402.6531,207.4710000000002,0.0,0.0,0.0,0.0,0.0,46,18.8397,2560.0,417.1311000000001,207.4710000000002,274.0,0.0,0.0,0.007570718729957056,5.492306032906768,5.386159776536321,2.0566571717171676,NaN,3.151051897986473,3.4703478152,1074.0,1094.0,537.0,2048.0,1536.0,204.0,128,0,0,0,62,44.0,2048.0,22589.087499999954,1843.8842,8741.8667,230,538,0,39,0.13637661455344618,0.4570908981235935,0.2701038526951298,0,7248.833599999997,6008.582800000005,62,0,495.0,0,0,0,0.0,0,0.0,49432.5575637013,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1018.045299999998,256.0,2187.8264,4,5.6537,5.6536,NaN,5120.0,100.0,0.23774092986238107,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,120.0,0.0,9939.100882126526,0.0,9939.100882126526,0.0,5.6537,270.9128,12773.5773,0.4748118528587333,473,38975.496900000006,39,10457.060663701262,4,0.0,4,243.19979999999987,2,1322.5477,-1993.1466000000003,37.75436158130983,0,0,537,537,10 + responsive prices,sumsy,5,-5.820766091346741e-11
6,512,4,4,37687.40119999996,0.0,20237.451273621955,410.9536,2609.3847,,2609.3847,0.0,0.0,0.0,0.0,0.0,0.0025,226.0899,0.0,0.0,1.0,616.2380999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.75180197219426,2.8079239136677185,24.55972588586198,4.3040971289321925,2.7547277505091787,7.058824879441372,2977.689800000008,2910.3678000000123,2977.689800000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-41.42434999999999,0.0,48,2560.0,459.3878,410.9536,228.4924000000002,0.0,0.0,0.0,0.0,0.0,50,18.7361,2560.0,459.3878,228.4924000000002,274.0,0.0,0.0,0.010450178394081654,5.513414043355319,5.440606250000014,2.014138031319912,NaN,3.081442539930489,3.3662373807439985,1088.0,1061.0,544.0,2048.0,1550.0,204.0,124,0,0,2,49,34.0,2048.0,23678.487300000004,1926.4154,9707.0484,224,544,0,38,0.14845833671265352,0.44964264509407315,0.24638268801475038,0,7163.433800000006,5849.732299999994,49,0,447.0,0,0,0,0.0,0,0.0,49515.84748884228,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,900.3197000000007,256.0,2130.6241,4,7.3153,7.3152,NaN,5120.0,100.0,0.2716909331831096,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,124,0.0,0,12,0.0,0,0.0,120.0,0.0,9008.720620078862,0.0,9008.720620078862,0.0,7.3153,303.65950000000004,13764.087900000002,0.47050426306393467,474,39338.464091207294,38,10177.38339763497,4,0.0,4,243.19979999999987,2,1591.7118,-2383.2948,37.787995603662154,0,0,544,544,10 + responsive prices,sumsy,5,-5.820766091346741e-11
7,512,4,4,39742.976999999984,0.0,19541.347100000014,392.51469999999995,3001.8993,,3001.8993,0.0,0.0,0.0,0.0,0.0,0.0025,248.2076,0.0,0.0,1.0,618.6045000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.024639973644355,2.5246548758358447,24.549294849480198,5.465759484245056,2.403690539520126,7.869450023765182,2894.639199999997,2977.6898000000147,2894.639199999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-53.96017500000002,0.0,48,2560.0,504.42419999999976,392.5147,250.8770000000002,0.0,0.0,0.0,0.0,0.0,54,91.535,2560.0,504.42419999999976,250.8770000000002,274.0,0.0,0.0,0.009931931060226992,5.445613802559424,5.3869647940074845,1.9075537987679687,NaN,3.038737291283906,3.26525025932168,1068.0,1094.0,534.0,2045.3333333333333,1530.0,204.0,128,0,0,1,55,50.0,2048.0,24492.209599999973,2116.5137,10738.7287,224,544,0,38,0.1776257460230588,0.4529189244780343,0.25466570645436404,1,7016.844000000024,5957.50150000001,55,0,487.0,0,0,0,0.0,0,0.0,49332.90418076638,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,928.9787000000008,256.0,2055.7824,4,12.977599999999999,12.977599999999999,NaN,5120.0,100.0,0.3092041119629568,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,120.0,0.0,7340.959451293322,0.0,7340.959451293322,0.0,12.977599999999999,350.4026,14911.0248,0.4777599827930308,474,39062.68949999999,38,10270.214680766383,4,0.0,4,243.19970000000012,2,1858.6090999999997,-2753.6917,37.91530080699278,0,0,534,534,10 + responsive prices,sumsy,5,-5.820766091346741e-11
8,512,4,4,41753.660199999984,0.0,18815.521099999998,362.7928,3364.6920999999998,,3364.6920999999998,0.0,0.0,0.0,0.0,0.0,0.0025,270.3325,0.0,0.0,1.0,611.0003999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.756956449557805,2.1906565614763793,24.947613011034186,6.883792507022355,2.072769816372863,8.956562323395218,2870.438900000006,2894.639199999997,2870.438900000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-65.75977500000002,0.0,48,2560.0,549.3168,362.7928,273.2169999999999,0.0,0.0,0.0,0.0,0.0,57,178.5839,2560.0,549.3168,273.2169999999999,274.0,0.0,0.0,0.012543270913710412,5.37878980169972,5.292094434137303,1.8934768749999997,NaN,3.0101465813725476,3.167292751542029,1078.0,1059.0,539.0,2046.6666666666667,1540.0000000000002,204.0,126,0,0,1,52,34.0,2048.0,25248.748800000005,2234.0764999999997,11577.327800000001,224,544,0,38,0.21340460023669094,0.45878919731437984,0.25600626952937655,2,6983.929499999988,5696.1384000000035,52,0,640.0,0,0,0,0.0,0,0.0,49102.07514863187,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1211.8251999999998,256.0,2244.5907,4,19.6783,19.6784,NaN,5120.0,100.0,0.34705278442787907,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,120.0,0.0,6182.556382609004,0.0,6182.556382609004,0.0,19.6783,398.17479999999995,16055.995,0.4860039624348975,474,38817.69320000001,38,10284.381948631892,4,0.0,4,243.19970000000012,2,2086.3746,-3094.3596,38.084112270678105,0,0,539,539,10 + responsive prices,sumsy,5,-5.820766091346741e-11
9,512,4,4,43720.81840000003,0.0,18060.579299999994,333.67709999999994,3697.8578999999995,,3697.8578999999995,0.0,0.0,0.0,0.0,0.0,0.0025,291.7453,0.0,0.0,1.0,603.4983000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,23.19223492582944,1.9831203018067767,25.175355227636217,8.13632088580448,1.8320891710446778,9.968410056849157,2850.3462000000145,2870.4389000000097,2850.3462000000145,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-76.82339999999996,0.0,48,2560.0,592.8417999999999,333.6771,294.86169999999964,0.0,0.0,0.0,0.0,0.0,59,280.5321,2560.0,592.8417999999999,294.86169999999964,274.0,0.0,0.0,0.015,5.288350276752771,5.254816697588153,1.9023714960629905,NaN,2.985408906331708,3.0722739689957668,1078.0,1084.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,58,37.0,2048.0,25917.370499999994,2360.0368,12473.9222,224,544,0,38,0.24371789019326595,0.46345344906094543,0.26464493752965823,6,6928.8684999999805,5732.571700000004,58,0,635.0,0,0,0,0.0,0,0.0,48770.45224550769,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1208.005899999999,256.0,2397.2115,4,27.2517,27.2516,NaN,5120.0,100.0,0.38490431494984767,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,120.0,0.0,4797.039663413568,0.0,4797.039663413568,0.0,27.2517,444.0434,17231.1705,0.4941779518464624,474,38504.92800000001,38,10265.524245507673,4,0.0,4,243.71079999999984,2,2264.2613,-3406.1125999999995,38.19772207815925,0,0,539,539,10 + responsive prices,sumsy,5,-5.820766091346741e-11
10,512,4,4,45651.12930000002,0.0,17282.728199999983,310.7935,3999.4669,,3999.4669,0.0,0.0,0.0,0.0,0.0,0.0025,309.95,0.0,0.0,1.0,593.3543000000008,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.445017387690434,2.2586030971192947,25.70362048480973,8.933626852763094,2.0939075679884924,11.027534420751588,2819.9364000000014,2850.3462000000054,2819.9364000000014,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-87.1565249999999,0.0,48,2560.0,629.6891000000002,310.7935,313.2127999999995,0.0,0.0,0.0,0.0,0.0,61,420.4771,2560.0,629.6891000000002,313.2127999999995,274.0,0.0,0.0,0.015,5.199709897292247,5.198397773654919,1.9173474999999993,NaN,2.9584123383452052,2.9801057499258943,1078.0,1071.0,539.0,2046.6666666666667,1539.9999999999998,204.0,126,0,0,1,49,36.0,2048.0,26739.02600000003,2492.2828,12911.647,224,544,0,38,0.2576695366043582,0.4623301110982392,0.2737131647971598,0,6873.079599999994,5568.889299999996,50,1,640.0,0,0,0,0.0,0,0.0,48603.42916914173,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1227.1023999999995,256.0,2777.7464,4,89.7933,89.79280000000001,NaN,5120.0,100.0,0.41989811075941524,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,120.0,0.0,4034.3414634715796,0.0,4034.3414634715796,0.0,89.7933,551.6637000000001,18181.6762,0.491934112809308,474,38277.748300000014,38,10325.680869141714,4,0.0,4,554.4786000000004,2,2386.7466999999997,-3689.5169,38.4015717372398,0,0,539,539,10 + responsive prices,sumsy,5,-5.820766091346741e-11
