round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26747.601900000052,0.0,1819.5,469.5,469.5,,469.5,0.0,0.0,0.0,0.0,0.0,0.0025,117.1754,1683.0,0.0,0.9588,561.0,873.1571333333345,0.02,91.50000000000044,1.02,0.0,0.0,1.02,0.0,0,0,24.396844313725488,2.779543921568627,27.176388235294116,2.538531176470588,2.6045905882352938,5.143121764705882,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,48,2560.0,237.67810000000048,469.5,209.78439999999878,0.0,0.0,0.0,0.0,0.0,0,21.2042,2560.0,237.67810000000048,118.28440000000022,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,97.0,160.0,2048.0,734.0,204.0,328,0,0,0,58,39.0,2048.0,18682.76440000007,1485.2155,3872.4339999999993,729,39,0,122,0.12073644718581455,0.48586613106187904,0.6612790634102446,0,5216.650299999997,485.0,58,0,520.0,0,0,0,0.0,0,0.0,47370.26439999987,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2568.8084,4,22.464,22.464,NaN,5120.0,100.0,0.13084241373697914,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,120.0,0.0,1261.5505000000007,0.0,1261.5505000000007,0.0,22.464,165.39509999999996,7926.457900000001,0.496352398217603,390,15295.016300000043,122,32075.248100000008,4,0.0,4,243.20000000000005,2,247.5042,-352.32460000000003,37.5,0,0,160,160,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
2,512,4,4,29023.556200000046,0.0,17700.496400000004,235.99649999999997,550.9343,,550.9343,0.0,0.0,0.0,0.0,0.0,0.0025,142.5296,1683.0,0.0,0.91929744,561.0,716.3653833333349,0.02,362.39030000000037,1.0404,0.0,0.0,1.0404,0.0,0,0,24.097425686274512,2.708654117647059,26.80607980392157,2.055042745098039,2.6532701960784313,4.70831294117647,2525.1101000000094,850.0000000000022,2525.1101000000094,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-2.5000000000000005e-5,0.0,48,2560.0,284.0456999999991,235.99649999999997,506.4650999999983,0.0,0.0,0.0,0.0,0.0,3,194.67680000000001,2560.0,284.0456999999991,144.07479999999939,274.0,0.0,0.0,0.01012353567625133,4.909185673892538,5.474039519650676,2.1871907975460143,NaN,3.443817899408254,3.802399999999999,916.0,1061.0,458.0,2048.0,1352.0,204.0,174,0,0,0,43,33.0,2048.0,19308.029299999984,741.412,6409.7014,310,458,0,52,0.07916869238574131,0.4716154269618138,0.3599242697782208,0,7130.963499999977,5208.645999999983,46,3,326.0,0,0,0,0.0,0,0.0,47928.02930000023,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,713.0242000000006,230.0,2227.2070999999996,4,10.251100000000001,10.2512,NaN,5120.0,100.0,0.15305596354166667,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,0,12,0.0,0,0.0,120.0,0.0,11207.67362479572,0.0,11207.67362479572,0.0,10.251100000000001,228.4284,9378.3205,0.4805217861472131,460,34272.6521000001,52,13655.377199999999,4,0.0,4,243.19990000000007,2,508.4112,-408.40470000000005,37.5,0,0,458,458,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
3,512,4,4,31254.932700000056,0.0,20770.315622222235,1142.8253000000002,582.8016,,582.8016,0.0,0.0,0.0,0.0,0.0,0.0025,168.1512,1672.8102000000003,0.0,0.8814223854719999,550.8102000000003,638.2713333333337,0.02,376.4133000000024,1.061208,0.0,0.0,1.061208,0.0,0,0,24.699047829772528,2.865134542737257,27.564182372509787,2.615425183736554,2.831480344901356,5.44690552863791,2878.809299999977,2525.1101,2878.809299999977,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-1.5456499999999995,0.0,48,2560.0,328.62349999999975,1142.8253000000002,546.4057000000024,0.0,0.0,0.0,0.0,0.0,4,18.4056,2560.0,328.62349999999975,169.9924000000003,274.0,0.0,0.0,0.015,4.815392897196249,5.377461090225521,2.079707345971567,NaN,3.4304950410293573,3.688327999999999,1064.0,1070.0,532.0,2048.0,1526.0,204.0,130,0,0,1,46,34.0,2048.0,20808.232900000046,1597.7029,6963.2849,236,532,0,40,0.10058623887091,0.46462302389909915,0.2907857660840112,0,7680.169900000006,5152.4703999999865,46,0,422.0,0,0,0,0.0,0,0.0,48939.79734444438,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,877.6365000000013,256.0,1699.1552,4,0.0,0.0,NaN,5120.0,100.0,0.1646320001446757,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,120.0,0.0,13316.484621685833,0.0,13316.484621685833,0.0,0.0,161.40300000000002,10260.143000000004,0.4734414892994825,472,38367.96107777778,40,10571.836266666667,4,0.0,4,243.1998000000001,2,689.7429999999999,-414.6504,37.67361111111111,0,0,532,532,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
4,512,4,4,33442.25359999999,0.0,19969.485777579353,170.7065,553.6614999999999,,553.6614999999999,0.0,0.0,0.0,0.0,0.0,0.0025,233.9365,1659.8243250000003,0.0,0.8451077831905535,540.2889000000002,554.8324166666678,0.02,436.0990999999974,1.08243216,0.0,0.0,1.08243216,0.0,0,0,25.189482207282726,3.0122183206126047,28.20170052789533,3.5227620456910755,2.9817848704795598,6.504546916170636,2875.50270000001,2878.8093000000017,2875.50270000001,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-19.95145,0.0,48,2560.0,372.67910000000006,170.7065,632.2979999999968,0.0,0.0,0.0,0.0,0.0,0,225.4539,2560.0,372.67910000000006,196.19890000000007,274.0,0.0,0.0,0.015,5.148844372693729,5.341126542056093,1.9869394984326005,NaN,3.241833800956552,3.5776781599999983,1070.0,1084.0,535.0,2046.6666666666667,1532.0000000000002,204.0,128,0,0,0,59,35.0,2048.0,21597.693000000007,1761.9516,7598.0788,233,535,0,39,0.12833357313035632,0.467383983373292,0.2841583719136802,0,7396.269399999982,5581.347300000002,59,0,638.0,0,0,0,0.0,0,0.0,48750.99663624341,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1267.6673999999991,256.0,2025.1398000000002,4,0.0,0.0,NaN,5120.0,100.0,0.1984421944022474,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,120.0,0.0,12105.54067312595,0.0,12105.54067312595,0.0,0.0,210.15910000000002,11385.170199999999,0.47906532729276585,473,38374.542585052935,39,10376.454051190474,4,0.0,4,231.03980000000024,2,944.0989,-319.7249999999999,37.799892526455025,0,0,535,535,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
5,512,4,4,35584.41039999998,0.0,19135.487409377827,0.0,524.5214,,524.5214,0.0,0.0,0.0,0.0,0.0,0.0025,292.29,1674.4808999999996,0.0,0.8102893425231027,577.7023999999994,507.2018400000004,0.02,439.420499999999,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,23.54876661461693,2.781402541408931,26.330169156025864,4.253334013765007,2.7365704749053235,6.98990448867033,2917.2957000000024,2875.5026999999995,2917.2957000000024,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-39.140250000000016,0.0,48,2560.0,417.84320000000014,0.0,663.4906000000005,0.0,0.0,0.0,0.0,0.0,0,410.9537,2560.0,417.84320000000014,224.0700999999999,274.0,0.0,0.0,0.015,5.363470860314521,5.349254059040595,1.943817469879516,NaN,3.208808304408933,3.4703478152,1084.0,1081.0,542.0,2048.0,1546.0,204.0,125,0,0,2,58,36.0,2048.0,22440.454600000015,1808.4648,8481.1703,226,542,0,38,0.1500832329046824,0.46595456869340857,0.2820505035359251,1,7372.015999999999,5797.9119999999975,58,0,498.0,0,0,0,0.0,0,0.0,48598.098626433195,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,968.021099999999,256.0,2151.077,4,3.3316,3.3316,NaN,5120.0,100.0,0.23371303040628552,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,120.0,0.0,10517.780197297287,0.0,10517.780197297287,0.0,3.3316,261.8453,12440.712099999999,0.47909186529414116,474,38418.62935089527,38,10179.469275537978,4,0.0,4,218.87980000000016,2,1091.9724,-232.23139999999995,37.877458482546146,0,0,542,542,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
6,512,4,4,37683.999499999976,0.0,18023.0898,0.0,495.3813,,495.3813,0.0,0.0,0.0,0.0,0.0,0.0025,352.4773,1696.2905499999997,0.0,0.7769054216111508,601.7796000000003,471.8492000000004,0.02,439.1556999999999,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,22.625324203247853,2.7787166322742998,25.40404083552215,4.971061615142914,2.7088361443317712,7.679897759474685,2932.268999999998,2917.295700000001,2932.268999999998,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-57.31915000000004,0.0,48,2560.0,460.41090000000037,0.0,690.6685999999996,0.0,0.0,0.0,0.0,0.0,0,503.6451,2560.0,460.41090000000037,251.51290000000012,274.0,0.0,0.0,0.015,5.364390176088975,5.39679444444444,1.9246970251716247,NaN,3.1917395139606954,3.3662373807439985,1080.0,1079.0,540.0,2045.3333333333333,1542.0,204.0,126,0,0,0,50,41.0,2048.0,23376.802799999987,1907.9107999999999,9398.2844,226,542,0,38,0.1663723688430354,0.4615588500022414,0.2827285135223292,0,7314.0916000000125,5788.177000000003,50,0,437.0,0,0,0,0.0,0,0.0,48513.89241822399,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,841.0926,256.0,2144.8791,4,16.3944,16.3944,NaN,5120.0,100.0,0.2680400577927235,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,120.0,0.0,9408.494279985052,0.0,9408.494279985052,0.0,16.3944,319.0771,13451.074299999998,0.4753416237205921,474,38117.747599999995,38,10396.144818223976,4,0.0,4,206.71979999999985,2,1147.0375000000001,-142.904,37.905932381522014,0,0,540,540,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
7,512,4,4,39740.64170000006,0.0,16910.691800000015,0.0,466.24120000000005,,466.24120000000005,0.0,0.0,0.0,0.0,0.0,0.0025,438.9546,1711.914771428571,0.0,0.7448969182407714,601.8866999999996,428.110085714286,0.02,438.9278999999997,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,23.201588325672788,2.5864486274111407,25.788036953083928,6.248905569262385,2.5575178313025475,8.806423400564933,2888.2413999999894,2932.268999999993,2888.2413999999894,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-74.48865000000004,0.0,48,2560.0,503.3577999999998,0.0,718.8251999999998,0.0,0.0,0.0,0.0,0.0,0,548.4208000000001,2560.0,503.3577999999998,279.89730000000014,274.0,0.0,0.0,0.015,5.305815348399247,5.354927985074607,1.8281613588110386,NaN,3.1757450311324065,3.26525025932168,1072.0,1062.0,536.0,2048.0,1534.0,204.0,128,0,0,2,46,35.0,2048.0,24360.3345,2058.1515,10159.8833,226,542,0,38,0.1974373155592204,0.4654193371469213,0.292777481310023,0,7242.982300000026,5634.775900000001,46,0,471.0,0,0,0,0.0,0,0.0,48508.68088590387,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,861.0639999999992,256.0,2174.897,4,14.4943,14.4944,NaN,5120.0,100.0,0.3024938291015559,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,120.0,0.0,8332.714123652826,0.0,8332.714123652826,0.0,14.4943,358.90070000000003,14392.931800000002,0.47886477631060087,474,37835.965700000044,38,10672.715185903899,4,0.0,4,194.5598,2,1154.1869000000002,-27.28660000000002,38.07516542435352,0,0,536,536,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
8,512,4,4,41755.5236,0.0,15798.293799999989,0.0,437.10110000000003,,437.10110000000003,0.0,0.0,0.0,0.0,0.0,0.0025,575.6047,1721.167725,0.0,0.7142071652092515,595.3128000000003,381.85434166666664,0.02,457.1981,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,23.46406650119956,2.615778783156012,26.07984528435557,7.462427756261003,2.5805320335392046,10.042959789800207,2847.220799999989,2888.241399999992,2847.220799999989,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-90.64855000000004,0.0,48,2560.0,545.1180999999995,0.0,765.2324000000009,0.0,0.0,0.0,0.0,0.0,0,570.0012,2560.0,545.1180999999995,308.0342999999998,274.0,0.0,0.0,0.015,5.225414114391145,5.288263177570073,1.7654475409836037,NaN,3.1338578212077586,3.167292751542029,1070.0,1084.0,535.0,2045.3333333333335,1532.0,204.0,128,0,0,1,55,41.0,2048.0,25099.461299999995,2197.2677,10995.179,226,542,0,38,0.22586135186700385,0.4670083417813369,0.2975785445516128,0,7156.809000000007,5664.348900000002,55,0,549.0,0,0,0,0.0,0,0.0,48268.099587770615,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,969.2306999999985,256.0,2318.0096999999996,4,23.151600000000002,23.151600000000002,NaN,5120.0,100.0,0.34015944010212645,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,120.0,0.0,7110.208403590955,0.0,7110.208403590955,0.0,23.151600000000002,399.891,15510.456400000001,0.48011681508257276,474,37605.05330000001,38,10663.046287770607,4,0.0,4,182.39980000000014,2,1138.141,138.50359999999995,38.28437693703807,0,0,535,535,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
9,512,4,4,43730.86949999999,0.0,14685.895999999999,0.0,407.961,,407.961,0.0,0.0,0.0,0.0,0.0,0.0025,740.4945,1725.3571666666667,0.0,0.6847818300026304,586.2909000000002,328.28755555555557,0.02,452.2735999999973,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,23.8924701460113,2.780821538646641,26.67329168465794,8.285889683406591,2.7692375050707545,11.055127188477346,2809.6340000000005,2847.2207999999996,2809.6340000000005,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-105.79925,0.0,48,2560.0,584.6541000000002,0.0,787.8247999999966,0.0,0.0,0.0,0.0,0.0,0,580.3686,2560.0,584.6541000000002,335.5512000000002,274.0,0.0,0.0,0.015,5.140706156716418,5.179283858998145,1.7311515947467133,NaN,3.0699620543082,3.0722739689957668,1078.0,1072.0,539.0,2046.6666666666667,1540.0,204.0,127,0,0,1,56,34.0,2048.0,25940.94529999997,2323.8595,11718.0562,226,542,0,38,0.23937034467951523,0.46528991192814706,0.2954822891531328,0,7067.119700000003,5510.837,56,0,533.0,0,0,0,0.0,0,0.0,48116.9917743209,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,922.7037999999982,256.0,2427.1454,4,21.932799999999997,21.9328,NaN,5120.0,100.0,0.3747355541403039,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,120.0,0.0,6006.23755164782,0.0,6006.23755164782,0.0,21.932799999999997,446.7435,16469.0611,0.47818203424960437,474,37385.475799999986,38,10731.515974320924,4,0.0,4,170.23979999999983,2,1110.8820999999998,332.5335,38.43657997487134,0,0,539,539,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
10,512,4,4,45662.628799999955,0.0,13573.498200000011,0.0,378.82090000000005,,378.82090000000005,0.0,0.0,0.0,0.0,0.0,0.0025,947.7139,1725.85833,0.0,0.656568818606522,576.7896,259.3814766666667,0.02,458.88030000000066,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,24.579718968222515,2.4085891397295196,26.988308107952033,9.94631034429498,2.3666657775095383,12.312976121804518,2779.294499999999,2809.633999999985,2779.294499999999,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-119.94024999999992,0.0,48,2560.0,628.2406999999988,0.0,824.8526999999993,0.0,0.0,0.0,0.0,0.0,0,585.2622,2560.0,628.2406999999988,365.9724000000003,274.0,0.0,0.0,0.015,5.058231221303953,5.122995361781074,1.703745697896748,NaN,3.000456816526144,2.9801057499258943,1078.0,1089.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,2,55,46.0,2048.0,26677.686700000024,2441.9728999999998,12495.8107,226,542,0,38,0.27632219260664836,0.47299848932537847,0.295535586695004,1,6940.899499999984,5508.413800000005,55,0,523.0,0,0,0,0.0,0,0.0,47837.8767882906,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,891.0589999999992,256.0,2514.1823999999997,4,29.766000000000002,29.7656,NaN,5120.0,100.0,0.4087990770658723,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,120.0,0.0,4635.254956546009,0.0,4635.254956546009,0.0,29.766000000000002,513.4421,17451.965999999997,0.48517956193580325,474,37141.55369999995,38,10696.323088290681,4,0.0,4,158.07979999999998,2,1078.1494,568.8929999999999,38.48584242606496,0,0,539,539,12 + fiscal policy and VAT,sumsy,7,-1.4551915228366852e-11
