round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26726.260100000098,0.0,1911.0,561.0,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,116.1079,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.131532941176474,2.8414215686274504,26.972954509803923,2.1447745098039217,2.784764705882353,4.929539215686274,847.000000000002,0.0,847.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,235.49990000000022,561.0,117.20260000000013,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,235.49990000000022,117.20260000000013,271.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.5939344262295285,3.920000000000001,320.0,89.0,160.0,2048.0,732.0,204.0,329,0,0,0,55,34.0,2048.0,18804.562200000004,1475.758,3833.634,732,36,0,122,0.10869848196914522,0.4805822256080292,0.659230456014847,0,5210.294799999997,445.0,55,0,514.0,0,0,0,0.0,0,0.0,47604.56220000014,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0,206.0,2496.198,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5295569528627977,390,15690.809199999978,122,31913.753000000022,4,1475.7579999999998,4,4076.834,2,248.16,-444.8921,37.5,0,0,160,160,4 + theatres,sumsy,6,0.0
2,512,4,4,29003.172400000025,0.0,18195.2773,601.7773,1005.8921000000001,,1005.8921000000001,0.0,0.0,0.0,0.0,0.0,0.0025,139.3439,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.100164509803925,2.7870088235294115,26.887173333333333,2.034826274509803,2.696652352941176,4.731478627450979,2521.5932000000043,847.0000000000022,2521.5932000000043,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,283.08770000000027,601.7773,140.80490000000012,0.0,0.0,0.0,0.0,0.0,4,0.0,2560.0,283.08770000000027,140.80490000000012,271.0,0.0,0.0,0.008472370766488413,4.806090613382873,5.496914912280712,2.008698820058993,NaN,3.444376453274438,3.8023999999999996,912.0,1076.0,456.0,2048.0,1359.0,204.0,172,0,0,2,51,37.0,2048.0,19679.469700000005,741.5652,6344.134,312,456,0,52,0.07961846866237421,0.4644556609493129,0.35653043446371346,0,7148.648999999978,5171.353499999971,51,0,339.0,0,0,0,0.0,0,0.0,48598.78779999987,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,680.9488999999986,241.0,2098.6596,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5298796307899296,460,34797.39880000003,52,13801.389000000003,4,652.1800000000003,4,6587.334000000001,2,512.2339999999999,-866.5482000000002,37.5,0,0,456,456,4 + theatres,sumsy,6,0.0
3,512,4,4,31234.23219999996,0.0,21840.145400000005,1507.7125,1405.7916,,1405.7916,0.0,0.0,0.0,0.0,0.0,0.0025,161.821,0.0,0.0,1.0,539.2433999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.534363697711267,2.8528229268123058,28.387186624523576,2.853811460066117,2.80375814154485,5.657569601610967,2893.670399999995,2521.5931999999934,2893.670399999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.5687999999999995,0.0,0,2560.0,328.9402000000002,1507.7125,163.58750000000003,0.0,0.0,0.0,0.0,0.0,18,15.514600000000002,2560.0,328.9402000000002,163.58750000000003,271.0,0.0,0.0,0.007661322552379427,4.720969790718874,5.370653731343274,1.967996445880446,NaN,3.3359004998836683,3.6883279999999994,1072.0,1099.0,536.0,2045.3333333333335,1534.0,204.0,127,0,0,1,60,53.0,2048.0,20790.451399999976,1595.9580999999998,6955.9818000000005,232,536,0,39,0.10822166656846854,0.4652073406408097,0.2797324962546208,0,7562.097000000019,5188.345800000042,60,0,619.0,0,0,0,0.0,0,0.0,49440.761200000066,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1218.189799999996,256.0,1714.5052999999998,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5386516624833793,473,38969.05739999996,39,10471.7038,4,1261.6042999999963,4,7199.1818,2,777.6012000000001,-1243.9706,37.5,0,0,536,536,4 + theatres,sumsy,6,0.0
4,512,4,4,33421.924999999996,0.0,21480.717800000002,521.3076,1773.6618,,1773.6618,0.0,0.0,0.0,0.0,0.0,0.0025,183.4617,0.0,0.0,1.0,529.6912000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.054589803638436,3.191530197181058,29.24612000081949,3.8583901072752265,3.0628122522777854,6.921202359553012,2877.235300000017,2893.6704000000072,2877.235300000017,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-14.137425000000004,0.0,0,2560.0,372.3071999999997,521.3076,185.25639999999984,0.0,0.0,0.0,0.0,0.0,39,14.796199999999999,2560.0,372.3071999999997,185.25639999999984,271.0,0.0,0.0,0.0029661475248099352,4.577172123479938,5.290638262476926,1.9089945312500123,NaN,3.192890227019827,3.5776781599999987,1082.0,1069.0,541.0,2046.6666666666665,1544.0,204.0,125,0,0,1,59,40.0,2048.0,22600.964299999967,1768.3137,6921.3877,227,541,0,38,0.12719073958487837,0.4590592309937491,0.28045141523136996,0,7338.638299999985,4892.997000000054,59,0,640.0,0,0,0,0.0,0,0.0,50330.26330000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1221.756500000008,256.0,1933.0014,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5434796441020018,474,39994.65640000002,38,10335.606899999997,4,2348.757699999999,4,7164.5876,2,1044.6516000000001,-1590.2001,37.5,0,0,541,541,4 + theatres,sumsy,6,0.0
5,512,4,4,35567.3649,0.0,20725.534,330.09809999999993,2103.7599,,2103.7599,0.0,0.0,0.0,0.0,0.0,0.0025,204.5817,0.0,0.0,1.0,513.5597999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.291613456866298,3.8141728165824342,30.105786273448732,4.570641260656881,3.6255269272454447,8.196168187902325,2812.444300000001,2877.2352999999953,2812.444300000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-27.607725000000006,0.0,0,2560.0,414.5600999999996,330.0981,206.38039999999955,0.0,0.0,0.0,0.0,0.0,44,15.6243,2560.0,414.5600999999996,206.38039999999955,271.0,0.0,0.0,0.008321257485983322,4.454571348314609,5.170876709796675,1.9346585937499978,NaN,3.0355809017191535,3.4703478151999994,1082.0,1068.0,541.0,2046.6666666666667,1544.0,204.0,126,0,0,1,58,27.0,2048.0,24290.46270000003,1840.4433,6867.7698,227,541,0,38,0.13070777481364937,0.4433582197043493,0.27567923310218734,0,7062.471899999997,4757.482200000002,58,0,640.0,0,0,0,0.0,0,0.0,51046.18669999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1238.1814999999986,256.0,2348.4831,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416116551045864,474,40667.12439999998,38,10379.0623,4,3506.1692000000003,4,7110.969700000001,2,1312.3654999999999,-1899.1782,37.5,0,0,541,541,4 + theatres,sumsy,6,0.0
6,512,4,4,37669.737999999976,0.0,19935.4755,295.22339999999997,2398.9833,,2398.9833,0.0,0.0,0.0,0.0,0.0,0.0025,226.0158,0.0,0.0,1.0,499.8050999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.016487373980137,3.923040921296809,30.939528295276943,5.848455379340331,3.8009405306124004,9.649395909952732,2757.568400000008,2812.4443000000015,2757.568400000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-40.368525000000005,0.0,0,2560.0,457.6269000000001,295.2234,227.8809,0.0,0.0,0.0,0.0,0.0,48,287.9689,2560.0,457.6269000000001,227.8809,271.0,0.0,0.0,0.012747109801389342,4.346838033395156,5.069442513863231,1.9669795312499982,NaN,2.949586208083512,3.366237380743999,1082.0,1078.0,541.0,2046.6666666666665,1544.0,204.0,125,0,0,0,49,32.0,2048.0,25898.462500000023,1876.3955999999998,6881.3263,227,541,0,38,0.14756655679095587,0.4357018092980325,0.27157623257019337,0,6896.448000000014,4685.891399999978,49,0,640.0,0,0,0,0.0,0,0.0,51630.50679999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1258.8668999999989,256.0,2499.5689,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5460888345152082,474,41163.7837999999,38,10466.722999999996,4,4627.403400000001,4,7124.5262,2,1571.6025,-2172.9674999999997,37.5,0,0,541,541,4 + theatres,sumsy,6,0.0
7,512,4,4,39729.85480000003,0.0,19111.8908,261.6973,2660.6805999999997,,2660.6805999999997,0.0,0.0,0.0,0.0,0.0,0.0025,247.1014,0.0,0.0,1.0,487.7130999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.123434046981178,3.894450620974508,32.017884667955684,7.417847213178107,3.7564727063498937,11.174319919528003,2694.840999999995,2757.5683999999956,2694.840999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-52.420725000000026,0.0,0,2560.0,499.88319999999976,261.6973,248.9941999999997,0.0,0.0,0.0,0.0,0.0,50,421.6336,2560.0,499.88319999999976,248.9941999999997,271.0,0.0,0.0,0.015,4.252369123134339,4.990392923649897,2.0099362499999995,NaN,2.9788719579080873,3.2652502593216797,1074.0,1072.0,537.0,2048.0,1536.0,204.0,127,0,0,2,50,32.0,2048.0,27575.690999999984,1912.3132,6846.2787,227,541,0,38,0.17752749039509585,0.43435288487476265,0.29856031273811356,0,6883.061000000031,4558.539700000011,50,0,640.0,0,0,0,0.0,0,0.0,52284.05560000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1286.3591999999996,256.0,2726.8369,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5537530244445836,474,41723.30340000004,38,10560.7522,4,5748.603000000001,4,7089.4785999999995,2,1692.1596,-2413.5791999999997,37.5,0,0,537,537,4 + theatres,sumsy,6,0.0
8,512,4,4,41749.032800000015,0.0,18256.6226,230.0139,2890.6943999999994,,2890.6943999999994,0.0,0.0,0.0,0.0,0.0,0.0025,267.5029,0.0,0.0,1.0,477.11520000000047,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.62754495441488,4.116724547194992,32.74426950160988,9.020278764908388,3.99981670600758,13.020095470915969,2657.2687999999976,2694.8410000000003,2657.2687999999976,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-63.76375000000005,0.0,0,2560.0,540.8220000000003,230.0139,269.4414000000002,0.0,0.0,0.0,0.0,0.0,51,486.18690000000004,2560.0,540.8220000000003,269.4414000000002,271.0,0.0,0.0,0.015,4.1844703839122195,4.929605970149249,2.0672610937499987,NaN,2.8968682631131784,3.167292751542029,1072.0,1094.0,536.0,2045.3333333333333,1534.0,204.0,128,0,0,3,54,51.0,2048.0,29021.1237,1982.8476,6932.7453,227,541,0,38,0.20230627496531728,0.4322373623584703,0.31229366740752185,0,6721.827499999998,4577.810599999968,54,0,640.0,0,0,0,0.0,0,0.0,52705.80859999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1323.047099999999,256.0,3058.6264,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5618578372997562,474,42118.322200000024,38,10587.486400000003,4,6904.419399999999,4,7175.9451,2,1743.6052999999997,-2623.1914999999995,37.5,0,0,536,536,4 + theatres,sumsy,6,0.0
9,512,4,4,43728.05770000004,0.0,17373.333599999998,201.993,3092.687299999999,,3092.687299999999,0.0,0.0,0.0,0.0,0.0,0.0025,287.5597,0.0,0.0,1.0,469.4958000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.344908137407852,4.3340113545999435,33.67891949200779,10.649527013856787,4.2181691593348605,14.867696173191648,2628.212700000005,2657.268800000007,2628.212700000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-74.39777500000002,0.0,0,2560.0,580.9750999999997,201.993,289.5125000000001,0.0,0.0,0.0,0.0,0.0,52,517.4321,2560.0,580.9750999999997,289.5125000000001,271.0,0.0,0.0,0.015,4.135715900383134,4.866317877094981,2.133851249999999,NaN,2.8060638522623225,3.072273968995767,1074.0,1044.0,537.0,2044.0000000000002,1536.0,204.0,126,0,0,1,46,26.0,2048.0,30505.002000000008,2042.0201,6911.7953,227,541,0,38,0.22078014810079383,0.4287830508797834,0.3089711344444688,0,6557.801400000008,4317.687399999992,46,0,640.0,0,0,0,0.0,0,0.0,53166.00720000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1365.6647999999993,256.0,3464.2484999999997,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5680467516833643,474,42589.37100000001,38,10576.636200000003,4,8048.8738,4,7154.995,2,1761.7428999999997,-2805.127599999999,37.5,0,0,537,537,4 + theatres,sumsy,6,0.0
10,512,4,4,45667.15940000003,0.0,16464.5205,176.4689,3269.156199999999,,3269.156199999999,0.0,0.0,0.0,0.0,0.0,0.0025,307.4372,0.0,0.0,1.0,464.0285999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,30.313918538347018,4.110092878723492,34.42401141707051,12.260530890026123,4.066362867688637,16.32689375771476,2583.827899999988,2628.212700000009,2583.827899999988,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-84.32297499999997,0.0,0,2560.0,620.8982999999997,176.4689,309.4449999999997,0.0,0.0,0.0,0.0,0.0,53,532.2971,2560.0,620.8982999999997,309.4449999999997,271.0,0.0,0.0,0.015,4.094197433547207,4.801547476635491,2.1737482812499955,NaN,2.7634406814771166,2.9801057499258943,1070.0,1091.0,535.0,2046.6666666666667,1531.9999999999998,204.0,127,0,0,0,50,43.0,2048.0,31700.467200000017,2104.1848,7101.1975,227,541,0,38,0.24271987621082802,0.43109092082332334,0.31310643283777595,0,6456.336099999994,4466.769400000003,50,0,640.0,0,0,0,0.0,0,0.0,53337.79270000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1391.1988999999971,256.0,3921.5756,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5795905060913153,474,42578.21060000003,38,10759.582100000001,4,9196.320499999998,4,7344.3972,2,1763.5003000000002,-2961.718999999999,37.5,0,0,535,535,4 + theatres,sumsy,6,0.0
