round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,32962.52200000024,0.0,33084.648399999984,0.0,3839.8239999999996,,0.0,0.0,3839.8239999999996,0.0,3839.8239999999996,0.0,0.00375,104.5552,0.0,0.0,1.0,3940.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28,0,20.951887843137257,-11.251045530024511,9.700842313112744,1.4388631372549028,3.2366364705882353,4.675499607843138,1206.795999999997,0.0,1206.795999999997,0.0,0,0,0.0,0.0,46.332,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,1.176,529.2139999999999,1.176,204.73239999999925,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,99.0,160.0,2048.0,734.0,204.0,328,0,0,0,60,39.0,2048.0,20811.224400000006,3543.8332,4626.653600000001,768,0,0,128,0.04284573859425311,0.8901221229145924,0.072164124629579,0,5702.296000000015,495.0,60,0,0.0,0,0,0,0.0,0,0.0,14172.773999999969,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,3876.2556,4,348.42830000000004,243.9284000000069,NaN,5120.0,100.0,-0.18744399739583337,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,5795.925799999999,3072,4532.639999999999,4532.639999999999,4532.64,154.33590000000027,102.89060000000018,51.44530000000009,151.80360000000002,196.62470000000002,302.0956,6250.8166,0.908915376147585,384,10778.952599999995,128,3393.8214000000003,4,0.0,4,3839.8239999999996,2,120.95040000000101,104.5552,11.25,0,0,160,160,9 co-ops (side rung),debt,9,-3.637978807091713e-11
2,512,4,4,32118.26759999995,0.0,32332.314000000006,0.0,5607.3889,,0.0,0.0,5607.3889,0.0,1767.5648999999999,14.399289999999999,0.00375,0.0,0.0,0.0,1.0,2340.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28,4,21.694249411764705,-11.360338391927083,10.333911019837622,1.867472156862744,2.600797843137255,4.468269999999999,3529.2422000000233,1206.7959999999923,3529.2422000000233,0.0,0,0,0.0,0.0,313.6608,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,214.04639999999998,277.3273999999999,0.0,0,63.281000000000006,907.5354000000003,0.0,482.28040000000806,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,1680.0,0.0,0.005987036414760638,4.818917296786379,5.497996498905923,1.8500000000000043,1.1222319474835891,3.5539093023255646,3.802399999999999,914.0,1058.0,457.0,2048.0,1376.0,204.0,168,0,0,1,48,26.0,2048.0,19957.496799999983,2247.1067000000003,7212.555300000001,768,0,0,128,0.07495644674705693,0.8833441709063055,0.09888556791530934,4,6279.222999999964,5098.414499999989,48,0,200.0,0,0,0,0.0,0,0.0,14818.963800000027,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,370.00000000000085,256.0,2701.1088,4,0.0,0.0,NaN,5120.0,100.0,-0.16626471679687502,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,6,6,5462.870500000001,3072,4532.639999999999,4532.639999999999,4414.084000000001,9087.927156403372,5181.592579019125,3906.3345773842466,0.0,0.0,0.0,6697.900300000001,0.8898658962861581,384,11000.743874999993,128,3818.219925000002,4,0.0,4,3839.8239999999996,2,212.9292000000011,0.0,11.25,0,0,457,457,9 co-ops (side rung),debt,9,-3.637978807091713e-11
3,512,4,4,31796.896899999996,0.0,31723.253500000024,0.0,6394.403700000001,,0.0,0.0,6394.403700000001,0.0,787.0147999999997,21.02664962500002,0.00375,0.0,0.0,0.0,1.0,1893.421710775046,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27,0,24.33917367737363,-9.563361697446913,14.775811979926718,2.317392447566351,2.332887954965335,4.650280402531686,3993.9112999999707,3529.242200000031,3993.9112999999707,0.0,0,0,0.0,0.0,290.736,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,263.0266,427.4454999999999,0.0,0,540.4318,861.8024999999997,437.9718,1127.4334000000408,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,1257.3229999999996,0.0,0.00962743265754687,4.7342065514104155,5.4195509328358025,1.726023923444972,1.3440259398496255,3.484822935577491,3.688327999999999,1072.0,1099.0,536.0,2046.6666666666665,1534.0,204.0,127,0,0,1,57,45.0,2048.0,19471.755799999977,2354.31,7702.1238,744,4,20,124,0.0845287563617203,0.7748318167277692,0.11622979418506829,6,6408.992000000006,5202.893000000046,57,0,418.0,0,0,0,0.0,0,0.0,19609.31449234133,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,721.4779999999982,256.0,2268.7073,4,0.0,0.0,NaN,5120.0,100.0,-0.1616693275252439,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,6,6,5508.980799999999,3072,4532.639999999999,4532.639999999999,4000.8301,12478.960902259383,6893.070201129693,5585.8907011296915,0.0,0.0,0.6111,6816.1603000000005,0.7965464425837252,388,7020.315829431074,124,12588.998662910295,4,0.0,4,3839.8239999999996,2,261.9677842450741,0.0,16.833479212253838,0,0,536,536,9 co-ops (side rung),debt,9,-3.637978807091713e-11
4,512,4,4,31378.99580000003,0.0,31385.655800000004,0.0,7093.549300000001,,0.0,0.0,7093.549300000001,0.0,699.1455999999997,23.977757625000017,0.00375,0.0,0.0,0.0,1.0,1877.0155283333715,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0,26.007024665765442,-8.334978334921317,17.67204633084413,2.121749419025127,2.416798757205731,4.538548176230858,3979.2952000000437,3993.9112999999666,3979.2952000000437,0.0,0,0,0.0,0.0,264.6439,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,343.33000000000004,571.8756999999993,0.0,0,422.0131,839.9142000000002,357.8863,1201.84850000001,0.0,0.0,0.0,0.0,0.0,21,17.5167,0.0,0.0,0.0,0.0,1252.1017999999997,0.0,0.011410302726762273,4.602514394661582,5.385535489833647,1.6750296127562583,1.4323573831775727,3.3826505600946395,3.5776781599999983,1082.0,1049.0,541.0,2046.6666666666667,1544.0,204.0,126,4,4,1,45,34.0,2044.0,19243.94619999999,2721.1261,7451.9247,746,6,16,124,0.07393781512069086,0.7372872039457841,0.12353665854514384,5,6327.330300000022,4828.0376,45,0,439.0,0,0,4,0.0,0,0.0,22576.284134210535,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,735.3379999999974,256.0,1944.4821000000002,4,0.0,0.0,NaN,5120.0,100.0,-0.15631578231467338,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,6,6,5198.203799999999,3072,4532.639999999999,4532.639999999999,3961.0232,12847.831627776499,7305.07829800401,5542.753329772488,0.0,0.0,0.6111,6919.329099999999,0.7614739032098916,388,6838.861161933155,124,15737.42297227739,4,0.0,4,3839.8239999999996,2,345.7433255639118,0.0,20.160389097744382,0,0,541,541,9 co-ops (side rung),debt,9,-3.637978807091713e-11
5,512,4,4,30652.4554,0.0,30691.86360000001,0.0,7798.876100000001,,0.0,0.0,7798.876100000001,0.0,705.3267999999999,26.599055375000013,0.00375,0.0,0.0,0.0,1.0,1842.4297601299322,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,4,28.007234353576585,-8.238432249756976,19.76880210381961,2.696799140300731,2.122257264240745,4.819056404541476,3861.942199999972,3979.2952000000682,3861.942199999972,0.0,0,0,0.0,0.0,274.6098,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,376.0782000000002,716.0434999999997,0.0,0,111.4196,837.9599999999998,0.0,1163.7011999999947,0.0,0.0,0.0,0.0,0.0,27,1.2191,0.0,0.0,0.0,0.0,1234.8948,0.0,0.013709600291997142,4.486974342105264,5.327931509433954,1.6294851703406719,1.5379791586998084,3.263238239221614,3.4703478152,1060.0,1064.0,530.0,2042.6666666666665,1522.0,204.0,130,4,4,0,49,33.0,2040.0,18868.1269,2809.0317,7260.8275,746,7,15,124,0.0856337159432583,0.7392867823077487,0.13707518815295439,11,6126.136199999999,4774.140700000001,49,0,499.0,0,0,4,0.0,0,0.0,24092.028900000027,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,813.1130999999953,256.0,1713.2502,4,0.0,0.0,NaN,5120.0,100.0,-0.15186090029327298,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,6,6,4975.634600000001,3072,4532.639999999999,4532.639999999999,3931.2718999999997,12412.044679341476,7162.6920216503395,5249.352657691137,0.0,0.0,0.6111,6807.4748,0.7606736622824513,388,6725.026835762264,124,17367.00206423776,4,0.0,4,3839.8239999999996,2,361.9669112149537,0.0,21.48536074766359,0,0,530,530,9 co-ops (side rung),debt,9,-3.637978807091713e-11
6,508,4,4,29981.20250000001,0.0,26086.42510000001,0.0,8451.1806,,0.0,0.0,8451.1806,0.0,652.3045,29.24353112500002,0.00375,0.0,0.0,0.0,1.0,1761.0279892274536,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,21.606091291028008,0.299543838304532,21.90563512933254,2.4265174566429515,2.5315668475310384,4.9580843041739895,3801.4927999999186,3861.9421999999877,3801.4927999999186,0.0,0,0,0.0,0.0,263.8404,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,351.61130000000026,857.7286999999991,3978.8375000000005,0,166.1521,837.4050000000003,0.0,1137.9642999999912,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,1168.7446999999981,0.0,0.014432657483283151,4.372385899814492,5.260832956685475,1.586622242314637,1.6297829787234033,3.1491141162453835,3.3662373807439985,1062.0,1078.0,531.0,2032.0,1518.0,204.0,128,0,0,2,54,43.0,2032.0,18504.2888,2712.3977000000004,7206.1592,739,14,15,124,0.07652821083115291,0.5147830292199258,0.14292041996711413,1,5925.699900000014,4713.4320000000225,56,2,553.0,0,0,0,0.0,0,0.0,29545.967307634688,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,877.4020999999942,256.0,1558.3568,4,0.0,0.0,NaN,5120.0,100.0,-0.14682334271928776,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,4813.4795,3072,4532.639999999999,4532.639999999999,0.0,12363.325992219345,7126.728926829538,5236.597065389807,0.0,0.0,0.0,6663.434200000001,0.7469496422578632,384,10404.552308747612,124,19141.414998887125,4,0.0,4,3839.8239999999996,2,-3549.614089292544,0.0,23.069687380497125,4,0,531,531,9 co-ops (side rung),debt,9,-3.637978807091713e-11
7,508,4,4,29242.87049999997,0.6111,25417.614699999995,0.0,9079.839300000001,,0.0,0.0,9079.839300000001,0.0,628.6587,31.68919137500001,0.00375,0.0,0.0,0.0,1.0,1700.5824194938477,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,4,23.765072063647036,0.39933626338655376,24.164408327033588,2.8609089695734333,2.297735269557039,5.1586442391304725,3705.0808999999817,3801.4927999999322,3705.0808999999817,0.0,0,0,0.0,0.0,249.7969,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,420.5218000000001,991.8523999999989,3978.8375000000005,0,65.2132,802.9341000000002,0.0,1103.6155999999617,0.0,0.0,0.0,0.0,0.0,4,4.6149,0.0,0.0,0.0,0.0,1126.254800000001,0.0,0.015,4.2647428706326584,5.145905649717516,1.5440149253731323,1.5801368217054275,3.0737279150136323,3.26525025932168,1062.0,1059.0,531.0,2029.3333333333333,1523.0,203.0,126,0,0,0,49,37.0,2032.0,18072.454600000005,2753.6217,7029.6453,742,15,11,124,0.08566098792990373,0.5290243698467121,0.14117656824154778,11,5787.671300000022,4516.362699999985,49,0,536.0,0,0,0,0.0,0,0.0,31310.876116439485,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,827.591999999999,256.0,1382.534,4,0.0,0.0,NaN,5120.0,100.0,-0.15120135375110813,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,6,6,4869.7467,3072,4532.639999999999,4532.639999999999,0.0,12262.547400740588,6864.210766622144,5398.336634118445,0.0,0.0,0.0,6296.054300000002,0.7471643875268612,384,10458.987943085114,124,20851.88817335438,4,0.0,4,3839.8239999999996,2,-3553.1610085106395,0.0,24.446744680851047,0,0,531,531,9 co-ops (side rung),debt,9,-3.637978807091713e-11
8,508,4,4,28538.8009,1.2222,24743.065799999993,0.0,9711.4627,,0.0,0.0,9711.4627,0.0,631.6233999999998,34.04660912500002,0.00375,0.0,0.0,0.0,1.0,1672.5717061805826,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,24.73017762676147,0.19176524238725734,24.92194286914873,2.3553556636861606,2.5002013039751527,4.855556967661314,3681.285400000001,3705.0808999999103,3681.285400000001,0.0,0,0,0.0,0.0,264.66409999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,449.43140000000005,1122.4204999999997,3978.8375000000005,0,101.6585,805.117,0.0,1074.9976000000183,0.0,0.0,0.0,0.0,0.0,0,125.665,0.0,0.0,0.0,0.0,1112.3829,0.0,0.015,4.204845305378275,5.138407532956665,1.5086443775100367,1.5281124752475237,3.0009142609448025,3.167292751542029,1062.0,1097.0,531.0,2032.0,1523.0,203.0,127,0,0,2,66,54.0,2032.0,17540.8992,2660.8325,7041.263199999999,740,26,2,124,0.07301657218788149,0.5404957054457413,0.14540630587718995,2,5651.349800000009,4612.715299999968,66,0,498.0,0,0,0,0.0,0,0.0,30992.601723973505,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,751.3048999999983,256.0,1170.141,4,0.0,0.0,NaN,5120.0,100.0,-0.13805248762263808,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,6,6,4532.4967,3072,4532.639999999999,4532.639999999999,0.0,11995.869132940654,6920.866463922502,5075.002669018151,0.0,0.0,0.0,6339.74,0.7640262752948457,384,10258.742910174415,124,20733.85881379907,4,0.0,4,3839.8239999999996,2,-3624.652595348837,0.0,23.702052325581413,0,0,531,531,9 co-ops (side rung),debt,9,-3.637978807091713e-11
9,508,4,4,28056.765799999965,1.8333,24262.698599999985,0.0,10282.906199999998,,0.0,0.0,10282.906199999998,0.0,571.4435000000001,36.414795875000024,0.00375,0.0,0.0,0.0,1.0,1602.1667322577757,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,24.934349470600008,0.21920055734684424,25.153550027946853,2.368964536941172,2.5291989178473946,4.898163454788567,3649.559200000015,3681.285400000033,3649.559200000015,0.0,0,0,0.0,0.0,241.221,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,450.4882,1241.2102000000018,3978.8375000000005,0,280.39029999999997,761.8142999999999,162.6574,1067.1408999999846,0.0,0.0,0.0,0.0,0.0,1,67.1819,0.0,0.0,0.0,0.0,1049.8491000000008,0.0,0.015,4.273425655976672,5.080562337662323,1.476037437185932,1.5175665362035224,2.9026551644272147,3.0722739689957668,1078.0,1029.0,539.0,2029.3333333333333,1539.0,203.0,122,0,0,1,37,31.0,2032.0,17278.013700000007,2762.3365,6911.4922,740,28,0,124,0.0690209804536821,0.5482976243240658,0.1459693345979527,6,5506.128599999992,4397.354999999995,38,1,398.0,0,0,0,0.0,0,0.0,30738.556809738544,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,587.4629000000009,256.0,1037.7415,4,0.0,0.0,NaN,5120.0,100.0,-0.12791862240227928,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,6,6,4296.542799999999,3072,4532.639999999999,4532.639999999999,0.0,12077.851525567276,7117.170585578779,4960.680939988496,0.0,0.0,0.0,6415.0274,0.7792129813000208,384,10033.28468985149,124,20705.27211988706,4,0.0,4,3839.8239999999996,2,-3729.4241999999995,0.0,22.921687128712854,0,0,539,539,9 co-ops (side rung),debt,9,-3.637978807091713e-11
10,508,4,4,27562.333199999972,2.4444,23737.39839999999,0.0,10954.266399999999,,0.0,0.0,10954.266399999999,0.0,671.3602000000002,38.557522875000004,0.00375,0.0,0.0,0.0,1.0,1661.8439938223255,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,25.19903080039113,-0.02739518937882544,25.17163561101231,2.7418674407683756,2.2054749730235583,4.947342413791934,3574.094099999934,3649.5592000000875,3574.094099999934,0.0,0,0,0.0,0.0,234.09959999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,419.0094999999999,1367.367100000001,3978.8375000000005,0,282.9177,776.7392000000001,125.28209999999999,1029.0489000000134,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1100.522600000002,0.0,0.015,4.1914137180700095,5.0904937499999745,1.4490927184466031,1.5320556680161959,2.8856565779905083,2.9801057499258943,1056.0,1057.0,528.0,2030.6666666666667,1517.0,203.0,128,0,0,0,45,27.0,2032.0,17232.106200000002,2857.4178999999995,6872.688,734,34,0,124,0.08134605499711989,0.5545969214655271,0.14339726501885086,12,5464.770999999997,4430.3243,45,0,206.0,0,0,0,0.0,0,0.0,31454.41139543632,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,298.51310000000024,256.0,600.1211000000001,4,0.0,0.0,NaN,5120.0,100.0,-0.13016207465065435,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,4273.4423,3072,4532.639999999999,4532.639999999999,0.0,11546.059863389015,6664.701131694509,4881.3587316945095,0.0,0.0,0.0,6056.7847,0.7852022117304047,384,10288.683150048919,124,21165.728245387403,4,0.0,4,3839.8239999999996,2,-3828.026000000001,0.0,22.763498043052838,0,0,528,528,9 co-ops (side rung),debt,9,-3.637978807091713e-11
