round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,110251.16150000102,0.0,2579.8501,757.3501,757.3501,,757.3501,0.0,0.0,0.0,0.0,0.0,0.0025,966.7648,0.0,0.0,1.0,757.3500000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.230118663761804,13.932552214960056,38.162670878721855,2.674654320987654,13.375734059549744,16.0503883805374,1135.199999999998,0.0,1135.199999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,1938.1088999999904,757.3501,968.3024999999923,0.0,0.0,0.0,0.0,0.0,0,238.0534,2560.0,1938.1088999999904,968.3024999999923,268.0,0.0,0.0,0.0,6.75,7.019999999999987,NaN,1.012500000000002,4.679418250950545,5.292000000000001,320.0,97.0,160.0,2048.0,526.0,204.0,380,0,0,0,58,39.0,2048.0,101826.28380000078,1992.2736,5227.7859,732,36,0,122,0.02452708695618333,0.2181347215845213,0.7546587816505239,0,3364.1283000000026,654.75,58,0,0.0,0,0,0,0.0,0,0.0,141135.31390000135,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24050245031592676,390,79430.57750000026,122,61704.7364,4,1992.2736000000002,4,5556.1059,2,238.0534,209.41470000000004,50.62500000000001,0,0,160,160,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
2,512,4,4,110860.0917000001,0.0,24089.367100000007,224.1327,719.4825999999999,,719.4825999999999,0.0,0.0,0.0,0.0,0.0,0.0025,1146.2493,0.0,0.0,1.0,757.3500000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.513292810457557,13.215249527959331,37.72854233841689,2.7776405228758163,12.757855773420479,15.535496296296296,3397.3125000000045,1135.199999999998,3397.3125000000045,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.573499999999999,0.0,0,2560.0,1951.0698000000018,224.1327,972.7297999999998,0.0,0.0,0.0,0.0,0.0,0,281.5336,2560.0,1951.0698000000018,972.7297999999998,268.0,0.0,0.0,0.015,6.465053904045188,7.375408496732036,NaN,NaN,4.707387366548127,5.13324,918.0,1063.0,459.0,2048.0,1124.0,204.0,230,0,0,1,45,34.0,2048.0,99922.33550000004,1001.1108,8508.8625,309,459,0,52,0.030217698559263706,0.22421937039641504,0.4807489884665419,0,6107.5217000000175,6872.352300000035,45,0,0.0,0,0,0,0.0,0,0.0,139236.26510000014,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,230,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2599236178961233,460,113050.0045000001,52,26186.260600000023,4,868.1013000000385,4,8820.766500000002,2,388.1921,426.7667,50.6250000000001,0,0,459,459,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
3,512,4,4,111456.52710000008,0.0,27790.814999999984,1216.718,681.6151,,681.6151,0.0,0.0,0.0,0.0,0.0,0.0025,1356.733,0.0,0.0,1.0,725.3781000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.65429620615552,13.750816758542848,39.40511296469837,4.442775234182834,12.337668539307082,16.780443773489917,3865.2625000000185,3397.3125000000045,3865.2625000000185,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-17.0097,0.0,0,2560.0,1963.5645999999947,1216.7179999999998,976.6994999999979,0.0,0.0,0.0,0.0,0.0,0,117.3519,2560.0,1963.5645999999947,976.6994999999979,268.0,0.0,0.0,0.015,6.37287675070025,7.242974624060185,NaN,NaN,4.3753442897904264,4.979242800000001,1064.0,1071.0,532.0,2046.6666666666667,1270.0,204.0,194,0,0,0,47,34.0,2048.0,98648.69070000005,2148.046,9185.7055,236,532,0,40,0.04378579979367525,0.22769307103381364,0.42384419080818647,0,6399.391900000016,6825.350999999968,47,0,0.0,0,0,0,0.0,0,0.0,137687.82910000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26862377292370954,472,117635.26560000009,40,20052.563500000022,4,1971.3461000000698,4,9481.1935,2,521.0405000000001,675.1179,50.6250000000001,0,0,532,532,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
4,512,4,4,112040.84570000006,0.0,26496.68369999998,10.5445,643.7475999999999,,643.7475999999999,0.0,0.0,0.0,0.0,0.0,0.0025,1576.3896,0.0,0.0,1.0,715.0353000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.644369915920947,13.727056960147609,39.371426876068554,5.241608431566397,12.368345452124059,17.609953883690455,3834.619699999997,3865.2625000000107,3834.619699999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-38.12219999999999,0.0,0,2560.0,1975.6814000000004,10.5445,980.4752000000004,0.0,0.0,0.0,0.0,0.0,0,337.98850000000004,2560.0,1975.6814000000004,980.4752000000004,268.0,0.0,0.0,0.015,6.158806018518526,7.145083551401863,NaN,NaN,4.013664005821787,4.829865515999999,1070.0,1080.0,535.0,2048.0,1276.0,204.0,193,0,0,1,58,33.0,2048.0,98247.0171,2383.3559999999998,9496.0945,233,535,0,39,0.04591379735822576,0.22627949704831063,0.40139010798414065,0,5972.390400000001,6651.510500000008,58,0,0.0,0,0,0,0.0,0,0.0,135877.01630000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27745813064775127,473,116464.52520000008,39,19412.491100000017,4,3614.794900000068,4,9775.1665,2,721.226,932.642,50.625000000000085,0,0,535,535,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
5,512,4,4,112613.39410000006,0.0,25335.754799999995,0.0,605.8801,,605.8801,0.0,0.0,0.0,0.0,0.0,0.0025,1818.0968,0.0,0.0,1.0,691.0193999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.941511494003535,13.801172159227844,40.74268365323138,6.670045389115211,12.610223532728998,19.28026892184421,3777.833300000001,3834.619700000014,3777.833300000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-58.241000000000014,0.0,0,2560.0,1987.4516,0.0,983.8694999999993,0.0,0.0,0.0,0.0,0.0,0,453.4045,2560.0,1987.4516,983.8694999999993,268.0,0.0,0.0,0.015,6.011224376731243,6.96087486136784,NaN,NaN,3.9815540646566805,4.684969550520001,1082.0,1083.0,541.0,2046.6666666666667,1287.9999999999998,204.0,189,0,0,1,57,36.0,2048.0,98020.175,2590.2554999999998,9731.4623,227,541,0,38,0.059975198150373554,0.23158153483483934,0.40859643976138704,0,5983.908699999985,6510.155999999936,57,0,0.0,0,0,0,0.0,0,0.0,134222.36239999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29167924246796684,474,115475.83630000001,38,18746.526100000017,4,5248.505800000049,4,9994.118299999998,2,816.1909,1212.2167,50.625000000000085,0,0,541,541,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
6,512,4,4,113174.39879999984,0.0,23855.888399999978,0.0,568.0125999999999,,568.0125999999999,0.0,0.0,0.0,0.0,0.0,0.0025,2073.8801,0.0,0.0,1.0,674.4596999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.955325208526062,13.540007400834805,41.49533260936087,8.33307691723163,12.555751129014364,20.888828046245994,3719.1243999999915,3777.8332999999852,3719.1243999999915,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-77.25539999999997,0.0,0,2560.0,1998.9953000000019,0.0,987.0156000000011,0.0,0.0,0.0,0.0,0.0,0,508.5131,2560.0,1998.9953000000019,987.0156000000011,268.0,0.0,0.0,0.015,5.864356070435596,6.852355637707933,NaN,NaN,3.8851745924450647,4.5444204640044,1082.0,1079.0,541.0,2046.6666666666667,1288.0,204.0,189,0,0,1,50,42.0,2048.0,97872.56879999994,2784.1384,9935.2984,227,541,0,38,0.07291340642045285,0.23625406302750718,0.4097300436824358,0,5862.815100000002,6327.640200000008,50,0,0.0,0,0,0,0.0,0,0.0,132631.75689999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3049247346615922,474,113962.73519999985,38,18669.02170000002,4,6884.387600000071,4,10181.538400000001,2,850.8484,1505.8674999999998,50.625000000000085,0,0,541,541,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
7,512,4,4,113724.11340000006,0.0,22376.021400000012,0.0,530.1451,,530.1451,0.0,0.0,0.0,0.0,0.0,0.0025,2343.1462,0.0,0.0,1.0,657.9815999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.36555601165595,13.876040970342181,42.24159698199813,9.531838020318352,12.964200055551965,22.496038075870317,3638.4665000000027,3719.1243999999856,3638.4665000000027,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-95.16539999999993,0.0,0,2560.0,2010.2853999999988,0.0,989.9063999999996,0.0,0.0,0.0,0.0,0.0,0,535.0118,2560.0,2010.2853999999988,989.9063999999996,268.0,0.0,0.0,0.015,5.737090677966039,6.778442056074772,NaN,NaN,3.805738519673133,4.408087850084268,1070.0,1062.0,535.0,2046.6666666666667,1276.0,204.0,192,0,0,1,47,34.0,2048.0,97814.72310000008,2999.2263000000003,10032.006000000001,227,541,0,38,0.08293527933524869,0.23828308329289016,0.42027390599035264,0,5716.025600000003,6092.790299999933,47,0,0.0,0,0,0,0.0,0,0.0,131130.9113,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3153261236803784,474,112486.6386000001,38,18644.272700000023,4,8541.475000000039,4,10261.83,2,856.8960000000001,1813.0011000000002,50.625000000000085,0,0,535,535,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
8,512,4,4,114262.73429999995,0.0,20896.154400000032,0.0,492.27759999999995,,492.27759999999995,0.0,0.0,0.0,0.0,0.0,0.0025,2623.2171,0.0,0.0,1.0,643.7015999999994,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.004554598205477,13.858108057167135,42.86266265537262,11.143621437291344,12.969308863490236,24.112930300781578,3555.654500000026,3638.4665000000014,3555.654500000026,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-111.97079999999995,0.0,0,2560.0,2021.3791000000035,0.0,992.5732000000013,0.0,0.0,0.0,0.0,0.0,0,547.501,2560.0,2021.3791000000035,992.5732000000013,268.0,0.0,0.0,0.015,5.645569244935527,6.611295708955272,NaN,NaN,3.691602874857449,4.275845214581739,1072.0,1086.0,536.0,2046.6666666666665,1278.0,204.0,192,0,0,1,56,41.0,2048.0,97588.42599999998,3176.2595999999994,10327.330600000001,227,541,0,38,0.09532538357987574,0.24160965603668205,0.41960528042715417,0,5582.437100000002,6131.088199999982,56,0,0.0,0,0,0,0.0,0,0.0,129461.6143,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32755675136071605,474,110953.43629999996,38,18508.178000000018,4,10160.507800000014,4,10540.7386,2,848.9341000000001,2130.9395,50.625000000000085,0,0,536,536,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
9,512,4,4,114790.50709999983,0.0,19416.287399999965,0.0,454.4101,,454.4101,0.0,0.0,0.0,0.0,0.0,0.0025,2909.7855,0.0,0.0,1.0,633.4353,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.21823703431359,14.02177313607188,43.24001017038547,12.420454907748619,13.23227460473257,25.65272951248119,3519.107299999983,3555.6545,3519.107299999983,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-127.67239999999991,0.0,0,2560.0,2032.2272000000016,0.0,995.0578000000004,0.0,0.0,0.0,0.0,0.0,0,553.21,2560.0,2032.2272000000016,995.0578000000004,268.0,0.0,0.0,0.015,5.575712873134336,6.50669257884969,NaN,NaN,3.6288475617459843,4.147569858144287,1078.0,1072.0,539.0,2046.6666666666667,1284.0,204.0,190,0,0,0,55,34.0,2048.0,97462.6230999999,3302.0419,10562.8466,227,541,0,38,0.10326244651703242,0.24189636141762616,0.4167890855088867,0,5526.605300000003,5977.164200000007,55,0,0.0,0,0,0,0.0,0,0.0,127892.81149999985,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33666987527111436,474,109574.56049999988,38,18318.25100000002,4,11728.289600000082,4,10759.838600000001,2,834.192,2455.3754,50.625000000000085,0,0,539,539,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
10,512,4,4,115307.6297,0.0,17936.42039999998,0.0,416.5426,,416.5426,0.0,0.0,0.0,0.0,0.0,0.0025,3200.1783,0.0,0.0,1.0,625.5966000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.94387951974111,13.787478713157807,43.73135823289891,14.011191072587783,13.107364500874894,27.118555573462675,3487.8156000000004,3519.107299999992,3487.8156000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-142.2697,0.0,0,2560.0,2042.8774000000003,0.0,997.3964000000004,0.0,0.0,0.0,0.0,0.0,0,555.5532000000001,2560.0,2042.8774000000003,997.3964000000004,268.0,0.0,0.0,0.015,5.517216911764704,6.4366955555555565,NaN,NaN,3.5579662397866194,4.023142762399957,1080.0,1088.0,540.0,2048.0,1286.0,204.0,190,0,0,1,54,45.0,2048.0,97235.48229999995,3426.2624,10890.1535,227,541,0,38,0.11479730232188978,0.24564698583585942,0.41619168996015055,0,5447.390999999991,6002.731999999998,54,0,0.0,0,0,0,0.0,0,0.0,126222.67079999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3490827122947491,474,108054.6866,38,18167.98420000002,4,13294.50960000007,4,11070.7295,2,816.0841,2783.6357,50.625000000000085,0,0,540,540,"E2 + government, full money stock",sumsy,7,-2.9103830456733704e-11
