round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,32962.52200000009,0.0,33084.6484,0.0,3822.4239999999995,,0.0,0.0,3822.4239999999995,0.0,3822.4239999999995,0.0,0.00375,98.9,11820.0036,0.0,0.9588,3940.0011999999997,7630.558533333333,0.02,17.40000000000002,1.02,0.0,0.0,1.02,0.0,4,0,24.437663529411765,-13.28599294117647,11.151670588235294,1.403065882352942,3.470643137254901,4.873709019607843,1196.623199999997,0.0,1196.623199999997,0.0,0,0,0.0,0.0,36.1592,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,1.176,529.214,1.176,216.47719999999975,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,58.0,160.0,2048.0,734.0,204.0,328,0,0,0,34,24.0,2048.0,20985.663600000007,3543.8812,4457.8136,768,0,0,128,0.04196780807749878,0.7475868309173359,0.07351987786476721,0,5702.296000000016,290.0,34,0,0.0,128,0,0,5580.247600000005,768,5154.967600000004,20560.383600000005,0.0,0,0,0,1.5,0,0.0,128,128,5154.967600000004,768,61440.0,0,0,0.0,208.0,3876.2636,4,329.66830000000004,230.76760000000002,NaN,5120.0,100.0,-0.19759495442708333,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,9065.28,9065.28,154.33590000000027,0.0,154.33590000000027,0.0,329.66830000000004,409.3956,11877.9584,0.7858473819502854,384,15405.415999999994,128,5154.967600000004,4,0.0,4,3822.4239999999995,2,120.95040000000101,98.9,11.25,0,0,160,160,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
2,512,4,4,32357.56280000002,0.0,32550.446000000004,0.0,5333.521800000004,,0.0,0.0,5333.521800000004,0.0,1511.0978,14.33409,0.00375,0.0,9502.858499999998,0.0,0.91929744,2395.2378000000003,5827.213350000007,0.02,332.5792999999981,1.0404,0.0,0.0,1.0404,0.0,4,4,25.14560764705882,-13.478625882352938,11.666981764705884,1.8301898039215687,2.678735882352941,4.50892568627451,3424.870899999953,1196.6231999999923,3424.870899999953,0.0,0,0,0.0,0.0,320.21909999999997,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,192.88319999999993,256.1642000000001,0.0,0,63.281,668.2402,0.0,799.5740999999846,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,1740.0,0.0,0.006003511842977463,4.8673515320333784,5.4935793258426955,1.8499999999999965,1.1267213483146066,3.5501497400106925,3.802399999999999,890.0,1077.0,445.0,2048.0,1352.0,204.0,174,0,0,3,49,30.0,2048.0,20152.001900000003,2280.3554,7224.0967,768,0,0,128,0.06363079726887921,0.7520246404614046,0.09697901270149556,4,6285.478600000027,5242.137599999948,46,0,104.0,128,0,0,4848.4504,768,5643.634700000006,21064.801300000014,0.0,4,25,0,1.5,0,0.0,128,128,5643.634700000006,768,61440.0,0,0,192.39999999999964,256.0,2701.1088,4,0.0,0.0,NaN,5120.0,100.0,-0.18563710774739584,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,0,12,0.0,0,0.0,9065.28,8938.223999999998,8560.398636784841,0.0,8560.398636784841,0.0,0.0,0.0,12205.5609,0.7794273827402161,384,15421.166599999988,128,5643.634700000006,4,0.0,4,3822.4239999999995,2,191.76600000000022,0.0,11.25,0,0,445,445,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
3,512,4,4,32254.260900000143,0.0,32144.559100000002,0.0,5846.321800000004,,0.0,0.0,5846.321800000004,0.0,512.8000000000001,19.999911375,0.00375,0.0,8250.751091922,0.0,0.8814223854719999,1915.5120919220014,4687.579394614677,0.02,342.461800000006,1.061208,0.0,0.0,1.061208,0.0,4,0,29.831056411181347,-13.56208723450359,16.26896917667776,2.0160831264262904,2.8426120582834993,4.85869518470979,3896.154999999992,3424.8708999999217,3896.154999999992,0.0,0,0,0.0,0.0,272.0087,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,228.31419999999991,379.54660000000007,0.0,0,481.1112999999999,584.4132,389.16769999999997,1422.7126999999878,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,0.0,0.0,1282.0409999999995,0.0,0.008768866146644065,4.848457142857165,5.448030320150662,1.781308108108113,1.3328899430740044,3.494871768654897,3.688327999999999,1062.0,1050.0,531.0,2044.0000000000002,1524.0,204.0,129,0,0,1,34,23.0,2048.0,20344.015000000007,2286.3685,7645.6485,744,4,20,124,0.06361061199233609,0.7496001018194776,0.11708475339243818,4,6479.395800000011,5090.880000000023,26,0,222.0,128,0,0,5108.029999999999,744,10604.325047191009,26036.93924719109,0.0,8,34,0,1.5,0,0.0,128,128,10604.325047191009,744,61440.0,0,0,395.4504000000011,256.0,1978.2289,4,0.0,0.0,NaN,5120.0,100.0,-0.1890516881364115,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,9065.28,8550.3158,12673.185145934862,0.0,12673.185145934862,0.0,0.0,1.0628,11910.245899999998,0.7693117337798467,388,7166.77690000001,124,18870.162347191013,4,0.0,4,3822.4239999999995,2,227.25620449438122,0.0,16.900820224719098,0,0,531,531,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
4,512,4,4,32109.973199999975,0.0,32069.963799999994,0.0,6296.288800000004,,0.0,0.0,6296.288800000004,0.0,449.9670000000001,21.922707374999995,0.00375,0.0,7615.464149313565,0.0,0.8451077831905535,1903.2011071627521,4098.4956745423915,0.02,374.5015999999997,1.08243216,0.0,0.0,1.08243216,0.0,4,0,32.89405745262715,-13.857121518110288,19.036935934516865,2.1564903375078006,2.6481757574328872,4.804666094940688,3959.2770999999807,3896.155000000013,3959.2770999999807,0.0,0,0,0.0,0.0,329.7747,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,298.00659999999993,504.19909999999976,0.0,0,448.119,592.4067000000001,393.15889999999996,1475.1576999999688,0.0,0.0,0.0,0.0,0.0,44,124.9771,0.0,0.0,0.0,0.0,1276.3242999999998,0.0,0.010061734420103635,5.3752997204100685,5.463742910447778,1.7277727272727297,1.4270385338345861,3.3885062050395236,3.5776781599999983,1072.0,1073.0,536.0,2046.6666666666665,1534.0,204.0,128,4,4,1,46,35.0,2044.0,19852.903199999997,2712.3725,8340.4958,753,4,11,124,0.0733391949193607,0.7714288856667013,0.12237312579660387,4,6435.134000000006,5767.696600000004,40,0,66.0,128,4,0,5127.011000000001,753,13543.111907020872,28517.725507020852,0.0,6,17,0,1.5,0,0.0,128,128,13543.111907020872,753,61440.0,0,0,114.03300000000016,256.0,1079.2246,4,0.0,0.0,NaN,5120.0,100.0,-0.18469615077173762,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,9065.28,8509.1664,12695.19600958637,0.0,12695.19600958637,0.0,0.0,1.0628,12132.092900000001,0.7847743583692524,388,6749.925700000001,124,21767.79980702088,4,0.0,4,3822.4239999999995,2,303.89494060720995,0.0,19.993349146110067,0,0,536,536,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
5,512,4,4,31595.309699999994,0.0,31672.731199999995,0.0,6904.695100000004,,0.0,0.0,6904.695100000004,0.0,608.4063000000001,23.610078499999993,0.00375,0.0,7339.170038360561,0.0,0.8102893425231027,2077.9978648495144,3811.3551455737193,0.02,368.8923999999995,1.1040808032,0.0,0.0,1.1040808032,0.0,4,0,31.07455179436009,-12.392691358069055,18.681860436291036,2.0612856971122135,2.411698441960619,4.472984139072833,3884.7531999999887,3959.27709999993,3884.7531999999887,0.0,0,0,0.0,0.0,335.2597,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,415.4375,621.63,0.0,0,51.608000000000004,566.2714999999998,51.608000000000004,1493.2027000000007,0.0,0.0,0.0,0.0,0.0,45,142.0088,0.0,0.0,0.0,0.0,1387.3354000000006,0.0,0.012745696598566272,5.478116827852999,5.5168013333333406,1.7339,1.5522704414587314,3.405060441634139,3.4703478152,1050.0,1034.0,525.0,2042.6666666666667,1512.0,204.0,133,4,4,2,37,18.0,2040.0,19599.915599999975,2759.3563,8911.5375,760,4,4,124,0.08102893549577317,0.7779528340231676,0.12404698267610437,4,6585.403799999983,5664.3728,36,0,9.0,128,4,0,5140.123499999998,760,15277.883585714282,30120.494785714276,0.0,1,9,0,1.5,0,0.0,128,128,15277.883585714282,760,61440.0,0,0,15.6051,256.0,182.4915,4,0.0,0.0,NaN,5120.0,100.0,-0.183231113085448,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,133,0.0,0,12,0.0,0,0.0,9065.28,8475.0632,12275.76278608958,0.0,12275.76278608958,0.0,0.0,1.0628,11853.3853,0.7891234981483424,388,6652.026500000004,124,23468.46828571429,4,0.0,4,3822.4239999999995,2,304.11181203007555,0.0,21.40557800751879,0,0,525,525,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
6,508,4,4,31597.232199999995,0.0,23298.863299999997,0.0,7611.840400000005,,0.0,0.0,7611.840400000005,0.0,707.1452999999999,25.891315749999993,0.00375,0.0,7182.7145458292525,0.0,0.7769054216111508,2133.4790277242387,3645.251880552851,0.02,385.09020000000004,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,17.44010397814043,2.5452348965532523,19.985338874693685,2.271157599890553,2.4365099712086637,4.707667571099217,3880.6529000000396,3858.1931999999856,3907.212900000038,0.0,0,0,0.0,0.0,344.8988,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,454.8920000000001,718.4100999999998,8586.619700000007,2,478.85319999999996,476.9306999999999,630.2586999999997,1452.2224999999637,0.0,0.0,0.0,0.0,0.0,48,0.0,0.0,0.0,0.0,0.0,1433.7857000000015,182.17110000000022,0.015,5.452798870056497,5.565794072657743,1.7116000000000005,1.7100608863198474,3.3978317986241273,3.3662373807439985,1046.0,1062.0,523.0,2029.3333333333335,1500.0000000000002,204.0,132,0,0,1,40,25.0,2032.0,19160.691,2735.5141999999996,9699.6964,760,4,4,124,0.09860510114252952,0.4251820405591793,0.12921596455725903,0,6332.967899999949,5790.872399999999,37,0,13.0,124,0,0,5217.9776,760,25557.11023262954,39882.64273262955,0.0,3,13,0,1.5,0,0.0,124,124,25557.11023262954,760,0.0,0,0,22.250800000000005,256.0,1.3306,4,0.0,0.0,NaN,5120.0,100.0,-0.17526536252461714,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,132,0.0,0,12,0.0,0,0.0,9065.28,0.0,11954.998499671707,0.0,11954.998499671707,0.0,0.0,0.0,12436.541199999996,0.8068873042968805,384,14325.532499999988,124,25557.11023262954,4,0.0,4,3822.4239999999995,2,-8206.114673512477,0.0,23.28405662188097,4,0,523,523,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
7,508,4,4,31386.694600000017,1.5318,22978.531,0.0,8444.281500000005,,0.0,0.0,8444.281500000005,0.0,832.4411,28.542779124999992,0.00375,0.0,7063.857301459719,0.0,0.7448969182407714,2116.904611747501,3541.759100973162,0.02,390.0036000000005,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,19.671847218246228,2.287221682136306,21.959068900382533,2.627551491510107,2.2581349827460926,4.885686474256199,3842.7989999999495,3732.0303999999905,4017.981499999944,0.0,0,0,0.0,0.0,338.56469999999996,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,343.56550000000016,800.7328999999995,8586.619700000007,15,193.64929999999998,402.6551000000001,1197.335,1313.0067999999796,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,1427.794500000003,839.9809999999977,0.015,5.404229001883235,5.524584220532335,1.7151,1.870613409961687,3.356035740814044,3.26525025932168,1052.0,1062.0,526.0,2030.6666666666667,1503.0,203.0,131,0,0,2,49,23.0,2032.0,18237.946499999987,2710.7722000000003,10436.6453,761,4,3,124,0.11803017431417206,0.4613931683346788,0.19775028421650354,1,6085.881199999993,5739.291199999995,36,0,19.0,124,0,0,5090.018499999999,761,27983.731417341052,41616.80131734102,0.0,14,19,0,1.5,0,0.0,124,124,27983.731417341052,761,0.0,0,0,32.5869,246.0,1.3306,4,0.0,0.0,NaN,5120.0,100.0,-0.15830657628289077,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,12,0.0,0,0.0,9065.28,0.0,11563.70804910899,0.0,11563.70804910899,0.0,0.0,0.0,13148.748099999997,0.83454248467314,384,13633.069899999999,124,27983.731417341052,4,0.0,4,3822.4239999999995,2,-8333.565860115606,0.0,25.65091329479771,0,0,526,526,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
8,508,4,4,39174.803500000016,3.1645000000000003,28964.074099999998,0.0,19739.2893,,0.0,8119.4859,11619.8034,0.0,3175.521900000001,31.664037999999994,0.00375,0.0,7004.999825921825,0.0,0.7142071652092515,2197.6658323855218,3495.1923839479005,0.02,388.7165000000008,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,22.187945572757382,2.1726111590020665,24.36055673175945,1.2738273858420637,2.1389314712918286,3.412758857133892,3873.486099999951,3651.3696999999397,4148.924899999955,0.0,1,0,91.1730000000001,10291.7793,331.4642,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,352.97750000000013,881.2823999999996,10427.723300000007,33,8190.6233999999995,400.88179999999994,10000.443399999996,1226.1062999999763,0.0,0.0,0.0,0.0,0.0,9,10275.6688,0.0,0.0,0.0,0.0,1518.3850000000032,969.585100000006,0.015,5.347942583732057,5.592741198501886,1.7135000000000011,1.9016047169811352,3.2862683649920803,3.167292751542029,1068.0,1045.0,534.0,2029.3333333333333,1466.0000000000002,203.0,140,0,0,2,39,15.0,2032.0,15173.7653,2705.3511,11018.7886,764,4,0,124,0.050229769979902805,0.49028970137362315,0.19745462191643215,0,6209.770100000012,5588.599999999999,24,0,30.0,124,0,0,3937.340700000001,764,30523.87977816094,43645.026678160946,0.0,15,30,0,1.5,0,0.0,124,124,30523.87977816094,764,0.0,0,0,51.40500000000004,145.0,1.2297,3,0.0,0.0,NaN,5120.0,100.0,-0.12440017037291012,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,140,0.0,0,11,0.0,0,0.0,8453.76,0.0,10334.351264873729,0.0,10334.351264873729,0.0,0.0,0.0,13725.369399999998,0.5234618202326016,384,13121.146899999992,124,30523.87977816094,4,0.0,4,3822.4239999999995,2,61.01050000000305,-8119.4859,28.059201149425302,0,1,534,534,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
9,508,4,4,50926.242499999964,5.926000000000001,35214.441,0.0,32824.9108,,0.0,20313.3932,12511.517600000003,0.0,891.7142000000001,43.56934712499998,0.00375,0.0,7136.4719474725935,0.0,0.6847818300026304,2729.4163066262495,3577.033287203966,0.02,390.0912999999995,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,23.973515837336176,2.0817265232865507,26.055242360622728,1.7231385592028026,1.955606554274002,3.6787451134768046,3710.2380999999937,3732.988699999992,3926.7127999999943,0.0,4,0,290.6345000000018,21790.8834,336.0637,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,472.3520000000002,1000.6568999999994,16141.602700000005,46,12599.8816,845.6811,13740.509600000001,1227.072100000004,0.0,0.0,0.0,0.0,0.0,0,21598.553,0.0,0.0,0.0,0.0,2060.674800000001,36.886700000000005,0.012269938719245475,5.284744571428566,5.5812310940498815,NaN,1.9119319148936171,3.3382300021236,3.072273968995767,1042.0,1050.0,521.0,2029.3333333333333,1261.0,203.0,191,0,0,1,33,17.0,2032.0,15034.355100000004,2786.9248,11506.4096,764,4,0,124,0.07051737932255464,0.5055794877406847,0.1465163361148072,0,6664.999200000001,5548.981799999994,33,0,0.0,124,0,0,4161.307900000001,764,31889.718056603815,44752.49105660379,0.0,0,0,0,1.5,0,0.0,124,124,31889.718056603815,764,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.012033972582547132,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,8,0.0,0,0.0,6619.199999999999,0.0,7693.203174865206,0.0,7693.203174865206,0.0,0.0,0.0,14293.3344,0.5811125570816287,384,12862.773000000005,124,31889.718056603815,4,0.0,4,3822.4239999999995,2,5880.119900000001,-20313.3932,28.524070754717027,0,4,521,521,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
10,508,4,4,50778.09899999999,7.558700000000001,35246.5009,0.0,34360.91060000001,,0.0,20665.7854,13695.125200000008,0.0,1183.6076000000005,46.910806374999964,0.00375,0.0,7239.7608622329,0.0,0.656568818606522,2723.1203650252196,3630.393171488614,0.02,395.0571000000006,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,25.56122252883366,1.9471742651640234,27.508396793997683,1.775469711875261,1.8187737878431742,3.594243499718435,3688.559100000004,3756.601799999994,3858.6701000000053,0.0,4,0,290.6345000000018,21790.8834,336.21160000000003,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,650.9227000000004,1179.2275999999993,16141.602700000005,50,1388.3606,1534.8714000000004,1558.4715999999999,1335.6085999999923,0.0,0.0,0.0,0.0,0.0,0,21362.622600000002,0.0,0.0,0.0,0.0,2065.5351000000046,0.0,0.01155004485411975,5.207401134215502,5.574616252390068,NaN,1.8991429672447042,3.3257124492601986,2.9801057499258943,1046.0,1058.0,523.0,2030.6666666666665,1251.0,203.0,194,0,0,0,38,21.0,2032.0,14660.274400000013,2709.204,12045.998,764,4,0,124,0.07948249101984528,0.5184884530290961,0.1537183453676465,0,6684.292599999982,5509.430400000001,39,1,0.0,124,0,0,4106.806600000002,764,33025.68604468084,45680.36764468088,0.0,0,0,0,1.5,0,0.0,124,124,33025.68604468084,764,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.007076396847988723,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,8,0.0,0,0.0,6619.199999999999,0.0,7476.936507696206,0.0,7476.936507696206,0.0,0.0,0.0,14755.202000000001,0.589639055019979,384,12654.681600000002,124,33025.68604468084,4,0.0,4,3822.4239999999995,2,5822.818999999999,-20665.7854,28.678978723404256,0,4,523,523,S2 rung 12 + greedy quarter,debt,3,2.1827872842550278e-11
