round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26751.793999999816,0.0,5113.432499999995,3763.4324999999953,3763.4324999999953,,3763.4324999999953,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,11820.0036,0.0,1.0,3940.0011999999997,7779.825199999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.417204313725488,3.6683339215686273,27.085538235294116,1.1673745098039219,2.9039,4.0712745098039225,1174.076499999997,0.0,1174.076499999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,49,2560.0,233.48599999999757,3839.824,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,233.48599999999757,0.0,274.0,3203.6085,76.39150000000001,0.0,5.0,5.200000000000013,2.0,0.75,3.729700272479588,3.9200000000000013,320.0,77.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,30.0,2048.0,18850.3652999999,1606.0655,3898.2048000000004,729,39,0,122,0.061075822412660186,0.4390928644932923,0.0836607163734826,0,8095.473800000012,385.0,47,0,520.0,0,0,0,0.0,0,0.0,50454.473800000706,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2397.1584,4,0.0,0.0,NaN,5120.0,100.0,0.1304350374348958,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,120.0,0.0,1163.8513000000003,0.0,1163.8513000000003,0.0,0.0,73.5,7901.4287,0.4463860257485419,390,17761.21029999993,122,32693.263499999983,4,0.0,4,251.72000000000003,2,248.16,-3763.4324999999953,37.5,0,0,160,160,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
2,512,4,4,29031.159199999965,0.0,22518.1883,2022.255799999999,5862.079800000001,,5785.688300000002,0.0,0.0,76.39150000000001,0.0,0.0,0.0025,0.9028,9465.0036,0.0,1.0,2370.0011999999997,6047.083816666664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.522025098039215,3.9188776470588236,27.440902745098036,1.5644984313725494,2.8427458823529412,4.40724431372549,3113.108800000036,1174.0764999999924,3113.108800000036,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,49,2560.0,280.6348000000003,2022.2558,425.0581000000055,0.0,0.0,0.0,0.0,0.0,259,0.0,2560.0,280.6348000000003,0.0,274.0,1786.3915,0.0,0.001237817149952706,4.910839302112014,5.488831485587607,2.2073925773195877,NaN,3.5175068914955765,3.802399999999999,902.0,1089.0,451.0,2048.0,1364.0,204.0,171,0,0,1,48,48.0,2048.0,18842.079100000003,871.6080000000001,6807.6206,317,451,0,53,0.08455833495265397,0.4265439188845652,0.056446004750058565,0,8351.871599999977,5347.903999999983,48,0,485.0,0,0,0,0.0,0,0.0,52134.00520000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1070.5854,256.0,2508.9487,4,3.0701,2.1492,NaN,5120.0,100.0,0.1687528857421875,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,120.0,0.0,10819.151446594105,0.0,10819.151446594105,0.0,3.0701,139.8521,10188.177300000001,0.43432481761927977,459,37802.31120000005,53,14331.694000000003,4,0.0,4,251.72000000000003,2,515.0982,-5784.785500000002,37.5,0,0,451,451,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
3,512,4,4,31266.000500000053,0.0,27038.850427272744,2170.2643999999996,6989.815700000005,,6989.815700000005,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,8232.88315812672,0.0,1.0,1922.880758126721,5074.226605417804,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.20973112632766,4.227092415689467,28.436823542017127,2.218629379351794,3.0013221524017073,5.219951531753502,3602.304099999968,3113.1088000000505,3602.304099999968,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,49,2560.0,325.1587000000012,2170.2644,717.8512000000217,0.0,0.0,0.0,0.0,0.0,457,19.807,2560.0,325.1587000000012,0.0,274.0,1274.6509999999996,0.0,0.002279835221637144,4.846734430856109,5.388496082089559,2.24440193548387,NaN,3.4520316739757737,3.688327999999999,1072.0,1063.0,536.0,2046.6666666666667,1534.0,204.0,128,0,0,1,55,33.0,2048.0,20261.441900000034,1602.7538,7484.8901000000005,232,536,0,39,0.0841004505401366,0.41616510092745407,0.03868872520651534,0,8235.2158,5152.078700000044,55,0,465.0,0,0,0,0.0,0,0.0,53928.30221818176,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1043.6468999999995,256.0,1897.1077,4,0.0,0.0,NaN,5120.0,100.0,0.1799151953124999,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,120.0,0.0,13062.13324817961,0.0,13062.13324817961,0.0,0.0,166.5411,10984.751599999998,0.4304434816772995,473,43251.9968454545,39,10676.305372727273,4,0.0,4,251.72000000000003,2,782.2353,-6989.815700000005,37.534090909090914,0,0,536,536,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
4,512,4,4,33454.49909999999,0.0,27428.071783813757,1324.4496,8092.828200000004,,8092.828200000004,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,7596.676535697542,0.0,1.0,1896.018889470002,4555.427698798348,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.829452305106958,4.135836057365148,28.965288362472105,2.638098279803497,2.993143683850892,5.6312419636543884,3575.828299999992,3602.3040999999453,3575.828299999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-9.6614,0.0,49,2560.0,371.50140000000005,1324.4496,793.0068000000267,0.0,0.0,0.0,0.0,0.0,532,13.217400000000001,2560.0,371.50140000000005,0.0,274.0,1256.2497999999996,0.0,0.0020606234429316537,5.459478284182312,5.347875139146565,2.0639659090909084,NaN,3.343156717450032,3.5776781599999983,1078.0,1119.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,70,59.0,2048.0,20936.16319999999,1813.0677,8658.0854,229,539,0,39,0.08189750616232816,0.4125050227474931,0.03666536041327917,0,8076.426500000003,6109.156200000008,70,0,484.0,0,0,0,0.0,0,0.0,54640.227981596414,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,998.9594999999997,256.0,2033.9654,4,0.0,0.0,NaN,5120.0,100.0,0.21809657510942107,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,120.0,0.0,11236.909143502058,0.0,11236.909143502058,0.0,0.0,195.8837,12505.1185,0.42901878498336843,473,43927.52539999996,39,10712.702581596453,4,0.0,4,251.72000000000003,2,1050.6198,-8092.828200000004,37.53242793791574,0,0,539,539,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
5,512,4,4,35600.550400000015,0.0,27945.870379914544,1242.9012999999998,9314.256,,9314.256,0.0,0.0,0.0,0.0,0.0,0.0025,0.1795,7280.85093967803,0.0,1.0,2005.8495185333293,4289.700413118678,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.113428960164438,3.8343308625444337,25.94775982270887,2.4435366530843696,2.8645481163657425,5.3080847694501125,3690.978400000035,3575.828300000024,3690.978400000035,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.054325,0.0,49,2560.0,413.9486999999999,1242.9013,784.608599999992,0.0,0.0,0.0,0.0,0.0,511,21.8428,2560.0,413.9486999999999,0.0,274.0,1285.2028000000003,0.0,0.003275273569488789,5.611107335190345,5.4601248175182695,2.014753090909093,NaN,3.380218185822871,3.4703478152,1096.0,1077.0,548.0,2046.6666666666665,1558.0,204.0,122,0,0,1,59,54.0,2048.0,22305.18919999999,1793.7641,9759.2475,220,548,0,37,0.07797681476921148,0.4027714986225872,0.022446087933497783,0,8179.035299999982,6043.1626000000015,59,0,275.0,0,0,0,0.0,0,0.0,56008.034522270296,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,554.0571000000006,256.0,1720.3273,4,0.61,0.4268,NaN,5120.0,100.0,0.24916925071242788,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,0,12,0.0,0,0.0,120.0,0.0,10318.44552935545,0.0,10318.44552935545,0.0,0.61,212.4602,13273.338899999999,0.42159743368224767,475,45684.56681771129,37,10323.467704558972,4,0.0,4,251.71990000000005,2,1316.3425000000002,-9314.0765,37.71393110161699,0,0,548,548,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
6,512,4,4,37704.466599999985,0.0,28232.091,1368.7937,10665.146799999997,,10665.146799999997,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,7139.375863222935,0.0,1.0,2144.000160315817,4157.3121921486145,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.37306192543643,4.031114593871757,25.40417651930819,2.176622548013284,3.211231863925024,5.387854411938308,3640.1342999999906,3690.9783999999763,3640.1342999999906,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.067925,0.0,49,2560.0,456.0838000000001,1368.7937,792.9284000000023,0.0,0.0,0.0,0.0,0.0,554,22.738300000000002,2560.0,456.0838000000001,0.0,274.0,1403.3308999999988,0.0,0.0033854632913570843,5.597654250238774,5.4706190740740555,1.890189134808855,NaN,3.372733701845122,3.3662373807439985,1080.0,1047.0,540.0,2046.6666666666667,1542.0,204.0,126,0,0,2,54,25.0,2048.0,23484.74780000001,1883.1848,10597.584200000001,220,548,0,37,0.06528292942550262,0.3921616961490708,0.012390808210429816,0,8218.1042,5860.743999999996,54,0,497.0,0,0,0,0.0,0,0.0,57188.831385933285,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,939.424000000001,256.0,1716.2115,4,0.0,0.0,NaN,5120.0,100.0,0.28229575910655175,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,120.0,0.0,9421.045263449654,0.0,9421.045263449654,0.0,0.0,195.8469,14196.9805,0.41350902010250823,475,46777.00909999996,37,10411.822285933284,4,0.0,4,251.71990000000005,2,1581.9021000000002,-10665.146799999997,37.7996626633331,0,0,540,540,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
7,512,4,4,39766.31339999996,0.0,28533.932600000015,1385.3095999999998,12040.3175,,12040.3175,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,7043.202547440735,0.0,1.0,2155.3875509158433,4067.7759649604827,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.436748594252006,4.1716194479745266,25.608368042226534,2.1012795268675397,3.466536985446781,5.56781651231432,3631.7160000000163,3640.1342999999897,3631.7160000000163,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.65615,0.0,49,2560.0,498.1531999999999,1385.3096,780.2164999999999,0.0,0.0,0.0,0.0,0.0,592,23.5041,2560.0,498.1531999999999,0.0,274.0,1416.499200000001,0.0,0.0029818685052043262,5.546666267281098,5.4409291821561405,1.8855812500000007,NaN,3.4621368407227107,3.26525025932168,1076.0,1085.0,538.0,2045.3333333333335,1538.0,204.0,127,0,0,0,49,37.0,2048.0,24325.147000000015,1871.9360000000001,11593.542000000001,220,548,0,37,0.06294962167263618,0.3855456749794661,0.018061653557652768,0,8319.523500000007,6018.132899999991,49,0,640.0,0,0,0,0.0,0,0.0,58045.39206302878,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1206.7720000000004,256.0,1952.1843,4,0.0,0.0,NaN,5120.0,100.0,0.32036058630295644,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,120.0,0.0,8112.166460940321,0.0,8112.166460940321,0.0,0.0,219.1448,15417.662300000002,0.4090039585788856,475,47609.55849999995,37,10435.83356302884,4,0.0,4,261.8586,2,1844.777,-12040.3175,37.88121755922201,0,0,538,538,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
8,512,4,4,41786.98800000004,0.0,28823.911999999993,1373.9542999999996,13406.420699999999,,13406.420699999999,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,6974.224308567038,0.0,1.0,2163.7922121503893,4000.5411473780196,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.87639985675128,4.235483371999214,26.111883228750496,2.291394572513595,3.54350403767125,5.834898610184846,3571.2211000000007,3631.7160000000167,3571.2211000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-52.732174999999984,0.0,49,2560.0,539.3254000000007,1373.9543,797.6869999999997,0.0,0.0,0.0,0.0,0.0,626,23.6265,2560.0,539.3254000000007,0.0,274.0,1431.6290999999999,0.0,0.0028579286099132896,5.5033140204271165,5.373759999999989,2.0090703125000005,NaN,3.435393177076437,3.167292751542029,1070.0,1077.0,535.0,2048.0,1532.0,204.0,129,0,0,3,52,41.0,2048.0,25136.927399999997,1847.0913,12526.9159,220,548,0,37,0.06804391042351976,0.3834303250515585,0.016838522692753877,0,8265.673900000003,5927.0692000000045,52,0,640.0,0,0,0,0.0,0,0.0,58869.94418491085,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1285.8050000000003,256.0,2252.4269,4,0.0,0.0,NaN,5120.0,100.0,0.35867478487002274,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,120.0,0.0,7098.674004053899,0.0,7098.674004053899,0.0,0.0,211.47459999999998,16626.434100000002,0.408894845236635,475,48301.34900000001,37,10568.595184910804,4,0.0,4,269.2026000000001,2,2107.8801000000003,-13406.420699999999,38.00736493141275,0,0,535,535,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
9,512,4,4,43767.24880000001,0.0,29092.21940000001,1352.6748,14748.336299999995,,14748.336299999995,0.0,0.0,0.0,0.0,0.0,0.0025,1.4818,6909.48805431895,0.0,1.0,2130.5326734447494,3941.2025806570728,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.251503549254277,4.270042597404581,26.521546146658856,2.6614703083231177,3.727283540166567,6.388753848489684,3585.801500000009,3571.221099999998,3585.801500000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-62.267974999999986,0.0,49,2560.0,579.7391999999996,1352.6748,790.1259000000026,0.0,0.0,0.0,0.0,0.0,658,23.735500000000002,2560.0,579.7391999999996,0.0,274.0,1404.0905999999995,0.0,0.0027951020359590632,5.443894845360827,5.38791433891993,2.1328509374999984,NaN,3.4064510746721166,3.0722739689957668,1074.0,1067.0,537.0,2044.0000000000002,1536.0,204.0,127,0,0,2,51,35.0,2048.0,26141.89960000002,1791.6027,13382.7697,220,548,0,37,0.07735455990626905,0.38126959494800117,0.017957332047530805,0,8191.516499999999,5808.635800000003,51,0,640.0,0,0,0,0.0,0,0.0,59629.604167735924,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1365.024599999999,256.0,2425.7594999999997,4,5.0402000000000005,3.528,NaN,5120.0,100.0,0.39176475466969,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,120.0,0.0,5987.973211646106,0.0,5987.973211646106,0.0,5.0402000000000005,265.94870000000003,17600.1319,0.41087615885127104,475,49014.02510000006,37,10615.579067735891,4,0.0,4,279.06230000000005,2,2370.9571,-14746.854499999996,37.98134621698132,0,0,537,537,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
10,512,4,4,45707.9037,0.0,29368.497299999988,1361.1833,16072.572999999997,,16072.572999999997,0.0,0.0,0.0,0.0,0.0,0.0025,2.2042,6851.349284670614,0.0,1.0,2109.3667859451975,3890.075656447071,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.568481417050585,4.418849489953708,26.987330907004292,3.391179483478853,3.969257346375309,7.360436829854162,3500.740600000002,3585.8014999999887,3500.740600000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-71.28927499999999,0.0,49,2560.0,619.3450999999995,1361.1833,785.8982999999985,0.0,0.0,0.0,0.0,0.0,681,23.8565,2560.0,619.3450999999995,0.0,274.0,1390.7724999999991,0.0,0.002753900780444323,5.376536622390888,5.240575046554957,2.2427481250000034,NaN,3.375478658585706,2.9801057499258943,1074.0,1054.0,537.0,2045.3333333333333,1536.0,204.0,127,0,0,1,41,25.0,2048.0,27688.987499999992,1803.8707,13655.3709,220,548,0,37,0.09300204062823547,0.3764163233104434,0.018179427179779273,0,8106.187100000008,5666.869599999995,41,0,640.0,0,0,0,0.0,0,0.0,60377.38069503149,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1435.3588000000022,256.0,2533.6139000000003,4,7.4981,5.2484,NaN,5120.0,100.0,0.41499319440083876,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,120.0,0.0,5501.777930995911,0.0,5501.777930995911,0.0,7.4981,297.894,17992.855499999998,0.4098270096974621,475,49736.00420000001,37,10641.37649503149,4,0.0,4,718.0618999999997,2,2634.2790000000005,-16070.368799999997,37.95666179559768,0,0,537,537,"X1 SuMSy money, debt fiscal package (comparison)",sumsy,8,-1.4551915228366852e-11
