round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21502.984000000022,0.0,21612.88,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.950509803921568,2.588235294117647,10.538745098039216,2.175843137254901,2.4186274509803924,4.594470588235294,832.000000000002,0.0,832.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,0,0.0,476.21600000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,77.0,160.0,2048.0,322.0,0.0,431,0,0,0,47,30.0,2048.0,16349.400000000016,1279.432,3874.152,768,0,0,128,0.08314337987938392,0.2945824654653575,0.8292002987667337,0,1374.3999999999999,385.0,47,0,0.0,0,0,0,0.0,0,0.0,24989.40000000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7632324056336026,384,12193.640000000012,128,12795.760000000004,4,-8476.807999999999,4,-7982.487999999999,2,109.89600000000064,0.0,11.25,0,0,160,160,0 bare bones,debt,8,9.094947017729282e-13
2,512,4,4,21086.87960000008,0.0,21246.559999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,9.308909607843137,1.4408882352941175,10.749797843137255,2.819251764705882,1.389364705882353,4.208616470588235,2221.210199999994,832.000000000002,2221.210199999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,159.6804,217.9604,0.0,4,58.28,474.3844,606.1108999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,606.1109000000004,0.0054490655572047774,4.8338395415472935,5.525398507462672,NaN,1.1232052238805972,3.6209290322580308,3.8023999999999996,804.0,1047.0,402.0,2048.0,806.0,0.0,310,19,19,2,46,47.0,2029.0,14060.096400000042,617.8588,6408.9244,768,0,0,128,0.17922697667501364,0.3696019696817785,0.6487440278478154,9,2771.726399999996,5061.030000000016,46,0,0.0,0,0,19,0.0,0,0.0,22700.09640000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,310,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6270754776855405,384,10146.419500000002,128,12553.676900000011,4,-8973.0212,4,-5246.7556,2,159.6804000000011,0.0,11.25,0,0,402,402,0 bare bones,debt,8,9.094947017729282e-13
3,512,4,4,22380.491699999973,0.0,22571.9877,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.91225505274104,1.6857611738182512,14.598016226559292,2.838890504850724,1.681204247426495,4.520094752277219,2793.2374999999956,2221.2101999999904,2793.2374999999956,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,191.496,324.1932,0.0,5,1766.1649000000002,472.5528,1841.1859,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008014704519726,4.815848058252446,5.423762135922321,NaN,1.3387669275929532,3.1600065245478275,3.6883279999999994,1030.0,1030.0,515.0,2026.3333333333335,1032.0,0.0,251,8,8,4,49,24.0,2040.0,13705.03449999998,1401.7849,7273.6723,764,4,0,128,0.14927582612581602,0.43487865379168933,0.45007919055666123,1,4551.347599999995,4960.3235000000195,49,0,0.0,0,0,8,0.0,0,0.0,26576.966365671648,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,251,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9731405598081622,384,9292.593699999989,128,17284.37266567165,4,-9648.090486567162,4,-4181.047699999999,2,191.49599999999919,0.0,16.84807835820896,0,0,515,515,0 bare bones,debt,8,9.094947017729282e-13
4,512,4,4,22865.01770000001,0.0,23083.5598,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.139234033408126,0.8581727167830143,16.99740675019114,4.108216218353562,0.8581727167830143,4.966388935136577,2851.1932999999945,2793.237499999996,2851.1932999999945,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,218.54210000000003,442.1533,0.0,5,1053.3935000000001,568.8675000000001,962.4795000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008436434571084513,4.639239523809524,5.4308443809523705,NaN,1.4385888030888017,2.9960810836501497,3.5776781599999987,1050.0,1050.0,525.0,2034.6666666666667,1052.0,0.0,246,27,27,3,62,45.0,2021.0,12779.094899999998,2482.6036,7603.3192,761,7,0,128,0.24653655258149865,0.5154120111001537,0.4903513528180312,27,3897.0663000000086,4871.2015,63,1,0.0,0,0,27,0.0,0,0.0,28061.11937847356,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,246,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7815873848267298,384,8039.424399999987,128,20021.69497847355,4,-9206.62567260274,4,-3650.4408000000003,2,218.54210000000057,0.0,20.0815039138943,0,0,525,525,0 bare bones,debt,8,9.094947017729282e-13
5,512,4,4,22378.187699999984,0.0,22614.769000000004,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.88460205591683,0.9142738313788764,18.798875887295708,4.772739212649016,0.9776141652599044,5.750353377908921,2709.420799999997,2851.193299999998,2709.420799999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.58130000000003,565.4632,0.0,5,135.51139999999998,622.3414,30.240699999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010319073204887782,4.559195507812503,5.291837499999994,NaN,1.5798915492957757,2.912636452241718,3.4703478152,1024.0,1024.0,512.0,2017.0,1026.0,0.0,251,14,14,1,44,30.0,2033.0,12052.39529999999,2566.674,7759.1184,753,15,0,128,0.29572040415731116,0.5530243888552997,0.5047232052886359,18,3773.5710999999933,4668.616200000003,51,7,0.0,0,0,14,0.0,0,0.0,28271.01513088798,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,251,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6738351580337623,384,6788.395000000008,128,21482.62013088802,4,-8641.371819305019,4,-3293.681599999999,2,236.581299999998,0.0,21.578832046332025,0,0,512,512,0 bare bones,debt,8,9.094947017729282e-13
6,512,4,4,21889.931099999987,0.0,22132.428,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,2,20.813628512523607,0.22876563488333163,21.042394147406938,6.269003102704658,0.2813389795560959,6.550342082260754,2716.4258999999943,2709.4208000000017,2716.4258999999943,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.49689999999998,685.9569000000004,0.0,5,131.7031,619.9597,17.125,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012377916997474949,4.492693339768325,5.244065444015433,NaN,1.6884386000000013,2.894165703275495,3.3662373807439994,1036.0,1036.0,518.0,2031.6666666666667,1038.0,0.0,249,4,4,3,35,18.0,2044.0,11319.808699999998,2552.0467,8018.075699999999,750,18,0,128,0.4039412925774808,0.6119693807843547,0.4864065826637418,115,3848.3632999999973,4654.4302999999845,43,8,0.0,0,0,4,0.0,0,0.0,29046.65742957743,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,249,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5953019287199475,384,5624.551300000001,128,23422.106129577467,4,-8255.039381690141,4,-2833.7643000000007,2,242.4969000000001,0.0,23.698373239436634,0,0,518,518,0 bare bones,debt,8,9.094947017729282e-13
7,512,4,4,21557.520899999978,0.0,21800.232999999982,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,22.521495999468574,0.33351211261084873,22.855008112079425,6.867455059693472,0.36582340005114367,7.233278459744616,2697.100700000015,2716.4258999999975,2697.100700000015,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.71209999999994,803.8416,0.0,5,286.33990000000006,618.7501,168.67040000000003,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012993821858173563,4.416496899999994,5.186732115384644,NaN,1.6833392000000011,2.860870153550823,3.2652502593216792,1040.0,1000.0,520.0,2040.0000000000002,1042.0,0.0,250,8,8,44,36,18.0,2040.0,10932.987399999984,2591.9472000000005,8032.586299999999,748,20,0,128,0.44563902611118644,0.6398009190676104,0.48530856364026076,95,3822.6963000000246,4416.496899999994,58,22,0.0,0,0,8,0.0,0,0.0,29663.500792000046,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5222589071788846,384,4625.045499999997,128,25038.45529200001,4,-7837.106519999999,4,-2618.2936999999993,2,242.71210000000065,0.0,25.32657900000002,0,0,520,520,0 bare bones,debt,8,9.094947017729282e-13
8,512,4,4,21278.80429999997,0.0,21520.0352,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,58,38,23.910621320978777,-0.27643304499421506,23.63418827598456,7.8305038725220015,0.014686913033348448,7.845190785555349,2533.278299999996,2697.100700000003,2533.278299999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,241.23089999999993,920.1363999999994,0.0,5,343.458,622.1746000000002,225.68200000000002,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013015950164746846,4.464835546875003,5.117733939393931,NaN,1.6394096842105246,2.7978546370967803,3.167292751542029,990.0,1024.0,495.0,1981.3333333333346,991.9999999999994,0.0,254,3,3,21,30,15.0,2045.0,10132.328600000006,2822.1043,8324.3714,748,20,0,128,0.5501366694874306,0.6899345508574641,0.4937396857473333,164,3554.1914000000143,4571.991600000003,60,30,0.0,0,0,3,0.0,0,0.0,28586.793024000046,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,254,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5122013429488919,384,3403.1830000000014,128,25183.610024000012,4,-7310.40774,4,-2125.5486000000005,2,241.23090000000047,0.0,25.250088000000016,0,0,495,495,0 bare bones,debt,8,9.094947017729282e-13
9,512,4,4,20771.825600000004,0.0,21010.497400000004,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42,1,23.33142466656736,-0.12534550331091898,23.206079163256444,8.030549164939448,0.1613435795017817,8.19189274444123,2619.9839999999936,2533.278300000003,2619.9839999999936,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,238.67179999999988,1034.7033999999985,0.0,5,118.3956,625.3742999999997,1.2695,0.0,0.0,0.0,0.0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013041247127025965,4.379730338541667,5.117156249999987,NaN,1.6687642276422765,2.761287816764172,3.072273968995767,1024.0,768.0,512.0,2017.000000000001,1025.9999999999995,0.0,249,124,124,41,28,20.0,1924.0,10409.435599999999,2818.8512,7543.5388,748,20,0,128,0.5683663370579373,0.6918267802365852,0.5053886857213943,201,3654.1132999999877,3363.6329,58,30,0.0,0,0,124,0.0,0,0.0,28381.517156842106,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,249,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5631055960209659,384,3334.4872000000005,128,25047.02995684208,4,-7028.768194736842,4,-2705.421199999999,2,238.67180000000008,0.0,24.59114526315787,0,0,512,512,0 bare bones,debt,8,9.094947017729282e-13
10,512,4,4,20274.013200000027,0.0,20508.56650000002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,57,10,24.391342151691216,-0.17795056543494628,24.21339158625627,8.534376716877262,0.08048104948740183,8.614857766364665,1954.502400000003,2619.984000000004,1954.502400000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,234.55329999999992,1145.9673999999986,0.0,5,122.9639,620.7763,7.5813999999999995,0.0,0.0,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013506069332840865,4.1927610719322965,5.11649842931938,NaN,1.6575124309392293,2.623183202785058,2.9801057499258943,764.0,709.0,382.0,1869.333333333335,765.9999999999997,0.0,287,149,136,59,25,11.0,1849.0,10040.779899999998,3531.3025,6701.930799999999,748,20,0,128,0.602691056449491,0.7064322129841567,0.6080893543735786,235,2609.3778000000025,2972.667599999998,55,30,0.0,0,0,149,0.0,0,0.0,28345.11883414632,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,287,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.535725452890892,384,2859.3302999999996,128,25485.788534146322,4,-6009.439031707317,4,-3346.0692,2,234.55329999999776,0.0,25.031463414634146,0,0,382,382,0 bare bones,debt,8,9.094947017729282e-13
