round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24351.465999999917,0.0,1350.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.77489960784314,2.819549019607843,26.59444862745098,2.3499145098039227,2.6536666666666666,5.003581176470589,844.000000000002,0.0,844.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,187.73400000000206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,243.1968,2560.0,187.73400000000206,0.0,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,91.0,160.0,2048.0,322.0,0.0,431,0,0,0,51,40.0,2048.0,18496.00519999996,1490.972,4121.2919999999995,732,36,0,122,0.07833678800443056,0.47647387050421064,0.8341402514499268,0,3847.005199999999,455.0,51,0,0.0,0,0,0,0.0,0,0.0,47296.005200001135,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5102060173017475,390,15399.32639999998,122,31896.678799999983,4,1490.9719999999998,4,4121.2919999999995,2,243.1968,0.0,37.5,0,0,160,160,1 + planning margin,sumsy,3,1.1641532182693481e-10
2,512,4,4,26671.728999999865,0.0,17050.9696,130.9696,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.480942549019602,2.463300196078431,26.944242745098034,2.4099343137254903,2.3621549019607846,4.772089215686274,2516.773500000002,844.0000000000022,2516.773500000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,239.73700000000122,130.9696,0.0,0.0,0.0,0.0,0.0,0.0,0,257.8741,2560.0,239.73700000000122,0.0,268.0,0.0,0.0,0.0,4.845902067669152,5.529301324503316,NaN,NaN,3.6882969162995236,3.8023999999999996,906.0,1064.0,453.0,2048.0,908.0,0.0,285,0,0,0,51,29.0,2048.0,18977.72239999999,749.21,6686.922499999999,315,453,0,53,0.11940739105351716,0.48282051209486854,0.5711332043458031,2,5826.2569999999905,5156.039799999978,51,0,0.0,0,0,0,0.0,0,0.0,47710.222400000326,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,285,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5337567728173729,459,33783.515799999834,53,13926.706600000001,4,685.7403999999997,4,6686.922499999999,2,388.8437,0.0,37.5,0,0,453,453,1 + planning margin,sumsy,3,1.1641532182693481e-10
3,512,4,4,28952.465899999952,0.0,20323.8046,903.7584,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.566122642891916,3.006722816570188,27.572845459462105,2.546482113930118,2.9412870950860897,5.487769209016207,2921.3695000000034,2516.7735000000025,2921.3695000000034,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.3096999999999996,0.0,0,2560.0,279.2630999999992,903.7583999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,16.893900000000002,2560.0,279.2630999999992,0.0,268.0,0.0,0.0,0.015,4.754225631431287,5.397717068645647,NaN,NaN,3.2750538888889076,3.6883279999999994,1078.0,1069.0,539.0,2048.0,1080.0,0.0,242,0,0,0,43,31.0,2048.0,19976.405899999987,1617.1566,7342.0095,229,539,0,39,0.09693128433445763,0.46929278297876276,0.5032542097545578,0,6000.9800000000105,5082.267200000046,43,0,0.0,0,0,0,0.0,0,0.0,48372.93520000021,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,242,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5300754553906832,473,38064.54489999999,39,10308.390300000001,4,1505.8520000000008,4,7342.0095,2,531.6692,0.0,37.5,0,0,539,539,1 + planning margin,sumsy,3,1.1641532182693481e-10
4,512,4,4,31185.804000000026,0.0,19261.443100000004,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.498642348430565,2.8656224467354487,28.364264795166015,3.803014748930884,2.797571117742968,6.600585866673852,2844.1786000000175,2921.3695000000193,2844.1786000000175,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.591400000000004,0.0,0,2560.0,326.66189999999955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,291.6037,2560.0,326.66189999999955,0.0,268.0,0.0,0.0,0.015,4.572629379562101,5.313655909943748,NaN,NaN,2.9355960674158004,3.5776781599999987,1066.0,1096.0,533.0,2048.0,1068.0,0.0,245,0,0,2,59,46.0,2048.0,21307.550300000006,1843.8625,7742.7875,229,539,0,39,0.13257568665291708,0.4699198343501554,0.4834559512820016,0,5570.15169999999,5011.601800000062,59,0,0.0,0,0,0,0.0,0,0.0,48667.78419999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,245,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5445963212661122,473,38331.14340000001,39,10336.640799999996,4,2794.9194000000007,4,7742.7875,2,780.3129,0.0,37.5,0,0,533,533,1 + planning margin,sumsy,3,1.1641532182693481e-10
5,512,4,4,33377.33429999992,0.0,18236.581700000002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.127023250917414,3.374955481240683,29.501978732158094,4.993463486280597,3.3356131194871232,8.329076605767721,2805.1693999999975,2844.1786000000034,2805.1693999999975,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.35569999999999,0.0,0,2560.0,368.4697000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,432.85,2560.0,368.4697000000002,0.0,268.0,0.0,0.0,0.015,4.45322348555452,5.172535925925922,NaN,NaN,2.9761991682070605,3.4703478152,1080.0,1073.0,540.0,2045.3333333333333,1082.0,0.0,240,0,0,0,56,39.0,2048.0,22927.26489999997,2021.8989000000001,7995.3205,228,540,0,38,0.1523338954409441,0.46173439202337785,0.4965033586437271,0,5625.0446000000065,4778.3088,56,0,0.0,0,0,0,0.0,0,0.0,49251.20349999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,240,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5485101799771848,474,39090.56309999998,38,10160.6404,4,4035.3171999999986,4,7995.3205,2,895.4930999999999,0.0,37.5,0,0,540,540,1 + planning margin,sumsy,3,1.1641532182693481e-10
6,512,4,4,35523.67300000002,0.0,17172.3453,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.270545641300423,3.2193313466726075,30.48987698797303,7.26596537362636,3.1657387513996014,10.431704125025961,2744.807600000004,2805.1693999999866,2744.807600000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-30.60259999999999,0.0,0,2560.0,413.66129999999987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,501.58320000000003,2560.0,413.66129999999987,0.0,268.0,0.0,0.0,0.015,4.345424600938945,5.060754814814823,NaN,NaN,2.968688170055444,3.3662373807439994,1080.0,1065.0,540.0,2048.0,1082.0,0.0,241,0,0,1,50,31.0,2048.0,24654.89800000002,2199.1423999999997,8168.0494,228,540,0,38,0.19513740367507326,0.46232134742184994,0.5072160613692396,0,5580.270800000002,4627.877199999976,50,0,0.0,0,0,0,0.0,0,0.0,49940.66629999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5574595971939145,474,39760.161500000024,38,10180.5048,4,5276.797099999998,4,8168.0494,2,938.1602,0.0,37.5,0,0,540,540,1 + planning margin,sumsy,3,1.1641532182693481e-10
7,512,4,4,37628.58919999995,0.0,16108.108999999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.582458365830686,3.7442386779026067,31.326697043733294,8.505150269481238,3.6617717259984834,12.166921995479722,2673.883299999997,2744.807600000011,2673.883299999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.33199999999999,0.0,0,2560.0,455.0837999999992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,535.5246,2560.0,455.0837999999992,0.0,268.0,0.0,0.0,0.015,4.251717378917388,4.966200186567158,NaN,NaN,2.9414088454376706,3.2652502593216792,1072.0,1053.0,536.0,2046.6666666666665,1074.0,0.0,243,0,0,1,36,25.0,2048.0,26445.676200000005,2364.7979000000005,8282.5905,228,540,0,38,0.2112178523924919,0.4528237883097552,0.5156074870134579,0,5492.212100000003,4477.05840000001,36,0,0.0,0,0,0,0.0,0,0.0,50693.274299999925,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5575408030176925,474,40485.80459999994,38,10207.4697,4,6506.688899999999,4,8282.5905,2,946.0355,0.0,37.5,0,0,536,536,1 + planning margin,sumsy,3,1.1641532182693481e-10
8,512,4,4,39690.4706,0.0,15043.872700000002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.577642626580243,3.641303675172591,32.21894630175283,10.36800094533708,3.604600167561695,13.972601112898774,2607.8932999999984,2673.8833000000004,2607.8932999999984,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.54379999999999,0.0,0,2560.0,498.11860000000036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,552.3172,2560.0,498.11860000000036,0.0,268.0,0.0,0.0,0.015,4.177173493975872,4.8886879472693,NaN,NaN,2.8816745300752022,3.167292751542029,1062.0,1079.0,531.0,2046.6666666666667,1064.0,0.0,246,0,0,1,50,31.0,2048.0,28079.457999999977,2508.1259,8550.5695,228,540,0,38,0.23356872698094833,0.44974139031823057,0.5247605747812218,0,5364.942500000003,4507.170199999965,50,0,0.0,0,0,0,0.0,0,0.0,51288.88590000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,246,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5631569750565419,474,41065.47919999996,38,10223.406700000001,4,7714.253199999999,4,8550.5695,2,936.762,0.0,37.5,0,0,531,531,1 + planning margin,sumsy,3,1.1641532182693481e-10
9,512,4,4,41712.49459999999,0.0,13979.6361,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.712956067680302,4.085337549446006,32.79829361712631,11.481416722817155,4.053161978723291,15.534578701540447,2596.7440999999912,2607.8932999999934,2596.7440999999912,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-55.239,0.0,0,2560.0,537.9759999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,560.6578999999999,2560.0,537.9759999999997,0.0,268.0,0.0,0.0,0.015,4.126326255924166,4.831297383177554,NaN,NaN,2.829656996268625,3.072273968995767,1070.0,1055.0,535.0,2046.6666666666665,1072.0,0.0,243,0,0,0,39,23.0,2048.0,29801.084099999982,2607.7449,8743.0077,228,540,0,38,0.24550177025769448,0.4420349079710444,0.5223222257712719,0,5298.506300000016,4353.274199999995,39,0,0.0,0,0,0,0.0,0,0.0,51972.34150000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564200527548876,474,41689.91499999997,38,10282.426499999998,4,8878.1088,4,8743.0077,2,919.0366,0.0,37.5,0,0,535,535,1 + planning margin,sumsy,3,1.1641532182693481e-10
10,512,4,4,43693.75509999999,0.0,12915.399500000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.555648883775838,3.982975854015771,33.53862473779161,13.700612732221789,3.9622457395311335,17.66285847175292,2564.3196999999827,2596.7440999999967,2564.3196999999827,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-62.416799999999995,0.0,0,2560.0,578.7395000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,564.7823000000001,2560.0,578.7395000000002,0.0,268.0,0.0,0.0,0.015,4.084494090056287,4.797593421052599,NaN,NaN,2.7761616322701816,2.9801057499258943,1064.0,1066.0,532.0,2048.0,1066.0,0.0,245,0,0,1,41,25.0,2048.0,31415.027699999984,2732.1805,8981.7646,228,540,0,38,0.27506175666631094,0.4447753179206131,0.526921313474539,0,5191.235199999997,4354.070700000002,41,0,0.0,0,0,0,0.0,0,0.0,52548.11459999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,245,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5731577897721891,474,42211.5142,38,10336.6004,4,10066.780999999999,4,8981.7646,2,897.0949,0.0,37.5,0,0,532,532,1 + planning margin,sumsy,3,1.1641532182693481e-10
