round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25863.984000000037,0.0,25973.88,0.0,4359.824,,0.0,4359.824,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.5659470588235305,3.4979764705882355,11.063923529411765,1.0203372549019605,3.3583745098039217,4.378711764705882,1078.8919999999973,0.0,1078.8919999999973,0.0,0,0,0.0,0.0,40.732,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,0,4361.0,476.21600000000007,4361.0,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,72.0,160.0,2048.0,526.0,204.0,380,0,0,0,43,29.0,2048.0,20529.240000000023,1391.512,3943.232,768,0,0,128,0.029570974132505867,0.23705671946715112,0.05966344592000916,0,5529.240000000011,360.0,43,0,0.0,0,0,0,0.0,0,0.0,29169.240000000056,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7933221957112828,384,15320.335999999988,128,13848.903999999997,4,-8364.728,4,-7913.407999999999,2,108.72000000000064,-4359.824,11.25,0,0,160,160,2 + government,debt,2,1.7462298274040222e-10
2,512,4,4,28655.625800000078,0.0,28838.222499999996,0.0,7038.1651,,0.0,7038.1651,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,3010.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.170797843137256,3.403354509803921,11.574152352941178,1.5294292156862745,3.3508805882352943,4.880309803921569,3323.315500000009,1078.8919999999996,3323.315500000009,0.0,0,0,0.0,0.0,294.92769999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,182.59669999999997,239.7625,0.0,0,3505.8783000000003,714.2365,3448.7125,353.45920000000325,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2350.0,0.0,0.0034488078166953623,4.759823333333325,5.489944666666648,NaN,1.1306904444444428,3.545135623869775,3.8023999999999996,900.0,1080.0,450.0,2048.0,1106.0,204.0,235,0,0,0,46,39.0,2048.0,21510.54680000005,617.8588,6527.2202,768,0,0,128,0.04890295887535867,0.24455015554695114,0.09929444385242325,0,6121.915999999974,5140.609199999992,46,0,0.0,0,0,0,0.0,0,0.0,30150.546800000076,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,235,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.418872924857711,384,15775.12080000002,128,14375.425999999994,4,-9525.4014,4,-5128.4598000000005,2,181.47949999999824,-7038.1651,11.25,0,0,450,450,2 + government,debt,2,1.7462298274040222e-10
3,512,4,4,31721.50709999998,0.0,31960.3451,0.0,8866.7265,,0.0,8866.7265,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2539.167786666666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.90985639234675,3.5283217588525653,16.438178151199313,2.3498966986705216,3.520771017246939,5.8706677159174605,3805.030600000075,3109.0102000000384,4019.3359000000733,0.0,0,0,0.0,0.0,248.81390000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,238.83799999999997,382.85469999999987,0.0,2,3965.7791,899.8978,4093.2335,745.7964000000103,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1910.8724000000002,0.0,0.005983753851242583,4.682092477064186,5.4414439252336555,NaN,1.3356385046728967,3.370564717868296,3.6883279999999994,1070.0,1090.0,535.0,2048.0,1276.0,204.0,192,0,0,1,59,47.0,2048.0,22581.0379,2227.876,6912.593199999999,768,0,0,128,0.07072113002311609,0.3174019850400742,0.11422086117766295,0,6173.971900000012,5103.480799999963,59,0,0.0,0,0,0,0.0,0,0.0,35606.59181999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666858351617215,384,16107.4779,128,19499.113919999978,4,-9409.964199999999,4,-4542.126799999999,2,237.77959999999973,-8866.7265,16.96035666666664,0,0,535,535,2 + government,debt,2,1.7462298274040222e-10
4,512,4,4,33110.640800000045,0.0,33393.893899999995,0.0,10778.651,,0.0,10778.651,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2486.0538922324126,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.598212603554638,3.743673910082853,19.34188651363749,2.9250529959712357,3.7421072400195046,6.66716023599074,3745.945700000068,3419.664900000033,4345.616700000083,0.0,0,0,0.0,0.0,230.00459999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,283.25309999999996,542.4141000000002,0.0,6,2499.4450999999995,1110.3114,2983.9718000000003,618.4627000000072,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1868.0151999999998,0.0,0.007127322382087081,4.552821435228322,5.344907393715361,NaN,1.437266543438076,3.197060098581087,3.5776781599999987,1082.0,1073.0,541.0,2046.6666666666667,1288.0,204.0,189,0,0,3,52,47.0,2048.0,23724.93600000001,2575.866,6809.8387999999995,768,0,0,128,0.09069824919324931,0.3486084924429549,0.11645203519257374,0,6029.075499999989,4885.177399999989,52,0,0.0,0,0,0,0.0,0,0.0,39111.491573831765,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0396738931553366,384,16461.453699999995,128,22650.037873831785,4,-8784.617300000002,4,-4443.9212,2,282.2534999999981,-10778.651,20.03457757009345,0,0,541,541,2 + government,debt,2,1.7462298274040222e-10
5,512,4,4,34084.93620000003,0.0,34397.306599999996,0.0,12260.4394,,0.0,12260.4394,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2360.373901775292,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.685853019883513,3.962286593045057,21.64813961292857,3.7730352764189785,3.962286593045057,7.735321869464035,3676.479100000035,3713.2840000000597,4308.811800000029,0.0,0,0,0.0,0.0,214.5367,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,312.37039999999996,709.1562000000001,0.0,10,2211.0045,1236.7090999999998,2705.7124,932.4711999999902,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1759.3924000000056,0.0,0.008674465380900966,4.41625292452831,5.315030223880589,NaN,1.567996455223879,3.118491181103396,3.4703478152,1072.0,1060.0,536.0,2044.0,1278.0,204.0,192,0,0,1,56,28.0,2048.0,24905.11120000004,2557.6604,6622.1645,768,0,0,128,0.1113108334157682,0.36456073425543867,0.1395114049856132,0,5861.403300000001,4681.228100000008,56,0,0.0,0,0,0,0.0,0,0.0,41462.421780406636,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9871883540689204,384,16828.248200000013,128,24634.173580406645,4,-8525.466,4,-4430.635499999999,2,311.42959999999795,-12260.4393,21.55899815157114,0,0,536,536,2 + government,debt,2,1.7462298274040222e-10
6,512,4,4,35046.98839999998,0.0,35378.6833,0.0,13720.1918,,0.0,13720.1918,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2294.866277545702,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.460287432521916,4.068853523924707,24.52914095644662,4.878322249684518,4.068853523924707,8.947175773609226,3609.264399999994,3634.9715000000115,4283.104700000008,0.0,0,0,0.0,0.0,213.01890000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,331.6949,880.9308000000005,0.0,14,2307.4628000000002,1345.4106,2828.853,896.4130999999928,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1711.918000000002,0.0,0.009452590283558184,4.32562233741754,5.166698333333337,NaN,1.6218290740740748,3.0335076355917963,3.3662373807439994,1080.0,1061.0,540.0,2046.6666666666667,1286.0,204.0,190,0,0,1,44,22.0,2048.0,26087.89609999996,2516.2933,6442.7989,768,0,0,128,0.13434748823067522,0.38409813444154817,0.1441651322012567,0,5772.270199999988,4589.48530000001,44,0,0.0,0,0,0,0.0,0,0.0,44151.215264179096,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9457993128713924,384,17135.8808,128,27015.33446417908,4,-8289.4762,4,-4409.0411,2,330.8129000000004,-13720.191700000001,23.519946828358187,0,0,540,540,2 + government,debt,2,1.7462298274040222e-10
7,512,4,4,35964.96219999999,0.0,36311.1371,0.0,15131.0213,,0.0,15131.0213,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2273.2004228723795,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.121458721132825,4.252266967756937,26.373725688889763,5.709879736768438,4.252266967756937,9.962146704525376,3544.6666999999898,3611.0112999999856,4216.760099999981,0.0,0,0,0.0,0.0,213.9315,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,346.17490000000004,1057.6268000000007,0.0,18,2376.0563999999995,1458.0825999999995,2885.9338,930.9668000000084,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1702.2147000000016,0.0,0.009702703354420004,4.206068152274828,5.140870973782739,NaN,1.5811741573033682,2.976657468764369,3.2652502593216792,1068.0,1077.0,534.0,2046.6666666666665,1274.0,204.0,193,0,0,3,47,31.0,2048.0,27201.299899999998,2458.8266,6304.8357000000005,768,0,0,128,0.15127324278886034,0.3927717484318174,0.14384016820495682,0,5643.339199999999,4529.93539999999,47,0,0.0,0,0,0,0.0,0,0.0,45884.77083333335,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9127406773379478,384,17469.075200000003,128,28415.69563333333,4,-8069.586,4,-4346.0443,2,345.3517,-15131.0213,24.327436111111123,0,0,534,534,2 + government,debt,2,1.7462298274040222e-10
8,512,4,4,36869.2741,0.0,37227.2667,0.0,16525.5266,,0.0,16525.5266,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2241.3119989412353,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.271179621250432,4.370970310993329,27.64214993224376,6.906405624784551,4.370970310993329,11.27737593577788,3523.5245000000473,3558.978799999987,4181.305800000044,0.0,0,0,0.0,0.0,209.1943,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,357.9926000000001,1238.9999,0.0,22,2477.7636000000007,1573.4517,2965.9895,922.455799999994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1686.104600000002,0.0,0.009533687535713337,4.118731372549006,5.1503684803001955,NaN,1.545378236397749,2.905359614334588,3.167292751542029,1066.0,1071.0,533.0,2044.0000000000002,1271.9999999999998,204.0,193,0,0,2,47,33.0,2048.0,28317.661700000004,2415.4066,6136.2057,768,0,0,128,0.16957232731658745,0.39416872922835045,0.14426615093402972,0,5527.523099999985,4411.161299999985,47,0,0.0,0,0,0,0.0,0,0.0,46532.78799213483,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8903086049146902,384,17780.412399999994,128,28752.3755921348,4,-7835.6491,4,-4313.7143,2,357.2282000000032,-16525.5265,23.71761235955052,0,0,533,533,2 + government,debt,2,1.7462298274040222e-10
9,512,4,4,37728.04790000001,0.0,38096.4829,0.0,17873.1185,,0.0,17873.1185,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2173.1187297482197,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.40852386268211,4.4774071399293565,28.885931002611468,7.9942120003637385,4.4774071399293565,12.471619140293097,3478.5582000000377,3545.43180000003,4114.432200000022,0.0,0,0,0.0,0.0,204.44119999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,368.4350000000002,1424.9687999999994,0.0,26,2552.2317000000003,1693.4579,3012.5792,908.1541999999923,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1629.448399999998,0.0,0.009649658586065934,4.035706255835624,5.078817009345805,NaN,1.5025106542056084,2.843576704161273,3.072273968995767,1070.0,1071.0,535.0,2045.3333333333335,1276.0,204.0,192,0,0,0,50,30.0,2048.0,29392.29469999998,2416.6998,5919.053400000001,768,0,0,128,0.1854515132458443,0.39620236143690724,0.1461631427697303,0,5396.87440000001,4322.2413999999535,50,0,0.0,0,0,0,0.0,0,0.0,47195.051983302095,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8698228359403328,384,18007.723500000022,128,29187.328483302066,4,-7556.999,4,-4329.906599999998,2,367.72939999999767,-17873.1185,23.180673545966236,0,0,535,535,2 + government,debt,2,1.7462298274040222e-10
10,512,4,4,38550.5773,0.0,38928.5006,0.0,19183.5119,,0.0,19183.5119,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2153.1142948615043,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.202295059096063,4.5372851340511,29.739580193147162,9.116478038454868,4.5372851340511,13.65376317250597,3478.1684000000014,3542.2279000000067,4050.3727000000363,0.0,0,0,0.0,0.0,215.6064,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,377.92330000000015,1615.2983999999988,0.0,30,2639.1832999999997,1816.6539,3030.5463,932.08469999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1620.3970000000015,0.0,0.009854735526448525,4.119367602996253,5.055486964618262,NaN,1.4839810055865905,2.7876397857580475,2.9801057499258943,1074.0,1068.0,537.0,2048.0,1280.0,204.0,192,0,0,3,41,36.0,2048.0,30323.496600000002,2390.0928,5836.987800000001,768,0,0,128,0.20200802121649986,0.3982300819750517,0.14503501063928326,0,5330.686499999983,4399.484599999999,41,0,0.0,0,0,0,0.0,0,0.0,47632.419336448496,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8478344345986522,384,18215.548499999994,128,29416.8708364486,4,-7306.249100000001,4,-4211.0122,2,377.2764999999986,-19183.5118,22.537659813084126,0,0,537,537,2 + government,debt,2,1.7462298274040222e-10
