round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24351.561300000183,0.0,1911.0,560.9999999999999,560.9999999999999,,560.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0025,92.1623,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.19893960784313,2.9256274509803926,27.124567058823523,2.2306992156862737,2.743878431372549,4.9745776470588225,844.000000000002,0.0,844.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,187.63870000000188,561.0,93.26700000000092,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,187.63870000000188,93.26700000000092,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,99.0,160.0,2048.0,526.0,204.0,380,0,0,0,60,39.0,2048.0,18901.50700000001,1475.758,3882.134,732,36,0,122,0.0856442037556513,0.47633740798963653,0.7565331798861301,0,4400.178000000001,495.0,60,0,0.0,0,0,0,0.0,0,0.0,47771.14699999962,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5094783893276245,390,15633.451599999933,122,32137.69540000005,4,1475.7579999999998,4,4125.334,2,248.16,-468.83769999999987,37.5,0,0,160,160,2 + government,sumsy,9,-4.3655745685100555e-11
2,512,4,4,26673.645900000007,0.0,18260.290100000002,629.2900999999997,1029.8377,,1029.8377,0.0,0.0,0.0,0.0,0.0,0.0025,116.7699,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.41494862745098,2.6353882352941174,27.050336862745098,2.1953847058823532,2.5532243137254893,4.7486090196078425,2523.351000000008,844.0000000000022,2523.351000000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,237.91539999999972,629.2900999999999,118.21919999999956,0.0,0.0,0.0,0.0,0.0,6,0.0,2560.0,237.91539999999972,118.21919999999956,268.0,0.0,0.0,0.008472370766488413,4.790318525519818,5.495297592997829,NaN,NaN,3.4180526785714007,3.8023999999999996,914.0,1058.0,457.0,2048.0,1120.0,204.0,231,0,0,1,48,26.0,2048.0,19527.69250000002,741.5652,6287.6183,311,457,0,52,0.10171782296114551,0.47289074616726223,0.4724585039373075,1,6296.684399999986,5068.156999999967,48,0,0.0,0,0,0,0.0,0,0.0,48697.92079999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,231,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.522804337222788,460,34824.21180000001,52,13873.709,4,648.6128000000008,4,6530.818300000001,2,509.36179999999996,-913.0678,37.5,0,0,457,457,2 + government,sumsy,9,-4.3655745685100555e-11
3,512,4,4,28951.128200000032,0.0,21704.9772,1347.0849,1450.5415000000003,,1450.5415000000003,0.0,0.0,0.0,0.0,0.0,0.0025,138.6241,0.0,0.0,1.0,537.4737000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.649986168348853,3.0782629015930487,28.728249069941903,2.8747310596608093,2.7946227922037057,5.669353851864515,2879.895699999995,2523.3509999999997,2879.895699999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.6045249999999995,0.0,0,2560.0,282.5176999999999,1347.0849,140.3792999999999,0.0,0.0,0.0,0.0,0.0,31,17.8656,2560.0,282.5176999999999,140.3792999999999,268.0,0.0,0.0,0.007326366647115536,4.71728280254779,5.350551679104468,NaN,NaN,3.1693792946504664,3.6883279999999994,1072.0,1099.0,536.0,2046.6666666666665,1278.0,204.0,191,0,0,1,57,45.0,2048.0,20299.974700000017,1598.6161000000002,6896.0477,232,536,0,39,0.11521414958609166,0.4648588619756533,0.4064478399045506,0,6505.220299999995,5184.293800000021,57,0,0.0,0,0,0,0.0,0,0.0,49710.22609999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240846520761091,473,39267.94810000001,39,10442.277999999998,4,1444.1803999999984,4,7139.2476,2,769.3915000000001,-1311.9174000000003,37.5,0,0,536,536,2 + government,sumsy,9,-4.3655745685100555e-11
4,512,4,4,31183.042400000002,0.0,21241.519000000008,408.3835,1841.1954,,1841.1954,0.0,0.0,0.0,0.0,0.0,0.0025,161.3335,0.0,0.0,1.0,529.2779999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.509159332669014,3.5308902476954076,29.04004958036442,3.927930671002814,2.8576790827287466,6.785609753731561,2855.8347000000012,2879.8957000000114,2855.8347000000012,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.39282500000001,0.0,0,2560.0,328.0857999999996,408.3835,163.13980000000015,0.0,0.0,0.0,0.0,0.0,50,19.290300000000002,2560.0,328.0857999999996,163.13980000000015,268.0,0.0,0.0,0.0033198335902956074,4.549943046357659,5.256626062846583,NaN,NaN,2.9385732379238085,3.5776781599999987,1082.0,1057.0,541.0,2046.6666666666667,1288.0,204.0,190,0,0,1,45,34.0,2048.0,22261.29920000001,1769.1753,6971.944100000001,227,541,0,38,0.12082719430086697,0.4447848133080643,0.3889332543647608,0,6199.228500000008,4809.289800000045,45,0,0.0,0,0,0,0.0,0,0.0,50761.19529999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5177215262468833,474,40470.33299999996,38,10290.8623,4,2656.3516999999947,4,7215.144,2,1030.2133,-1679.8619,37.5,0,0,541,541,2 + government,sumsy,9,-4.3655745685100555e-11
5,512,4,4,33369.9592,0.0,20521.087300000003,349.1715,2190.3668000000002,,2190.3668000000002,0.0,0.0,0.0,0.0,0.0,0.0025,183.7397,0.0,0.0,1.0,510.50490000000025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.64851908744442,3.6838922661719895,30.332411353616408,5.416353943268041,2.979549900914411,8.395903844182453,2758.6021000000087,2855.8347000000103,2758.6021000000087,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-22.814850000000003,0.0,0,2560.0,373.0832000000001,349.1715,185.60730000000018,0.0,0.0,0.0,0.0,0.0,57,20.013399999999997,2560.0,373.0832000000001,185.60730000000018,268.0,0.0,0.0,0.010622208705787572,4.4540835195530715,5.143449625468181,NaN,NaN,2.8671469464688646,3.4703478152,1068.0,1074.0,534.0,2046.6666666666667,1274.0,204.0,193,0,0,0,50,34.0,2048.0,24128.59220000002,1940.2527,7097.361199999999,227,541,0,38,0.15127602075570357,0.4391385179404377,0.3977632596437197,0,6028.286200000001,4783.685699999999,50,0,0.0,0,0,0,0.0,0,0.0,51647.93040000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235161681128113,474,41268.937000000034,38,10378.9934,4,3897.032199999996,4,7340.561,2,1291.0627,-2006.6271000000002,37.5,0,0,534,534,2 + government,sumsy,9,-4.3655745685100555e-11
6,512,4,4,35513.63560000002,0.0,19767.493500000004,316.00930000000005,2506.3761000000004,,2506.3761000000004,0.0,0.0,0.0,0.0,0.0,0.0025,205.2508,0.0,0.0,1.0,499.74899999999957,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.52086723079015,3.6338634651765793,31.15473069596673,6.85659836207344,3.0889917960857973,9.945590158159236,2716.488499999987,2758.6021000000046,2716.488499999987,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.68364999999999,0.0,0,2560.0,416.3236,316.0093,207.19149999999996,0.0,0.0,0.0,0.0,0.0,61,20.0574,2560.0,416.3236,207.19149999999996,268.0,0.0,0.0,0.012050802330459385,4.345090650779079,5.036291433891969,NaN,NaN,2.7569856022608557,3.3662373807439994,1074.0,1091.0,537.0,2048.0,1280.0,204.0,192,0,0,0,56,45.0,2048.0,25896.037299999996,2049.2738,7343.016299999999,227,541,0,38,0.18002319246103093,0.4362113748654921,0.38750807963828615,0,5868.628299999994,4740.493899999976,56,0,0.0,0,0,0,0.0,0,0.0,52400.78009999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531449073070857,474,41993.42510000001,38,10407.354999999998,4,5075.656399999998,4,7586.2161,2,1552.1082999999999,-2301.1253000000006,37.5,0,0,537,537,2 + government,sumsy,9,-4.3655745685100555e-11
7,512,4,4,37616.07000000001,0.0,18980.158700000004,282.2684,2788.6445000000003,,2788.6445000000003,0.0,0.0,0.0,0.0,0.0,0.0025,225.8128,0.0,0.0,1.0,487.5191999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.95919736151905,4.0859672366173525,32.0451645981364,7.9907726128391765,3.582476082643362,11.573248695482539,2697.7170000000124,2716.488500000001,2697.7170000000124,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.00185000000001,0.0,0,2560.0,457.5656000000005,282.2684,227.7937,0.0,0.0,0.0,0.0,0.0,64,20.441000000000003,2560.0,457.5656000000005,227.7937,268.0,0.0,0.0,0.012915957929567576,4.25100272556392,4.973550000000023,NaN,NaN,2.684744923030658,3.2652502593216792,1080.0,1064.0,540.0,2048.0,1286.0,204.0,190,0,0,0,47,38.0,2048.0,27782.872400000007,2152.6934,7434.250400000001,227,541,0,38,0.19060347352652984,0.4266675712498724,0.3855269505999419,0,5755.087599999997,4523.066900000011,47,0,0.0,0,0,0,0.0,0,0.0,53239.43059999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5325961988430075,474,42795.392699999975,38,10444.037899999998,4,6248.679199999997,4,7677.4502,2,1813.3417,-2562.8317,37.5,0,0,540,540,2 + government,sumsy,9,-4.3655745685100555e-11
8,512,4,4,39676.75209999994,0.0,18161.705,251.1494,3039.7939000000006,,3039.7939000000006,0.0,0.0,0.0,0.0,0.0,0.0025,246.5477,0.0,0.0,1.0,476.96219999999977,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.32925038227537,4.4623607811544845,32.79161116342985,9.230417142620704,3.8603664807567526,13.090783623377456,2603.681399999993,2697.7170000000083,2603.681399999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-50.767250000000004,0.0,0,2560.0,499.31790000000046,251.1494,248.62150000000022,0.0,0.0,0.0,0.0,0.0,66,51.1834,2560.0,499.31790000000046,248.62150000000022,268.0,0.0,0.0,0.0140260685908431,4.1831903079709845,4.853335955056167,NaN,NaN,2.5891540861917575,3.167292751542029,1068.0,1104.0,534.0,2048.0,1274.0,204.0,193,0,0,0,64,54.0,2048.0,29372.480299999996,2287.6432999999997,7718.8974,227,541,0,38,0.19969311584261495,0.4189052459571623,0.3883812308165684,0,5568.713499999997,4618.242099999967,64,0,0.0,0,0,0,0.0,0,0.0,53780.8539999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5367529850494228,474,43243.29709999993,38,10537.5569,4,7453.232199999997,4,7962.0972,2,2073.8149000000003,-2793.2462000000005,37.5,0,0,534,534,2 + government,sumsy,9,-4.3655745685100555e-11
9,512,4,4,41696.99709999997,0.0,17427.4072,222.8053,3262.5992000000006,,3262.5992000000006,0.0,0.0,0.0,0.0,0.0,0.0025,266.7318,0.0,0.0,1.0,469.35299999999944,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.552714656106616,4.884259560453082,33.4369742165597,10.314269910062121,4.281150353724448,14.595420263786568,2635.130599999997,2603.6814000000054,2635.130599999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-58.979450000000035,0.0,0,2560.0,539.7550000000006,222.8053,268.82900000000024,0.0,0.0,0.0,0.0,0.0,68,92.8074,2560.0,539.7550000000006,268.82900000000024,268.0,0.0,0.0,0.015,4.126147195357833,4.821931249999994,NaN,NaN,2.5502126372135567,3.072273968995767,1088.0,1034.0,544.0,2048.0,1294.0,204.0,188,0,0,2,38,28.0,2048.0,31258.693300000046,2335.1589,7743.6057,224,544,0,38,0.20386563828384507,0.407427377189421,0.38053364671949463,0,5532.039500000012,4266.436199999999,38,0,0.0,0,0,0,0.0,0,0.0,54618.88250000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5351540251958038,474,43993.43939999996,38,10625.4431,4,8570.350899999996,4,7986.8055,2,2316.8256,-2995.8674000000005,37.5,0,0,544,544,2 + government,sumsy,9,-4.3655745685100555e-11
10,512,4,4,43676.46590000005,0.0,16548.3997,196.2207,3458.819900000001,,3458.819900000001,0.0,0.0,0.0,0.0,0.0,0.0025,287.0229,0.0,0.0,1.0,462.9524999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.73656760877004,5.176466028246337,33.913033637016376,11.562147516863437,4.564114165372597,16.126261682236034,2539.32269999999,2635.1305999999927,2539.32269999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-66.6401499999999,0.0,0,2560.0,580.5311999999992,196.2207,289.1839999999997,0.0,0.0,0.0,0.0,0.0,70,135.3803,2560.0,580.5311999999992,289.1839999999997,268.0,0.0,0.0,0.015,4.072013027179005,4.7595531073446145,NaN,NaN,2.5132259584536176,2.9801057499258943,1062.0,1067.0,531.0,2045.3333333333333,1268.0,204.0,192,0,0,1,42,30.0,2048.0,32907.94979999998,2469.3797,7876.7332,224,544,0,38,0.21394658401005495,0.39906680065527267,0.39707731619498166,0,5384.512400000008,4344.837899999999,42,0,0.0,0,0,0,0.0,0,0.0,55214.329400000046,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5372297877782886,474,44567.10719999999,38,10647.2222,4,9779.799900000002,4,8119.933,2,2534.2006,-3171.797000000001,37.5,0,0,531,531,2 + government,sumsy,9,-4.3655745685100555e-11
