round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24351.154300000147,0.0,1911.0,560.9999999999999,560.9999999999999,,560.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0025,92.3853,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.922502352941176,2.924568627450981,26.847070980392157,2.1860972549019593,2.7713627450980396,4.957459999999999,844.000000000002,0.0,844.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,188.0457000000019,561.0,93.47700000000094,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,188.0457000000019,93.47700000000094,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,86.0,160.0,2048.0,526.0,204.0,380,0,0,0,50,36.0,2048.0,18963.927000000014,1475.758,3819.084,732,36,0,122,0.08577992737787743,0.47395410700652785,0.7513839357935324,0,4398.458000000001,430.0,50,0,0.0,0,0,0,0.0,0,0.0,47833.56699999968,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067333781472081,390,15787.165399999933,122,32046.40160000006,4,1475.7579999999998,4,4062.2839999999997,2,248.16,-468.61469999999986,37.5,0,0,160,160,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
2,512,4,4,26672.844300000063,0.0,18095.7983,614.7982999999999,1029.6146999999999,,1029.6146999999999,0.0,0.0,0.0,0.0,0.0,0.0025,116.9635,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.453964509803924,2.6135156862745097,27.067480196078435,2.3023886274509815,2.5368137254901955,4.839202352941177,2489.832900000001,844.0000000000022,2489.832900000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,238.3100000000004,614.7983,118.4233000000001,0.0,0.0,0.0,0.0,0.0,6,0.0,2560.0,238.3100000000004,118.4233000000001,268.0,0.0,0.0,0.008472370766488413,4.791056533827584,5.469829801324505,NaN,NaN,3.416979676258965,3.8023999999999996,906.0,1079.0,453.0,2048.0,1112.0,204.0,234,0,0,0,46,45.0,2048.0,19475.664000000055,741.5652,6338.651599999999,315,453,0,53,0.10676823519903511,0.47288435457858746,0.4765134531246491,0,6268.815099999989,5169.549999999963,46,0,0.0,0,0,0,0.0,0,0.0,48631.400499999814,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,234,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5232528558560547,459,34593.048900000016,53,14038.351600000005,4,662.8816000000015,4,6581.851599999999,2,509.3618,-912.6511999999999,37.5,0,0,453,453,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
3,512,4,4,28950.34660000003,0.0,21675.5285,1323.9144000000001,1450.2064999999998,,1450.2064999999998,0.0,0.0,0.0,0.0,0.0,0.0025,138.6527,0.0,0.0,1.0,537.5553,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.61498662207693,3.124614334201751,28.739600956278682,3.018245188975207,2.7921345564079143,5.810379745383122,2887.3409,2489.832900000005,2887.3409,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.4616999999999996,0.0,0,2560.0,282.4976999999996,1323.9144,140.38439999999994,0.0,0.0,0.0,0.0,0.0,31,17.3121,2560.0,282.4976999999996,140.38439999999994,268.0,0.0,0.0,0.007499061074176684,4.711365192850463,5.364441977611941,NaN,NaN,3.1512961996052145,3.6883279999999994,1072.0,1063.0,536.0,2048.0,1278.0,204.0,192,0,0,0,48,36.0,2048.0,20413.08640000002,1573.932,6807.3634,232,536,0,39,0.1192910458931149,0.46388465702640325,0.40624776067567425,0,6479.756400000022,5008.181200000043,48,0,0.0,0,0,0,0.0,0,0.0,49793.17489999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5224976095604228,473,39337.9813,39,10455.193600000002,4,1448.6100000000006,4,7050.563399999999,2,769.5521000000001,-1311.5537999999997,37.5,0,0,536,536,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
4,512,4,4,31181.850499999982,0.0,21031.4101,413.357,1840.1688000000001,,1840.1688000000001,0.0,0.0,0.0,0.0,0.0,0.0025,161.535,0.0,0.0,1.0,528.6150000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.59281755252137,3.476516373672242,29.069333926193615,4.164601558228682,2.8016449603715863,6.966246518600268,2843.0337000000036,2887.3409000000092,2843.0337000000036,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.884224999999997,0.0,0,2560.0,328.49610000000024,413.357,163.34430000000015,0.0,0.0,0.0,0.0,0.0,50,18.6171,2560.0,328.49610000000024,163.34430000000015,268.0,0.0,0.0,0.0033779356882892124,4.549760205032655,5.281779291044783,NaN,NaN,2.92248018359766,3.5776781599999987,1072.0,1073.0,536.0,2048.0,1278.0,204.0,192,0,0,1,50,36.0,2048.0,22245.364199999993,1774.5794,6981.7548,232,536,0,39,0.12654558471656108,0.44703159005658577,0.3936463151341776,0,6149.169599999986,4881.8927000000385,50,0,0.0,0,0,0,0.0,0,0.0,50721.774299999954,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5198754982701639,473,40131.07649999994,39,10590.697799999996,4,2683.338099999998,4,7224.954699999999,2,1030.4171999999999,-1678.6338,37.5,0,0,536,536,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
5,512,4,4,33369.4282,0.0,20321.7146,348.9496,2189.1183,,2189.1183,0.0,0.0,0.0,0.0,0.0,0.0025,183.3588,0.0,0.0,1.0,510.4845000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.67001621253612,3.6569322241374995,30.326948436673618,5.397505102445804,3.0868420627829085,8.484347165228712,2763.8011999999976,2843.033699999994,2763.8011999999976,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-22.015649999999983,0.0,0,2560.0,372.42229999999984,348.9496,185.2609,0.0,0.0,0.0,0.0,0.0,57,19.558799999999998,2560.0,372.42229999999984,185.2609,268.0,0.0,0.0,0.010494402584206869,4.454026950998178,5.143553644859809,NaN,NaN,2.8449115948312325,3.4703478152,1070.0,1102.0,535.0,2046.6666666666665,1276.0,204.0,192,0,0,1,62,53.0,2048.0,23960.939199999968,1941.3995,7264.1719,232,536,0,39,0.15488078848971099,0.4431016117829505,0.39490456312553635,0,6009.7972999999965,4908.337699999992,62,0,0.0,0,0,0,0.0,0,0.0,51467.77029999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5282378714055729,473,40854.670400000025,39,10613.099900000003,4,3908.8031999999994,4,7507.3717,2,1291.2424999999998,-2005.7595000000001,37.5,0,0,535,535,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
6,512,4,4,35513.95960000002,0.0,19804.454700000002,316.3852,2505.5034000000005,,2505.5034000000005,0.0,0.0,0.0,0.0,0.0,0.0025,204.8193,0.0,0.0,1.0,499.7439000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.60849644776931,3.6705719678962314,31.27906841566554,6.950786673963091,3.1880421125457814,10.138828786508872,2757.9089000000017,2763.8012000000217,2757.9089000000017,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.609674999999957,0.0,0,2560.0,415.46860000000027,316.3852,206.7629999999999,0.0,0.0,0.0,0.0,0.0,61,19.6044,2560.0,415.46860000000027,206.7629999999999,268.0,0.0,0.0,0.012058465537516019,4.346395561850781,5.066252583025833,NaN,NaN,2.755375057288355,3.3662373807439994,1084.0,1059.0,542.0,2046.6666666666667,1290.0,204.0,189,0,0,1,46,43.0,2048.0,25882.2283,2054.6318,7352.675800000001,226,542,0,38,0.1823990482909974,0.4384534506344435,0.3824169815107843,0,5895.280300000013,4602.832899999978,46,0,0.0,0,0,0,0.0,0,0.0,52385.82230000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5333140356256223,474,41989.71739999999,38,10396.104899999998,4,5080.680499999999,4,7595.8755,2,1552.2653999999998,-2300.6841000000004,37.5,0,0,542,542,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
7,512,4,4,37616.511600000005,0.0,19017.407400000004,282.8478,2788.3512000000005,,2788.3512000000005,0.0,0.0,0.0,0.0,0.0,0.0025,225.723,0.0,0.0,1.0,487.6670999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.08332276130629,3.9670958157606337,32.05041857706692,8.050131287880697,3.5396835117628296,11.589814799643527,2692.051500000005,2757.9089000000236,2692.051500000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-40.66807499999998,0.0,0,2560.0,457.4479999999999,282.8478,227.72309999999987,0.0,0.0,0.0,0.0,0.0,64,19.6498,2560.0,457.4479999999999,227.72309999999987,268.0,0.0,0.0,0.012900612367936614,4.251058976744196,5.000096082089562,NaN,NaN,2.6739259118724537,3.2652502593216792,1072.0,1075.0,536.0,2046.6666666666665,1278.0,204.0,192,0,0,0,55,39.0,2048.0,27690.357800000013,2207.9271,7472.8539,226,542,0,38,0.19363575225779894,0.4296596061365623,0.3880838129797157,0,5721.839900000007,4569.888400000011,55,0,0.0,0,0,0,0.0,0,0.0,53145.72689999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356470581899719,474,42637.14210000002,38,10508.5848,4,6303.870899999998,4,7716.053599999999,2,1813.4884000000002,-2562.6282000000006,37.5,0,0,536,536,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
8,512,4,4,39677.240499999956,0.0,18198.7566,251.2444,3039.5955000000004,,3039.5955000000004,0.0,0.0,0.0,0.0,0.0,0.0025,246.5555,0.0,0.0,1.0,476.9673000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.46805168517165,4.36617251472726,32.834224199898905,9.49940395828534,3.7720038399925064,13.271407798277846,2650.3262999999934,2692.051499999989,2650.3262999999934,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-49.19010000000001,0.0,0,2560.0,499.2711000000005,251.2444,248.6088000000002,0.0,0.0,0.0,0.0,0.0,66,49.8746,2560.0,499.2711000000005,248.6088000000002,268.0,0.0,0.0,0.013997336869608093,4.176981877934241,4.894853988868262,NaN,NaN,2.588158113076895,3.167292751542029,1078.0,1065.0,539.0,2048.0,1284.0,204.0,191,0,0,0,44,36.0,2048.0,29472.29920000002,2322.3697,7586.1415,226,542,0,38,0.2063583306086072,0.4212060752866993,0.3836217193195526,0,5591.3031999999985,4448.485699999967,44,0,0.0,0,0,0,0.0,0,0.0,53878.76159999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5376740304914278,474,43369.643199999984,38,10509.118400000003,4,7488.208599999999,4,7829.3411,2,2073.9692000000005,-2793.0400000000004,37.5,0,0,539,539,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
9,512,4,4,41697.4011,0.0,17350.9655,222.10389999999998,3261.6994,,3261.6994,0.0,0.0,0.0,0.0,0.0,0.0025,266.7101,0.0,0.0,1.0,468.6593999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.76009698681768,4.752351543437151,33.51244853025483,10.436824655926051,4.160730778036939,14.59755543396299,2608.873599999988,2650.326300000008,2608.873599999988,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-57.175000000000075,0.0,0,2560.0,539.8394000000003,222.1039,268.85019999999975,0.0,0.0,0.0,0.0,0.0,68,92.3433,2560.0,539.8394000000003,268.85019999999975,268.0,0.0,0.0,0.015,4.127315391621121,4.85396934579437,NaN,NaN,2.5474983281380976,3.072273968995767,1070.0,1098.0,535.0,2048.0,1276.0,204.0,193,0,0,0,60,50.0,2048.0,31051.14279999998,2436.9040999999997,7850.3008,226,542,0,38,0.21052413659071512,0.41167843829824946,0.3892627922325631,0,5486.9217000000235,4531.792299999991,60,0,0.0,0,0,0,0.0,0,0.0,54408.698499999955,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5399415114947561,474,43802.99769999999,38,10605.7008,4,8672.638,4,8093.5004,2,2317.5535,-2994.9893,37.5,0,0,535,535,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
10,512,4,4,43677.05870000009,0.0,16477.4455,196.3751,3458.0744,,3458.0744,0.0,0.0,0.0,0.0,0.0,0.0025,286.8847,0.0,0.0,1.0,463.0851000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.002953948783844,5.028712701594918,34.03166665037876,11.547153201329637,4.493047598797665,16.0402008001273,2607.4480999999982,2608.873599999993,2607.4480999999982,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-64.62402500000007,0.0,0,2560.0,580.3424000000002,196.3751,289.0752,0.0,0.0,0.0,0.0,0.0,70,134.557,2560.0,580.3424000000002,289.0752,268.0,0.0,0.0,0.015,4.081869688385268,4.806385370370367,NaN,NaN,2.5121216072627672,2.9801057499258943,1080.0,1059.0,540.0,2048.0,1286.0,204.0,190,0,0,2,48,39.0,2048.0,32766.42319999998,2525.3999000000003,7963.7939,226,542,0,38,0.21767755960200463,0.4035491279874579,0.3883946999229393,0,5431.483200000006,4322.699999999999,48,0,0.0,0,0,0,0.0,0,0.0,55075.07220000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5415492446241619,474,44382.150600000066,38,10692.9216,4,9831.0288,4,8206.9934,2,2535.1540000000005,-3171.1897,37.5,0,0,540,540,3 + interest on deposits,sumsy,4,-2.9103830456733704e-11
