round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27724.055200000075,0.0,27846.064,0.0,3849.824,,0.0,3849.824,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,3950.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.601798039215685,3.5456392156862746,11.147437254901961,1.0262039215686278,3.395582352941177,4.421786274509804,1200.9799999999973,0.0,1200.9799999999973,0.0,0,0,0.0,0.0,41.692,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.00880000000001,122.00880000000001,0.0,0,3851.0,528.7048000000001,3851.0,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3290.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.7291803278688764,3.920000000000001,320.0,72.0,160.0,2048.0,732.0,204.0,329,0,0,0,43,29.0,2048.0,20705.63200000003,1424.792,3976.512,768,0,0,128,0.03284566300306668,0.23694916770322116,0.07225940650067342,0,5705.632000000019,360.0,43,0,0.0,0,0,0,0.0,0,0.0,29345.632000000103,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,206.0,1617.1192,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.927586900081023,384,15452.46799999998,128,13893.163999999995,4,-6821.048000000001,4,-6369.727999999999,2,120.83280000000143,-3849.824,11.25,0,0,160,160,4 + theatres,debt,2,1.4551915228366852e-10
2,512,4,4,29673.958000000093,0.0,29871.9721,0.0,5762.6187,,0.0,5762.6187,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2370.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.073131568627453,3.4843756862745097,11.557507254901962,1.4324892156862752,3.430593921568627,4.863083137254902,3478.245500000024,1200.9799999999925,3478.245500000024,0.0,0,0,0.0,0.0,310.1181,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,198.01409999999998,261.2362999999999,0.0,0,2688.3763,738.4734999999998,2625.1540999999997,476.45560000000785,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.005625051761555844,4.772392222222217,5.496064666666664,1.850000000000004,1.1306904444444428,3.553729515418481,3.8023999999999996,900.0,1080.0,450.0,2048.0,1362.0,204.0,171,0,0,0,46,39.0,2048.0,21448.430000000004,651.0108,6607.0346,768,0,0,128,0.042660524005284195,0.24093560721991092,0.0963639883783125,0,6263.281599999967,5154.183599999994,46,0,198.0,0,0,0,0.0,0,0.0,30088.430000000135,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,366.3000000000008,256.0,967.4826,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6240320431084718,384,15770.541199999963,128,14317.888799999993,4,-7974.9374,4,-3563.8453999999992,2,196.89690000000033,-5762.6187,11.25,0,0,450,450,4 + theatres,debt,2,1.4551915228366852e-10
3,512,4,4,31972.39119999999,0.0,32225.353400000004,0.0,6584.9807,,0.0,6584.9807,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,1907.2110644444456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.47268327810441,3.5771610738074,16.049844351911812,1.9692990872159737,3.569524627356633,5.538823714572606,4015.7096999999803,3478.24550000004,4015.7096999999803,0.0,0,0,0.0,0.0,308.0638,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,252.96219999999997,410.6019999999999,0.0,0,3178.3026,879.8693999999998,3083.885,1113.6626000000404,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1277.2543999999991,0.0,0.008576528666189312,4.685464587155934,5.446285420560737,1.750968102073353,1.3362289719626177,3.460965648389926,3.6883279999999994,1070.0,1090.0,535.0,2048.0,1532.0,204.0,129,0,0,1,59,47.0,2048.0,21635.224799999993,2264.3373,7022.3308,768,0,0,128,0.06008445049109867,0.31779352602325495,0.11499554091849085,0,6391.8081999999995,5107.156399999968,59,0,627.0,0,0,0,0.0,0,0.0,34660.77871999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1097.8569999999922,256.0,1050.4983,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.358491350029557,384,15498.203100000006,128,19162.575619999978,4,-8159.625,4,-2973.1892000000007,2,251.90379999999993,-6584.9807,16.96035666666664,0,0,535,535,4 + theatres,debt,2,1.4551915228366852e-10
4,512,4,4,32490.609099999958,0.0,32787.87,0.0,7678.4338,,0.0,7678.4338,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,1859.4600984097856,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.089896630774462,3.63222733465368,18.722123965428143,2.457860981343071,3.631915983772189,6.08977696511526,3967.1466000000714,3601.60089999997,4381.255400000067,0.0,0,0,0.0,0.0,287.4433,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,297.26089999999994,577.0918999999999,0.0,4,1569.4057,1051.1878,1861.3233,798.9316999999957,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1240.9778,0.0,0.009762709577536544,4.575556756756721,5.3541458410351375,1.7153032812500029,1.4380430683918664,3.357118993202391,3.5776781599999987,1082.0,1073.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,3,52,47.0,2048.0,21936.005999999976,2592.3354000000004,6832.462399999999,768,0,0,128,0.07793028367664179,0.3535009685207562,0.1226976765637462,0,6308.147699999981,4909.572399999962,52,0,640.0,0,0,0,0.0,0,0.0,37329.363757009334,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1097.794100000002,256.0,1129.8053,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2189596829543217,384,15357.323600000007,128,21972.040157009353,4,-7567.6852,4,-2987.6975999999995,2,296.26130000000114,-7678.4338,20.043434579439264,0,0,541,541,4 + theatres,debt,2,1.4551915228366852e-10
5,512,4,4,32645.971800000003,0.0,32967.8055,0.0,8389.3058,,0.0,8389.3058,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,1806.1320446549203,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.92582402249251,3.7588568253908097,20.68468084788332,3.1578428558119436,3.7588568253908097,6.916699681202753,3894.2971999999063,3917.9880000000508,4357.564599999914,0.0,0,0,0.0,0.0,278.14599999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,321.8336999999999,746.1259,0.0,8,1281.4553,1126.0926,1600.2614999999998,1133.651499999994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1202.1586000000011,0.0,0.01180483011917715,4.4562430188678945,5.3314688432836155,1.6855464062500052,1.571030410447759,3.2352584692906836,3.4703478151999994,1072.0,1060.0,536.0,2044.0,1534.0,204.0,127,0,0,1,56,28.0,2048.0,22270.01490000001,2576.7539,6572.4866999999995,768,0,0,128,0.09985511672489689,0.3748439010938387,0.13709958863577798,0,6136.376200000021,4723.617599999968,56,0,640.0,0,0,0,0.0,0,0.0,38836.27104787425,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1078.7497000000033,256.0,1226.7163,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1683746693673018,384,15191.570100000006,128,23644.700947874295,4,-7319.325000000001,4,-3072.3132999999993,2,320.892900000001,-8389.3058,21.570646025877995,0,0,536,536,4 + theatres,debt,2,1.4551915228366852e-10
6,512,4,4,32791.02980000002,0.0,33125.644400000005,0.0,9078.0812,,0.0,9078.0812,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,1720.2004875807227,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,19.394577112686896,3.8261156108859886,23.22069272357289,3.9819254416444174,3.8261156108859886,7.808041052530406,3840.527000000029,3819.2815999999093,4378.809999999998,0.0,0,0,0.0,0.0,277.105,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,334.61459999999994,915.7919000000002,0.0,12,1328.6322000000002,1183.5741999999998,1710.0301,1073.3728000000156,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1131.9778000000006,0.0,0.012763794456473906,4.353877851083885,5.221861851851878,1.6773610937499992,1.6451622222222202,3.1218163284634044,3.366237380743999,1080.0,1061.0,540.0,2046.6666666666667,1542.0000000000002,204.0,126,0,0,1,44,22.0,2048.0,22555.870200000005,2539.416,6356.207600000001,768,0,0,128,0.12316038835840426,0.39961533472445576,0.14498168799836764,0,5978.830800000027,4619.464400000002,44,0,640.0,0,0,0,0.0,0,0.0,40654.14052835822,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1073.5110999999995,256.0,1339.536,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.121212337786566,384,14930.30829999999,128,25723.83222835819,4,-7092.721199999999,4,-3113.232400000001,2,333.7326000000008,-9078.0812,23.565456156716387,0,0,540,540,4 + theatres,debt,2,1.4551915228366852e-10
7,512,4,4,32915.656299999995,0.0,33256.9988,0.0,9740.3721,,0.0,9740.3721,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,1724.2417854473308,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.230971567044097,3.8174997139257507,25.048471280969846,4.873452897207191,3.8174997139257507,8.690952611132941,3753.1856000000275,3816.4337999999616,4315.5618000000495,0.0,0,0,0.0,0.0,280.39549999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,341.3425,1085.9786000000008,0.0,16,1367.3090000000002,1242.6825000000001,1766.2264,1107.3433000000014,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1149.5299000000002,0.0,0.013079306938435549,4.234400649953595,5.155003932584289,1.701449999999996,1.5952962546816474,3.062962206760144,3.2652502593216797,1068.0,1077.0,534.0,2046.6666666666665,1529.9999999999998,204.0,129,0,0,3,47,31.0,2048.0,22763.512100000014,2503.1423,6167.258400000001,768,0,0,128,0.14545878739828577,0.4165525757332085,0.1443384518241484,0,5857.019400000005,4560.4495000000215,47,0,640.0,0,0,0,0.0,0,0.0,41715.7809,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1088.9279999999974,256.0,1481.7434,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0860160268766108,384,14692.739399999993,128,27023.041499999985,4,-6865.0531999999985,4,-3126.8216,2,340.51930000000067,-9740.372000000001,24.677433333333305,0,0,534,534,4 + theatres,debt,2,1.4551915228366852e-10
8,512,4,4,32947.2492,0.0,33292.1878,0.0,10306.4976,,0.0,10306.4976,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,1674.7380655802006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.01302207695141,3.768018040378523,25.781040117329933,5.89654669941169,3.768018040378523,9.664564739790213,3713.9032000000484,3801.2103000000207,4228.2547000000495,0.0,0,0,0.0,0.0,277.93370000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,344.93860000000006,1256.5539000000008,0.0,20,1334.8564000000001,1303.2635000000005,1682.2287,1157.3149999999932,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1115.7990000000007,0.0,0.013240404364521115,4.139756956115762,5.144455722326407,1.7188943750000039,1.5487028142589105,2.9625419409645377,3.167292751542029,1066.0,1071.0,533.0,2044.0000000000002,1528.0,204.0,128,0,0,2,47,33.0,2048.0,22894.90899999999,2437.6971,5946.9142,768,0,0,128,0.1678543139424029,0.4225467105424314,0.14496739686571924,0,5665.169000000031,4433.679699999981,47,0,640.0,0,0,0,0.0,0,0.0,41272.72185393265,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1100.0924000000025,256.0,1667.7289,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0735233310473966,384,14424.038000000002,128,26848.683853932584,4,-6666.556700000001,4,-3171.805799999999,2,344.1741999999995,-10306.4976,23.929443820224712,0,0,533,533,4 + theatres,debt,2,1.4551915228366852e-10
9,512,4,4,32977.84839999997,0.0,33324.4311,0.0,10869.6774,,0.0,10869.6774,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,1628.0046308481158,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.575532401164196,3.7076480400693073,26.2831804412335,6.721158285295201,3.7076480400693073,10.428806325364507,3706.389899999895,3751.067700000026,4183.576899999878,0.0,0,0,0.0,0.0,294.9377,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,346.58270000000016,1427.0374000000008,0.0,24,1392.1648,1361.5656000000004,1700.5124,1116.3568999999961,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1081.5545000000002,0.0,0.013435178360592995,4.222074789915968,5.131420186915907,1.7425043749999987,1.5110347663551396,2.837853536688855,3.072273968995767,1070.0,1071.0,535.0,2045.3333333333335,1532.0,204.0,128,0,0,0,50,30.0,2048.0,22721.988999999965,2428.5076,5939.0158,768,0,0,128,0.18577782386535358,0.4286120427218536,0.142066060644783,0,5464.124900000007,4521.842100000002,50,0,640.0,0,0,0,0.0,0,0.0,40563.0454202627,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1115.2027999999991,256.0,1888.3359,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0452232121779994,384,14008.499900000008,128,26554.545520262644,4,-6411.8045,4,-3004.3442000000005,2,345.87710000000266,-10869.677300000001,23.23054221388366,0,0,535,535,4 + theatres,debt,2,1.4551915228366852e-10
10,512,4,4,33054.8754,0.0,33401.924000000006,0.0,11478.1068,,0.0,11478.1068,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,1635.4413733992394,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.51465780069594,3.410548579305764,25.925206380001704,7.351546795497344,3.410548579305764,10.762095374803108,3607.415200000009,3717.5901000000385,4073.4020000000182,0.0,0,0,0.0,0.0,245.95839999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,347.0486000000002,1597.413700000001,0.0,28,1499.6517,1422.6246999999998,1795.7280999999998,1081.3570000000077,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1078.1253000000008,0.0,0.013462433675688872,4.163627808988766,5.017843947858476,1.6564272499999928,1.562167225325885,2.8215704897584177,2.9801057499258943,1074.0,1068.0,537.0,2048.0,1536.0,204.0,127,0,0,3,41,36.0,2048.0,23087.652500000004,2433.4106,5871.9107,768,0,0,128,0.20121456634632695,0.43197339610810026,0.14452901151800712,0,5474.98889999997,4446.754500000002,41,0,400.0,0,0,0,0.0,0,0.0,40494.7730084112,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,662.5708999999971,256.0,1661.9015,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0342166104892316,384,13937.1245,128,26557.648508411196,4,-6142.9598,4,-2896.0892999999996,2,346.4018000000001,-11478.1067,22.665521495327095,0,0,537,537,4 + theatres,debt,2,1.4551915228366852e-10
