round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25752.506200000003,0.0,25874.515,0.0,3849.823999999998,,0.0,1878.275,1971.548999999998,0.0,1971.548999999998,0.0,0.00375,0.0,0.0,0.0,1.0,3950.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.601798039215685,3.5456392156862746,11.147437254901961,1.1349941176470584,2.951280392156863,4.086274509803921,1200.9799999999973,0.0,1200.9799999999973,0.0,0,0,0.0,0.0,41.692,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.0088,122.0088,0.0,0,1879.451,528.7048000000001,1879.451,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3290.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.7291803278688764,3.920000000000001,320.0,72.0,160.0,2048.0,732.0,204.0,329,0,0,0,43,29.0,2048.0,18960.803,1424.792,3749.7920000000004,768,0,0,128,0.06010742997919838,0.23694916770322116,0.07225940650067342,0,5705.632000000019,360.0,43,0,0.0,0,0,0,0.0,0,0.0,29345.632000000103,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,206.0,1617.1192,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.927586900081023,384,15452.46799999998,128,13893.163999999995,4,-6821.048000000001,4,-6369.727999999999,2,120.83280000000143,-1878.275,11.25,0,0,160,160,5 + government bonds,debt,2,0.0
2,512,4,4,25705.558199999974,0.0,25893.7146,0.0,5760.1543000000065,,0.0,1784.3612,3975.7931000000067,0.0,2004.2440999999972,7.390924999999992,0.00375,0.0,0.0,0.0,1.0,2370.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.141667254901964,3.4848413725490195,11.626508627450983,1.6234066666666664,2.7566770588235294,4.380083725490196,3465.796300000024,1200.9799999999925,3465.796300000024,0.0,0,0,0.0,0.0,297.6689,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,188.15639999999996,251.3786,0.0,0,583.0903999999999,630.0383999999999,519.8682,476.45560000000785,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.006511161206382917,4.772392222222217,5.496064666666664,NaN,1.1306904444444428,3.553729515418481,3.8023999999999996,900.0,1080.0,450.0,2048.0,1362.0,204.0,171,0,0,0,46,39.0,2048.0,18072.19999999997,651.0108,6381.1648,768,0,0,128,0.0940408320298236,0.2405359923104602,0.0963639883783125,0,6263.281599999967,5154.183599999994,46,0,0.0,0,0,0,0.0,0,0.0,30461.273100000162,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,256.0,601.1826,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6549078936467738,384,16011.959799999964,128,14449.313299999993,4,-7974.9374,4,-3562.9951999999994,2,187.03919999999985,-1784.3612,11.25,0,0,450,450,5 + government bonds,debt,2,0.0
3,512,4,4,27167.324299999986,0.0,27382.747700000004,0.0,6718.901900000008,,0.0,1690.4474,5028.454500000008,0.0,1052.6614000000002,14.906078375000048,0.00375,0.0,0.0,0.0,1.0,2035.3902022222235,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.825054345458433,3.604765103142738,16.42981944860117,1.7825265171338638,2.756880837539435,4.5394073546732985,3947.363499999979,3465.79630000004,3947.363499999979,0.0,0,0,0.0,0.0,267.9176,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,215.42339999999996,368.13430000000017,0.0,0,2059.3958000000002,597.6297,1969.9071000000001,1100.4741000000402,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1405.4335999999992,0.0,0.010176470513889813,4.685464587155934,5.446285420560737,1.6347000000000063,1.3362289719626177,3.4522156576576775,3.6883279999999994,1070.0,1090.0,535.0,2048.0,1480.0,204.0,142,0,0,1,59,47.0,2048.0,17810.019399999997,2263.7774999999997,6797.6029,768,0,0,128,0.08529825917995626,0.3177653262927411,0.1146657264950377,0,6356.0065,5107.156399999968,59,0,289.0,0,0,0,0.0,0,0.0,35637.30781999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,472.4283000000018,204.0,295.9245,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,142,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4050127571824478,384,16131.805400000001,128,19505.50241999998,4,-8160.184800000001,4,-2971.1971000000003,2,214.36499999999967,-1690.4474,16.96035666666664,0,0,535,535,5 + government bonds,debt,2,0.0
4,512,4,4,26743.755200000018,0.0,26976.109200000003,0.0,7913.370700000005,,0.0,1596.5336,6316.837100000005,0.0,1288.3826,18.85254800000004,0.00375,0.0,0.0,0.0,1.0,1847.6392361875633,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.52014337468948,3.7546558159825056,19.274799190671985,1.6616382247697954,2.814977303796936,4.4766155285667315,3910.9895000000547,3485.963799999976,4372.389199999994,0.0,0,0,0.0,0.0,234.8545,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,232.35399999999998,488.4867000000001,0.0,6,230.05759999999998,653.6267,598.0074,680.4791999999884,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1229.1569999999997,9.971900000000002,0.009967224368300207,4.573455172413814,5.3533458410351455,1.688255000000002,1.4380430683918664,3.331539265223188,3.5776781599999987,1082.0,1073.0,541.0,2046.6666666666667,1544.0,204.0,124,0,0,3,52,47.0,2048.0,17547.485699999994,2587.9010000000003,6608.3685000000005,768,0,0,128,0.07913184691459385,0.3512597912915356,0.12133778550040186,0,6252.810799999995,4907.317400000023,52,0,200.0,0,0,0,0.0,0,0.0,39030.96055700934,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,337.6510000000004,256.0,0.0,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,124,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2877043119294822,384,16451.8809,128,22579.07965700934,4,-7572.1196,4,-2985.0715,2,231.35439999999755,-1596.5336,20.043434579439264,0,0,541,541,5 + government bonds,debt,2,0.0
5,512,4,4,26206.690100000007,0.0,26442.834900000005,0.0,8811.400200000007,,0.0,1502.6198,7308.780400000007,0.0,991.9432999999999,23.682528500000036,0.00375,0.0,0.0,0.0,1.0,1801.7939473485883,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.645073362401437,3.765334646670967,21.410408009072405,1.7494163929363773,2.8450442526309425,4.594460645567319,3832.2329000000595,3724.0376000000556,4480.584500000047,0.0,0,0,0.0,0.0,226.60219999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.14479999999998,605.6814,0.0,15,113.4039,650.469,995.5188999999999,935.4344999999714,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,1198.0959999999982,347.16719999999924,0.011825659888326956,4.450004150943424,5.328788805970178,1.6544101010101018,1.5709298507462675,3.175391405535849,3.4703478151999994,1072.0,1060.0,536.0,2044.0,1533.9999999999998,204.0,127,0,0,1,56,28.0,2048.0,17250.8164,2572.1096,6383.7641,768,0,0,128,0.07470190840594837,0.37282163800114465,0.15887733359348677,0,5717.013699999998,4717.004400000029,56,0,198.0,0,0,0,0.0,0,0.0,40899.132947874285,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,327.57320000000016,256.0,0.0,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2358688413594534,384,16519.441599999987,128,24379.691347874286,4,-7323.969300000001,4,-3034.315899999999,2,235.204,-1502.6198,21.570646025877995,0,0,536,536,5 + government bonds,debt,2,0.0
6,512,4,4,27244.910999999967,0.0,24827.066000000003,0.0,12256.837700000007,,0.0,2988.055,9268.782700000007,0.0,1960.0023000000015,27.40192325000004,0.00375,0.0,0.0,0.0,1.0,1713.087275026482,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.326130915071644,3.7797922442172647,24.10592315928891,1.4989054094935033,2.8498228539232207,4.3487282634167235,3761.9328000000446,3632.564700000019,4367.9465000000155,0.0,1,0,242.00610000000157,2579.3385,210.6391,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,243.99859999999998,719.7187000000002,2701.7983000000004,26,1685.5325,647.3116,3192.3780000000006,881.908700000007,0.0,0.0,0.0,0.0,0.0,3,2569.0127,0.0,0.0,0.0,0.0,1125.6838999999993,404.1776000000005,0.01187588926973545,4.339298963242265,5.212022777777761,1.610716447368417,1.6304777777777764,3.0708031439199432,3.3662373807439994,1080.0,1061.0,540.0,2046.6666666666667,1542.0,204.0,125,0,0,1,44,22.0,2048.0,15968.096399999979,2533.9913000000006,6173.8106,768,0,0,128,0.05695208491046233,0.3955453992216922,0.17509629596815057,0,5499.549600000004,4603.996200000043,44,0,152.0,0,0,0,0.0,0,0.0,43107.27098059702,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,244.82889999999938,128.0,0.0,1,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978163908679039,384,16488.63930000001,128,26618.631680597,4,-7098.1458999999995,4,-3068.9094000000005,2,150.28570000000107,-2988.055,23.56394776119401,0,1,540,540,5 + government bonds,debt,2,0.0
7,512,4,4,29376.139399999975,0.0,24301.0908,0.0,16074.665400000013,,0.0,5637.9921,10436.673300000011,0.0,1167.8906000000002,34.747951125000036,0.00375,0.0,0.0,0.0,1.0,2001.794081444597,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.200364266922808,3.8468857288480844,26.047249995770894,1.5474174330058061,2.8566148558455255,4.404032288851331,3610.9798999999703,3633.4323999999947,4100.718699999961,0.0,2,0,486.781400000006,5268.7332,210.78680000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,323.34680000000003,838.4946000000002,5479.7197,33,2862.246,731.0176000000001,4083.6459,923.0589000000017,0.0,0.0,0.0,0.0,0.0,0,5176.4464,0.0,0.0,0.0,0.0,1429.007599999999,163.38529999999994,0.01115769844110532,4.221370380687093,5.1393584269663,1.5771892473118276,1.595815730337078,3.005656250462205,3.2652502593216792,1068.0,1077.0,534.0,2046.6666666666665,1401.9999999999998,204.0,161,0,0,3,47,31.0,2048.0,15712.841200000006,2494.0643,5992.7875,768,0,0,128,0.05366227144263225,0.40586712086685695,0.1523389490220015,0,5571.82210000002,4546.415899999999,47,0,93.0,0,0,0,0.0,0,0.0,44705.89849999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,146.67859999999996,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8149888988373923,384,16697.8357,128,28008.062799999985,4,-6874.1312,4,-3074.5724999999998,2,100.57459999999992,-5637.9921,24.457166666666645,0,2,534,534,5 + government bonds,debt,2,0.0
8,512,4,4,29023.25979999999,0.0,24077.5493,0.0,17416.555400000012,,0.0,5853.8111,11562.744300000011,0.0,1126.0710000000004,39.12495862500001,0.00375,0.0,0.0,0.0,1.0,2237.829632930245,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.296269809747866,3.966820979472955,27.263090789220822,1.652819837321811,2.932009495267535,4.584829332589346,3503.6201000000465,3600.394200000005,4003.9446000000507,0.0,2,0,486.781400000006,5268.7332,208.14530000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,452.68489999999997,967.8327000000002,5479.7197,37,529.8411,882.7206999999999,1030.1656,963.2629999999847,0.0,0.0,0.0,0.0,0.0,0,5018.3706999999995,0.0,0.0,0.0,0.0,1680.6045000000001,0.0,0.011781207334477812,4.122899439775901,5.109367166979387,NaN,1.5472626641651035,2.912752770113238,3.167292751542029,1066.0,1071.0,533.0,2044.0000000000002,1272.0000000000002,204.0,193,0,0,2,47,33.0,2048.0,15740.280999999992,2425.8,5838.8081,768,0,0,128,0.054956142683578735,0.40669458622809307,0.14427187613262515,0,5530.848699999976,4415.625299999991,47,0,0.0,0,0,0,0.0,0,0.0,45460.1025134831,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.798034879777809,384,17059.55920000002,128,28400.54331348314,4,-6678.453799999999,4,-3053.1918999999994,2,71.89580000000069,-5853.8111,23.937235955056167,0,2,533,533,5 + government bonds,debt,2,0.0
9,512,4,4,28522.098600000005,0.0,23704.117000000002,0.0,18746.677800000005,,0.0,5919.7393,12826.938500000004,0.0,1264.1941999999995,43.344842625000084,0.00375,0.0,0.0,0.0,1.0,2183.660014871783,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.237413588838123,4.004952322381167,28.242365911219288,1.7726276842376134,2.9289360557835438,4.701563740021157,3479.780799999994,3534.4086000000348,3949.3167999999796,0.0,2,0,486.781400000006,5268.7332,203.48379999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,580.4138,1095.5616000000002,5479.7197,41,406.4424,907.6035999999999,875.9784,926.1651000000053,0.0,0.0,0.0,0.0,0.0,0,4795.5535,0.0,0.0,0.0,0.0,1639.4371999999996,0.0,0.015,4.027886647992526,5.077143551401879,NaN,1.5091657943925232,2.8943360444491417,3.072273968995767,1070.0,1071.0,535.0,2045.3333333333335,1276.0,204.0,192,0,0,0,50,30.0,2048.0,15669.667699999996,2406.4867999999997,5650.390600000001,768,0,0,128,0.05618184846951535,0.40663312550118524,0.15255464370160943,0,5464.937499999975,4313.866599999996,50,0,0.0,0,0,0,0.0,0,0.0,46094.35209118198,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7840833468446333,384,17471.411399999994,128,28622.940691182004,4,-6433.8253,4,-3066.2494,2,-23.133699999999408,-5919.7393,23.208939962476553,0,2,535,535,5 + government bonds,debt,2,0.0
10,512,4,4,28011.304000000026,0.0,23318.692900000002,0.0,20020.296599999994,,0.0,5973.6757,14046.620899999996,0.0,1219.6823999999986,48.082982625000085,0.00375,0.0,0.0,0.0,1.0,2134.370935087888,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.44812470806301,4.090385177881954,29.538509885944965,1.915789352410668,2.852881751141774,4.768671103552442,3482.1096999999104,3531.9571999999966,3899.469299999914,0.0,2,0,486.781400000006,5268.7332,215.6274,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,705.7842999999998,1220.9321000000007,5479.7197,45,414.7727,925.5672999999997,832.1323,938.4518000000046,0.0,0.0,0.0,0.0,0.0,0,4508.742200000001,0.0,0.0,0.0,0.0,1602.6906999999994,0.0,0.015,4.127930805243439,5.057582681564234,NaN,1.4890575418994418,2.8822233886992388,2.9801057499258943,1074.0,1068.0,537.0,2048.0,1280.0,204.0,192,0,0,3,41,36.0,2048.0,15506.838999999989,2401.2768,5594.446,768,0,0,128,0.05755621038501957,0.41059586283747707,0.15981693005547437,0,5418.232800000003,4408.630099999993,41,0,0.0,0,0,0,0.0,0,0.0,46712.32985140181,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7724749615290885,384,17641.2165,128,29071.11335140187,4,-6175.0936,4,-2946.834,2,-184.51570000000038,-5973.6757,22.63748691588785,0,2,537,537,5 + government bonds,debt,2,0.0
