round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26726.489100000053,0.0,1911.0,560.9999999999999,560.9999999999999,,560.9999999999999,0.0,0.0,0.0,0.0,0.0,0.0025,116.0069,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.18176823529412,2.88628431372549,27.068052549019608,2.1295203921568637,2.813941176470588,4.943461568627452,847.000000000002,0.0,847.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,235.27090000000015,561.0,117.09260000000006,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,235.27090000000015,117.09260000000006,271.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.5939344262295285,3.920000000000001,320.0,71.0,160.0,2048.0,732.0,204.0,329,0,0,0,42,29.0,2048.0,18892.192199999987,1475.758,3789.9839999999995,732,36,0,122,0.10748672892481292,0.48122693866000654,0.6571416327980437,0,5208.714799999997,355.0,42,0,514.0,0,0,0,0.0,0,0.0,47692.19220000017,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0,206.0,2452.548,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5292606563032043,390,15668.099200000002,122,32024.09300000001,4,1475.7579999999998,4,3988.1839999999993,2,248.16,-444.9930999999999,37.5,0,0,160,160,5 + government bonds,sumsy,1,8.731149137020111e-11
2,512,4,4,29002.356299999996,0.0,17907.9079,576.9078999999999,1005.9931,,1005.9931,0.0,0.0,0.0,0.0,0.0,0.0025,139.8684,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.201226666666663,2.664442745098039,26.865669411764703,2.121982156862746,2.594101960784313,4.716084117647059,2481.2094000000084,847.0000000000022,2481.2094000000084,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,284.13280000000066,576.9079,141.33020000000033,0.0,0.0,0.0,0.0,0.0,5,0.0,2560.0,284.13280000000066,141.33020000000033,271.0,0.0,0.0,0.008472370766488413,4.752319945105195,5.4926712694877695,2.010879940119757,NaN,3.4439228951255236,3.8023999999999996,898.0,1093.0,449.0,2048.0,1354.0,204.0,173,0,0,3,59,42.0,2048.0,19732.30059999998,741.5652,6348.259,319,449,0,54,0.08114017391077843,0.4660911527804963,0.3589611058687687,0,7128.651899999978,5194.2856999999785,59,0,334.0,0,0,0,0.0,0,0.0,48651.71969999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,671.6338999999988,250.0,2040.3631,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5304917849779265,458,34339.58909999997,54,14312.1306,4,677.1504000000004,4,6546.459,2,512.234,-866.1247000000001,37.5,0,0,449,449,5 + government bonds,sumsy,1,8.731149137020111e-11
3,512,4,4,31235.130299999993,0.0,21938.961000000003,1504.5238,1399.3348000000003,,1399.3348000000003,0.0,0.0,0.0,0.0,0.0,0.0025,161.011,0.0,0.0,1.0,533.2101000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.604972100663062,3.073920546240762,28.678892646903826,2.764683551629624,3.007350995458009,5.7720345470876335,2897.6280000000015,2481.2093999999997,2897.6280000000015,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.3192249999999996,0.0,0,2560.0,327.22600000000057,1504.5238,162.74530000000007,0.0,0.0,0.0,0.0,0.0,20,15.3934,2560.0,327.22600000000057,162.74530000000007,271.0,0.0,0.0,0.00799158756536355,4.660216448598124,5.348103896103899,1.9665740624999928,NaN,3.3042419682948685,3.6883279999999994,1078.0,1070.0,539.0,2044.0000000000002,1540.0000000000002,204.0,126,0,0,1,56,33.0,2048.0,20946.3559,1570.4861999999998,6825.258699999999,229,539,0,39,0.10495566930234768,0.46159649432327954,0.27967414901637966,0,7531.860700000012,4986.431599999993,56,0,640.0,0,0,0,0.0,0,0.0,49624.2061,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1258.6073999999953,256.0,1716.6251,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5340915257705992,473,39146.85349999996,39,10477.352599999997,4,1243.3599999999988,4,7023.4586,2,777.5074,-1238.3238000000003,37.5,0,0,539,539,5 + government bonds,sumsy,1,8.731149137020111e-11
4,512,4,4,33422.300299999995,0.0,21476.211100000004,535.03,1761.2013000000002,,1761.2013000000002,0.0,0.0,0.0,0.0,0.0,0.0025,183.7211,0.0,0.0,1.0,522.8774999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.28191713839034,3.227832274474837,29.509749412865176,4.064231614243023,3.008483504654169,7.072715118897192,2859.40250000002,2897.627999999986,2859.40250000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.684425000000005,0.0,0,2560.0,372.8300000000004,535.03,185.5161000000003,0.0,0.0,0.0,0.0,0.0,40,14.698699999999999,2560.0,372.8300000000004,185.5161000000003,271.0,0.0,0.0,0.002972434002041044,4.5150476540938556,5.257675600739409,1.9833454687499952,NaN,3.10330899322067,3.5776781599999987,1082.0,1087.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,1,55,42.0,2048.0,22568.602600000024,1767.5467,6923.7173999999995,227,541,0,38,0.12870150942852376,0.4561479880214834,0.27894753936098526,0,7200.47489999999,4907.856800000021,55,0,640.0,0,0,0,0.0,0,0.0,50312.862500000054,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1269.341099999997,256.0,1964.0138,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413256070882488,474,40039.33550000003,38,10273.527,4,2340.0368999999982,4,7121.9173,2,1044.4871,-1577.4802000000002,37.5,0,0,541,541,5 + government bonds,sumsy,1,8.731149137020111e-11
5,512,4,4,35567.431899999996,0.0,20713.890000000003,322.8671,2084.0683000000004,,2084.0683000000004,0.0,0.0,0.0,0.0,0.0,0.0025,204.6966,0.0,0.0,1.0,506.58810000000057,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.89062817243412,3.6612070959684053,30.551835268402527,5.07720587396301,3.490255433639673,8.567461307602683,2783.2093000000123,2859.4025000000033,2783.2093000000123,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-27.159050000000008,0.0,0,2560.0,414.8683999999998,322.8671,206.52129999999994,0.0,0.0,0.0,0.0,0.0,45,15.628,2560.0,414.8683999999998,206.52129999999994,271.0,0.0,0.0,0.008107834642917217,4.388824084249085,5.135824304267184,2.001572656250002,NaN,2.978397844235491,3.4703478151999994,1078.0,1092.0,539.0,2046.6666666666667,1540.0000000000002,204.0,126,0,0,2,62,50.0,2048.0,24135.185400000013,1829.5799,7004.7415,227,541,0,38,0.14291045150115633,0.44794491141159853,0.27443750658318633,0,6965.184599999999,4792.5959,62,0,640.0,0,0,0,0.0,0,0.0,50854.7217999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1281.006500000001,256.0,2377.6005,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5465967649936732,474,40522.71099999997,38,10332.010800000004,4,3487.2581999999984,4,7202.9412999999995,2,1312.2033000000001,-1879.3717000000004,37.5,0,0,539,539,5 + government bonds,sumsy,1,8.731149137020111e-11
6,512,4,4,37669.666800000035,0.0,19916.4307,287.7288,2371.7971000000002,,2371.7971000000002,0.0,0.0,0.0,0.0,0.0,0.0025,226.0891,0.0,0.0,1.0,492.4253999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.309567873963545,3.9809745670890577,31.2905424410526,6.134381121463776,3.8017977591102925,9.936178880574069,2731.7931999999855,2783.209300000007,2731.7931999999855,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.92585000000002,0.0,0,2560.0,457.7650999999998,287.7288,227.9516,0.0,0.0,0.0,0.0,0.0,48,287.976,2560.0,457.7650999999998,227.9516,271.0,0.0,0.0,0.01303259677412161,4.2786175071360715,5.031098518518491,2.045236718750001,NaN,2.9157384969213624,3.366237380743999,1080.0,1051.0,540.0,2045.3333333333333,1541.9999999999998,204.0,126,0,0,2,51,28.0,2048.0,25826.83130000001,1841.573,6903.726,227,541,0,38,0.15391816772186884,0.4366104192499618,0.2739194117414645,0,6839.686100000004,4496.827000000011,51,0,640.0,0,0,0,0.0,0,0.0,51521.644199999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1308.9515000000006,256.0,2583.4714,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475551807210264,474,41143.346800000036,38,10378.297400000001,4,4584.439399999999,4,7101.9258,2,1571.4423000000002,-2145.708,37.5,0,0,540,540,5 + government bonds,sumsy,1,8.731149137020111e-11
7,512,4,4,39729.665799999995,0.0,19085.2165,253.9739,2625.7709,,2625.7709,0.0,0.0,0.0,0.0,0.0,0.0025,247.1405,0.0,0.0,1.0,480.0629000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.44213520935062,3.9277509825588166,32.36988619190944,7.692138540675658,3.7665416807163243,11.458680221391981,2696.625600000005,2731.793199999981,2696.625600000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-51.98457500000002,0.0,0,2560.0,500.00100000000003,253.9739,249.04880000000023,0.0,0.0,0.0,0.0,0.0,49,421.56269999999995,2560.0,500.00100000000003,249.04880000000023,271.0,0.0,0.0,0.015,4.171095840867992,4.984434200743504,2.0948007812499965,NaN,2.9459808740576445,3.2652502593216797,1076.0,1106.0,538.0,2045.3333333333333,1538.0,204.0,126,0,0,1,63,48.0,2048.0,27357.782700000003,1853.5506,6980.238,227,541,0,38,0.18046442126577467,0.43405063952552947,0.2982266954169037,0,6842.822500000014,4613.232,63,0,640.0,0,0,0,0.0,0,0.0,52027.87219999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1340.6724999999976,256.0,2869.3913000000002,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5554462327234684,474,41566.040000000015,38,10461.832199999997,4,5681.605000000002,4,7178.4377,2,1691.9199999999998,-2378.6304,37.5,0,0,538,538,5 + government bonds,sumsy,1,8.731149137020111e-11
8,512,4,4,41748.98389999996,0.0,18333.3844,220.8559,2846.6268,,2846.6268,0.0,0.0,0.0,0.0,0.0,0.0025,267.4808,0.0,0.0,1.0,467.9964,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.10664076470364,4.1545049302171,33.26114569492074,9.133956705152384,4.064808277920692,13.198764983073076,2678.797999999982,2696.6255999999967,2678.797999999982,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-63.33527500000005,0.0,0,2560.0,540.6819000000005,220.8559,269.3877000000003,0.0,0.0,0.0,0.0,0.0,50,486.1305,2560.0,540.6819000000005,269.3877000000003,271.0,0.0,0.0,0.015,4.084272659176021,4.896687499999967,2.1444925000000032,NaN,2.873826937642207,3.167292751542029,1088.0,1068.0,544.0,2046.6666666666667,1550.0,204.0,124,0,0,2,53,41.0,2048.0,28982.38369999998,1901.557,6860.787,224,544,0,38,0.2032542010529892,0.43033415295349076,0.3018915692311068,0,6733.3699000000015,4362.00319999999,53,0,640.0,0,0,0,0.0,0,0.0,52627.749800000034,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1372.4752000000021,256.0,3250.6449000000002,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,124,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5609559720280617,474,42134.663899999985,38,10493.085899999998,4,6814.7994,4,7058.9867,2,1743.3788,-2579.146,37.5,0,0,544,544,5 + government bonds,sumsy,1,8.731149137020111e-11
9,512,4,4,43727.8589,0.0,17433.346,190.7747,3037.4014,,3037.4014,0.0,0.0,0.0,0.0,0.0,0.0025,287.6795,0.0,0.0,1.0,458.2554000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.847182723969915,4.31193197711386,34.15911470108377,10.938631107404449,4.2511625230838455,15.189793630488294,2615.0949000000087,2678.798000000009,2615.0949000000087,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-73.97770000000004,0.0,0,2560.0,581.1250000000002,190.7747,289.60120000000023,0.0,0.0,0.0,0.0,0.0,51,517.3945,2560.0,581.1250000000002,289.60120000000023,271.0,0.0,0.0,0.015,3.9978320334261594,4.8509233208955385,2.1943443750000005,NaN,2.7941497994520783,3.072273968995767,1072.0,1077.0,536.0,2045.3333333333335,1534.0,204.0,127,0,0,1,58,37.0,2048.0,30424.33129999999,1976.3540999999998,6826.417600000001,224,544,0,38,0.2244110519142386,0.4278256304652357,0.31107852379854717,0,6535.390499999991,4305.665099999974,58,0,640.0,0,0,0,0.0,0,0.0,53039.349,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1404.3804000000002,256.0,3695.6819,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5681296877848026,474,42532.21179999998,38,10507.1372,4,7980.409499999999,4,7024.617200000001,2,1761.5338000000002,-2749.7219,37.5,0,0,536,536,5 + government bonds,sumsy,1,8.731149137020111e-11
10,512,4,4,45666.74489999999,0.0,16503.408600000002,160.8758,3198.2771,,3198.2771,0.0,0.0,0.0,0.0,0.0,0.0025,307.6783,0.0,0.0,1.0,448.55520000000035,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,30.971097595693497,4.249241043332613,35.22033863902611,12.97839790870221,4.125388867468661,17.10378677617087,2581.0959000000057,2615.094899999996,2581.0959000000057,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-83.91192500000004,0.0,0,2560.0,621.1139999999997,160.8758,309.59810000000004,0.0,0.0,0.0,0.0,0.0,52,532.3067000000001,2560.0,621.1139999999997,309.59810000000004,271.0,0.0,0.0,0.015,3.937097287184278,4.743245656192247,2.244636406250001,NaN,2.749708195693242,2.9801057499258943,1082.0,1069.0,541.0,2046.6666666666665,1543.9999999999998,204.0,125,0,0,1,44,39.0,2048.0,31845.871500000037,2001.8186999999998,6777.0351,224,544,0,38,0.24855697102119767,0.42839790791209786,0.3093038488753552,0,6464.976100000004,4208.756999999993,44,0,640.0,0,0,0,0.0,0,0.0,53430.540699999925,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1436.5673000000006,256.0,4202.0346,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5768375226200284,474,42779.398599999964,38,10651.142100000005,4,9096.6872,4,6975.2346,2,1763.337,-2890.5987999999998,37.5,0,0,541,541,5 + government bonds,sumsy,1,8.731149137020111e-11
