round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,113486.6095000003,0.0,2579.8501,757.3501,757.3501,,757.3501,0.0,0.0,0.0,0.0,0.0,0.0025,999.7019,0.0,0.0,1.0,757.3500000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.849251997095138,13.763581989832971,37.61283398692811,10.37360885984023,6.7072617283950615,17.080870588235292,1141.199999999998,0.0,1141.199999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,2004.8688999999965,757.3501,1001.5304999999989,0.0,0.0,0.0,0.0,0.0,0,238.0534,2560.0,2004.8688999999965,1001.5304999999989,274.0,0.0,0.0,0.0,6.75,7.019999999999987,2.700000000000026,1.0124999999999997,4.853010899182519,5.292000000000001,320.0,99.0,160.0,2048.0,734.0,204.0,328,0,0,0,60,39.0,2048.0,97402.68410000028,968.7024,7662.5365,643,125,0,113,0.08362108077315833,0.1940312279170946,0.6613359232813287,1,4465.522500000001,668.25,60,0,520.0,0,0,0,0.0,0,0.0,131777.05910000057,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1404.0000000000134,208.0,6214.9312,4,566.0779999999999,566.0783999999998,NaN,5120.0,100.0,0.31497062337239584,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,9319.4944,0.0,2057.4576,0.0,2057.4576,0.0,566.0779999999999,5105.9232999999995,14846.1701,0.21407574486968572,399,81121.66050000007,113,50655.39860000001,4,0.0,4,757.3500999999999,2,238.0534,242.35180000000003,50.62500000000001,0,0,160,160,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
2,512,4,4,114030.34469999999,0.0,20496.431899999996,1238.0725,719.4826,,719.4826,0.0,0.0,0.0,0.0,0.0,0.0025,1210.0303,0.0,0.0,1.0,757.3500000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.987701379811174,13.219059694989106,37.206761074800276,9.56201278140886,6.988261437908496,16.550274219317355,3415.139800000011,1141.199999999998,3415.139800000011,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.5735,0.0,48,2560.0,2016.2648000000022,1238.0725,1004.7451000000004,0.0,0.0,0.0,0.0,0.0,0,390.8124,2560.0,2016.2648000000022,1004.7451000000004,274.0,0.0,0.0,0.015,6.48717608695654,7.433566301969389,2.793749375000014,NaN,4.727223691860553,5.13324,914.0,1058.0,457.0,2048.0,1376.0,204.0,168,0,0,1,48,26.0,2048.0,95356.80289999995,1001.1108,10885.826,311,457,0,54,0.07597901625064263,0.19698169910051067,0.35856459473532043,0,7415.240300000046,6863.432300000019,48,0,640.0,0,0,0,0.0,0,0.0,129640.05469999989,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1787.999600000009,256.0,5185.7623,4,179.89280000000002,179.89240000000004,NaN,5120.0,100.0,0.3325419075520832,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,9319.4944,0.0,12432.57658555845,0.0,12432.57658555845,0.0,179.89280000000002,5290.774000000001,17072.699099999998,0.20955022990152572,458,104195.88499999992,54,25444.169700000006,4,0.0,4,719.4826000000003,2,390.8124,490.54769999999985,50.624999999999986,0,0,457,457,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
3,512,4,4,114562.75639999991,0.0,25028.826099999984,1513.6801,681.6151,,681.6151,0.0,0.0,0.0,0.0,0.0,0.0025,1447.2733,0.0,0.0,1.0,727.8617999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.449845087840654,13.163316339152155,38.613161426992804,9.58480165251724,7.739401266519955,17.324202919037194,3913.780699999982,3415.1397999999876,3913.780699999982,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-27.149100000000004,0.0,48,2560.0,2027.5883000000006,1513.6801,1007.7878999999997,0.0,0.0,0.0,0.0,0.0,0,471.0867,2560.0,2027.5883000000006,1007.7878999999997,274.0,0.0,0.0,0.015,6.383887170154671,7.2547126629422385,2.876263750000001,NaN,4.6404899459351965,4.979242800000001,1074.0,1099.0,537.0,2046.6666666666665,1536.0,204.0,126,0,0,1,57,45.0,2048.0,94485.08949999997,2343.6479,11640.3912,231,537,0,41,0.0804039147845681,0.20381591009203714,0.2953106812941251,0,8056.34710000004,7015.891999999983,57,0,640.0,0,0,0,0.0,0,0.0,127842.82649999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1840.8088000000007,256.0,4175.2678,4,74.87700000000001,74.87719999999999,NaN,5120.0,100.0,0.3417597802734378,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,9319.4944,0.0,14853.688447647386,0.0,14853.688447647386,0.0,74.87700000000001,5659.488099999999,18159.306900000003,0.22285075817054367,471,108971.12009999993,41,18871.706399999995,4,0.0,4,681.6151,2,471.0867,765.6582000000001,50.625,0,0,537,537,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
4,512,4,4,115084.49869999992,0.0,23933.483299999938,62.248099999999994,643.7476,,643.7476,0.0,0.0,0.0,0.0,0.0,0.0025,1693.5736,0.0,0.0,1.0,716.2745999999993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.904887725036364,13.147055605904397,39.05194333094076,9.48828105381552,8.745236937043218,18.233517990858736,3887.030899999988,3913.780699999979,3887.030899999988,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-60.86370000000002,0.0,48,2560.0,2038.2576999999994,62.248099999999994,1010.6276999999997,0.0,0.0,0.0,0.0,0.0,0,516.6834,2560.0,2038.2576999999994,1010.6276999999997,274.0,0.0,0.0,0.015,6.19232639545888,7.164872037037014,2.945453749999999,NaN,4.477667860240893,4.829865515999999,1080.0,1057.0,540.0,2046.6666666666667,1542.0,204.0,126,0,0,1,45,34.0,2048.0,94101.62379999996,2571.5771,11474.182499999999,228,540,0,40,0.08226828706850164,0.21004877561151192,0.3041524368909774,0,7841.027700000024,6545.289000000036,45,0,640.0,0,0,0,0.0,0,0.0,126331.04779999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1885.0903999999994,256.0,4726.858300000001,4,145.4616,145.4616,NaN,5120.0,100.0,0.37142549153645943,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,9319.4944,0.0,14382.312338796466,0.0,14382.312338796466,0.0,145.4616,6161.985500000002,18772.6179,0.22840904372265336,472,108048.04209999995,40,18283.00570000001,4,0.0,4,643.7476000000001,2,516.6834,1049.826,50.62500000000001,0,0,540,540,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
5,512,4,4,115595.75070000003,0.0,22613.311400000035,0.0,605.8801,,605.8801,0.0,0.0,0.0,0.0,0.0,0.0025,1958.132,0.0,0.0,1.0,694.7781000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.45195500931731,13.298802458246957,39.75075746756426,9.607845563487238,9.820004257724731,19.42784982121197,3746.361000000015,3887.030899999997,3746.361000000015,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-93.4459,0.0,48,2560.0,2048.7479999999987,0.0,1013.1718999999988,0.0,0.0,0.0,0.0,0.0,0,538.1224,2560.0,2048.7479999999987,1013.1718999999988,274.0,0.0,0.0,0.015,6.0337285847299125,6.981949438202275,3.0383275000000003,NaN,4.273847181854296,4.684969550520001,1068.0,1074.0,534.0,2046.6666666666667,1530.0,204.0,129,0,0,0,50,34.0,2048.0,93474.54850000009,2865.6653,11427.8504,228,540,0,40,0.08273413220412862,0.21448536035057053,0.3087742504882127,0,7488.376200000001,6480.224499999926,50,0,640.0,0,0,0,0.0,0,0.0,124561.76820000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1944.5296,256.0,5331.4321,4,228.60819999999998,228.60840000000005,NaN,5120.0,100.0,0.4061688883463536,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,9319.4944,0.0,13153.08212754512,0.0,13153.08212754512,0.0,228.60819999999998,6694.071199999999,19624.9478,0.23190332019655968,472,106433.82120000003,40,18127.947,4,0.0,4,605.8800999999999,2,538.1224,1352.2519000000002,50.62500000000001,0,0,534,534,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
6,512,4,4,116096.71660000006,0.0,21293.139500000005,0.0,568.0126,,568.0126,0.0,0.0,0.0,0.0,0.0,0.0025,2236.6971,0.0,0.0,1.0,676.9841999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.253711649505487,13.047259491958652,40.30097114146414,9.9123452671959,10.703210746152875,20.615556013348776,3728.8415999999906,3746.3609999999944,3728.8415999999906,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-124.24229999999996,0.0,48,2560.0,2059.0341000000003,0.0,1015.4644000000001,0.0,0.0,0.0,0.0,0.0,0,547.3386,2560.0,2059.0341000000003,1015.4644000000001,274.0,0.0,0.0,0.015,5.868510907424375,6.9103195530726085,3.1202096875000023,NaN,4.155359210421039,4.544420464004401,1074.0,1091.0,537.0,2048.0,1536.0,204.0,128,0,0,0,56,45.0,2048.0,92820.23720000003,3040.2997,11542.746500000001,228,540,0,40,0.0827428778771957,0.21947643980700948,0.3039009148549128,0,7345.513799999999,6402.545399999994,56,0,640.0,0,0,0,0.0,0,0.0,122765.25260000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1996.9342000000015,256.0,5909.3975,4,312.2053,312.20520000000005,NaN,5120.0,100.0,0.4411591276041667,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,9319.4944,0.0,12066.347464878407,0.0,12066.347464878407,0.0,312.2053,7277.1217,20492.4437,0.23589499390807145,472,104767.15100000001,40,17998.1016,4,0.0,4,568.0126,2,547.3386,1668.6844999999998,50.62500000000001,0,0,537,537,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
7,512,4,4,116587.65040000017,0.0,19973.00080000003,0.0,530.1451,,530.1451,0.0,0.0,0.0,0.0,0.0,0.0025,2529.5179,0.0,0.0,1.0,658.4457000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.03403433507717,13.064228700752219,41.09826303582939,10.777163569853913,11.021962951809526,21.79912652166344,3661.383300000017,3728.8415999999847,3661.383300000017,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-153.25329999999997,0.0,48,2560.0,2069.0662000000007,0.0,1017.5061000000005,0.0,0.0,0.0,0.0,0.0,0,550.7547999999999,2560.0,2069.0662000000007,1017.5061000000005,274.0,0.0,0.0,0.015,5.73910864661648,6.747006111111142,3.246263281249999,NaN,4.067268951889072,4.408087850084269,1080.0,1064.0,540.0,2048.0,1542.0,204.0,126,0,0,0,47,38.0,2048.0,92363.49720000007,3233.3293,11400.7862,228,540,0,40,0.0909783031731135,0.2254469619666537,0.3043154689225873,0,7244.025600000009,6106.411599999935,47,0,640.0,0,0,0,0.0,0,0.0,121166.34150000021,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2077.6084999999994,256.0,6509.764999999999,4,391.08680000000004,391.0868,NaN,5120.0,100.0,0.4726322395833329,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,9319.4944,0.0,11664.216017741792,0.0,11664.216017741792,0.0,391.08680000000004,7891.841699999999,21143.8805,0.24075545030979395,472,103402.90710000016,40,17763.434400000002,4,0.0,4,530.1450999999997,2,550.7547999999999,1999.3727999999999,50.62500000000001,0,0,540,540,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
8,512,4,4,117068.67969999996,0.0,18652.862099999984,0.0,492.2776,,492.2776,0.0,0.0,0.0,0.0,0.0,0.0025,2832.0932,0.0,0.0,1.0,643.9259999999994,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.525213596804033,12.993972956581851,41.519186553385886,11.741099743520232,11.308567590452995,23.04966733397323,3567.209899999981,3661.383300000014,3567.209899999981,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-180.4784999999999,0.0,48,2560.0,2078.9707000000003,0.0,1019.3450999999994,0.0,0.0,0.0,0.0,0.0,0,551.3788,2560.0,2078.9707000000003,1019.3450999999994,274.0,0.0,0.0,0.015,5.680933152173897,6.646460486891351,3.342119375000004,NaN,4.412486660228903,8.556580513190468,1068.0,1104.0,534.0,2048.0,1530.0,204.0,129,0,0,0,64,54.0,2048.0,92167.87900000002,3515.5443,11536.928,228,540,0,40,0.10233099770531928,0.23100239633064112,0.34595172825685894,0,7727.434499999986,6271.750199999982,64,0,640.0,0,0,0,0.0,0,0.0,119828.55219999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2138.9564000000023,256.0,6464.8564,4,393.4598,393.4599999999999,NaN,5120.0,100.0,0.49958079752604195,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,9319.4944,0.0,10409.78621185264,0.0,10409.78621185264,0.0,393.4598,8519.8368,21517.328700000002,0.24517946504296928,472,102120.09619999994,40,17708.456000000002,4,0.0,4,492.2775999999999,2,551.3788,2339.8156,50.62500000000001,0,0,534,534,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
9,512,4,4,117540.03739999991,0.0,17535.190200000023,0.0,454.4101,,454.4101,0.0,0.0,0.0,0.0,0.0,0.0025,3136.3105,0.0,0.0,1.0,637.4031000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.545117426617573,12.91586552103209,41.46098294764966,12.699764424703728,11.520414715196699,24.220179139900427,3629.2045999999837,3567.2099000000017,3629.2045999999837,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-205.91809999999992,0.0,48,2560.0,2088.6423,0.0,1021.0688999999998,0.0,0.0,0.0,0.0,0.0,0,550.6727000000001,2560.0,2088.6423,1021.0688999999998,274.0,0.0,0.0,0.015,5.787552321083173,6.63824374999997,3.4823790625000037,NaN,4.316332128821912,8.47131570833681,1088.0,1034.0,544.0,2048.0,1550.0,204.0,124,0,0,2,38,28.0,2048.0,92082.54949999995,3698.0311,11605.608,224,544,0,39,0.1132706477667933,0.23536109459695487,0.352740806251028,0,7668.409099999962,5984.329100000001,38,0,640.0,0,0,0,0.0,0,0.0,118601.0184,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2228.7226000000023,256.0,6466.8656,4,364.2313,364.2312,NaN,5120.0,100.0,0.5245723404947914,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,124,0.0,0,12,0.0,0,0.0,9319.4944,0.0,11598.140873593822,0.0,11598.140873593822,0.0,364.2313,9022.546799999998,21770.5047,0.2484698030230934,473,101493.84699999994,39,17107.171400000003,4,0.0,4,454.41010000000006,2,550.6727000000001,2681.9004,50.62500000000001,0,0,544,544,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
10,512,4,4,118001.8576,0.0,16204.8935,0.0,416.5426,,416.5426,0.0,0.0,0.0,0.0,0.0,0.0025,3424.0377,0.0,0.0,1.0,649.3626000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.498597908091025,11.934979385919604,40.433577294010625,14.254925718914626,10.854381862317107,25.109307581231732,3519.319700000001,3629.2046000000014,3519.319700000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-229.57240000000004,0.0,48,2560.0,2098.1797999999994,0.0,1022.8649999999997,0.0,0.0,0.0,0.0,0.0,0,550.0817,2560.0,2098.1797999999994,1022.8649999999997,274.0,0.0,0.0,0.015,5.72990740393627,6.593822410546141,3.528364999999996,NaN,4.331493856359578,8.217176237086706,1062.0,1067.0,531.0,2045.3333333333333,1524.0,204.0,130,0,0,1,42,30.0,2048.0,91771.42640000001,4003.1682,11836.2159,224,544,0,39,0.13119276256881718,0.24500226975167805,0.3674519250095747,0,7585.7028000000155,6113.8112,42,0,640.0,0,0,0,0.0,0,0.0,117137.56620000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2258.1535999999974,256.0,6416.9277,4,366.71630000000005,366.71680000000003,NaN,5120.0,100.0,0.5535149886067711,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,9319.4944,0.0,10100.084856176563,0.0,10100.084856176563,0.0,366.71630000000005,9631.6905,22256.311800000003,0.2570138243945992,473,100124.37550000004,39,17013.190700000006,4,0.0,4,416.54259999999977,2,550.0817,3007.4951,50.62500000000003,0,0,531,531,"E8 + shareholders & share market, full money stock",sumsy,9,2.9103830456733704e-11
