round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,113486.60820000015,0.0,2579.8501,757.3501,757.3501,,757.3501,0.0,0.0,0.0,0.0,0.0,0.0025,999.6995,2272.050000000002,0.0,1.0,757.3500000000007,424.116833333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.001865649963705,15.090704077308006,39.09256972727171,10.77224705882353,6.3933530864197525,17.165600145243282,1141.199999999998,0.0,1141.199999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,2004.8701999999953,757.3501,1001.5123000000012,0.0,0.0,0.0,0.0,0.0,0,238.0534,2560.0,2004.8701999999953,1001.5123000000012,274.0,0.0,0.0,0.0,6.75,7.019999999999987,2.700000000000026,1.0124999999999997,4.853010899182519,5.292000000000001,320.0,86.0,160.0,2048.0,734.0,204.0,328,0,0,0,50,36.0,2048.0,97479.35520000014,968.7024,7585.9123,643,125,0,113,0.0865707567951024,0.18071155613918832,0.6629937909849517,0,4463.924700000003,580.5,50,0,520.0,0,0,0,0.0,0,0.0,141420.2268999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1404.0000000000134,208.0,6214.8854,4,557.3029999999999,557.3696000000091,NaN,5120.0,100.0,0.3160360807291667,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,7288.3717,3072,4659.7472,4659.7472,0.0,2057.4576,1047.8802,1009.5773999999999,269.80899999999997,287.494,3693.236800000001,7481.1284,0.20103902846308608,399,88750.32378300771,113,52669.9031169922,4,0.0,4,757.3500999999999,2,238.0534,242.34939999999995,50.62500000000001,0,0,160,160,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
2,512,4,4,114030.32220000013,0.0,20274.6691,1218.8097,719.4826,,719.4826,0.0,0.0,0.0,0.0,0.0,0.0025,1210.005,2272.050000000002,0.0,1.0,757.3500000000007,354.0150000000006,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.04940958605664,14.655578065711236,38.70498765176788,10.199022512708789,6.471214088598402,16.670236601307188,3369.78899999999,1141.199999999998,3369.78899999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.5735,0.0,48,2560.0,2016.2859999999978,1218.8097,1004.7460999999988,0.0,0.0,0.0,0.0,0.0,0,390.8124,2560.0,2016.2859999999978,1004.7460999999988,274.0,0.0,0.0,0.015,6.525241890639493,7.399092715231767,2.95622890625001,NaN,4.7267062865497955,5.13324,906.0,1079.0,453.0,2048.0,1368.0,204.0,170,0,0,0,46,45.0,2048.0,95132.87590000007,1001.1108,11002.170100000001,315,453,0,53,0.0815020884429043,0.18218540474455214,0.3624538390268994,0,7381.3345000000445,7040.736000000013,46,0,640.0,0,0,0,0.0,0,0.0,139294.02019999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1891.9865000000063,256.0,5293.348,4,192.21300000000002,192.1831999999976,NaN,5120.0,100.0,0.3514542610677082,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,6,6,8185.17,3072,4659.7472,4659.7472,0.0,12103.370223978065,6558.662444686581,5544.707779291486,98.0779,94.1351,3775.6394999999998,9111.4589,0.1947811208054051,459,111946.42288417967,53,27347.597315820316,4,0.0,4,719.4826000000003,2,390.8124,490.52240000000006,50.624999999999986,0,0,453,453,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
3,512,4,4,114562.73650000009,0.0,24970.527599999983,1514.181,681.6151,,681.6151,0.0,0.0,0.0,0.0,0.0,0.0025,1443.109,2246.830500000002,0.0,1.0,732.1305000000002,267.9071666666673,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.548291414559504,14.505890699488393,40.0541821140479,10.117079382264654,7.372503792885542,17.489583175150194,3905.626600000011,3369.7890000000025,3905.626600000011,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-26.9563,0.0,48,2560.0,2027.5856999999999,1514.181,1007.8309999999996,0.0,0.0,0.0,0.0,0.0,0,470.8657,2560.0,2027.5856999999999,1007.8309999999996,274.0,0.0,0.0,0.015,6.491329444967086,7.253034701492558,3.1883990624999967,NaN,4.662906219119723,4.979242800000001,1072.0,1063.0,536.0,2048.0,1534.0,204.0,128,0,0,0,48,36.0,2048.0,94229.96110000012,2310.2258,11670.842499999999,232,536,0,39,0.08538627167073987,0.189759297744599,0.2945938760448745,0,8086.712300000049,6900.283200000013,48,0,640.0,0,0,0,0.0,0,0.0,138206.72790000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2040.575399999998,256.0,4437.732399999999,4,104.98339999999999,104.96319999999895,NaN,5120.0,100.0,0.3468744661458336,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,9181.0911,3072,4659.7472,4659.7472,0.0,14745.860203636821,7413.39455181841,7332.46565181841,53.8829,51.1005,3981.5866,9237.7096,0.207796731543344,473,118205.36304492196,39,20001.364855078136,4,0.0,4,681.6151,2,470.8657,761.4938999999999,50.625,0,0,536,536,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
4,512,4,4,115084.21110000007,0.0,23748.81109999994,84.2796,643.7476,,643.7476,0.0,0.0,0.0,0.0,0.0,0.0025,1677.5761,2231.367300000001,0.0,1.0,728.3258999999991,184.59706666666693,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.70934760173545,14.30476393496308,40.01411153669853,9.7991484671465,8.06573712005008,17.86488558719658,3873.839799999982,3905.626600000004,3873.839799999982,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-60.49270000000001,0.0,48,2560.0,2038.5254000000023,84.2796,1010.7904000000013,0.0,0.0,0.0,0.0,0.0,0,516.4205000000001,2560.0,2038.5254000000023,1010.7904000000013,274.0,0.0,0.0,0.015,7.331185381750465,7.19373097014922,3.3779010937500002,NaN,4.516664969833953,4.829865515999999,1072.0,1074.0,536.0,2048.0,1534.0,204.0,128,0,0,0,50,36.0,2048.0,92371.05819999998,2566.8598,12783.2888,232,536,0,39,0.0887397816257034,0.19495448773136959,0.3057926033172973,0,7900.7067999999945,7873.693099999999,50,0,640.0,0,0,0,0.0,0,0.0,136877.59470000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2161.8567000000003,256.0,5169.0077,4,194.19710000000003,194.2087999999996,NaN,5120.0,100.0,0.39969528971354285,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,10237.8033,3072,4659.7472,4659.7472,0.0,12936.73760068906,6495.64010034453,6441.097500344529,97.72890000000001,96.4682,4094.4472,10281.353,0.21251309044683508,473,116946.42554980461,39,19931.16915019532,4,0.0,4,643.7476000000001,2,516.4205000000001,1033.8285,50.62500000000002,0,0,536,536,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
5,512,4,4,115594.86519999987,0.0,22438.601000000035,0.0,605.8801,,605.8801,0.0,0.0,0.0,0.0,0.0,0.0025,1818.0609,2278.629000000001,0.0,1.0,822.5586000000002,153.5227000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.616095299899964,12.436556956816654,35.05265225671662,8.419844134476854,7.620082877066702,16.039927011543554,3981.8436000000056,3873.8397999999684,3981.8436000000056,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-93.12669999999999,0.0,48,2560.0,2049.3459,0.0,1014.6059999999989,0.0,0.0,0.0,0.0,0.0,0,537.5622000000001,2560.0,2049.3459,1014.6059999999989,274.0,0.0,0.0,0.015,7.530266333938297,7.395230597014936,3.491770937499999,NaN,4.447706127661196,4.684969550520001,1072.0,1102.0,536.0,2048.0,1534.0,204.0,128,0,0,1,62,53.0,2048.0,90080.56759999991,2813.2646,14404.4447,232,536,0,39,0.08901929156714972,0.19845863184100487,0.2929009908453495,0,7842.149800000024,8298.353500000003,62,0,640.0,0,0,0,0.0,0,0.0,135064.8708,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2234.733399999999,256.0,5940.965200000001,4,295.1005,295.09680000000134,NaN,5120.0,100.0,0.4746404361979164,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,11212.0172,3072,4659.7472,4659.7472,0.0,10503.50464298594,5625.88217149297,4877.622471492969,148.33010000000002,146.7704,4217.254199999999,11946.6573,0.2151513605109756,473,115281.41052070315,39,19783.46027929688,4,0.0,4,605.8800999999999,2,537.5622000000001,1212.1808,50.62500000000004,0,0,536,536,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
6,512,4,4,116094.9655,0.0,21381.515900000006,0.0,568.0126,,568.0126,0.0,0.0,0.0,0.0,0.0,0.0025,1937.0606,2321.3058000000005,0.0,1.0,844.8965999999998,128.08173333333352,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.83958558507196,11.883798479912464,33.72338406498442,8.229383563859983,7.668470403171413,15.897853967031395,3978.5289000000057,3981.8436000000224,3978.5289000000057,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-123.97319999999998,0.0,48,2560.0,2059.8997000000013,0.0,1018.5353000000006,0.0,0.0,0.0,0.0,0.0,0,546.5689,2560.0,2059.8997000000013,1018.5353000000006,274.0,0.0,0.0,0.015,7.543486024551465,7.320755822550843,3.6176923437500035,NaN,4.338553356650189,4.544420464004401,1082.0,1059.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,1,46,43.0,2048.0,88050.02500000002,3166.0441,15702.7889,227,541,0,38,0.09046106031947398,0.20090846839689047,0.2759556839619117,0,7759.964700000004,7988.551700000002,46,0,640.0,0,0,0,0.0,0,0.0,133668.71540000013,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2315.3231000000023,256.0,6692.477999999999,4,387.0704,387.0803999999914,NaN,5120.0,100.0,0.5367762662760421,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,6,6,12342.8516,3072,4659.7472,4659.7472,0.0,9214.167849343487,5072.991038950249,4141.176810393238,193.7819,193.2885,4463.125099999999,13218.4594,0.2166933677547178,474,114545.77153203131,38,19122.943867968766,4,0.0,4,568.0126,2,546.5689,1369.048,50.62500000000006,0,0,541,541,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
7,512,4,4,116584.71140000007,0.0,20058.68260000003,0.0,530.1451,,530.1451,0.0,0.0,0.0,0.0,0.0,0.0025,2055.3324,2352.4252285714288,0.0,1.0,846.3805999999996,99.03094285714299,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.008882304292893,11.527380540807481,33.536262845100374,8.59738465337031,7.7047075758352,16.30209222920551,3921.115400000027,3978.5289000000084,3921.115400000027,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-153.03259999999997,0.0,48,2560.0,2070.2541000000006,0.0,1022.3636999999997,0.0,0.0,0.0,0.0,0.0,0,549.9298,2560.0,2070.2541000000006,1022.3636999999997,274.0,0.0,0.0,0.015,7.449771828358206,7.281931716417961,3.759439062499996,NaN,4.283267361117667,4.408087850084269,1072.0,1072.0,536.0,2046.6666666666667,1534.0,204.0,128,0,0,1,55,37.0,2048.0,85974.50720000004,3548.0743,17019.3231,227,541,0,38,0.09917607096156833,0.20536557205898864,0.28199329353650104,0,7674.563800000002,7986.155399999997,55,0,640.0,0,0,0,0.0,0,0.0,132792.2129000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2406.0409999999974,256.0,7437.544599999999,4,481.7332,481.7684000000057,NaN,5120.0,100.0,0.5818667317708334,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,14043.3601,3072,4659.7472,4659.7472,0.0,6785.265557648765,3358.8292788243825,3426.436278824382,241.6802,240.053,4658.8762,13961.581900000001,0.22005784145273832,474,113757.54219960941,38,19034.67070039064,4,0.0,4,530.1450999999997,2,549.9298,1525.1872999999998,50.625000000000064,0,0,536,536,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
8,512,4,4,117064.35080000012,0.0,18735.849299999987,0.0,492.2776,,492.2776,0.0,0.0,0.0,0.0,0.0,0.0025,2184.475,2371.8212625,0.0,1.0,835.8645,62.44875416666673,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.20901063505036,11.513141811191842,33.722152446242205,9.03534541936972,8.004256332569406,17.039601751939124,3917.601599999985,3921.115400000026,3917.601599999985,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-180.30469999999994,0.0,48,2560.0,2080.3606000000013,0.0,1025.9777000000004,0.0,0.0,0.0,0.0,0.0,0,550.4817,2560.0,2080.3606000000013,1025.9777000000004,274.0,0.0,0.0,0.015,7.373328732394362,7.234882374768061,3.907121093749997,NaN,4.701364609832199,9.642497436537699,1078.0,1065.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,43,36.0,2048.0,84718.65180000011,3892.3333000000002,18190.199099999998,227,541,0,38,0.10962539089794454,0.20917799325159336,0.3331722920741702,0,8370.026600000023,7852.595099999995,43,0,640.0,0,0,0,0.0,0,0.0,131891.59749999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2500.557499999998,256.0,7528.2099,4,553.9623,553.9735999999922,NaN,5120.0,100.0,0.6271507063802092,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,6,6,14900.0933,3072,4659.7472,4659.7472,0.0,5400.390775731128,2604.3120889072406,2796.0786868238874,274.0113,279.951,4951.3437,14710.649000000001,0.2228208122744284,474,112989.62811523434,38,18901.96938476564,4,0.0,4,492.27760000000035,2,550.4817,1692.1974,50.62500000000008,0,0,539,539,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
9,512,4,4,117534.05300000017,0.0,17412.983200000024,0.0,454.4101,,454.4101,0.0,0.0,0.0,0.0,0.0,0.0025,2322.1496,2384.047666666667,0.0,1.0,827.2863000000004,20.63268888888888,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.432296068745064,11.397510218502712,33.82980628724777,9.872515600906633,7.963657506263724,17.836173107170357,3880.4028999999846,3917.601600000019,3880.4028999999846,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-205.78979999999993,0.0,48,2560.0,2090.2978000000003,0.0,1029.4017000000013,0.0,0.0,0.0,0.0,0.0,0,549.8205,2560.0,2090.2978000000003,1029.4017000000013,274.0,0.0,0.0,0.015,7.284613868613137,7.232964232209709,4.086591875000003,NaN,4.690753126650181,9.711891638642745,1068.0,1096.0,534.0,2046.6666666666665,1530.0,204.0,129,0,0,2,60,50.0,2048.0,83229.81160000006,4280.3981,19474.3705,227,541,0,38,0.11972946637424431,0.21265618116551566,0.3454178206122054,0,8337.473900000034,7983.936799999999,60,0,640.0,0,0,0,0.0,0,0.0,130772.93280000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2615.418800000002,256.0,7677.5027,4,584.3498,584.3920000000114,NaN,5120.0,100.0,0.6789709179687504,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,6,6,15771.778400000001,3072,4659.7472,4659.7472,0.0,4996.0299396159935,2483.3578341143934,2512.6721055015996,291.3879,292.9619,5290.638499999999,15660.492900000001,0.2254519774396313,474,111940.55300234378,38,18832.37979765627,4,0.0,4,454.41010000000006,2,549.8205,1867.7395000000001,50.62500000000008,0,0,534,534,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
10,512,4,4,117994.1005,0.0,16090.1171,0.0,416.5426,,416.5426,0.0,0.0,0.0,0.0,0.0,0.0025,2469.4162,2390.8437600000007,0.0,0.9239101068973152,817.3362000000005,0.0,0.0,0.0,0.9239101068973152,0.0,0.0,0.9239101068973152,0.0,0,0,22.80571805127518,11.306003093408671,34.11172114468385,10.733624891498074,7.991295625427473,18.72492051692555,3813.063099999989,3880.4028999999928,3813.063099999989,0.0,0,0,0.0,0.0,0.0,0.9239101068973152,0.9239101068973152,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-229.48770000000002,0.0,48,2560.0,2099.9524999999985,0.0,1032.6264999999996,0.0,0.0,0.0,0.0,0.0,0,549.481,2560.0,2099.9524999999985,1032.6264999999996,274.0,0.0,0.0,0.015,7.20774284369114,7.040933395176232,4.259270468749996,NaN,4.6737235991720345,9.544600409003506,1078.0,1062.0,539.0,2045.3333333333333,1540.0000000000002,204.0,126,0,0,1,49,40.0,2048.0,82125.07340000008,4644.0808,20368.2795,227,541,0,38,0.12870088643735023,0.21576747100637217,0.34681093610800917,0,8380.936300000016,7654.62289999999,49,0,640.0,0,0,0,0.0,0,0.0,129558.8677,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2725.9330999999975,256.0,7837.7696,4,694.8649,694.8388000000052,NaN,5120.0,100.0,0.7332596191406257,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,6,6,16163.961099999999,3072,4659.7472,4659.7472,0.0,4779.754236131601,2460.9087629249034,2318.8454732066975,314.3941,380.47079999999994,5643.83,16686.1688,0.22793410576591144,474,110879.32695820316,38,18679.540741796896,4,0.0,4,416.54259999999977,2,549.481,2052.8736,50.62500000000008,0,0,539,539,"EB best SuMSy village, full money stock",sumsy,4,-8.731149137020111e-11
