round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25944.306,0.0,26066.432399999994,0.0,3839.823999999997,,0.0,2047.064,1792.759999999997,0.0,1792.759999999997,0.0,0.00375,0.0,11820.0036,0.0,1.0,3940.0011999999997,7779.825199999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.42501176470588,1.9583858026960783,9.383397567401959,1.9490196078431374,2.1431372549019607,4.092156862745098,1194.8231999999973,0.0,1194.8231999999973,0.0,0,0,0.0,0.0,39.7592,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,2048.2400000000002,529.214,2048.2400000000002,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,57.0,160.0,2048.0,734.0,204.0,328,0,0,0,36,21.0,2048.0,18217.656,1525.5788,4131.9788,720,48,0,128,0.08948386110807838,0.30321902423857394,0.0680439872917864,0,5671.6960000000145,285.0,36,0,0.0,128,0,0,3986.6719999999996,720,10439.2612,19969.56479999998,0.0,0,0,0,1.5,0,0.0,128,128,10439.2612,720,30720.0,0,0,0.0,208.0,2069.0924,4,0.0,0.0,NaN,5120.0,100.0,-0.25658890624999997,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3869.9649999999997,3072,720.0,720.0,0.0,1338.630000000001,662.6750000000003,675.9550000000003,0.0,0.0,544.0319999999999,3856.685,0.3245981963013387,384,9530.303599999997,128,10439.2612,4,0.0,4,271.72,2,120.95040000000101,-2047.064,11.25,0,0,160,160,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
2,512,4,4,25697.34519999996,0.0,25886.519700000004,0.0,5836.475800000002,,0.0,1944.7108,3891.7650000000017,0.0,2099.005000000005,6.7205799999999885,0.00375,0.0,9585.0036,0.0,1.0,2450.0011999999997,6104.759999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.21016294117647,2.0107038943780635,10.220866835554535,2.174372352941176,2.1452052941176474,4.319577647058823,3389.162000000037,1194.8231999999923,3389.162000000037,0.0,0,0,0.0,0.0,311.89430000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,189.17449999999997,252.45550000000003,0.0,0,392.8679,639.8286999999999,329.5869,470.3076000000075,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1790.0,0.0,0.006328263584085631,4.893999999999958,5.477827954545474,1.8500000000000003,1.1242566326530625,3.553439277652341,3.802399999999999,880.0,1065.0,440.0,2048.0,1329.0,204.0,179,0,0,2,39,25.0,2048.0,17092.081699999977,673.1124,6879.914199999999,720,48,0,128,0.10746554183031098,0.3039297245916095,0.09337511110663299,0,6185.38679999997,5212.109999999956,39,0,3.0,128,0,0,3869.2470000000017,720,11163.416875000003,21474.86939999986,0.0,0,0,0,1.5,0,0.0,128,128,11163.416875000003,720,30720.0,0,0,5.550000000000001,243.0,1052.2369,4,0.0,0.0,NaN,5120.0,100.0,-0.24277900065104166,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,179,0.0,6,6,4362.4272,3072,720.0,720.0,0.0,11814.096717983746,5852.847459400594,5961.249258583155,0.0,0.0,586.0459999999999,4242.8363,0.325595677646102,384,10311.452524999982,128,11163.416875000003,4,0.0,4,271.72,2,188.057300000001,-1944.7108,11.25,0,0,440,440,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
3,512,4,4,26995.02229999998,0.0,27223.7903,0.0,6960.0521999999955,,0.0,1842.3576,5117.694599999995,0.0,1225.9295999999983,14.588824999999924,0.00375,0.0,8578.589199999999,0.0,1.0,2188.586799999998,5165.788499999984,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.722077942333572,2.093610683028593,14.815688625362165,2.0683658261016067,2.2438311818393264,4.3121970079409335,3911.4639999999663,3389.1620000000325,3911.4639999999663,0.0,0,0,0.0,0.0,266.4292,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,228.76799999999997,382.17960000000005,0.0,0,1953.3802999999998,655.7032,1863.2496999999998,1089.3281000000386,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1542.5800000000004,0.0,0.010250053699202876,4.843621240601549,5.485841619585675,1.7831999999999961,1.3344178053830236,3.4990443349754212,3.688327999999999,1062.0,1064.0,531.0,2045.3333333333333,1421.0,204.0,155,0,0,1,35,31.0,2048.0,16855.659499999983,2233.5483999999997,7403.2762,720,48,0,128,0.09856829398912281,0.38427182390095305,0.11501609606219665,0,6316.7813000000015,5153.6130000000485,32,0,105.0,128,0,0,4129.388400000001,720,15989.392679591858,26765.536320408235,0.0,3,9,0,1.5,0,0.0,128,128,15989.392679591858,720,30720.0,0,0,187.2359999999996,153.0,502.5382,4,0.0,0.0,NaN,5120.0,100.0,-0.23937100625797195,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155,0.0,6,6,5209.347000000001,3072,720.0,720.0,0.0,13330.044114450051,6551.250060855258,6778.794053594792,0.0,0.0,624.6653000000001,4930.0158,0.40100816596571076,384,10776.143640816328,128,15989.392679591858,4,0.0,4,271.72,2,227.70960000000002,-1842.3576,16.86384948979594,0,0,531,531,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
4,512,4,4,26581.566199999997,0.0,26818.6344,0.0,8369.1126,,0.0,1740.0044,6629.108200000001,0.0,1511.4135999999992,19.185719374999874,0.00375,0.0,8049.984791165412,0.0,1.0,2154.7238548872174,4758.186727443594,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.789238393963341,1.995956036430791,17.78519443039413,2.0906706291941655,2.1680252471497394,4.2586958763439045,3923.8824999999674,3574.619299999974,4260.727199999959,0.0,0,0,0.0,0.0,331.29290000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,237.0682,500.6970999999999,0.0,4,229.62699999999995,643.0831000000001,456.25440000000003,774.0663000000145,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1515.3672000000004,0.0,0.010457192806573814,5.4798689302325645,5.407845386064002,1.7285529411764713,1.4296623188405788,3.3886059218380233,3.5776781599999983,1062.0,1075.0,531.0,2046.6666666666667,1436.0,204.0,152,0,0,1,51,32.0,2048.0,15680.65170000001,2625.442,8213.5828,720,48,0,128,0.0856415005762523,0.42453745474615534,0.11766222122056424,0,6238.477999999979,5890.859100000007,51,0,17.0,128,0,0,3952.676100000002,720,18968.126050621122,29963.699208074508,0.0,0,6,0,1.5,0,0.0,128,128,18968.126050621122,720,30720.0,0,0,29.38540000000001,168.0,61.8897,4,0.0,0.0,NaN,5120.0,100.0,-0.21907168261920937,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,152,0.0,6,6,5524.8135,3072,720.0,720.0,0.0,12875.232360034443,6383.987452159599,6491.244907874841,0.0,0.0,624.6454000000001,5376.101000000001,0.43904357348886935,384,10995.573157453422,128,18968.126050621122,4,0.0,4,271.72,2,236.06859999999972,-1740.0044,20.016267080745354,0,0,531,531,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
5,512,4,4,26620.068400000055,0.0,26845.4157,0.0,9775.350499999999,,0.0,2119.3689,7655.981599999999,0.0,1026.8733999999997,24.852466374999867,0.00375,0.0,7920.258746458963,0.0,1.0,2467.1181892110567,4574.509537639298,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.654352956102747,1.5820311160220457,17.236384072124793,1.7448138088927565,1.7257980399217634,3.47061184881452,4028.42619999999,3839.760199999977,4449.393199999963,0.0,0,0,0.0,0.0,340.0112,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,225.34729999999996,607.2959000000003,0.0,14,638.1413000000001,599.6391000000001,1176.2907,1094.4355999999918,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,1743.771000000005,235.50199999999975,0.012165764275631862,5.647641814780166,5.586600374531847,1.7348,1.5474796296296296,3.4566689745964547,3.4703478152,1068.0,1069.0,534.0,2046.6666666666667,1386.0,204.0,165,0,0,2,44,35.0,2048.0,14856.695999999987,2585.6564,9177.716,720,48,0,128,0.08670748966282615,0.45303470396863776,0.1349547887987177,0,6219.876100000042,6037.329099999997,44,0,2.0,128,0,0,3858.022699999999,720,20630.76322717391,31459.873778260873,0.0,0,2,0,1.5,0,0.0,128,128,20630.76322717391,720,30720.0,0,0,3.4696,112.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.18590299040421196,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,6,6,5597.8349,3072,720.0,720.0,0.0,11185.979906563745,5917.685411927614,5268.2944946361295,0.0,0.0,613.3285,6165.5375,0.46617361291529136,384,10829.110551086951,128,20630.76322717391,4,0.0,4,271.72,2,224.40650000000124,-2119.3689,21.444934782608684,0,0,534,534,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
6,512,4,4,27246.52530000002,0.0,27465.278899999998,0.0,11738.998300000003,,0.0,3129.9192,8609.079100000003,0.0,953.0975,28.701431374999864,0.00375,0.0,8044.194351475466,0.0,1.0,2887.9574588526602,4614.140850983639,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.80365775813147,1.659546808924984,18.463204567056454,1.0827925549031934,1.8031595050799516,2.8859520599831447,4003.339599999982,3818.148399999982,4634.584400000023,0.0,0,0,0.0,0.0,318.6891,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,218.75359999999995,713.3706000000004,0.0,30,1249.6578,623.2009,2114.662,963.6174999999782,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,2142.4710000000027,266.7705999999997,0.011225269394977673,5.656219751908402,5.656777819548868,NaN,1.7062778925619853,3.539350678806397,3.3662373807439985,1064.0,1048.0,532.0,2045.3333333333335,1280.9999999999998,204.0,191,0,0,0,42,17.0,2048.0,14670.560599999984,2698.9649,9876.9998,720,48,0,128,0.05609747777911278,0.4650796857263979,0.11083521886158532,0,6666.989399999992,5927.718300000006,43,1,0.0,128,0,0,3909.976399999999,720,22861.866141666665,34124.820266666626,0.0,0,0,0,1.5,0,0.0,128,128,22861.866141666665,720,30720.0,0,0,0.0,11.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.16433750759548613,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,6,6,5985.567499999999,3072,720.0,720.0,0.0,9957.784429715284,5286.492068319537,4671.292361395748,0.0,0.0,745.3641999999999,6590.397199999999,0.47734712791569334,384,11262.954125000011,128,22861.866141666665,4,0.0,4,271.72,2,217.8716,-3129.9192,23.212194444444442,0,0,532,532,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
7,512,4,4,38760.562200000015,0.0,33484.9188,0.0,24414.7975,,0.0,15050.4882,9364.3093,0.0,755.2301999999997,32.273227999999854,0.00375,0.0,8141.473464286647,0.0,1.0,2908.3827137179105,4647.943619048236,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.93060397972591,2.0987359635026483,21.029339943228557,1.605223533926545,1.6347048745551878,3.239928408481733,4027.2114999999826,3847.0330000000004,4706.064300000018,0.0,3,0,108.69859999999993,10685.4929,313.4342,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,234.59859999999998,822.0758000000002,5593.4361,46,12196.717799999999,682.6809000000002,13595.297599999998,966.0052000000048,0.0,0.0,0.0,0.0,0.0,3,10669.0448,0.0,0.0,0.0,0.0,2161.7583000000027,19.9368,0.01007053825461341,5.654695845136915,5.6594883895131,NaN,1.9023320987654297,3.5540532920593986,3.2652502593216792,1068.0,1059.0,534.0,2048.0,1278.0,204.0,192,0,0,2,34,20.0,2048.0,14755.24540000001,2726.7565,10609.5155,720,48,0,128,0.07702050649857384,0.4540815519824579,0.11780362437266945,0,6796.972899999976,5988.322899999994,34,0,0.0,128,0,0,4147.5118999999995,720,26228.586575000016,39614.8984809918,0.0,0,0,0,1.5,0,0.0,128,128,26228.586575000016,720,20480.0,0,0,0.0,1.0,0.0,1,0.0,0.0,NaN,5120.0,100.0,-0.05898817669324635,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,5,4,6845.143400000001,2560,600.0,480.0,0.0,9810.040877733703,4776.647336094232,5033.393541639472,0.0,0.0,502.70919999999995,6491.1286,0.5237780358804665,384,13386.311905991732,128,26228.586575000016,4,0.0,4,271.72,2,5392.578200000001,-15050.4882,25.59416838842978,0,3,534,534,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
8,512,4,4,40967.408899999966,0.0,34054.1286,0.0,28247.546200000008,,0.0,17813.9078,10433.638400000007,0.0,1069.3291,35.1031083749999,0.00375,0.0,8224.034019184608,0.0,1.0,2933.985967823448,4677.524483623068,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,21.38381484447825,2.5230158056119643,23.906830650090214,1.5482275478851975,1.6440987607437703,3.1923263086289677,4027.519600000008,3876.3265999999776,4837.674200000042,0.0,4,0,128.2816999999998,12457.269699999999,304.4346,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,400.48439999999994,987.9616000000002,7424.3631,53,3551.9011,1345.0543999999995,4621.4754,983.381400000001,0.0,0.0,0.0,0.0,0.0,0,12325.7191,0.0,0.0,0.0,0.0,2187.563900000004,19.933699999999998,0.005621658362229817,5.615723908918405,5.737512500000008,NaN,2.014413958333332,3.5611234448842133,3.167292751542029,1056.0,1054.0,528.0,2045.3333333333335,1269.0,204.0,194,0,0,1,33,18.0,2048.0,14631.756,2741.1479000000004,11268.7859,720,48,0,128,0.07826419790390271,0.45250554154082145,0.12289169788588339,0,6830.715400000003,5918.972999999998,33,0,0.0,128,0,0,4121.5437,720,29904.54880555551,45059.46842222215,0.0,0,0,0,1.5,0,0.0,128,128,29904.54880555551,720,20480.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.028342326388888908,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,4,4,7156.975400000001,2048,480.0,480.0,0.0,9227.230682677362,4461.606841338682,4765.623841338681,0.0,0.0,543.9259000000001,6852.9584,0.514502898802516,384,15154.919616666652,128,29904.54880555551,4,0.0,4,271.72,2,5411.674400000002,-17813.9078,28.534981481481445,0,4,528,528,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
9,512,4,4,41514.65780000008,0.0,34778.6594,0.0,30336.72980000001,,0.0,18929.1257,11407.604100000008,0.0,973.9657000000002,39.11071049999987,0.00375,0.0,8293.280453776732,0.0,1.0,2949.0839768379083,4703.363646962262,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.607377144086755,2.53555760061941,26.142934744706167,1.948319519844631,1.5211813209262264,3.4695008407708574,4109.764999999992,3876.8382999999967,5070.600900000019,2.5888,4,0,128.2816999999998,12457.269699999999,311.335,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,577.7663,1165.2435000000007,7424.3631,57,2081.2945,1534.0456000000006,3042.1304,988.0910000000008,0.0,0.0,0.0,0.0,0.0,0,12129.198,0.0,0.0,0.0,0.0,2207.803999999998,0.0,0.012077833850023974,5.596327332089555,5.883062499999999,NaN,2.0435752083333347,3.6222746085398057,3.072273968995767,1056.0,1072.0,528.0,2046.6666666666667,1262.0000000000002,204.0,196,0,0,0,37,29.0,2048.0,14623.83219999998,2750.0176,12011.609999999999,720,48,0,128,0.09629160746015852,0.466216824921579,0.13447189781514246,0,6927.197599999967,5999.262900000002,38,1,0.0,128,0,0,4283.5585999999985,720,32320.056431250006,47792.13737499996,0.0,0,0,0,1.5,0,0.0,128,128,32320.056431250006,720,20480.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.004220079345703093,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,196,0.0,4,4,7477.3583,2048,480.0,480.0,0.0,8799.062983393196,4302.986991696598,4496.075991696598,0.0,0.0,493.11879999999996,7284.2693,0.524608957964269,384,15472.080943750001,128,32320.056431250006,4,0.0,4,271.72,2,5392.494000000001,-18929.1257,30.21620937499998,0,4,528,528,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
10,512,4,4,41720.03500000001,0.0,35164.4724,0.0,32411.82170000001,,0.0,19705.6258,12706.19590000001,0.0,1298.5918000000008,42.76109887499985,0.00375,0.0,8347.219783509536,0.0,1.0,2944.224583701596,4721.216149006354,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.238986835676556,2.664789920022505,27.90377675569906,1.793274128563294,1.55720719309975,3.350481321663044,4186.413899999998,3959.250100000017,5297.7647,56.464299999999994,4,0,128.2816999999998,12457.269699999999,300.0035,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,758.2021000000001,1345.679300000001,7424.3631,61,1846.6414,1641.2641999999998,2957.9921999999997,1006.5605000000004,0.0,0.0,0.0,0.0,0.0,0,11844.0731,0.0,0.0,0.0,0.0,2205.5136000000025,0.0,0.014826295892615686,5.60502588011418,6.035977504725918,NaN,2.053240956340956,3.685662031515681,2.9801057499258943,1058.0,1051.0,529.0,2048.0,1264.0,204.0,196,0,0,0,32,24.0,2048.0,14480.970699999996,2828.4983999999995,12566.4928,720,48,0,128,0.09297089470310471,0.47177901216426266,0.1441371606049402,0,7004.852999999972,5890.882200000004,33,1,0.0,128,0,0,4203.0984,720,33915.33224375003,49812.677225000065,0.0,0,0,0,1.5,0,0.0,128,128,33915.33224375003,720,20480.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.028395858154296905,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,196,0.0,4,4,7821.3177000000005,2048,480.0,480.0,0.0,8681.682450630344,4239.775905703291,4441.906544927051,0.0,0.0,484.8612999999998,7573.673500000001,0.5292864222058415,384,15897.34498125,128,33915.33224375003,4,0.0,4,271.72,2,5287.8637,-19705.6258,30.653628125000022,0,4,529,529,SB1 best SuMSy + greedy quarter,debt,6,3.637978807091713e-11
