round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21556.725999999995,0.0,21654.219999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.752199092504406,0.0,512.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,0,337.5818823529411,2.4774901960784312,340.05937254901954,3.2656862745098048,2.27356862745098,5.539254901960785,832.000000000002,0.0,832.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,97.494,97.494,0.0,1,0.0,422.47400000000005,186.05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,193.88999999999984,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,89.0,160.0,2048.0,322.0,0.0,431,0,0,0,56,33.0,2048.0,16663.000000000015,959.5740000000001,3934.152,767,1,0,128,0.1106618331032827,0.7249068766345557,0.8419581772061295,0,1187.5999999999992,445.0,56,0,0.0,0,0,0,0.0,0,0.0,446489.8000000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7944809632312269,384,11948.72000000001,128,434541.0800000007,4,-8277.606,4,-7922.487999999999,2,97.4940000000006,0.0,11.925,560.4,0,0,160,160,0 bare bones,debt,5,1.8189894035458565e-12
2,512,4,4,21166.005899999913,0.0,21329.239999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0.9986979166666666,0.7546404901666197,0.0,512.0,1.0,0.0,1.0,0,0,0,0.25404271880222523,0,338.73615745098033,1.4428392156862744,340.1789966666666,3.8506760784313725,1.3376425490196078,5.188318627450981,2254.7049000000034,832.000000000002,2254.7049000000034,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,163.2341,215.3131,0.0,6,52.079,442.79909999999995,1135.7895999999998,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,949.7394999999963,0.004644305364841474,4.9146928229665034,5.539815479115488,NaN,1.126756403940886,3.6126713235293777,3.8023999999999996,814.0,1045.0,407.0,2048.0,816.0,0.0,308,14,14,1,51,32.0,2034.0,14176.699399999956,463.3941,6525.9124,767,1,0,128,0.21100697012160197,0.7312204181880002,0.6472273045973527,4,2649.5534000000016,5135.853999999996,51,0,0.0,0,0,14,0.0,0,0.0,444003.4994000024,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,308,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7912775189642294,384,9768.48800000001,128,434235.0114000005,4,-8649.765899999999,4,-5129.7676,2,163.23409999999967,0.0,12.640500000000001,560.4,0,0,407,407,0 bare bones,debt,5,1.8189894035458565e-12
3,512,4,4,22062.641399999964,0.0,22259.266200000002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.754909253715077,0.0,895.0,1.0,0.0,1.0,0,0,0,0.25000366994025336,0,344.9059655586464,1.3506672634477275,346.25663282209416,4.118319540869915,1.3267318318032644,5.445051372673179,2873.1167000000023,2254.7049000000047,2873.1167000000023,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,196.6248,324.81329999999997,0.0,9,1373.8822,477.2467,2521.4359999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,586.9209000000001,0.007814530714474095,5.633151628352493,5.504054980842916,NaN,1.3429357005758153,3.2685700127469794,3.6883279999999994,1044.0,1044.0,522.0,2032.6666666666667,1046.0,0.0,248,5,5,1,45,18.0,2043.0,12781.124199999993,1086.9571,8194.5601,767,1,0,128,0.2167420658113941,0.7337369710905994,0.3962154216192255,8,4481.412399999995,5881.010300000004,49,4,0.0,0,0,5,0.0,0,0.0,442603.9014999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,248,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.788407676407809,384,8266.372199999994,128,434337.5292999998,4,-9153.1664,4,-3260.159899999999,2,196.6247999999996,0.0,13.398930000000002,560.4,0,0,522,522,0 bare bones,debt,5,1.8189894035458565e-12
4,512,4,4,22964.520400000038,0.0,23181.981699999993,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7576812483602067,0.0,654.0,0.0,0.0,1.0,0,0,0,0.25000270047420325,0,302.38095979969313,0.47211808248020787,302.85307788217335,4.9222807676629365,0.46018626705526894,5.382467034718205,2998.9688999999958,2873.1167000000046,2998.9688999999958,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,217.4613,439.5535,0.0,10,1449.2532999999999,547.3743,1942.2706,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00836755547152075,5.792083111954451,5.690643074003787,NaN,1.4419174904942984,3.2790089015151174,3.5776781599999987,1054.0,1054.0,527.0,2041.6666666666667,1056.0,0.0,246,1,1,2,41,11.0,2047.0,11484.039599999996,1997.2871,9483.1937,767,1,0,128,0.3418565084422682,0.7385596225097868,0.4874058497067846,106,4808.002899999993,6104.855599999992,46,5,0.0,0,0,1,0.0,0,0.0,441307.01799999963,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,246,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7881907400282051,384,6514.605299999995,128,434792.41269999975,4,-9366.713,4,-1770.5663000000004,2,217.46130000000085,0.0,14.202865800000003,560.4,0,0,527,527,0 bare bones,debt,5,1.8189894035458565e-12
5,512,4,4,22446.359099999998,0.0,22681.648300000004,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7575687503871629,0.0,650.0,0.0,0.0,1.0,0,0,0,0.26087520922148355,0,293.71470225547506,0.03635438977459194,293.75105664524966,7.250293908125645,0.037264692496030045,7.287558600621675,2971.0301999999892,2998.9689000000008,2971.0301999999892,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,235.2892,562.4709999999999,0.0,14,105.0896,623.2509,2402.0907,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2402.090600000003,0.009490640381394237,5.781679206859585,5.680746080305907,NaN,1.5729797687861273,3.2992421755725987,3.4703478152,1046.0,933.0,523.0,2044.3333333333335,1048.0,0.0,248,18,18,92,38,10.0,2030.0,9872.826999999997,2633.0991000000004,9940.433,764,4,0,128,0.5589477860545924,0.743969590456609,0.740653576184956,247,1871.8917000000054,5394.306699999993,59,21,0.0,0,0,18,0.0,0,0.0,438014.7384000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,248,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7804457988677103,384,4184.889099999999,128,433829.8492999999,4,-6750.4606,4,-1112.3669999999993,2,235.28919999999925,0.0,15.055037748000004,560.4,0,0,523,523,0 bare bones,debt,5,1.8189894035458565e-12
6,512,4,4,21939.428399999993,0.0,22181.395699999997,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7594864525730547,0.0,128.0,1.0,0.0,1.0,0,0,0,0.38097551020408166,0,304.0206696746976,0.028598957860516194,304.0492686325581,11.578150832399574,0.030459466263046683,11.60861029866262,2600.029799999996,2971.030199999985,2600.029799999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,241.96730000000002,682.5164000000002,0.0,20,113.3673,620.298,3399.504,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2243.755900000013,0.010088784085982879,5.633180714285712,5.652238695652166,NaN,1.7374918141592908,3.303022668112833,3.3662373807439994,920.0,700.0,460.0,1907.3333333333367,921.9999999999992,0.0,265,122,120,98,18,6.0,1917.0,12551.708099999994,204.92499999999998,9182.7953,760,8,0,128,0.6728751655577709,0.7457308522102097,0.6436769815226606,237,3989.0678999999895,3943.2264999999984,55,37,0.0,0,0,122,0.0,0,0.0,451222.54170000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,265,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7828482599332998,384,3626.983600000001,128,447595.5581000001,4,-6503.3683,4,-1669.0447,2,241.96730000000207,0.0,15.958340012880004,577.20325,0,0,460,460,0 bare bones,debt,5,1.8189894035458565e-12
7,508,4,4,21454.69729999998,0.0,21695.867000000002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.759042856924997,0.0,129.0,3.0,0.0,1.0,0,0,0,0.5073519747039494,0,304.1605148106259,0.03808039123371111,304.1985952018596,12.72200373346598,0.038720331996066254,12.760724065462046,1969.2331999999994,2600.0298000000075,1969.2331999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,241.16970000000003,798.3805000000001,0.0,27,116.6617,601.3928,3169.0742,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1484.3661999999936,0.009826028841576646,5.4489368503937055,5.594412499999998,NaN,1.935930523255812,3.177056798866834,3.2652502593216792,704.0,635.0,352.0,1779.0000000000032,698.0,0.0,304,184,171,52,15,4.0,1791.0,12759.855700000004,10.229700000000001,8684.6119,760,8,0,128,0.6902781777959628,0.7443099976767995,0.6717926565635486,241,3634.4710999999966,3460.074900000003,54,39,0.0,0,0,184,0.0,0,0.0,438660.3333999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,304,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.783656647429684,380,3342.2720000000004,128,435318.0614,4,-6548.035,4,-1966.268099999999,2,241.16969999999856,0.0,16.915840413652806,560.4,4,0,352,352,0 bare bones,debt,5,1.8189894035458565e-12
8,469,4,4,20933.571400000008,22.1832,21196.5146,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.738551073436172,0.0,130.0,0.0,0.0,1.0,0,0,0,0.3988606477033413,0,315.45092528506746,0.04874989629651985,315.49967518136395,14.249562844446666,0.04680124366979402,14.29636408811646,1736.0096000000033,1969.2332000000042,1736.0096000000033,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,240.76000000000005,914.1677,0.0,34,116.1969,615.1396,2529.6537999999996,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1450.9040999999954,0.010116991617934314,5.182290965732092,5.5286929936305835,NaN,1.9596437908496753,3.0383384126984025,3.167292751542029,628.0,642.0,314.0,1648.000000000001,552.0,0.0,295,151,130,57,17,8.0,1669.0,11956.475999999975,125.37379999999999,8851.7216,760,8,0,128,0.7444451533886822,0.7255056877923223,0.7951313324743368,300,2200.8877999999995,3327.0308000000027,50,33,0.0,0,0,151,0.0,0,0.0,437858.36130000046,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,295,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7624489525552312,341,2227.961399999999,128,435630.3999000001,4,-6135.9061,4,-1598.1984000000002,2,240.76000000000022,0.0,17.930790838471975,560.4,39,0,314,314,0 bare bones,debt,5,1.8189894035458565e-12
9,431,4,4,20299.039900000018,234.49140000000017,20766.397999999997,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7150219534491844,0.0,131.0,0.0,0.0,1.0,0,0,0,0.581150924099642,0,332.50557249928164,0.04988500382564729,332.5554575031073,15.588937595228936,0.04988500382564729,15.638822599054583,1512.0353,1736.0095999999974,1512.0353,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,232.86670000000004,1022.4458999999999,0.0,41,116.17150000000001,538.3948,2205.2802,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,1115.9549999999947,0.010798138197033964,5.094607478632478,5.4586111913357405,NaN,1.9167817843866168,2.939877458033597,3.072273968995767,554.0,468.0,277.0,1526.6666666666674,480.66666666666663,0.0,274,186,166,72,13,5.0,1454.0,11844.947,0.0,8454.0929,760,8,0,128,0.7397120933957175,0.7022371210265486,0.7439094859982984,249,1945.2118999999955,2384.2763,48,35,0.0,0,0,186,0.0,0,0.0,437746.90339999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,274,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7398628088369203,303,2120.7901,128,435626.11330000026,4,-6032.1944,4,-1794.8670999999993,2,232.8667000000005,0.0,19.006638288780294,560.4,38,0,277,277,0 bare bones,debt,5,1.8189894035458565e-12
10,384,4,4,19683.100000000024,409.0745999999999,20317.222800000003,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6780342255470904,0.0,133.0,0.0,0.0,1.0,0,0,0,0.4335175314196294,0,338.5202115274096,0.0438329828238712,338.56404451023343,16.182679757287136,0.0438329828238712,16.226512740111005,1072.9213999999984,1512.0353000000002,1072.9213999999984,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,225.04820000000007,1128.0190000000002,0.0,47,113.3916,554.7483000000001,1347.1931,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,850.1477000000014,0.011003328026403416,5.050660839160842,5.4187949494949414,NaN,1.8584647368421061,2.8414479061976583,6.484798310501128,396.0,429.0,198.0,1275.6666666666665,304.0,0.0,268,180,145,56,10,2.0,1252.0,11253.362999999996,93.616,8336.121,760,8,0,128,0.7279987792130815,0.6665531323827543,0.7945340904866853,215,961.3046000000004,2166.733500000001,41,31,0.0,0,0,180,0.0,0,0.0,437155.39050000015,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,268,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7043015571588236,256,2131.4323,128,435023.95819999994,4,-5690.434300000001,4,-1711.8790000000004,2,225.04819999999927,0.0,20.147036586107113,560.4,47,0,198,198,0 bare bones,debt,5,1.8189894035458565e-12
