round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26025.209999999992,0.0,26097.899999999998,0.0,4359.824,,0.0,4359.824,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7437870269334301,0.0,512.0,3.0,0.0,1.0,0,0,0,0.7874652819707764,0,337.28244803921564,3.0646274509803915,340.347075490196,4.599033333333334,2.9755774509803916,7.574610784313725,1086.5000999999972,0.0,1086.5000999999972,0.0,0,0,0.0,0.0,48.6776,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,72.69,72.69,0.0,3,4360.999999999999,314.99,4835.4277999999995,100.17719999999991,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,3800.0,481.0914999999984,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,91.0,160.0,2048.0,526.0,204.0,380,0,0,0,51,40.0,2048.0,21639.100000000002,347.878,4038.232,765,3,0,128,0.11379144434654731,0.7179072343935167,0.08505660115973024,0,5052.900000000006,455.0,51,0,0.0,0,0,0,0.0,0,0.0,450345.1000000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7846242685774474,384,14950.784000000001,128,435394.3160000009,4,-7851.182,4,-7818.407999999999,2,71.51399999999869,-4359.824,11.925,560.4,0,0,160,160,2 + government,debt,3,4.0745362639427185e-10
2,512,4,4,28495.954900000055,0.0,28697.774699999998,0.0,7137.175,,0.0,7137.175,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,3000.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7402947261731592,0.0,551.0,2.0,0.0,1.0,0,0,0,0.2640641783029001,0,337.74927784313724,2.987265686274509,340.73654352941173,4.965225490196079,2.8552094117647053,7.820434901960785,3350.6516000000347,972.6726000000015,3464.479100000039,0.0,0,0,0.0,0.0,301.4037,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,201.81980000000001,240.3826,0.0,9,3173.9480000000003,703.2031,4602.6009,244.44929999999857,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2340.0,1353.3881999999926,0.0019686810586805846,4.909640977443591,5.493119646799125,NaN,1.1268715555555555,3.528525359712204,3.8023999999999996,906.0,1064.0,453.0,2048.0,1112.0,204.0,234,0,0,1,51,30.0,2048.0,21649.117499999997,154.4647,6692.3727,765,3,0,128,0.14112492703404933,0.7188736082440501,0.23449954281756646,0,5233.8755,5223.857999999981,51,0,0.0,0,0,0,0.0,0,0.0,450355.1174999989,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,234,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7748637446324207,384,14849.314299999993,128,435505.80320000014,4,-8068.1378,4,-4963.3073,2,200.7025999999993,-7137.175,12.640500000000001,560.4,0,0,453,453,2 + government,debt,3,4.0745362639427185e-10
3,512,4,4,30494.457699999864,0.0,30742.707899999998,0.0,9073.8373,,0.0,9073.8373,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2555.722965413533,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7385603163575885,0.0,641.0,1.0,0.0,1.0,0,0,0,0.26014357053682896,0,347.7336484381373,3.029493712253652,350.763142150391,5.795978296530452,2.992567167265067,8.788545463795518,3869.873899999978,3031.4377000000322,4302.915299999994,0.0,0,0,0.0,0.0,257.1542,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,248.25020000000004,383.4166999999999,0.0,17,2885.6501,887.1473000000001,5722.3126,654.7469000000065,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1907.650900000001,1600.69810000001,0.006164880460155469,4.828376966292117,5.489339591078082,NaN,1.3324822429906542,3.4542036731845895,3.6883279999999994,1076.0,1068.0,538.0,2046.6666666666665,1282.0,204.0,191,0,0,0,43,31.0,2048.0,22522.771299999946,910.5919,7061.0944,765,3,0,128,0.157282092277218,0.7190842244582671,0.29903077606947437,0,6030.360400000013,5156.706599999981,43,0,0.0,0,0,0,0.0,0,0.0,455053.77130000177,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7704185789727751,384,15113.796199999999,128,439939.97509999987,4,-7606.300299999999,4,-4393.625599999999,2,247.19179999999858,-9073.8372,13.398930000000002,565.4,0,0,538,538,2 + government,debt,3,4.0745362639427185e-10
4,512,4,4,32109.3458,0.0,32391.2535,0.0,10310.9983,,0.0,10310.9983,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2564.537755368758,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7384777582421511,0.0,909.0,0.0,0.0,1.0,0,0,0,0.2570930547736703,0,354.9336679846843,2.8402504808010702,357.77391846548534,7.29901056935656,2.8046949532615715,10.103705522618132,3858.4782999999197,4212.41929999999,3948.9742999999144,0.0,0,0,0.0,0.0,336.6888,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,281.90770000000003,537.0916999999998,0.0,21,2652.1354999999994,1037.2474,3858.3918,1372.7475999999974,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1927.1924000000001,1235.7778000000103,0.006968742645262789,5.445264109589043,5.421251031894922,NaN,1.4329558490566041,3.3121959587661296,3.5776781599999987,1066.0,1095.0,533.0,2048.0,1272.0,204.0,194,0,0,3,59,46.0,2048.0,23079.04519999999,1101.9628,7928.3377,765,3,0,128,0.18948545641226278,0.7200765899087367,0.32597431385169884,0,6518.838100000009,5962.564200000002,59,0,0.0,0,0,0,0.0,0,0.0,455610.04519999976,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768806876136767,384,14862.323099999996,128,440747.7220999998,4,-8027.3328,4,-3325.4223000000006,2,280.9081000000016,-10310.9982,14.202865800000003,565.4,0,0,533,533,2 + government,debt,3,4.0745362639427185e-10
5,512,4,4,33852.79200000001,0.0,34160.34390000001,0.0,12521.2807,,0.0,12521.2807,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2761.967771737871,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7370003021087597,0.0,896.0,1.0,0.0,1.0,0,0,0,0.2551966320297182,0,318.5074188802863,2.137692634576481,320.64511151486283,8.555150491145678,2.130321775477264,10.685472266622941,4006.861300000077,3364.3609999999762,4591.474600000071,0.0,0,0,0.0,0.0,327.043,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,307.5519,700.0455999999997,0.0,29,2916.5784000000003,1173.1322,5162.0988,603.235499999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2043.1893999999963,1798.2167999999886,0.008444541200709109,5.6237178338001925,5.580324074074115,NaN,1.565962873134327,3.4678533145145143,3.4703478152,1080.0,1071.0,540.0,2044.0,1286.0,204.0,189,0,0,2,56,39.0,2048.0,23696.14220000001,1358.4481,8798.2017,764,4,0,128,0.24447886640396432,0.7222438748933964,0.37328306641421305,1,5984.920000000023,6023.001800000006,56,0,0.0,0,0,0,0.0,0,0.0,459481.7421999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7622174487115543,384,14271.1527,128,445210.5894999999,4,-6945.274300000001,4,-2254.598299999999,2,306.61109999999854,-12521.2807,15.055037748000004,570.4,0,0,540,540,2 + government,debt,3,4.0745362639427185e-10
6,512,4,4,35623.23660000003,0.0,35952.0188,0.0,14754.1476,,0.0,14754.1476,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2836.0469966627015,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7346781066602472,0.0,495.0,1.0,0.0,1.0,0,0,0,0.25800553977323104,0,310.3085951261043,2.455059477153068,312.7636546032574,8.835359645750055,2.4372361552340873,11.272595800984142,4025.530199999962,3545.239200000052,5071.765600000169,34.1466,0,0,0.0,0.0,315.45210000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,328.7822,871.7966999999999,0.0,37,3091.3374000000003,1320.8928000000003,5410.9534,665.7814999999933,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2093.7113999999974,1014.8481999999996,0.008366446213979119,5.639827495291907,5.624060667903519,NaN,1.7328637383177556,3.4971121137551187,3.3662373807439994,1078.0,1062.0,539.0,2045.3333333333335,1284.0,204.0,190,0,0,2,50,29.0,2048.0,25188.47250000003,921.1066999999999,9513.6573,764,4,0,128,0.2536316809873913,0.7212337406647749,0.296916473435052,0,7481.827100000024,5989.496800000005,50,0,0.0,0,0,0,0.0,0,0.0,462884.07250000077,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7581492041553128,384,14817.84289999999,128,448066.2296,4,-7132.4425,4,-1338.1826999999998,2,327.9002000000033,-14754.147500000001,15.958340012880004,572.9,0,0,539,539,2 + government,debt,3,4.0745362639427185e-10
7,512,1,4,39605.74709999996,0.0,34388.893299999996,0.0,23400.3107,,0.0,23400.3107,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2859.3568014489297,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7252459603922574,0.0,452.0,1.0,0.0,1.0,0,0,0,0.2635265306122449,4,311.48980411745373,2.1351680387063747,313.6249721561601,5.836605475379339,2.121583281665761,7.9581887570451,3925.6292999999855,3990.6528999999505,1248.2533999999991,0.0,4,1,1503.327500000014,6808.1052,223.36110000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,320.1573000000001,999.8287999999998,5486.2636999999995,49,9974.689999999999,5992.179499999998,13071.0978,1095.0696999999986,0.0,0.0,0.0,0.0,0.0,0,6783.9283,0.0,0.0,0.0,0.0,2114.8997000000004,1471.4557000000013,0.008508794926029104,5.626604571428572,5.608996082089524,NaN,1.9282073308270669,3.535543006816793,3.2652502593216797,1072.0,1050.0,536.0,2045.3333333333335,1278.0,204.0,192,0,0,3,35,23.0,2048.0,22707.578199999996,0.0,10114.2405,764,1,3,128,0.22197160241077007,0.7244041162746457,0.3020211615567061,0,5692.921800000009,5907.934800000001,35,0,0.0,0,0,0,0.0,0,0.0,462313.17819999903,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7281252986743025,384,14117.378099999996,128,448195.8000999999,1,238.5206,4,-536.6394999999989,2,3292.451300000001,-23400.3106,16.915840413652806,575.4,0,3,134,536,2 + government,debt,3,4.0745362639427185e-10
8,512,1,4,44023.290099999984,0.0,39030.46222124096,0.0,25794.4816,,0.0,25794.4816,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2909.5541561326363,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7197164609916813,3.0,968.0,3.0,0.0,1.0,0,0,0,0.2503407799587886,4,307.94293807949896,2.208352361083247,310.1512904405822,6.774869163098692,2.1837720089698385,8.95864117206853,3993.0221000000256,1248.2533999999982,3993.0221000000256,0.0,4,1,1503.327500000014,6808.1052,314.8632,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,493.4357000000001,1173.1071999999995,5486.2636999999995,49,6138.7324,1721.1893999999998,3724.2191,632.3819000000004,0.0,0.0,0.0,0.0,0.0,0,6623.9684,0.0,0.0,0.0,0.0,2166.8382000000015,0.0,0.006739610039031126,5.582658943466173,5.661400000000025,NaN,1.993621183206109,3.526830694740028,3.167292751542029,1056.0,1079.0,528.0,2044.0,1262.0000000000002,204.0,195,0,0,0,50,28.0,2048.0,23860.0001,393.3137,13146.0078,764,4,0,128,0.24547765953507672,0.7239733934007282,0.1543342866727344,0,7176.110900000019,6023.689000000001,50,0,0.0,0,0,0,0.0,0,0.0,455825.6000999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7252962391151154,384,14187.131800000006,128,441638.4682999999,1,-130.38252124095817,4,2696.0878,2,1630.3761212409609,-25794.481499999998,17.930790838471975,565.4,0,3,528,528,2 + government,debt,3,4.0745362639427185e-10
9,512,1,4,45863.2822,0.0,41069.9626,0.0,27647.8466,,0.0,27647.8466,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2875.1793302594137,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7207507774600763,0.0,446.0,1.0,0.0,1.0,0,0,0,0.2501884998981564,4,307.69523172561514,1.97483993824135,309.6700716638565,7.8172611623092445,1.959710279355587,9.776971441664832,4134.029499999988,3993.022100000016,4134.029499999988,0.0,4,1,1503.327500000014,6808.1052,294.51649999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,695.4815000000001,1375.341699999999,5486.2636999999995,50,3896.8856,2056.8935,5803.1804,1150.7837000000004,0.0,0.0,0.0,0.0,0.0,0,6383.6772,0.0,0.0,0.0,0.0,2138.2670999999964,2433.556199999996,0.01322761247193234,5.557505765595463,5.848919925512079,NaN,2.002993609022557,3.571790531669935,3.0722739689957677,1074.0,1058.0,537.0,2048.0,1280.0,204.0,192,0,0,2,40,24.0,2048.0,22870.04250000001,2828.1017,13781.4608,763,5,0,128,0.2849216769379499,0.7264029543197508,0.3047679245862298,1,4496.569800000016,5879.841100000001,40,0,0.0,0,0,0,0.0,0,0.0,450455.24250000034,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7254532484580059,384,13186.107300000003,128,437269.13519999996,1,2457.6513,4,3532.5008000000007,2,1589.652,-27647.8466,19.006638288780294,560.4,0,3,537,537,2 + government,debt,3,4.0745362639427185e-10
10,512,1,4,47704.97299999996,0.0,43125.8048,0.0,29526.1518,,0.0,29526.1518,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2894.8611995047095,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7211837184305847,0.0,443.0,2.0,0.0,1.0,0,0,0,0.2500006637350228,4,319.2555477031913,1.960203482703093,321.2157511858944,13.87382452776641,1.919260267084428,15.793084794850836,4132.568499999999,4134.0295000000215,4132.568499999999,0.0,4,1,1503.327500000014,6808.1052,297.5988,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,912.1703000000002,1592.209599999999,5486.2636999999995,51,4108.0715,2266.3807,5972.5267,1154.792799999997,0.0,0.0,0.0,0.0,0.0,0,6042.3621,0.0,0.0,0.0,0.0,2161.269599999999,2409.4811999999965,0.015,5.546378833490126,5.9163836158191945,NaN,2.019521142857143,3.6591438704458046,2.9801057499258947,1062.0,1063.0,531.0,2045.3333333333333,1268.0,204.0,194,0,0,2,40,25.0,2048.0,26832.726200000012,513.4616,14316.4231,762,6,0,128,0.3756512749648411,0.7278542864828175,0.3465036237965484,2,7030.3826999999865,5895.800700000003,40,0,0.0,0,0,0,0.0,0,0.0,461477.52619999973,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7276565080817408,384,13619.456899999996,128,447858.06930000003,1,384.8553999999998,4,4268.4231,2,1462.5470999999984,-29526.1518,20.147036586107113,570.4,0,3,531,531,2 + government,debt,3,4.0745362639427185e-10
