round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,107981.16970000084,0.0,561.0,561.0,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,943.9953,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.06657150983423588,0.0,672.0,0.0,0.0,1.0,0,0,0,0.7109150813051333,0,8.488675294117652,19.014855490196076,27.503530784313728,2.7215917647058774,18.41965588235294,21.14124764705882,844.000000000002,0.0,844.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,1891.3806999999924,561.0,945.1422999999935,0.0,0.0,0.0,0.0,0.0,0,240.7152,2560.0,1891.3806999999924,945.1422999999935,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,97.0,160.0,2048.0,526.0,204.0,380,0,0,0,58,39.0,2048.0,101474.45720000072,1449.568,3872.4339999999993,768,0,0,128,0.018686768444875268,0.06977975457598173,0.7505747086695409,0,2727.7015000000074,485.0,58,0,0.0,0,0,0,0.0,0,0.0,110432.2572000009,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09938175906960955,384,76121.58600000017,128,34310.6712,4,1449.568,4,4115.634,2,240.7152,382.99530000000004,11.925,11.25,0,0,160,160,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
2,512,4,4,108636.01520000004,0.0,1606.7206999999999,1073.7707,532.9499999999999,,532.9499999999999,0.0,0.0,0.0,0.0,0.0,0.0025,1300.0056,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.5464715208086965,0.0,971.0,1.0,0.0,1.0,0,0,0,0.2654205557851587,0,220.1011037254902,18.266775294117643,238.36787901960784,3.827276274509805,17.10053431372549,20.927810588235296,2534.653399999998,844.0000000000022,2534.653399999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.609999999999999,0.0,0,2560.0,1905.1544999999899,1073.7707,948.1959999999962,0.0,0.0,0.0,0.0,0.0,0,210.5176,2560.0,1905.1544999999899,948.1959999999962,268.0,0.0,0.0,0.015,4.909157102539965,5.495976906318078,NaN,1.1301351528384278,3.515604270462604,3.8023999999999996,918.0,1063.0,459.0,2048.0,1124.0,204.0,230,0,0,1,45,34.0,2048.0,99893.13779999998,807.04,6425.3142,767,1,0,128,0.027862057902571902,0.555872855476333,0.4776406131185218,0,5286.193599999989,5218.433999999983,45,0,0.0,0,0,0,0.0,0,0.0,379044.8403999981,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,230,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558415966201719,384,74936.9029999999,128,304107.9374,4,95.66129999999993,4,6656.3542,2,389.1597,767.0556,12.640500000000001,362.392,0,0,459,459,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
3,512,4,4,109277.31570000022,0.0,3096.7909000000004,1571.8085999999998,504.9,,504.9,0.0,0.0,0.0,0.0,0.0,0.0025,1661.0618,0.0,0.0,1.0,550.8050999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.5481294974828179,0.0,1043.0,0.0,0.0,1.0,0,0,0,0.2598340466416281,0,224.8771042104465,18.529878232307553,243.40698244275404,6.247251928564839,15.41312957180676,21.6603815003716,2916.6077999999975,2534.653400000003,2916.6077999999975,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.6772,0.0,0,2560.0,1918.6995000000015,1571.8086,951.0926000000021,0.0,0.0,0.0,0.0,0.0,0,232.9777,2560.0,1918.6995000000015,951.0926000000021,268.0,0.0,0.0,0.015,4.811379439252315,5.459789097744356,NaN,1.3337919020715634,3.2969538532060785,3.6883279999999994,1064.0,1070.0,532.0,2046.6666666666667,1269.9999999999998,204.0,194,0,0,1,47,34.0,2048.0,98007.44290000014,2405.3116,6970.5217,767,1,0,128,0.04260721632294029,0.5584779498621255,0.42080588425549625,0,5751.3037000000095,5148.175999999977,47,0,0.0,0,0,0,0.0,0,0.0,378521.97989999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5605111506059606,384,74025.23439999984,128,304496.7455000001,4,175.81269999999995,4,7189.4017,2,551.0156,1156.1617999999999,13.398930000000002,362.392,0,0,532,532,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
4,512,4,4,109905.47619999987,0.0,3543.0665999999997,606.6045,476.85,,476.85,0.0,0.0,0.0,0.0,0.0,0.0025,2027.7579,0.0,0.0,1.0,539.8349999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.5885158755329176,0.0,1046.0,1.0,0.0,1.0,0,0,0,0.25748285322359393,0,307.67767047637074,18.558330461194913,326.2360009375657,6.724071591607641,15.728312303536045,22.452383895143686,2902.3918999999796,2916.6077999999925,2902.3918999999796,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-52.644900000000014,0.0,0,2560.0,1931.8394999999994,606.6045,953.7902999999992,0.0,0.0,0.0,0.0,0.0,0,400.2338,2560.0,1931.8394999999994,953.7902999999992,268.0,0.0,0.0,0.015,5.434365000000001,5.402601682242953,NaN,1.4313769230769227,3.1099796027305535,3.5776781599999987,1070.0,1080.0,535.0,2046.6666666666667,1276.0,204.0,193,0,0,1,58,33.0,2048.0,96753.3996999999,2725.1047,7998.9801,766,2,0,128,0.04152880557844907,0.5992693076926681,0.39765401624297314,0,5613.04210000001,5869.114200000001,58,0,0.0,0,0,0,0.0,0,0.0,472335.9103000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5997420847627029,384,72456.31530000009,128,399879.595,4,631.5979000000005,4,8205.700099999998,2,701.9232,1550.9079000000002,14.202865800000003,486.35490000000004,0,0,535,535,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
5,512,4,4,110520.7797000001,0.0,3352.4075999999995,0.0,448.79999999999995,,448.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0025,2321.367,0.0,0.0,1.0,609.7356000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.5902001724003259,0.0,1051.0,0.0,0.0,1.0,0,0,0,0.2564513777518589,0,273.3878680884898,15.85236657427894,289.2402346627687,6.726508425691746,13.825382813003582,20.55189123869533,3038.906999999999,2902.391899999995,3038.906999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-88.0756,0.0,0,2560.0,1944.6964999999998,0.0,957.1079000000003,0.0,0.0,0.0,0.0,0.0,0,486.4865,2560.0,1944.6964999999998,957.1079000000003,268.0,0.0,0.0,0.015,5.585669344413675,5.595022181146024,NaN,1.5662539888682767,3.235634668478299,3.4703478152,1082.0,1083.0,541.0,2046.6666666666667,1288.0,204.0,189,0,0,1,57,36.0,2048.0,95653.16400000002,2870.8053000000004,9188.9569,766,2,0,128,0.05048672647099317,0.6028904579062251,0.3959113762100106,0,5916.178900000009,6049.27990000001,57,0,0.0,0,0,0,0.0,0,0.0,471073.5241000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6025180738801568,384,71086.35240000002,128,399987.1717000001,4,939.9075,4,9383.5169,2,771.8274,1872.5670000000002,15.055037748000004,486.35490000000004,0,0,541,541,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
6,512,4,4,111123.53629999993,0.0,3812.7236999999996,650.9751,420.75,,420.75,0.0,0.0,0.0,0.0,0.0,0.0025,2595.3398,0.0,0.0,1.0,626.7135000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.6178956114480176,0.0,1050.0,1.0,0.0,1.0,0,0,0,0.25661656128128435,0,333.72981185792673,14.829139446051084,348.55895130397784,7.65906312739996,13.311588421701307,20.970651549101266,3023.8878000000122,3038.906999999989,3023.8878000000122,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-121.59929999999994,0.0,0,2560.0,1957.2434,650.9751,960.4972999999995,0.0,0.0,0.0,0.0,0.0,0,527.1961,2560.0,1957.2434,960.4972999999995,268.0,0.0,0.0,0.015,5.575319758812621,5.577570000000023,NaN,1.7317137802607052,3.2600219288049432,3.3662373807439994,1080.0,1078.0,540.0,2046.6666666666665,1286.0,204.0,190,0,0,1,49,42.0,2048.0,94816.40199999996,2987.4189,10197.179499999998,765,3,0,128,0.06053950214917614,0.6306058014949829,0.41711056199878493,0,6044.042900000038,6010.1947000000055,49,0,0.0,0,0,0,0.0,0,0.0,565070.8502999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6300387866645287,384,69724.37789999996,128,495346.47239999985,4,1426.3986,4,10379.5795,2,796.1885,2174.5898,15.958340012880004,610.3178,0,0,540,540,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
7,512,4,4,111714.02590000005,0.0,3589.5159000000003,0.0,392.70000000000005,,392.70000000000005,0.0,0.0,0.0,0.0,0.0,0.0025,2867.7642,0.0,0.0,1.0,625.5506,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.6193585147728411,0.0,1044.0,0.0,0.0,1.0,0,0,0,0.25747816439595234,0,335.4552758153002,14.294384916792561,349.7496607320927,8.70053658406538,13.17799858317009,21.87853516723547,3018.104799999976,3023.8878000000122,3018.104799999976,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-159.72649999999985,0.0,0,2560.0,1969.5103999999988,0.0,963.7762999999999,0.0,0.0,0.0,0.0,0.0,0,549.6539,2560.0,1969.5103999999988,963.7762999999999,268.0,0.0,0.0,0.015,5.521602443609023,5.618887476635469,NaN,1.9213620300751897,3.2339345430554713,3.2652502593216792,1070.0,1064.0,535.0,2046.6666666666667,1275.9999999999998,204.0,191,0,0,0,47,35.0,2048.0,94103.01030000008,3093.7074999999995,11099.89,765,3,0,128,0.07144859233177114,0.6334412715066555,0.41123256401409725,0,6085.097799999996,5874.985000000001,47,0,0.0,0,0,0,0.0,0,0.0,564162.7592999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6325435632391199,384,68502.99820000003,128,495659.76110000006,4,1727.845,4,11270.13,2,802.2977999999999,2475.0642,16.915840413652806,610.3178,0,0,535,535,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
8,512,4,4,112292.51609999994,0.0,4029.513200000001,663.2051,364.65,,364.65,0.0,0.0,0.0,0.0,0.0,0.0025,3143.3062,0.0,0.0,1.0,619.5226,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6305474396197168,0.0,1045.0,1.0,0.0,1.0,0,0,0,0.2566722589139714,0,374.1635967985032,14.119493427492605,388.2830902259958,9.881626093429992,13.34791079499961,23.229536888429603,2977.716800000004,3018.1047999999873,2977.716800000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-195.62139999999985,0.0,0,2560.0,1981.5098000000012,663.2051,966.8984000000007,0.0,0.0,0.0,0.0,0.0,0,559.7538999999999,2560.0,1981.5098000000012,966.8984000000007,268.0,0.0,0.0,0.015,5.488099631336409,5.533053731343291,NaN,1.9769028195488734,3.1950575854248675,3.167292751542029,1072.0,1085.0,536.0,2048.0,1278.0,204.0,192,0,0,1,56,41.0,2048.0,93491.24419999994,3018.0699,12080.1419,764,4,0,128,0.08026380858986237,0.6451122769985709,0.42195362832939054,0,6084.040399999977,5954.588100000004,56,0,0.0,0,0,0,0.0,0,0.0,611586.5525999988,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6441281420370497,384,67061.99210000008,128,544524.5605,4,2046.7232999999994,4,12239.721899999999,2,796.0493,2778.6562,17.930790838471975,673.37915,0,0,536,536,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
9,512,4,4,112859.249,0.0,3773.1451,0.0,336.6,,336.6,0.0,0.0,0.0,0.0,0.0,0.0025,3419.5538,0.0,0.0,1.0,615.7638000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6313819872857558,0.0,1048.0,0.0,0.0,1.0,0,0,0,0.25664596534183437,0,377.26124596571606,13.840758168857198,391.1020041345733,10.799220320348184,13.309604632072382,24.108824952420566,3030.1251000000075,2977.716800000009,3030.1251000000075,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-235.91629999999986,0.0,0,2560.0,1993.2671,0.0,969.8944999999994,0.0,0.0,0.0,0.0,0.0,0,566.9999,2560.0,1993.2671,969.8944999999994,268.0,0.0,0.0,0.015,5.421389803554732,5.589120555555569,NaN,1.9521916044776104,3.146198816979688,3.072273968995767,1080.0,1069.0,540.0,2046.6666666666665,1286.0,204.0,190,0,0,2,54,34.0,2048.0,92868.27989999992,3069.8874,12934.528,764,4,0,128,0.08803832551715685,0.6471592918604714,0.4189317692629122,0,6054.276600000024,5795.465700000008,54,0,0.0,0,0,0,0.0,0,0.0,610735.8036999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.645884053527007,384,65899.67369999996,128,544836.1299999999,4,2326.8589,4,13081.873,2,786.9467999999999,3082.9538000000002,19.006638288780294,673.37915,0,0,540,540,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
10,512,4,4,113414.44439999989,0.0,3516.777,0.0,308.54999999999995,,308.54999999999995,0.0,0.0,0.0,0.0,0.0,0.0025,3699.964,0.0,0.0,1.0,608.2820999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6323830290220569,0.0,1046.0,0.0,0.0,1.0,0,0,0,0.2562228697604626,0,382.4371202846,13.626855432826357,396.0639757174264,11.418789654883481,13.369956181737837,24.788745836621317,2965.5840000000026,3030.1251000000266,2965.5840000000026,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-273.6474999999998,0.0,0,2560.0,2004.8046000000015,0.0,972.7267000000011,0.0,0.0,0.0,0.0,0.0,0,569.4494,2560.0,2004.8046000000015,972.7267000000011,268.0,0.0,0.0,0.015,5.357891260349594,5.489933085501863,NaN,1.9553677902621724,3.0970376255529337,2.9801057499258943,1076.0,1087.0,538.0,2045.3333333333333,1282.0,204.0,191,0,0,2,54,45.0,2048.0,92164.13309999989,3204.9610000000002,13775.9369,764,4,0,128,0.09487195144410832,0.6494589086625397,0.4195559516716274,0,5990.97950000002,5824.027800000009,54,0,0.0,0,0,0,0.0,0,0.0,609803.8723000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6478607629038837,384,64661.953199999996,128,545141.9190999999,4,2690.2505999999994,4,13911.046900000001,2,773.0478,3391.4139999999998,20.147036586107113,673.37915,0,0,538,538,"E2 + government, full money stock",sumsy,7,1.4551915228366852e-10
