round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26739.99340000002,0.0,1874.55,1874.55,1688.5,,1688.5,0.0,0.0,0.0,0.0,0.0,0.0025,120.9549,5065.5,0.0,1.02,1688.5,3214.6012,0.02,0.0,1.02,0.0,0.0,1.02,0.0,0,0,0.9986979166666666,0.724439029196376,0.0,672.0,1.0,0.0,1.02,0,0,0,1.0,48,397.6901184313725,2.9176274509803917,400.6077458823529,2.9800678431372547,1.8708823529411767,4.850950196078431,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,245.2866000000001,1874.55,122.08050000000006,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,245.2866000000001,122.08050000000006,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.2920454545454674,3.9200000000000013,320.0,67.0,160.0,2048.0,1144.0,614.0,226,0,0,0,42,25.0,2048.0,18787.180899999978,1378.176,4080.9839999999995,767,1,0,128,0.13390922589011534,0.724439029196376,0.4879131454936496,10,6362.670599999991,335.0,42,0,520.0,0,0,0,0.0,0,0.0,526037.5308999978,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2372.6976,4,0.0,0.0,NaN,5120.0,100.0,0.13519218098958335,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,226,0.0,0,12,0.0,0,0.0,1200.0,0.0,1233.4224000000008,0.0,1233.4224000000008,0.0,0.0,921.7299999999998,7831.8575999999985,0.7305235907715646,384,14806.540499999994,128,511230.9904000003,4,0.0,4,278.20000000000005,2,248.16,-1567.5451,11.925,660.4,0,0,160,160,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
2,512,4,4,29013.432699999947,0.0,4160.84,2295.5925,3256.0451000000003,,3256.0451000000003,0.0,0.0,0.0,0.0,0.0,0.0025,143.7419,5065.5,0.0,1.0404,1688.5,3195.3781333333336,0.02,0.0,1.0404,0.0,0.0,1.0404,0.0,0,0,0.9986979166666666,0.721735456759381,0.0,959.0,0.0,0.0,1.0404,0,0,0,0.252953094094143,48,398.0841462745097,3.23851294117647,401.3226592156862,2.673780784313726,2.395048039215686,5.068828823529412,2468.669200000005,850.0000000000022,2468.669200000005,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.8605,0.0,48,2560.0,286.5607000000004,2295.5925,145.3352999999995,0.0,0.0,0.0,0.0,0.0,12,0.9022,2560.0,286.5607000000004,145.3352999999995,274.0,0.0,0.0,0.0025355418633805447,4.893999999999957,5.4702437500000105,2.2003118329466385,1.1233060402684565,3.3042020385050788,3.802399999999999,896.0,1099.0,448.0,2048.0,1766.0,614.0,70,0,0,1,59,42.0,2048.0,19595.424199999994,799.6563,6774.366999999999,767,1,0,128,0.11183520667209534,0.721735456759381,0.20768998324568755,0,8803.63279999997,5378.505999999952,59,0,431.0,0,0,0,0.0,0,0.0,528207.7406,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,948.3344000000012,254.0,1699.3411,4,0.0,0.0,NaN,5120.0,100.0,0.14695588378906252,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,70,0.0,0,12,0.0,0,0.0,1200.0,0.0,10080.992418181879,0.0,10080.992418181879,0.0,0.0,1210.9624000000006,9273.3644,0.7274483542079277,384,16033.672400000014,128,512174.06820000015,4,0.0,4,278.20000000000005,2,516.682,-3112.3032000000003,12.640500000000001,660.4,0,0,448,448,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
3,512,4,4,31245.132800000054,0.0,7448.606699999997,3333.4717999999993,4765.006999999998,,4765.006999999998,0.0,0.0,0.0,0.0,0.0,0.0025,167.6221,5029.703800000005,0.0,1.061208,1652.703800000005,3151.5567333333365,0.02,0.0,1.061208,0.0,0.0,1.061208,0.0,0,0,0.9986979166666666,0.7189603185215099,0.0,1052.0,0.0,0.0,1.061208,0,0,0,0.2551877004748425,48,407.49449846551147,3.8414048414625688,411.33590330697405,1.9952092197729288,2.8692843177320224,4.864493537504951,2961.504399999998,2468.6691999999916,2961.504399999998,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.908525000000003,0.0,48,2560.0,328.2998999999998,3333.4718,169.69950000000006,0.0,0.0,0.0,0.0,0.0,85,24.2602,2560.0,328.2998999999998,169.69950000000006,274.0,0.0,0.0,0.002008374744210917,4.793208760484601,5.440858410351198,2.1274162500000022,1.331755370370371,3.2614482088025274,3.688327999999999,1082.0,1073.0,541.0,2046.6666666666665,1954.0,614.0,23,0,0,1,56,36.0,2048.0,19851.723300000005,2340.6165,7315.2552,767,1,0,128,0.09590008334164746,0.7189603185215099,0.14488814703893227,0,9557.3513,5143.112999999978,56,0,560.0,0,0,0,0.0,0,0.0,531122.7306999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1191.3531000000012,256.0,1545.6555,4,0.0,0.0,NaN,5120.0,100.0,0.14938684082031248,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,12,0.0,0,0.0,1200.0,0.0,12762.871092165109,0.0,12762.871092165109,0.0,0.0,1615.9623000000001,11201.527200000002,0.7244188537686471,384,17563.581899999997,128,513559.14879999997,4,0.0,4,278.20000000000005,2,787.0065999999999,-4597.384899999998,13.398930000000002,660.4,0,0,541,541,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
4,512,4,4,33431.992600000005,0.0,9667.747099999995,2356.071,6216.057599999995,,6216.057599999995,0.0,0.0,0.0,0.0,0.0,0.0025,194.4846,4986.282375000007,0.0,1.08243216,1618.6727000000046,3100.887575000005,0.02,0.0,1.08243216,0.0,0.0,1.08243216,0.0,0,0,0.9973958333333334,0.7155919731060836,0.0,1053.0,1.0,0.0,1.08243216,0,0,0,0.25572738660965944,48,397.10871304976547,4.086501932531053,401.19521498229653,2.427799125953189,2.9303485933710003,5.358147719324189,2954.5196999999966,2961.504400000004,2954.5196999999966,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-37.74424999999998,0.0,48,2560.0,373.1402000000006,2356.071,196.7745999999999,0.0,0.0,0.0,0.0,0.0,166,32.704499999999996,2560.0,373.1402000000006,196.7745999999999,274.0,0.0,0.0,0.0013415735810334438,5.014629704797052,5.417933025830252,2.08429795539033,1.4268409259259272,3.2011776065519526,3.5776781599999983,1084.0,1084.0,542.0,2046.6666666666667,1956.0,614.0,22,0,0,2,55,43.0,2048.0,21083.608499999984,2746.6732,7680.0849,766,2,0,128,0.09626570340362073,0.7155919731060836,0.15096015773601734,0,9471.907699999985,5435.858600000004,55,0,538.0,0,0,0,0.0,0,0.0,509214.38909999945,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1121.3522999999975,256.0,1694.4369000000002,4,0.0,0.0,NaN,5120.0,100.0,0.16156488606770833,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,12,0.0,0,0.0,1200.0,0.0,12002.096806839432,0.0,12002.096806839432,0.0,0.0,2032.9977000000008,12121.195000000002,0.720881406591527,384,18840.766099999997,128,490373.6229999999,4,0.0,4,278.20000000000005,2,1061.7076,-6021.572999999995,14.202865800000003,628.52055,0,0,542,542,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
5,512,4,4,35575.76689999999,0.0,11646.027399999997,2160.4619,7715.015699999997,,7715.015699999997,0.0,0.0,0.0,0.0,0.0,0.0025,221.375,5005.091520000009,0.0,1.1040808032,1693.4427000000055,3091.3780133333394,0.02,0.0,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,0.99609375,0.7168095708725402,0.0,1047.0,2.0,0.0,1.1040808032,0,0,0,0.25436179981634527,48,409.8561555771265,3.893410463793366,413.7495660409199,2.576690754980269,2.894124902582355,5.470815657562625,2921.609800000005,2954.519699999982,2921.609800000005,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-72.26137500000002,0.0,48,2560.0,416.22569999999996,2160.4619000000002,223.90009999999984,0.0,0.0,0.0,0.0,0.0,230,36.050799999999995,2560.0,416.22569999999996,223.90009999999984,274.0,0.0,0.0,0.005352940180281851,5.398268962350779,5.4070945996275706,2.0840071794871835,1.5593926966292138,3.2016742298612026,3.4703478152,1074.0,1089.0,537.0,2045.3333333333333,1946.0,614.0,24,0,0,3,61,50.0,2048.0,22035.77159999999,2749.7175,8518.8951,765,3,0,128,0.09473126008198718,0.7168095708725402,0.1565673354442465,0,9484.3198,5878.714899999999,61,0,585.0,0,0,0,0.0,0,0.0,548815.8049500005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1219.1442000000022,256.0,2013.9569000000001,4,0.0,0.0,NaN,5120.0,100.0,0.18528985758463543,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0.0,0,12,0.0,0,0.0,1200.0,0.0,10517.059986421496,0.0,10517.059986421496,0.0,0.0,2151.6676,13282.569500000001,0.722099075681057,384,19749.7421,128,529066.0628499999,4,0.0,4,278.1999999999998,2,1330.2721000000001,-7493.640699999997,15.055037748000004,677.55035,0,0,537,537,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
6,512,4,4,37677.227800000015,0.0,13748.408199999998,2317.6374000000005,9316.637399999998,,9316.637399999998,0.0,0.0,0.0,0.0,0.0,0.0025,248.9053,5082.407950000005,0.0,1.126162419264,1822.9966999999965,3120.400433333337,0.02,0.0,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,0.9947916666666666,0.7161318763364455,0.0,1047.0,1.0,0.0,1.126162419264,0,0,0,0.2563866952863523,48,390.9960511007362,3.8057788136055146,394.80182991434174,2.5579975580757504,2.8374509747920276,5.395448532867778,2995.909399999991,2921.6098000000147,2995.909399999991,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-111.57147499999994,0.0,48,2560.0,458.5391000000003,2317.6373999999996,251.62859999999975,0.0,0.0,0.0,0.0,0.0,276,38.845600000000005,2560.0,458.5391000000003,251.62859999999975,274.0,0.0,0.0,0.005662469636604994,5.467338344433876,5.514647037037021,2.0661786069651713,1.7193591417910448,3.2316152810377954,3.3662373807439985,1080.0,1051.0,540.0,2044.0000000000002,1952.0,614.0,23,0,0,2,51,28.0,2048.0,23118.31449999998,2660.4417,9250.598999999998,764,4,0,128,0.092976211354733,0.7161318763364455,0.14144328896083413,0,9629.243799999933,5746.1726000000035,51,0,603.0,0,0,0,0.0,0,0.0,564213.8483000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1245.9056999999982,256.0,2360.1216999999997,4,3.8537000000000003,3.8536,NaN,5120.0,100.0,0.2053742578125,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,12,0.0,0,0.0,1200.0,0.0,9854.995481086342,0.0,9854.995481086342,0.0,3.8537000000000003,2176.0038999999997,14271.1624,0.72137497065149,384,20813.620600000013,128,543400.2276999999,4,0.0,4,278.1999999999998,2,1602.1785,-9067.732099999997,15.958340012880004,694.7007,0,0,540,540,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
7,512,4,4,39736.48500000003,0.0,15890.261299999998,2392.9103999999993,10914.0456,,10914.0456,0.0,0.0,0.0,0.0,0.0,0.0025,277.287,5147.62688571429,0.0,1.14868566764928,1846.3134999999995,3140.7945428571456,0.02,0.0,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,0.9934895833333334,0.7154297397402034,0.0,1046.0,1.0,0.0,1.14868566764928,0,0,0,0.255733502590037,48,386.93701579436225,3.807769952240323,390.7447857466026,2.824438655863883,2.918498117628186,5.742936773492069,2986.2347000000073,2995.9093999999977,2986.2347000000073,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-155.88957499999975,0.0,48,2560.0,500.74279999999965,2392.9104,280.2754,0.0,0.0,0.0,0.0,0.0,318,41.823499999999996,2560.0,500.74279999999965,280.2754,274.0,0.0,0.0,0.007694762439152746,5.45311746606335,5.517164869888489,2.0451975000000004,1.9075046904315192,3.200770752352124,3.26525025932168,1076.0,1105.0,538.0,2045.3333333333335,1948.0000000000002,614.0,24,0,0,1,62,48.0,2048.0,24164.425300000006,2684.5388,10126.763500000001,763,5,0,128,0.09865726739067338,0.7154297397402034,0.16019915985143474,0,9629.807300000037,6025.694800000002,62,0,640.0,0,0,0,0.0,0,0.0,565956.3227500011,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1308.9264000000003,256.0,2441.6469,4,4.2843,4.283999999999998,NaN,5120.0,100.0,0.2237831013997396,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0.0,0,12,0.0,0,0.0,1200.0,0.0,9336.27143565553,0.0,9336.27143565553,0.0,4.2843,2279.1863,15252.949200000001,0.7202994766770379,384,21420.896399999994,128,544535.4263499998,4,0.0,4,358.5834,2,1872.5076999999997,-10636.7586,16.915840413652806,694.50005,0,0,538,538,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
8,512,4,4,41754.332800000026,0.0,17253.850899999994,1654.4223000000002,12478.282699999994,,12478.282699999994,0.0,0.0,0.0,0.0,0.0,0.0025,306.3563,5194.7450625000065,0.0,1.1716593810022657,1841.5241000000053,3148.6394208333377,0.02,0.0,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,0.9934895833333334,0.7144683040148228,0.0,1050.0,0.0,0.0,1.1716593810022657,0,0,0,0.254977727312429,48,388.95567795490274,3.898767878740444,392.8544458336432,2.9816533356452113,3.187682633157368,6.169335968802579,2993.7863000000207,2986.234700000004,2993.7863000000207,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-205.65089999999975,0.0,48,2560.0,542.1522000000002,1654.4223,309.5475000000003,0.0,0.0,0.0,0.0,0.0,350,45.068200000000004,2560.0,542.1522000000002,309.5475000000003,274.0,0.0,0.0,0.008116359074335678,5.4226323364486,5.480269429097644,2.0472748437499986,1.9541189591078072,3.1628899395418366,3.167292751542029,1086.0,1070.0,543.0,2046.6666666666667,1958.0,614.0,22,0,0,0,53,41.0,2048.0,25575.6914,2641.2936,10767.0431,763,5,0,128,0.09447397221072684,0.7144683040148228,0.15208616122926255,0,9593.065800000011,5802.216600000002,53,0,640.0,0,0,0,0.0,0,0.0,568010.8117500001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1310.2558999999992,256.0,2418.8802,4,4.3698,4.369999999999998,NaN,5120.0,100.0,0.23639565348307293,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,12,0.0,0,0.0,1200.0,0.0,9153.872862730945,0.0,9153.872862730945,0.0,4.3698,2575.1352,15827.216900000001,0.7190649280490031,384,22154.92630000004,128,545855.88545,4,0.0,4,439.6387999999997,2,2144.5111,-12171.926399999995,17.930790838471975,694.50005,0,0,543,543,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
9,512,4,4,43731.8537,0.0,19232.734999999993,2274.2259999999997,14003.150599999994,,14003.150599999994,0.0,0.0,0.0,0.0,0.0,0.0025,336.0712,5227.959233333336,0.0,1.195092568622311,1831.2241999999924,3146.774855555557,0.02,0.0,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,0.9921875,0.7136741149885972,0.0,1044.0,1.0,0.0,1.195092568622311,0,0,0,0.255792180255472,48,392.03512721192726,4.037987495749705,396.07311470767695,3.8500444424135756,3.464026508049206,7.314070950462781,2970.2879999999964,2993.7862999999898,2970.2879999999964,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-253.40609999999975,0.0,48,2560.0,582.4790999999994,2274.2259999999997,339.32659999999936,0.0,0.0,0.0,0.0,0.0,374,44.675,2560.0,582.4790999999994,339.32659999999936,274.0,0.0,0.0,0.012188966577106518,5.37105955473098,5.497743016759769,2.122935312499999,1.9354732580037648,3.1398249948708865,3.0722739689957668,1074.0,1078.0,537.0,2048.0,1946.0,614.0,25,0,0,1,58,38.0,2048.0,27553.30789999997,2641.6704,10765.248200000002,762,6,0,128,0.10974155112101558,0.7136741149885972,0.16313987401312935,0,9445.841499999984,5790.002199999996,58,0,640.0,0,0,0,0.0,0,0.0,569682.2040000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1358.6785999999993,256.0,2390.8810000000003,4,4.455,4.455200000000001,NaN,5120.0,100.0,0.23981138671875,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,0,12,0.0,0,0.0,1200.0,0.0,8798.930952170913,0.0,8798.930952170913,0.0,4.455,3175.5908999999992,15797.7996,0.7175653376549409,384,22776.849499999997,128,546905.3544999999,4,0.0,4,1174.7238999999995,2,2415.2707,-13667.079399999993,19.006638288780294,694.2994,0,0,537,537,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
10,512,4,4,45669.92020000002,0.0,21113.513999999992,2213.5888999999997,15480.881499999992,,15480.881499999992,0.0,0.0,0.0,0.0,0.0,0.0025,366.3665,5249.303940000002,0.0,1.2189944199947573,1813.8020999999956,3136.5906733333345,0.02,0.0,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,0.9908854166666666,0.7119292891246651,0.0,1047.0,1.0,0.0,1.2189944199947573,0,0,0,0.2568874856597312,48,389.74420264722994,4.202120636736988,393.94632328396693,4.405422619836713,3.8476971952601695,8.253119815096882,3001.8870000000165,2970.2880000000027,3001.8870000000165,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-305.7017999999999,0.0,48,2560.0,621.9335000000011,2213.5888999999997,369.6631000000001,0.0,0.0,0.0,0.0,0.0,382,47.2822,2560.0,621.9335000000011,369.6631000000001,274.0,0.0,0.0,0.008800642570767113,5.307029279700652,5.515502772643284,2.1976135937500016,1.9263473782771532,3.101636154025584,2.9801057499258943,1082.0,1069.0,541.0,2046.6666666666667,1954.0,614.0,23,0,0,2,45,40.0,2048.0,29539.035200000006,2586.4083,10717.707499999999,761,7,0,128,0.11738634325438757,0.7119292891246651,0.15781680376367113,0,9356.32160000002,5673.214299999997,45,0,640.0,0,0,0,0.0,0,0.0,562583.5484999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1406.472700000001,256.0,2413.1205,4,9.0424,9.0424,NaN,5120.0,100.0,0.24191080403645826,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,0,12,0.0,0,0.0,1200.0,0.0,8970.817644337742,0.0,8970.817644337742,0.0,9.0424,3782.7229999999995,15717.2363,0.7150928376369554,384,23521.87670000001,128,539061.6718000001,4,0.0,4,1859.1408999999999,2,2688.7582,-15114.514999999992,20.147036586107113,682.6279999999999,0,0,541,541,"GP10-30 step 10, public employment 30 %, parking tax policy",sumsy,1,7.275957614183426e-11
