round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26736.088600000072,0.0,561.0,561.0,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,122.6661,1683.0,0.0,1.0,561.0,957.1588000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2716608383456782,0.0,672.0,0.0,0.0,1.0,0,0,0,0.7109150813051333,48,7.94442705882353,2.7788823529411766,10.723309411764706,3.269903137254901,1.5962627450980391,4.86616588235294,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,249.19139999999956,561.0,123.95249999999979,0.0,0.0,0.0,0.0,0.0,0,240.7152,2560.0,249.19139999999956,123.95249999999979,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,97.0,160.0,2048.0,734.0,204.0,328,0,0,0,61,36.0,2048.0,17646.571800000005,1837.568,4160.6986,768,0,0,128,0.14493216296673972,0.2716608383456782,0.6575038912401223,11,5255.578599999997,485.0,61,0,520.0,0,0,0,0.0,0,0.0,26286.57180000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2727.8689,4,43.504,43.50399999999999,NaN,5120.0,100.0,0.14202694498697915,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,639.2790000000008,0.0,639.2790000000008,0.0,43.504,811.2808000000001,8726.1355,0.2940072299409269,384,13947.718199999996,128,12338.853599999999,4,0.0,4,343.20000000000005,2,240.7152,-438.33389999999997,11.925,11.25,0,0,160,160,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
2,512,4,4,29004.69339999998,0.0,2222.7952,1661.7952,999.3339000000001,,999.3339000000001,0.0,0.0,0.0,0.0,0.0,0.0025,143.332,1683.0,0.0,1.0,561.0,939.7900166666668,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7140353279737948,0.0,968.0,2.0,0.0,1.0,0,0,0,0.26575007003810247,48,277.6846643137254,2.714113921568628,280.39877823529406,2.9583639215686275,2.0677656862745097,5.026129607843137,2520.857500000002,850.0000000000022,2520.857500000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,291.3952000000002,1661.7952000000002,144.91279999999992,0.0,0.0,0.0,0.0,0.0,3,181.701,2560.0,291.3952000000002,144.91279999999992,274.0,0.0,0.0,0.015,4.9090425733207015,5.488722587719303,2.2326492113564664,1.1224715859030843,3.5232321455647906,3.802399999999999,912.0,1057.0,456.0,2048.0,1319.0,204.0,182,0,0,1,47,23.0,2048.0,19136.684400000002,807.04,6678.366,766,2,0,128,0.1149429092390224,0.7140353279737948,0.39402264669641807,4,7627.439799999966,5188.857999999981,47,0,317.0,0,0,0,0.0,0,0.0,371904.6225000011,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,707.7497999999998,201.0,2057.5699999999997,4,14.821,14.8212,NaN,5120.0,100.0,0.1503629345703125,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,0,12,0.0,0,0.0,1200.0,0.0,10687.351688828418,0.0,10687.351688828418,0.0,14.821,1078.1737000000005,9542.975999999999,0.7198710144222948,384,14492.961100000017,128,357411.66140000004,4,0.0,4,343.20000000000005,2,393.246,-856.0019000000001,12.640500000000001,459.392,0,0,456,456,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
3,512,4,4,31231.41610000008,0.0,4542.260700000001,2380.6385999999998,1406.7968000000005,,1406.7968000000005,0.0,0.0,0.0,0.0,0.0,0.0025,163.6168,1672.7948999999994,0.0,1.0,550.7948999999995,915.8256333333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7126469582743227,0.0,1047.0,0.0,0.0,1.0,0,0,0,0.25736198347107436,48,283.8289413978811,2.8389462171052147,286.66788761498634,2.6934378308819698,2.3578851987220757,5.0513230296040454,2953.4366000000064,2520.857500000014,2953.4366000000064,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.234600000000004,0.0,48,2560.0,333.27730000000014,2380.6386,165.63080000000016,0.0,0.0,0.0,0.0,0.0,6,31.2256,2560.0,333.27730000000014,165.63080000000016,274.0,0.0,0.0,0.015,4.817531090909073,5.466362383612675,2.1216928131416872,1.339408801498125,3.421990805160568,3.688327999999999,1074.0,1100.0,537.0,2046.6666666666665,1536.0,204.0,128,0,0,0,56,43.0,2048.0,19809.20210000001,2380.3014999999996,7356.300800000001,765,3,0,128,0.11429643121635102,0.7126469582743227,0.2928624991116551,0,8432.2952,5299.28419999998,57,1,487.0,0,0,0,0.0,0,0.0,373431.4711000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1033.2644000000016,256.0,1490.7693000000002,4,0.0,0.0,NaN,5120.0,100.0,0.15413547688802084,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,1200.0,0.0,13480.95847450918,0.0,13480.95847450918,0.0,0.0,1344.3500999999999,11227.3716,0.7178187703335455,384,15421.717499999997,128,358009.75359999994,4,0.0,4,343.20000000000005,2,580.8803,-1243.1800000000005,13.398930000000002,459.392,0,0,537,537,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
4,512,4,4,33415.738699999994,0.0,5532.192500000001,1149.7638,1783.7086000000008,,1783.7086000000008,0.0,0.0,0.0,0.0,0.0,0.0025,184.4869,1659.9926249999994,0.0,1.0,540.5285999999995,889.8616666666662,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7177958826018411,0.0,1050.0,2.0,0.0,1.0,0,0,0,0.25733204575021784,48,335.4485951972878,3.0665054392684716,338.51510063655627,2.8916245507492686,2.6241140413702335,5.515738592119502,2937.230900000017,2953.436600000007,2937.230900000017,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-43.58900000000002,0.0,48,2560.0,375.67740000000026,1149.7638,186.72169999999997,0.0,0.0,0.0,0.0,0.0,20,40.4252,2560.0,375.67740000000026,186.72169999999997,274.0,0.0,0.0,0.015,5.457699905571288,5.39599057301297,2.087122283609574,1.4381087523277465,3.2371948759067415,3.5776781599999983,1082.0,1059.0,541.0,2048.0,1544.0,204.0,125,0,0,2,46,34.0,2048.0,20585.759199999993,2722.7504,8075.756,764,4,0,128,0.11673588950404734,0.7177958826018411,0.2989767061414095,0,8217.784099999986,5779.704199999994,46,0,543.0,0,0,0,0.0,0,0.0,430142.7552999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1133.3073999999986,256.0,1806.561,4,0.0,0.0,NaN,5120.0,100.0,0.17879611490885416,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,1200.0,0.0,12176.57032534935,0.0,12176.57032534935,0.0,0.0,1612.1049999999998,12605.067399999996,0.7230169507743271,384,15508.395399999994,128,414634.3599,4,0.0,4,343.1999999999998,2,846.1687,-1599.221700000001,14.202865800000003,532.16245,0,0,541,541,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
5,512,4,4,35557.71260000003,0.0,5761.582900000001,427.865,2211.573600000001,,2211.573600000001,0.0,0.0,0.0,0.0,0.0,0.0025,205.2889,1695.4052399999991,0.0,1.0,612.3518999999992,896.0427666666661,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7173500616567114,0.0,1042.0,0.0,0.0,1.0,0,0,0,0.25888777230487553,48,296.58277459154635,2.8361915496929275,299.41896614123925,2.951693413245452,2.489266871335125,5.440960284580578,3004.464799999991,2937.230900000013,3004.464799999991,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-81.07380000000002,0.0,48,2560.0,418.0261000000002,427.865,207.7709999999998,0.0,0.0,0.0,0.0,0.0,28,34.5689,2560.0,418.0261000000002,207.7709999999998,274.0,0.0,0.0,0.015,5.6043767940354146,5.59263071161047,2.033485891089109,1.5715403773584917,3.1791752479771604,3.4703478152,1068.0,1073.0,534.0,2045.3333333333335,1530.0000000000002,204.0,128,0,0,1,50,34.0,2048.0,21500.999499999998,2879.0278,9124.8135,764,4,0,128,0.1186292722639628,0.7173500616567114,0.29577568904463036,0,8127.105000000001,6013.4963,50,0,404.0,0,0,0,0.0,0,0.0,431083.32860000053,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,821.5283000000001,256.0,1813.0139999999997,4,1.1061,1.106,NaN,5120.0,100.0,0.20174960611979165,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,1200.0,0.0,9989.509866297403,0.0,9989.509866297403,0.0,1.1061,1979.2364999999998,13816.8553,0.722485344989142,384,15641.778500000004,128,415441.55010000005,4,0.0,4,343.1999999999998,2,1108.0221,-2006.284700000001,15.055037748000004,532.16245,0,0,534,534,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
6,512,4,4,37653.99690000003,0.0,5986.629000000001,423.5208,2635.0943000000007,,2635.0943000000007,0.0,0.0,0.0,0.0,0.0,0.0025,227.7468,1727.2424999999994,0.0,1.0,628.8096000000008,898.9999166666664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7167359285718309,0.0,1044.0,0.0,0.0,1.0,0,0,0,0.25654871323529416,48,289.6215226666677,2.611512665595352,292.23303533226306,3.9620387170914655,2.1673916401717133,6.129430357263178,3023.763400000004,3004.464799999995,3023.763400000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-116.57372499999995,0.0,48,2560.0,463.7156999999998,423.5208,230.48809999999975,0.0,0.0,0.0,0.0,0.0,34,33.9518,2560.0,463.7156999999998,230.48809999999975,274.0,0.0,0.0,0.015,5.598321966911768,5.60776753731344,1.8727658536585372,1.744718796992482,3.1032332526885407,3.3662373807439985,1072.0,1088.0,536.0,2046.6666666666667,1534.0,204.0,128,0,0,1,56,43.0,2048.0,22536.88059999998,3016.1533,10245.0405,764,4,0,128,0.13888097432337143,0.7167359285718309,0.3019198490889363,0,8094.571500000041,6090.9743000000035,56,0,369.0,0,0,0,0.0,0,0.0,432033.4865000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,691.0506000000003,256.0,1594.2239,4,0.5749,0.5748,NaN,5120.0,100.0,0.221883671875,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,1200.0,0.0,9330.403599003099,0.0,9330.403599003099,0.0,0.5749,2168.5819999999994,14855.417700000002,0.7217246688917431,384,15916.990099999992,128,416116.4964,4,0.0,4,343.19990000000007,2,1372.1132,-2407.3475000000008,15.958340012880004,532.16245,0,0,536,536,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
7,512,4,4,39703.962599999955,0.0,6860.3418,1072.1874,3035.478800000001,,3035.478800000001,0.0,0.0,0.0,0.0,0.0,0.0025,250.6399,1749.6926999999996,0.0,1.0,628.1312999999999,895.3388238095235,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7208320519730214,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.2568474758324383,48,330.2547282788566,2.38412826663872,332.63885654549534,5.396762091082863,1.8204861576907316,7.217248248773593,3016.4950000000026,3023.7634000000025,3016.4950000000026,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-150.08902499999996,0.0,48,2560.0,510.0343000000006,1072.1874,253.55750000000026,0.0,0.0,0.0,0.0,0.0,38,76.6282,2560.0,510.0343000000006,253.55750000000026,274.0,0.0,0.0,0.015,5.516442293233076,5.552768518518524,1.8028805999999933,1.9301667289719602,3.058497357125412,3.26525025932168,1080.0,1064.0,540.0,2046.6666666666667,1542.0,204.0,126,0,0,1,47,37.0,2048.0,23596.2354,2962.4969,11111.3245,763,5,0,128,0.18000469507958394,0.7208320519730214,0.32524426164377385,3,8128.675300000037,5869.494599999993,47,0,500.0,0,0,0,0.0,0,0.0,488800.6293000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,901.4402999999967,256.0,1706.6376999999998,4,0.0,0.0,NaN,5120.0,100.0,0.243819345703125,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1200.0,0.0,8568.327638351266,0.0,8568.327638351266,0.0,0.0,2364.2890999999995,15780.459100000002,0.7258771288562216,384,16151.3594,128,472649.2699000001,4,0.0,4,344.69990000000007,2,1634.5576,-2784.8389000000006,16.915840413652806,604.9329,0,0,540,540,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
8,512,4,4,41707.14240000002,0.0,8313.680100000001,1685.4029,3403.7850000000008,,3403.7850000000008,0.0,0.0,0.0,0.0,0.0,0.0025,274.0609,1763.0858999999996,0.0,1.0,618.9460999999998,885.2877291666664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.7224861293244633,0.0,1040.0,1.0,0.0,1.0,0,0,0,0.25477375451760886,48,342.1955510365311,1.904955743716061,344.1005067802472,8.547945315528239,1.4907620716461303,10.03870738717437,2959.2761000000014,3016.4950000000026,2959.2761000000014,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-188.33732500000005,0.0,48,2560.0,556.8202000000001,1685.4029,276.9594999999999,0.0,0.0,0.0,0.0,0.0,41,336.2072,2560.0,556.8202000000001,276.9594999999999,274.0,0.0,0.0,0.015,5.4600881017257,5.518341651031897,1.793933119999995,1.9740338403041842,3.02259059247425,3.167292751542029,1066.0,1101.0,533.0,2046.6666666666667,1528.0,204.0,129,0,0,2,64,52.0,2048.0,25336.365800000014,2852.6465,10869.3371,761,7,0,128,0.2492550464200256,0.7224861293244633,0.33706809182502284,12,7994.830999999996,6011.556999999995,65,1,625.0,0,0,0,0.0,0,0.0,497368.8072499995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1121.2081999999969,256.0,2038.5249,4,4.7306,4.7304,NaN,5120.0,100.0,0.24669586832682291,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,1200.0,0.0,8358.386486528585,0.0,8358.386486528585,0.0,4.7306,3711.2066999999997,15760.508500000002,0.7266018910920835,384,15969.176800000005,128,481399.6304499999,4,0.0,4,1658.7216000000003,2,1870.3625,-3129.724100000001,17.930790838471975,615.1972499999999,0,0,533,533,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
9,512,4,4,43666.70930000004,0.0,9015.2276,999.4671000000001,3742.3463000000006,,3742.3463000000006,0.0,0.0,0.0,0.0,0.0,0.0025,295.8424,1771.3948666666663,0.0,1.0,612.6222000000002,872.4544555555553,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7232019402972678,0.0,1046.0,0.0,0.0,1.0,0,0,0,0.25666445657258113,48,347.08350064129934,1.6019141072281093,348.6854147485274,10.603680620805017,1.1987824594018028,11.80246308020682,2966.8174999999983,2959.2761000000028,2966.8174999999983,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-237.43615000000003,0.0,48,2560.0,600.4331000000001,999.4671000000001,298.7579999999999,0.0,0.0,0.0,0.0,0.0,42,473.6848,2560.0,600.4331000000001,298.7579999999999,274.0,0.0,0.0,0.015,5.377498360655733,5.440622693726934,1.771800468749992,1.9563007490636697,3.0523467777148037,3.0722739689957668,1084.0,1037.0,542.0,2045.3333333333335,1545.9999999999998,204.0,125,0,0,1,39,27.0,2048.0,26859.77039999995,2720.3125,10946.5235,760,8,0,128,0.29109684774264744,0.7232019402972678,0.33753936401479434,17,8066.51059999998,5576.465799999995,39,0,640.0,0,0,0,0.0,0,0.0,498472.36279999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1133.952299999995,256.0,2370.5757000000003,4,22.6781,22.678400000000007,NaN,5120.0,100.0,0.25530775390625,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,1200.0,0.0,8441.754149393786,0.0,8441.754149393786,0.0,22.6781,4342.4638,16037.411699999999,0.7268731011783578,384,16002.221100000002,128,482470.1417,4,0.0,4,2252.3473000000004,2,1984.066,-3446.5039000000006,19.006638288780294,615.1972499999999,0,0,542,542,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
10,512,4,4,45584.930399999925,0.0,9639.2306,954.9679,4049.859300000001,,4049.859300000001,0.0,0.0,0.0,0.0,0.0,0.0025,316.4511,1775.2619999999997,0.0,1.0,603.3554000000008,857.2081399999998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,3,0.98828125,0.7241826957281443,0.0,1036.0,1.0,0.0,1.0,0,0,0,0.262389171029056,48,359.245691599149,1.240042674818641,360.48573427396764,12.255114081395433,1.089598968460156,13.34471304985559,2906.093700000014,2966.8174999999937,2906.093700000014,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-290.1645749999998,0.0,48,2560.0,641.7789000000002,954.9679,319.40970000000027,0.0,0.0,0.0,0.0,0.0,43,542.4252,2560.0,641.7789000000002,319.40970000000027,274.0,0.0,0.0,0.015,5.276589443920824,5.428747556391004,1.782405156249995,1.9249875717017209,3.0453764412836315,2.9801057499258943,1064.0,1061.0,532.0,2046.6666666666667,1526.0,204.0,130,0,0,2,42,24.0,2048.0,28227.978600000013,2678.5713,11128.3783,759,9,0,128,0.31810377661360856,0.7241826957281443,0.35472903576406645,24,7926.543000000002,5598.461399999995,43,1,640.0,0,0,0,0.0,0,0.0,507173.0482999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1140.7392999999968,256.0,2691.1259,4,47.795,47.79519999999999,NaN,5120.0,100.0,0.2693365755208333,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,1200.0,0.3699,7751.7456104807,0.0,7751.7456104807,0.0,47.795,5027.8233,16498.075500000003,0.7276482846848438,384,16127.4357,128,491045.6125999999,4,0.0,4,2796.5631999999996,2,2029.0323,-3733.4082000000008,20.147036586107113,625.4616,0,0,532,532,"N10 step 10, market entry",sumsy,9,-1.6007106751203537e-10
