round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25002.391199999995,0.0,25087.7096,0.0,3839.824000000008,,0.0,945.648,2894.1760000000077,0.0,2894.1760000000077,0.0,0.00375,0.0,11820.0036,0.0,1.0,3940.0011999999997,7779.825199999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.27223359743860365,0.0,512.0,0.0,0.0,1.0,0,0,0,1.0,48,9.943871568627452,3.27931568627451,13.223187254901962,1.144470588235294,2.9496470588235293,4.094117647058823,1208.1767999999968,0.0,1208.1767999999968,0.0,0,0,0.0,0.0,48.6128,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,85.3184,85.3184,0.0,4,946.824,369.7128,1335.244,100.17719999999991,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,3280.0,395.0839999999994,0.005,5.0,5.200000000000013,2.0,0.75,3.729700272479588,3.9200000000000013,320.0,76.0,160.0,2048.0,734.0,204.0,328,0,0,0,46,30.0,2048.0,18939.32,0.0,4071.9788,760,8,0,128,0.06091714139552007,0.27223359743860365,0.08912914208296319,0,5308.776000000005,380.0,42,0,1.0,128,0,0,4775.0,760,14983.08,30036.776000000085,0.0,4,1,0,1.5,0,0.0,128,128,14983.08,760,61440.0,0,0,2.0,208.0,1991.0924,4,0.0,0.0,NaN,5120.0,100.0,-0.2927704166666667,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,3002.2088000000012,0.0,3002.2088000000012,0.0,0.0,1796.0,6063.071200000001,0.2927417467200275,384,15053.696000000007,128,14983.08,4,0.0,4,346.72,2,84.14240000000011,-945.648,11.925,11.25,0,0,160,160,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
2,512,4,4,24463.120600000017,0.0,24665.8056,0.0,5936.126100000086,,0.0,932.9668,5003.159300000086,0.0,2108.9833000000035,10.851292500000033,0.00375,0.0,9525.0036,0.0,1.0,2410.0011999999997,6135.273499999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.29275037315535934,0.0,379.0,0.0,0.0,1.0,0,0,0,0.25518681129476584,48,10.530168431372548,2.813754901960784,13.343923333333333,1.3794562745098033,2.6609700000000003,4.040426274509803,3436.0559000000235,1056.5567999999935,3587.6759000000325,0.0,0,0,0.0,0.0,296.5018,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,202.68499999999995,247.562,0.0,12,79.47820000000002,618.7488,1956.5368,329.28060000000096,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1750.0,1770.315599999982,0.005274796686060578,4.893999999999953,5.514989887640437,1.85,1.1334794050343242,3.5399804154302394,3.802399999999999,890.0,1056.0,445.0,2048.0,1348.0,204.0,175,0,0,1,39,24.0,2048.0,16521.8621,245.1944,6752.8161,760,8,0,128,0.06881833906650381,0.29275037315535934,0.25522640235014205,0,4851.8862999999865,5168.06399999995,39,0,1.0,128,0,0,4168.4776,760,14995.33239999999,29728.30139999997,0.0,0,0,0,1.5,0,0.0,128,128,14995.33239999999,760,61440.0,0,0,1.85,252.0,943.248,4,0.0,0.0,NaN,5120.0,100.0,-0.2555413916015625,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,12,0.0,0,0.0,1200.0,0.0,12779.944633515084,0.0,12779.944633515084,0.0,0.0,1574.3811,7941.258500000001,0.313303149336535,384,14732.96899999999,128,14995.33239999999,4,0.0,4,346.72,2,201.5678000000013,-932.9668,12.640500000000001,11.25,0,0,445,445,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
3,512,4,4,26477.84340000001,0.0,26706.968500000003,0.0,7034.270600000087,,0.0,883.9543,6150.316300000087,0.0,1147.1570000000002,18.756829374999857,0.00375,0.0,8669.649199999998,0.0,1.0,2319.6467999999986,5221.637199999983,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.29261773623413356,0.0,1002.0,0.0,0.0,1.0,0,0,0,0.25000265994233245,48,11.760407301457679,3.2982956321065733,15.058702933564252,2.052974430475111,2.5786589421220314,4.631633372597142,3958.76549999996,3587.675900000054,3958.76549999996,0.0,0,0,0.0,0.0,327.6759,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,229.12509999999997,370.8879999999998,0.0,14,2596.2873000000004,581.5645,3386.9759999999997,1244.9290000000453,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1673.6400000000003,0.0,0.010022429915370279,5.573670433145017,5.492367419962327,NaN,1.3428087954110888,3.507338905109548,3.688327999999999,1062.0,1062.0,531.0,2046.6666666666667,1370.0,204.0,168,0,0,1,38,25.0,2048.0,17598.1604,522.8982,8005.171600000001,760,8,0,128,0.09233911238458159,0.29261773623413356,0.21064777849878324,0,8125.231599999976,5919.238000000008,38,0,0.0,128,0,0,4925.847900000004,760,16354.26529999999,31951.756699999965,0.0,0,0,0,1.5,0,0.0,128,128,16354.26529999999,760,61440.0,0,0,0.0,102.0,351.6132,4,0.0,0.0,NaN,5120.0,100.0,-0.2742882942708333,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,1200.0,0.0,14072.940193913293,0.0,14072.940193913293,0.0,0.0,2007.6862999999998,8879.683000000003,0.312785891059554,384,15597.491399999999,128,16354.26529999999,4,0.0,4,346.72,2,228.0666999999993,-883.9543,13.398930000000002,11.25,0,0,531,531,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
4,512,4,4,26336.0004,0.0,26564.205100000003,0.0,8611.094000000083,,0.0,930.8292,7680.264800000083,0.0,1529.9485000000002,23.057332749999862,0.00375,0.0,8159.945358898303,0.0,1.0,2210.277945197741,4856.132397598856,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.6495753945559606,0.0,505.0,1.0,0.0,1.0,0,0,0,0.261193891159846,48,77.94246132197888,2.1259472647144952,80.06840858669338,2.2021010106964654,1.3795909511246094,3.5816919618210745,4119.832999999968,3450.411899999949,4628.186600000103,0.0,0,0,0.0,0.0,339.8382,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,228.20469999999997,480.7901999999998,0.0,22,425.16659999999996,567.0096,2636.3099,660.9379000000057,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1474.5518000000002,1813.6122999999934,0.009742390880713584,5.735676011288806,5.667371106941816,1.7434,1.4473612595419834,3.5347926542039536,3.5776781599999983,1066.0,1063.0,533.0,2046.6666666666665,1456.9999999999998,204.0,147,0,0,1,40,25.0,2048.0,14793.292899999971,2606.3382,8936.369299999998,759,9,0,128,0.12470893086971513,0.6495753945559606,0.29836278242553593,4,4683.292,6097.0236,40,0,12.0,128,0,0,4094.5829999999983,759,112750.90759999999,126845.91589999996,0.0,0,12,0,1.5,0,0.0,128,128,112750.90759999999,759,61440.0,0,0,20.9208,185.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.20911361653645835,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,147,0.0,0,12,0.0,0,0.0,1200.0,0.0,12549.782179258224,0.0,12549.782179258224,0.0,0.0,1636.1499000000001,11542.7075,0.6569664445943506,384,14095.0083,128,112750.90759999999,4,0.0,4,346.72,2,227.20510000000206,-930.8292,14.202865800000003,137.9698,0,0,533,533,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
5,512,4,4,26371.29719999999,0.0,26592.9519,0.0,10552.852200000081,,0.0,1365.8847,9186.96750000008,0.0,1506.7027,28.791993999999864,0.00375,0.0,8207.085293082899,0.0,1.0,2798.54834327376,4826.274815388591,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7052035171033588,0.0,421.0,1.0,0.0,1.0,0,0,0,0.2604885098083555,48,191.527277707595,2.5758483121206233,194.1031260197156,1.9340489960624423,1.8088674169462222,3.7429164130086643,4062.97430000007,3780.2987999999805,4910.862100000081,0.0,0,0,0.0,0.0,340.10060000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,221.6547,588.2704,0.0,36,604.6788,569.3820000000001,2387.1110000000003,890.2521999999886,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,2041.4449999999938,625.7202000000011,0.010287919919101007,5.77048505639098,5.73669999999999,NaN,1.5774196911196923,3.567003887314544,3.4703478152,1056.0,1064.0,528.0,2046.6666666666665,1311.9999999999998,204.0,183,0,0,3,45,23.0,2048.0,15656.81799999997,898.8519,9815.6273,758,10,0,128,0.09362171111632422,0.7052035171033588,0.2387100948984524,0,7901.792400000014,6139.796100000002,45,0,0.0,128,0,0,4595.627499999997,758,281417.07930000004,296205.7990000005,0.0,0,0,0,1.5,0,0.0,128,128,281417.07930000004,758,61440.0,0,0,0.0,50.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.17782046712239585,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,12,0.0,0,0.0,1200.0,0.0,12283.698895159061,0.0,12283.698895159061,0.0,0.0,1797.7252999999996,10714.4792,0.7120924214011677,384,14788.719700000005,128,281417.07930000004,4,0.0,4,346.72,2,220.71390000000093,-1365.8847,15.055037748000004,358.45714999999996,0,0,528,528,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
6,512,3,4,26981.39230000003,0.0,25687.495999999996,0.0,13233.701300000079,,0.0,3086.4159,10147.285400000079,0.0,960.3179000000001,34.44015837499986,0.00375,0.0,8296.950580301731,0.0,1.0,2915.4256721319643,4890.36685353448,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9856770833333334,0.6948168239961028,0.0,421.0,1.0,0.0,1.0,0,0,0,0.26061763644355185,44,140.59292972286156,2.0029668360855575,142.59589655894712,1.6228839273413542,1.3593984142816955,2.98228234162305,4044.3037999999824,3518.1435999999985,4178.314299999987,108.45689999999999,1,0,490.94610000000074,344.161,293.54339999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,220.40580000000006,681.1055,1450.4688999999998,59,1892.8652,1282.7701,5287.902500000001,620.0243000000047,0.0,0.0,0.0,0.0,0.0,12,327.4968,0.0,0.0,0.0,0.0,2153.7263999999973,1896.1255999999978,0.010564190266530125,5.771484404536872,5.711438086303905,1.7423,1.7524551724137931,3.615840222651914,3.366237380743999,1066.0,1058.0,533.0,2044.0,1291.0,204.0,188,0,0,1,39,19.0,2048.0,14020.446300000012,2033.2794,10600.1698,757,7,4,128,0.10043471597563847,0.6948168239961028,0.22612522354599074,7,5148.4512000000095,6106.230500000011,39,0,7.0,128,0,0,3895.7121000000006,757,207391.63559999995,221303.80940000014,0.0,0,7,0,1.5,0,0.0,128,128,207391.63559999995,757,56320.0,0,0,12.1961,19.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.14451185014204546,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,11,0.0,0,0.0,1100.0,0.0,8604.36756077865,0.0,8604.36756077865,0.0,0.0,1430.4612,12633.4492,0.7013755995790238,384,13912.173799999993,128,207391.63559999995,3,0.0,4,346.72,2,76.22970000000151,-3086.4159,15.958340012880004,260.8778,0,1,399,533,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
7,512,1,4,72766.50920000007,0.0,59820.41106005152,0.0,60446.254800000075,,0.0,49999.2026,10447.052200000078,0.0,299.7667999999999,38.03986837499985,0.00375,0.0,8391.106664184943,0.0,1.0,2985.3477224947387,4955.953609456623,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6585415983894922,4.0,418.0,6.0,0.0,1.0,2,0,0,0.2500545809842546,19,78.0951106753229,1.971329259676714,80.06643993499962,2.36917658055627,1.1733617802662486,3.542538360822519,3985.5620999999833,2766.875599999993,480.16100000000006,0.0,8,0,2334.747100000042,45139.0969,197.6687,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,278.5964,739.2961,13201.120099999998,81,48446.3725,2661.2555999999986,51646.6062,621.221299999999,0.0,0.0,0.0,0.0,0.0,0,45012.3408,0.0,0.0,0.0,0.0,2223.516499999995,1100.3262000000004,0.009170421770861234,5.719534976303317,5.78726704331446,NaN,1.9566749521988551,3.6275433763617904,3.2652502593216792,1062.0,1055.0,531.0,2046.6666666666665,1272.0,204.0,193,0,0,3,35,18.0,2048.0,14074.893799999987,58.8553,12066.876,760,0,8,131,0.14544186693969885,0.6585415983894922,0.22196000850362152,14,6540.691699999999,6034.109399999999,36,1,0.0,128,0,0,4357.823100000001,757,113727.40295998717,127641.65403994845,0.0,0,0,0,1.5,0,0.0,128,128,113727.40295998717,757,30720.0,0,0,0.0,0.0,1553.5433,1,0.0,0.0,NaN,5120.0,100.0,0.17088246419270833,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,6,0.0,0,0.0,2597.7389,1318.5928000000001,4047.0169305054314,0.0,4047.0169305054314,0.0,0.0,616.0441000000001,13679.274599999999,0.7254369546444384,381,13434.916500000003,131,114206.73753994853,1,0.0,4,346.72,2,33169.177860051524,-49999.2026,16.915840413652806,137.9698,0,8,40,531,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
8,512,1,4,73245.1479000001,0.0,60736.01992330921,0.0,63083.08740000007,,0.0,48511.0087,14572.078700000073,0.0,4125.026500000001,39.16273874999988,0.00375,0.0,8452.735631226918,0.0,1.0,2961.3794668402506,5000.088549984606,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.98828125,0.4644082755352825,8.0,951.0,9.0,0.0,1.0,2,0,0,0.2500797109150813,19,19.106192531851917,1.1867627100884393,20.29295524194036,1.7945105203130076,1.248254503853397,3.0427650241664046,4122.445300000008,480.1609999999996,4122.445300000008,0.0,8,0,2334.747100000042,45139.0969,311.47580000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,583.4316,1044.499,13201.120099999998,82,3488.4699,3009.8312,1860.5430000000001,613.7258000000003,0.0,0.0,0.0,0.0,0.0,0,44880.3778,0.0,0.0,0.0,0.0,2206.4073,811.9333000000006,0.0023230809157809827,5.672235988753517,5.8701889943074095,NaN,2.030411776061774,3.6330403696583065,23.0111208298455,1054.0,1067.0,527.0,2044.0,1272.0,204.0,192,0,0,3,44,20.0,2048.0,13550.669200000006,0.0,14685.874600000001,759,9,0,131,0.11990911472152654,0.4644082755352825,0.13370284333733973,1,7031.349999999983,6052.275800000002,48,4,0.0,128,0,0,3947.854100000001,756,23195.37495272151,36686.632073962464,0.0,0,0,0,1.5,0,0.0,128,128,23195.37495272151,756,30720.0,0,0,0.0,12.0,128.2263,1,0.0,0.0,NaN,5120.0,100.0,0.1341697669405486,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,6,0.0,0,0.0,2597.7389,1296.6163,9029.95511251156,0.0,9029.95511251156,0.0,0.0,619.5821,14814.100900000001,0.7159760578908221,381,13374.061399999997,131,23312.57067396247,1,0.0,4,1512.2720999999997,2,32370.485423309223,-48511.0087,17.930790838471975,16.915840413652806,0,8,527,527,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
9,512,1,4,76096.68319999998,0.0,63879.90210000001,0.0,65695.66460000008,,0.0,49494.1051,16201.559500000069,0.0,1629.4807999999996,54.6298281249999,0.00375,0.0852,8498.842730443414,0.0,1.0,2955.8998413917875,5030.182031406715,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.98828125,0.4696049141867664,0.0,952.0,0.0,0.0,1.0,2,0,0,0.2501533531867019,19,20.68167173527655,1.4001504496368946,22.08182218491344,2.0060982596033714,1.4726467686750158,3.4787450282783867,4256.746699999994,3578.6326000000095,4800.559399999996,0.0,8,0,2334.747100000042,45139.0969,298.3342,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,885.7367999999999,1347.4860999999999,13201.120099999998,83,6033.2599,3181.724600000001,4101.1221000000005,640.6141999999998,0.0,0.0,0.0,0.0,0.0,0,44603.1318,0.0,0.0,0.0,0.0,2207.1696999999963,0.0,0.012765104386670875,5.6835501429933215,6.086649999999987,NaN,2.0564304015296404,3.738754356762523,22.320787204950136,1064.0,1049.0,532.0,2044.0,1274.0,204.0,193,0,0,1,32,14.0,2048.0,14340.992100000009,2146.665,14959.6585,759,9,0,131,0.12421873468387457,0.4696049141867664,0.19679670451266174,0,7981.989400000003,5962.044099999995,33,1,0.0,128,0,0,4407.420899999999,756,24845.561652721506,38737.85977396251,0.0,0,0,0,1.5,0,0.0,128,128,24845.561652721506,756,30720.0,0,0,0.0,4.0,46.1506,1,0.2838,0.1988,NaN,5120.0,100.0,0.13910096887118734,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,6,0.0,0,0.0,2597.7389,1274.6398,7099.700189458533,0.0,7099.700189458533,0.0,0.2838,658.4128,17152.4741,0.7127346026303663,381,13767.08060000001,131,24970.779173962466,1,0.0,4,1840.9279999999999,2,32385.645099999994,-49494.0199,19.006638288780294,16.915840413652806,0,8,532,532,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
10,512,1,4,76589.82580000011,0.0,64706.13209999998,0.0,68324.2685000001,,0.0,50438.8562,17885.412300000087,0.0,1683.8528000000003,60.73830012499987,0.00375,0.0,8535.985428427577,0.0,1.0,2956.756570095017,5054.910982285047,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.98828125,0.4841839409101252,0.0,479.0,0.0,0.0,1.0,2,0,0,0.2503510648111767,19,21.90273677339366,1.389564628091525,23.292301401485183,2.1329031080425054,1.4002738201227105,3.533176928165216,4273.632900000004,3696.016599999998,5378.175700000013,0.0,8,0,2334.747100000042,45139.0969,314.97709999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1228.7821999999996,1691.1783000000012,13201.120099999998,84,4017.2703,3524.1276999999986,4801.0858,636.2972000000001,0.0,0.0,0.0,0.0,0.0,0,44174.7305,0.0,0.0,0.0,0.0,2206.5294999999996,0.0,0.015,5.6915439926062845,6.119571077504748,1.7478,2.0775657692307683,3.8574103677451905,21.651163588801627,1058.0,1082.0,529.0,2046.6666666666665,1275.0,204.0,193,0,0,1,45,28.0,2048.0,14050.466299999987,2942.4815,15401.1621,759,9,0,131,0.13054709760827055,0.4841839409101252,0.16399517190221413,0,7305.282600000018,6158.250599999999,46,1,4.0,128,0,0,4372.7393,756,26188.539252721515,39913.84297396244,0.0,0,4,0,1.5,0,0.0,128,128,26188.539252721515,756,30720.0,0,0,6.9912,11.0,20.9854,1,0.0,0.0,NaN,5120.0,100.0,0.18155828006910402,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,6,0.0,0,0.0,2597.7389,1252.6633000000002,6548.62481936493,0.0,6548.62481936493,0.0,0.0,611.8014,18364.629,0.7161328289295901,381,13598.320500000002,131,26315.522473962472,1,0.0,4,2084.6004,2,32290.390000000003,-50438.8562,20.147036586107113,16.915840413652806,0,8,529,529,S1 step 10 + greedy quarter,debt,10,1.1641532182693481e-10
