round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26737.04880000001,0.0,474.0,474.0,474.0,,474.0,0.0,0.0,0.0,0.0,0.0,0.0025,122.2077,1683.0,0.0,0.9588,561.0,870.7844000000009,0.02,87.00000000000028,1.02,0.0,0.0,1.02,0.0,0,0,1.0,0.4692180107742454,0.0,672.0,0.0,0.0,1.02,0,0,0,0.9524092801903628,65,28.930041164215687,2.7243062745098032,31.654347438725488,3.1843743137254896,1.6547876470588236,4.839161960784313,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,48,2560.0,248.23120000000011,474.0,210.47969999999907,0.0,0.0,0.0,0.0,0.0,0,240.7152,2560.0,248.23120000000011,123.4797000000001,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,82.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,35.0,2048.0,17642.053300000076,1837.568,4090.6839999999993,768,0,0,128,0.1415371952857698,0.4692180107742454,0.6575038912401223,0,5256.646799999997,410.0,47,0,520.0,128,0,0,3946.2970999999934,768,24301.577100000053,37997.33329999999,0.0,0,0,0,1.5,0,0.0,128,128,24301.577100000053,768,61440.0,0,156,1040.0,208.0,2803.8206,4,49.384,49.383400000000016,0.1906783854166667,5120.0,99.74609375,0.14212357747395835,156,0,0.0,0,28.275812500000104,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,690.9480000000008,0.0,690.9480000000008,0.0,49.384,1489.1381000000003,8732.0726,0.4808524331525781,384,13695.756200000058,128,24301.577100000053,4,0.0,4,343.20000000000005,2,240.7152,-351.7923,11.925,11.25,0,0,160,160,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
2,512,4,4,29004.947700000073,0.0,1273.0423,799.0423000000001,559.6217,,559.6217,0.0,0.0,0.0,0.0,0.0,0.0025,146.4737,1683.0,0.0,0.91929744,561.0,717.2866833333348,0.02,353.17059999999987,1.0404,0.0,0.0,1.0404,0.0,0,0,0.9986979166666666,0.7211251404715411,0.0,957.0,2.0,0.0,1.0404,0,0,0,0.26388154791462537,65,298.82721193627447,2.464127843137255,301.2913397794117,3.478030784313725,2.151727647058823,5.629758431372549,2467.3916000000027,850.0000000000022,2467.3916000000027,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,0.0,0.0,48,2560.0,292.1010999999993,799.0423000000001,501.29779999999795,0.0,0.0,0.0,0.0,0.0,2,386.8198,2560.0,292.1010999999993,148.1271999999996,274.0,0.0,0.0,0.015,4.9096852026390065,5.5042507865168595,2.2205063241106706,1.122055405405406,3.5213189873417408,3.802399999999999,890.0,1061.0,445.0,2048.0,1264.0,204.0,196,0,0,1,49,23.0,2048.0,18991.508700000006,806.8736,6666.8475,767,1,0,128,0.13346699181054644,0.7211251404715411,0.41518181067293813,2,7422.17679999997,5209.175999999986,40,0,253.0,128,0,0,5131.772699999998,767,369551.6133999998,383411.3493999979,0.0,10,13,0,1.5,0,0.0,128,128,369551.6133999998,767,61440.0,0,0,561.7880999999996,168.0,2006.4243999999999,4,45.3819,45.38210000000001,0.1906783854166667,5120.0,99.74609375,0.1501688623046875,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,196,0.0,0,12,0.0,0,0.0,1200.0,0.0,10228.137495640402,0.0,10228.137495640402,0.0,45.3819,2206.7721,9480.1455,0.7268515640125326,384,13859.73599999999,128,369551.6133999998,4,0.0,4,343.20000000000005,2,386.8198,-413.148,12.640500000000001,459.65,0,0,445,445,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
3,512,4,4,31233.05410000002,0.0,3073.4767999999995,1836.1055999999999,602.1205,,602.1205,0.0,0.0,0.0,0.0,0.0,0.0025,169.4844,1672.8663000000006,0.0,0.8814223854719999,550.8663000000005,643.6699666666681,0.02,361.89380000000074,1.061208,0.0,0.0,1.061208,0.0,0,0,0.9986979166666666,0.7194793936288897,0.0,1053.0,1.0,0.0,1.061208,0,0,0,0.25700233810335543,65,305.070526557368,2.79021642902117,307.8607429863892,2.9584724942535114,2.490530668250364,5.4490031625038755,2991.711199999973,2467.3916000000036,2991.711199999973,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-7.134224999999998,0.0,48,2560.0,331.89360000000016,1836.1056,533.4607999999998,0.0,0.0,0.0,0.0,0.0,3,20.9115,2560.0,331.89360000000016,171.56700000000035,274.0,0.0,0.0,0.015,4.818940879926659,5.4865520295202455,1.9780435897435902,1.3420395563770768,3.476432651834482,3.688327999999999,1084.0,1091.0,542.0,2046.6666666666665,1546.0,204.0,125,0,0,1,58,28.0,2048.0,19972.412100000012,2347.251,7336.343500000001,767,1,0,128,0.1198512614788747,0.7194793936288897,0.3048990763473238,0,8559.575900000003,5257.4644999999855,33,0,273.0,128,0,0,5232.602,767,370461.3837000002,385304.10800000036,0.0,30,38,0,1.5,0,0.0,128,128,370461.3837000002,767,61440.0,0,0,540.0059000000001,256.0,1386.6516000000001,4,0.0,0.0,0.1906783854166667,5120.0,99.74609375,0.14743297200520833,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,1200.0,0.0,13859.830097179401,0.0,13859.830097179401,0.0,0.0,2189.0205999999994,11070.2461,0.7248656340226489,384,14842.724300000018,128,370461.3837000002,4,0.0,4,343.19990000000007,2,475.01110000000006,-432.6361,13.398930000000002,459.392,0,0,542,542,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
4,512,4,4,33417.724300000016,0.0,3789.9215999999997,871.9021,572.0144,,572.0144,0.0,0.0,0.0,0.0,0.0,0.0025,224.8613,1660.1647500000004,0.0,0.8451077831905535,540.6866999999999,564.7288833333345,0.02,425.5716999999991,1.08243216,0.0,0.0,1.08243216,0.0,0,0,0.9973958333333334,0.719880192713781,0.0,1068.0,2.0,0.0,1.08243216,0,0,0,0.2607832136059011,65,312.27625218565623,2.865911042793936,315.14216322845016,3.6772594891641552,2.6767119556077597,6.353971444771915,3043.735500000014,2991.711200000006,3043.735500000014,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-37.868925,0.0,48,2560.0,375.32979999999986,871.9021,623.1370999999996,0.0,0.0,0.0,0.0,0.0,0,118.5974,2560.0,375.32979999999986,197.5654000000003,274.0,0.0,0.0,0.015,5.369031539888682,5.432200179533239,1.8587948132780083,1.4450308108108072,3.236480943355213,3.5776781599999983,1114.0,1078.0,557.0,2046.6666666666667,1576.0000000000002,204.0,117,0,0,1,50,29.0,2048.0,20906.33869999999,2785.1228,7980.134,766,2,0,128,0.13240730367168752,0.719880192713781,0.29123963240014117,0,8343.836599999993,5787.815999999999,30,0,482.0,128,0,0,6198.794900000001,766,371920.2642999999,386725.57659999985,0.0,24,37,0,1.5,0,0.0,128,128,371920.2642999999,766,61440.0,0,0,895.9391,256.0,1402.6701,4,0.0,0.0,0.1906783854166667,5120.0,99.74609375,0.1606418570963542,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,117,0.0,0,12,0.0,0,0.0,1200.0,0.0,13530.787839074146,0.0,13530.787839074146,0.0,0.0,2742.9724,12167.926899999999,0.7251124901069759,384,14805.312300000014,128,371920.2642999999,4,0.0,4,326.0399000000002,2,740.9110000000001,-347.1531,14.202865800000003,459.908,0,0,557,557,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
5,512,4,4,35558.84459999999,0.0,3593.8052,2.9360999999999997,541.9083,,541.9083,0.0,0.0,0.0,0.0,0.0,0.0025,247.5097,1689.5759400000002,0.0,0.8102893425231027,602.4069,539.6688466666685,0.02,427.7355999999951,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,0.9973958333333334,0.7195954631952457,0.0,1066.0,0.0,0.0,1.1040808032,0,0,0,0.2661759077693156,65,281.12157019118644,2.5578065644836556,283.6793767556701,3.9574389809456942,2.4629585172931363,6.42039749823883,3113.6387999999893,3043.7355000000057,3113.6387999999893,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-75.768225,0.0,48,2560.0,418.8797000000001,2.9360999999999997,652.6839999999945,0.0,0.0,0.0,0.0,0.0,0,358.15290000000005,2560.0,418.8797000000001,224.94840000000002,274.0,0.0,0.0,0.015,5.474799457994585,5.557699820466767,1.8303421602787435,1.5854482882882872,3.1991770550605643,3.4703478152,1114.0,1107.0,557.0,2046.6666666666667,1576.0,204.0,117,0,0,1,70,37.0,2048.0,21969.11860000002,2951.8686,8896.9342,766,2,0,128,0.14377273516619327,0.7195954631952457,0.28794586179350423,0,8341.522699999987,6060.6030000000055,44,0,287.0,128,0,0,7135.6744000000035,766,372768.23419999983,387694.3011999999,0.0,32,48,0,1.5,0,0.0,128,128,372768.23419999983,766,61440.0,0,0,525.3081999999994,256.0,1135.2606,4,0.0,0.0,0.1906783854166667,5120.0,99.74609375,0.17662731933593748,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,117,0.0,0,12,0.0,0,0.0,1200.0,0.0,11809.726262054824,0.0,11809.726262054824,0.0,0.0,3342.6935000000003,12984.0634,0.7247585562983558,384,14926.067,128,372768.23419999983,4,0.0,4,308.8798999999999,2,951.1517000000001,-294.39860000000004,15.055037748000004,459.908,0,0,557,557,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
6,512,4,4,37658.096199999985,0.0,3394.6059,0.0,511.8022000000001,,511.8022000000001,0.0,0.0,0.0,0.0,0.0,0.0025,273.0445,1715.1172499999998,0.0,0.7769054216111508,614.2745999999996,520.8885500000015,0.02,415.56609999999966,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,0.9973958333333334,0.7184815617453086,0.0,1066.0,0.0,0.0,1.126162419264,0,0,0,0.2761201793535366,65,276.18959992946003,2.6034347819845625,278.7930347114446,4.775655631470793,2.584608772330369,7.360264403801162,3091.7001999999966,3113.638799999992,3091.7001999999966,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-111.70572499999997,0.0,48,2560.0,460.7484,0.0,667.9893000000001,0.0,0.0,0.0,0.0,0.0,0,481.3479,2560.0,460.7484,252.42319999999992,274.0,0.0,0.0,0.015,5.437325512104295,5.528237769784167,1.6996866666666686,1.7585048736462083,3.1868603552649772,3.3662373807439985,1112.0,1074.0,556.0,2046.6666666666667,1574.0,204.0,118,0,0,1,58,21.0,2048.0,23381.940699999974,3113.2997,9616.2945,766,2,0,128,0.15882839893069378,0.7184815617453086,0.28893488936370715,1,8382.110600000035,5839.687600000013,31,0,255.0,128,0,0,8055.900799999998,766,373599.5510000001,389013.06800000026,0.0,36,57,0,1.5,0,0.0,128,128,373599.5510000001,766,61440.0,0,0,433.4201000000005,256.0,792.1689,4,0.0,0.0,0.1906783854166667,5120.0,99.74609375,0.1881311100260417,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118,0.0,0,12,0.0,0,0.0,1200.0,0.0,11522.430579371987,0.0,11522.430579371987,0.0,0.0,3779.9544999999994,13521.7631,0.7236475451664428,384,15413.517000000003,128,373599.5510000001,4,0.0,4,291.71990000000005,2,1041.949,-238.75770000000006,15.958340012880004,459.908,0,0,556,556,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
7,512,4,4,39711.065300000046,0.0,4033.5198000000005,838.1131999999999,481.6961,,481.6961,0.0,0.0,0.0,0.0,0.0,0.0025,353.4734,1731.5578285714287,0.0,0.7448969182407714,610.0671000000001,478.07967619047815,0.02,437.3957999999955,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,0.99609375,0.7227651817295071,0.0,1068.0,1.0,0.0,1.14868566764928,0,0,0,0.2843190709710035,65,315.45759547489905,2.2279364476720973,317.68553192257116,6.806453080288247,2.1610593861219516,8.967512466410197,3101.7500999999966,3091.7001999999948,3101.7500999999966,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-145.65112499999992,0.0,48,2560.0,507.0309000000002,838.1131999999999,720.2254999999948,0.0,0.0,0.0,0.0,0.0,0,400.0278,2560.0,507.0309000000002,282.8297,274.0,0.0,0.0,0.015,5.350521962196224,5.51654758497316,1.6577322884012575,1.9236839928057528,3.176908811682293,3.26525025932168,1118.0,1111.0,559.0,2046.6666666666667,1580.0000000000002,204.0,116,0,0,2,69,29.0,2048.0,24742.13490000001,3056.5991,10452.285100000001,765,3,0,128,0.20531147543293415,0.7227651817295071,0.3346450295838044,0,8448.536200000026,5944.429900000005,35,0,319.0,128,0,0,9255.677000000001,765,424357.6291499999,439926.41844999924,0.0,46,51,0,1.5,0,0.0,128,128,424357.6291499999,765,61440.0,0,0,528.8166000000011,256.0,706.5450000000001,4,0.0,0.0,0.1906783854166667,5120.0,99.74609375,0.19917179768880208,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,116,0.0,0,12,0.0,0,0.0,1200.0,0.0,11140.676597434973,0.0,11140.676597434973,0.0,0.0,4582.9381,14215.429200000002,0.7280767683889431,384,15568.789300000002,128,424357.6291499999,4,0.0,4,274.5599000000002,2,1074.5910999999999,-128.22269999999997,16.915840413652806,524.50325,0,0,559,559,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
8,512,4,4,41717.74700000002,0.0,4506.362,713.9472,451.59000000000003,,451.59000000000003,0.0,0.0,0.0,0.0,0.0,0.0025,479.7403,1740.2353875,0.0,0.7142071652092515,600.3261000000001,420.16502916666667,0.02,444.9133999999968,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,0.9947916666666666,0.72621142860127,0.0,1089.0,1.0,0.0,1.1716593810022657,0,0,0,0.3095011802103813,65,358.3226566797775,1.8193665689240512,360.14202324870155,8.718979109944152,1.7475571922364141,10.466536302180566,3198.9164000000137,3101.750100000003,3198.9164000000137,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-185.98562499999983,0.0,48,2560.0,553.3183000000002,713.9472,758.757599999997,0.0,0.0,0.0,0.0,0.0,0,503.20129999999995,2560.0,553.3183000000002,313.8442,274.0,0.0,0.0,0.015,5.266864857405698,5.474899139414826,1.6123456953642497,1.932997227036394,3.099343820294535,3.167292751542029,1162.0,1087.0,581.0,2045.3333333333335,1623.9999999999998,204.0,104,0,0,1,61,21.0,2048.0,26130.844200000007,2914.7206,11000.2105,764,4,0,128,0.24727242740173838,0.72621142860127,0.3289568277400119,3,8474.194800000005,5725.082099999994,28,0,453.0,128,0,0,10590.8863,764,475108.0560999999,490725.19969999965,0.0,44,68,0,1.5,0,0.0,128,128,475108.0560999999,764,61440.0,0,0,730.3926000000051,256.0,689.0301,4,0.0,0.0,0.1906783854166667,5120.0,99.74609375,0.2100518098958333,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,0.0,0,12,0.0,0,0.0,1200.0,0.0,11878.932524965121,0.0,11878.932524965121,0.0,0.0,5331.7404000000015,14603.961199999998,0.731632165458743,384,15617.143600000005,128,475108.0560999999,4,0.0,4,257.3998999999999,2,1139.5489,28.15029999999996,17.930790838471975,589.0985,0,0,581,581,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
9,512,4,4,43687.21009999998,0.0,4230.633500000001,1.0738,421.48389999999995,,421.48389999999995,0.0,0.0,0.0,0.0,0.0,0.0025,666.2312,1743.8566,0.0,0.6847818300026304,590.9421000000001,359.2084666666667,0.02,473.6031000000011,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,0.9947916666666666,0.7262362808305771,0.0,1088.0,0.0,0.0,1.195092568622311,0,0,0,0.3257698662611799,65,364.23321995456746,2.1372803311705666,366.370500285738,9.543857718857259,2.071575804452264,11.615433523309523,3179.0601000000015,3198.9164000000014,3179.0601000000015,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-231.04882499999988,0.0,48,2560.0,590.5369000000007,1.0738,813.4492000000015,0.0,0.0,0.0,0.0,0.0,0,563.5962999999999,2560.0,590.5369000000007,339.8460999999999,274.0,0.0,0.0,0.015,5.1508884083045094,5.450103620689657,1.574520120724355,1.9153831597222235,3.071461860049911,3.0722739689957668,1160.0,1156.0,580.0,2046.6666666666665,1622.0,204.0,106,0,0,1,91,40.0,2048.0,27036.29979999997,2997.7659000000003,11685.2818,764,4,0,128,0.2672204931110107,0.7262362808305771,0.288680479882504,0,8395.226099999982,5954.427000000013,50,0,497.0,128,0,0,11370.219799999992,764,475728.27,491465.3161999999,0.0,64,58,0,1.5,0,0.0,128,128,475728.27,764,61440.0,0,0,782.5365000000045,256.0,738.0350999999999,4,0.0,0.0,0.1906783854166667,5120.0,99.74609375,0.227366552734375,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,106,0.0,0,12,0.0,0,0.0,1200.0,0.0,10634.669426236307,0.0,10634.669426236307,0.0,0.0,5764.043600000003,15421.0828,0.7316749845805779,384,15737.046200000003,128,475728.27,4,0.0,4,241.31370000000015,2,1160.1532,244.7473,19.006638288780294,589.0985,0,0,580,580,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
10,512,4,4,45621.757500000014,0.0,4687.124400000001,733.347,391.37780000000004,,391.37780000000004,0.0,0.0,0.0,0.0,0.0,0.0025,866.46,1742.8505400000001,0.0,0.656568818606522,577.9319999999998,292.13018000000005,0.02,452.6414000000019,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,0.9934895833333334,0.7259322393728347,0.0,1099.0,1.0,0.0,1.2189944199947573,0,0,0,0.3635279957696785,65,378.91474088662574,2.58713222951595,381.50187311614167,11.491536767517653,2.549093864671328,14.04063063218898,3231.7534000000014,3179.0600999999924,3231.7534000000014,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-273.3552249999998,0.0,48,2560.0,625.4526,733.347,818.0275000000026,0.0,0.0,0.0,0.0,0.0,0,591.8254999999999,2560.0,625.4526,365.3861,274.0,0.0,0.0,0.015,5.060227247956405,5.4286375000000024,1.5538079664570237,1.892006814310051,3.0179729725061444,2.9801057499258943,1184.0,1101.0,592.0,2046.6666666666665,1646.0,204.0,100,0,0,0,77,24.0,2048.0,29072.325799999988,2967.2088000000003,11323.1955,763,5,0,128,0.292457944943749,0.7259322393728347,0.29784302220463843,0,8350.728600000004,5571.310200000002,36,0,477.0,128,0,0,12984.642699999999,763,484618.3758500002,500771.93315000035,0.0,57,62,0,1.5,0,0.0,128,128,484618.3758500002,763,61440.0,0,0,741.1664000000003,256.0,800.7419,4,0.0,0.0,0.1906783854166667,5120.0,99.74609375,0.22451572184244786,0,0,0.0,0,0.0,5107.0,17,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,100,0.0,0,12,0.0,0,0.0,1200.0,0.0,11258.673557427119,0.0,11258.673557427119,0.0,0.0,6349.058100000001,15091.146200000001,0.7309976576264581,384,16153.557300000002,128,484618.3758500002,4,0.0,4,919.6760999999999,2,1148.5917,475.0822,20.147036586107113,599.56525,0,0,592,592,S2 step 11 + greedy quarter,sumsy,9,-7.275957614183426e-11
