round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26740.18999999998,0.0,747.05,747.05,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,120.7986,1683.0,0.0,1.0,561.0,959.7713000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7209721756860532,0.0,672.0,1.0,0.0,1.0,0,0,6,NaN,512,406.75810970588225,3.89460376953125,410.65271347541346,3.0793029411764707,1.8820470588235296,4.96135,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,245.0899999999999,747.05,121.96249999999993,0.0,0.0,0.0,0.0,0.0,0,240.7152,2560.0,245.0899999999999,121.96249999999993,274.0,0.0,0.0,0.0,NaN,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,0.0,160.0,2048.0,734.0,204.0,328,0,0,0,0,0.0,2048.0,18481.495799999993,1378.176,4025.888,767,1,0,128,0.13293146267633915,0.7209721756860532,0.6555734865361611,12,5241.715599999995,0.0,0,0,336.0,512,0,0,18481.495799999993,767,535092.9702999997,535092.9702999997,0.0,0,336,0,1.5,0,0.0,512,512,535092.9702999997,767,30720.0,0,88,672.0,208.0,2493.1164,4,25.333,25.346999999999877,0.167078125,5120.0,99.71354166666667,0.13214179361979167,88,0,0.0,0,14.173250000000001,5105.333333333333,17,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3837.7845,3072,600.0,600.0,0.0,1334.2064000000007,837.2640000000004,496.9424000000004,20.517,4.816,1065.1332999999997,4059.3959,0.7278775777904465,384,17736.030715625024,128,517356.9395843743,4,0.0,4,0.0,2,240.7152,-440.20140000000004,11.925,660.4,0,0,160,160,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
2,512,4,4,29008.001500000057,0.0,2135.6400999999996,1397.8926000000001,977.415,,977.415,0.0,0.0,0.0,0.0,0.0,0.0025,143.6062,1647.3203999999994,0.0,1.0,537.2135999999996,916.7309166666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7146002798429014,0.0,915.0,1.0,0.0,1.0,0,0,6,0.25101373269896193,512,362.5447131411039,3.8146524847146415,366.35936562581855,3.294305616983632,2.1056407358264915,5.399946352810123,2213.7681999999936,850.0000000000022,2213.7681999999936,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.8605,0.0,48,2560.0,292.18849999999907,1397.8926000000001,145.26539999999954,0.0,0.0,0.0,0.0,0.0,2,387.802,2560.0,292.18849999999907,145.26539999999954,274.0,0.0,0.0,0.015,4.89399999999998,5.435069801980182,1.8635616438356144,1.1271462686567157,3.5318752688171857,7.385631833333334,808.0,1088.0,404.0,2048.0,1116.0,204.0,233,0,0,0,54,0.0,2048.0,19593.063400000025,799.8212,6859.2688,766,2,0,128,0.12381828127786587,0.7146002798429014,0.47889388949191747,5,6855.317999999984,5324.671999999978,0,0,73.0,512,0,0,19593.063400000025,766,459263.5725999987,459263.5725999987,0.0,64,73,0,1.5,0,0.0,512,512,459263.5725999987,766,30720.0,0,0,136.03999999999985,102.0,1224.4398999999999,4,30.2359,30.24960000000041,0.167078125,5120.0,99.71354166666667,0.139702734375,0,0,0.0,0,0.0,5105.333333333333,17,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,233,0.0,6,6,4559.7811,3072,600.0,600.0,0.0,8389.182383106336,4156.679525885593,4232.502857220743,23.0777,7.1582,1199.4967,4323.7488,0.720613527076619,384,18423.039240624992,128,440840.5333593749,4,0.0,4,0.0,2,387.802,-833.8088,12.640500000000001,559.896,0,0,404,404,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
3,512,4,4,31238.5411,0.0,4768.6557999999995,2691.3920999999996,1382.9155999999996,,1382.9155999999996,0.0,0.0,0.0,0.0,0.0,0.0025,161.6823,1647.3203999999992,0.0,1.0,549.1067999999997,900.6718666666661,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7127596006343428,0.0,1078.0,0.0,0.0,1.0,0,0,6,0.25501918072477925,512,355.6847153589944,4.100318382678486,359.7850337416729,2.5620375489795535,2.7377032300456055,5.299740779025159,3123.9856999999997,2213.7681999999922,3123.9856999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.4428,0.0,48,2560.0,329.460400000001,2691.3920999999996,163.71500000000054,0.0,0.0,0.0,0.0,0.0,4,23.077399999999997,2560.0,329.460400000001,163.71500000000054,274.0,0.0,0.0,0.015,4.812063414634152,5.468284683098591,1.8500000000000048,1.3353508865248238,3.4530779683377664,7.164062878333333,1136.0,1107.0,568.0,2048.0,1516.0,204.0,133,0,0,0,77,0.0,2048.0,20416.305800000016,2084.5048,7750.9412999999995,764,4,0,128,0.1128068232598669,0.7127596006343428,0.33583904322534375,1,8440.381700000009,5326.9542000000065,0,0,206.0,512,0,0,20416.305800000016,764,461446.8804999998,461446.8804999998,0.0,83,206,0,1.5,0,0.0,512,512,461446.8804999998,764,30720.0,0,0,381.100000000001,174.0,802.0295000000001,4,0.0,0.0,0.167078125,5120.0,99.71354166666667,0.14489167317708335,0,0,0.0,0,0.0,5105.333333333333,17,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,133,0.0,6,6,5575.8713,3072,600.0,600.0,0.0,14424.810390816816,6965.867321214859,7458.943069601955,0.0,0.0,1547.3017,5061.604299999999,0.7186298894005678,384,19933.715840624984,128,441513.16465937486,4,0.0,4,0.0,2,477.721,-1221.2332999999996,13.398930000000002,559.896,0,0,568,568,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
4,512,4,4,33424.43670000001,0.0,5453.480099999999,857.4958000000001,1761.1447999999996,,1761.1447999999996,0.0,0.0,0.0,0.0,0.0,0.0025,183.4688,1640.4239249999991,0.0,1.0,539.9114999999999,878.2595833333328,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7117853975553143,0.0,1072.0,0.0,0.0,1.0,0,0,6,0.2563449581635836,512,362.4677850138811,4.358024510915071,366.82580952479617,2.9169758042531497,2.821084446563564,5.738060250816713,3078.922400000009,3122.4857000000025,3080.422400000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.2999,0.0,50,2560.0,374.10440000000034,891.2107,185.8575000000002,0.0,0.0,0.0,0.0,0.0,19,61.086600000000004,2560.0,374.10440000000034,185.8575000000002,274.0,0.0,32.2149,0.015,5.4676315465729335,5.42716737588654,1.7422654135338373,1.4328442857142847,3.189336101056672,6.949140991983332,1128.0,1138.0,564.0,2048.0,1535.0,204.0,128,0,0,0,93,0.0,2048.0,21220.8098,2878.1562000000004,8645.864699999998,764,4,0,128,0.10998346847371598,0.7117853975553143,0.2958937004071065,0,8101.929499999989,6222.164699999998,0,0,133.0,512,0,0,21220.8098,764,462795.3483999998,462795.3483999998,0.0,115,133,0,1.5,0,0.0,512,512,462795.3483999998,764,30720.0,0,0,231.72130000000035,201.0,435.05060000000003,4,0.0,0.0,0.167078125,5120.0,99.71354166666667,0.17624164388020833,0,0,0.0,0,0.0,5105.333333333333,17,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,6,6,5768.1891,3072,600.0,600.0,0.0,13320.101743565487,6876.577138735252,6443.524604830239,0.0,0.0,1633.9507999999998,6190.8823999999995,0.7175568638612084,384,20458.315615624997,128,442337.03278437513,4,0.0,4,0.0,2,744.4554999999999,-1577.6759999999995,14.202865800000003,559.896,0,0,564,564,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
5,512,4,4,35567.8449,0.0,5686.8453,430.0001,2191.1448,,2191.1448,0.0,0.0,0.0,0.0,0.0,0.0025,204.4949,1680.4204199999992,0.0,1.0,613.4688000000001,887.3492533333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7099815949817163,0.0,1103.0,0.0,0.0,1.0,0,0,6,0.27746959350188877,512,319.40085089426395,4.114286054300794,323.51513694856476,2.852609312425734,2.7612342997341908,5.613843612159925,3332.2406000000096,3075.922400000023,3336.7406000000096,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-84.22222500000002,0.0,56,2560.0,416.5918000000001,850.6482,207.02989999999997,0.0,0.0,0.0,0.0,0.0,32,42.2126,2560.0,416.5918000000001,207.02989999999997,274.0,0.0,383.93309999999997,0.015,5.597052567693748,5.570152268907579,1.725099999999998,1.5751788494077839,3.172125399228514,6.7406667622238325,1190.0,1071.0,595.0,2048.0,1652.0,204.0,99,0,0,1,44,0.0,2048.0,22843.81180000001,2891.6568,9360.6763,764,4,0,128,0.10495956888776581,0.7099815949817163,0.2754031268086621,0,8223.642200000011,5994.443300000004,0,0,134.0,512,0,0,22843.81180000001,764,464565.76109999954,464565.76109999954,0.0,48,134,0,1.5,0,0.0,512,512,464565.76109999954,764,30720.0,0,0,231.16339999999974,256.0,224.99249999999998,4,0.0,0.0,0.167078125,5120.0,99.71354166666667,0.19490291341145835,0,0,0.0,0,0.0,5105.333333333333,17,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,99,0.0,6,6,5783.0115000000005,3072,600.0,600.0,0.0,13603.135222341316,7277.076936966228,6326.058285375086,0.0,0.0,1835.0203999999999,6694.3141000000005,0.7156871722638978,384,21198.268840624998,128,443367.49225937494,4,0.0,4,0.0,2,989.0858999999999,-1986.6499000000001,15.055037748000004,559.896,0,0,595,595,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
6,512,4,4,37665.0976,0.0,5913.7042,423.4936,2614.6384,,2614.6384,0.0,0.0,0.0,0.0,0.0,0.0025,227.1215,1714.344599999999,0.0,1.0,627.9884999999994,891.5581999999994,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7076972404726745,0.0,1015.0,0.0,0.0,1.0,0,0,6,0.2840840478203116,512,312.72184608831793,4.10513935873106,316.82698544704897,3.8018923208432014,2.3099540619560104,6.111846382799212,2874.1324000000013,3335.2406000000146,2875.6324000000013,0.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-119.17912500000004,0.0,66,2560.0,462.7473000000002,1315.2721999999999,229.95589999999967,0.0,0.0,0.0,0.0,0.0,38,41.7703,2560.0,462.7473000000002,229.95589999999967,274.0,0.0,648.4747999999993,0.015,5.553477930402935,5.633397238658779,1.6698000000000042,1.7412713717693826,3.1022925461350326,6.538446759357117,1014.0,1092.0,507.0,2046.6666666666667,1476.0,204.0,142,0,0,0,61,0.0,2048.0,23665.384700000035,3487.4728000000005,10217.532899999998,764,4,0,128,0.13252112856955045,0.7076972404726745,0.35894282076399664,0,7574.358900000029,6064.397900000005,0,0,181.0,512,0,0,23665.384700000035,764,466797.3904000004,466797.3904000004,0.0,68,181,0,1.5,0,0.0,512,512,466797.3904000004,764,30719.999999999996,0,0,302.23380000000077,256.0,25.8154,4,0.0,0.0,0.167078125,5120.0,99.765625,0.19629826822916666,0,0,0.0,0,0.0,5108.0,17,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,142,0.0,6,6,7063.4841,3072,600.0,506.0,0.0,9223.025302018308,4433.673473884313,4789.351828133995,0.0,0.0,2019.1781000000005,6667.337,0.7133253671677846,384,22458.432115625004,128,444338.9582843752,4,0.0,4,0.0,2,1248.6462,-2387.5168999999996,15.958340012880004,559.896,0,0,507,507,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
7,512,4,4,39716.855599999995,0.0,6799.0034,1081.934,3010.6195,,3010.6195,0.0,0.0,0.0,0.0,0.0,0.0025,249.5265,1736.4821999999995,0.0,1.0,623.1025999999999,887.8542714285711,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7182936886752342,0.0,1062.0,2.0,0.0,1.0,0,0,6,0.2627823047130426,512,439.57227242629915,4.096490368296592,443.66876279459575,5.078982046811853,2.008547906443003,7.0875299532548555,3093.093100000012,2871.132400000001,3097.593100000012,0.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-152.16982500000006,0.0,76,2560.0,508.24199999999985,2616.8552,252.58899999999997,0.0,0.0,0.0,0.0,0.0,43,231.7686,2560.0,508.24199999999985,252.58899999999997,274.0,0.0,1104.414200000001,0.015,5.503839361702129,5.550709566787025,1.6660999999999924,1.9355489981785057,3.0582295055994173,6.342293356576403,1108.0,1128.0,554.0,2048.0,1570.0,204.0,119,0,0,0,86,0.0,2048.0,24545.13150000001,3102.9575,11518.5091,763,5,0,128,0.16641408837500848,0.7182936886752342,0.33683484879662307,4,7770.594300000023,6208.330800000002,0,0,209.0,512,0,0,24545.13150000001,763,643423.8691999995,643423.8691999995,0.0,104,209,0,1.5,0,0.0,512,512,643423.8691999995,763,30719.999999999996,0,0,348.2148999999984,256.0,68.96240000000002,4,0.0,0.0,0.167078125,5120.0,99.765625,0.22318650390624997,0,0,0.0,0,0.0,5108.0,17,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,119,0.0,6,6,7597.2217,3072,600.0,506.0,0.0,10260.851329316158,4919.156225766174,5341.695103549985,0.0,0.0,2232.045,7093.207299999999,0.7240823986531373,384,23544.546378125004,128,619879.322821875,4,0.0,4,0.0,2,1496.0989,-2761.093,16.915840413652806,788.0713499999999,0,0,554,554,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
8,512,4,4,41724.2801,0.0,6997.0023,428.93129999999996,3378.6213999999995,,3378.6213999999995,0.0,0.0,0.0,0.0,0.0,0.0025,271.5045,1750.9950749999994,0.0,1.0,617.5283999999999,879.1949749999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7181270597047764,0.0,1097.0,0.0,0.0,1.0,0,0,6,0.2672196854031666,512,443.74086753028314,3.937830178814901,447.67869770909806,6.517647757694719,1.7446345367762557,8.262282294470975,3254.9324000000165,3096.09310000002,3256.4324000000165,0.0,2,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-190.05322500000005,0.0,87,2560.0,552.5755000000003,2342.4613,274.6934000000001,0.0,0.0,0.0,0.0,0.0,45,65.6602,2560.0,552.5755000000003,274.6934000000001,274.0,0.0,1554.4062999999833,0.015,5.428352873563218,5.486326101694943,1.651499999999999,1.9662883760683774,3.0687057712441663,6.152024555879112,1180.0,1131.0,590.0,2048.0,1642.0,204.0,101,0,0,0,86,0.0,2048.0,25959.980300000003,3036.5276,12363.7467,763,5,0,128,0.19952620591182346,0.7181270597047764,0.34200569717766105,6,8069.151700000012,6139.467099999999,0,0,156.0,512,0,0,25959.980300000003,763,644603.0250998602,644603.0250998602,0.0,107,156,0,1.5,0,0.0,512,512,644603.0250998602,763,30719.999999,0,0,257.63399999999984,256.0,26.8608,4,0.0,0.0,0.167078125,5120.0,99.81770833007812,0.2551757584635416,0,0,0.0,0,0.0,5110.6666665,12,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,101,0.0,6,6,7394.428599999999,3072,600.0,412.0,0.0,10998.39527011128,5859.144737784132,5139.250532327145,0.0,0.0,2397.5379,8032.7065,0.7237145290658924,384,24058.688375495323,128,620544.3367243655,4,0.0,4,60.92939999999999,2,1662.6873,-3107.1168999999995,17.930790838471975,788.0713499999999,0,0,590,590,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
9,512,4,4,43690.982099999994,0.0,7889.855699999999,1126.8324,3716.1793,,3716.1793,0.0,0.0,0.0,0.0,0.0,0.0025,291.817,1759.4608666666663,0.0,1.0,609.0624000000005,867.2452666666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7179961515049929,0.0,1114.0,2.0,0.0,1.0,0,0,6,0.2901726372489152,512,458.30901402494027,4.000823422260839,462.3098374472012,8.385184466867608,1.716583248156927,10.101767715024536,3359.9137999999925,3251.9324000000156,3364.4137999999925,0.0,2,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-226.23645,0.0,96,2560.0,593.298,3124.2745,295.03820000000024,0.0,0.0,0.0,0.0,0.0,47,335.9536,2560.0,593.298,295.03820000000024,274.0,0.0,1992.9417999999769,0.015,5.332181059947869,5.505624052718274,1.6422000000000023,1.943591181364392,2.9685225491729126,5.967463819202737,1214.0,1151.0,607.0,2048.0,1676.0,204.0,93,0,0,0,96,0.0,2048.0,27749.1084,2978.187,12308.532500000001,762,6,0,128,0.2338399226307437,0.7179961515049929,0.3191991913765677,4,7997.412599999977,6137.340399999997,0,0,183.0,512,0,0,27749.1084,762,656752.8169998609,656752.8169998609,0.0,128,183,0,1.5,0,0.0,512,512,656752.8169998609,762,30719.999999,0,0,300.5226000000004,256.0,27.383599999999998,4,0.0,0.0,0.167078125,5120.0,99.81770833007812,0.2434700520833334,0,0,0.0,0,0.0,5110.6666665,12,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,93,0.0,6,6,7797.0978,3072,600.0,412.0,0.0,11790.100315193778,5775.388946627268,6014.711368566513,0.0,0.0,3059.1436999999996,7517.005300000001,0.723047362013957,384,24687.17646299536,128,632065.6405368662,4,0.0,4,839.7143000000001,2,1897.6756,-3424.3623,19.006638288780294,801.7225000000001,0,0,607,607,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
10,512,4,4,45615.97959999998,0.0,8683.602399999998,1067.1894000000002,4022.6331,,4022.6331,0.0,0.0,0.0,0.0,0.0,0.0025,312.4378,1762.9960199999996,0.0,1.0,598.2708,851.9926666666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2,0.9908854166666666,0.7188930868774484,0.0,1124.0,2.0,0.0,1.0,0,0,6,0.326528762732782,512,468.2198517135299,3.830480295439764,472.0503320089697,9.442646529501836,1.5507940583629014,10.993440587864736,3341.680199999982,3355.4137999999994,3350.6801999999816,1.5,2,2,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-267.9729500000002,0.0,107,2560.0,635.0024999999997,4543.477199999999,315.81399999999985,0.0,0.0,0.0,0.0,0.0,48,474.7874,2560.0,635.0024999999997,315.81399999999985,274.0,0.0,2394.5218999999747,0.015,5.225795879828325,5.378123300970845,1.6444000000000016,1.9325779050736525,2.994483165445277,5.788439904626656,1236.0,1165.0,618.0,2048.0,1698.0,204.0,87,0,0,0,116,0.0,2048.0,28890.432300000026,3017.1528,12882.742900000001,761,7,0,128,0.252355498938559,0.7188930868774484,0.3254413972252379,10,8130.6456000000235,6088.052199999998,0,0,206.0,512,0,0,28890.432300000026,761,657328.5355998608,657328.5355998608,0.0,141,206,0,1.5,0,0.0,512,512,657328.5355998608,761,30719.999999,0,0,338.74640000000034,256.0,38.4264,4,0.0,0.0,0.167078125,5120.0,99.81770833007812,0.29562600911458337,0,0,0.0,0,0.0,5110.6666665,12,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,87,0.0,6,6,6960.852400000001,3072,600.0,412.0,0.0,11159.629874087219,6628.282368040896,4531.347506046324,0.0,0.0,2722.4191000000005,8977.469700000001,0.7239157507985952,384,24466.41251299535,128,632862.1230868658,4,0.0,4,805.0016999999998,2,2001.2042999999999,-3710.1953,20.147036586107113,801.7225000000001,0,0,618,618,SB2 best SuMSy + everyone greedy,sumsy,5,1.4551915228366852e-11
