round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24055.567199999998,0.0,24140.885599999998,0.0,561.0,,0.0,0.0,561.0,0.0,561.0,0.0,0.00375,0.0,1683.0,0.0,1.0,561.0,1122.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.684868079547599,0.0,512.0,2.0,0.0,1.0,0,0,0,1.0,48,128.85078431372548,2.6505098039215693,131.50129411764706,3.7781568627450985,2.535333333333333,6.3134901960784315,881.1128000000022,0.0,881.1128000000022,0.0,0,0,0.0,0.0,49.1128,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,85.3184,85.3184,0.0,4,0.0,369.7128,499.6,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,507.4400000000006,0.005,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,77.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,30.0,2048.0,18163.360000000008,0.0,4001.4188000000004,760,8,0,128,0.14392359209006433,0.684868079547599,0.6962444004547566,0,2245.160000000002,385.0,47,0,12.0,0,0,0,0.0,0,0.0,179896.16000000018,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,24.0,208.0,1890.7884,4,0.0,0.0,NaN,5120.0,100.0,-0.2693469791666667,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,3173.0728000000013,0.0,3173.0728000000013,0.0,0.0,2675.8399999999997,5892.207200000002,0.6920260223513368,384,12890.060000000012,128,167006.09999999998,4,0.0,4,328.20000000000005,2,85.31840000000011,0.0,11.925,212.5,0,0,160,160,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
2,512,4,4,23534.881999999954,0.0,23731.721600000004,0.0,1115.4309,,0.0,0.0,1115.4309,0.0,554.4309,2.1036125,0.00375,0.0,1683.0,0.0,1.0,561.0,1117.6635999999999,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6818366809285337,0.0,512.0,3.0,0.0,1.0,0,0,0,0.26107725556761374,48,102.01600980392158,1.6613388235294118,103.67734862745098,3.4740143137254895,1.5027168627450982,4.976731176470588,2797.3848000000094,840.6728000000021,2837.82480000001,0.0,0,0,0.0,0.0,320.9618,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,196.83959999999996,242.83080000000004,0.0,16,45.991200000000006,566.6764,2646.9696,8.6728,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2106.9291999999873,0.005720286807615326,4.910839302112014,5.490960088691817,1.8457522123893766,1.1244288939051927,3.458472435897406,3.802399999999999,902.0,1089.0,451.0,2048.0,1248.0,204.0,199,0,0,1,48,48.0,2048.0,15276.558799999937,134.0144,6696.084,760,8,0,128,0.17643200713828255,0.6818366809285337,0.5648208118963243,5,3214.806399999996,5347.903999999983,48,0,113.0,0,0,0,0.0,0,0.0,142732.9896999985,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,208.56999999999957,140.0,1428.2248,4,8.4243,8.4244,NaN,5120.0,100.0,-0.23014385416666663,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,199,0.0,0,12,0.0,0,0.0,1200.0,0.0,11105.262145504164,0.0,11105.262145504164,0.0,8.4243,1852.3868,8258.323199999999,0.6887491566259181,384,11205.76239999999,128,131527.22729999997,4,0.0,4,328.20000000000005,2,196.83959999999934,0.0,12.640500000000001,166.67,0,0,451,451,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
3,512,4,4,25656.420699999995,0.0,25878.188500000004,0.0,1309.2059,,0.0,0.0,1309.2059,0.0,193.775,4.1829125000000005,0.00375,0.0,1672.9938000000006,0.0,1.0,550.9938000000005,991.9710000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6775325960268705,0.0,1038.0,0.0,0.0,1.0,0,0,0,0.2567465650902844,48,105.19868249152906,1.9259141503354076,107.12459664186446,3.9663916016003222,1.9086023058533559,5.874993907453678,3187.37530000001,2837.824800000001,3187.37530000001,0.0,0,0,0.0,0.0,251.63860000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,221.76779999999997,361.48919999999987,0.0,17,2649.3642999999993,527.8256,3083.935299999999,361.4018,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009502441088561988,4.818301602261995,5.487358317757028,1.7413727272727295,1.3331371916508516,3.397118071316282,3.688327999999999,1070.0,1061.0,535.0,2046.6666666666667,1426.0,204.0,155,0,0,2,55,32.0,2048.0,17512.36789999998,208.537,7048.9162,760,8,0,128,0.17298817982580994,0.6775325960268705,0.358060118924848,0,7653.780499999976,5112.217999999976,55,0,66.0,0,0,0,0.0,0,0.0,145162.5738000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,114.93060000000015,150.0,886.5996,4,0.0,0.0,NaN,5120.0,100.0,-0.2669397086588542,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155,0.0,0,12,0.0,0,0.0,1200.0,0.0,15131.65563245271,0.0,15131.65563245271,0.0,0.0,2542.0090000000005,8144.0527999999995,0.6845092764202358,384,11982.309199999994,128,133180.26459999997,4,0.0,4,328.2,2,221.76779999999962,0.0,13.398930000000002,166.67,0,0,535,535,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
4,512,4,4,25251.475799999982,0.0,25500.6331,0.0,1603.0922,,0.0,0.0,1603.0922,0.0,293.8863,4.909468625,0.00375,0.0,1660.2068250000004,0.0,1.0,540.6153,951.3762500000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6972634534080682,0.0,1041.0,1.0,0.0,1.0,0,0,0,0.25385049756100725,48,113.32024979925308,0.9667933527858514,114.28704315203893,4.423127384699371,0.9312060022234051,5.354333386922776,3265.6182000000067,3187.375300000008,3265.6182000000067,0.0,0,0,0.0,0.0,328.76610000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,249.15730000000002,495.30109999999985,0.0,21,234.29049999999998,639.2354000000001,2395.0487999999996,251.63860000000003,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2267.180700000006,0.009879311054426264,5.241378577857788,5.448705194805209,1.7118023255813974,1.4325286252354037,3.2611201836991555,3.5776781599999983,1078.0,1111.0,539.0,2045.3333333333335,1523.0,204.0,130,0,0,1,70,50.0,2048.0,14638.346200000015,2623.398,7752.8781,760,8,0,128,0.25135002427092745,0.6972634534080682,0.5179418583459159,27,3460.179899999995,5823.171600000003,71,1,129.0,0,0,0,0.0,0,0.0,148995.31840000034,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,220.82250000000028,239.0,236.8535,4,0.0,0.0,NaN,5120.0,100.0,-0.2195091064453125,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,1200.0,0.0,13837.625138483172,0.0,13837.625138483172,0.0,0.0,2132.5326,10613.1296,0.7038060682096063,384,9931.313500000002,128,139064.00490000006,4,0.0,4,328.2,2,249.15729999999894,0.0,14.202865800000003,175.108,0,0,539,539,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
5,512,4,4,24916.356900000006,0.0,25157.373099999997,0.0,1868.4187000000002,,0.0,0.0,1868.4187000000002,0.0,265.3265,6.01139275,0.00375,0.0,1681.0140600000004,0.0,1.0,588.0809999999999,930.5801800000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9856770833333334,0.7007008770712229,0.0,665.0,0.0,0.0,1.0,0,0,0,0.2596952729219208,48,106.72646266407834,1.1421246823166753,107.86858734639502,7.0528213739244405,1.1245398759376157,8.177361249862056,3298.8274999999944,3265.618199999982,3298.8274999999944,0.0,0,0,0.0,0.0,305.16020000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,241.01620000000003,607.5651,0.0,30,225.9114,561.0303,3722.588,328.76610000000005,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1917.2747999999988,0.011201193351796954,5.506344662095984,5.4929675229357695,1.6767438356164404,1.5684282771535576,3.168045162834445,3.4703478152,1090.0,1021.0,545.0,2046.6666666666667,1452.0,204.0,149,1,1,24,45,28.0,2047.0,16139.901299999994,351.6088,8318.152,757,11,0,128,0.30992642644027923,0.7007008770712229,0.43980660734428634,12,5787.44649999999,5621.977899999999,58,13,73.0,0,0,1,0.0,0,0.0,150236.8760000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,122.40230000000015,156.0,106.6948,4,0.0,0.0,NaN,5120.0,100.0,-0.23526577962239584,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,149,0.0,0,12,0.0,0,0.0,1200.0,0.0,14664.428942433842,0.0,14664.428942433842,0.0,0.0,3101.2769,8776.4556,0.7072110125224467,384,9290.421899999992,128,140946.4541,4,0.0,4,328.2,2,241.01620000000185,0.0,15.055037748000004,175.108,0,0,545,545,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
6,512,4,4,24468.787500000024,0.0,24703.3314,0.0,2313.3381,,0.0,0.0,2313.3381,0.0,444.9194,7.006367125,0.00375,0.0,1709.75205,0.0,1.0,617.8139999999999,951.4379500000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9856770833333334,0.7113726780299905,0.0,129.0,0.0,0.0,1.0,0,0,0,0.270478844782394,48,102.29952726350675,0.6777523864395295,102.97727964994628,6.580363246899143,0.6759726213500937,7.256335868249236,3240.051500000001,3173.5685000000044,3365.3104999999987,0.0,0,0,0.0,0.0,327.34130000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,234.5439,718.1304999999998,0.0,45,117.0377,564.6070999999998,3295.7207999999987,179.90120000000002,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,2532.4685000000172,0.010289719077206067,5.493601548886744,5.5906145873320545,1.635075925925923,1.7345547058823532,3.1575759306103355,3.3662373807439985,1042.0,1033.0,521.0,2015.0000000000007,1339.0,204.0,169,0,0,12,38,11.0,2048.0,14346.704600000006,1028.6774,9009.6148,757,11,0,128,0.3616457193841842,0.7113726780299905,0.46922984314338523,62,4497.425500000005,5674.890400000007,45,7,108.0,0,0,0,0.0,0,0.0,148888.5986999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,176.5881999999997,91.0,83.7907,4,0.0,0.0,NaN,5120.0,100.0,-0.2059742919921875,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,169,0.0,0,12,0.0,0,0.0,1200.0,0.0,11683.064244013893,0.0,11683.064244013893,0.0,0.0,2750.3210999999997,10122.0829,0.7176680219205347,384,7812.552500000001,128,141076.0462,4,0.0,4,328.2,2,234.54390000000058,0.0,15.958340012880004,175.108,0,0,521,521,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
7,512,4,4,24023.885199999975,0.0,22473.6985,0.0,4453.417699999999,,0.0,0.0,4453.417699999999,0.0,2140.0796,8.674867124999999,0.00375,0.0,1729.6650428571431,0.0,1.0,616.3810000000001,961.5741714285716,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.7166126105396129,0.0,128.0,0.0,0.0,1.0,0,0,0,0.28182957628280286,44,103.74246611760759,0.3856820183405358,104.12814813594812,4.64509676525137,0.37591539782917016,5.021012163080541,3188.6778999999965,3123.08070000001,3430.9076999999984,0.0,1,0,0.0,1725.394,312.59180000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,246.75740000000002,844.1392999999997,1803.5951,61,113.7953,558.6976000000001,4150.974499999999,210.37050000000002,0.0,0.0,0.0,0.0,0.0,3,1725.394,0.0,0.0,0.0,0.0,0.0,2429.137800000003,0.010281539744465364,5.416395332671307,5.5309348076923,1.5980228070175453,1.9281037401574808,3.1374536206836052,3.2652502593216797,1040.0,1007.0,520.0,2032.0000000000002,1323.9999999999998,204.0,178,6,6,56,39,23.0,2042.0,12289.224400000003,459.02959999999996,9550.2372,756,12,0,128,0.3248486840723146,0.7166126105396129,0.4644783099265568,71,5047.618699999999,5454.310100000006,58,19,114.0,0,0,6,0.0,0,0.0,148796.0900999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,182.17460000000017,59.0,0.0,3,0.0,0.0,NaN,5120.0,100.0,-0.18400454012784087,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,178,0.0,0,11,0.0,0,0.0,1100.0,0.0,11828.525140636753,0.0,11828.525140636753,0.0,0.0,2177.5799,10009.2668,0.7223599369183784,384,7126.045999999994,128,141670.04409999997,4,0.0,4,328.20000000000005,2,175.20729999999799,0.0,16.915840413652806,175.108,0,1,520,520,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
8,512,4,4,27991.418300000005,0.0,22972.485799999995,0.0,10040.691600000002,,0.0,4460.1314,5580.560200000001,0.0,1127.1425000000004,16.699889499999994,0.00375,0.0,1741.3521000000003,0.0,1.0,607.7205000000006,967.9243250000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98046875,0.7240585418297958,0.0,128.0,0.0,0.0,1.0,0,0,0,0.30124986714847485,36,105.83247298944613,0.257666843809898,106.09013983325602,4.309727739938375,0.23152218574415673,4.541249925682531,3046.822600000016,3079.1517,3393.6471000000133,125.259,3,0,4.9315,6891.3126,318.10339999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,308.8492,968.3706,5367.3993,76,4522.2709,554.7378000000001,9177.1908,203.06560000000002,0.0,0.0,0.0,0.0,0.0,5,6833.4157,0.0,0.0,0.0,0.0,0.0,2390.727499999997,0.010915395683451642,5.3970846391752545,5.49038068410466,1.5826171171171162,1.9547952282157677,3.095456398047165,3.167292751542029,994.0,970.0,497.0,1967.3333333333353,1266.9999999999998,204.0,185,30,30,36,40,26.0,2018.0,10793.637400000003,360.89050000000003,10003.4747,753,15,0,128,0.35748979413643966,0.7240585418297958,0.5100110711158052,111,4676.742499999994,5235.172099999997,57,17,111.0,0,0,30,0.0,0,0.0,147902.3216000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,175.6704999999999,23.0,0.0,1,0.0,0.0,NaN,5120.0,100.0,-0.11982138020833331,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,9,0.0,0,0.0,900.0,0.0,10329.432271549702,0.0,10329.432271549702,0.0,0.0,1401.8061999999998,10364.3652,0.7283498694935884,384,5996.303100000002,128,141906.0185,4,0.0,4,328.20000000000005,2,1814.4832000000008,-4460.1314,17.930790838471975,175.108,0,3,497,497,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
9,512,4,4,27243.9333,0.0,22340.589499999995,0.0,10465.9331,,0.0,4237.1248,6228.808300000001,0.0,648.2480999999999,20.925672125000002,0.00375,0.0,1746.751266666667,0.0,1.0,596.6482000000002,969.1173777777781,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9765625,0.7315004032118775,0.0,128.0,0.0,0.0,1.0,0,0,0,0.34117923887519647,36,107.08376644408324,0.18303218535949928,107.26679862944273,4.635547854122629,0.18303218535949928,4.8185800394821285,2975.9889999999837,2943.353800000013,3426.28229999997,242.2298,3,0,4.9315,6891.3126,324.976,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,424.4378999999999,1083.9593,5367.3993,88,0.0,747.485,4006.011100000001,214.6346,0.0,0.0,0.0,0.0,0.0,7,6682.8088,0.0,0.0,0.0,0.0,0.0,2336.334100000011,0.009990390222349469,5.3405009911894314,5.522943749999966,1.5830444444444443,1.9357720779220804,3.0690916111334854,3.072273968995767,960.0,908.0,480.0,1970.0000000000014,1227.0,201.0,199,48,48,49,35,20.0,1992.0,10169.454700000011,100.3848,10291.285,750,18,0,128,0.42122195039268484,0.7315004032118775,0.5314795748855317,157,4649.374800000003,4849.174900000004,49,14,99.0,0,0,48,0.0,0,0.0,147401.06300000034,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,156.7214,64.0,0.0,1,0.0,0.0,NaN,5120.0,100.0,-0.09895509765625,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,199,0.0,0,9,0.0,0,0.0,900.0,0.0,9838.625568542308,0.0,9838.625568542308,0.0,0.0,1587.9112,10391.6698,0.7357034556317772,384,5110.1996,128,142290.8634,4,0.0,4,328.20000000000005,2,1779.464999999999,-4237.1248,19.006638288780294,175.108,0,3,480,480,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
10,512,1,4,29725.69209999998,0.0,17520.585799999997,0.0,15355.4514,,0.0,8301.1035,7054.347900000001,0.0,825.5395999999996,23.355665375,0.00375,0.0,1747.4313600000005,0.0,1.0,584.5174,966.1183400000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9752604166666666,0.7394162905825845,0.0,128.0,0.0,0.0,1.0,2,0,0,0.41590145298840436,24,108.45983436699466,0.16357061276629165,108.62340497976095,3.279381508396243,0.16264777212256182,3.4420292805188053,2665.8647000000087,2880.9208000000144,192.3871,0.0,8,0,550.293,11381.6776,192.3871,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,495.4563999999999,1154.9778000000003,12357.387300000002,101,5591.7996,3110.0407999999993,7543.5815,229.90779999999998,0.0,0.0,0.0,0.0,0.0,0,10965.020700000001,0.0,0.0,0.0,0.0,0.0,2144.3908999999976,0.015,5.205469738480693,5.4242929824561585,1.5384205882352966,1.9217508009153317,3.0662276410244145,2.9801057499258943,912.0,803.0,456.0,1926.666666666669,1177.0000000000002,199.0,201,92,92,59,28,14.0,1949.0,7900.61290000001,0.0,9781.676800000001,749,0,19,128,0.4060621409837468,0.7394162905825845,0.5645676697498736,201,2909.84459999999,4179.992199999997,46,18,136.0,0,0,92,0.0,0,0.0,144251.9273000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,209.22520000000034,0.0,1078.3817,1,0.0,0.0,NaN,5120.0,100.0,0.09356859049479167,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,201,0.0,0,6,0.0,0,0.0,2012.8992,1233.8509000000001,3381.9208575643224,0.0,3381.9208575643224,0.0,0.0,671.9404000000002,10860.058500000001,0.7408634438535049,384,4207.3217,128,140044.60560000007,1,0.0,4,625.0745999999999,2,2086.9663999999984,-8301.1035,20.147036586107113,175.108,0,8,40,456,"X2 debt money, SuMSy fiscal package (comparison)",debt,8,-4.001776687800884e-11
