round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25917.726,0.0,26015.219999999998,0.0,4359.824,,0.0,4359.824,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7435328717731116,0.0,512.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,0,337.0476431372548,3.378258823529412,340.42590196078424,2.2381686274509796,3.2009999999999996,5.43916862745098,1084.0946999999974,0.0,1084.0946999999974,0.0,0,0,0.0,0.0,46.047200000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,97.494,97.494,0.0,1,4360.999999999999,422.47400000000005,4519.142599999999,100.17719999999991,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,3800.0,164.8064999999998,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,89.0,160.0,2048.0,526.0,204.0,380,0,0,0,55,34.0,2048.0,20845.859999999993,1043.634,4028.232,767,1,0,128,0.05514075874583102,0.7170993857279708,0.04266996601839068,0,5370.460000000009,445.0,55,0,0.0,0,0,0,0.0,0,0.0,450672.6599999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7851375415306139,384,15179.359999999986,128,435493.30000000086,4,-8193.545999999998,4,-7828.407999999999,2,96.31799999999878,-4359.824,11.925,560.4,0,0,160,160,2 + government,debt,6,-2.3283064365386963e-10
2,512,4,4,28587.45060000011,0.0,28776.454999999998,0.0,7041.8351,,0.0,7041.8351,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2980.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7402277481380675,0.0,774.0,0.0,0.0,1.0,0,0,0,0.26347929133096554,0,337.70701745098035,3.3091966666666663,341.01621411764705,2.692703333333333,3.1982958823529417,5.890999215686274,3376.497800000028,1046.1521999999998,3414.440300000028,0.0,0,0,0.0,0.0,306.71799999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,189.0044,239.96919999999997,0.0,4,3380.2833000000005,710.5586999999999,3979.6878,319.78920000000176,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2320.0,454.2843000000015,0.003020613440596955,4.909860594795525,5.493670175438605,NaN,1.123148351648353,3.539825939177076,3.8023999999999996,912.0,1076.0,456.0,2048.0,1118.0,204.0,232,0,0,1,51,36.0,2048.0,21391.628100000016,463.3941,6732.4284,767,1,0,128,0.07822320175902497,0.7172978986389944,0.10555987072064266,0,5828.7780999999995,5283.009999999985,51,0,0.0,0,0,0,0.0,0,0.0,451218.42809999717,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,232,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7769913265788952,384,15344.123199999978,128,435874.3049000007,4,-9054.028600000001,4,-4923.2516000000005,2,187.887199999998,-7041.8351,12.640500000000001,560.4,0,0,456,456,2 + government,debt,6,-2.3283064365386963e-10
3,512,4,4,31305.967300000044,0.0,31547.4527,0.0,8747.3309,,0.0,8747.3309,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2544.857881412638,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.739180861767647,0.0,907.0,1.0,0.0,1.0,0,0,0,0.25490276662428113,0,348.22726979506103,3.2003562296315793,351.4276260246926,3.818639428332441,3.083189051725609,6.901828480058049,3867.708999999979,3268.9482000000344,4013.2010999999907,0.0,0,0,0.0,0.0,266.62809999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,241.4854,382.64619999999996,0.0,7,3613.0208999999995,894.5042000000001,4656.7803,874.5709000000165,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1896.7546000000002,534.1789000000024,0.005988637445937373,4.827691931096963,5.480513035381746,NaN,1.3344076492537305,3.4454285405050293,3.6883279999999994,1074.0,1103.0,537.0,2046.6666666666665,1279.9999999999998,204.0,190,0,0,0,60,55.0,2048.0,22240.154599999998,1813.8256000000001,7251.9871,767,1,0,128,0.10901213192049952,0.7178494205535981,0.15360121017628114,0,6173.470700000011,5324.94419999995,60,0,0.0,0,0,0,0.0,0,0.0,456277.7078999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7736878616660514,384,15545.8521,128,440731.85579999984,4,-8964.6279,4,-4202.732899999999,2,240.42699999999957,-8747.3309,13.398930000000002,565.8899,0,0,537,537,2 + government,debt,6,-2.3283064365386963e-10
4,512,4,4,32751.91540000001,0.0,33034.4292,0.0,10424.0741,,0.0,10424.0741,0.0,0.0,0.0,0.0,0.0025,0.0002,0.0,0.0,1.0,2525.771277071317,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7385198811773412,0.0,646.0,2.0,0.0,1.0,0,0,0,0.253992594267624,0,367.4102874039284,3.168394050504638,370.578681454433,4.992782884880959,3.084818002669907,8.077600887550865,3902.328499999927,3722.728499999969,4192.801099999937,0.0,0,0,0.0,0.0,317.88599999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,282.51380000000006,540.2872,0.0,11,2531.5597999999995,1085.6117,3121.6715,892.7650000000261,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1888.5162000000014,416.2515999999991,0.007029617842702885,5.4694043233082645,5.438615526802237,NaN,1.4299533333333339,3.309649328342188,3.5776781599999987,1082.0,1064.0,541.0,2048.0,1288.0,204.0,190,0,0,2,59,38.0,2048.0,22706.931399999987,2091.6922000000004,7953.2916,767,1,0,128,0.13739529808079287,0.7197658402330782,0.18103114050211455,0,6286.222999999983,5819.446199999993,59,0,0.0,0,0,0,0.0,0,0.0,471722.11554999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7693685200848626,384,15213.757499999998,128,456508.35804999986,4,-8678.485850000001,4,-3300.4684,2,281.51420000000246,-10424.0739,14.202865800000003,585.41745,0,0,541,541,2 + government,debt,6,-2.3283064365386963e-10
5,512,4,4,34317.04,0.0,34627.466,0.0,12492.2553,,0.0,12492.2553,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,2768.425141718527,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7367725814358626,0.0,626.0,1.0,0.0,1.0,0,0,0,0.2568874856597312,0,332.61880129270287,2.683570726483679,335.3023720191865,6.236057993311615,2.6462621147426635,8.882320108054277,4027.734100000013,3565.7227999999573,4654.812399999825,0.0,0,0,0.0,0.0,325.31219999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,310.42600000000004,705.8439999999999,0.0,17,2779.3994000000002,1214.2748,4243.6718,752.3626999999884,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2046.462599999993,974.8387000000055,0.008632990236335944,5.625966417212347,5.6079478743068165,NaN,1.5558571428571422,3.476348113879487,3.4703478152,1082.0,1069.0,541.0,2045.3333333333335,1288.0000000000002,204.0,189,0,0,2,58,27.0,2048.0,23349.973699999988,2194.7486,8772.3177,766,2,0,128,0.18492828679322293,0.7215521267750358,0.19797450860219779,0,6006.565600000001,6014.1581,58,0,0.0,0,0,0,0.0,0,0.0,482532.58030000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7626833775992652,384,14881.202500000007,128,467651.3778,4,-7687.811100000001,4,-2280.4822999999997,2,309.48519999999945,-12492.2553,15.055037748000004,599.4551,0,0,541,541,2 + government,debt,6,-2.3283064365386963e-10
6,512,4,4,35890.66200000001,0.0,36222.630099999995,0.0,14562.5638,,0.0,14562.5638,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2823.6568741308506,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7357383076211663,0.0,490.0,1.0,0.0,1.0,0,0,0,0.2587115296914083,0,329.8174983645316,2.577727584572967,332.39522594910454,7.127486032647256,2.5185245099181133,9.646010542565369,4034.5144000000246,3715.5261000000287,4973.800699999908,25.3627,0,0,0.0,0.0,323.0962,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,331.96810000000005,879.3503000000006,0.0,23,2927.934,1354.3120000000001,4464.1189,815.805900000004,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2081.0266999999963,333.59070000000037,0.008589416190029873,5.642629368029739,5.6140831481481515,NaN,1.723143308550186,3.4987205031663584,3.3662373807439994,1080.0,1076.0,540.0,2045.3333333333333,1286.0,204.0,189,0,0,1,49,31.0,2048.0,24613.190699999996,1729.1569,9548.3143,766,2,0,128,0.21495692815799994,0.72202932939383,0.20345947675392684,0,7334.6862,6071.469199999999,49,0,0.0,0,0,0,0.0,0,0.0,491716.08409999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7595620534356688,384,15089.137000000002,128,476626.94710000016,4,-7858.597600000001,4,-1303.5257000000001,2,331.0861000000037,-14562.5637,15.958340012880004,609.7949,0,0,540,540,2 + government,debt,6,-2.3283064365386963e-10
7,512,2,4,39574.930600000014,0.0,36137.5174,0.0,20113.4386,,0.0,20113.4386,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2866.22995220287,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7303755956133906,0.0,444.0,1.0,0.0,1.0,0,0,0,0.259274406883493,0,335.0319597812423,2.4215683600479263,337.45352814129023,7.799846711005017,2.385005479366333,10.18485219037135,3976.0867000000035,3655.1352000000297,2767.691000000009,7.7671,2,0,1007.8773000000192,3371.4388,255.68199999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,348.5855000000001,1033.9656000000004,3752.1671,31,6533.3325,2849.0638999999987,8798.0845,759.6086000000117,0.0,0.0,0.0,0.0,0.0,0,3347.0252,0.0,0.0,0.0,0.0,2121.4023999999977,807.7269999999995,0.008471092246294637,5.627740205223883,5.642874813432803,NaN,1.9176928838951295,3.538309214851266,3.2652502593216792,1072.0,1072.0,536.0,2046.6666666666665,1278.0,204.0,191,0,0,2,50,31.0,2048.0,24608.036099999994,1355.0937,10264.7755,766,0,2,128,0.24484654173950715,0.7239385959630629,0.1982981388835452,0,6027.782899999992,6032.937500000003,50,0,0.0,0,0,0,0.0,0,0.0,499631.21630000055,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7428184916769309,384,14569.451900000007,128,485061.7644,2,-4017.2819,4,-386.104499999999,2,1149.0581999999977,-20113.4385,16.915840413652806,620.1347,0,2,268,536,2 + government,debt,6,-2.3283064365386963e-10
8,512,1,4,46336.46969999998,0.0,39219.73318082731,0.0,28716.4166,,0.0,28716.4166,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2871.62750397719,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.7220466163867179,2.0,431.0,2.0,0.0,1.0,1,0,0,0.2503308938512542,4,326.0625478234778,1.9501880969197476,328.0127359203976,8.31995218405822,1.9189621756546007,10.23891435971282,3965.3127999999965,1983.269299999992,483.0074000000002,0.0,4,0,2221.8901000000506,9617.1152,211.48360000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,502.4091000000001,1187.7892,7619.145699999999,37,9786.005,3024.4659000000006,11888.8006,614.8942999999998,0.0,0.0,0.0,0.0,0.0,0,9422.026300000001,0.0,0.0,0.0,0.0,2128.767799999998,1079.2493999999992,0.0076481515236832085,5.594415799086756,5.695362499999993,NaN,2.0015819029850754,3.5326481276131116,3.167292751542029,1072.0,1095.0,536.0,2045.3333333333333,1278.0000000000002,204.0,191,0,0,0,53,49.0,2048.0,23665.483600000007,634.4207,12614.539,768,0,0,130,0.2764761498901136,0.7252759015341206,0.256088017028139,2,5798.953000000013,6125.885299999997,54,1,0.0,0,0,0,0.0,0,0.0,483994.36821917235,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.12391029296875,0,0,0.0,0,0.0,5120.0,0,0.12391029296875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,1,0.0,0,0.0,634.4207,18.8005,20.29955184956748,0.0,20.29955184956748,0.0,0.0,1135.6876,634.4207,0.7262090729642507,382,13449.551300000008,130,470544.8169191725,1,0.0,4,2164.619,2,2304.5253808273037,-28716.4165,17.930790838471975,599.4551,0,4,40,536,2 + government,debt,6,-2.3283064365386963e-10
9,512,1,4,50771.579799999905,0.0,43849.084,0.0,31098.0626,,0.0,31098.0626,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2868.95656794168,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7173884960760744,0.0,968.0,1.0,0.0,1.0,1,0,0,0.25091609062076387,4,334.8052740398098,1.9814345278483794,336.78670856765814,10.52193622864409,1.9651648026238087,12.4871010312679,4225.652299999989,483.0074,4225.652299999989,0.0,4,0,2221.8901000000506,9617.1152,289.0702,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,698.3415000000002,1383.8509000000001,7619.145699999999,39,6484.961300000001,2049.8512,5132.896000000001,630.8900999999994,0.0,0.0,0.0,0.0,0.0,0,9176.348,0.0,0.0,0.0,0.0,2130.4893999999945,546.3586999999999,0.010188774502385143,5.589582420749282,6.013110780669119,NaN,2.0013480446927394,3.5788297858654037,3.0722739689957677,1076.0,1041.0,538.0,2048.0,1282.0,204.0,191,0,0,1,45,22.0,2048.0,25428.725599999983,0.0,16166.5061,767,1,0,130,0.31858732386814004,0.7259979262306346,0.14754336699803527,1,6943.863699999977,5818.7553000000025,46,1,0.0,0,0,0,0.0,0,0.0,493084.84080000024,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.3583960546875001,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,1,0.0,0,0.0,634.4207,24.433100000000003,8932.247269385472,0.0,8932.247269385472,0.0,0.0,1130.5516,0.0,0.7253974965450438,382,13435.267000000014,130,479649.57379999984,1,0.0,4,5917.546100000001,2,2253.146600000004,-31098.0625,19.006638288780294,609.7949,0,4,538,538,2 + government,debt,6,-2.3283064365386963e-10
10,512,1,4,55110.64219999995,0.0,48427.7887,0.0,33556.4634,,0.0,33556.4634,0.0,0.0,0.0,0.0,0.0025,0.0001,0.0,0.0,1.0,2898.6047600257634,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7165482828002812,0.0,965.0,1.0,0.0,1.0,1,0,0,0.2502980388664526,4,342.0335295217435,2.077694228846906,344.11122375059045,11.936513930575291,2.0350739767721957,13.971587907347487,4231.940300000001,3668.2652999999864,4789.327300000001,0.0,4,0,2221.8901000000506,9617.1152,310.7237,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,939.6754000000003,1625.3077000000008,7619.145699999999,41,6758.563099999999,2419.5006999999996,5416.444799999999,595.6962,0.0,0.0,0.0,0.0,0.0,0,8832.705600000001,0.0,0.0,0.0,0.0,2160.779499999999,0.0,0.01333787379535868,5.565634738771765,6.031042883895128,NaN,2.0401677298311487,3.663053777764713,2.9801057499258947,1068.0,1091.0,534.0,2046.6666666666665,1274.0,204.0,193,0,0,1,53,37.0,2048.0,26952.214799999972,2531.9932,16793.7285,767,1,0,130,0.3370826829044118,0.7261666774858322,0.1863789631765369,1,7598.156199999979,6072.1074999999955,53,0,0.0,0,0,0,0.0,0,0.0,502541.2588000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.3156796289062499,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,1,0.0,0,0.0,634.4207,23.822499999999998,6407.451684554145,0.0,6407.451684554145,0.0,0.0,1136.4702,2531.9932,0.7255595485448074,382,13625.604699999998,130,488915.6541000003,1,0.0,4,6745.7285,2,2149.2053000000046,-33556.4633,20.147036586107113,620.1347,0,4,534,534,2 + government,debt,6,-2.3283064365386963e-10
