round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25863.984000000037,0.0,25973.88,0.0,4359.824,,0.0,4359.824,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7385094501993523,0.0,512.0,3.0,0.0,1.0,0,0,0,0.7874652819707764,0,180.9576264705883,3.3456784313725487,184.30330490196084,2.9530156862745107,3.1698392156862747,6.122854901960785,1082.7794999999967,0.0,1082.7794999999967,0.0,0,0,0.0,0.0,44.957,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.896,109.896,0.0,0,4360.999999999999,476.21600000000007,4360.999999999999,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,91.0,160.0,2048.0,526.0,204.0,380,0,0,0,51,40.0,2048.0,21332.327500000025,493.42449999999997,4038.232,765,3,0,128,0.07444765430139189,0.6908681170839548,0.059467985255702516,0,5527.327500000011,455.0,51,0,0.0,0,0,0,0.0,0,0.0,250832.32750000054,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.812129762326647,384,15250.663999999986,128,235581.66350000002,4,-8362.8155,4,-7818.407999999999,2,108.72000000000064,-4359.824,11.925,300.0,0,0,160,160,3 + interest on deposits,debt,3,5.820766091346741e-10
2,512,4,4,28236.2049,0.0,28418.8016,0.0,7024.2777,,0.0,7024.2777,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,3000.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7333236868456638,0.0,913.0,2.0,0.0,1.0,0,0,0,0.2640641783029001,0,181.91108784313727,2.735082352941176,184.64617019607846,4.347821176470589,2.6460156862745094,6.993836862745098,3355.7835000000377,1082.7794999999996,3355.7835000000377,0.0,0,0,0.0,0.0,305.4982,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,182.5967,239.7625,0.0,4,3086.4574000000002,714.2365,4639.385899999999,357.3467000000033,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2340.0,1610.0940999999873,0.005398155965683002,4.909640977443591,5.495818763796928,NaN,1.126628285077951,3.545254676258967,3.8023999999999996,906.0,1064.0,453.0,2048.0,1112.0,204.0,234,0,0,1,51,30.0,2048.0,20925.973299999983,617.8588,6692.3727,764,4,0,128,0.13609033789355163,0.6955525693111757,0.27101564009406576,0,4517.503800000002,5223.857999999981,51,0,0.0,0,0,0,0.0,0,0.0,250125.97329999917,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,234,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7923561879102259,384,14625.59089999999,128,235500.38239999991,4,-7919.867900000001,4,-4963.3073,2,181.47949999999824,-7024.277599999999,12.640500000000001,300.0,0,0,453,453,3 + interest on deposits,debt,3,5.820766091346741e-10
3,512,4,4,31366.53460000011,0.0,31604.1923,0.0,8638.694,,0.0,8638.694,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2555.722965413533,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7301773408613497,0.0,1041.0,1.0,0.0,1.0,0,0,0,0.26014357053682896,0,185.68208664561624,3.5216246614636884,189.2037113070799,4.851789013962869,3.4895738773309573,8.341362891293826,3865.5204999999955,3355.7835000000387,3865.5204999999955,0.0,0,0,0.0,0.0,256.73380000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,237.65770000000003,381.8156999999999,0.0,6,4008.2173999999995,877.8877000000003,4727.4521,976.4283000000261,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1907.650900000001,0.0,0.007434623423091836,4.829076966292154,5.48212267657996,NaN,1.334337640449436,3.4467064032937933,3.6883279999999994,1076.0,1068.0,538.0,2046.6666666666665,1282.0,204.0,191,0,0,0,43,31.0,2048.0,23647.822300000087,658.1588999999999,7060.5533,764,4,0,128,0.12206588707516208,0.689615899559791,0.2147218965456863,0,7879.303199999999,5157.454200000021,43,0,0.0,0,0,0,0.0,0,0.0,252847.8222999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7937710254479242,384,15995.241800000038,128,236852.58049999992,4,-9651.561,4,-4394.1667,2,236.59929999999792,-8638.6939,13.398930000000002,300.0,0,0,538,538,3 + interest on deposits,debt,3,5.820766091346741e-10
4,512,4,4,32933.891299999996,0.0,33218.248999999996,0.0,10723.7066,,0.0,10723.7066,0.0,0.0,0.0,0.0,0.00375,0.0002,0.0,0.0,1.0,2565.556955571516,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7283615566405834,0.0,512.0,0.0,0.0,1.0,0,0,0,0.2570930547736703,0,190.2376082164944,2.638561521302496,192.8761697377969,6.516842562956485,2.6103462075852564,9.127188770541741,3855.618399999917,3360.312599999983,4360.826299999933,0.0,0,0,0.0,0.0,335.87109999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,284.3577000000001,543.2035,0.0,14,2660.6402999999996,1093.2836000000002,4503.001,523.7393999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1928.1197000000016,1451.840600000015,0.008846070391151572,5.446578264840184,5.417494183864911,NaN,1.4351512287334598,3.308078584552297,3.5776781599999987,1066.0,1095.0,533.0,2048.0,1272.0,204.0,194,0,0,3,59,46.0,2048.0,22382.138099999993,2618.5267,7933.226299999999,764,4,0,128,0.18328277941746007,0.6972627401708544,0.31232307634922196,0,4698.318999999998,5964.003200000002,59,0,0.0,0,0,0,0.0,0,0.0,251582.13810000013,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7776919618618183,384,14629.2262,128,236952.91190000004,4,-7421.2561000000005,4,-3320.5337000000004,2,283.3581000000005,-10723.7064,14.202865800000003,300.0,0,0,533,533,3 + interest on deposits,debt,3,5.820766091346741e-10
5,512,4,4,34375.07629999994,0.0,34690.173500000004,0.0,12666.587,,0.0,12666.587,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2770.4796666548923,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7250566552287772,0.0,492.0,1.0,0.0,1.0,0,0,0,0.2553061402742597,0,169.43689756315118,2.7596986539076926,172.19659621705887,7.024662037010149,2.7470683099526956,9.771730346962844,4002.681899999917,3640.131899999967,4723.376300000158,0.0,0,0,0.0,0.0,325.8074,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,315.0972,712.4934999999999,0.0,22,2669.6683,1228.4833,4821.576599999999,881.2253999999904,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2051.540399999997,478.3863000000001,0.00985443153328138,5.6219074766355135,5.5745857407407176,NaN,1.5694646728971964,3.469288982083197,3.4703478152,1080.0,1070.0,540.0,2044.0,1286.0,204.0,190,0,0,2,56,38.0,2048.0,24471.704099999984,1106.3464999999999,8797.0257,763,5,0,128,0.19788822097095227,0.6946681990583501,0.23320745836965107,0,7530.946500000013,6015.441,56,0,0.0,0,0,0,0.0,0,0.0,253371.7041000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7736202538837398,384,15219.381900000006,128,238152.3222,4,-8363.4992,4,-2255.774299999999,2,314.15640000000013,-12666.587,15.055037748000004,300.0,0,0,540,540,3 + interest on deposits,debt,3,5.820766091346741e-10
6,512,3,4,36771.2191,0.0,35112.7771,0.0,16238.0445,,0.0,16238.0445,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2843.1051865198697,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7184644113019223,0.0,495.0,1.0,0.0,1.0,0,0,0,0.25770959353270395,0,165.33901002991024,2.1850289146893545,167.5240389445996,7.996690815206673,2.1742749413469404,10.170965756553613,4002.784000000039,3485.388199999954,3990.5065000000304,101.01660000000001,1,0,482.00160000000267,1274.5786,287.69480000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,338.39369999999997,874.4837000000005,1964.9190999999998,31,4424.9447,2028.8018999999997,6855.1231,609.5605000000036,0.0,0.0,0.0,0.0,0.0,0,1258.9717,0.0,0.0,0.0,0.0,2101.0155999999974,1204.1216999999954,0.010388087924925665,5.644946334586466,5.646997955390315,NaN,1.731918761726075,3.4996199585927794,3.3662373807439994,1076.0,1064.0,538.0,2045.3333333333335,1282.0,204.0,190,0,0,1,50,29.0,2048.0,23960.546699999984,2015.8861,9535.8146,763,3,2,128,0.24889549327516236,0.7002168586195721,0.2720595782778319,0,5495.065500000013,6006.2229,50,0,0.0,0,0,0,0.0,0,0.0,252860.54670000027,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7489838083754543,384,14286.267700000011,128,238574.27899999998,3,-5106.1245,4,-1316.0254000000004,2,199.64770000000092,-16238.0445,15.958340012880004,300.0,0,1,403,538,3 + interest on deposits,debt,3,5.820766091346741e-10
7,512,1,4,47169.220499999996,0.0,39883.27518002576,0.0,29199.6553,,0.0,29199.6553,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2846.359772166434,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7002909637243628,2.0,458.0,3.0,0.0,1.0,1,0,0,0.2621169077134986,4,165.04655854350597,2.2092387729739302,167.25579731647989,8.44594423664738,2.1836783431044884,10.629622579751867,3913.023400000013,2740.6228000000165,470.6794000000001,0.0,4,0,2155.238600000016,11916.046000000002,196.49360000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,431.1634,1009.9354000000003,7649.4456,40,13933.3988,3535.3973999999994,16668.4342,607.4102999999983,0.0,0.0,0.0,0.0,0.0,0,11777.4813,0.0,0.0,0.0,0.0,2101.232999999999,1058.0817,0.00975578416014718,5.636498200757581,5.621956610800733,NaN,1.9291011257035662,3.541230481379226,3.2652502593216797,1074.0,1056.0,537.0,2046.6666666666667,1280.0,204.0,191,0,0,0,36,25.0,2048.0,24127.219400000024,326.1323,10938.3875,764,0,4,130,0.26590323539766847,0.7010858418847181,0.20703386902197773,0,6071.639700000022,5952.1421000000055,36,0,0.0,0,0,0,0.0,0,0.0,253295.30271997416,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.06369771484375,0,0,0.0,0,0.0,5120.0,0,0.06369771484375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,1,0.0,0,0.0,627.7848,0.0,301.6523464382626,0.0,301.6523464382626,0.0,0.0,1482.9948,326.1323,0.7048921163538091,382,13959.680600000018,130,239335.6221199742,1,0.0,4,287.5075000000011,2,5690.712780025758,-29199.6553,16.915840413652806,300.0,0,4,40,537,3 + interest on deposits,debt,3,5.820766091346741e-10
8,512,1,4,51409.52050000002,0.0,44388.89736165461,0.0,31629.8455,,0.0,31629.8455,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2898.782296008351,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6906704351320583,4.0,976.0,7.0,0.0,1.0,1,0,0,0.2501092739296974,4,166.69016910340054,2.124706421437159,168.8148755248377,9.74674989302936,2.1213284027808466,11.868078295810205,4039.861600000013,470.679399999999,4039.861600000013,0.0,4,0,2155.238600000016,11916.046000000002,314.8705,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,630.4180999999999,1209.3857,7649.4456,40,6264.2153,2023.9152999999997,4053.832,614.5930999999999,0.0,0.0,0.0,0.0,0.0,0,11563.8093,0.0,0.0,0.0,0.0,2154.766299999998,0.0,0.008295575958634203,5.608644939647168,5.708431073446334,NaN,1.9956106261859556,3.5750381407728744,3.167292751542029,1062.0,1077.0,531.0,2048.0,1268.0,204.0,194,0,0,2,50,30.0,2048.0,25118.745899999994,0.0,14726.9652,764,4,0,130,0.2940008571991317,0.7022872779679139,0.15501829888387753,1,7033.8285000000205,6040.5106,50,0,0.0,0,0,0,0.0,0,0.0,254288.42510000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.21055598860441624,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,1,0.0,0,0.0,627.7848,0.0,8714.238250082888,0.0,8714.238250082888,0.0,0.0,961.4247,0.0,0.6995305890355099,382,13873.3463,130,240415.07880000005,1,0.0,4,4277.0452000000005,2,4542.421761654615,-31629.8454,17.930790838471975,300.0,0,4,531,531,3 + interest on deposits,debt,3,5.820766091346741e-10
9,512,1,4,55707.8255,0.0,48919.6707,0.0,34046.4179,,0.0,34046.4179,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2891.4496363306666,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6888638366559652,0.0,969.0,1.0,0.0,1.0,1,0,0,0.25019473956110605,4,168.4926603541059,2.1514324258497965,170.64409277995568,10.998118411887036,2.1167968185650126,13.11491523045205,4080.9977000000185,3506.4360000000074,4614.423300000031,0.0,4,0,2155.238600000016,11916.046000000002,293.02,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,867.8655999999999,1447.5174000000006,7649.4456,41,6673.6238,2375.3188000000005,4776.3313,633.0279000000003,0.0,0.0,0.0,0.0,0.0,0,11257.9695,0.0,0.0,0.0,0.0,2151.1096000000002,0.0,0.012439718297495597,5.563038862559246,5.775928598130858,NaN,2.008811111111112,3.634362538166216,3.0722739689957677,1070.0,1055.0,535.0,2045.3333333333333,1275.9999999999998,204.0,192,0,0,1,39,23.0,2048.0,26247.568799999975,2889.7295,15312.557700000001,764,4,0,130,0.3182994286146037,0.7025203440890493,0.15296908705558443,0,6999.610500000017,5869.006000000005,39,0,0.0,0,0,0,0.0,0,0.0,255418.84379999974,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.09865873046874998,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,1,0.0,0,0.0,627.7848,0.0,6051.1617709689235,0.0,6051.1617709689235,0.0,0.0,954.9674,2889.7295,0.6990348463722087,382,14145.3282,130,241273.51559999996,1,0.0,4,5063.597700000001,2,4469.109099999999,-34046.4179,19.006638288780294,300.0,0,4,535,535,3 + interest on deposits,debt,3,5.820766091346741e-10
10,512,1,4,57433.36010000001,0.0,50923.86009999999,0.0,36488.6602,,0.0,36488.6602,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2898.60090783512,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.6914379762832041,0.0,413.0,2.0,0.0,1.0,1,0,0,0.25,4,172.4005184951216,1.9627335013933234,174.36325199651492,14.97414930362025,1.953338509344264,16.927487812964515,4249.629100000013,3542.0535000000295,5321.998900000025,0.0,4,0,2155.238600000016,11916.046000000002,297.92490000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1151.4993999999997,1731.800800000001,7649.4456,43,4480.7211,2755.1865,6684.5054,626.5938000000003,0.0,0.0,0.0,0.0,0.0,0,10833.4555,0.0,0.0,0.0,0.0,2164.2804999999967,1131.4145000000005,0.014132043244967795,5.578046334586472,6.122925000000007,NaN,2.007652851711029,3.7300298660297697,2.9801057499258947,1064.0,1064.0,532.0,2046.6666666666667,1270.0,204.0,194,0,0,3,41,25.0,2048.0,27874.866000000042,2792.0548,15932.983799999998,762,6,0,130,0.39134188349102783,0.7073051519498972,0.3061479599607859,0,5957.061500000019,5935.041300000006,41,0,0.0,0,0,0,0.0,0,0.0,256447.73680000013,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.045435722656249934,0,0,0.0,0,0.0,5120.0,0,0.045435722656249934,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,1,0.0,0,0.0,627.7848,0.0,6214.450344246616,0.0,6214.450344246616,0.0,0.0,933.3152,2792.0548,0.7028167303995394,382,13589.019799999987,130,242858.71699999995,1,0.0,4,5884.9838,2,4323.308699999998,-36488.6602,20.147036586107113,300.0,0,4,532,532,3 + interest on deposits,debt,3,5.820766091346741e-10
