round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21673.824000000022,0.0,21783.719999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.873921568627452,2.519607843137255,10.393529411764707,1.9454509803921565,2.666666666666667,4.612117647058823,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,1,170.84,476.21600000000007,535.6401000000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,89.0,160.0,2048.0,322.0,0.0,431,0,0,0,55,34.0,2048.0,16460.24000000002,2111.432,3102.152,768,0,0,128,0.07511248507008395,0.29442746508334516,0.8309536852319415,0,1382.24,445.0,55,0,0.0,0,0,0,0.0,0,0.0,24937.24000000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7542017454235834,384,12217.040000000012,128,12720.2,4,-7644.808,4,-8754.488,2,102.05600000000064,0.0,11.25,0,0,160,160,0 bare bones,debt,6,4.547473508864641e-13
2,512,4,4,22197.276400000083,0.0,22365.219800000006,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,9.234697647058823,1.5760145098039218,10.810712156862746,2.4759688235294117,1.7583784313725492,4.2343472549019605,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,167.9434,218.79500000000013,0.0,4,1007.2134000000009,483.761,3276.1212000000023,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005152928275275611,4.849794630872499,5.517263546798019,NaN,1.1240238916256167,3.620400982800949,3.8023999999999996,812.0,1043.0,406.0,2048.0,814.0,0.0,308,12,12,4,48,33.0,2036.0,15752.661099999961,2232.6629,4211.9524,768,0,0,128,0.12587072858964854,0.35463806648190155,0.5853631727688589,1,3403.3600999999885,5058.335800000017,48,0,0.0,0,0,12,0.0,0,0.0,23281.449300000106,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,308,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6759746518021874,384,10630.628799999971,128,12650.820499999993,4,-7358.2171,4,-7443.7276,2,160.4954000000001,0.0,11.25,0,0,406,406,0 bare bones,debt,6,4.547473508864641e-13
3,512,4,4,22594.513700000014,0.0,22795.437699999995,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,13.168737180462257,1.4825424616577463,14.651279642120004,2.799610562492447,1.9256380383941585,4.725248600886606,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,200.92399999999978,330.7428000000003,0.0,13,931.8640000000001,534.6267000000001,6507.108900000004,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006589218114334104,4.827817337164763,5.451066475095794,NaN,1.338694003868473,3.1797258126194534,3.6883279999999994,1044.0,1044.0,522.0,2030.6666666666667,1046.0,0.0,248,27,27,3,58,52.0,2020.0,15589.192799999997,2509.9909000000002,4495.33,763,5,0,128,0.12920283675123123,0.44293019548549983,0.48874339962900315,3,4018.0979999999927,5040.241300000012,58,0,0.0,0,0,27,0.0,0,0.0,26545.504539655205,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,248,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9809324387034521,384,9223.445900000013,128,17322.058639655195,4,-6831.227308128079,4,-6959.389999999999,2,193.86799999999906,0.0,16.86035837438425,0,0,522,522,0 bare bones,debt,6,4.547473508864641e-13
4,512,4,4,24627.564500000004,0.0,24847.70530000004,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.126158770574555,0.8387196555567316,16.964878426131285,4.3739690329321785,1.2305619737596543,5.604531006691833,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,220.14079999999962,446.0043000000008,0.0,90,2613.6351000000004,580.5842999999996,6461.966299999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006515398625146872,4.844643079922031,5.396005458089658,NaN,1.4368401209677413,3.0790345330738993,3.5776781599999987,1026.0,1026.0,513.0,2016.0,1028.0,0.0,250,13,13,2,49,33.0,2034.0,14848.960300000022,4872.8826,4905.7216,751,17,0,128,0.21850130972690485,0.5204955001307654,0.4976958172788726,12,3877.9201999999964,4970.603800000004,49,0,0.0,0,0,13,0.0,0,0.0,27850.68435357831,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.767241211741864,384,7776.671199999997,128,20074.01315357834,4,-6294.367829013539,4,-6348.038400000001,2,213.47679999999923,0.0,20.080410058027095,0,0,513,513,0 bare bones,debt,6,4.547473508864641e-13
5,512,4,4,26202.962600000006,0.0,26445.467800000006,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,17.13001816546591,0.7494210390910414,17.87943920455695,4.78058953320721,1.1617509349195567,5.942340468126766,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.50519999999966,574.9106000000002,0.0,239,2295.5069,720.1087999999985,3921.805500000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006902962535599244,4.786625911708271,5.36974203454891,NaN,1.5610979919678711,3.037031449553029,3.4703478152,1042.0,1042.0,521.0,2031.3333333333335,1044.0,0.0,248,10,10,5,53,23.0,2038.0,13809.0091,4920.8297,7473.123799999999,745,23,0,128,0.25843059692446957,0.5617568375740676,0.4777377436404282,7,3948.0875999999726,4987.664200000018,54,1,0.0,0,0,10,0.0,0,0.0,27878.86165181449,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,248,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6528180157586687,384,6495.880299999998,128,21382.981351814513,4,-5814.2949582661295,4,-5748.4017,2,236.23320000000143,0.0,21.55260181451612,0,0,521,521,0 bare bones,debt,6,4.547473508864641e-13
6,512,4,4,25496.180200000017,0.0,25760.61550000007,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,23,13,19.968665889635087,-0.13110385261238328,19.837562037022703,6.334320276515346,0.3509621476152464,6.685282424130592,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,264.4352999999995,714.7361999999995,0.0,419,131.059,837.8413999999999,3958.5550999999978,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,55.42909999999999,0.008455136430518586,4.826362786259544,5.339350381679366,NaN,1.728540000000001,2.981773873015912,3.3662373807439994,1048.0,1048.0,524.0,2031.3333333333335,1050.0,0.0,245,23,23,1,53,41.0,2024.0,12711.746799999995,4992.234,7792.1993999999995,744,24,0,128,0.3722253918087104,0.6317994532838451,0.4832310694541251,74,3995.132500000027,5058.0282000000025,55,2,0.0,0,0,23,0.0,0,0.0,28244.04579036145,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,245,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5848744528503642,384,5107.341899999999,128,23136.70389036144,4,-5398.822322891567,4,-5119.929899999999,2,258.5552999999992,0.0,23.41646987951807,0,0,524,524,0 bare bones,debt,6,4.547473508864641e-13
7,512,4,4,24775.308899999993,0.0,25047.30730000006,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30,12,21.60440759248017,-0.18128761609312571,21.42311997638705,6.8865525556878,0.26581804363690836,7.152370599324708,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,271.9983999999998,850.9611999999992,0.0,608,133.31539999999995,854.1866999999996,2069.9782999999993,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,48.97350000000001,0.009293174181136642,4.793119427402862,5.318651663405089,NaN,1.8058355509355526,2.9514988281249313,3.2652502593216792,1022.0,978.0,511.0,2022.6666666666667,1024.0,0.0,253,17,16,47,42,32.0,2031.0,11896.373700000007,4933.2657,7945.6695,738,30,0,128,0.4350236362133242,0.6702322792422246,0.49153972055105255,100,3890.9417000000035,4687.670799999999,44,2,0.0,0,0,17,0.0,0,0.0,29267.49400000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,253,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.475795935664283,384,3982.019499999999,128,25285.474500000015,4,-4964.159999999999,4,-4657.0635999999995,2,266.5104000000004,0.0,25.928100000000015,0,0,511,511,0 bare bones,debt,6,4.547473508864641e-13
8,512,4,4,26028.464399999983,0.0,26299.791599999957,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,79,21,23.30015445953995,-0.5958627194102957,22.704291740129655,7.6168595838307445,0.05683064704669159,7.673690230877436,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,271.3271999999996,982.7286000000008,0.0,795,2086.0575000000003,832.9019999999999,4843.894700000003,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,126.28230000000002,0.011010393882323069,4.700000917431198,5.263702049180351,NaN,1.799330131004369,2.9015164280844865,3.167292751542029,976.0,981.0,488.0,1968.666666666668,977.9999999999994,0.0,254,23,23,64,53,46.0,2025.0,10902.919500000002,4995.1015,10130.4434,738,30,0,128,0.5353540869725599,0.7160147574273623,0.5188093122121646,179,3661.7761999999793,4610.700900000005,56,3,0.0,0,0,23,0.0,0,0.0,29241.831448856556,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,254,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4320424455511505,384,2829.633700000001,128,26412.197748856568,4,-4589.758302079002,4,-4115.0788,2,266.2311999999997,0.0,27.08753326403329,0,0,488,488,0 bare bones,debt,6,4.547473508864641e-13
9,512,4,4,25213.45310000003,0.0,25500.398800000014,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,96,36,24.09526300938389,-0.6075797729326466,23.487683236451243,7.956395192858974,0.01231872934342546,7.968713922202399,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,286.9456999999993,1130.8626000000038,0.0,963,141.81950000000003,956.8308000000004,3306.037200000001,0.0,0.0,0.0,0.0,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,162.31250000000003,0.008879411585805394,4.620272307692304,5.183436514522839,NaN,1.7664075221238948,2.830390062111789,3.072273968995767,964.0,780.0,482.0,1939.6666666666686,965.9999999999993,0.0,253,107,106,55,38,31.0,1927.0,10744.340499999993,5065.810399999999,9403.3022,738,30,0,128,0.5795089943042273,0.7289220951481175,0.516196061380932,217,3532.5729999999935,3603.812399999997,48,10,0.0,0,0,107,0.0,0,0.0,29125.449950218368,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,253,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4506512583596216,384,2424.682999999999,128,26700.766950218353,4,-4244.1939410480345,4,-4435.214599999999,2,282.2417000000002,0.0,26.989951965065536,0,0,482,482,0 bare bones,debt,6,4.547473508864641e-13
10,508,4,4,24398.510300000005,0.0,24688.995899999965,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,103,37,24.20506887635114,-0.6724153794334421,23.532653496917696,8.114326927783486,0.0044252972703214535,8.118752225053807,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,290.48559999999924,1274.2087000000095,0.0,1121,139.8062,954.7489999999998,1234.1966000000004,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,136.15509999999998,0.010646874150263944,4.546827668539327,5.1685002525252335,NaN,1.7576800546448086,2.7153216624684964,2.9801057499258943,792.0,712.0,396.0,1846.0000000000007,787.9999999999999,0.0,276,149,132,69,32,28.0,1842.0,10145.257700000007,5122.6163,9130.6363,738,30,0,128,0.6021993778433048,0.7373607157634932,0.5652477285272024,254,2786.870699999993,3237.3413000000014,44,12,0.0,0,0,149,0.0,0,0.0,28288.136469911544,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,276,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4366049010053088,380,2044.1187000000014,128,26244.017769911527,4,-3924.420315044247,4,-4300.875099999999,2,286.17359999999996,0.0,26.496112831858422,4,0,396,396,0 bare bones,debt,6,4.547473508864641e-13
