round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,32990.96180000006,0.0,33113.08819999999,0.0,3490.0599999999995,,0.0,0.0,3490.0599999999995,0.0,3490.0599999999995,0.0,0.00375,143.2572,11820.0036,0.0,0.9588,3940.0011999999997,7239.051599999995,0.02,21.30000000000003,1.02,0.0,0.0,1.02,0.0,4,0,13.75628776842117,-2.6856991193857955,11.070588649035376,7.176196862745099,2.9774821568627448,10.153679019607845,0.0,0.0,0.0,0.0,0,0,0.0,0.0,41.832,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,29.6158,529.2139999999999,29.6158,593.1984000000042,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,71.0,160.0,2048.0,734.0,204.0,328,0,0,0,42,29.0,2048.0,20951.09660000002,3964.272,4166.146000000001,768,0,0,128,0.21201434805654795,0.3849877563073214,0.07260485258589178,0,5708.960000000013,355.0,42,0,0.0,0,0,0,0.0,0,0.0,25778.993974995712,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,3766.19,4,338.0867999999999,236.6608,0.25756607299783496,5120.0,83.671875,-0.19729141276041673,269,0,0.0,0,2922.8395812027034,4284.0,254,0.08771287677479628,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,9065.28,9065.28,211.4540000000004,0.0,211.4540000000004,0.0,338.0867999999999,10770.1088,11896.608000000002,0.45478545047872143,384,15380.466919423781,128,10398.52705557188,4,216.65999999999997,4,3273.3999999999996,2,114.28640000000101,143.2572,11.25,0,0,160,160,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
2,512,4,4,33078.92530000005,0.0,33294.56120000002,0.0,4779.9484,,0.0,0.0,4779.9484,0.0,1289.8884,13.087674999999997,0.00375,422.5518,9712.858499999998,0.0,0.91929744,2535.2378000000003,5268.923349999988,0.02,381.60930000000013,1.0404,0.0,0.0,1.0404,0.0,0,0,18.960069769671087,2.9989175269729813,21.95898729664407,7.311434705882354,2.6631813725490194,9.974616078431373,0.0,0.0,0.0,0.0,0,0,0.0,0.0,374.23900000000003,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,215.6359,272.6027,0.0,4,933.0527999999999,845.0893000000003,3943.8294,1537.7317000000194,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,1880.0,0.0,0.005984852421173409,4.893999999999955,5.517982405345213,1.8500000000000147,1.1233614699331849,3.549399265246677,3.802399999999999,898.0,1095.0,449.0,2048.0,1295.0,204.0,188,0,0,1,59,42.0,2048.0,19206.701099999987,4817.4986,5045.6647,768,0,0,128,0.2056909912799425,0.378718414177053,0.09667716570443363,0,6247.292500000028,5358.92999999995,59,0,474.0,0,0,0,0.0,0,0.0,34073.589181686046,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,876.900000000007,191.0,3586.5090999999998,4,161.0434,112.7304,0.3866442712524014,5120.0,79.95930989583333,-0.17768733398437497,337,0,0.0,0,3017.5583128610856,4093.9166666666665,379,0.4174628963838969,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,12,0.0,0,0.0,9065.28,8879.343300000004,8199.299234060029,0.0,8199.299234060029,0.0,161.0434,14412.953199999994,13449.672400000001,0.4324080670814625,384,14668.785333204103,128,19404.803848481948,4,216.65999999999997,4,3273.3999999999996,2,208.18790000000294,422.5518,11.25,0,0,449,449,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
3,512,4,4,33970.087500000125,0.0,34060.414899999996,0.0,5531.8859,,0.0,0.0,5531.8859,0.0,751.9375,17.92482625,0.00375,424.0739,8785.606,0.0,0.8814223854719999,2310.3669999999993,4479.443833333328,0.02,389.0789000000038,1.061208,0.0,0.0,1.061208,0.0,0,0,54.757613036492764,2.8796330737350275,57.637246110227785,7.4414751556528484,2.5673870365473768,10.008862192200224,0.0,0.0,0.0,0.0,0,0,0.0,0.0,348.0511,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,258.8313999999999,419.4672000000001,0.0,9,1710.7689999999993,819.6067999999996,2823.8081000000006,1577.876499999992,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,1673.4280000000003,0.0,0.0075724383006829515,5.482846261682243,5.487484629629635,1.8219402985074578,1.3410948148148152,3.5118527169097553,13.718456706514331,1080.0,1070.0,540.0,2046.6666666666667,1373.0,204.0,168,0,0,1,56,33.0,2048.0,18462.17869999999,6213.7953,5662.9475,758,0,10,126,0.2042040466961348,0.5800973350385319,0.12281124883370342,0,6454.671300000017,5866.6455000000005,56,0,201.0,0,0,0,0.0,0,0.0,57042.50797910221,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,366.209999999999,87.0,3207.0921,4,253.411,177.3884,0.79429915444243,5120.0,78.2666015625,-0.16603050292968752,332,0,0.0,0,1436.796296977758,4007.25,388,0.7302541019325938,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,9065.28,8720.0558,10382.287897350237,0.0,10382.287897350237,0.0,253.411,14210.419599999977,15083.8349,0.5994613734687155,386,30066.646124545172,126,26975.861854557097,4,216.65999999999997,4,3273.3999999999996,2,251.7756204899815,424.0739,16.85042204899777,0,0,540,540,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
4,512,4,4,37658.08769999989,0.0,37757.3694,0.0,6471.5431,,0.0,0.0,6471.5431,0.0,939.6572,20.744591874999998,0.00375,436.5277,8438.890732710279,0.0,0.8451077831905535,2466.248310280373,4163.268846806852,0.02,396.9823999999989,1.08243216,0.0,0.0,1.08243216,0.0,0,0,66.9050742186481,2.409596464068335,69.31467068271643,5.224361618310049,2.0576801863828913,7.28204180469294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,366.0437,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,368.3677,593.8550000000001,0.0,38,4691.551,1003.5508,5485.468199999998,1559.7896999999891,0.0,0.0,0.0,0.0,0.0,18,6.9269,0.0,0.0,0.0,0.0,1757.3483999999999,0.0,0.009218749233703898,5.611962281508743,5.611229390018511,1.7704763157894698,1.4318706099815148,3.5113069191734656,18.465957556819674,1082.0,1087.0,541.0,2046.6666666666667,1346.0,204.0,175,0,0,2,55,43.0,2048.0,18122.08969999999,6238.2718,10128.6891,756,0,12,125,0.17693971671343456,0.6265518385377016,0.12665516779358432,1,6524.455700000001,6100.203000000003,55,0,76.0,0,0,0,0.0,0,0.0,71465.07103595111,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,134.5561999999997,58.0,2725.5825,4,234.9466,164.4624,1.085491416893339,5120.0,78.04524739583333,-0.15217963216145833,101,0,0.0,0,533.546196307322,3995.9166666666665,388,1.0719813488845615,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,12,0.0,0,0.0,9065.28,9150.6354,6115.297457422408,0.0,6115.297457422408,0.0,234.9466,13918.814400000014,19092.543400000002,0.6389037501769665,387,45646.192404432055,125,25818.87863151914,4,216.65999999999997,4,3273.3999999999996,2,340.9416666666681,436.5277,20.116422222222226,0,0,541,541,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
5,512,4,4,39668.01759999995,0.0,39865.4683,0.0,7709.009599999999,,0.0,0.0,7709.009599999999,0.0,1237.4665,24.268191875,0.00375,435.1421,8394.857971961592,0.0,0.8102893425231027,2739.5756429889466,4092.8076146410576,0.02,402.9386999999998,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,75.29044520318882,2.281064723495838,77.57150992668467,3.6157051602522507,2.010891989987873,5.626597150240124,0.0,0.0,0.0,0.0,0,0,0.0,0.0,365.22890000000007,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,466.5367000000004,788.2033000000005,0.0,68,3266.4161,1256.4861999999996,3455.0842000000002,1524.988700000011,0.0,0.0,0.0,0.0,0.0,17,17.2023,0.0,0.0,0.0,0.0,2018.5038999999956,0.0,0.010170167446637107,5.609785989010989,5.651831412639431,1.7025695652173904,1.553119888475838,3.521656059526807,41.56609395441572,1076.0,1092.0,538.0,2045.3333333333335,1304.0000000000002,204.0,185,0,0,0,61,50.0,2048.0,17643.5603,6234.3605,13008.612000000001,760,0,8,125,0.13251718679344737,0.6330815096153419,0.12709723257796623,1,6750.4474000000255,6125.8863,61,0,46.0,0,0,0,0.0,0,0.0,80832.23203137534,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,78.31819999999996,22.0,2329.1404,4,233.0437,163.1304,1.2822130560934075,5120.0,77.841796875,-0.13694716471354165,89,0,0.0,0,742.2696325070124,3985.5,388,1.3075560526116485,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,12,0.0,0,0.0,9065.28,9540.068899999993,3459.0896350919884,0.0,3459.0896350919884,0.0,233.0437,13243.526999999998,21572.112900000004,0.6433608666633319,387,50661.19983241854,125,30171.0321989566,4,216.65999999999997,4,3273.3999999999996,2,380.205473197783,435.1421,21.47805914972272,0,0,538,538,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
6,512,4,4,40308.76530000004,0.0,40653.23929999997,0.0,8999.667099999999,,0.0,0.0,8999.667099999999,0.0,1290.6575,28.90869125,0.00375,382.3128,8379.815246362232,0.0,0.7769054216111508,2768.200539455147,4084.5708642414816,0.02,396.7692000000002,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,96.2014776304736,2.2111883868719846,98.4126660173456,3.0216629272749915,2.1190237258835025,5.140686653158494,0.0,0.0,0.0,0.0,0,0,0.0,0.0,337.09639999999996,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,613.5600000000006,999.1042999999988,0.0,94,1976.3075999999999,1335.559899999999,2228.5910000000003,1453.6252000000238,0.0,0.0,0.0,0.0,0.0,26,37.6068,0.0,0.0,0.0,0.0,2051.699099999993,0.0,0.01325929563434549,5.578352041785381,5.683404621072118,1.6973073529411755,1.7046851851851872,3.517617907046694,40.319111135783245,1082.0,1053.0,541.0,2048.0,1316.0,204.0,183,0,0,0,51,28.0,2048.0,17598.299099999986,6186.9558,14542.5366,767,1,0,127,0.10933720130311086,0.6808974148339342,0.13521255829905243,0,6926.87080000003,5874.004700000007,51,0,68.0,0,0,0,0.0,0,0.0,93570.01213609306,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,115.41689999999994,28.0,1561.0542,4,150.7236,105.50770000000016,1.5442977421674418,5120.0,77.44303385416667,-0.13268134768347756,80,0,0.0,0,1283.1360420251854,3965.0833333333335,388,1.3919089867137318,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,12,0.0,0,0.0,9065.28,9792.169299999998,2486.7160047067705,0.0,2486.7160047067705,0.0,150.7236,13226.498699999987,22290.546599999998,0.6871227811653289,385,61543.71537759652,127,32026.296758496388,4,216.65999999999997,4,3273.3999999999996,2,376.200800000002,382.3128,23.29679832713757,0,0,541,541,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
7,512,4,4,39899.803300000036,0.0,40203.55799999998,0.0,10309.4795,,0.0,0.0,10309.4795,0.0,1309.8124,33.74874125,0.00375,385.6309,8358.664924900972,0.0,0.7448969182407714,2743.92099871114,4055.558864219691,0.02,420.91040000000083,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,130.52998073148925,2.0181999538440842,132.54818068533336,3.6228146131217525,2.018646984819501,5.6414615979412535,0.0,0.0,0.0,0.0,0,0,0.0,0.0,359.73120000000006,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,572.8406999999999,1224.0964,0.0,113,988.9203000000001,1397.8823000000014,2263.6453999999994,1471.1752999999937,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,2035.4694999999963,0.0,0.015,5.521067934782609,5.638146938775503,1.696430379746836,1.8713797397769496,3.565936077574838,39.10953780170975,1078.0,1104.0,539.0,2048.0,1317.0,204.0,182,0,0,2,62,48.0,2048.0,17776.238899999997,6078.4481,14980.632699999998,767,1,0,127,0.12360669540002056,0.7142116918515007,0.1516532611843786,0,7073.975800000003,6095.259,62,0,79.0,0,0,0,0.0,0,0.0,117550.92440202268,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,134.01800000000006,33.0,678.8527,4,86.3391,60.44259999999996,2.0758739073844543,5120.0,77.11263020833333,-0.12894957555700234,84,0,0.0,0,1290.2044617636789,3948.1666666666665,388,1.4783901649357605,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,0,12,0.0,0,0.0,9065.28,10002.476100000002,2709.876793590215,0.0,2709.876793590215,0.0,86.3391,13140.272599999993,21737.9335,0.7152986077216703,385,80230.32042856092,127,37320.60397346173,4,216.65999999999997,4,3273.3999999999996,2,298.26659999999765,385.6309,25.570277777777807,0,0,539,539,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
8,512,4,4,39366.97549999994,0.0,39403.52529999999,0.0,11619.1582,,0.0,0.0,11619.1582,0.0,1309.6786999999997,38.660321124999996,0.00375,341.7371,8328.554518652461,0.0,0.7142071652092515,2705.9272249709597,4049.7823999349694,0.02,411.70979999999975,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,141.57558848126442,2.049464797674634,143.62505327893905,3.979656682638867,2.09629626991771,6.075952952556578,0.0,0.0,0.0,0.0,0,0,0.0,0.0,334.16499999999996,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,512.0639999999999,1448.539999999999,0.0,121,863.2231999999998,1396.0509999999997,1529.3111,1391.0138000000036,0.0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,2008.5415999999937,0.0,0.015,5.464089803554724,5.653125830258299,1.6563687500000022,1.934328888888889,3.526103793595896,37.93625166765846,1084.0,1069.0,542.0,2045.3333333333333,1322.0,204.0,180,0,0,1,53,41.0,2048.0,17953.398299999986,5923.6926,14911.6225,758,2,8,126,0.13135200992882812,0.706991043222361,0.15538194615246126,0,7077.019700000015,5841.111999999999,53,0,80.0,0,0,0,0.0,0,0.0,127096.55731417781,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,132.50950000000017,32.0,236.52500000000003,4,25.2299,17.66080000000002,2.245936469065278,5120.0,76.767578125,-0.12545779309581204,98,0,0.0,0,1278.2775041623802,3930.5,388,1.4980270838271927,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,12,0.0,0,0.0,9065.28,9998.469799999993,3304.470059843172,0.0,3304.470059843172,0.0,25.2299,13057.420799999993,21071.8401,0.7070735685366407,386,90045.12672191857,126,37051.43059225923,4,216.65999999999997,4,3469.4538,2,256.0191687732383,341.7371,28.070696096654245,0,0,542,542,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
9,512,4,4,38684.91489999997,0.0,38807.227699999996,0.0,13011.303000000002,,0.0,0.0,13011.303000000002,0.0,1392.1447999999998,43.571584125,0.00375,350.1661,8306.05424063874,0.0,0.6847818300026304,2708.684005509656,4034.209604870267,0.02,419.1334999999998,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,140.6720179926531,1.998136248419124,142.67015424107223,3.322246447956767,2.1511590938606937,5.473405541817461,0.0,0.0,0.0,0.0,0,0,0.0,0.0,345.0153999999999,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,597.8269999999998,1671.3994000000018,0.0,129,699.8705000000001,1381.9311000000016,1253.5197,1368.5413999999964,0.0,0.0,0.0,0.0,0.0,39,113.253,0.0,0.0,0.0,0.0,2022.0570999999975,0.0,0.015,5.397325881261598,5.766568773234186,1.7535378048780494,1.9276511194029868,3.467935807451513,36.798164117628694,1076.0,1078.0,538.0,2046.6666666666667,1315.0000000000002,204.0,182,0,0,1,58,38.0,2048.0,17506.221599999993,5853.3629,14772.2567,766,2,0,127,0.11146282418763787,0.7055957529729959,0.15355008952599647,0,7016.3697999999995,5818.317300000003,58,0,82.0,0,0,0,0.0,0,0.0,126217.9082997918,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,143.79010000000005,33.0,89.6546,4,17.1648,12.01600000000005,2.1917873673451775,5120.0,76.3232421875,-0.11746020399305557,92,0,0.0,0,1589.7234880545766,3907.75,388,1.52352623061123,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,0,12,0.0,0,0.0,9065.28,10171.91459999999,3416.706733885823,0.0,3416.706733885823,0.0,17.1648,13189.511100000003,20715.2742,0.7062083939926505,385,87681.36790698646,127,38536.540392805306,4,216.65999999999997,4,3728.7198,2,230.86159999999606,350.1661,29.014933333333335,0,0,538,538,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
10,512,4,4,38034.299900000005,0.0,38193.8826,0.0,14410.203199999996,,0.0,0.0,14410.203199999996,0.0,1398.9002,48.792039625,0.00375,341.8608,8282.16895212913,0.0,0.656568818606522,2689.0671185142132,4026.6325680860837,0.02,418.03190000000046,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,1,0,149.55912065720034,1.8987417988124506,151.45786245601278,2.8993143015461738,2.096046328667271,4.995360630213445,0.0,0.0,0.0,0.0,0,0,0.0,0.0,340.693,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,635.0968999999999,1894.2523000000006,0.0,137,729.8492000000005,1380.4641999999978,571.6358000000002,1330.6572999999971,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,2014.166999999994,0.0,0.015,5.353019850187265,5.982622222222226,1.7629250000000012,1.9344395910780667,3.442018821226582,35.694219194099844,1080.0,1068.0,540.0,2046.6666666666667,1312.0000000000002,204.0,183,0,0,3,45,40.0,2048.0,16987.181099999994,5904.2007,14781.6755,766,2,0,127,0.10156537258197962,0.7107284934628855,0.16009592701168596,0,7000.05860000001,5717.025199999999,45,0,64.0,0,0,0,0.0,0,0.0,131264.7471222997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,112.82720000000008,26.0,19.381800000000002,4,3.8881,2.7180000000000133,2.2991175258876853,5120.0,75.9375,-0.10635317328154152,84,0,0.0,0,804.6345254988182,3888.0,388,1.538129739378876,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,12,0.0,0,0.0,9065.28,10207.152999999986,3300.984124840924,0.0,3300.984124840924,0.0,3.8881,12869.00819999999,20705.258000000005,0.7112682448010363,385,91782.5244901606,127,39482.22263213914,4,216.65999999999997,4,3801.577,2,155.27049999999903,341.8608,28.9147667910448,0,0,540,540,12 + fiscal policy and VAT,debt,1,-7.275957614183426e-12
